ward,precinct,total,PAUL A. KARKULA,PAUL A. KARKULA Percent,DOMENICA A. STEPHENSON,DOMENICA A. STEPHENSON Percent,precinct_id
2,14,102,41,40.2,61,59.8,02014
2,15,37,13,35.14,24,64.86,02015
2,16,65,16,24.62,49,75.38,02016
2,17,92,38,41.3,54,58.7,02017
2,18,174,88,50.57,86,49.43,02018
2,19,50,11,22.0,39,78.0,02019
2,20,128,70,54.69,58,45.31,02020
2,21,132,67,50.76,65,49.24,02021
2,22,170,67,39.41,103,60.59,02022
2,23,69,29,42.03,40,57.97,02023
2,24,62,23,37.1,39,62.9,02024
2,25,32,13,40.63,19,59.38,02025
2,26,65,28,43.08,37,56.92,02026
2,27,13,6,46.15,7,53.85,02027
2,28,115,49,42.61,66,57.39,02028
2,29,55,20,36.36,35,63.64,02029
2,30,75,33,44.0,42,56.0,02030
2,31,138,50,36.23,88,63.77,02031
2,32,53,21,39.62,32,60.38,02032
2,33,164,66,40.24,98,59.76,02033
2,34,58,29,50.0,29,50.0,02034
2,35,22,12,54.55,10,45.45,02035
2,36,56,27,48.21,29,51.79,02036
2,37,69,25,36.23,44,63.77,02037
2,38,92,32,34.78,60,65.22,02038
2,39,72,32,44.44,40,55.56,02039
2,40,103,32,31.07,71,68.93,02040
2,41,40,12,30.0,28,70.0,02041
2,42,28,10,35.71,18,64.29,02042
2,43,137,49,35.77,88,64.23,02043
2,44,121,63,52.07,58,47.93,02044
2,45,42,10,23.81,32,76.19,02045
2,46,205,66,32.2,139,67.8,02046
2,47,79,26,32.91,53,67.09,02047
2,48,137,60,43.8,77,56.2,02048
2,49,38,16,42.11,22,57.89,02049
2,50,50,25,50.0,25,50.0,02050
2,51,87,51,58.62,36,41.38,02051
2,52,73,21,28.77,52,71.23,02052
2,53,46,22,47.83,24,52.17,02053
2,54,120,39,32.5,81,67.5,02054
3,1,118,46,38.98,72,61.02,03001
3,2,150,84,56.0,66,44.0,03002
3,3,37,11,29.73,26,70.27,03003
3,4,53,18,33.96,35,66.04,03004
3,5,38,16,42.11,22,57.89,03005
3,6,28,13,46.43,15,53.57,03006
3,7,14,6,42.86,8,57.14,03007
3,8,48,22,45.83,26,54.17,03008
3,9,68,29,42.65,39,57.35,03009
3,10,115,47,40.87,68,59.13,03010
3,11,52,26,50.0,26,50.0,03011
3,12,79,36,45.57,43,54.43,03012
3,13,21,15,71.43,6,28.57,03013
3,14,38,15,39.47,23,60.53,03014
3,15,65,38,58.46,27,41.54,03015
3,16,139,84,60.43,55,39.57,03016
3,17,70,35,50.0,35,50.0,03017
3,18,66,28,42.42,38,57.58,03018
3,19,41,24,58.54,17,41.46,03019
3,20,31,20,64.52,11,35.48,03020
3,21,51,34,66.67,17,33.33,03021
3,22,68,34,50.0,34,50.0,03022
3,23,23,5,21.74,18,78.26,03023
3,24,82,38,46.34,44,53.66,03024
3,25,20,5,25.0,15,75.0,03025
3,26,58,26,44.83,32,55.17,03026
3,27,11,3,27.27,8,72.73,03027
3,28,87,39,44.83,48,55.17,03028
3,29,12,4,33.33,8,66.67,03029
3,30,87,50,57.47,37,42.53,03030
3,31,76,49,64.47,27,35.53,03031
3,32,103,55,53.4,48,46.6,03032
3,33,82,30,36.59,52,63.41,03033
3,34,25,15,60.0,10,40.0,03034
3,35,81,39,48.15,42,51.85,03035
3,36,33,16,48.48,17,51.52,03036
3,37,85,39,45.88,46,54.12,03037
3,38,113,59,52.21,54,47.79,03038
3,39,140,67,47.86,73,52.14,03039
3,40,77,39,50.65,38,49.35,03040
3,41,66,15,22.73,51,77.27,03041
3,42,28,13,46.43,15,53.57,03042
3,43,13,7,53.85,6,46.15,03043
3,44,56,41,73.21,15,26.79,03044
3,45,31,10,32.26,21,67.74,03045
3,46,8,4,50.0,4,50.0,03046
3,47,61,34,55.74,27,44.26,03047
3,48,60,27,45.0,33,55.0,03048
3,49,53,24,45.28,29,54.72,03049
3,50,75,37,49.33,38,50.67,03050
3,51,45,27,60.0,18,40.0,03051
3,52,93,41,44.09,52,55.91,03052
4,1,122,21,17.21,101,82.79,04001
4,2,23,10,43.48,13,56.52,04002
4,3,140,38,27.14,102,72.86,04003
4,4,131,29,22.14,102,77.86,04004
4,5,118,28,23.73,90,76.27,04005
4,6,2,0,0.0,2,100.0,04006
4,7,81,16,19.75,65,80.25,04007
4,8,145,52,35.86,93,64.14,04008
4,9,234,60,25.64,174,74.36,04009
4,10,144,34,23.61,110,76.39,04010
4,11,97,28,28.87,69,71.13,04011
4,12,82,26,31.71,56,68.29,04012
4,13,148,39,26.35,109,73.65,04013
4,14,73,21,28.77,52,71.23,04014
4,15,77,26,33.77,51,66.23,04015
4,16,120,47,39.17,73,60.83,04016
4,17,147,45,30.61,102,69.39,04017
4,18,96,28,29.17,68,70.83,04018
4,19,32,8,25.0,24,75.0,04019
4,20,49,14,28.57,35,71.43,04020
4,21,125,36,28.8,89,71.2,04021
4,22,177,28,15.82,149,84.18,04022
4,23,93,19,20.43,74,79.57,04023
4,24,146,38,26.03,108,73.97,04024
4,25,127,32,25.2,95,74.8,04025
4,26,92,27,29.35,65,70.65,04026
4,27,166,47,28.31,119,71.69,04027
4,28,132,25,18.94,107,81.06,04028
4,29,118,36,30.51,82,69.49,04029
4,30,27,14,51.85,13,48.15,04030
4,31,40,19,47.5,21,52.5,04031
4,32,139,30,21.58,109,78.42,04032
4,33,43,13,30.23,30,69.77,04033
4,34,121,17,14.05,104,85.95,04034
4,35,82,18,21.95,64,78.05,04035
4,36,153,31,20.26,122,79.74,04036
4,37,72,30,41.67,42,58.33,04037
4,38,177,54,30.51,123,69.49,04038
4,39,52,9,17.31,43,82.69,04039
4,40,101,22,21.78,79,78.22,04040
4,41,101,13,12.87,88,87.13,04041
4,42,74,16,21.62,58,78.38,04042
4,43,99,21,21.21,78,78.79,04043
4,44,83,19,22.89,64,77.11,04044
4,45,207,56,27.05,151,72.95,04045
4,46,113,32,28.32,81,71.68,04046
4,47,162,35,21.6,127,78.4,04047
4,48,177,27,15.25,150,84.75,04048
4,49,24,10,41.67,14,58.33,04049
4,50,101,39,38.61,62,61.39,04050
4,51,155,36,23.23,119,76.77,04051
4,52,34,10,29.41,24,70.59,04052
4,53,25,8,32.0,17,68.0,04053
4,54,75,18,24.0,57,76.0,04054
4,55,98,16,16.33,82,83.67,04055
5,1,131,65,49.62,66,50.38,05001
5,2,103,38,36.89,65,63.11,05002
5,3,129,55,42.64,74,57.36,05003
5,4,161,42,26.09,119,73.91,05004
5,5,101,37,36.63,64,63.37,05005
5,6,134,51,38.06,83,61.94,05006
5,7,128,64,50.0,64,50.0,05007
5,8,178,77,43.26,101,56.74,05008
5,9,122,45,36.89,77,63.11,05009
5,10,70,20,28.57,50,71.43,05010
5,11,50,11,22.0,39,78.0,05011
5,12,129,45,34.88,84,65.12,05012
5,13,125,53,42.4,72,57.6,05013
5,14,113,42,37.17,71,62.83,05014
5,15,79,30,37.97,49,62.03,05015
5,16,75,22,29.33,53,70.67,05016
5,17,64,31,48.44,33,51.56,05017
5,18,79,25,31.65,54,68.35,05018
5,19,93,32,34.41,61,65.59,05019
5,20,82,33,40.24,49,59.76,05020
5,21,160,65,40.63,95,59.38,05021
5,22,125,40,32.0,85,68.0,05022
5,23,98,45,45.92,53,54.08,05023
5,24,112,42,37.5,70,62.5,05024
5,25,90,29,32.22,61,67.78,05025
5,26,69,33,47.83,36,52.17,05026
5,27,40,8,20.0,32,80.0,05027
5,28,156,58,37.18,98,62.82,05028
5,29,83,29,34.94,54,65.06,05029
5,30,126,49,38.89,77,61.11,05030
5,31,86,44,51.16,42,48.84,05031
5,32,166,57,34.34,109,65.66,05032
5,33,113,38,33.63,75,66.37,05033
5,34,88,41,46.59,47,53.41,05034
5,35,78,25,32.05,53,67.95,05035
5,36,126,55,43.65,71,56.35,05036
5,37,85,33,38.82,52,61.18,05037
5,38,144,56,38.89,88,61.11,05038
5,39,136,43,31.62,93,68.38,05039
5,40,87,28,32.18,59,67.82,05040
5,41,94,32,34.04,62,65.96,05041
5,42,123,45,36.59,78,63.41,05042
5,43,124,37,29.84,87,70.16,05043
5,44,112,40,35.71,72,64.29,05044
5,45,76,30,39.47,46,60.53,05045
5,46,122,38,31.15,84,68.85,05046
5,47,85,29,34.12,56,65.88,05047
5,48,116,36,31.03,80,68.97,05048
5,49,131,44,33.59,87,66.41,05049
5,50,72,25,34.72,47,65.28,05050
5,51,93,29,31.18,64,68.82,05051
5,52,74,23,31.08,51,68.92,05052
5,53,90,30,33.33,60,66.67,05053
5,54,62,27,43.55,35,56.45,05054
5,55,124,63,50.81,61,49.19,05055
5,56,75,27,36.0,48,64.0,05056
5,57,121,33,27.27,88,72.73,05057
5,58,77,38,49.35,39,50.65,05058
5,59,64,18,28.13,46,71.88,05059
6,1,180,92,51.11,88,48.89,06001
6,2,166,46,27.71,120,72.29,06002
6,3,139,68,48.92,71,51.08,06003
6,4,92,37,40.22,55,59.78,06004
6,5,71,26,36.62,45,63.38,06005
6,6,155,55,35.48,100,64.52,06006
6,7,106,33,31.13,73,68.87,06007
6,8,154,65,42.21,89,57.79,06008
6,9,158,68,43.04,90,56.96,06009
6,10,197,85,43.15,112,56.85,06010
6,11,131,51,38.93,80,61.07,06011
6,12,98,37,37.76,61,62.24,06012
6,13,138,49,35.51,89,64.49,06013
6,14,132,50,37.88,82,62.12,06014
6,15,73,34,46.58,39,53.42,06015
6,16,163,58,35.58,105,64.42,06016
6,17,192,80,41.67,112,58.33,06017
6,18,47,15,31.91,32,68.09,06018
6,19,132,54,40.91,78,59.09,06019
6,20,42,17,40.48,25,59.52,06020
6,21,135,36,26.67,99,73.33,06021
6,22,131,42,32.06,89,67.94,06022
6,23,89,27,30.34,62,69.66,06023
6,24,123,41,33.33,82,66.67,06024
6,25,130,55,42.31,75,57.69,06025
6,26,134,56,41.79,78,58.21,06026
6,27,183,79,43.17,104,56.83,06027
6,28,173,87,50.29,86,49.71,06028
6,29,162,84,51.85,78,48.15,06029
6,30,117,44,37.61,73,62.39,06030
6,31,198,83,41.92,115,58.08,06031
6,32,143,59,41.26,84,58.74,06032
6,33,143,44,30.77,99,69.23,06033
6,34,119,46,38.66,73,61.34,06034
6,35,180,73,40.56,107,59.44,06035
6,36,73,30,41.1,43,58.9,06036
6,37,189,103,54.5,86,45.5,06037
6,38,180,76,42.22,104,57.78,06038
6,39,79,30,37.97,49,62.03,06039
6,40,67,21,31.34,46,68.66,06040
6,41,169,73,43.2,96,56.8,06041
6,42,81,29,35.8,52,64.2,06042
6,43,169,83,49.11,86,50.89,06043
6,44,128,60,46.88,68,53.13,06044
6,45,76,25,32.89,51,67.11,06045
6,46,114,40,35.09,74,64.91,06046
6,47,175,75,42.86,100,57.14,06047
6,48,159,62,38.99,97,61.01,06048
6,49,109,41,37.61,68,62.39,06049
6,50,156,47,30.13,109,69.87,06050
6,51,93,41,44.09,52,55.91,06051
6,52,117,37,31.62,80,68.38,06052
6,53,118,51,43.22,67,56.78,06053
6,54,109,40,36.7,69,63.3,06054
6,55,100,37,37.0,63,63.0,06055
6,56,106,55,51.89,51,48.11,06056
6,57,68,25,36.76,43,63.24,06057
6,58,161,83,51.55,78,48.45,06058
6,59,127,54,42.52,73,57.48,06059
6,60,92,28,30.43,64,69.57,06060
6,61,84,32,38.1,52,61.9,06061
6,62,148,53,35.81,95,64.19,06062
6,63,122,36,29.51,86,70.49,06063
6,64,163,52,31.9,111,68.1,06064
7,1,204,83,40.69,121,59.31,07001
7,2,150,72,48.0,78,52.0,07002
7,3,115,52,45.22,63,54.78,07003
7,4,117,56,47.86,61,52.14,07004
7,5,93,51,54.84,42,45.16,07005
7,6,117,71,60.68,46,39.32,07006
7,7,109,51,46.79,58,53.21,07007
7,8,97,50,51.55,47,48.45,07008
7,9,121,55,45.45,66,54.55,07009
7,10,156,42,26.92,114,73.08,07010
7,11,133,60,45.11,73,54.89,07011
7,12,134,74,55.22,60,44.78,07012
7,13,74,32,43.24,42,56.76,07013
7,14,120,45,37.5,75,62.5,07014
7,15,192,87,45.31,105,54.69,07015
7,16,132,63,47.73,69,52.27,07016
7,17,122,53,43.44,69,56.56,07017
7,18,130,79,60.77,51,39.23,07018
7,19,170,78,45.88,92,54.12,07019
7,20,32,7,21.88,25,78.13,07020
7,21,140,68,48.57,72,51.43,07021
7,22,123,53,43.09,70,56.91,07022
7,23,133,67,50.38,66,49.62,07023
7,24,179,80,44.69,99,55.31,07024
7,25,111,59,53.15,52,46.85,07025
7,26,155,74,47.74,81,52.26,07026
7,27,140,45,32.14,95,67.86,07027
7,28,123,55,44.72,68,55.28,07028
7,29,74,38,51.35,36,48.65,07029
7,30,206,83,40.29,123,59.71,07030
7,31,171,73,42.69,98,57.31,07031
7,32,122,68,55.74,54,44.26,07032
7,33,139,68,48.92,71,51.08,07033
7,34,100,44,44.0,56,56.0,07034
7,35,162,64,39.51,98,60.49,07035
7,36,212,90,42.45,122,57.55,07036
7,37,161,68,42.24,93,57.76,07037
7,38,147,65,44.22,82,55.78,07038
7,39,128,62,48.44,66,51.56,07039
7,40,104,41,39.42,63,60.58,07040
7,41,159,65,40.88,94,59.12,07041
7,42,134,59,44.03,75,55.97,07042
7,43,145,63,43.45,82,56.55,07043
7,44,175,76,43.43,99,56.57,07044
7,45,182,95,52.2,87,47.8,07045
7,46,41,24,58.54,17,41.46,07046
8,1,160,63,39.38,97,60.63,08001
8,2,105,35,33.33,70,66.67,08002
8,3,200,91,45.5,109,54.5,08003
8,4,157,77,49.04,80,50.96,08004
8,5,187,85,45.45,102,54.55,08005
8,6,161,60,37.27,101,62.73,08006
8,7,85,36,42.35,49,57.65,08007
8,8,177,73,41.24,104,58.76,08008
8,9,180,69,38.33,111,61.67,08009
8,10,169,53,31.36,116,68.64,08010
8,11,109,42,38.53,67,61.47,08011
8,12,125,48,38.4,77,61.6,08012
8,13,96,45,46.88,51,53.13,08013
8,14,113,59,52.21,54,47.79,08014
8,15,119,53,44.54,66,55.46,08015
8,16,162,62,38.27,100,61.73,08016
8,17,131,61,46.56,70,53.44,08017
8,18,87,32,36.78,55,63.22,08018
8,19,194,69,35.57,125,64.43,08019
8,20,121,48,39.67,73,60.33,08020
8,21,122,70,57.38,52,42.62,08021
8,22,132,55,41.67,77,58.33,08022
8,23,127,46,36.22,81,63.78,08023
8,24,162,65,40.12,97,59.88,08024
8,25,140,52,37.14,88,62.86,08025
8,26,80,29,36.25,51,63.75,08026
8,27,159,74,46.54,85,53.46,08027
8,28,128,67,52.34,61,47.66,08028
8,29,123,52,42.28,71,57.72,08029
8,30,128,54,42.19,74,57.81,08030
8,31,128,52,40.63,76,59.38,08031
8,32,219,81,36.99,138,63.01,08032
8,33,90,43,47.78,47,52.22,08033
8,34,174,66,37.93,108,62.07,08034
8,35,201,83,41.29,118,58.71,08035
8,36,131,53,40.46,78,59.54,08036
8,37,117,50,42.74,67,57.26,08037
8,38,145,73,50.34,72,49.66,08038
8,39,142,56,39.44,86,60.56,08039
8,40,136,58,42.65,78,57.35,08040
8,41,126,50,39.68,76,60.32,08041
8,42,133,56,42.11,77,57.89,08042
8,43,84,33,39.29,51,60.71,08043
8,44,173,70,40.46,103,59.54,08044
8,45,139,63,45.32,76,54.68,08045
8,46,128,55,42.97,73,57.03,08046
8,47,153,63,41.18,90,58.82,08047
8,48,157,57,36.31,100,63.69,08048
8,49,175,61,34.86,114,65.14,08049
8,50,142,56,39.44,86,60.56,08050
8,51,135,46,34.07,89,65.93,08051
8,52,166,63,37.95,103,62.05,08052
8,53,161,64,39.75,97,60.25,08053
8,54,154,66,42.86,88,57.14,08054
8,55,129,55,42.64,74,57.36,08055
8,56,102,48,47.06,54,52.94,08056
8,57,158,67,42.41,91,57.59,08057
8,58,150,72,48.0,78,52.0,08058
8,59,127,74,58.27,53,41.73,08059
8,60,184,77,41.85,107,58.15,08060
8,61,115,51,44.35,64,55.65,08061
8,62,180,77,42.78,103,57.22,08062
8,63,178,62,34.83,116,65.17,08063
8,64,89,49,55.06,40,44.94,08064
8,65,135,54,40.0,81,60.0,08065
8,66,195,84,43.08,111,56.92,08066
9,1,159,44,27.67,115,72.33,09001
9,2,156,31,19.87,125,80.13,09002
9,3,74,17,22.97,57,77.03,09003
9,4,173,37,21.39,136,78.61,09004
9,5,128,43,33.59,85,66.41,09005
9,6,140,37,26.43,103,73.57,09006
9,7,124,25,20.16,99,79.84,09007
9,8,124,31,25.0,93,75.0,09008
9,9,154,32,20.78,122,79.22,09009
9,10,127,34,26.77,93,73.23,09010
9,11,69,16,23.19,53,76.81,09011
9,12,119,32,26.89,87,73.11,09012
9,13,197,48,24.37,149,75.63,09013
9,14,213,51,23.94,162,76.06,09014
9,15,54,16,29.63,38,70.37,09015
9,16,124,38,30.65,86,69.35,09016
9,17,131,42,32.06,89,67.94,09017
9,18,115,28,24.35,87,75.65,09018
9,19,147,35,23.81,112,76.19,09019
9,20,149,38,25.5,111,74.5,09020
9,21,107,26,24.3,81,75.7,09021
9,22,167,34,20.36,133,79.64,09022
9,23,99,31,31.31,68,68.69,09023
9,24,45,10,22.22,35,77.78,09024
9,25,63,16,25.4,47,74.6,09025
9,26,81,27,33.33,54,66.67,09026
9,27,104,29,27.88,75,72.12,09027
9,28,92,37,40.22,55,59.78,09028
9,29,116,35,30.17,81,69.83,09029
9,30,145,33,22.76,112,77.24,09030
9,31,80,23,28.75,57,71.25,09031
9,32,155,48,30.97,107,69.03,09032
9,33,112,22,19.64,90,80.36,09033
9,34,90,24,26.67,66,73.33,09034
9,35,138,39,28.26,99,71.74,09035
9,36,59,14,23.73,45,76.27,09036
9,37,148,74,50.0,74,50.0,09037
9,38,102,34,33.33,68,66.67,09038
9,39,124,34,27.42,90,72.58,09039
9,40,140,35,25.0,105,75.0,09040
9,41,161,35,21.74,126,78.26,09041
9,42,95,27,28.42,68,71.58,09042
9,43,74,20,27.03,54,72.97,09043
9,44,113,26,23.01,87,76.99,09044
9,45,164,43,26.22,121,73.78,09045
9,46,132,34,25.76,98,74.24,09046
9,47,89,21,23.6,68,76.4,09047
9,48,157,38,24.2,119,75.8,09048
9,49,59,17,28.81,42,71.19,09049
9,50,170,37,21.76,133,78.24,09050
9,51,93,26,27.96,67,72.04,09051
9,52,142,36,25.35,106,74.65,09052
10,1,78,39,50.0,39,50.0,10001
10,2,94,61,64.89,33,35.11,10002
10,3,157,112,71.34,45,28.66,10003
10,4,160,76,47.5,84,52.5,10004
10,5,108,73,67.59,35,32.41,10005
10,6,154,49,31.82,105,68.18,10006
10,7,46,22,47.83,24,52.17,10007
10,8,137,96,70.07,41,29.93,10008
10,9,133,95,71.43,38,28.57,10009
10,10,120,45,37.5,75,62.5,10010
10,11,129,71,55.04,58,44.96,10011
10,12,122,70,57.38,52,42.62,10012
10,13,166,106,63.86,60,36.14,10013
10,14,25,11,44.0,14,56.0,10014
10,15,64,43,67.19,21,32.81,10015
10,16,127,101,79.53,26,20.47,10016
10,17,115,93,80.87,22,19.13,10017
10,18,101,51,50.5,50,49.5,10018
10,19,198,126,63.64,72,36.36,10019
10,20,232,152,65.52,80,34.48,10020
10,21,94,60,63.83,34,36.17,10021
10,22,42,24,57.14,18,42.86,10022
10,23,156,89,57.05,67,42.95,10023
10,24,126,99,78.57,27,21.43,10024
10,25,153,75,49.02,78,50.98,10025
10,26,95,50,52.63,45,47.37,10026
10,27,178,130,73.03,48,26.97,10027
10,28,129,44,34.11,85,65.89,10028
10,29,130,41,31.54,89,68.46,10029
10,30,158,97,61.39,61,38.61,10030
10,31,139,86,61.87,53,38.13,10031
10,32,137,84,61.31,53,38.69,10032
10,33,129,77,59.69,52,40.31,10033
10,34,126,69,54.76,57,45.24,10034
10,35,116,63,54.31,53,45.69,10035
10,36,158,83,52.53,75,47.47,10036
10,37,111,55,49.55,56,50.45,10037
10,38,177,110,62.15,67,37.85,10038
10,39,145,85,58.62,60,41.38,10039
10,40,117,62,52.99,55,47.01,10040
10,41,189,128,67.72,61,32.28,10041
10,42,124,83,66.94,41,33.06,10042
10,43,126,60,47.62,66,52.38,10043
10,44,140,73,52.14,67,47.86,10044
10,45,166,96,57.83,70,42.17,10045
10,46,120,78,65.0,42,35.0,10046
11,1,154,131,85.06,23,14.94,11001
11,2,136,108,79.41,28,20.59,11002
11,3,161,131,81.37,30,18.63,11003
11,4,172,148,86.05,24,13.95,11004
11,5,82,53,64.63,29,35.37,11005
11,6,230,190,82.61,40,17.39,11006
11,7,200,179,89.5,21,10.5,11007
11,8,171,135,78.95,36,21.05,11008
11,9,197,182,92.39,15,7.61,11009
11,10,102,80,78.43,22,21.57,11010
11,11,148,110,74.32,38,25.68,11011
11,12,186,157,84.41,29,15.59,11012
11,13,158,132,83.54,26,16.46,11013
11,14,64,41,64.06,23,35.94,11014
11,15,144,114,79.17,30,20.83,11015
11,16,134,112,83.58,22,16.42,11016
11,17,204,152,74.51,52,25.49,11017
11,18,128,105,82.03,23,17.97,11018
11,19,129,110,85.27,19,14.73,11019
11,20,219,194,88.58,25,11.42,11020
11,21,273,235,86.08,38,13.92,11021
11,22,79,64,81.01,15,18.99,11022
11,23,154,107,69.48,47,30.52,11023
11,24,275,259,94.18,16,5.82,11024
11,25,132,110,83.33,22,16.67,11025
11,26,214,175,81.78,39,18.22,11026
11,27,48,26,54.17,22,45.83,11027
11,28,33,28,84.85,5,15.15,11028
11,29,240,194,80.83,46,19.17,11029
11,30,147,107,72.79,40,27.21,11030
11,31,51,36,70.59,15,29.41,11031
11,32,140,127,90.71,13,9.29,11032
11,33,79,44,55.7,35,44.3,11033
11,34,90,75,83.33,15,16.67,11034
11,35,182,159,87.36,23,12.64,11035
11,36,82,59,71.95,23,28.05,11036
11,37,254,228,89.76,26,10.24,11037
11,38,271,227,83.76,44,16.24,11038
11,39,217,168,77.42,49,22.58,11039
11,40,179,155,86.59,24,13.41,11040
11,41,138,115,83.33,23,16.67,11041
11,42,120,106,88.33,14,11.67,11042
11,43,175,146,83.43,29,16.57,11043
11,44,149,120,80.54,29,19.46,11044
11,45,133,111,83.46,22,16.54,11045
11,46,89,56,62.92,33,37.08,11046
11,47,164,138,84.15,26,15.85,11047
11,48,105,81,77.14,24,22.86,11048
11,49,111,94,84.68,17,15.32,11049
11,50,96,83,86.46,13,13.54,11050
11,51,181,156,86.19,25,13.81,11051
11,52,147,126,85.71,21,14.29,11052
11,53,152,135,88.82,17,11.18,11053
11,54,75,69,92.0,6,8.0,11054
12,1,50,27,54.0,23,46.0,12001
12,2,96,56,58.33,40,41.67,12002
12,3,95,50,52.63,45,47.37,12003
12,4,78,49,62.82,29,37.18,12004
12,5,47,30,63.83,17,36.17,12005
12,6,98,51,52.04,47,47.96,12006
12,7,53,31,58.49,22,41.51,12007
12,8,57,32,56.14,25,43.86,12008
12,9,78,53,67.95,25,32.05,12009
12,10,53,38,71.7,15,28.3,12010
12,11,96,55,57.29,41,42.71,12011
12,12,72,40,55.56,32,44.44,12012
12,13,42,27,64.29,15,35.71,12013
12,14,62,32,51.61,30,48.39,12014
12,15,68,36,52.94,32,47.06,12015
12,16,109,64,58.72,45,41.28,12016
12,17,35,15,42.86,20,57.14,12017
12,18,59,35,59.32,24,40.68,12018
12,19,42,22,52.38,20,47.62,12019
12,20,54,28,51.85,26,48.15,12020
12,21,123,65,52.85,58,47.15,12021
12,22,54,29,53.7,25,46.3,12022
12,23,110,47,42.73,63,57.27,12023
12,24,38,19,50.0,19,50.0,12024
12,25,63,36,57.14,27,42.86,12025
12,26,46,21,45.65,25,54.35,12026
12,27,48,34,70.83,14,29.17,12027
12,28,51,33,64.71,18,35.29,12028
12,29,173,109,63.01,64,36.99,12029
12,30,127,67,52.76,60,47.24,12030
13,1,119,95,79.83,24,20.17,13001
13,2,132,112,84.85,20,15.15,13002
13,3,274,248,90.51,26,9.49,13003
13,4,210,177,84.29,33,15.71,13004
13,5,149,133,89.26,16,10.74,13005
13,6,122,91,74.59,31,25.41,13006
13,7,262,238,90.84,24,9.16,13007
13,8,189,165,87.3,24,12.7,13008
13,9,212,186,87.74,26,12.26,13009
13,10,172,145,84.3,27,15.7,13010
13,11,115,91,79.13,24,20.87,13011
13,12,239,216,90.38,23,9.62,13012
13,13,288,264,91.67,24,8.33,13013
13,14,140,118,84.29,22,15.71,13014
13,15,261,244,93.49,17,6.51,13015
13,16,177,155,87.57,22,12.43,13016
13,17,129,105,81.4,24,18.6,13017
13,18,142,110,77.46,32,22.54,13018
13,19,149,117,78.52,32,21.48,13019
13,20,165,118,71.52,47,28.48,13020
13,21,187,172,91.98,15,8.02,13021
13,22,282,248,87.94,34,12.06,13022
13,23,226,209,92.48,17,7.52,13023
13,24,218,178,81.65,40,18.35,13024
13,25,142,115,80.99,27,19.01,13025
13,26,147,126,85.71,21,14.29,13026
13,27,186,157,84.41,29,15.59,13027
13,28,132,112,84.85,20,15.15,13028
13,29,173,139,80.35,34,19.65,13029
13,30,167,140,83.83,27,16.17,13030
13,31,171,135,78.95,36,21.05,13031
13,32,106,62,58.49,44,41.51,13032
13,33,163,140,85.89,23,14.11,13033
13,34,219,191,87.21,28,12.79,13034
13,35,234,220,94.02,14,5.98,13035
13,36,121,95,78.51,26,21.49,13036
13,37,138,122,88.41,16,11.59,13037
13,38,104,87,83.65,17,16.35,13038
13,39,169,143,84.62,26,15.38,13039
13,40,154,125,81.17,29,18.83,13040
13,41,137,108,78.83,29,21.17,13041
13,42,308,269,87.34,39,12.66,13042
13,43,200,177,88.5,23,11.5,13043
13,44,95,68,71.58,27,28.42,13044
13,45,94,61,64.89,33,35.11,13045
