ward,precinct,total,M. FRANK AVILA,M. FRANK AVILA Percent,MEL (DEMETRIUS) JOHNSON,MEL (DEMETRIUS) JOHNSON Percent,ZDZISLAWA POPIELARCZYK,ZDZISLAWA POPIELARCZYK Percent,JOSEPH M. GLORIOSO,JOSEPH M. GLORIOSO Percent,ANTHONY J. WIORSKI,ANTHONY J. WIORSKI Percent,TERRENCE J. O'BRIEN,TERRENCE J. O'BRIEN Percent,"HARRY """"BUS"""" YOURELL","HARRY """"BUS"""" YOURELL Percent","JAMES """"JIM"""" HARRIS","JAMES """"JIM"""" HARRIS Percent",NADINE M. ZAPOLSKY,NADINE M. ZAPOLSKY Percent,LAWRENCE F. ANDOLINO,LAWRENCE F. ANDOLINO Percent,THOMAS FRANCIS COURTNEY,THOMAS FRANCIS COURTNEY Percent,JOHN J. MCNAMARA,JOHN J. MCNAMARA Percent,precinct_id
1,20,184,58,31.52,17,9.24,10,5.43,21,11.41,10,5.43,20,10.87,4,2.17,9,4.89,11,5.98,3,1.63,9,4.89,12,6.52,01020
1,21,348,51,14.66,13,3.74,22,6.32,80,22.99,24,6.9,39,11.21,18,5.17,22,6.32,20,5.75,11,3.16,12,3.45,36,10.34,01021
1,22,167,45,26.95,10,5.99,7,4.19,27,16.17,5,2.99,26,15.57,9,5.39,13,7.78,7,4.19,4,2.4,3,1.8,11,6.59,01022
1,23,468,86,18.38,20,4.27,37,7.91,85,18.16,32,6.84,51,10.9,26,5.56,30,6.41,31,6.62,8,1.71,23,4.91,39,8.33,01023
1,24,263,34,12.93,9,3.42,16,6.08,79,30.04,16,6.08,24,9.13,8,3.04,11,4.18,27,10.27,8,3.04,6,2.28,25,9.51,01024
1,25,348,52,14.94,13,3.74,22,6.32,91,26.15,14,4.02,40,11.49,17,4.89,15,4.31,24,6.9,11,3.16,10,2.87,39,11.21,01025
1,26,564,76,13.48,18,3.19,41,7.27,183,32.45,25,4.43,59,10.46,20,3.55,21,3.72,34,6.03,20,3.55,17,3.01,50,8.87,01026
1,27,202,50,24.75,14,6.93,6,2.97,52,25.74,4,1.98,19,9.41,9,4.46,13,6.44,10,4.95,7,3.47,8,3.96,10,4.95,01027
1,28,54,10,18.52,3,5.56,2,3.7,11,20.37,4,7.41,4,7.41,2,3.7,1,1.85,5,9.26,3,5.56,1,1.85,8,14.81,01028
1,29,425,96,22.59,16,3.76,36,8.47,83,19.53,26,6.12,37,8.71,22,5.18,22,5.18,34,8.0,8,1.88,19,4.47,26,6.12,01029
1,30,256,50,19.53,12,4.69,11,4.3,91,35.55,10,3.91,19,7.42,10,3.91,16,6.25,12,4.69,7,2.73,7,2.73,11,4.3,01030
1,31,72,15,20.83,8,11.11,1,1.39,6,8.33,1,1.39,6,8.33,5,6.94,14,19.44,5,6.94,0,0.0,6,8.33,5,6.94,01031
1,32,268,57,21.27,16,5.97,22,8.21,42,15.67,24,8.96,23,8.58,15,5.6,17,6.34,19,7.09,4,1.49,12,4.48,17,6.34,01032
1,33,364,86,23.63,9,2.47,27,7.42,68,18.68,18,4.95,46,12.64,11,3.02,18,4.95,24,6.59,15,4.12,8,2.2,34,9.34,01033
1,34,47,7,14.89,0,0.0,2,4.26,9,19.15,1,2.13,10,21.28,7,14.89,2,4.26,2,4.26,1,2.13,3,6.38,3,6.38,01034
1,35,93,13,13.98,6,6.45,6,6.45,38,40.86,5,5.38,7,7.53,2,2.15,2,2.15,3,3.23,3,3.23,2,2.15,6,6.45,01035
1,36,272,33,12.13,6,2.21,34,12.5,40,14.71,30,11.03,27,9.93,16,5.88,15,5.51,35,12.87,8,2.94,9,3.31,19,6.99,01036
2,1,232,30,12.93,24,10.34,9,3.88,7,3.02,6,2.59,31,13.36,23,9.91,31,13.36,19,8.19,5,2.16,16,6.9,31,13.36,02001
2,2,576,85,14.76,94,16.32,14,2.43,10,1.74,2,0.35,52,9.03,80,13.89,117,20.31,15,2.6,10,1.74,47,8.16,50,8.68,02002
2,3,172,22,12.79,24,13.95,4,2.33,6,3.49,5,2.91,24,13.95,18,10.47,32,18.6,7,4.07,8,4.65,14,8.14,8,4.65,02003
2,4,59,8,13.56,7,11.86,5,8.47,4,6.78,7,11.86,7,11.86,6,10.17,6,10.17,1,1.69,0,0.0,5,8.47,3,5.08,02004
2,5,126,10,7.94,12,9.52,2,1.59,2,1.59,4,3.17,21,16.67,19,15.08,23,18.25,5,3.97,3,2.38,13,10.32,12,9.52,02005
2,6,156,24,15.38,25,16.03,8,5.13,4,2.56,7,4.49,15,9.62,10,6.41,23,14.74,11,7.05,4,2.56,14,8.97,11,7.05,02006
2,7,376,39,10.37,58,15.43,8,2.13,5,1.33,9,2.39,43,11.44,41,10.9,73,19.41,22,5.85,7,1.86,30,7.98,41,10.9,02007
2,8,377,33,8.75,31,8.22,8,2.12,7,1.86,5,1.33,63,16.71,57,15.12,69,18.3,28,7.43,5,1.33,27,7.16,44,11.67,02008
2,9,127,20,15.75,16,12.6,2,1.57,6,4.72,6,4.72,18,14.17,7,5.51,15,11.81,8,6.3,9,7.09,6,4.72,14,11.02,02009
2,10,149,13,8.72,18,12.08,7,4.7,13,8.72,7,4.7,19,12.75,13,8.72,23,15.44,12,8.05,1,0.67,9,6.04,14,9.4,02010
2,11,526,50,9.51,34,6.46,21,3.99,6,1.14,16,3.04,82,15.59,73,13.88,84,15.97,36,6.84,10,1.9,39,7.41,75,14.26,02011
2,12,390,29,7.44,45,11.54,2,0.51,3,0.77,14,3.59,60,15.38,74,18.97,98,25.13,13,3.33,7,1.79,23,5.9,22,5.64,02012
2,13,557,64,11.49,69,12.39,7,1.26,9,1.62,9,1.62,64,11.49,88,15.8,133,23.88,21,3.77,12,2.15,47,8.44,34,6.1,02013
2,14,316,39,12.34,47,14.87,8,2.53,4,1.27,5,1.58,34,10.76,52,16.46,66,20.89,14,4.43,2,0.63,17,5.38,28,8.86,02014
2,15,81,9,11.11,10,12.35,4,4.94,5,6.17,2,2.47,11,13.58,6,7.41,11,13.58,3,3.7,4,4.94,7,8.64,9,11.11,02015
2,16,182,29,15.93,29,15.93,8,4.4,5,2.75,11,6.04,22,12.09,12,6.59,30,16.48,9,4.95,7,3.85,12,6.59,8,4.4,02016
2,17,195,26,13.33,29,14.87,3,1.54,4,2.05,3,1.54,26,13.33,22,11.28,44,22.56,10,5.13,5,2.56,15,7.69,8,4.1,02017
2,18,473,51,10.78,77,16.28,7,1.48,9,1.9,10,2.11,63,13.32,81,17.12,95,20.08,16,3.38,7,1.48,33,6.98,24,5.07,02018
2,19,130,16,12.31,24,18.46,7,5.38,3,2.31,6,4.62,17,13.08,8,6.15,20,15.38,6,4.62,4,3.08,10,7.69,9,6.92,02019
2,20,385,39,10.13,60,15.58,6,1.56,1,0.26,10,2.6,62,16.1,63,16.36,82,21.3,6,1.56,5,1.3,23,5.97,28,7.27,02020
2,21,327,30,9.17,56,17.13,6,1.83,7,2.14,3,0.92,44,13.46,46,14.07,71,21.71,13,3.98,8,2.45,22,6.73,21,6.42,02021
2,22,499,50,10.02,40,8.02,29,5.81,13,2.61,13,2.61,67,13.43,72,14.43,74,14.83,42,8.42,12,2.4,33,6.61,54,10.82,02022
2,23,199,28,14.07,24,12.06,6,3.02,5,2.51,5,2.51,22,11.06,23,11.56,38,19.1,6,3.02,8,4.02,15,7.54,19,9.55,02023
2,24,185,23,12.43,25,13.51,3,1.62,3,1.62,8,4.32,25,13.51,34,18.38,39,21.08,3,1.62,2,1.08,8,4.32,12,6.49,02024
2,25,77,9,11.69,12,15.58,2,2.6,3,3.9,0,0.0,10,12.99,11,14.29,11,14.29,3,3.9,2,2.6,6,7.79,8,10.39,02025
2,26,163,25,15.34,21,12.88,5,3.07,3,1.84,3,1.84,20,12.27,16,9.82,37,22.7,5,3.07,3,1.84,19,11.66,6,3.68,02026
2,27,35,5,14.29,6,17.14,1,2.86,0,0.0,1,2.86,4,11.43,3,8.57,7,20.0,1,2.86,1,2.86,4,11.43,2,5.71,02027
2,28,306,46,15.03,41,13.4,15,4.9,6,1.96,6,1.96,38,12.42,25,8.17,54,17.65,11,3.59,7,2.29,31,10.13,26,8.5,02028
2,29,145,18,12.41,21,14.48,12,8.28,9,6.21,4,2.76,14,9.66,14,9.66,20,13.79,4,2.76,5,3.45,10,6.9,14,9.66,02029
2,30,221,25,11.31,27,12.22,11,4.98,1,0.45,8,3.62,31,14.03,29,13.12,43,19.46,8,3.62,6,2.71,16,7.24,16,7.24,02030
2,31,392,35,8.93,64,16.33,5,1.28,7,1.79,4,1.02,48,12.24,59,15.05,98,25.0,16,4.08,2,0.51,28,7.14,26,6.63,02031
2,32,144,18,12.5,16,11.11,5,3.47,5,3.47,7,4.86,17,11.81,16,11.11,34,23.61,6,4.17,4,2.78,8,5.56,8,5.56,02032
2,33,550,88,16.0,102,18.55,9,1.64,3,0.55,3,0.55,54,9.82,64,11.64,125,22.73,19,3.45,8,1.45,38,6.91,37,6.73,02033
2,34,234,36,15.38,17,7.26,8,3.42,26,11.11,6,2.56,22,9.4,23,9.83,50,21.37,8,3.42,2,0.85,16,6.84,20,8.55,02034
2,35,62,10,16.13,8,12.9,5,8.06,0,0.0,4,6.45,7,11.29,6,9.68,5,8.06,4,6.45,3,4.84,3,4.84,7,11.29,02035
2,36,129,18,13.95,15,11.63,3,2.33,1,0.78,6,4.65,12,9.3,20,15.5,30,23.26,6,4.65,4,3.1,7,5.43,7,5.43,02036
2,37,191,18,9.42,19,9.95,4,2.09,3,1.57,5,2.62,30,15.71,24,12.57,30,15.71,11,5.76,7,3.66,17,8.9,23,12.04,02037
2,38,229,33,14.41,32,13.97,6,2.62,7,3.06,7,3.06,22,9.61,29,12.66,33,14.41,15,6.55,4,1.75,21,9.17,20,8.73,02038
2,39,193,30,15.54,28,14.51,5,2.59,10,5.18,2,1.04,21,10.88,21,10.88,40,20.73,11,5.7,2,1.04,12,6.22,11,5.7,02039
2,40,277,33,11.91,35,12.64,11,3.97,10,3.61,6,2.17,34,12.27,31,11.19,33,11.91,18,6.5,5,1.81,27,9.75,34,12.27,02040
2,41,94,14,14.89,12,12.77,1,1.06,3,3.19,4,4.26,12,12.77,9,9.57,17,18.09,5,5.32,1,1.06,7,7.45,9,9.57,02041
2,42,77,17,22.08,5,6.49,3,3.9,1,1.3,2,2.6,10,12.99,10,12.99,11,14.29,5,6.49,1,1.3,4,5.19,8,10.39,02042
2,43,402,44,10.95,22,5.47,12,2.99,10,2.49,12,2.99,70,17.41,61,15.17,64,15.92,28,6.97,8,1.99,27,6.72,44,10.95,02043
2,44,323,44,13.62,42,13.0,11,3.41,6,1.86,7,2.17,49,15.17,44,13.62,66,20.43,12,3.72,6,1.86,17,5.26,19,5.88,02044
2,45,134,16,11.94,23,17.16,3,2.24,5,3.73,3,2.24,13,9.7,16,11.94,24,17.91,8,5.97,2,1.49,11,8.21,10,7.46,02045
2,46,631,77,12.2,96,15.21,13,2.06,8,1.27,10,1.58,64,10.14,82,13.0,142,22.5,19,3.01,13,2.06,50,7.92,57,9.03,02046
2,47,242,33,13.64,36,14.88,6,2.48,4,1.65,2,0.83,32,13.22,26,10.74,51,21.07,11,4.55,6,2.48,14,5.79,21,8.68,02047
2,48,426,67,15.73,69,16.2,11,2.58,4,0.94,7,1.64,47,11.03,55,12.91,88,20.66,10,2.35,6,1.41,32,7.51,30,7.04,02048
2,49,116,14,12.07,8,6.9,4,3.45,0,0.0,1,0.86,18,15.52,19,16.38,18,15.52,8,6.9,2,1.72,6,5.17,18,15.52,02049
2,50,144,32,22.22,10,6.94,5,3.47,17,11.81,4,2.78,15,10.42,14,9.72,18,12.5,5,3.47,7,4.86,6,4.17,11,7.64,02050
2,51,213,25,11.74,24,11.27,7,3.29,8,3.76,9,4.23,22,10.33,24,11.27,54,25.35,8,3.76,4,1.88,11,5.16,17,7.98,02051
2,52,206,21,10.19,25,12.14,7,3.4,8,3.88,5,2.43,24,11.65,26,12.62,39,18.93,8,3.88,2,0.97,18,8.74,23,11.17,02052
2,53,126,15,11.9,21,16.67,2,1.59,4,3.17,2,1.59,14,11.11,14,11.11,25,19.84,5,3.97,2,1.59,12,9.52,10,7.94,02053
2,54,330,30,9.09,23,6.97,17,5.15,11,3.33,10,3.03,40,12.12,33,10.0,47,14.24,34,10.3,10,3.03,28,8.48,47,14.24,02054
3,1,326,28,8.59,48,14.72,7,2.15,15,4.6,13,3.99,35,10.74,42,12.88,71,21.78,13,3.99,4,1.23,20,6.13,30,9.2,03001
3,2,390,48,12.31,49,12.56,5,1.28,5,1.28,6,1.54,59,15.13,73,18.72,97,24.87,8,2.05,2,0.51,17,4.36,21,5.38,03002
3,3,81,8,9.88,14,17.28,1,1.23,2,2.47,5,6.17,10,12.35,8,9.88,14,17.28,4,4.94,1,1.23,11,13.58,3,3.7,03003
3,4,108,17,15.74,16,14.81,4,3.7,7,6.48,1,0.93,11,10.19,13,12.04,16,14.81,4,3.7,6,5.56,6,5.56,7,6.48,03004
3,5,89,9,10.11,8,8.99,4,4.49,5,5.62,8,8.99,12,13.48,7,7.87,16,17.98,5,5.62,5,5.62,5,5.62,5,5.62,03005
3,6,72,6,8.33,9,12.5,7,9.72,2,2.78,2,2.78,7,9.72,5,6.94,16,22.22,4,5.56,0,0.0,7,9.72,7,9.72,03006
3,7,37,6,16.22,3,8.11,3,8.11,0,0.0,1,2.7,8,21.62,1,2.7,7,18.92,0,0.0,2,5.41,4,10.81,2,5.41,03007
3,8,111,17,15.32,11,9.91,4,3.6,6,5.41,7,6.31,13,11.71,15,13.51,16,14.41,5,4.5,4,3.6,5,4.5,8,7.21,03008
3,9,185,25,13.51,27,14.59,1,0.54,1,0.54,4,2.16,27,14.59,19,10.27,46,24.86,7,3.78,2,1.08,17,9.19,9,4.86,03009
3,10,288,31,10.76,40,13.89,10,3.47,12,4.17,8,2.78,41,14.24,38,13.19,64,22.22,10,3.47,7,2.43,17,5.9,10,3.47,03010
3,11,142,13,9.15,19,13.38,1,0.7,1,0.7,5,3.52,26,18.31,17,11.97,32,22.54,5,3.52,2,1.41,12,8.45,9,6.34,03011
3,12,216,24,11.11,23,10.65,4,1.85,7,3.24,5,2.31,34,15.74,35,16.2,45,20.83,7,3.24,4,1.85,17,7.87,11,5.09,03012
3,13,61,9,14.75,5,8.2,1,1.64,2,3.28,2,3.28,12,19.67,9,14.75,11,18.03,3,4.92,1,1.64,5,8.2,1,1.64,03013
3,14,95,20,21.05,10,10.53,4,4.21,2,2.11,1,1.05,9,9.47,10,10.53,22,23.16,4,4.21,2,2.11,6,6.32,5,5.26,03014
3,15,167,14,8.38,26,15.57,5,2.99,5,2.99,2,1.2,28,16.77,19,11.38,39,23.35,8,4.79,0,0.0,12,7.19,9,5.39,03015
3,16,410,20,4.88,34,8.29,3,0.73,5,1.22,5,1.22,77,18.78,96,23.41,114,27.8,9,2.2,3,0.73,16,3.9,28,6.83,03016
3,17,193,17,8.81,11,5.7,4,2.07,9,4.66,8,4.15,29,15.03,35,18.13,40,20.73,5,2.59,5,2.59,15,7.77,15,7.77,03017
3,18,188,14,7.45,16,8.51,2,1.06,6,3.19,6,3.19,27,14.36,23,12.23,52,27.66,7,3.72,1,0.53,14,7.45,20,10.64,03018
3,19,102,12,11.76,12,11.76,4,3.92,5,4.9,5,4.9,15,14.71,10,9.8,22,21.57,4,3.92,3,2.94,5,4.9,5,4.9,03019
3,20,78,13,16.67,9,11.54,6,7.69,2,2.56,4,5.13,15,19.23,5,6.41,14,17.95,5,6.41,0,0.0,4,5.13,1,1.28,03020
3,21,134,8,5.97,10,7.46,3,2.24,4,2.99,3,2.24,24,17.91,27,20.15,34,25.37,2,1.49,2,1.49,7,5.22,10,7.46,03021
3,22,195,19,9.74,20,10.26,1,0.51,4,2.05,6,3.08,35,17.95,35,17.95,40,20.51,5,2.56,4,2.05,11,5.64,15,7.69,03022
3,23,58,8,13.79,8,13.79,2,3.45,4,6.9,4,6.9,5,8.62,3,5.17,9,15.52,4,6.9,2,3.45,7,12.07,2,3.45,03023
3,24,276,35,12.68,41,14.86,9,3.26,8,2.9,9,3.26,36,13.04,36,13.04,53,19.2,9,3.26,7,2.54,18,6.52,15,5.43,03024
3,25,53,6,11.32,7,13.21,3,5.66,1,1.89,5,9.43,5,9.43,6,11.32,12,22.64,3,5.66,0,0.0,2,3.77,3,5.66,03025
3,26,145,19,13.1,27,18.62,5,3.45,2,1.38,2,1.38,17,11.72,19,13.1,27,18.62,8,5.52,2,1.38,8,5.52,9,6.21,03026
3,27,37,7,18.92,3,8.11,2,5.41,0,0.0,3,8.11,5,13.51,4,10.81,2,5.41,3,8.11,2,5.41,4,10.81,2,5.41,03027
3,28,263,32,12.17,42,15.97,6,2.28,3,1.14,4,1.52,27,10.27,49,18.63,63,23.95,8,3.04,4,1.52,12,4.56,13,4.94,03028
3,29,27,4,14.81,5,18.52,1,3.7,1,3.7,0,0.0,1,3.7,3,11.11,6,22.22,1,3.7,2,7.41,1,3.7,2,7.41,03029
3,30,251,19,7.57,28,11.16,7,2.79,1,0.4,4,1.59,45,17.93,49,19.52,59,23.51,8,3.19,6,2.39,15,5.98,10,3.98,03030
3,31,240,23,9.58,20,8.33,5,2.08,3,1.25,3,1.25,46,19.17,50,20.83,58,24.17,4,1.67,2,0.83,16,6.67,10,4.17,03031
3,32,278,29,10.43,31,11.15,6,2.16,10,3.6,7,2.52,45,16.19,47,16.91,61,21.94,4,1.44,8,2.88,14,5.04,16,5.76,03032
3,33,223,26,11.66,28,12.56,7,3.14,4,1.79,8,3.59,28,12.56,33,14.8,48,21.52,11,4.93,2,0.9,14,6.28,14,6.28,03033
3,34,79,3,3.8,12,15.19,2,2.53,1,1.27,1,1.27,14,17.72,16,20.25,23,29.11,1,1.27,1,1.27,3,3.8,2,2.53,03034
3,35,223,28,12.56,29,13.0,7,3.14,3,1.35,4,1.79,31,13.9,35,15.7,45,20.18,6,2.69,6,2.69,13,5.83,16,7.17,03035
3,36,90,12,13.33,10,11.11,3,3.33,2,2.22,5,5.56,15,16.67,12,13.33,17,18.89,3,3.33,0,0.0,5,5.56,6,6.67,03036
3,37,187,17,9.09,24,12.83,2,1.07,5,2.67,0,0.0,31,16.58,32,17.11,39,20.86,8,4.28,4,2.14,15,8.02,10,5.35,03037
3,38,371,40,10.78,42,11.32,18,4.85,7,1.89,14,3.77,47,12.67,55,14.82,82,22.1,11,2.96,4,1.08,27,7.28,24,6.47,03038
3,39,481,47,9.77,47,9.77,9,1.87,7,1.46,9,1.87,80,16.63,81,16.84,115,23.91,17,3.53,7,1.46,30,6.24,32,6.65,03039
3,40,181,15,8.29,27,14.92,1,0.55,2,1.1,2,1.1,24,13.26,30,16.57,40,22.1,7,3.87,5,2.76,15,8.29,13,7.18,03040
3,41,155,13,8.39,24,15.48,8,5.16,3,1.94,5,3.23,22,14.19,18,11.61,32,20.65,6,3.87,3,1.94,11,7.1,10,6.45,03041
3,42,84,13,15.48,12,14.29,3,3.57,1,1.19,3,3.57,11,13.1,6,7.14,21,25.0,2,2.38,1,1.19,6,7.14,5,5.95,03042
3,43,27,7,25.93,5,18.52,0,0.0,0,0.0,2,7.41,3,11.11,1,3.7,4,14.81,1,3.7,2,7.41,1,3.7,1,3.7,03043
3,44,154,9,5.84,7,4.55,3,1.95,3,1.95,3,1.95,37,24.03,36,23.38,40,25.97,2,1.3,1,0.65,10,6.49,3,1.95,03044
3,45,73,17,23.29,12,16.44,4,5.48,1,1.37,4,5.48,8,10.96,0,0.0,9,12.33,5,6.85,1,1.37,6,8.22,6,8.22,03045
3,46,25,6,24.0,3,12.0,0,0.0,0,0.0,0,0.0,5,20.0,3,12.0,4,16.0,2,8.0,0,0.0,1,4.0,1,4.0,03046
3,47,163,21,12.88,20,12.27,2,1.23,4,2.45,2,1.23,25,15.34,18,11.04,36,22.09,4,2.45,3,1.84,19,11.66,9,5.52,03047
3,48,156,14,8.97,24,15.38,8,5.13,4,2.56,7,4.49,18,11.54,20,12.82,30,19.23,5,3.21,5,3.21,13,8.33,8,5.13,03048
3,49,141,17,12.06,15,10.64,5,3.55,2,1.42,5,3.55,17,12.06,18,12.77,34,24.11,3,2.13,3,2.13,14,9.93,8,5.67,03049
3,50,208,20,9.62,15,7.21,9,4.33,6,2.88,7,3.37,41,19.71,32,15.38,45,21.63,7,3.37,3,1.44,11,5.29,12,5.77,03050
3,51,122,29,23.77,3,2.46,12,9.84,11,9.02,8,6.56,12,9.84,8,6.56,7,5.74,9,7.38,6,4.92,3,2.46,14,11.48,03051
3,52,260,16,6.15,33,12.69,5,1.92,3,1.15,5,1.92,45,17.31,41,15.77,65,25.0,10,3.85,3,1.15,21,8.08,13,5.0,03052
4,1,331,39,11.78,42,12.69,8,2.42,5,1.51,4,1.21,48,14.5,43,12.99,78,23.56,19,5.74,3,0.91,17,5.14,25,7.55,04001
4,2,63,12,19.05,8,12.7,1,1.59,1,1.59,1,1.59,12,19.05,8,12.7,12,19.05,1,1.59,1,1.59,4,6.35,2,3.17,04002
4,3,405,37,9.14,79,19.51,5,1.23,7,1.73,6,1.48,44,10.86,55,13.58,86,21.23,17,4.2,2,0.49,42,10.37,25,6.17,04003
4,4,363,41,11.29,50,13.77,6,1.65,14,3.86,6,1.65,55,15.15,51,14.05,76,20.94,11,3.03,7,1.93,24,6.61,22,6.06,04004
4,5,334,42,12.57,67,20.06,9,2.69,6,1.8,7,2.1,29,8.68,41,12.28,60,17.96,11,3.29,5,1.5,39,11.68,18,5.39,04005
4,6,7,1,14.29,1,14.29,1,14.29,0,0.0,0,0.0,1,14.29,2,28.57,0,0.0,0,0.0,0,0.0,0,0.0,1,14.29,04006
4,7,242,21,8.68,32,13.22,9,3.72,4,1.65,6,2.48,32,13.22,38,15.7,50,20.66,9,3.72,6,2.48,19,7.85,16,6.61,04007
4,8,408,48,11.76,70,17.16,4,0.98,5,1.23,9,2.21,45,11.03,51,12.5,93,22.79,18,4.41,4,0.98,34,8.33,27,6.62,04008
4,9,741,83,11.2,123,16.6,12,1.62,8,1.08,7,0.94,84,11.34,107,14.44,169,22.81,38,5.13,6,0.81,54,7.29,50,6.75,04009
4,10,428,45,10.51,69,16.12,11,2.57,5,1.17,7,1.64,56,13.08,56,13.08,100,23.36,19,4.44,4,0.93,29,6.78,27,6.31,04010
4,11,262,29,11.07,41,15.65,7,2.67,6,2.29,8,3.05,37,14.12,34,12.98,53,20.23,9,3.44,2,0.76,16,6.11,20,7.63,04011
4,12,251,30,11.95,53,21.12,6,2.39,6,2.39,4,1.59,21,8.37,21,8.37,62,24.7,10,3.98,2,0.8,19,7.57,17,6.77,04012
4,13,440,38,8.64,52,11.82,10,2.27,6,1.36,6,1.36,68,15.45,73,16.59,104,23.64,18,4.09,4,0.91,32,7.27,29,6.59,04013
4,14,195,22,11.28,22,11.28,7,3.59,3,1.54,3,1.54,32,16.41,25,12.82,47,24.1,7,3.59,8,4.1,11,5.64,8,4.1,04014
4,15,209,22,10.53,31,14.83,8,3.83,2,0.96,4,1.91,22,10.53,33,15.79,39,18.66,7,3.35,4,1.91,13,6.22,24,11.48,04015
4,16,318,40,12.58,60,18.87,12,3.77,4,1.26,6,1.89,32,10.06,42,13.21,64,20.13,12,3.77,3,0.94,23,7.23,20,6.29,04016
4,17,465,49,10.54,58,12.47,18,3.87,3,0.65,5,1.08,56,12.04,61,13.12,109,23.44,24,5.16,8,1.72,37,7.96,37,7.96,04017
4,18,255,27,10.59,43,16.86,7,2.75,2,0.78,7,2.75,24,9.41,22,8.63,62,24.31,12,4.71,3,1.18,26,10.2,20,7.84,04018
4,19,76,9,11.84,13,17.11,5,6.58,1,1.32,2,2.63,10,13.16,9,11.84,12,15.79,3,3.95,1,1.32,6,7.89,5,6.58,04019
