ward,precinct,total,"GORDON A. HUMPHREY,SR. (BRADLEY)","GORDON A. HUMPHREY,SR. (BRADLEY) Percent",JAMES A. DYSON (GORE),JAMES A. DYSON (GORE) Percent,precinct_id
8,28,135,27,20.0,108,80.0,08028
8,29,128,36,28.13,92,71.88,08029
8,30,127,30,23.62,97,76.38,08030
8,31,122,28,22.95,94,77.05,08031
8,32,220,51,23.18,169,76.82,08032
8,33,84,20,23.81,64,76.19,08033
8,34,162,30,18.52,132,81.48,08034
8,35,204,45,22.06,159,77.94,08035
8,36,134,28,20.9,106,79.1,08036
8,37,110,29,26.36,81,73.64,08037
8,38,149,43,28.86,106,71.14,08038
8,39,154,38,24.68,116,75.32,08039
8,40,129,33,25.58,96,74.42,08040
8,41,117,30,25.64,87,74.36,08041
8,42,128,34,26.56,94,73.44,08042
8,43,85,20,23.53,65,76.47,08043
8,44,163,28,17.18,135,82.82,08044
8,45,143,35,24.48,108,75.52,08045
8,46,127,37,29.13,90,70.87,08046
8,47,148,33,22.3,115,77.7,08047
8,48,144,47,32.64,97,67.36,08048
8,49,174,47,27.01,127,72.99,08049
8,50,146,30,20.55,116,79.45,08050
8,51,135,31,22.96,104,77.04,08051
8,52,168,37,22.02,131,77.98,08052
8,53,157,43,27.39,114,72.61,08053
8,54,166,42,25.3,124,74.7,08054
8,55,118,28,23.73,90,76.27,08055
8,56,100,27,27.0,73,73.0,08056
8,57,155,43,27.74,112,72.26,08057
8,58,159,43,27.04,116,72.96,08058
8,59,127,32,25.2,95,74.8,08059
8,60,178,36,20.22,142,79.78,08060
8,61,117,32,27.35,85,72.65,08061
8,62,212,51,24.06,161,75.94,08062
8,63,178,51,28.65,127,71.35,08063
8,64,77,21,27.27,56,72.73,08064
8,65,134,32,23.88,102,76.12,08065
8,66,185,43,23.24,142,76.76,08066
9,2,141,36,25.53,105,74.47,09002
9,10,134,41,30.6,93,69.4,09010
9,12,113,35,30.97,78,69.03,09012
9,13,179,34,18.99,145,81.01,09013
9,14,203,35,17.24,168,82.76,09014
9,17,130,33,25.38,97,74.62,09017
9,20,156,41,26.28,115,73.72,09020
9,21,101,20,19.8,81,80.2,09021
9,27,89,22,24.72,67,75.28,09027
9,35,148,19,12.84,129,87.16,09035
9,51,82,17,20.73,65,79.27,09051
9,52,151,24,15.89,127,84.11,09052
10,6,135,49,36.3,86,63.7,10006
10,40,0,0,0.0,0,0.0,10040
11,22,55,20,36.36,35,63.64,11022
11,27,39,11,28.21,28,71.79,11027
11,31,38,15,39.47,23,60.53,11031
11,33,59,14,23.73,45,76.27,11033
11,36,54,15,27.78,39,72.22,11036
11,54,66,47,71.21,19,28.79,11054
12,5,35,6,17.14,29,82.86,12005
12,10,46,18,39.13,28,60.87,12010
12,17,26,8,30.77,18,69.23,12017
12,24,25,10,40.0,15,60.0,12024
12,27,36,17,47.22,19,52.78,12027
14,5,67,21,31.34,46,68.66,14005
14,8,68,29,42.65,39,57.35,14008
14,10,39,4,10.26,35,89.74,14010
14,15,43,8,18.6,35,81.4,14015
14,18,76,13,17.11,63,82.89,14018
14,19,168,23,13.69,145,86.31,14019
14,23,88,13,14.77,75,85.23,14023
14,30,104,32,30.77,72,69.23,14030
14,31,105,13,12.38,92,87.62,14031
14,33,111,17,15.32,94,84.68,14033
14,36,112,33,29.46,79,70.54,14036
14,37,94,9,9.57,85,90.43,14037
14,41,132,20,15.15,112,84.85,14041
14,48,61,13,21.31,48,78.69,14048
15,1,91,23,25.27,68,74.73,15001
15,2,94,25,26.6,69,73.4,15002
15,3,105,22,20.95,83,79.05,15003
15,4,80,22,27.5,58,72.5,15004
15,5,94,28,29.79,66,70.21,15005
15,8,73,8,10.96,65,89.04,15008
15,9,75,16,21.33,59,78.67,15009
15,10,114,31,27.19,83,72.81,15010
15,11,77,13,16.88,64,83.12,15011
15,14,38,5,13.16,33,86.84,15014
15,16,126,30,23.81,96,76.19,15016
15,17,73,16,21.92,57,78.08,15017
15,20,64,16,25.0,48,75.0,15020
15,23,61,11,18.03,50,81.97,15023
15,25,97,16,16.49,81,83.51,15025
15,26,97,20,20.62,77,79.38,15026
15,27,88,22,25.0,66,75.0,15027
15,28,148,40,27.03,108,72.97,15028
15,29,87,27,31.03,60,68.97,15029
15,30,73,13,17.81,60,82.19,15030
15,32,77,22,28.57,55,71.43,15032
15,33,85,25,29.41,60,70.59,15033
15,35,97,24,24.74,73,75.26,15035
15,36,85,14,16.47,71,83.53,15036
15,37,91,23,25.27,68,74.73,15037
15,38,51,11,21.57,40,78.43,15038
15,41,97,18,18.56,79,81.44,15041
15,42,75,18,24.0,57,76.0,15042
15,43,62,28,45.16,34,54.84,15043
15,48,70,23,32.86,47,67.14,15048
16,2,34,9,26.47,25,73.53,16002
16,3,67,16,23.88,51,76.12,16003
16,4,10,1,10.0,9,90.0,16004
16,5,78,20,25.64,58,74.36,16005
16,6,70,14,20.0,56,80.0,16006
16,7,55,18,32.73,37,67.27,16007
16,8,64,18,28.13,46,71.88,16008
16,9,129,32,24.81,97,75.19,16009
16,11,0,0,0.0,0,0.0,16011
16,12,40,5,12.5,35,87.5,16012
16,14,64,19,29.69,45,70.31,16014
16,15,70,18,25.71,52,74.29,16015
16,19,65,16,24.62,49,75.38,16019
16,20,74,12,16.22,62,83.78,16020
16,21,0,0,0.0,0,0.0,16021
16,22,62,12,19.35,50,80.65,16022
16,24,47,16,34.04,31,65.96,16024
16,25,31,7,22.58,24,77.42,16025
16,26,86,31,36.05,55,63.95,16026
16,27,55,13,23.64,42,76.36,16027
16,29,62,18,29.03,44,70.97,16029
16,30,104,29,27.88,75,72.12,16030
16,31,79,17,21.52,62,78.48,16031
16,33,61,15,24.59,46,75.41,16033
16,34,58,12,20.69,46,79.31,16034
16,35,36,12,33.33,24,66.67,16035
16,36,72,17,23.61,55,76.39,16036
16,37,34,8,23.53,26,76.47,16037
16,38,110,24,21.82,86,78.18,16038
16,39,61,8,13.11,53,86.89,16039
16,40,97,29,29.9,68,70.1,16040
17,2,96,25,26.04,71,73.96,17002
17,15,99,24,24.24,75,75.76,17015
17,21,151,30,19.87,121,80.13,17021
17,25,56,15,26.79,41,73.21,17025
17,35,66,9,13.64,57,86.36,17035
17,38,89,19,21.35,70,78.65,17038
17,44,99,17,17.17,82,82.83,17044
17,48,69,19,27.54,50,72.46,17048
17,50,89,22,24.72,67,75.28,17050
17,53,109,25,22.94,84,77.06,17053
17,54,130,23,17.69,107,82.31,17054
18,4,174,43,24.71,131,75.29,18004
18,5,76,21,27.63,55,72.37,18005
18,8,78,18,23.08,60,76.92,18008
18,9,137,25,18.25,112,81.75,18009
18,12,130,28,21.54,102,78.46,18012
18,14,156,31,19.87,125,80.13,18014
18,16,111,22,19.82,89,80.18,18016
18,18,160,40,25.0,120,75.0,18018
18,22,126,22,17.46,104,82.54,18022
18,33,89,15,16.85,74,83.15,18033
18,34,199,37,18.59,162,81.41,18034
18,35,148,43,29.05,105,70.95,18035
18,37,72,17,23.61,55,76.39,18037
18,40,154,31,20.13,123,79.87,18040
18,54,154,40,25.97,114,74.03,18054
19,1,186,61,32.8,125,67.2,19001
19,2,149,47,31.54,102,68.46,19002
19,3,139,55,39.57,84,60.43,19003
19,4,134,40,29.85,94,70.15,19004
19,5,143,33,23.08,110,76.92,19005
19,6,167,41,24.55,126,75.45,19006
19,7,158,55,34.81,103,65.19,19007
19,8,108,29,26.85,79,73.15,19008
19,9,110,44,40.0,66,60.0,19009
19,10,224,62,27.68,162,72.32,19010
19,11,163,60,36.81,103,63.19,19011
19,12,148,40,27.03,108,72.97,19012
19,13,130,33,25.38,97,74.62,19013
19,14,99,18,18.18,81,81.82,19014
19,15,94,25,26.6,69,73.4,19015
19,16,206,38,18.45,168,81.55,19016
19,17,162,56,34.57,106,65.43,19017
19,18,198,61,30.81,137,69.19,19018
19,19,179,64,35.75,115,64.25,19019
19,20,154,42,27.27,112,72.73,19020
19,21,135,38,28.15,97,71.85,19021
19,22,176,46,26.14,130,73.86,19022
19,23,199,49,24.62,150,75.38,19023
19,24,148,42,28.38,106,71.62,19024
19,25,178,60,33.71,118,66.29,19025
19,26,152,47,30.92,105,69.08,19026
19,27,136,43,31.62,93,68.38,19027
19,28,188,44,23.4,144,76.6,19028
19,29,145,47,32.41,98,67.59,19029
19,30,134,36,26.87,98,73.13,19030
19,31,162,40,24.69,122,75.31,19031
19,32,190,72,37.89,118,62.11,19032
19,33,170,57,33.53,113,66.47,19033
19,34,151,51,33.77,100,66.23,19034
19,35,165,52,31.52,113,68.48,19035
19,36,133,22,16.54,111,83.46,19036
19,37,163,37,22.7,126,77.3,19037
19,38,166,35,21.08,131,78.92,19038
19,39,77,9,11.69,68,88.31,19039
19,40,169,57,33.73,112,66.27,19040
19,41,142,44,30.99,98,69.01,19041
19,42,119,31,26.05,88,73.95,19042
19,44,141,42,29.79,99,70.21,19044
19,45,202,55,27.23,147,72.77,19045
19,46,216,62,28.7,154,71.3,19046
19,47,114,24,21.05,90,78.95,19047
19,49,176,44,25.0,132,75.0,19049
19,51,151,44,29.14,107,70.86,19051
19,52,109,35,32.11,74,67.89,19052
19,53,170,59,34.71,111,65.29,19053
19,54,112,33,29.46,79,70.54,19054
19,55,138,45,32.61,93,67.39,19055
19,56,182,57,31.32,125,68.68,19056
19,57,184,44,23.91,140,76.09,19057
19,58,135,38,28.15,97,71.85,19058
19,59,163,40,24.54,123,75.46,19059
19,61,225,51,22.67,174,77.33,19061
19,62,187,50,26.74,137,73.26,19062
19,63,114,24,21.05,90,78.95,19063
19,64,237,62,26.16,175,73.84,19064
19,65,167,63,37.72,104,62.28,19065
20,1,92,13,14.13,79,85.87,20001
20,2,74,20,27.03,54,72.97,20002
20,3,99,30,30.3,69,69.7,20003
20,5,62,21,33.87,41,66.13,20005
20,6,96,28,29.17,68,70.83,20006
20,7,38,14,36.84,24,63.16,20007
20,9,81,22,27.16,59,72.84,20009
20,10,100,23,23.0,77,77.0,20010
20,11,60,13,21.67,47,78.33,20011
20,12,74,19,25.68,55,74.32,20012
20,13,36,10,27.78,26,72.22,20013
20,14,163,42,25.77,121,74.23,20014
20,16,41,14,34.15,27,65.85,20016
20,17,71,20,28.17,51,71.83,20017
20,18,111,18,16.22,93,83.78,20018
20,19,70,22,31.43,48,68.57,20019
20,20,64,19,29.69,45,70.31,20020
20,22,65,13,20.0,52,80.0,20022
20,23,60,17,28.33,43,71.67,20023
20,24,97,14,14.43,83,85.57,20024
20,25,57,17,29.82,40,70.18,20025
20,26,127,33,25.98,94,74.02,20026
20,28,87,16,18.39,71,81.61,20028
20,29,75,21,28.0,54,72.0,20029
20,30,88,26,29.55,62,70.45,20030
20,32,122,29,23.77,93,76.23,20032
20,33,73,18,24.66,55,75.34,20033
20,34,125,34,27.2,91,72.8,20034
20,35,50,12,24.0,38,76.0,20035
20,36,72,15,20.83,57,79.17,20036
20,37,70,20,28.57,50,71.43,20037
20,38,131,35,26.72,96,73.28,20038
20,39,83,18,21.69,65,78.31,20039
20,40,77,22,28.57,55,71.43,20040
20,41,17,8,47.06,9,52.94,20041
20,42,23,8,34.78,15,65.22,20042
20,43,131,33,25.19,98,74.81,20043
20,44,75,20,26.67,55,73.33,20044
20,45,26,5,19.23,21,80.77,20045
20,46,38,7,18.42,31,81.58,20046
20,47,56,9,16.07,47,83.93,20047
20,49,69,18,26.09,51,73.91,20049
20,50,68,24,35.29,44,64.71,20050
20,51,68,21,30.88,47,69.12,20051
20,52,27,7,25.93,20,74.07,20052
21,2,59,9,15.25,50,84.75,21002
21,5,113,20,17.7,93,82.3,21005
21,11,111,24,21.62,87,78.38,21011
21,12,122,34,27.87,88,72.13,21012
21,13,62,11,17.74,51,82.26,21013
21,17,61,15,24.59,46,75.41,21017
21,20,34,4,11.76,30,88.24,21020
21,23,87,21,24.14,66,75.86,21023
21,24,145,33,22.76,112,77.24,21024
21,25,107,26,24.3,81,75.7,21025
21,26,85,21,24.71,64,75.29,21026
21,27,154,28,18.18,126,81.82,21027
21,31,143,33,23.08,110,76.92,21031
21,32,58,13,22.41,45,77.59,21032
21,37,70,17,24.29,53,75.71,21037
21,42,119,26,21.85,93,78.15,21042
21,43,94,21,22.34,73,77.66,21043
21,46,91,17,18.68,74,81.32,21046
21,47,172,35,20.35,137,79.65,21047
21,48,146,32,21.92,114,78.08,21048
21,53,106,27,25.47,79,74.53,21053
21,55,120,33,27.5,87,72.5,21055
21,58,76,17,22.37,59,77.63,21058
21,59,151,30,19.87,121,80.13,21059
21,65,127,38,29.92,89,70.08,21065
21,70,91,19,20.88,72,79.12,21070
34,25,85,21,24.71,64,75.29,34025
34,46,98,22,22.45,76,77.55,34046
