ward,precinct,total,ARTHUR L. TURNER (BRADLEY),ARTHUR L. TURNER (BRADLEY) Percent,KAREN YARBROUGH (BRADLEY),KAREN YARBROUGH (BRADLEY) Percent,PAT QUINN (BRADLEY),PAT QUINN (BRADLEY) Percent,MARGARET A. HOULIHAN (BRADLEY),MARGARET A. HOULIHAN (BRADLEY) Percent,RICKEY R. HENDON (BRADLEY),RICKEY R. HENDON (BRADLEY) Percent,ANN E. SMITH (BRADLEY),ANN E. SMITH (BRADLEY) Percent,HARRISON BOLTON (BRADLEY),HARRISON BOLTON (BRADLEY) Percent,THOMAS E. SIMMONS (GORE),THOMAS E. SIMMONS (GORE) Percent,BOBBIE L. STEELE (GORE),BOBBIE L. STEELE (GORE) Percent,"JERRY W. WILLIAMS, SR. (GORE)","JERRY W. WILLIAMS, SR. (GORE) Percent",LALEEN COLLINS-DOERRER (GORE),LALEEN COLLINS-DOERRER (GORE) Percent,JOHNNY L. MILLER (GORE),JOHNNY L. MILLER (GORE) Percent,BARBARA J. MCGOWAN (GORE),BARBARA J. MCGOWAN (GORE) Percent,BARTON M. MOY (GORE),BARTON M. MOY (GORE) Percent,precinct_id
2,9,262,17,6.49,14,5.34,17,6.49,10,3.82,15,5.73,14,5.34,9,3.44,23,8.78,31,11.83,21,8.02,22,8.4,21,8.02,28,10.69,20,7.63,02009
2,10,325,16,4.92,8,2.46,18,5.54,9,2.77,11,3.38,9,2.77,8,2.46,32,9.85,45,13.85,33,10.15,35,10.77,31,9.54,43,13.23,27,8.31,02010
2,11,1481,83,5.6,68,4.59,94,6.35,71,4.79,74,5.0,76,5.13,52,3.51,122,8.24,167,11.28,124,8.37,129,8.71,133,8.98,149,10.06,139,9.39,02011
2,15,144,9,6.25,8,5.56,9,6.25,5,3.47,20,13.89,5,3.47,3,2.08,11,7.64,15,10.42,9,6.25,12,8.33,13,9.03,14,9.72,11,7.64,02015
2,17,445,52,11.69,13,2.92,17,3.82,9,2.02,33,7.42,8,1.8,5,1.12,42,9.44,65,14.61,35,7.87,41,9.21,42,9.44,49,11.01,34,7.64,02017
2,19,265,23,8.68,5,1.89,8,3.02,6,2.26,34,12.83,11,4.15,6,2.26,24,9.06,31,11.7,23,8.68,23,8.68,24,9.06,27,10.19,20,7.55,02019
2,22,1392,70,5.03,65,4.67,86,6.18,76,5.46,67,4.81,72,5.17,44,3.16,111,7.97,163,11.71,120,8.62,122,8.76,120,8.62,148,10.63,128,9.2,02022
2,23,457,54,11.82,19,4.16,19,4.16,13,2.84,42,9.19,19,4.16,12,2.63,35,7.66,55,12.04,38,8.32,33,7.22,36,7.88,50,10.94,32,7.0,02023
2,25,200,10,5.0,6,3.0,10,5.0,6,3.0,9,4.5,6,3.0,4,2.0,21,10.5,25,12.5,21,10.5,21,10.5,16,8.0,26,13.0,19,9.5,02025
2,26,397,25,6.3,13,3.27,24,6.05,11,2.77,25,6.3,15,3.78,15,3.78,34,8.56,57,14.36,34,8.56,32,8.06,35,8.82,43,10.83,34,8.56,02026
2,27,114,11,9.65,3,2.63,7,6.14,4,3.51,22,19.3,3,2.63,4,3.51,6,5.26,12,10.53,4,3.51,7,6.14,7,6.14,15,13.16,9,7.89,02027
2,28,718,37,5.15,27,3.76,34,4.74,17,2.37,37,5.15,26,3.62,13,1.81,72,10.03,105,14.62,73,10.17,69,9.61,70,9.75,78,10.86,60,8.36,02028
2,30,423,26,6.15,16,3.78,20,4.73,8,1.89,30,7.09,14,3.31,10,2.36,38,8.98,57,13.48,40,9.46,39,9.22,38,8.98,50,11.82,37,8.75,02030
2,32,358,28,7.82,17,4.75,22,6.15,15,4.19,23,6.42,20,5.59,11,3.07,32,8.94,47,13.13,31,8.66,24,6.7,29,8.1,35,9.78,24,6.7,02032
2,34,584,111,19.01,17,2.91,24,4.11,9,1.54,61,10.45,15,2.57,11,1.88,35,5.99,88,15.07,37,6.34,49,8.39,40,6.85,48,8.22,39,6.68,02034
2,35,152,9,5.92,10,6.58,12,7.89,13,8.55,10,6.58,9,5.92,8,5.26,12,7.89,13,8.55,12,7.89,11,7.24,10,6.58,13,8.55,10,6.58,02035
2,36,325,24,7.38,16,4.92,18,5.54,8,2.46,13,4.0,17,5.23,7,2.15,27,8.31,50,15.38,31,9.54,29,8.92,27,8.31,36,11.08,22,6.77,02036
2,37,544,24,4.41,32,5.88,33,6.07,23,4.23,30,5.51,24,4.41,11,2.02,44,8.09,66,12.13,50,9.19,52,9.56,50,9.19,62,11.4,43,7.9,02037
2,38,576,39,6.77,24,4.17,35,6.08,15,2.6,38,6.6,27,4.69,11,1.91,51,8.85,81,14.06,43,7.47,50,8.68,52,9.03,64,11.11,46,7.99,02038
2,39,458,33,7.21,20,4.37,18,3.93,9,1.97,55,12.01,12,2.62,12,2.62,33,7.21,62,13.54,42,9.17,35,7.64,44,9.61,45,9.83,38,8.3,02039
2,40,642,34,5.3,25,3.89,34,5.3,21,3.27,33,5.14,27,4.21,18,2.8,57,8.88,84,13.08,60,9.35,64,9.97,55,8.57,73,11.37,57,8.88,02040
2,41,210,15,7.14,10,4.76,20,9.52,5,2.38,12,5.71,13,6.19,5,2.38,17,8.1,24,11.43,18,8.57,14,6.67,16,7.62,25,11.9,16,7.62,02041
2,42,210,14,6.67,13,6.19,10,4.76,9,4.29,12,5.71,10,4.76,5,2.38,20,9.52,25,11.9,17,8.1,16,7.62,19,9.05,23,10.95,17,8.1,02042
2,43,1157,53,4.58,65,5.62,65,5.62,62,5.36,52,4.49,62,5.36,38,3.28,99,8.56,125,10.8,102,8.82,102,8.82,100,8.64,123,10.63,109,9.42,02043
2,49,316,10,3.16,14,4.43,16,5.06,11,3.48,7,2.22,10,3.16,5,1.58,34,10.76,36,11.39,38,12.03,33,10.44,33,10.44,36,11.39,33,10.44,02049
2,51,489,47,9.61,18,3.68,21,4.29,13,2.66,45,9.2,20,4.09,10,2.04,40,8.18,69,14.11,37,7.57,41,8.38,44,9.0,49,10.02,35,7.16,02051
2,52,603,30,4.98,23,3.81,26,4.31,17,2.82,28,4.64,33,5.47,12,1.99,50,8.29,82,13.6,58,9.62,56,9.29,57,9.45,72,11.94,59,9.78,02052
2,53,281,16,5.69,11,3.91,11,3.91,9,3.2,32,11.39,9,3.2,6,2.14,23,8.19,38,13.52,24,8.54,22,7.83,27,9.61,30,10.68,23,8.19,02053
2,54,905,38,4.2,45,4.97,58,6.41,42,4.64,46,5.08,42,4.64,33,3.65,72,7.96,106,11.71,76,8.4,86,9.5,76,8.4,100,11.05,85,9.39,02054
3,1,785,33,4.2,29,3.69,32,4.08,17,2.17,27,3.44,24,3.06,13,1.66,87,11.08,111,14.14,79,10.06,80,10.19,75,9.55,99,12.61,79,10.06,03001
3,4,281,16,5.69,11,3.91,18,6.41,11,3.91,12,4.27,11,3.91,11,3.91,27,9.61,30,10.68,25,8.9,23,8.19,27,9.61,30,10.68,29,10.32,03004
3,5,206,5,2.43,4,1.94,8,3.88,6,2.91,2,0.97,5,2.43,4,1.94,25,12.14,27,13.11,23,11.17,21,10.19,24,11.65,29,14.08,23,11.17,03005
3,7,81,3,3.7,4,4.94,6,7.41,3,3.7,1,1.23,2,2.47,1,1.23,8,9.88,12,14.81,7,8.64,8,9.88,7,8.64,10,12.35,9,11.11,03007
3,8,276,13,4.71,7,2.54,16,5.8,10,3.62,13,4.71,13,4.71,9,3.26,32,11.59,31,11.23,27,9.78,25,9.06,23,8.33,31,11.23,26,9.42,03008
3,10,736,25,3.4,23,3.13,32,4.35,11,1.49,24,3.26,15,2.04,18,2.45,83,11.28,100,13.59,79,10.73,82,11.14,84,11.41,84,11.41,76,10.33,03010
3,11,346,16,4.62,16,4.62,19,5.49,7,2.02,19,5.49,10,2.89,5,1.45,34,9.83,46,13.29,36,10.4,35,10.12,33,9.54,39,11.27,31,8.96,03011
3,12,466,18,3.86,14,3.0,18,3.86,17,3.65,16,3.43,19,4.08,8,1.72,49,10.52,62,13.3,49,10.52,49,10.52,52,11.16,52,11.16,43,9.23,03012
3,13,137,6,4.38,4,2.92,7,5.11,4,2.92,5,3.65,5,3.65,7,5.11,13,9.49,16,11.68,14,10.22,15,10.95,13,9.49,15,10.95,13,9.49,03013
3,14,197,12,6.09,5,2.54,9,4.57,6,3.05,7,3.55,8,4.06,3,1.52,20,10.15,26,13.2,20,10.15,18,9.14,21,10.66,24,12.18,18,9.14,03014
3,15,472,12,2.54,11,2.33,16,3.39,8,1.69,17,3.6,12,2.54,8,1.69,48,10.17,69,14.62,56,11.86,52,11.02,53,11.23,57,12.08,53,11.23,03015
3,16,969,29,2.99,25,2.58,36,3.72,11,1.14,41,4.23,33,3.41,10,1.03,102,10.53,141,14.55,108,11.15,100,10.32,114,11.76,123,12.69,96,9.91,03016
3,17,430,9,2.09,15,3.49,19,4.42,11,2.56,11,2.56,16,3.72,6,1.4,45,10.47,62,14.42,47,10.93,47,10.93,47,10.93,54,12.56,41,9.53,03017
3,18,447,21,4.7,17,3.8,23,5.15,10,2.24,16,3.58,18,4.03,10,2.24,36,8.05,64,14.32,46,10.29,45,10.07,49,10.96,50,11.19,42,9.4,03018
3,19,214,9,4.21,9,4.21,5,2.34,8,3.74,4,1.87,8,3.74,7,3.27,21,9.81,33,15.42,22,10.28,20,9.35,22,10.28,24,11.21,22,10.28,03019
3,20,156,9,5.77,6,3.85,9,5.77,5,3.21,6,3.85,6,3.85,5,3.21,17,10.9,18,11.54,16,10.26,14,8.97,15,9.62,14,8.97,16,10.26,03020
3,21,300,15,5.0,9,3.0,15,5.0,8,2.67,18,6.0,12,4.0,9,3.0,28,9.33,41,13.67,29,9.67,27,9.0,30,10.0,36,12.0,23,7.67,03021
3,22,507,17,3.35,17,3.35,23,4.54,5,0.99,24,4.73,17,3.35,9,1.78,51,10.06,74,14.6,55,10.85,51,10.06,56,11.05,57,11.24,51,10.06,03022
3,26,398,14,3.52,11,2.76,15,3.77,11,2.76,14,3.52,16,4.02,7,1.76,41,10.3,60,15.08,43,10.8,35,8.79,41,10.3,50,12.56,40,10.05,03026
3,29,60,5,8.33,2,3.33,2,3.33,3,5.0,5,8.33,3,5.0,4,6.67,5,8.33,9,15.0,5,8.33,4,6.67,3,5.0,7,11.67,3,5.0,03029
3,30,607,22,3.62,22,3.62,23,3.79,10,1.65,27,4.45,16,2.64,13,2.14,59,9.72,93,15.32,60,9.88,57,9.39,70,11.53,72,11.86,63,10.38,03030
3,31,556,18,3.24,15,2.7,27,4.86,11,1.98,22,3.96,18,3.24,7,1.26,62,11.15,73,13.13,60,10.79,53,9.53,68,12.23,58,10.43,64,11.51,03031
3,32,676,17,2.51,19,2.81,21,3.11,14,2.07,20,2.96,14,2.07,11,1.63,78,11.54,102,15.09,75,11.09,76,11.24,75,11.09,82,12.13,72,10.65,03032
3,35,487,15,3.08,13,2.67,26,5.34,8,1.64,22,4.52,15,3.08,9,1.85,51,10.47,69,14.17,54,11.09,49,10.06,54,11.09,58,11.91,44,9.03,03035
3,37,497,15,3.02,12,2.41,17,3.42,9,1.81,14,2.82,12,2.41,7,1.41,56,11.27,68,13.68,59,11.87,59,11.87,54,10.87,62,12.47,53,10.66,03037
3,40,464,16,3.45,14,3.02,19,4.09,7,1.51,23,4.96,14,3.02,5,1.08,45,9.7,67,14.44,47,10.13,48,10.34,56,12.07,53,11.42,50,10.78,03040
3,43,76,4,5.26,1,1.32,7,9.21,1,1.32,1,1.32,3,3.95,2,2.63,11,14.47,9,11.84,8,10.53,6,7.89,7,9.21,10,13.16,6,7.89,03043
3,46,63,5,7.94,3,4.76,3,4.76,3,4.76,2,3.17,4,6.35,1,1.59,5,7.94,7,11.11,6,9.52,5,7.94,6,9.52,7,11.11,6,9.52,03046
3,47,432,15,3.47,14,3.24,13,3.01,5,1.16,16,3.7,10,2.31,6,1.39,51,11.81,58,13.43,47,10.88,45,10.42,51,11.81,54,12.5,47,10.88,03047
3,48,369,16,4.34,11,2.98,16,4.34,4,1.08,9,2.44,12,3.25,9,2.44,42,11.38,54,14.63,40,10.84,34,9.21,42,11.38,41,11.11,39,10.57,03048
3,49,367,16,4.36,11,3.0,14,3.81,6,1.63,11,3.0,10,2.72,7,1.91,41,11.17,53,14.44,36,9.81,39,10.63,40,10.9,42,11.44,41,11.17,03049
3,50,521,20,3.84,11,2.11,18,3.45,9,1.73,9,1.73,18,3.45,7,1.34,64,12.28,76,14.59,58,11.13,55,10.56,60,11.52,59,11.32,57,10.94,03050
3,52,603,23,3.81,19,3.15,18,2.99,13,2.16,27,4.48,27,4.48,12,1.99,63,10.45,85,14.1,71,11.77,58,9.62,61,10.12,68,11.28,58,9.62,03052
4,8,1087,52,4.78,41,3.77,56,5.15,20,1.84,62,5.7,52,4.78,24,2.21,91,8.37,163,15.0,105,9.66,94,8.65,106,9.75,125,11.5,96,8.83,04008
11,12,28,1,3.57,1,3.57,2,7.14,3,10.71,0,0.0,0,0.0,0,0.0,2,7.14,6,21.43,3,10.71,5,17.86,2,7.14,2,7.14,1,3.57,11012
11,13,654,25,3.82,24,3.67,35,5.35,30,4.59,18,2.75,17,2.6,14,2.14,42,6.42,133,20.34,42,6.42,133,20.34,44,6.73,46,7.03,51,7.8,11013
11,34,413,14,3.39,19,4.6,25,6.05,17,4.12,15,3.63,17,4.12,7,1.69,28,6.78,69,16.71,35,8.47,63,15.25,28,6.78,45,10.9,31,7.51,11034
11,35,81,0,0.0,0,0.0,2,2.47,1,1.23,0,0.0,0,0.0,2,2.47,7,8.64,21,25.93,9,11.11,18,22.22,7,8.64,7,8.64,7,8.64,11035
11,37,151,12,7.95,11,7.28,17,11.26,16,10.6,6,3.97,9,5.96,7,4.64,10,6.62,10,6.62,9,5.96,9,5.96,13,8.61,12,7.95,10,6.62,11037
11,38,1116,32,2.87,50,4.48,67,6.0,47,4.21,23,2.06,42,3.76,20,1.79,79,7.08,212,19.0,79,7.08,197,17.65,78,6.99,100,8.96,90,8.06,11038
11,39,968,50,5.17,41,4.24,71,7.33,48,4.96,28,2.89,33,3.41,21,2.17,75,7.75,133,13.74,78,8.06,127,13.12,74,7.64,96,9.92,93,9.61,11039
11,40,715,21,2.94,28,3.92,39,5.45,29,4.06,16,2.24,25,3.5,12,1.68,39,5.45,161,22.52,39,5.45,152,21.26,47,6.57,55,7.69,52,7.27,11040
11,41,586,22,3.75,25,4.27,38,6.48,37,6.31,20,3.41,25,4.27,20,3.41,40,6.83,102,17.41,35,5.97,95,16.21,34,5.8,49,8.36,44,7.51,11041
11,42,460,12,2.61,14,3.04,21,4.57,18,3.91,15,3.26,16,3.48,13,2.83,33,7.17,105,22.83,27,5.87,99,21.52,24,5.22,31,6.74,32,6.96,11042
11,43,744,26,3.49,31,4.17,44,5.91,36,4.84,25,3.36,27,3.63,22,2.96,54,7.26,136,18.28,48,6.45,117,15.73,51,6.85,66,8.87,61,8.2,11043
11,45,629,25,3.97,26,4.13,44,7.0,40,6.36,19,3.02,30,4.77,16,2.54,43,6.84,101,16.06,42,6.68,98,15.58,41,6.52,52,8.27,52,8.27,11045
11,46,390,16,4.1,8,2.05,10,2.56,9,2.31,9,2.31,12,3.08,2,0.51,21,5.38,127,32.56,19,4.87,107,27.44,15,3.85,20,5.13,15,3.85,11046
11,47,699,23,3.29,25,3.58,43,6.15,30,4.29,15,2.15,22,3.15,14,2.0,49,7.01,124,17.74,46,6.58,126,18.03,51,7.3,67,9.59,64,9.16,11047
11,48,438,17,3.88,21,4.79,34,7.76,27,6.16,12,2.74,19,4.34,12,2.74,26,5.94,75,17.12,25,5.71,71,16.21,28,6.39,41,9.36,30,6.85,11048
11,49,505,11,2.18,12,2.38,24,4.75,21,4.16,3,0.59,8,1.58,10,1.98,41,8.12,101,20.0,40,7.92,93,18.42,40,7.92,58,11.49,43,8.51,11049
11,50,339,6,1.77,8,2.36,19,5.6,9,2.65,5,1.47,7,2.06,2,0.59,23,6.78,74,21.83,27,7.96,72,21.24,25,7.37,31,9.14,31,9.14,11050
11,52,694,22,3.17,24,3.46,43,6.2,35,5.04,18,2.59,20,2.88,22,3.17,63,9.08,99,14.27,61,8.79,91,13.11,63,9.08,72,10.37,61,8.79,11052
11,53,568,16,2.82,13,2.29,30,5.28,29,5.11,9,1.58,17,2.99,13,2.29,28,4.93,130,22.89,33,5.81,131,23.06,32,5.63,43,7.57,44,7.75,11053
11,54,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11054
12,19,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12019
16,16,239,4,1.67,5,2.09,5,2.09,3,1.26,6,2.51,7,2.93,5,2.09,26,10.88,38,15.9,29,12.13,24,10.04,29,12.13,30,12.55,28,11.72,16016
16,17,174,6,3.45,6,3.45,8,4.6,5,2.87,7,4.02,8,4.6,4,2.3,16,9.2,25,14.37,18,10.34,17,9.77,18,10.34,22,12.64,14,8.05,16017
16,18,262,17,6.49,11,4.2,12,4.58,5,1.91,10,3.82,9,3.44,4,1.53,27,10.31,37,14.12,25,9.54,24,9.16,26,9.92,31,11.83,24,9.16,16018
20,4,580,25,4.31,17,2.93,30,5.17,10,1.72,21,3.62,16,2.76,12,2.07,59,10.17,88,15.17,61,10.52,56,9.66,58,10.0,68,11.72,59,10.17,20004
20,8,365,11,3.01,10,2.74,18,4.93,9,2.47,19,5.21,14,3.84,5,1.37,34,9.32,54,14.79,40,10.96,35,9.59,37,10.14,43,11.78,36,9.86,20008
20,15,497,25,5.03,12,2.41,26,5.23,8,1.61,24,4.83,15,3.02,6,1.21,42,8.45,82,16.5,46,9.26,48,9.66,53,10.66,60,12.07,50,10.06,20015
20,21,415,19,4.58,15,3.61,17,4.1,12,2.89,15,3.61,16,3.86,7,1.69,45,10.84,59,14.22,43,10.36,39,9.4,40,9.64,49,11.81,39,9.4,20021
20,27,249,8,3.21,11,4.42,14,5.62,5,2.01,10,4.02,13,5.22,4,1.61,24,9.64,37,14.86,24,9.64,23,9.24,23,9.24,29,11.65,24,9.64,20027
20,31,348,13,3.74,11,3.16,14,4.02,4,1.15,22,6.32,10,2.87,1,0.29,34,9.77,55,15.8,35,10.06,36,10.34,36,10.34,40,11.49,37,10.63,20031
20,48,326,11,3.37,11,3.37,11,3.37,6,1.84,10,3.07,9,2.76,5,1.53,31,9.51,49,15.03,40,12.27,33,10.12,35,10.74,44,13.5,31,9.51,20048
22,7,443,87,19.64,21,4.74,29,6.55,5,1.13,38,8.58,15,3.39,8,1.81,19,4.29,71,16.03,27,6.09,28,6.32,33,7.45,40,9.03,22,4.97,22007
22,8,738,144,19.51,42,5.69,41,5.56,23,3.12,57,7.72,29,3.93,16,2.17,34,4.61,112,15.18,44,5.96,43,5.83,51,6.91,65,8.81,37,5.01,22008
22,12,452,80,17.7,23,5.09,23,5.09,13,2.88,37,8.19,19,4.2,9,1.99,26,5.75,62,13.72,25,5.53,30,6.64,34,7.52,45,9.96,26,5.75,22012
22,20,401,82,20.45,18,4.49,26,6.48,8,2.0,29,7.23,17,4.24,6,1.5,21,5.24,62,15.46,23,5.74,19,4.74,31,7.73,38,9.48,21,5.24,22020
22,21,754,122,16.18,28,3.71,39,5.17,16,2.12,44,5.84,28,3.71,18,2.39,53,7.03,109,14.46,52,6.9,54,7.16,65,8.62,77,10.21,49,6.5,22021
22,28,649,127,19.57,32,4.93,29,4.47,17,2.62,61,9.4,30,4.62,15,2.31,35,5.39,93,14.33,44,6.78,36,5.55,43,6.63,56,8.63,31,4.78,22028
24,1,549,61,11.11,31,5.65,35,6.38,14,2.55,43,7.83,24,4.37,15,2.73,35,6.38,75,13.66,34,6.19,41,7.47,48,8.74,56,10.2,37,6.74,24001
24,2,450,78,17.33,14,3.11,21,4.67,7,1.56,29,6.44,16,3.56,5,1.11,31,6.89,76,16.89,36,8.0,30,6.67,38,8.44,39,8.67,30,6.67,24002
24,3,476,78,16.39,25,5.25,26,5.46,13,2.73,38,7.98,17,3.57,8,1.68,27,5.67,64,13.45,28,5.88,34,7.14,43,9.03,44,9.24,31,6.51,24003
24,4,452,47,10.4,17,3.76,27,5.97,13,2.88,33,7.3,23,5.09,13,2.88,33,7.3,63,13.94,31,6.86,33,7.3,40,8.85,50,11.06,29,6.42,24004
24,5,468,79,16.88,20,4.27,25,5.34,10,2.14,38,8.12,14,2.99,9,1.92,29,6.2,79,16.88,27,5.77,32,6.84,35,7.48,41,8.76,30,6.41,24005
24,6,612,109,17.81,21,3.43,34,5.56,12,1.96,44,7.19,22,3.59,10,1.63,37,6.05,109,17.81,38,6.21,33,5.39,47,7.68,58,9.48,38,6.21,24006
24,7,528,38,7.2,22,4.17,23,4.36,9,1.7,25,4.73,13,2.46,9,1.7,50,9.47,70,13.26,49,9.28,49,9.28,56,10.61,62,11.74,53,10.04,24007
24,8,560,73,13.04,27,4.82,39,6.96,13,2.32,37,6.61,15,2.68,11,1.96,39,6.96,83,14.82,47,8.39,39,6.96,48,8.57,55,9.82,34,6.07,24008
24,9,571,96,16.81,24,4.2,31,5.43,10,1.75,43,7.53,21,3.68,10,1.75,27,4.73,99,17.34,31,5.43,38,6.65,48,8.41,55,9.63,38,6.65,24009
24,10,522,70,13.41,22,4.21,25,4.79,12,2.3,38,7.28,22,4.21,15,2.87,35,6.7,67,12.84,42,8.05,39,7.47,47,9.0,52,9.96,36,6.9,24010
24,11,223,50,22.42,6,2.69,11,4.93,2,0.9,12,5.38,7,3.14,2,0.9,15,6.73,40,17.94,16,7.17,12,5.38,14,6.28,22,9.87,14,6.28,24011
24,12,310,70,22.58,13,4.19,17,5.48,5,1.61,16,5.16,9,2.9,4,1.29,18,5.81,45,14.52,19,6.13,22,7.1,24,7.74,31,10.0,17,5.48,24012
24,13,383,73,19.06,9,2.35,24,6.27,10,2.61,37,9.66,14,3.66,7,1.83,22,5.74,56,14.62,26,6.79,22,5.74,27,7.05,36,9.4,20,5.22,24013
24,14,481,71,14.76,24,4.99,26,5.41,17,3.53,34,7.07,19,3.95,12,2.49,32,6.65,69,14.35,31,6.44,31,6.44,37,7.69,45,9.36,33,6.86,24014
24,15,399,103,25.81,16,4.01,17,4.26,11,2.76,20,5.01,13,3.26,9,2.26,21,5.26,83,20.8,19,4.76,20,5.01,22,5.51,29,7.27,16,4.01,24015
24,16,435,21,4.83,14,3.22,16,3.68,11,2.53,17,3.91,12,2.76,8,1.84,42,9.66,62,14.25,45,10.34,43,9.89,52,11.95,48,11.03,44,10.11,24016
24,17,590,41,6.95,28,4.75,23,3.9,13,2.2,32,5.42,16,2.71,13,2.2,49,8.31,81,13.73,56,9.49,51,8.64,61,10.34,69,11.69,57,9.66,24017
24,18,302,25,8.28,15,4.97,13,4.3,5,1.66,25,8.28,9,2.98,7,2.32,27,8.94,40,13.25,28,9.27,25,8.28,30,9.93,33,10.93,20,6.62,24018
24,19,436,25,5.73,18,4.13,21,4.82,8,1.83,28,6.42,13,2.98,6,1.38,44,10.09,59,13.53,36,8.26,40,9.17,49,11.24,51,11.7,38,8.72,24019
24,20,556,38,6.83,23,4.14,24,4.32,11,1.98,34,6.12,19,3.42,12,2.16,49,8.81,78,14.03,53,9.53,50,8.99,55,9.89,58,10.43,52,9.35,24020
24,21,389,65,16.71,17,4.37,13,3.34,8,2.06,21,5.4,17,4.37,5,1.29,27,6.94,56,14.4,28,7.2,29,7.46,36,9.25,40,10.28,27,6.94,24021
24,22,494,70,14.17,19,3.85,18,3.64,9,1.82,31,6.28,14,2.83,7,1.42,42,8.5,81,16.4,38,7.69,38,7.69,44,8.91,49,9.92,34,6.88,24022
24,23,425,68,16.0,18,4.24,19,4.47,10,2.35,26,6.12,19,4.47,9,2.12,28,6.59,63,14.82,30,7.06,33,7.76,31,7.29,43,10.12,28,6.59,24023
24,24,314,61,19.43,13,4.14,15,4.78,12,3.82,25,7.96,14,4.46,6,1.91,19,6.05,50,15.92,15,4.78,21,6.69,18,5.73,26,8.28,19,6.05,24024
24,25,423,62,14.66,17,4.02,19,4.49,8,1.89,30,7.09,27,6.38,8,1.89,24,5.67,67,15.84,25,5.91,36,8.51,38,8.98,40,9.46,22,5.2,24025
24,26,569,99,17.4,27,4.75,30,5.27,22,3.87,46,8.08,22,3.87,11,1.93,35,6.15,89,15.64,35,6.15,30,5.27,44,7.73,49,8.61,30,5.27,24026
24,27,308,45,14.61,15,4.87,13,4.22,12,3.9,18,5.84,20,6.49,12,3.9,25,8.12,33,10.71,19,6.17,16,5.19,29,9.42,26,8.44,25,8.12,24027
