ward,precinct,total,DICK SIMPSON (BRADLEY),DICK SIMPSON (BRADLEY) Percent,MIKE QUIGLEY (GORE),MIKE QUIGLEY (GORE) Percent,MICHELANGELO SPANIOLO (LaROUCHE),MICHELANGELO SPANIOLO (LaROUCHE) Percent,precinct_id
42,5,56,17,30.36,34,60.71,5,8.93,42005
42,7,54,18,33.33,32,59.26,4,7.41,42007
42,8,85,32,37.65,49,57.65,4,4.71,42008
42,10,64,33,51.56,25,39.06,6,9.38,42010
42,15,65,29,44.62,32,49.23,4,6.15,42015
42,16,85,32,37.65,50,58.82,3,3.53,42016
42,23,87,28,32.18,55,63.22,4,4.6,42023
42,24,97,33,34.02,57,58.76,7,7.22,42024
42,28,103,42,40.78,60,58.25,1,0.97,42028
42,29,62,31,50.0,29,46.77,2,3.23,42029
42,30,66,28,42.42,36,54.55,2,3.03,42030
42,33,134,52,38.81,75,55.97,7,5.22,42033
42,35,57,22,38.6,32,56.14,3,5.26,42035
42,42,68,17,25.0,43,63.24,8,11.76,42042
42,44,58,20,34.48,37,63.79,1,1.72,42044
42,61,16,3,18.75,12,75.0,1,6.25,42061
43,1,29,11,37.93,18,62.07,0,0.0,43001
43,2,34,14,41.18,19,55.88,1,2.94,43002
43,3,41,16,39.02,23,56.1,2,4.88,43003
43,4,46,12,26.09,32,69.57,2,4.35,43004
43,5,58,23,39.66,35,60.34,0,0.0,43005
43,6,57,27,47.37,26,45.61,4,7.02,43006
43,7,61,30,49.18,29,47.54,2,3.28,43007
43,8,65,30,46.15,33,50.77,2,3.08,43008
43,9,35,11,31.43,24,68.57,0,0.0,43009
43,10,33,16,48.48,17,51.52,0,0.0,43010
43,11,49,16,32.65,31,63.27,2,4.08,43011
43,12,78,31,39.74,44,56.41,3,3.85,43012
43,13,5,2,40.0,3,60.0,0,0.0,43013
43,14,53,29,54.72,24,45.28,0,0.0,43014
43,15,56,21,37.5,31,55.36,4,7.14,43015
43,16,48,20,41.67,26,54.17,2,4.17,43016
43,17,70,31,44.29,32,45.71,7,10.0,43017
43,18,88,30,34.09,54,61.36,4,4.55,43018
43,19,74,30,40.54,41,55.41,3,4.05,43019
43,20,76,31,40.79,44,57.89,1,1.32,43020
43,21,31,14,45.16,15,48.39,2,6.45,43021
43,22,32,12,37.5,19,59.38,1,3.13,43022
43,23,51,30,58.82,18,35.29,3,5.88,43023
43,24,51,22,43.14,27,52.94,2,3.92,43024
43,26,64,18,28.13,42,65.63,4,6.25,43026
43,27,52,24,46.15,24,46.15,4,7.69,43027
43,28,36,9,25.0,25,69.44,2,5.56,43028
43,29,36,21,58.33,13,36.11,2,5.56,43029
43,30,26,9,34.62,15,57.69,2,7.69,43030
43,31,82,32,39.02,46,56.1,4,4.88,43031
43,32,49,19,38.78,28,57.14,2,4.08,43032
43,33,25,13,52.0,11,44.0,1,4.0,43033
43,34,31,14,45.16,17,54.84,0,0.0,43034
43,35,57,27,47.37,26,45.61,4,7.02,43035
43,36,65,25,38.46,39,60.0,1,1.54,43036
43,37,48,20,41.67,23,47.92,5,10.42,43037
43,38,38,12,31.58,25,65.79,1,2.63,43038
43,39,28,10,35.71,18,64.29,0,0.0,43039
43,41,35,17,48.57,16,45.71,2,5.71,43041
43,42,56,21,37.5,32,57.14,3,5.36,43042
43,43,52,22,42.31,29,55.77,1,1.92,43043
43,44,65,20,30.77,41,63.08,4,6.15,43044
43,45,30,7,23.33,22,73.33,1,3.33,43045
43,46,69,33,47.83,33,47.83,3,4.35,43046
43,47,64,27,42.19,36,56.25,1,1.56,43047
43,48,36,15,41.67,20,55.56,1,2.78,43048
43,49,32,9,28.13,22,68.75,1,3.13,43049
43,50,44,16,36.36,25,56.82,3,6.82,43050
43,51,32,13,40.63,19,59.38,0,0.0,43051
43,52,72,34,47.22,37,51.39,1,1.39,43052
43,53,72,27,37.5,37,51.39,8,11.11,43053
43,54,22,10,45.45,10,45.45,2,9.09,43054
43,55,11,4,36.36,7,63.64,0,0.0,43055
43,56,44,26,59.09,17,38.64,1,2.27,43056
43,57,24,7,29.17,14,58.33,3,12.5,43057
43,58,44,15,34.09,28,63.64,1,2.27,43058
43,59,101,31,30.69,68,67.33,2,1.98,43059
43,60,63,24,38.1,34,53.97,5,7.94,43060
44,9,94,24,25.53,70,74.47,0,0.0,44009
44,11,76,21,27.63,53,69.74,2,2.63,44011
44,13,96,27,28.13,66,68.75,3,3.13,44013
44,14,87,28,32.18,58,66.67,1,1.15,44014
44,16,64,17,26.56,47,73.44,0,0.0,44016
44,20,65,17,26.15,47,72.31,1,1.54,44020
44,25,72,15,20.83,53,73.61,4,5.56,44025
44,27,77,24,31.17,52,67.53,1,1.3,44027
44,29,54,23,42.59,30,55.56,1,1.85,44029
44,38,75,16,21.33,57,76.0,2,2.67,44038
44,39,68,13,19.12,53,77.94,2,2.94,44039
44,40,74,17,22.97,55,74.32,2,2.7,44040
44,43,93,40,43.01,52,55.91,1,1.08,44043
44,47,70,19,27.14,47,67.14,4,5.71,44047
44,50,65,24,36.92,40,61.54,1,1.54,44050
45,7,118,33,27.97,74,62.71,11,9.32,45007
45,8,96,32,33.33,62,64.58,2,2.08,45008
45,10,176,38,21.59,134,76.14,4,2.27,45010
45,12,146,36,24.66,98,67.12,12,8.22,45012
45,14,121,37,30.58,76,62.81,8,6.61,45014
45,16,178,30,16.85,145,81.46,3,1.69,45016
45,18,133,23,17.29,103,77.44,7,5.26,45018
45,20,113,42,37.17,65,57.52,6,5.31,45020
45,24,143,58,40.56,81,56.64,4,2.8,45024
45,25,134,41,30.6,86,64.18,7,5.22,45025
45,26,164,47,28.66,111,67.68,6,3.66,45026
45,28,206,37,17.96,167,81.07,2,0.97,45028
45,29,120,27,22.5,88,73.33,5,4.17,45029
45,31,107,29,27.1,73,68.22,5,4.67,45031
45,35,104,25,24.04,71,68.27,8,7.69,45035
45,37,85,19,22.35,60,70.59,6,7.06,45037
45,38,196,42,21.43,151,77.04,3,1.53,45038
45,39,140,28,20.0,109,77.86,3,2.14,45039
45,40,194,35,18.04,147,75.77,12,6.19,45040
45,41,83,15,18.07,64,77.11,4,4.82,45041
45,42,150,31,20.67,116,77.33,3,2.0,45042
45,43,116,24,20.69,86,74.14,6,5.17,45043
45,45,86,20,23.26,59,68.6,7,8.14,45045
45,46,157,42,26.75,111,70.7,4,2.55,45046
45,47,159,39,24.53,117,73.58,3,1.89,45047
45,48,96,26,27.08,66,68.75,4,4.17,45048
45,50,106,31,29.25,65,61.32,10,9.43,45050
45,53,145,39,26.9,100,68.97,6,4.14,45053
45,55,104,26,25.0,73,70.19,5,4.81,45055
45,56,97,22,22.68,66,68.04,9,9.28,45056
47,1,58,18,31.03,38,65.52,2,3.45,47001
47,2,215,86,40.0,115,53.49,14,6.51,47002
47,3,149,49,32.89,93,62.42,7,4.7,47003
47,4,206,76,36.89,126,61.17,4,1.94,47004
47,5,89,26,29.21,58,65.17,5,5.62,47005
47,6,184,76,41.3,102,55.43,6,3.26,47006
47,7,158,47,29.75,103,65.19,8,5.06,47007
47,8,190,63,33.16,116,61.05,11,5.79,47008
47,9,153,42,27.45,99,64.71,12,7.84,47009
47,10,142,46,32.39,86,60.56,10,7.04,47010
47,11,229,65,28.38,160,69.87,4,1.75,47011
47,12,166,64,38.55,95,57.23,7,4.22,47012
47,13,200,70,35.0,119,59.5,11,5.5,47013
47,14,191,73,38.22,107,56.02,11,5.76,47014
47,15,111,30,27.03,78,70.27,3,2.7,47015
47,16,107,44,41.12,60,56.07,3,2.8,47016
47,17,156,55,35.26,96,61.54,5,3.21,47017
47,18,131,54,41.22,74,56.49,3,2.29,47018
47,19,168,55,32.74,108,64.29,5,2.98,47019
47,20,157,56,35.67,89,56.69,12,7.64,47020
47,22,121,48,39.67,67,55.37,6,4.96,47022
47,23,52,16,30.77,33,63.46,3,5.77,47023
47,24,84,30,35.71,53,63.1,1,1.19,47024
47,25,125,50,40.0,72,57.6,3,2.4,47025
47,26,155,51,32.9,92,59.35,12,7.74,47026
47,27,138,50,36.23,83,60.14,5,3.62,47027
47,28,204,76,37.25,117,57.35,11,5.39,47028
47,29,140,38,27.14,91,65.0,11,7.86,47029
47,33,142,61,42.96,72,50.7,9,6.34,47033
47,35,191,58,30.37,125,65.45,8,4.19,47035
47,36,134,48,35.82,80,59.7,6,4.48,47036
47,37,143,48,33.57,88,61.54,7,4.9,47037
47,38,144,49,34.03,89,61.81,6,4.17,47038
47,39,117,46,39.32,65,55.56,6,5.13,47039
47,40,141,62,43.97,70,49.65,9,6.38,47040
47,42,169,57,33.73,101,59.76,11,6.51,47042
47,43,193,69,35.75,118,61.14,6,3.11,47043
47,44,91,31,34.07,57,62.64,3,3.3,47044
47,45,150,50,33.33,93,62.0,7,4.67,47045
