ward,precinct,total,MATTHEW WILLIAM BEAUDET,MATTHEW WILLIAM BEAUDET Percent,COLLEEN F. SHEEHAN,COLLEEN F. SHEEHAN Percent,precinct_id
2,36,54,21,38.89,33,61.11,02036
2,37,64,9,14.06,55,85.94,02037
2,38,89,27,30.34,62,69.66,02038
2,39,82,30,36.59,52,63.41,02039
2,40,103,21,20.39,82,79.61,02040
2,41,43,17,39.53,26,60.47,02041
2,42,31,10,32.26,21,67.74,02042
2,43,139,26,18.71,113,81.29,02043
2,44,126,38,30.16,88,69.84,02044
2,45,47,20,42.55,27,57.45,02045
2,46,200,70,35.0,130,65.0,02046
2,47,84,21,25.0,63,75.0,02047
2,48,135,41,30.37,94,69.63,02048
2,49,43,8,18.6,35,81.4,02049
2,50,54,9,16.67,45,83.33,02050
2,51,84,26,30.95,58,69.05,02051
2,52,79,26,32.91,53,67.09,02052
2,53,47,14,29.79,33,70.21,02053
2,54,120,27,22.5,93,77.5,02054
3,1,113,41,36.28,72,63.72,03001
3,2,134,58,43.28,76,56.72,03002
3,3,35,14,40.0,21,60.0,03003
3,4,49,22,44.9,27,55.1,03004
3,5,31,13,41.94,18,58.06,03005
3,6,0,0,0.0,0,0.0,03006
3,7,12,4,33.33,8,66.67,03007
3,8,48,17,35.42,31,64.58,03008
3,9,72,30,41.67,42,58.33,03009
3,10,110,40,36.36,70,63.64,03010
3,11,47,15,31.91,32,68.09,03011
3,12,70,21,30.0,49,70.0,03012
3,13,18,5,27.78,13,72.22,03013
3,14,34,14,41.18,20,58.82,03014
3,15,67,25,37.31,42,62.69,03015
3,16,105,45,42.86,60,57.14,03016
3,17,62,23,37.1,39,62.9,03017
3,18,57,23,40.35,34,59.65,03018
3,19,42,15,35.71,27,64.29,03019
3,20,29,18,62.07,11,37.93,03020
3,21,38,16,42.11,22,57.89,03021
3,22,69,26,37.68,43,62.32,03022
3,23,19,9,47.37,10,52.63,03023
3,24,80,34,42.5,46,57.5,03024
3,25,18,7,38.89,11,61.11,03025
3,26,50,18,36.0,32,64.0,03026
3,27,12,3,25.0,9,75.0,03027
3,28,85,36,42.35,49,57.65,03028
3,29,12,2,16.67,10,83.33,03029
3,30,71,32,45.07,39,54.93,03030
3,31,60,20,33.33,40,66.67,03031
3,32,90,31,34.44,59,65.56,03032
3,33,71,20,28.17,51,71.83,03033
3,34,18,9,50.0,9,50.0,03034
3,35,73,21,28.77,52,71.23,03035
3,36,32,12,37.5,20,62.5,03036
3,37,74,24,32.43,50,67.57,03037
3,38,113,50,44.25,63,55.75,03038
3,39,135,46,34.07,89,65.93,03039
3,40,68,23,33.82,45,66.18,03040
3,41,60,25,41.67,35,58.33,03041
3,42,23,8,34.78,15,65.22,03042
3,43,13,5,38.46,8,61.54,03043
3,44,38,17,44.74,21,55.26,03044
3,45,28,9,32.14,19,67.86,03045
3,46,9,2,22.22,7,77.78,03046
3,47,55,21,38.18,34,61.82,03047
3,48,56,22,39.29,34,60.71,03048
3,49,44,17,38.64,27,61.36,03049
3,50,62,33,53.23,29,46.77,03050
3,51,41,15,36.59,26,63.41,03051
3,52,81,26,32.1,55,67.9,03052
4,1,115,34,29.57,81,70.43,04001
4,2,22,10,45.45,12,54.55,04002
4,3,144,43,29.86,101,70.14,04003
4,4,134,37,27.61,97,72.39,04004
4,5,113,40,35.4,73,64.6,04005
4,6,3,2,66.67,1,33.33,04006
4,7,88,20,22.73,68,77.27,04007
4,8,147,41,27.89,106,72.11,04008
4,9,243,68,27.98,175,72.02,04009
4,10,164,57,34.76,107,65.24,04010
4,11,99,25,25.25,74,74.75,04011
4,12,94,37,39.36,57,60.64,04012
4,13,150,44,29.33,106,70.67,04013
4,14,72,27,37.5,45,62.5,04014
4,15,82,34,41.46,48,58.54,04015
4,16,128,34,26.56,94,73.44,04016
4,17,149,41,27.52,108,72.48,04017
4,18,102,29,28.43,73,71.57,04018
4,19,30,8,26.67,22,73.33,04019
4,20,55,17,30.91,38,69.09,04020
4,21,122,25,20.49,97,79.51,04021
4,22,169,40,23.67,129,76.33,04022
4,23,97,23,23.71,74,76.29,04023
4,24,147,39,26.53,108,73.47,04024
4,25,132,43,32.58,89,67.42,04025
4,26,98,31,31.63,67,68.37,04026
4,27,178,59,33.15,119,66.85,04027
4,28,130,21,16.15,109,83.85,04028
4,29,109,27,24.77,82,75.23,04029
4,30,25,8,32.0,17,68.0,04030
4,31,36,7,19.44,29,80.56,04031
4,32,147,25,17.01,122,82.99,04032
4,33,41,15,36.59,26,63.41,04033
4,34,111,10,9.01,101,90.99,04034
4,35,83,23,27.71,60,72.29,04035
4,36,151,40,26.49,111,73.51,04036
4,37,70,30,42.86,40,57.14,04037
4,38,173,48,27.75,125,72.25,04038
4,39,57,17,29.82,40,70.18,04039
4,40,112,33,29.46,79,70.54,04040
4,41,97,26,26.8,71,73.2,04041
4,42,74,13,17.57,61,82.43,04042
4,43,90,13,14.44,77,85.56,04043
4,44,90,26,28.89,64,71.11,04044
4,45,214,64,29.91,150,70.09,04045
4,46,111,31,27.93,80,72.07,04046
4,47,157,41,26.11,116,73.89,04047
4,48,181,41,22.65,140,77.35,04048
4,49,26,8,30.77,18,69.23,04049
4,50,101,38,37.62,63,62.38,04050
4,51,161,41,25.47,120,74.53,04051
4,52,34,16,47.06,18,52.94,04052
4,53,28,8,28.57,20,71.43,04053
4,54,68,14,20.59,54,79.41,04054
4,55,92,11,11.96,81,88.04,04055
5,1,123,37,30.08,86,69.92,05001
5,2,101,34,33.66,67,66.34,05002
5,3,128,33,25.78,95,74.22,05003
5,4,162,50,30.86,112,69.14,05004
5,5,100,24,24.0,76,76.0,05005
5,6,140,47,33.57,93,66.43,05006
5,7,123,29,23.58,94,76.42,05007
5,8,177,16,9.04,161,90.96,05008
5,9,130,36,27.69,94,72.31,05009
5,10,72,22,30.56,50,69.44,05010
5,11,46,8,17.39,38,82.61,05011
5,12,133,54,40.6,79,59.4,05012
5,13,134,50,37.31,84,62.69,05013
5,14,106,12,11.32,94,88.68,05014
5,15,74,25,33.78,49,66.22,05015
5,16,82,25,30.49,57,69.51,05016
5,17,70,16,22.86,54,77.14,05017
5,18,81,30,37.04,51,62.96,05018
5,19,93,32,34.41,61,65.59,05019
5,20,91,30,32.97,61,67.03,05020
5,21,165,42,25.45,123,74.55,05021
5,22,138,43,31.16,95,68.84,05022
5,23,102,31,30.39,71,69.61,05023
5,24,113,29,25.66,84,74.34,05024
5,25,94,28,29.79,66,70.21,05025
5,26,72,20,27.78,52,72.22,05026
5,27,38,7,18.42,31,81.58,05027
5,28,161,55,34.16,106,65.84,05028
5,29,83,29,34.94,54,65.06,05029
5,30,116,8,6.9,108,93.1,05030
5,31,85,21,24.71,64,75.29,05031
5,32,170,63,37.06,107,62.94,05032
5,33,112,37,33.04,75,66.96,05033
5,34,88,22,25.0,66,75.0,05034
5,35,77,18,23.38,59,76.62,05035
5,36,125,39,31.2,86,68.8,05036
5,37,83,15,18.07,68,81.93,05037
5,38,148,27,18.24,121,81.76,05038
5,39,120,11,9.17,109,90.83,05039
5,40,84,26,30.95,58,69.05,05040
5,41,86,8,9.3,78,90.7,05041
5,42,119,41,34.45,78,65.55,05042
5,43,127,46,36.22,81,63.78,05043
5,44,113,34,30.09,79,69.91,05044
5,45,82,24,29.27,58,70.73,05045
5,46,114,28,24.56,86,75.44,05046
5,47,88,20,22.73,68,77.27,05047
5,48,118,22,18.64,96,81.36,05048
5,49,128,12,9.38,116,90.63,05049
5,50,69,26,37.68,43,62.32,05050
5,51,91,34,37.36,57,62.64,05051
5,52,73,33,45.21,40,54.79,05052
5,53,101,31,30.69,70,69.31,05053
5,54,56,20,35.71,36,64.29,05054
5,55,118,32,27.12,86,72.88,05055
5,56,72,21,29.17,51,70.83,05056
5,57,122,26,21.31,96,78.69,05057
5,58,66,22,33.33,44,66.67,05058
5,59,69,25,36.23,44,63.77,05059
6,1,160,55,34.38,105,65.63,06001
6,2,172,60,34.88,112,65.12,06002
6,3,128,45,35.16,83,64.84,06003
6,4,89,32,35.96,57,64.04,06004
6,5,64,20,31.25,44,68.75,06005
6,6,158,50,31.65,108,68.35,06006
6,7,104,42,40.38,62,59.62,06007
6,8,155,59,38.06,96,61.94,06008
6,9,136,54,39.71,82,60.29,06009
6,10,188,55,29.26,133,70.74,06010
6,11,127,40,31.5,87,68.5,06011
6,12,91,35,38.46,56,61.54,06012
6,13,136,38,27.94,98,72.06,06013
6,14,134,49,36.57,85,63.43,06014
6,15,67,23,34.33,44,65.67,06015
6,16,146,49,33.56,97,66.44,06016
6,17,175,73,41.71,102,58.29,06017
6,18,49,21,42.86,28,57.14,06018
6,19,130,41,31.54,89,68.46,06019
6,20,37,7,18.92,30,81.08,06020
6,21,145,61,42.07,84,57.93,06021
6,22,130,41,31.54,89,68.46,06022
6,23,91,31,34.07,60,65.93,06023
6,24,130,40,30.77,90,69.23,06024
6,25,124,39,31.45,85,68.55,06025
6,26,121,35,28.93,86,71.07,06026
6,27,157,55,35.03,102,64.97,06027
6,28,161,60,37.27,101,62.73,06028
6,29,132,52,39.39,80,60.61,06029
6,30,107,39,36.45,68,63.55,06030
6,31,174,64,36.78,110,63.22,06031
6,32,140,54,38.57,86,61.43,06032
6,33,139,48,34.53,91,65.47,06033
6,34,116,39,33.62,77,66.38,06034
6,35,176,74,42.05,102,57.95,06035
6,36,76,35,46.05,41,53.95,06036
6,37,147,54,36.73,93,63.27,06037
6,38,171,50,29.24,121,70.76,06038
6,39,66,30,45.45,36,54.55,06039
6,40,66,18,27.27,48,72.73,06040
6,41,147,64,43.54,83,56.46,06041
6,42,89,30,33.71,59,66.29,06042
6,43,151,45,29.8,106,70.2,06043
6,44,117,41,35.04,76,64.96,06044
6,45,80,29,36.25,51,63.75,06045
6,46,96,36,37.5,60,62.5,06046
6,47,157,52,33.12,105,66.88,06047
6,48,151,56,37.09,95,62.91,06048
6,49,116,40,34.48,76,65.52,06049
6,50,150,53,35.33,97,64.67,06050
6,51,95,30,31.58,65,68.42,06051
6,52,113,38,33.63,75,66.37,06052
6,53,111,47,42.34,64,57.66,06053
6,54,102,30,29.41,72,70.59,06054
6,55,97,33,34.02,64,65.98,06055
6,56,91,31,34.07,60,65.93,06056
6,57,68,13,19.12,55,80.88,06057
6,58,134,45,33.58,89,66.42,06058
6,59,123,42,34.15,81,65.85,06059
6,60,86,28,32.56,58,67.44,06060
6,61,87,31,35.63,56,64.37,06061
6,62,153,57,37.25,96,62.75,06062
6,63,122,41,33.61,81,66.39,06063
6,64,170,62,36.47,108,63.53,06064
7,1,212,66,31.13,146,68.87,07001
7,2,151,41,27.15,110,72.85,07002
7,3,125,37,29.6,88,70.4,07003
7,4,115,42,36.52,73,63.48,07004
7,5,89,24,26.97,65,73.03,07005
7,6,121,28,23.14,93,76.86,07006
7,7,103,24,23.3,79,76.7,07007
7,8,96,41,42.71,55,57.29,07008
7,9,126,35,27.78,91,72.22,07009
7,10,163,59,36.2,104,63.8,07010
7,11,135,48,35.56,87,64.44,07011
7,12,138,47,34.06,91,65.94,07012
7,13,72,29,40.28,43,59.72,07013
7,14,129,45,34.88,84,65.12,07014
7,15,189,57,30.16,132,69.84,07015
7,16,134,41,30.6,93,69.4,07016
7,17,132,40,30.3,92,69.7,07017
7,18,130,26,20.0,104,80.0,07018
7,19,175,56,32.0,119,68.0,07019
7,20,30,11,36.67,19,63.33,07020
7,21,149,40,26.85,109,73.15,07021
7,22,125,36,28.8,89,71.2,07022
7,23,136,41,30.15,95,69.85,07023
7,24,182,41,22.53,141,77.47,07024
7,25,116,24,20.69,92,79.31,07025
7,26,155,56,36.13,99,63.87,07026
7,27,142,51,35.92,91,64.08,07027
7,28,126,45,35.71,81,64.29,07028
7,29,76,20,26.32,56,73.68,07029
7,30,208,66,31.73,142,68.27,07030
7,31,178,54,30.34,124,69.66,07031
7,32,121,38,31.4,83,68.6,07032
7,33,142,43,30.28,99,69.72,07033
7,34,101,37,36.63,64,63.37,07034
7,35,159,48,30.19,111,69.81,07035
7,36,220,60,27.27,160,72.73,07036
7,37,159,62,38.99,97,61.01,07037
7,38,150,45,30.0,105,70.0,07038
7,39,122,46,37.7,76,62.3,07039
7,40,105,30,28.57,75,71.43,07040
7,41,162,44,27.16,118,72.84,07041
7,42,131,37,28.24,94,71.76,07042
7,43,154,50,32.47,104,67.53,07043
7,44,189,57,30.16,132,69.84,07044
7,45,180,46,25.56,134,74.44,07045
7,46,45,15,33.33,30,66.67,07046
8,1,162,48,29.63,114,70.37,08001
8,2,106,35,33.02,71,66.98,08002
8,3,208,57,27.4,151,72.6,08003
8,4,159,34,21.38,125,78.62,08004
8,5,185,50,27.03,135,72.97,08005
8,6,164,54,32.93,110,67.07,08006
8,7,94,34,36.17,60,63.83,08007
8,8,185,51,27.57,134,72.43,08008
8,9,189,58,30.69,131,69.31,08009
8,10,181,43,23.76,138,76.24,08010
8,11,108,29,26.85,79,73.15,08011
8,12,128,39,30.47,89,69.53,08012
8,13,93,32,34.41,61,65.59,08013
8,14,107,34,31.78,73,68.22,08014
8,15,122,41,33.61,81,66.39,08015
8,16,166,51,30.72,115,69.28,08016
8,17,125,30,24.0,95,76.0,08017
8,18,97,35,36.08,62,63.92,08018
8,19,202,57,28.22,145,71.78,08019
8,20,123,50,40.65,73,59.35,08020
8,21,121,27,22.31,94,77.69,08021
8,22,128,39,30.47,89,69.53,08022
8,23,127,34,26.77,93,73.23,08023
8,24,167,51,30.54,116,69.46,08024
8,25,132,40,30.3,92,69.7,08025
8,26,83,23,27.71,60,72.29,08026
8,27,157,51,32.48,106,67.52,08027
8,28,132,31,23.48,101,76.52,08028
8,29,131,45,34.35,86,65.65,08029
8,30,133,48,36.09,85,63.91,08030
8,31,126,38,30.16,88,69.84,08031
8,32,223,80,35.87,143,64.13,08032
8,33,93,26,27.96,67,72.04,08033
8,34,173,54,31.21,119,68.79,08034
8,35,211,50,23.7,161,76.3,08035
8,36,139,44,31.65,95,68.35,08036
8,37,117,39,33.33,78,66.67,08037
8,38,158,44,27.85,114,72.15,08038
8,39,149,37,24.83,112,75.17,08039
8,40,137,44,32.12,93,67.88,08040
8,41,134,42,31.34,92,68.66,08041
8,42,125,35,28.0,90,72.0,08042
8,43,79,18,22.78,61,77.22,08043
8,44,173,49,28.32,124,71.68,08044
8,45,146,34,23.29,112,76.71,08045
8,46,131,33,25.19,98,74.81,08046
8,47,157,39,24.84,118,75.16,08047
8,48,161,47,29.19,114,70.81,08048
8,49,185,66,35.68,119,64.32,08049
8,50,155,50,32.26,105,67.74,08050
8,51,140,51,36.43,89,63.57,08051
8,52,171,56,32.75,115,67.25,08052
8,53,162,51,31.48,111,68.52,08053
8,54,177,48,27.12,129,72.88,08054
8,55,132,38,28.79,94,71.21,08055
8,56,106,26,24.53,80,75.47,08056
8,57,151,48,31.79,103,68.21,08057
8,58,163,36,22.09,127,77.91,08058
8,59,134,31,23.13,103,76.87,08059
8,60,187,49,26.2,138,73.8,08060
8,61,113,30,26.55,83,73.45,08061
8,62,186,65,34.95,121,65.05,08062
8,63,173,46,26.59,127,73.41,08063
8,64,90,22,24.44,68,75.56,08064
8,65,144,47,32.64,97,67.36,08065
8,66,190,47,24.74,143,75.26,08066
9,1,164,57,34.76,107,65.24,09001
9,2,158,45,28.48,113,71.52,09002
9,3,76,21,27.63,55,72.37,09003
9,4,172,44,25.58,128,74.42,09004
9,5,127,40,31.5,87,68.5,09005
9,6,134,33,24.63,101,75.37,09006
9,7,126,38,30.16,88,69.84,09007
9,8,117,46,39.32,71,60.68,09008
9,9,157,44,28.03,113,71.97,09009
9,10,138,50,36.23,88,63.77,09010
9,11,76,26,34.21,50,65.79,09011
9,12,117,35,29.91,82,70.09,09012
9,13,197,60,30.46,137,69.54,09013
9,14,215,52,24.19,163,75.81,09014
9,15,55,22,40.0,33,60.0,09015
9,16,128,48,37.5,80,62.5,09016
9,17,131,53,40.46,78,59.54,09017
9,18,113,30,26.55,83,73.45,09018
9,19,146,32,21.92,114,78.08,09019
9,20,161,37,22.98,124,77.02,09020
9,21,113,25,22.12,88,77.88,09021
9,22,172,42,24.42,130,75.58,09022
9,23,109,35,32.11,74,67.89,09023
9,24,45,13,28.89,32,71.11,09024
9,25,66,14,21.21,52,78.79,09025
9,26,89,30,33.71,59,66.29,09026
9,27,112,36,32.14,76,67.86,09027
9,28,92,36,39.13,56,60.87,09028
9,29,118,52,44.07,66,55.93,09029
9,30,144,53,36.81,91,63.19,09030
9,31,76,25,32.89,51,67.11,09031
9,32,143,37,25.87,106,74.13,09032
9,33,114,27,23.68,87,76.32,09033
9,34,94,38,40.43,56,59.57,09034
9,35,144,47,32.64,97,67.36,09035
9,36,58,15,25.86,43,74.14,09036
9,37,148,34,22.97,114,77.03,09037
9,38,113,36,31.86,77,68.14,09038
9,39,124,46,37.1,78,62.9,09039
9,40,148,48,32.43,100,67.57,09040
9,41,163,43,26.38,120,73.62,09041
9,42,95,29,30.53,66,69.47,09042
9,43,67,23,34.33,44,65.67,09043
9,44,119,37,31.09,82,68.91,09044
9,45,171,52,30.41,119,69.59,09045
9,46,121,28,23.14,93,76.86,09046
9,47,93,29,31.18,64,68.82,09047
9,48,161,41,25.47,120,74.53,09048
9,49,59,25,42.37,34,57.63,09049
9,50,169,42,24.85,127,75.15,09050
9,51,98,35,35.71,63,64.29,09051
9,52,138,39,28.26,99,71.74,09052
10,1,73,23,31.51,50,68.49,10001
10,2,94,28,29.79,66,70.21,10002
10,3,153,18,11.76,135,88.24,10003
10,4,147,56,38.1,91,61.9,10004
10,5,111,24,21.62,87,78.38,10005
10,6,149,61,40.94,88,59.06,10006
10,7,40,9,22.5,31,77.5,10007
10,8,131,27,20.61,104,79.39,10008
10,9,131,26,19.85,105,80.15,10009
10,10,117,37,31.62,80,68.38,10010
10,11,120,25,20.83,95,79.17,10011
10,12,115,25,21.74,90,78.26,10012
10,13,159,49,30.82,110,69.18,10013
10,14,25,5,20.0,20,80.0,10014
10,15,61,12,19.67,49,80.33,10015
10,16,126,21,16.67,105,83.33,10016
10,17,107,22,20.56,85,79.44,10017
10,18,106,34,32.08,72,67.92,10018
10,19,191,43,22.51,148,77.49,10019
10,20,229,44,19.21,185,80.79,10020
10,21,93,24,25.81,69,74.19,10021
10,22,39,9,23.08,30,76.92,10022
10,23,141,49,34.75,92,65.25,10023
10,24,124,32,25.81,92,74.19,10024
10,25,140,45,32.14,95,67.86,10025
10,26,91,25,27.47,66,72.53,10026
10,27,176,42,23.86,134,76.14,10027
10,28,121,42,34.71,79,65.29,10028
10,29,131,47,35.88,84,64.12,10029
10,30,141,35,24.82,106,75.18,10030
10,31,128,33,25.78,95,74.22,10031
10,32,138,44,31.88,94,68.12,10032
10,33,122,36,29.51,86,70.49,10033
10,34,128,26,20.31,102,79.69,10034
10,35,112,29,25.89,83,74.11,10035
10,36,158,52,32.91,106,67.09,10036
10,37,114,53,46.49,61,53.51,10037
10,38,186,47,25.27,139,74.73,10038
10,39,147,36,24.49,111,75.51,10039
10,40,112,25,22.32,87,77.68,10040
10,41,178,33,18.54,145,81.46,10041
10,42,132,19,14.39,113,85.61,10042
10,43,123,43,34.96,80,65.04,10043
10,44,129,42,32.56,87,67.44,10044
10,45,147,46,31.29,101,68.71,10045
10,46,112,36,32.14,76,67.86,10046
11,1,147,11,7.48,136,92.52,11001
11,2,136,26,19.12,110,80.88,11002
11,3,160,24,15.0,136,85.0,11003
11,4,177,25,14.12,152,85.88,11004
11,5,85,15,17.65,70,82.35,11005
11,6,234,32,13.68,202,86.32,11006
11,7,195,16,8.21,179,91.79,11007
11,8,168,27,16.07,141,83.93,11008
11,9,196,10,5.1,186,94.9,11009
11,10,105,19,18.1,86,81.9,11010
11,11,157,16,10.19,141,89.81,11011
11,12,204,13,6.37,191,93.63,11012
11,13,165,9,5.45,156,94.55,11013
11,14,66,12,18.18,54,81.82,11014
11,15,153,11,7.19,142,92.81,11015
11,16,137,16,11.68,121,88.32,11016
11,17,200,28,14.0,172,86.0,11017
11,18,130,21,16.15,109,83.85,11018
11,19,124,17,13.71,107,86.29,11019
11,20,233,16,6.87,217,93.13,11020
11,21,291,20,6.87,271,93.13,11021
11,22,75,14,18.67,61,81.33,11022
11,23,153,31,20.26,122,79.74,11023
11,24,292,12,4.11,280,95.89,11024
11,25,131,10,7.63,121,92.37,11025
11,26,212,22,10.38,190,89.62,11026
11,27,50,17,34.0,33,66.0,11027
11,28,43,1,2.33,42,97.67,11028
11,29,235,37,15.74,198,84.26,11029
11,30,147,26,17.69,121,82.31,11030
11,31,55,13,23.64,42,76.36,11031
11,32,154,4,2.6,150,97.4,11032
11,33,78,29,37.18,49,62.82,11033
11,34,88,12,13.64,76,86.36,11034
11,35,200,14,7.0,186,93.0,11035
11,36,84,18,21.43,66,78.57,11036
11,37,264,17,6.44,247,93.56,11037
11,38,274,24,8.76,250,91.24,11038
11,39,225,24,10.67,201,89.33,11039
11,40,187,8,4.28,179,95.72,11040
11,41,143,15,10.49,128,89.51,11041
11,42,124,11,8.87,113,91.13,11042
11,43,183,17,9.29,166,90.71,11043
11,44,150,24,16.0,126,84.0,11044
11,45,137,17,12.41,120,87.59,11045
11,46,75,7,9.33,68,90.67,11046
11,47,166,21,12.65,145,87.35,11047
11,48,109,9,8.26,100,91.74,11048
11,49,126,6,4.76,120,95.24,11049
11,50,97,5,5.15,92,94.85,11050
11,51,187,14,7.49,173,92.51,11051
11,52,161,15,9.32,146,90.68,11052
11,53,149,19,12.75,130,87.25,11053
11,54,75,4,5.33,71,94.67,11054
12,1,48,19,39.58,29,60.42,12001
12,2,97,35,36.08,62,63.92,12002
12,3,99,30,30.3,69,69.7,12003
12,4,74,14,18.92,60,81.08,12004
12,5,43,14,32.56,29,67.44,12005
12,6,101,32,31.68,69,68.32,12006
12,7,51,18,35.29,33,64.71,12007
12,8,58,6,10.34,52,89.66,12008
12,9,76,19,25.0,57,75.0,12009
12,10,52,18,34.62,34,65.38,12010
12,11,98,33,33.67,65,66.33,12011
12,12,73,15,20.55,58,79.45,12012
12,13,46,10,21.74,36,78.26,12013
12,14,60,30,50.0,30,50.0,12014
12,15,59,20,33.9,39,66.1,12015
12,16,108,40,37.04,68,62.96,12016
12,17,33,8,24.24,25,75.76,12017
12,18,52,15,28.85,37,71.15,12018
12,19,43,17,39.53,26,60.47,12019
12,20,55,21,38.18,34,61.82,12020
12,21,119,33,27.73,86,72.27,12021
12,22,58,26,44.83,32,55.17,12022
12,23,106,48,45.28,58,54.72,12023
12,24,36,11,30.56,25,69.44,12024
12,25,65,26,40.0,39,60.0,12025
12,26,44,22,50.0,22,50.0,12026
12,27,47,15,31.91,32,68.09,12027
12,28,47,14,29.79,33,70.21,12028
12,29,172,50,29.07,122,70.93,12029
12,30,129,38,29.46,91,70.54,12030
13,1,131,7,5.34,124,94.66,13001
13,2,132,8,6.06,124,93.94,13002
13,3,281,15,5.34,266,94.66,13003
13,4,216,24,11.11,192,88.89,13004
13,5,154,18,11.69,136,88.31,13005
13,6,127,24,18.9,103,81.1,13006
13,7,248,15,6.05,233,93.95,13007
13,8,190,18,9.47,172,90.53,13008
13,9,216,21,9.72,195,90.28,13009
13,10,184,16,8.7,168,91.3,13010
13,11,119,16,13.45,103,86.55,13011
13,12,241,26,10.79,215,89.21,13012
13,13,283,16,5.65,267,94.35,13013
13,14,144,19,13.19,125,86.81,13014
13,15,262,21,8.02,241,91.98,13015
13,16,180,24,13.33,156,86.67,13016
13,17,132,13,9.85,119,90.15,13017
13,18,143,15,10.49,128,89.51,13018
13,19,149,15,10.07,134,89.93,13019
13,20,171,26,15.2,145,84.8,13020
13,21,183,14,7.65,169,92.35,13021
13,22,299,27,9.03,272,90.97,13022
13,23,229,14,6.11,215,93.89,13023
13,24,229,23,10.04,206,89.96,13024
13,25,147,17,11.56,130,88.44,13025
13,26,148,19,12.84,129,87.16,13026
13,27,187,17,9.09,170,90.91,13027
13,28,137,13,9.49,124,90.51,13028
13,29,177,17,9.6,160,90.4,13029
13,30,171,30,17.54,141,82.46,13030
13,31,176,24,13.64,152,86.36,13031
13,32,112,27,24.11,85,75.89,13032
13,33,163,19,11.66,144,88.34,13033
13,34,218,19,8.72,199,91.28,13034
13,35,236,15,6.36,221,93.64,13035
13,36,124,18,14.52,106,85.48,13036
13,37,131,16,12.21,115,87.79,13037
13,38,112,5,4.46,107,95.54,13038
13,39,161,17,10.56,144,89.44,13039
13,40,157,21,13.38,136,86.62,13040
13,41,142,15,10.56,127,89.44,13041
13,42,304,17,5.59,287,94.41,13042
13,43,205,18,8.78,187,91.22,13043
13,44,92,15,16.3,77,83.7,13044
