ward,precinct,total,PATRICK J. LEVAR,PATRICK J. LEVAR Percent,PATRICIA YOUNG,PATRICIA YOUNG Percent,JOE MOORE,JOE MOORE Percent,DOROTHY A. BROWN,DOROTHY A. BROWN Percent,precinct_id
4,17,216,7,3.24,12,5.56,31,14.35,166,76.85,04017
4,18,133,5,3.76,15,11.28,9,6.77,104,78.2,04018
4,19,42,2,4.76,5,11.9,7,16.67,28,66.67,04019
4,20,65,1,1.54,14,21.54,5,7.69,45,69.23,04020
4,21,165,6,3.64,13,7.88,23,13.94,123,74.55,04021
4,22,253,11,4.35,11,4.35,55,21.74,176,69.57,04022
4,23,147,5,3.4,13,8.84,34,23.13,95,64.63,04023
4,24,193,8,4.15,12,6.22,26,13.47,147,76.17,04024
4,25,41,1,2.44,5,12.2,2,4.88,33,80.49,04025
4,26,140,4,2.86,8,5.71,13,9.29,115,82.14,04026
4,27,237,8,3.38,15,6.33,32,13.5,182,76.79,04027
4,28,175,3,1.71,8,4.57,56,32.0,108,61.71,04028
4,29,155,8,5.16,12,7.74,25,16.13,110,70.97,04029
4,30,37,3,8.11,7,18.92,7,18.92,20,54.05,04030
4,31,58,2,3.45,8,13.79,2,3.45,46,79.31,04031
4,32,194,7,3.61,14,7.22,53,27.32,120,61.86,04032
4,33,63,1,1.59,6,9.52,4,6.35,52,82.54,04033
4,34,21,0,0.0,4,19.05,9,42.86,8,38.1,04034
4,35,104,2,1.92,10,9.62,18,17.31,74,71.15,04035
4,36,201,3,1.49,16,7.96,30,14.93,152,75.62,04036
4,37,99,3,3.03,16,16.16,10,10.1,70,70.71,04037
4,38,244,9,3.69,25,10.25,32,13.11,178,72.95,04038
4,39,82,5,6.1,8,9.76,8,9.76,61,74.39,04039
4,40,170,2,1.18,12,7.06,25,14.71,131,77.06,04040
4,41,134,7,5.22,8,5.97,33,24.63,86,64.18,04041
4,42,110,1,0.91,5,4.55,10,9.09,94,85.45,04042
4,43,130,4,3.08,16,12.31,41,31.54,69,53.08,04043
4,44,130,3,2.31,9,6.92,23,17.69,95,73.08,04044
4,45,322,12,3.73,18,5.59,36,11.18,256,79.5,04045
4,46,167,4,2.4,9,5.39,14,8.38,140,83.83,04046
4,47,231,10,4.33,16,6.93,44,19.05,161,69.7,04047
4,48,250,12,4.8,19,7.6,67,26.8,152,60.8,04048
4,49,51,3,5.88,4,7.84,11,21.57,33,64.71,04049
4,50,151,3,1.99,12,7.95,16,10.6,120,79.47,04050
4,51,218,12,5.5,15,6.88,39,17.89,152,69.72,04051
4,52,43,1,2.33,8,18.6,7,16.28,27,62.79,04052
4,53,35,1,2.86,9,25.71,6,17.14,19,54.29,04053
4,54,96,1,1.04,5,5.21,21,21.88,69,71.88,04054
4,55,121,2,1.65,11,9.09,56,46.28,52,42.98,04055
5,1,187,2,1.07,7,3.74,26,13.9,152,81.28,05001
5,2,162,1,0.62,15,9.26,16,9.88,130,80.25,05002
5,3,197,4,2.03,12,6.09,15,7.61,166,84.26,05003
5,4,251,6,2.39,16,6.37,13,5.18,216,86.06,05004
5,5,133,7,5.26,12,9.02,14,10.53,100,75.19,05005
5,6,204,5,2.45,12,5.88,8,3.92,179,87.75,05006
5,7,164,2,1.22,9,5.49,40,24.39,113,68.9,05007
5,8,205,6,2.93,9,4.39,114,55.61,76,37.07,05008
5,9,167,4,2.4,6,3.59,15,8.98,142,85.03,05009
5,10,111,2,1.8,8,7.21,11,9.91,90,81.08,05010
5,11,58,6,10.34,6,10.34,24,41.38,22,37.93,05011
5,12,178,8,4.49,11,6.18,15,8.43,144,80.9,05012
5,13,179,10,5.59,13,7.26,12,6.7,144,80.45,05013
5,14,161,6,3.73,10,6.21,54,33.54,91,56.52,05014
5,15,108,4,3.7,6,5.56,7,6.48,91,84.26,05015
5,16,121,1,0.83,8,6.61,9,7.44,103,85.12,05016
5,17,118,2,1.69,11,9.32,10,8.47,95,80.51,05017
5,18,111,6,5.41,3,2.7,6,5.41,96,86.49,05018
5,19,133,7,5.26,14,10.53,6,4.51,106,79.7,05019
5,20,117,2,1.71,13,11.11,11,9.4,91,77.78,05020
5,21,230,8,3.48,21,9.13,13,5.65,188,81.74,05021
5,22,167,5,2.99,12,7.19,12,7.19,138,82.63,05022
5,23,137,5,3.65,16,11.68,19,13.87,97,70.8,05023
5,24,166,4,2.41,17,10.24,36,21.69,109,65.66,05024
5,25,123,7,5.69,10,8.13,7,5.69,99,80.49,05025
5,26,109,2,1.83,4,3.67,6,5.5,97,88.99,05026
5,27,54,4,7.41,7,12.96,21,38.89,22,40.74,05027
5,28,228,9,3.95,9,3.95,28,12.28,182,79.82,05028
5,29,134,3,2.24,6,4.48,12,8.96,113,84.33,05029
5,30,153,4,2.61,7,4.58,88,57.52,54,35.29,05030
5,31,118,1,0.85,7,5.93,17,14.41,93,78.81,05031
5,32,263,6,2.28,12,4.56,17,6.46,228,86.69,05032
5,33,174,7,4.02,14,8.05,9,5.17,144,82.76,05033
5,34,118,4,3.39,10,8.47,11,9.32,93,78.81,05034
5,35,109,3,2.75,10,9.17,22,20.18,74,67.89,05035
5,36,162,3,1.85,13,8.02,21,12.96,125,77.16,05036
5,37,111,5,4.5,15,13.51,19,17.12,72,64.86,05037
5,38,204,14,6.86,25,12.25,58,28.43,107,52.45,05038
5,39,162,7,4.32,15,9.26,62,38.27,78,48.15,05039
5,40,110,1,0.91,12,10.91,7,6.36,90,81.82,05040
5,41,126,8,6.35,7,5.56,42,33.33,69,54.76,05041
5,42,166,7,4.22,11,6.63,17,10.24,131,78.92,05042
5,43,201,3,1.49,11,5.47,16,7.96,171,85.07,05043
5,44,158,4,2.53,11,6.96,10,6.33,133,84.18,05044
5,45,120,5,4.17,10,8.33,13,10.83,92,76.67,05045
5,46,164,3,1.83,12,7.32,41,25.0,108,65.85,05046
5,47,115,4,3.48,8,6.96,16,13.91,87,75.65,05047
5,48,146,3,2.05,28,19.18,26,17.81,89,60.96,05048
5,49,165,6,3.64,11,6.67,94,56.97,54,32.73,05049
5,50,108,6,5.56,10,9.26,8,7.41,84,77.78,05050
5,51,113,5,4.42,12,10.62,14,12.39,82,72.57,05051
5,52,123,6,4.88,6,4.88,15,12.2,96,78.05,05052
5,53,130,2,1.54,8,6.15,6,4.62,114,87.69,05053
5,54,102,2,1.96,10,9.8,15,14.71,75,73.53,05054
5,55,174,7,4.02,10,5.75,33,18.97,124,71.26,05055
5,56,107,0,0.0,10,9.35,8,7.48,89,83.18,05056
5,57,167,6,3.59,18,10.78,35,20.96,108,64.67,05057
5,58,89,8,8.99,7,7.87,10,11.24,64,71.91,05058
5,59,97,3,3.09,8,8.25,6,6.19,80,82.47,05059
6,1,267,6,2.25,11,4.12,6,2.25,244,91.39,06001
6,2,251,4,1.59,11,4.38,8,3.19,228,90.84,06002
6,3,215,2,0.93,9,4.19,12,5.58,192,89.3,06003
6,4,137,7,5.11,10,7.3,9,6.57,111,81.02,06004
6,5,105,2,1.9,8,7.62,4,3.81,91,86.67,06005
6,6,214,8,3.74,13,6.07,10,4.67,183,85.51,06006
6,7,153,2,1.31,10,6.54,7,4.58,134,87.58,06007
6,8,224,3,1.34,10,4.46,11,4.91,200,89.29,06008
6,9,241,6,2.49,10,4.15,8,3.32,217,90.04,06009
6,10,284,5,1.76,10,3.52,16,5.63,253,89.08,06010
6,11,179,7,3.91,10,5.59,6,3.35,156,87.15,06011
6,12,133,1,0.75,19,14.29,7,5.26,106,79.7,06012
6,13,191,9,4.71,11,5.76,8,4.19,163,85.34,06013
6,14,206,6,2.91,12,5.83,9,4.37,179,86.89,06014
6,15,119,1,0.84,7,5.88,6,5.04,105,88.24,06015
6,16,242,5,2.07,9,3.72,10,4.13,218,90.08,06016
6,17,275,7,2.55,17,6.18,18,6.55,233,84.73,06017
6,18,64,4,6.25,7,10.94,0,0.0,53,82.81,06018
6,19,185,8,4.32,10,5.41,10,5.41,157,84.86,06019
6,20,61,3,4.92,6,9.84,2,3.28,50,81.97,06020
6,21,218,6,2.75,11,5.05,13,5.96,188,86.24,06021
6,22,192,3,1.56,8,4.17,8,4.17,173,90.1,06022
6,23,153,7,4.58,14,9.15,7,4.58,125,81.7,06023
6,24,174,9,5.17,9,5.17,12,6.9,144,82.76,06024
6,25,183,2,1.09,11,6.01,6,3.28,164,89.62,06025
6,26,216,9,4.17,11,5.09,5,2.31,191,88.43,06026
6,27,274,7,2.55,13,4.74,7,2.55,247,90.15,06027
6,28,256,11,4.3,8,3.13,12,4.69,225,87.89,06028
6,29,257,9,3.5,7,2.72,11,4.28,230,89.49,06029
6,30,168,4,2.38,16,9.52,3,1.79,145,86.31,06030
6,31,286,3,1.05,15,5.24,14,4.9,254,88.81,06031
6,32,198,4,2.02,15,7.58,12,6.06,167,84.34,06032
6,33,232,9,3.88,12,5.17,10,4.31,201,86.64,06033
6,34,165,6,3.64,12,7.27,4,2.42,143,86.67,06034
6,35,256,14,5.47,15,5.86,13,5.08,214,83.59,06035
6,36,114,6,5.26,7,6.14,4,3.51,97,85.09,06036
6,37,262,6,2.29,6,2.29,18,6.87,232,88.55,06037
6,38,255,8,3.14,13,5.1,14,5.49,220,86.27,06038
6,39,114,2,1.75,8,7.02,6,5.26,98,85.96,06039
6,40,93,5,5.38,4,4.3,5,5.38,79,84.95,06040
6,41,246,9,3.66,10,4.07,6,2.44,221,89.84,06041
6,42,117,3,2.56,16,13.68,5,4.27,93,79.49,06042
6,43,239,6,2.51,14,5.86,7,2.93,212,88.7,06043
6,44,196,7,3.57,11,5.61,9,4.59,169,86.22,06044
6,45,123,1,0.81,11,8.94,6,4.88,105,85.37,06045
6,46,174,2,1.15,10,5.75,3,1.72,159,91.38,06046
6,47,245,3,1.22,13,5.31,6,2.45,223,91.02,06047
6,48,226,6,2.65,12,5.31,7,3.1,201,88.94,06048
6,49,180,3,1.67,6,3.33,7,3.89,164,91.11,06049
6,50,234,3,1.28,13,5.56,8,3.42,210,89.74,06050
6,51,149,6,4.03,5,3.36,9,6.04,129,86.58,06051
6,52,157,3,1.91,8,5.1,12,7.64,134,85.35,06052
6,53,164,2,1.22,10,6.1,6,3.66,146,89.02,06053
6,54,171,4,2.34,5,2.92,7,4.09,155,90.64,06054
6,55,136,7,5.15,4,2.94,3,2.21,122,89.71,06055
6,56,149,5,3.36,5,3.36,2,1.34,137,91.95,06056
6,57,112,1,0.89,4,3.57,5,4.46,102,91.07,06057
6,58,236,7,2.97,13,5.51,6,2.54,210,88.98,06058
6,59,186,2,1.08,13,6.99,4,2.15,167,89.78,06059
6,60,131,0,0.0,5,3.82,6,4.58,120,91.6,06060
6,61,130,3,2.31,7,5.38,9,6.92,111,85.38,06061
6,62,220,6,2.73,4,1.82,17,7.73,193,87.73,06062
6,63,173,8,4.62,12,6.94,6,3.47,147,84.97,06063
6,64,235,2,0.85,7,2.98,7,2.98,219,93.19,06064
7,1,243,14,5.76,13,5.35,9,3.7,207,85.19,07001
7,2,167,13,7.78,11,6.59,7,4.19,136,81.44,07002
7,3,139,6,4.32,14,10.07,3,2.16,116,83.45,07003
7,4,133,15,11.28,10,7.52,7,5.26,101,75.94,07004
7,5,107,14,13.08,12,11.21,7,6.54,74,69.16,07005
7,6,137,9,6.57,7,5.11,4,2.92,117,85.4,07006
7,7,109,7,6.42,9,8.26,8,7.34,85,77.98,07007
7,8,114,15,13.16,9,7.89,12,10.53,78,68.42,07008
7,9,169,5,2.96,11,6.51,6,3.55,147,86.98,07009
7,10,180,12,6.67,15,8.33,11,6.11,142,78.89,07010
7,11,189,9,4.76,14,7.41,9,4.76,157,83.07,07011
7,12,150,6,4.0,14,9.33,6,4.0,124,82.67,07012
7,13,87,3,3.45,8,9.2,2,2.3,74,85.06,07013
7,14,156,3,1.92,6,3.85,2,1.28,145,92.95,07014
7,15,215,17,7.91,13,6.05,13,6.05,172,80.0,07015
7,16,164,12,7.32,17,10.37,9,5.49,126,76.83,07016
7,17,147,7,4.76,9,6.12,6,4.08,125,85.03,07017
7,18,125,18,14.4,10,8.0,7,5.6,90,72.0,07018
7,19,218,13,5.96,10,4.59,8,3.67,187,85.78,07019
7,20,42,3,7.14,7,16.67,1,2.38,31,73.81,07020
7,21,150,14,9.33,14,9.33,9,6.0,113,75.33,07021
7,22,168,6,3.57,6,3.57,10,5.95,146,86.9,07022
7,23,152,12,7.89,11,7.24,11,7.24,118,77.63,07023
7,24,207,10,4.83,15,7.25,13,6.28,169,81.64,07024
7,25,150,10,6.67,3,2.0,7,4.67,130,86.67,07025
7,26,169,7,4.14,11,6.51,8,4.73,143,84.62,07026
7,27,184,0,0.0,9,4.89,10,5.43,165,89.67,07027
7,28,147,9,6.12,17,11.56,8,5.44,113,76.87,07028
7,29,81,6,7.41,2,2.47,3,3.7,70,86.42,07029
7,30,261,3,1.15,10,3.83,12,4.6,236,90.42,07030
7,31,208,7,3.37,10,4.81,8,3.85,183,87.98,07031
7,32,142,18,12.68,27,19.01,7,4.93,90,63.38,07032
7,33,162,8,4.94,8,4.94,12,7.41,134,82.72,07033
7,34,114,10,8.77,10,8.77,3,2.63,91,79.82,07034
7,35,199,13,6.53,19,9.55,13,6.53,154,77.39,07035
7,36,270,9,3.33,14,5.19,9,3.33,238,88.15,07036
7,37,197,9,4.57,7,3.55,10,5.08,171,86.8,07037
7,38,192,10,5.21,10,5.21,14,7.29,158,82.29,07038
7,39,153,8,5.23,19,12.42,2,1.31,124,81.05,07039
7,40,136,14,10.29,11,8.09,4,2.94,107,78.68,07040
7,41,222,15,6.76,12,5.41,12,5.41,183,82.43,07041
7,42,160,10,6.25,12,7.5,9,5.63,129,80.63,07042
7,43,185,9,4.86,9,4.86,11,5.95,156,84.32,07043
7,44,217,8,3.69,18,8.29,9,4.15,182,83.87,07044
7,45,226,22,9.73,15,6.64,14,6.19,175,77.43,07045
7,46,76,5,6.58,4,5.26,4,5.26,63,82.89,07046
8,1,242,21,8.68,7,2.89,8,3.31,206,85.12,08001
8,2,145,9,6.21,12,8.28,4,2.76,120,82.76,08002
8,3,297,29,9.76,8,2.69,8,2.69,252,84.85,08003
8,4,216,28,12.96,8,3.7,5,2.31,175,81.02,08004
8,5,268,23,8.58,5,1.87,10,3.73,230,85.82,08005
8,6,238,39,16.39,14,5.88,6,2.52,179,75.21,08006
8,7,118,19,16.1,9,7.63,2,1.69,88,74.58,08007
8,8,274,67,24.45,9,3.28,7,2.55,191,69.71,08008
8,9,263,18,6.84,9,3.42,11,4.18,225,85.55,08009
8,10,268,33,12.31,20,7.46,9,3.36,206,76.87,08010
8,11,148,27,18.24,12,8.11,6,4.05,103,69.59,08011
8,12,192,27,14.06,6,3.13,9,4.69,150,78.13,08012
8,13,147,15,10.2,8,5.44,3,2.04,121,82.31,08013
8,14,150,28,18.67,8,5.33,6,4.0,108,72.0,08014
8,15,173,15,8.67,12,6.94,11,6.36,135,78.03,08015
8,16,234,25,10.68,22,9.4,10,4.27,177,75.64,08016
8,17,189,31,16.4,9,4.76,11,5.82,138,73.02,08017
8,18,133,15,11.28,10,7.52,9,6.77,99,74.44,08018
8,19,271,18,6.64,14,5.17,9,3.32,230,84.87,08019
8,20,159,26,16.35,6,3.77,10,6.29,117,73.58,08020
8,21,156,24,15.38,10,6.41,7,4.49,115,73.72,08021
8,22,195,50,25.64,10,5.13,6,3.08,129,66.15,08022
8,23,175,28,16.0,12,6.86,6,3.43,129,73.71,08023
8,24,163,14,8.59,11,6.75,9,5.52,129,79.14,08024
8,25,199,35,17.59,9,4.52,6,3.02,149,74.87,08025
8,26,127,16,12.6,10,7.87,5,3.94,96,75.59,08026
8,27,219,29,13.24,9,4.11,6,2.74,175,79.91,08027
8,28,181,43,23.76,9,4.97,5,2.76,124,68.51,08028
8,29,211,41,19.43,7,3.32,7,3.32,156,73.93,08029
8,30,187,23,12.3,7,3.74,6,3.21,151,80.75,08030
8,31,172,38,22.09,6,3.49,8,4.65,120,69.77,08031
8,32,305,40,13.11,20,6.56,12,3.93,233,76.39,08032
8,33,107,20,18.69,7,6.54,2,1.87,78,72.9,08033
8,34,219,21,9.59,10,4.57,9,4.11,179,81.74,08034
8,35,275,22,8.0,11,4.0,8,2.91,234,85.09,08035
8,36,182,35,19.23,15,8.24,8,4.4,124,68.13,08036
8,37,143,31,21.68,3,2.1,11,7.69,98,68.53,08037
8,38,180,41,22.78,11,6.11,8,4.44,120,66.67,08038
8,39,197,36,18.27,12,6.09,5,2.54,144,73.1,08039
8,40,192,35,18.23,6,3.13,7,3.65,144,75.0,08040
8,41,203,40,19.7,8,3.94,10,4.93,145,71.43,08041
8,42,192,30,15.63,6,3.13,5,2.6,151,78.65,08042
8,43,129,17,13.18,6,4.65,2,1.55,104,80.62,08043
8,44,224,23,10.27,10,4.46,11,4.91,180,80.36,08044
8,45,190,20,10.53,17,8.95,11,5.79,142,74.74,08045
8,46,181,23,12.71,9,4.97,7,3.87,142,78.45,08046
8,47,199,27,13.57,17,8.54,14,7.04,141,70.85,08047
8,48,233,32,13.73,17,7.3,7,3.0,177,75.97,08048
8,49,240,20,8.33,11,4.58,9,3.75,200,83.33,08049
8,50,212,15,7.08,12,5.66,5,2.36,180,84.91,08050
8,51,196,21,10.71,9,4.59,5,2.55,161,82.14,08051
