ward,precinct,total,"JESSE L. JACKSON, JR.","JESSE L. JACKSON, JR. Percent",precinct_id
19,60,180,180,100.0,19060
21,1,265,265,100.0,21001
21,3,260,260,100.0,21003
21,4,223,223,100.0,21004
21,6,151,151,100.0,21006
21,7,194,194,100.0,21007
21,8,160,160,100.0,21008
21,9,162,162,100.0,21009
21,10,124,124,100.0,21010
21,14,189,189,100.0,21014
21,15,99,99,100.0,21015
21,16,50,50,100.0,21016
21,18,180,180,100.0,21018
21,19,130,130,100.0,21019
21,21,189,189,100.0,21021
21,22,199,199,100.0,21022
21,28,128,128,100.0,21028
21,29,114,114,100.0,21029
21,30,102,102,100.0,21030
21,33,195,195,100.0,21033
21,34,177,177,100.0,21034
21,35,128,128,100.0,21035
21,36,194,194,100.0,21036
21,38,207,207,100.0,21038
21,39,133,133,100.0,21039
21,40,179,179,100.0,21040
21,41,127,127,100.0,21041
21,44,166,166,100.0,21044
21,45,156,156,100.0,21045
21,49,223,223,100.0,21049
21,50,166,166,100.0,21050
21,51,183,183,100.0,21051
21,52,188,188,100.0,21052
21,54,202,202,100.0,21054
21,56,92,92,100.0,21056
21,57,96,96,100.0,21057
21,60,185,185,100.0,21060
21,61,225,225,100.0,21061
21,62,196,196,100.0,21062
21,63,164,164,100.0,21063
21,64,125,125,100.0,21064
21,66,157,157,100.0,21066
21,67,140,140,100.0,21067
21,68,96,96,100.0,21068
21,69,119,119,100.0,21069
34,1,268,268,100.0,34001
34,2,208,208,100.0,34002
34,3,112,112,100.0,34003
34,4,143,143,100.0,34004
34,5,73,73,100.0,34005
34,6,158,158,100.0,34006
34,7,230,230,100.0,34007
34,8,218,218,100.0,34008
34,9,115,115,100.0,34009
34,10,244,244,100.0,34010
34,11,126,126,100.0,34011
34,12,175,175,100.0,34012
34,13,99,99,100.0,34013
34,14,70,70,100.0,34014
34,15,99,99,100.0,34015
34,16,124,124,100.0,34016
34,17,154,154,100.0,34017
34,18,125,125,100.0,34018
34,19,161,161,100.0,34019
34,20,207,207,100.0,34020
34,21,209,209,100.0,34021
34,22,227,227,100.0,34022
34,23,122,122,100.0,34023
34,24,154,154,100.0,34024
34,26,118,118,100.0,34026
34,27,114,114,100.0,34027
34,28,82,82,100.0,34028
34,29,196,196,100.0,34029
34,30,242,242,100.0,34030
34,31,131,131,100.0,34031
34,32,197,197,100.0,34032
34,33,141,141,100.0,34033
34,34,190,190,100.0,34034
34,35,199,199,100.0,34035
34,36,195,195,100.0,34036
34,37,89,89,100.0,34037
34,38,114,114,100.0,34038
34,39,124,124,100.0,34039
34,40,195,195,100.0,34040
34,41,155,155,100.0,34041
34,42,209,209,100.0,34042
34,43,191,191,100.0,34043
34,44,215,215,100.0,34044
34,45,189,189,100.0,34045
34,47,87,87,100.0,34047
34,48,203,203,100.0,34048
34,49,227,227,100.0,34049
34,50,139,139,100.0,34050
34,51,209,209,100.0,34051
34,52,121,121,100.0,34052
34,53,95,95,100.0,34053
34,54,127,127,100.0,34054
34,55,143,143,100.0,34055
34,56,120,120,100.0,34056
34,57,79,79,100.0,34057
34,58,125,125,100.0,34058
34,59,143,143,100.0,34059
34,60,137,137,100.0,34060
34,61,139,139,100.0,34061
