ward,precinct,total,MARY F. MORTEN (GORE),MARY F. MORTEN (GORE) Percent,SELMA C. D'SOUZA (BRADLEY),SELMA C. D'SOUZA (BRADLEY) Percent,DOUGLAS HEITZ (LaROUCHE),DOUGLAS HEITZ (LaROUCHE) Percent,precinct_id
46,26,122,84,68.85,30,24.59,8,6.56,46026
46,27,107,78,72.9,26,24.3,3,2.8,46027
46,28,119,90,75.63,24,20.17,5,4.2,46028
46,29,106,81,76.42,18,16.98,7,6.6,46029
46,30,117,97,82.91,15,12.82,5,4.27,46030
46,31,108,83,76.85,24,22.22,1,0.93,46031
46,32,113,82,72.57,26,23.01,5,4.42,46032
46,33,92,67,72.83,19,20.65,6,6.52,46033
46,34,84,62,73.81,18,21.43,4,4.76,46034
46,35,111,73,65.77,21,18.92,17,15.32,46035
46,36,114,83,72.81,22,19.3,9,7.89,46036
46,37,106,80,75.47,24,22.64,2,1.89,46037
46,38,70,52,74.29,12,17.14,6,8.57,46038
46,39,80,62,77.5,14,17.5,4,5.0,46039
47,21,97,70,72.16,23,23.71,4,4.12,47021
47,30,75,55,73.33,18,24.0,2,2.67,47030
47,31,125,83,66.4,37,29.6,5,4.0,47031
47,32,183,115,62.84,62,33.88,6,3.28,47032
47,34,127,95,74.8,24,18.9,8,6.3,47034
47,41,66,49,74.24,15,22.73,2,3.03,47041
48,1,113,77,68.14,30,26.55,6,5.31,48001
48,2,112,88,78.57,17,15.18,7,6.25,48002
48,3,96,73,76.04,16,16.67,7,7.29,48003
48,4,96,80,83.33,15,15.63,1,1.04,48004
48,5,101,74,73.27,21,20.79,6,5.94,48005
48,6,110,84,76.36,20,18.18,6,5.45,48006
48,7,99,72,72.73,24,24.24,3,3.03,48007
48,8,78,53,67.95,20,25.64,5,6.41,48008
48,9,96,76,79.17,17,17.71,3,3.13,48009
48,10,65,47,72.31,16,24.62,2,3.08,48010
48,11,130,96,73.85,31,23.85,3,2.31,48011
48,12,62,50,80.65,10,16.13,2,3.23,48012
48,13,85,60,70.59,24,28.24,1,1.18,48013
48,14,103,74,71.84,18,17.48,11,10.68,48014
48,15,74,57,77.03,14,18.92,3,4.05,48015
48,16,59,44,74.58,10,16.95,5,8.47,48016
48,17,79,55,69.62,21,26.58,3,3.8,48017
48,18,72,55,76.39,7,9.72,10,13.89,48018
48,19,99,70,70.71,21,21.21,8,8.08,48019
48,20,76,47,61.84,23,30.26,6,7.89,48020
48,21,101,72,71.29,22,21.78,7,6.93,48021
48,22,186,149,80.11,32,17.2,5,2.69,48022
48,23,81,66,81.48,10,12.35,5,6.17,48023
48,24,85,71,83.53,10,11.76,4,4.71,48024
48,25,75,60,80.0,13,17.33,2,2.67,48025
48,26,107,74,69.16,29,27.1,4,3.74,48026
48,27,61,52,85.25,6,9.84,3,4.92,48027
48,28,106,81,76.42,20,18.87,5,4.72,48028
48,29,100,81,81.0,13,13.0,6,6.0,48029
48,30,80,54,67.5,23,28.75,3,3.75,48030
48,31,82,65,79.27,12,14.63,5,6.1,48031
48,32,78,61,78.21,13,16.67,4,5.13,48032
48,33,91,74,81.32,12,13.19,5,5.49,48033
48,34,86,67,77.91,15,17.44,4,4.65,48034
48,35,63,44,69.84,13,20.63,6,9.52,48035
48,36,91,75,82.42,9,9.89,7,7.69,48036
48,37,97,66,68.04,27,27.84,4,4.12,48037
48,38,132,99,75.0,31,23.48,2,1.52,48038
48,39,73,63,86.3,8,10.96,2,2.74,48039
48,40,86,61,70.93,19,22.09,6,6.98,48040
48,41,48,41,85.42,5,10.42,2,4.17,48041
48,42,115,76,66.09,35,30.43,4,3.48,48042
48,43,77,54,70.13,22,28.57,1,1.3,48043
48,44,80,55,68.75,21,26.25,4,5.0,48044
48,45,40,31,77.5,7,17.5,2,5.0,48045
48,46,59,44,74.58,12,20.34,3,5.08,48046
48,47,60,44,73.33,14,23.33,2,3.33,48047
48,48,76,56,73.68,16,21.05,4,5.26,48048
49,1,103,73,70.87,25,24.27,5,4.85,49001
49,2,119,86,72.27,26,21.85,7,5.88,49002
49,3,97,77,79.38,15,15.46,5,5.15,49003
49,4,63,48,76.19,13,20.63,2,3.17,49004
49,5,72,52,72.22,17,23.61,3,4.17,49005
49,6,65,41,63.08,22,33.85,2,3.08,49006
49,7,64,44,68.75,17,26.56,3,4.69,49007
49,8,68,47,69.12,19,27.94,2,2.94,49008
49,9,76,53,69.74,20,26.32,3,3.95,49009
49,10,117,81,69.23,31,26.5,5,4.27,49010
49,11,115,77,66.96,29,25.22,9,7.83,49011
49,12,63,50,79.37,8,12.7,5,7.94,49012
49,13,88,58,65.91,25,28.41,5,5.68,49013
49,14,88,60,68.18,24,27.27,4,4.55,49014
49,15,66,51,77.27,12,18.18,3,4.55,49015
49,16,85,59,69.41,24,28.24,2,2.35,49016
49,17,21,16,76.19,3,14.29,2,9.52,49017
49,18,84,58,69.05,17,20.24,9,10.71,49018
49,19,61,43,70.49,14,22.95,4,6.56,49019
49,20,127,91,71.65,28,22.05,8,6.3,49020
49,21,58,35,60.34,23,39.66,0,0.0,49021
49,22,86,53,61.63,29,33.72,4,4.65,49022
49,23,79,50,63.29,25,31.65,4,5.06,49023
49,24,89,63,70.79,18,20.22,8,8.99,49024
49,25,58,44,75.86,13,22.41,1,1.72,49025
49,26,124,78,62.9,35,28.23,11,8.87,49026
49,27,89,58,65.17,27,30.34,4,4.49,49027
49,28,75,59,78.67,14,18.67,2,2.67,49028
49,29,49,29,59.18,16,32.65,4,8.16,49029
49,30,79,61,77.22,13,16.46,5,6.33,49030
49,31,67,52,77.61,11,16.42,4,5.97,49031
49,32,82,48,58.54,27,32.93,7,8.54,49032
49,33,56,43,76.79,12,21.43,1,1.79,49033
49,34,62,47,75.81,11,17.74,4,6.45,49034
49,35,81,59,72.84,18,22.22,4,4.94,49035
49,36,57,37,64.91,19,33.33,1,1.75,49036
49,37,52,37,71.15,11,21.15,4,7.69,49037
50,1,72,54,75.0,11,15.28,7,9.72,50001
50,2,84,65,77.38,12,14.29,7,8.33,50002
50,3,53,33,62.26,16,30.19,4,7.55,50003
50,4,94,69,73.4,18,19.15,7,7.45,50004
50,5,76,56,73.68,15,19.74,5,6.58,50005
50,6,65,45,69.23,15,23.08,5,7.69,50006
50,7,109,74,67.89,31,28.44,4,3.67,50007
50,8,67,54,80.6,10,14.93,3,4.48,50008
50,9,74,55,74.32,13,17.57,6,8.11,50009
50,10,78,61,78.21,13,16.67,4,5.13,50010
50,11,66,50,75.76,12,18.18,4,6.06,50011
50,12,120,103,85.83,8,6.67,9,7.5,50012
50,13,53,36,67.92,11,20.75,6,11.32,50013
50,14,68,51,75.0,10,14.71,7,10.29,50014
50,15,94,62,65.96,27,28.72,5,5.32,50015
50,16,67,52,77.61,11,16.42,4,5.97,50016
50,17,57,41,71.93,9,15.79,7,12.28,50017
50,18,59,46,77.97,7,11.86,6,10.17,50018
50,19,66,49,74.24,14,21.21,3,4.55,50019
50,20,70,56,80.0,12,17.14,2,2.86,50020
50,21,96,63,65.63,26,27.08,7,7.29,50021
50,22,64,48,75.0,13,20.31,3,4.69,50022
50,23,49,34,69.39,10,20.41,5,10.2,50023
50,24,42,29,69.05,10,23.81,3,7.14,50024
50,25,54,33,61.11,17,31.48,4,7.41,50025
50,26,40,30,75.0,7,17.5,3,7.5,50026
50,27,49,45,91.84,3,6.12,1,2.04,50027
50,28,58,46,79.31,8,13.79,4,6.9,50028
50,29,84,65,77.38,14,16.67,5,5.95,50029
50,30,60,38,63.33,14,23.33,8,13.33,50030
50,31,26,18,69.23,2,7.69,6,23.08,50031
50,32,43,28,65.12,9,20.93,6,13.95,50032
50,33,31,24,77.42,2,6.45,5,16.13,50033
50,34,57,41,71.93,10,17.54,6,10.53,50034
50,35,88,68,77.27,18,20.45,2,2.27,50035
50,36,79,54,68.35,18,22.78,7,8.86,50036
50,37,96,76,79.17,15,15.63,5,5.21,50037
50,38,64,47,73.44,7,10.94,10,15.63,50038
50,39,74,54,72.97,12,16.22,8,10.81,50039
50,40,65,47,72.31,14,21.54,4,6.15,50040
50,41,92,63,68.48,19,20.65,10,10.87,50041
50,42,95,72,75.79,18,18.95,5,5.26,50042
50,43,86,66,76.74,11,12.79,9,10.47,50043
50,44,58,47,81.03,5,8.62,6,10.34,50044
50,45,86,55,63.95,26,30.23,5,5.81,50045
50,46,48,36,75.0,8,16.67,4,8.33,50046
