ward,precinct,total,"HOWARD B. BROOKINS,JR. (BRADLEY)","HOWARD B. BROOKINS,JR. (BRADLEY) Percent",ALICE J. PALMER (BRADLEY),ALICE J. PALMER (BRADLEY) Percent,CHRISTOPHER A. BULLOCK (BRADLEY),CHRISTOPHER A. BULLOCK (BRADLEY) Percent,RHONDALYN MOORE (BRADLEY),RHONDALYN MOORE (BRADLEY) Percent,THADDEUS M. JONES (BRADLEY),THADDEUS M. JONES (BRADLEY) Percent,DEBRA L. HARRIS (BRADLEY),DEBRA L. HARRIS (BRADLEY) Percent,"CHARLES S. BLACK, JR. (BRADLEY)","CHARLES S. BLACK, JR. (BRADLEY) Percent",MILLICENT FOEMAN (BRADLEY),MILLICENT FOEMAN (BRADLEY) Percent,WILLIAM M. BEAVERS (GORE),WILLIAM M. BEAVERS (GORE) Percent,BERTHA M. SCOTT (GORE),BERTHA M. SCOTT (GORE) Percent,ALBERT BLANCHARD (GORE),ALBERT BLANCHARD (GORE) Percent,DEBORAH SIMS (GORE),DEBORAH SIMS (GORE) Percent,J.C. SMITH (GORE),J.C. SMITH (GORE) Percent,CAROLYN A. BALL (GORE),CAROLYN A. BALL (GORE) Percent,KEVIN J. CONLON (GORE),KEVIN J. CONLON (GORE) Percent,MARIA GONZALEZ (GORE),MARIA GONZALEZ (GORE) Percent,CHRIS PROVANCAL (LaROUCHE),CHRIS PROVANCAL (LaROUCHE) Percent,LUCRETIA SUANKS (LaROUCHE),LUCRETIA SUANKS (LaROUCHE) Percent,ERNEST WASHINGTON (LaROUCHE),ERNEST WASHINGTON (LaROUCHE) Percent,precinct_id
7,12,1001,41,4.1,36,3.6,17,1.7,21,2.1,19,1.9,14,1.4,18,1.8,10,1.0,128,12.79,96,9.59,86,8.59,99,9.89,92,9.19,95,9.49,86,8.59,93,9.29,10,1.0,10,1.0,30,3.0,07012
7,14,826,52,6.3,54,6.54,19,2.3,22,2.66,19,2.3,39,4.72,23,2.78,13,1.57,97,11.74,69,8.35,61,7.38,79,9.56,59,7.14,72,8.72,52,6.3,60,7.26,3,0.36,7,0.85,26,3.15,07014
7,15,1310,61,4.66,61,4.66,19,1.45,25,1.91,25,1.91,40,3.05,28,2.14,26,1.98,160,12.21,118,9.01,109,8.32,131,10.0,117,8.93,122,9.31,95,7.25,109,8.32,8,0.61,12,0.92,44,3.36,07015
7,16,892,43,4.82,46,5.16,19,2.13,23,2.58,20,2.24,29,3.25,26,2.91,11,1.23,112,12.56,77,8.63,61,6.84,90,10.09,68,7.62,82,9.19,64,7.17,74,8.3,7,0.78,5,0.56,35,3.92,07016
7,17,795,37,4.65,36,4.53,17,2.14,25,3.14,24,3.02,21,2.64,19,2.39,11,1.38,108,13.58,67,8.43,64,8.05,77,9.69,65,8.18,68,8.55,58,7.3,63,7.92,9,1.13,7,0.88,19,2.39,07017
7,18,912,22,2.41,20,2.19,9,0.99,14,1.54,17,1.86,16,1.75,12,1.32,14,1.54,118,12.94,92,10.09,90,9.87,96,10.53,89,9.76,94,10.31,86,9.43,92,10.09,13,1.43,5,0.55,13,1.43,07018
7,19,1182,53,4.48,48,4.06,21,1.78,30,2.54,25,2.12,32,2.71,22,1.86,15,1.27,160,13.54,106,8.97,96,8.12,121,10.24,100,8.46,105,8.88,93,7.87,97,8.21,9,0.76,10,0.85,39,3.3,07019
7,20,221,8,3.62,10,4.52,3,1.36,8,3.62,5,2.26,8,3.62,4,1.81,4,1.81,26,11.76,20,9.05,17,7.69,20,9.05,20,9.05,24,10.86,14,6.33,18,8.14,3,1.36,4,1.81,5,2.26,07020
7,21,1080,33,3.06,33,3.06,18,1.67,27,2.5,18,1.67,27,2.5,18,1.67,18,1.67,125,11.57,112,10.37,99,9.17,110,10.19,101,9.35,100,9.26,102,9.44,101,9.35,9,0.83,5,0.46,24,2.22,07021
7,23,948,43,4.54,45,4.75,25,2.64,29,3.06,23,2.43,23,2.43,24,2.53,13,1.37,102,10.76,83,8.76,81,8.54,90,9.49,79,8.33,86,9.07,74,7.81,80,8.44,8,0.84,11,1.16,29,3.06,07023
7,24,1300,64,4.92,44,3.38,26,2.0,32,2.46,28,2.15,41,3.15,27,2.08,19,1.46,154,11.85,117,9.0,103,7.92,133,10.23,114,8.77,119,9.15,106,8.15,111,8.54,9,0.69,9,0.69,44,3.38,07024
7,26,1065,40,3.76,42,3.94,16,1.5,22,2.07,19,1.78,26,2.44,18,1.69,12,1.13,133,12.49,103,9.67,92,8.64,112,10.52,97,9.11,100,9.39,88,8.26,95,8.92,7,0.66,7,0.66,36,3.38,07026
7,27,1024,66,6.45,58,5.66,20,1.95,17,1.66,34,3.32,35,3.42,31,3.03,17,1.66,123,12.01,85,8.3,79,7.71,91,8.89,82,8.01,82,8.01,72,7.03,71,6.93,11,1.07,9,0.88,41,4.0,07027
7,28,845,42,4.97,42,4.97,16,1.89,25,2.96,24,2.84,23,2.72,18,2.13,16,1.89,110,13.02,71,8.4,65,7.69,76,8.99,74,8.76,65,7.69,63,7.46,71,8.4,6,0.71,9,1.07,29,3.43,07028
7,29,557,28,5.03,17,3.05,10,1.8,10,1.8,6,1.08,17,3.05,12,2.15,5,0.9,71,12.75,58,10.41,48,8.62,57,10.23,52,9.34,52,9.34,46,8.26,46,8.26,4,0.72,2,0.36,16,2.87,07029
7,31,1365,78,5.71,65,4.76,27,1.98,33,2.42,40,2.93,46,3.37,31,2.27,20,1.47,161,11.79,121,8.86,110,8.06,131,9.6,115,8.42,118,8.64,99,7.25,114,8.35,10,0.73,7,0.51,39,2.86,07031
7,32,752,28,3.72,37,4.92,15,1.99,19,2.53,19,2.53,27,3.59,17,2.26,22,2.93,85,11.3,62,8.24,53,7.05,71,9.44,54,7.18,64,8.51,50,6.65,85,11.3,13,1.73,10,1.33,21,2.79,07032
7,33,1043,54,5.18,43,4.12,22,2.11,20,1.92,25,2.4,21,2.01,19,1.82,12,1.15,142,13.61,96,9.2,95,9.11,96,9.2,90,8.63,88,8.44,85,8.15,94,9.01,11,1.05,6,0.58,24,2.3,07033
7,35,1188,61,5.13,59,4.97,36,3.03,35,2.95,40,3.37,38,3.2,31,2.61,22,1.85,142,11.95,101,8.5,88,7.41,109,9.18,97,8.16,95,8.0,86,7.24,91,7.66,9,0.76,15,1.26,33,2.78,07035
7,39,817,35,4.28,37,4.53,15,1.84,16,1.96,20,2.45,25,3.06,14,1.71,12,1.47,92,11.26,80,9.79,66,8.08,82,10.04,69,8.45,74,9.06,71,8.69,69,8.45,9,1.1,6,0.73,25,3.06,07039
7,40,738,35,4.74,37,5.01,17,2.3,14,1.9,22,2.98,20,2.71,20,2.71,14,1.9,85,11.52,61,8.27,60,8.13,72,9.76,61,8.27,65,8.81,62,8.4,65,8.81,6,0.81,4,0.54,18,2.44,07040
7,42,901,45,4.99,38,4.22,12,1.33,29,3.22,25,2.77,23,2.55,18,2.0,19,2.11,120,13.32,75,8.32,68,7.55,82,9.1,74,8.21,76,8.44,72,7.99,85,9.43,8,0.89,10,1.11,22,2.44,07042
7,44,1307,42,3.21,58,4.44,22,1.68,25,1.91,30,2.3,31,2.37,28,2.14,17,1.3,165,12.62,126,9.64,114,8.72,137,10.48,121,9.26,124,9.49,109,8.34,108,8.26,12,0.92,8,0.61,30,2.3,07044
7,45,1333,71,5.33,62,4.65,33,2.48,28,2.1,31,2.33,21,1.58,30,2.25,25,1.88,160,12.0,118,8.85,107,8.03,135,10.13,119,8.93,119,8.93,99,7.43,110,8.25,7,0.53,13,0.98,45,3.38,07045
7,46,322,21,6.52,14,4.35,10,3.11,23,7.14,18,5.59,16,4.97,11,3.42,12,3.73,45,13.98,16,4.97,23,7.14,23,7.14,17,5.28,16,4.97,18,5.59,24,7.45,1,0.31,4,1.24,10,3.11,07046
9,1,1368,88,6.43,57,4.17,31,2.27,24,1.75,34,2.49,37,2.7,33,2.41,27,1.97,158,11.55,128,9.36,115,8.41,145,10.6,113,8.26,118,8.63,98,7.16,110,8.04,8,0.58,9,0.66,35,2.56,09001
9,3,574,18,3.14,12,2.09,10,1.74,12,2.09,8,1.39,17,2.96,9,1.57,8,1.39,60,10.45,60,10.45,49,8.54,80,13.94,55,9.58,56,9.76,55,9.58,50,8.71,6,1.05,2,0.35,7,1.22,09003
9,4,1306,58,4.44,38,2.91,25,1.91,17,1.3,25,1.91,32,2.45,24,1.84,12,0.92,146,11.18,123,9.42,115,8.81,172,13.17,123,9.42,127,9.72,110,8.42,110,8.42,7,0.54,10,0.77,32,2.45,09004
9,5,1035,40,3.86,28,2.71,13,1.26,13,1.26,16,1.55,25,2.42,21,2.03,14,1.35,127,12.27,109,10.53,99,9.57,115,11.11,92,8.89,105,10.14,86,8.31,93,8.99,8,0.77,7,0.68,24,2.32,09005
9,6,913,34,3.72,37,4.05,12,1.31,10,1.1,15,1.64,23,2.52,17,1.86,16,1.75,99,10.84,95,10.41,76,8.32,118,12.92,84,9.2,89,9.75,74,8.11,79,8.65,6,0.66,7,0.77,22,2.41,09006
9,7,955,43,4.5,38,3.98,14,1.47,18,1.88,22,2.3,36,3.77,18,1.88,20,2.09,98,10.26,93,9.74,75,7.85,100,10.47,86,9.01,98,10.26,74,7.75,81,8.48,6,0.63,8,0.84,27,2.83,09007
9,8,1058,43,4.06,27,2.55,16,1.51,13,1.23,25,2.36,21,1.98,16,1.51,21,1.98,126,11.91,105,9.92,95,8.98,111,10.49,98,9.26,109,10.3,98,9.26,100,9.45,5,0.47,9,0.85,20,1.89,09008
9,9,1251,68,5.44,56,4.48,22,1.76,21,1.68,33,2.64,38,3.04,25,2.0,20,1.6,143,11.43,115,9.19,99,7.91,154,12.31,108,8.63,114,9.11,95,7.59,95,7.59,5,0.4,9,0.72,31,2.48,09009
9,11,713,30,4.21,27,3.79,17,2.38,14,1.96,14,1.96,18,2.52,16,2.24,16,2.24,70,9.82,67,9.4,65,9.12,80,11.22,68,9.54,66,9.26,62,8.7,65,9.12,7,0.98,1,0.14,10,1.4,09011
9,15,502,24,4.78,14,2.79,12,2.39,12,2.39,14,2.79,18,3.59,12,2.39,10,1.99,51,10.16,42,8.37,42,8.37,51,10.16,47,9.36,47,9.36,45,8.96,43,8.57,5,1.0,4,0.8,9,1.79,09015
9,16,1132,25,2.21,27,2.39,16,1.41,17,1.5,17,1.5,22,1.94,13,1.15,13,1.15,124,10.95,124,10.95,112,9.89,132,11.66,113,9.98,122,10.78,106,9.36,107,9.45,19,1.68,7,0.62,16,1.41,09016
9,18,888,26,2.93,14,1.58,12,1.35,7,0.79,7,0.79,17,1.91,15,1.69,11,1.24,115,12.95,99,11.15,89,10.02,109,12.27,90,10.14,90,10.14,83,9.35,85,9.57,4,0.45,4,0.45,11,1.24,09018
9,19,1156,57,4.93,40,3.46,14,1.21,14,1.21,21,1.82,35,3.03,20,1.73,13,1.12,134,11.59,119,10.29,97,8.39,133,11.51,104,9.0,115,9.95,91,7.87,101,8.74,5,0.43,8,0.69,35,3.03,09019
9,22,1388,67,4.83,55,3.96,24,1.73,22,1.59,28,2.02,37,2.67,27,1.95,13,0.94,152,10.95,131,9.44,118,8.5,165,11.89,125,9.01,132,9.51,115,8.29,117,8.43,9,0.65,9,0.65,42,3.03,09022
9,23,855,32,3.74,29,3.39,16,1.87,19,2.22,16,1.87,26,3.04,25,2.92,7,0.82,95,11.11,81,9.47,72,8.42,88,10.29,76,8.89,78,9.12,73,8.54,72,8.42,6,0.7,10,1.17,34,3.98,09023
9,24,487,10,2.05,12,2.46,8,1.64,9,1.85,8,1.64,13,2.67,11,2.26,6,1.23,53,10.88,52,10.68,48,9.86,55,11.29,45,9.24,50,10.27,45,9.24,44,9.03,3,0.62,6,1.23,9,1.85,09024
9,25,477,14,2.94,20,4.19,10,2.1,7,1.47,10,2.1,14,2.94,12,2.52,9,1.89,58,12.16,42,8.81,41,8.6,52,10.9,40,8.39,45,9.43,36,7.55,47,9.85,4,0.84,3,0.63,13,2.73,09025
9,26,744,31,4.17,27,3.63,10,1.34,17,2.28,19,2.55,25,3.36,18,2.42,14,1.88,77,10.35,71,9.54,66,8.87,82,11.02,70,9.41,66,8.87,63,8.47,69,9.27,2,0.27,3,0.4,14,1.88,09026
9,28,575,27,4.7,18,3.13,12,2.09,7,1.22,13,2.26,20,3.48,7,1.22,10,1.74,62,10.78,50,8.7,49,8.52,53,9.22,53,9.22,50,8.7,47,8.17,66,11.48,4,0.7,9,1.57,18,3.13,09028
9,29,931,25,2.69,21,2.26,9,0.97,11,1.18,7,0.75,22,2.36,12,1.29,7,0.75,115,12.35,102,10.96,93,9.99,105,11.28,95,10.2,100,10.74,85,9.13,94,10.1,5,0.54,6,0.64,17,1.83,09029
9,30,1094,56,5.12,37,3.38,22,2.01,14,1.28,30,2.74,29,2.65,19,1.74,13,1.19,123,11.24,96,8.78,92,8.41,134,12.25,100,9.14,95,8.68,83,7.59,99,9.05,6,0.55,13,1.19,33,3.02,09030
9,31,704,30,4.26,27,3.84,9,1.28,11,1.56,15,2.13,15,2.13,10,1.42,7,0.99,77,10.94,72,10.23,64,9.09,81,11.51,66,9.38,67,9.52,57,8.1,63,8.95,5,0.71,10,1.42,18,2.56,09031
9,32,1090,59,5.41,45,4.13,22,2.02,20,1.83,30,2.75,28,2.57,25,2.29,16,1.47,115,10.55,105,9.63,93,8.53,123,11.28,100,9.17,100,9.17,83,7.61,84,7.71,10,0.92,10,0.92,22,2.02,09032
9,33,690,21,3.04,16,2.32,10,1.45,11,1.59,11,1.59,20,2.9,10,1.45,6,0.87,76,11.01,67,9.71,59,8.55,95,13.77,72,10.43,63,9.13,58,8.41,65,9.42,5,0.72,7,1.01,18,2.61,09033
9,34,719,35,4.87,30,4.17,17,2.36,20,2.78,22,3.06,23,3.2,24,3.34,12,1.67,80,11.13,67,9.32,56,7.79,75,10.43,64,8.9,62,8.62,52,7.23,60,8.34,5,0.7,2,0.28,13,1.81,09034
9,36,486,26,5.35,13,2.67,12,2.47,8,1.65,17,3.5,16,3.29,16,3.29,7,1.44,51,10.49,40,8.23,44,9.05,48,9.88,44,9.05,42,8.64,41,8.44,45,9.26,3,0.62,4,0.82,9,1.85,09036
9,37,1198,49,4.09,57,4.76,38,3.17,39,3.26,33,2.75,52,4.34,28,2.34,45,3.76,98,8.18,100,8.35,91,7.6,110,9.18,90,7.51,106,8.85,87,7.26,126,10.52,15,1.25,16,1.34,18,1.5,09037
9,38,935,41,4.39,28,2.99,9,0.96,11,1.18,10,1.07,12,1.28,10,1.07,9,0.96,110,11.76,104,11.12,93,9.95,114,12.19,95,10.16,93,9.95,87,9.3,82,8.77,3,0.32,8,0.86,16,1.71,09038
9,39,944,44,4.66,31,3.28,12,1.27,16,1.69,21,2.22,29,3.07,23,2.44,14,1.48,102,10.81,96,10.17,77,8.16,113,11.97,88,9.32,89,9.43,71,7.52,80,8.47,4,0.42,8,0.85,26,2.75,09039
9,40,1244,56,4.5,36,2.89,20,1.61,26,2.09,27,2.17,28,2.25,23,1.85,19,1.53,149,11.98,126,10.13,110,8.84,143,11.5,116,9.32,122,9.81,99,7.96,106,8.52,4,0.32,10,0.8,24,1.93,09040
9,41,1229,62,5.04,37,3.01,21,1.71,24,1.95,29,2.36,39,3.17,26,2.12,18,1.46,141,11.47,114,9.28,103,8.38,148,12.04,108,8.79,114,9.28,96,7.81,102,8.3,6,0.49,8,0.65,33,2.69,09041
9,42,689,26,3.77,18,2.61,14,2.03,13,1.89,11,1.6,24,3.48,12,1.74,19,2.76,69,10.01,66,9.58,66,9.58,86,12.48,65,9.43,63,9.14,61,8.85,59,8.56,5,0.73,2,0.29,10,1.45,09042
9,43,636,23,3.62,17,2.67,10,1.57,7,1.1,13,2.04,11,1.73,13,2.04,9,1.42,77,12.11,65,10.22,59,9.28,74,11.64,57,8.96,58,9.12,59,9.28,60,9.43,6,0.94,4,0.63,14,2.2,09043
9,44,786,28,3.56,22,2.8,15,1.91,11,1.4,15,1.91,21,2.67,10,1.27,7,0.89,85,10.81,74,9.41,67,8.52,109,13.87,72,9.16,73,9.29,69,8.78,72,9.16,10,1.27,6,0.76,20,2.54,09044
9,45,1144,53,4.63,31,2.71,18,1.57,18,1.57,20,1.75,32,2.8,18,1.57,16,1.4,135,11.8,115,10.05,110,9.62,143,12.5,108,9.44,110,9.62,97,8.48,94,8.22,3,0.26,3,0.26,20,1.75,09045
9,46,836,42,5.02,32,3.83,14,1.67,18,2.15,21,2.51,24,2.87,20,2.39,17,2.03,92,11.0,79,9.45,65,7.78,96,11.48,71,8.49,82,9.81,63,7.54,66,7.89,6,0.72,8,0.96,20,2.39,09046
9,47,597,19,3.18,13,2.18,2,0.34,7,1.17,8,1.34,11,1.84,6,1.01,1,0.17,68,11.39,58,9.72,57,9.55,88,14.74,62,10.39,63,10.55,54,9.05,60,10.05,2,0.34,6,1.01,12,2.01,09047
9,48,1224,73,5.96,53,4.33,19,1.55,15,1.23,30,2.45,40,3.27,25,2.04,21,1.72,139,11.36,114,9.31,102,8.33,149,12.17,109,8.91,109,8.91,87,7.11,96,7.84,6,0.49,7,0.57,30,2.45,09048
9,49,457,27,5.91,21,4.6,7,1.53,9,1.97,10,2.19,20,4.38,7,1.53,11,2.41,52,11.38,42,9.19,30,6.56,45,9.85,38,8.32,44,9.63,33,7.22,41,8.97,2,0.44,3,0.66,15,3.28,09049
9,50,1255,48,3.82,44,3.51,18,1.43,23,1.83,25,1.99,43,3.43,23,1.83,20,1.59,141,11.24,118,9.4,111,8.84,151,12.03,108,8.61,114,9.08,102,8.13,113,9.0,5,0.4,15,1.2,33,2.63,09050
10,1,453,19,4.19,17,3.75,17,3.75,25,5.52,16,3.53,17,3.75,14,3.09,18,3.97,44,9.71,34,7.51,29,6.4,39,8.61,29,6.4,32,7.06,28,6.18,53,11.7,7,1.55,5,1.1,10,2.21,10001
10,4,825,30,3.64,37,4.48,30,3.64,16,1.94,22,2.67,25,3.03,12,1.45,29,3.52,81,9.82,63,7.64,62,7.52,62,7.52,61,7.39,63,7.64,57,6.91,115,13.94,18,2.18,17,2.06,25,3.03,10004
10,7,212,8,3.77,11,5.19,5,2.36,6,2.83,2,0.94,7,3.3,2,0.94,5,2.36,19,8.96,18,8.49,13,6.13,22,10.38,14,6.6,21,9.91,13,6.13,35,16.51,4,1.89,4,1.89,3,1.42,10007
10,10,808,54,6.68,34,4.21,17,2.1,25,3.09,21,2.6,28,3.47,26,3.22,16,1.98,80,9.9,70,8.66,60,7.43,78,9.65,66,8.17,68,8.42,61,7.55,64,7.92,4,0.5,8,0.99,28,3.47,10010
10,14,174,6,3.45,6,3.45,3,1.72,5,2.87,5,2.87,6,3.45,5,2.87,4,2.3,16,9.2,16,9.2,14,8.05,15,8.62,16,9.2,14,8.05,13,7.47,21,12.07,2,1.15,2,1.15,5,2.87,10014
10,18,556,24,4.32,25,4.5,16,2.88,17,3.06,19,3.42,21,3.78,10,1.8,20,3.6,48,8.63,50,8.99,31,5.58,39,7.01,32,5.76,42,7.55,39,7.01,87,15.65,16,2.88,7,1.26,13,2.34,10018
10,25,808,34,4.21,40,4.95,14,1.73,19,2.35,21,2.6,28,3.47,14,1.73,13,1.61,87,10.77,68,8.42,60,7.43,61,7.55,59,7.3,65,8.04,53,6.56,115,14.23,14,1.73,16,1.98,27,3.34,10025
10,28,777,46,5.92,46,5.92,23,2.96,31,3.99,18,2.32,31,3.99,26,3.35,18,2.32,68,8.75,64,8.24,50,6.44,71,9.14,56,7.21,63,8.11,48,6.18,71,9.14,11,1.42,9,1.16,27,3.47,10028
10,29,911,65,7.14,39,4.28,21,2.31,23,2.52,30,3.29,31,3.4,35,3.84,18,1.98,101,11.09,74,8.12,60,6.59,80,8.78,75,8.23,77,8.45,57,6.26,63,6.92,9,0.99,13,1.43,40,4.39,10029
10,36,951,40,4.21,37,3.89,21,2.21,30,3.15,22,2.31,36,3.79,25,2.63,33,3.47,82,8.62,82,8.62,69,7.26,78,8.2,67,7.05,71,7.47,69,7.26,128,13.46,18,1.89,20,2.1,23,2.42,10036
10,37,679,26,3.83,30,4.42,20,2.95,17,2.5,16,2.36,19,2.8,17,2.5,14,2.06,70,10.31,53,7.81,45,6.63,60,8.84,51,7.51,58,8.54,54,7.95,88,12.96,12,1.77,10,1.47,19,2.8,10037
10,40,645,19,2.95,23,3.57,21,3.26,17,2.64,19,2.95,22,3.41,12,1.86,15,2.33,57,8.84,52,8.06,50,7.75,55,8.53,45,6.98,49,7.6,46,7.13,100,15.5,18,2.79,12,1.86,13,2.02,10040
10,43,655,28,4.27,26,3.97,14,2.14,19,2.9,13,1.98,26,3.97,20,3.05,14,2.14,72,10.99,48,7.33,49,7.48,50,7.63,45,6.87,52,7.94,42,6.41,79,12.06,15,2.29,16,2.44,27,4.12,10043
15,7,718,31,4.32,14,1.95,13,1.81,5,0.7,12,1.67,16,2.23,13,1.81,8,1.11,79,11.0,79,11.0,71,9.89,82,11.42,69,9.61,72,10.03,63,8.77,68,9.47,0,0.0,5,0.7,18,2.51,15007
15,13,506,19,3.75,15,2.96,9,1.78,11,2.17,21,4.15,11,2.17,15,2.96,10,1.98,57,11.26,47,9.29,47,9.29,52,10.28,42,8.3,43,8.5,45,8.89,44,8.7,3,0.59,3,0.59,12,2.37,15013
15,15,372,23,6.18,19,5.11,9,2.42,10,2.69,6,1.61,15,4.03,11,2.96,7,1.88,36,9.68,31,8.33,28,7.53,34,9.14,32,8.6,31,8.33,29,7.8,28,7.53,4,1.08,5,1.34,14,3.76,15015
15,18,729,33,4.53,22,3.02,14,1.92,12,1.65,16,2.19,22,3.02,14,1.92,10,1.37,78,10.7,69,9.47,65,8.92,79,10.84,66,9.05,64,8.78,61,8.37,72,9.88,2,0.27,7,0.96,23,3.16,15018
15,19,503,26,5.17,20,3.98,13,2.58,6,1.19,16,3.18,16,3.18,11,2.19,6,1.19,53,10.54,51,10.14,46,9.15,54,10.74,40,7.95,45,8.95,41,8.15,41,8.15,3,0.6,4,0.8,11,2.19,15019
15,21,817,30,3.67,30,3.67,17,2.08,18,2.2,21,2.57,23,2.82,23,2.82,15,1.84,88,10.77,72,8.81,69,8.45,85,10.4,79,9.67,75,9.18,61,7.47,67,8.2,9,1.1,8,0.98,27,3.3,15021
15,31,645,27,4.19,23,3.57,6,0.93,11,1.71,17,2.64,14,2.17,12,1.86,8,1.24,63,9.77,74,11.47,56,8.68,67,10.39,64,9.92,62,9.61,53,8.22,52,8.06,9,1.4,10,1.55,17,2.64,15031
15,34,450,24,5.33,21,4.67,13,2.89,11,2.44,13,2.89,13,2.89,14,3.11,8,1.78,45,10.0,42,9.33,35,7.78,46,10.22,38,8.44,41,9.11,33,7.33,36,8.0,1,0.22,2,0.44,14,3.11,15034
15,39,523,28,5.35,28,5.35,16,3.06,8,1.53,22,4.21,13,2.49,16,3.06,7,1.34,57,10.9,48,9.18,43,8.22,55,10.52,40,7.65,44,8.41,37,7.07,40,7.65,2,0.38,4,0.76,15,2.87,15039
15,40,620,20,3.23,12,1.94,7,1.13,11,1.77,10,1.61,17,2.74,8,1.29,9,1.45,63,10.16,73,11.77,57,9.19,64,10.32,64,10.32,68,10.97,60,9.68,54,8.71,6,0.97,3,0.48,14,2.26,15040
15,44,535,15,2.8,18,3.36,5,0.93,9,1.68,14,2.62,10,1.87,10,1.87,7,1.31,59,11.03,53,9.91,51,9.53,61,11.4,54,10.09,52,9.72,49,9.16,48,8.97,7,1.31,3,0.56,10,1.87,15044
15,46,559,30,5.37,17,3.04,12,2.15,8,1.43,19,3.4,11,1.97,14,2.5,9,1.61,59,10.55,58,10.38,48,8.59,55,9.84,50,8.94,47,8.41,47,8.41,49,8.77,6,1.07,4,0.72,16,2.86,15046
