ward,precinct,total,WILLIAM O. LIPINSKI,WILLIAM O. LIPINSKI Percent,R. BENEDICT MAYERS,R. BENEDICT MAYERS Percent,precinct_id
23,24,100,94,94.0,6,6.0,23024
23,25,136,130,95.59,6,4.41,23025
23,26,194,166,85.57,28,14.43,23026
23,27,123,109,88.62,14,11.38,23027
23,28,182,167,91.76,15,8.24,23028
23,29,142,135,95.07,7,4.93,23029
23,30,226,213,94.25,13,5.75,23030
23,31,188,175,93.09,13,6.91,23031
23,32,202,177,87.62,25,12.38,23032
23,33,274,243,88.69,31,11.31,23033
23,34,149,133,89.26,16,10.74,23034
23,35,111,86,77.48,25,22.52,23035
23,36,215,195,90.7,20,9.3,23036
23,37,102,85,83.33,17,16.67,23037
23,38,183,167,91.26,16,8.74,23038
23,39,180,161,89.44,19,10.56,23039
23,40,203,187,92.12,16,7.88,23040
23,41,151,141,93.38,10,6.62,23041
23,42,168,151,89.88,17,10.12,23042
23,43,203,183,90.15,20,9.85,23043
23,44,238,224,94.12,14,5.88,23044
23,45,195,176,90.26,19,9.74,23045
23,46,173,159,91.91,14,8.09,23046
23,47,241,216,89.63,25,10.37,23047
23,48,166,150,90.36,16,9.64,23048
23,49,127,110,86.61,17,13.39,23049
23,50,130,116,89.23,14,10.77,23050
23,51,186,172,92.47,14,7.53,23051
23,52,219,201,91.78,18,8.22,23052
23,53,146,131,89.73,15,10.27,23053
23,54,244,228,93.44,16,6.56,23054
23,55,262,242,92.37,20,7.63,23055
23,56,175,161,92.0,14,8.0,23056
23,57,172,157,91.28,15,8.72,23057
23,58,311,287,92.28,24,7.72,23058
23,59,136,131,96.32,5,3.68,23059
23,60,192,177,92.19,15,7.81,23060
23,61,188,170,90.43,18,9.57,23061
23,62,180,168,93.33,12,6.67,23062
29,22,83,69,83.13,14,16.87,29022
29,34,97,77,79.38,20,20.62,29034
