ward,precinct,total,MATTHEW E. COGHLAN,MATTHEW E. COGHLAN Percent,THOMAS MORE DONNELLY,THOMAS MORE DONNELLY Percent,LAURA MARIE SULLIVAN,LAURA MARIE SULLIVAN Percent,BEVERLY SUSLER PARKHURST,BEVERLY SUSLER PARKHURST Percent,precinct_id
3,28,107,33,30.84,27,25.23,32,29.91,15,14.02,03028
3,29,13,2,15.38,8,61.54,3,23.08,0,0.0,03029
3,30,100,38,38.0,23,23.0,24,24.0,15,15.0,03030
3,31,93,48,51.61,16,17.2,17,18.28,12,12.9,03031
3,32,119,43,36.13,31,26.05,37,31.09,8,6.72,03032
3,33,95,30,31.58,28,29.47,23,24.21,14,14.74,03033
3,34,28,12,42.86,5,17.86,9,32.14,2,7.14,03034
3,35,91,31,34.07,28,30.77,20,21.98,12,13.19,03035
3,36,37,9,24.32,17,45.95,10,27.03,1,2.7,03036
3,37,94,35,37.23,29,30.85,19,20.21,11,11.7,03037
3,38,145,48,33.1,38,26.21,40,27.59,19,13.1,03038
3,39,172,54,31.4,42,24.42,59,34.3,17,9.88,03039
3,40,83,22,26.51,19,22.89,32,38.55,10,12.05,03040
3,41,76,19,25.0,20,26.32,22,28.95,15,19.74,03041
3,42,36,9,25.0,14,38.89,12,33.33,1,2.78,03042
3,43,18,4,22.22,6,33.33,4,22.22,4,22.22,03043
3,44,62,26,41.94,11,17.74,21,33.87,4,6.45,03044
3,45,32,5,15.63,14,43.75,11,34.38,2,6.25,03045
3,46,12,6,50.0,4,33.33,2,16.67,0,0.0,03046
3,47,67,21,31.34,17,25.37,20,29.85,9,13.43,03047
3,48,64,16,25.0,23,35.94,15,23.44,10,15.63,03048
3,49,61,24,39.34,20,32.79,8,13.11,9,14.75,03049
3,50,89,34,38.2,23,25.84,20,22.47,12,13.48,03050
3,51,53,9,16.98,15,28.3,28,52.83,1,1.89,03051
3,52,106,33,31.13,30,28.3,25,23.58,18,16.98,03052
4,1,124,9,7.26,41,33.06,38,30.65,36,29.03,04001
4,2,25,6,24.0,14,56.0,4,16.0,1,4.0,04002
4,3,168,32,19.05,60,35.71,47,27.98,29,17.26,04003
4,4,149,24,16.11,62,41.61,51,34.23,12,8.05,04004
4,5,135,26,19.26,39,28.89,47,34.81,23,17.04,04005
4,6,4,0,0.0,3,75.0,1,25.0,0,0.0,04006
4,7,104,15,14.42,47,45.19,22,21.15,20,19.23,04007
4,8,180,41,22.78,49,27.22,65,36.11,25,13.89,04008
4,9,278,30,10.79,86,30.94,91,32.73,71,25.54,04009
4,10,164,15,9.15,77,46.95,44,26.83,28,17.07,04010
4,11,107,24,22.43,38,35.51,29,27.1,16,14.95,04011
4,12,105,16,15.24,29,27.62,38,36.19,22,20.95,04012
4,13,167,25,14.97,63,37.72,49,29.34,30,17.96,04013
4,14,89,19,21.35,32,35.96,25,28.09,13,14.61,04014
4,15,93,14,15.05,32,34.41,22,23.66,25,26.88,04015
4,16,145,20,13.79,55,37.93,48,33.1,22,15.17,04016
4,17,168,19,11.31,36,21.43,60,35.71,53,31.55,04017
4,18,108,24,22.22,33,30.56,38,35.19,13,12.04,04018
4,19,38,6,15.79,20,52.63,9,23.68,3,7.89,04019
4,20,60,18,30.0,20,33.33,15,25.0,7,11.67,04020
4,21,137,25,18.25,44,32.12,39,28.47,29,21.17,04021
4,22,196,19,9.69,79,40.31,51,26.02,47,23.98,04022
4,23,108,9,8.33,22,20.37,34,31.48,43,39.81,04023
4,24,164,29,17.68,46,28.05,53,32.32,36,21.95,04024
4,25,144,17,11.81,36,25.0,52,36.11,39,27.08,04025
4,26,106,14,13.21,34,32.08,40,37.74,18,16.98,04026
4,27,201,44,21.89,63,31.34,68,33.83,26,12.94,04027
4,28,151,10,6.62,54,35.76,32,21.19,55,36.42,04028
4,29,131,16,12.21,43,32.82,44,33.59,28,21.37,04029
4,30,30,11,36.67,4,13.33,9,30.0,6,20.0,04030
4,31,39,8,20.51,8,20.51,20,51.28,3,7.69,04031
4,32,165,10,6.06,55,33.33,38,23.03,62,37.58,04032
4,33,48,7,14.58,18,37.5,14,29.17,9,18.75,04033
4,34,129,8,6.2,58,44.96,25,19.38,38,29.46,04034
4,35,89,13,14.61,31,34.83,32,35.96,13,14.61,04035
4,36,174,28,16.09,81,46.55,43,24.71,22,12.64,04036
4,37,79,14,17.72,27,34.18,23,29.11,15,18.99,04037
4,38,198,25,12.63,64,32.32,48,24.24,61,30.81,04038
4,39,63,4,6.35,24,38.1,23,36.51,12,19.05,04039
4,40,128,19,14.84,52,40.63,41,32.03,16,12.5,04040
4,41,115,13,11.3,49,42.61,25,21.74,28,24.35,04041
4,42,84,13,15.48,28,33.33,27,32.14,16,19.05,04042
4,43,108,10,9.26,41,37.96,28,25.93,29,26.85,04043
4,44,100,8,8.0,36,36.0,32,32.0,24,24.0,04044
4,45,253,35,13.83,81,32.02,75,29.64,62,24.51,04045
4,46,125,17,13.6,38,30.4,43,34.4,27,21.6,04046
4,47,186,18,9.68,69,37.1,58,31.18,41,22.04,04047
4,48,195,13,6.67,59,30.26,49,25.13,74,37.95,04048
4,49,37,9,24.32,13,35.14,12,32.43,3,8.11,04049
4,50,119,27,22.69,39,32.77,32,26.89,21,17.65,04050
4,51,182,18,9.89,61,33.52,50,27.47,53,29.12,04051
4,52,41,6,14.63,19,46.34,9,21.95,7,17.07,04052
4,53,32,8,25.0,14,43.75,6,18.75,4,12.5,04053
4,54,78,11,14.1,28,35.9,23,29.49,16,20.51,04054
4,55,104,4,3.85,41,39.42,16,15.38,43,41.35,04055
5,1,145,16,11.03,49,33.79,44,30.34,36,24.83,05001
5,2,120,18,15.0,38,31.67,39,32.5,25,20.83,05002
5,3,150,32,21.33,51,34.0,44,29.33,23,15.33,05003
5,4,190,20,10.53,57,30.0,75,39.47,38,20.0,05004
5,5,112,15,13.39,42,37.5,38,33.93,17,15.18,05005
5,6,156,17,10.9,51,32.69,55,35.26,33,21.15,05006
5,7,139,13,9.35,70,50.36,38,27.34,18,12.95,05007
5,8,195,9,4.62,80,41.03,21,10.77,85,43.59,05008
5,9,133,24,18.05,45,33.83,50,37.59,14,10.53,05009
5,10,88,10,11.36,36,40.91,24,27.27,18,20.45,05010
5,11,58,4,6.9,27,46.55,9,15.52,18,31.03,05011
5,12,140,32,22.86,45,32.14,48,34.29,15,10.71,05012
5,13,139,24,17.27,48,34.53,47,33.81,20,14.39,05013
5,14,120,8,6.67,39,32.5,33,27.5,40,33.33,05014
5,15,87,17,19.54,31,35.63,27,31.03,12,13.79,05015
5,16,100,21,21.0,29,29.0,35,35.0,15,15.0,05016
5,17,87,20,22.99,25,28.74,24,27.59,18,20.69,05017
5,18,88,15,17.05,26,29.55,30,34.09,17,19.32,05018
5,19,112,30,26.79,39,34.82,30,26.79,13,11.61,05019
5,20,103,17,16.5,44,42.72,25,24.27,17,16.5,05020
5,21,184,31,16.85,54,29.35,59,32.07,40,21.74,05021
5,22,143,28,19.58,36,25.17,57,39.86,22,15.38,05022
5,23,114,23,20.18,42,36.84,33,28.95,16,14.04,05023
5,24,117,19,16.24,29,24.79,30,25.64,39,33.33,05024
5,25,107,23,21.5,33,30.84,41,38.32,10,9.35,05025
5,26,79,12,15.19,33,41.77,22,27.85,12,15.19,05026
5,27,45,4,8.89,12,26.67,8,17.78,21,46.67,05027
5,28,181,32,17.68,64,35.36,49,27.07,36,19.89,05028
5,29,92,10,10.87,26,28.26,33,35.87,23,25.0,05029
5,30,135,7,5.19,61,45.19,12,8.89,55,40.74,05030
5,31,95,14,14.74,40,42.11,26,27.37,15,15.79,05031
5,32,190,25,13.16,59,31.05,60,31.58,46,24.21,05032
5,33,128,20,15.63,49,38.28,37,28.91,22,17.19,05033
5,34,100,11,11.0,42,42.0,32,32.0,15,15.0,05034
5,35,85,9,10.59,23,27.06,23,27.06,30,35.29,05035
5,36,152,22,14.47,59,38.82,44,28.95,27,17.76,05036
5,37,92,8,8.7,31,33.7,28,30.43,25,27.17,05037
5,38,168,13,7.74,44,26.19,31,18.45,80,47.62,05038
5,39,151,8,5.3,54,35.76,20,13.25,69,45.7,05039
5,40,96,17,17.71,36,37.5,31,32.29,12,12.5,05040
5,41,104,5,4.81,32,30.77,22,21.15,45,43.27,05041
5,42,139,29,20.86,38,27.34,44,31.65,28,20.14,05042
5,43,148,20,13.51,37,25.0,47,31.76,44,29.73,05043
5,44,129,22,17.05,39,30.23,43,33.33,25,19.38,05044
5,45,95,17,17.89,43,45.26,24,25.26,11,11.58,05045
5,46,131,18,13.74,33,25.19,24,18.32,56,42.75,05046
