ward,precinct,total,MARTIN A. SANDOVAL,MARTIN A. SANDOVAL Percent,QUINN M. AVILA,QUINN M. AVILA Percent,LYNN T. CARMODY,LYNN T. CARMODY Percent,precinct_id
2,1,88,37,42.05,13,14.77,38,43.18,02001
2,2,201,71,35.32,66,32.84,64,31.84,02002
2,3,79,31,39.24,34,43.04,14,17.72,02003
2,4,18,7,38.89,8,44.44,3,16.67,02004
2,5,45,17,37.78,16,35.56,12,26.67,02005
2,6,71,26,36.62,31,43.66,14,19.72,02006
2,7,146,55,37.67,47,32.19,44,30.14,02007
2,8,138,76,55.07,17,12.32,45,32.61,02008
2,9,51,19,37.25,22,43.14,10,19.61,02009
2,10,52,28,53.85,13,25.0,11,21.15,02010
2,11,201,109,54.23,38,18.91,54,26.87,02011
2,12,121,71,58.68,28,23.14,22,18.18,02012
2,13,183,75,40.98,54,29.51,54,29.51,02013
2,14,101,39,38.61,37,36.63,25,24.75,02014
2,15,39,17,43.59,13,33.33,9,23.08,02015
2,16,73,17,23.29,40,54.79,16,21.92,02016
2,17,94,44,46.81,33,35.11,17,18.09,02017
2,18,156,68,43.59,46,29.49,42,26.92,02018
2,19,52,20,38.46,19,36.54,13,25.0,02019
2,20,113,41,36.28,39,34.51,33,29.2,02020
2,21,117,58,49.57,27,23.08,32,27.35,02021
2,22,174,86,49.43,30,17.24,58,33.33,02022
2,23,77,29,37.66,31,40.26,17,22.08,02023
2,24,63,33,52.38,17,26.98,13,20.63,02024
2,25,31,19,61.29,6,19.35,6,19.35,02025
2,26,64,28,43.75,17,26.56,19,29.69,02026
2,27,14,8,57.14,3,21.43,3,21.43,02027
2,28,122,48,39.34,48,39.34,26,21.31,02028
2,29,68,37,54.41,12,17.65,19,27.94,02029
2,30,72,31,43.06,22,30.56,19,26.39,02030
2,31,132,53,40.15,35,26.52,44,33.33,02031
2,32,50,20,40.0,16,32.0,14,28.0,02032
2,33,179,65,36.31,81,45.25,33,18.44,02033
2,34,73,35,47.95,27,36.99,11,15.07,02034
2,35,19,9,47.37,6,31.58,4,21.05,02035
2,36,60,42,70.0,12,20.0,6,10.0,02036
2,37,73,34,46.58,13,17.81,26,35.62,02037
2,38,90,46,51.11,26,28.89,18,20.0,02038
2,39,76,28,36.84,34,44.74,14,18.42,02039
2,40,110,52,47.27,31,28.18,27,24.55,02040
2,41,43,15,34.88,13,30.23,15,34.88,02041
2,42,30,12,40.0,13,43.33,5,16.67,02042
2,43,144,74,51.39,24,16.67,46,31.94,02043
2,44,103,55,53.4,28,27.18,20,19.42,02044
2,45,48,24,50.0,16,33.33,8,16.67,02045
2,46,213,100,46.95,58,27.23,55,25.82,02046
2,47,85,31,36.47,38,44.71,16,18.82,02047
2,48,146,63,43.15,48,32.88,35,23.97,02048
2,49,44,23,52.27,5,11.36,16,36.36,02049
2,50,66,43,65.15,10,15.15,13,19.7,02050
2,51,93,38,40.86,37,39.78,18,19.35,02051
2,52,74,32,43.24,17,22.97,25,33.78,02052
2,53,47,14,29.79,18,38.3,15,31.91,02053
2,54,122,56,45.9,17,13.93,49,40.16,02054
3,1,129,55,42.64,50,38.76,24,18.6,03001
3,2,122,50,40.98,42,34.43,30,24.59,03002
3,3,33,14,42.42,10,30.3,9,27.27,03003
3,4,54,17,31.48,21,38.89,16,29.63,03004
3,5,37,11,29.73,13,35.14,13,35.14,03005
3,6,24,10,41.67,9,37.5,5,20.83,03006
3,7,14,7,50.0,5,35.71,2,14.29,03007
3,8,42,22,52.38,17,40.48,3,7.14,03008
3,9,70,21,30.0,25,35.71,24,34.29,03009
3,10,106,60,56.6,30,28.3,16,15.09,03010
3,11,49,21,42.86,18,36.73,10,20.41,03011
3,12,72,35,48.61,22,30.56,15,20.83,03012
3,13,16,6,37.5,8,50.0,2,12.5,03013
3,14,39,17,43.59,16,41.03,6,15.38,03014
3,15,67,29,43.28,25,37.31,13,19.4,03015
3,16,103,47,45.63,23,22.33,33,32.04,03016
3,17,59,25,42.37,18,30.51,16,27.12,03017
3,18,62,22,35.48,19,30.65,21,33.87,03018
3,19,37,15,40.54,13,35.14,9,24.32,03019
3,20,29,10,34.48,13,44.83,6,20.69,03020
3,21,34,13,38.24,10,29.41,11,32.35,03021
3,22,70,28,40.0,27,38.57,15,21.43,03022
3,23,25,6,24.0,12,48.0,7,28.0,03023
3,24,78,38,48.72,24,30.77,16,20.51,03024
3,25,19,11,57.89,2,10.53,6,31.58,03025
3,26,58,27,46.55,16,27.59,15,25.86,03026
3,27,16,4,25.0,9,56.25,3,18.75,03027
3,28,85,37,43.53,29,34.12,19,22.35,03028
3,29,13,4,30.77,3,23.08,6,46.15,03029
3,30,73,34,46.58,25,34.25,14,19.18,03030
3,31,53,21,39.62,21,39.62,11,20.75,03031
3,32,83,41,49.4,26,31.33,16,19.28,03032
3,33,85,29,34.12,31,36.47,25,29.41,03033
3,34,22,12,54.55,7,31.82,3,13.64,03034
3,35,66,32,48.48,22,33.33,12,18.18,03035
3,36,33,14,42.42,13,39.39,6,18.18,03036
3,37,61,24,39.34,20,32.79,17,27.87,03037
3,38,122,63,51.64,33,27.05,26,21.31,03038
3,39,126,50,39.68,40,31.75,36,28.57,03039
3,40,67,28,41.79,22,32.84,17,25.37,03040
3,41,71,25,35.21,25,35.21,21,29.58,03041
3,42,36,17,47.22,9,25.0,10,27.78,03042
3,43,16,5,31.25,9,56.25,2,12.5,03043
3,44,41,16,39.02,14,34.15,11,26.83,03044
3,45,35,12,34.29,15,42.86,8,22.86,03045
3,46,11,2,18.18,5,45.45,4,36.36,03046
3,47,63,26,41.27,25,39.68,12,19.05,03047
3,48,54,22,40.74,20,37.04,12,22.22,03048
3,49,46,17,36.96,16,34.78,13,28.26,03049
3,50,64,30,46.88,18,28.13,16,25.0,03050
3,51,46,31,67.39,10,21.74,5,10.87,03051
3,52,90,34,37.78,33,36.67,23,25.56,03052
4,1,116,59,50.86,22,18.97,35,30.17,04001
4,2,28,15,53.57,6,21.43,7,25.0,04002
4,3,143,59,41.26,58,40.56,26,18.18,04003
4,4,140,66,47.14,48,34.29,26,18.57,04004
4,5,118,51,43.22,30,25.42,37,31.36,04005
4,6,2,0,0.0,2,100.0,0,0.0,04006
4,7,90,47,52.22,21,23.33,22,24.44,04007
4,8,166,72,43.37,57,34.34,37,22.29,04008
4,9,268,111,41.42,67,25.0,90,33.58,04009
4,10,164,78,47.56,52,31.71,34,20.73,04010
4,11,108,63,58.33,27,25.0,18,16.67,04011
4,12,92,43,46.74,21,22.83,28,30.43,04012
4,13,159,88,55.35,38,23.9,33,20.75,04013
4,14,85,51,60.0,16,18.82,18,21.18,04014
4,15,77,43,55.84,20,25.97,14,18.18,04015
4,16,132,60,45.45,42,31.82,30,22.73,04016
4,17,157,78,49.68,24,15.29,55,35.03,04017
4,18,104,47,45.19,28,26.92,29,27.88,04018
4,19,29,10,34.48,10,34.48,9,31.03,04019
4,20,55,22,40.0,21,38.18,12,21.82,04020
4,21,129,69,53.49,24,18.6,36,27.91,04021
4,22,186,121,65.05,38,20.43,27,14.52,04022
4,23,101,54,53.47,21,20.79,26,25.74,04023
4,24,151,82,54.3,25,16.56,44,29.14,04024
4,25,143,55,38.46,49,34.27,39,27.27,04025
4,26,112,46,41.07,36,32.14,30,26.79,04026
4,27,178,93,52.25,50,28.09,35,19.66,04027
4,28,145,91,62.76,20,13.79,34,23.45,04028
4,29,120,64,53.33,23,19.17,33,27.5,04029
4,30,25,9,36.0,10,40.0,6,24.0,04030
4,31,37,13,35.14,16,43.24,8,21.62,04031
4,32,159,100,62.89,30,18.87,29,18.24,04032
4,33,45,20,44.44,12,26.67,13,28.89,04033
4,34,125,86,68.8,19,15.2,20,16.0,04034
4,35,84,41,48.81,23,27.38,20,23.81,04035
4,36,159,90,56.6,31,19.5,38,23.9,04036
4,37,74,33,44.59,25,33.78,16,21.62,04037
4,38,184,107,58.15,35,19.02,42,22.83,04038
4,39,58,32,55.17,18,31.03,8,13.79,04039
4,40,113,50,44.25,37,32.74,26,23.01,04040
4,41,102,68,66.67,15,14.71,19,18.63,04041
4,42,77,43,55.84,15,19.48,19,24.68,04042
4,43,99,65,65.66,17,17.17,17,17.17,04043
4,44,90,48,53.33,14,15.56,28,31.11,04044
4,45,247,129,52.23,49,19.84,69,27.94,04045
4,46,123,46,37.4,39,31.71,38,30.89,04046
4,47,182,101,55.49,27,14.84,54,29.67,04047
4,48,200,122,61.0,41,20.5,37,18.5,04048
4,49,34,18,52.94,7,20.59,9,26.47,04049
4,50,108,50,46.3,35,32.41,23,21.3,04050
4,51,175,100,57.14,38,21.71,37,21.14,04051
4,52,31,15,48.39,10,32.26,6,19.35,04052
4,53,30,17,56.67,8,26.67,5,16.67,04053
4,54,75,51,68.0,12,16.0,12,16.0,04054
4,55,98,71,72.45,7,7.14,20,20.41,04055
5,1,142,84,59.15,31,21.83,27,19.01,05001
5,2,104,46,44.23,27,25.96,31,29.81,05002
5,3,136,53,38.97,47,34.56,36,26.47,05003
5,4,176,68,38.64,52,29.55,56,31.82,05004
5,5,102,50,49.02,26,25.49,26,25.49,05005
5,6,155,81,52.26,35,22.58,39,25.16,05006
5,7,129,70,54.26,28,21.71,31,24.03,05007
5,8,178,147,82.58,8,4.49,23,12.92,05008
5,9,122,65,53.28,31,25.41,26,21.31,05009
5,10,77,33,42.86,23,29.87,21,27.27,05010
5,11,54,45,83.33,1,1.85,8,14.81,05011
5,12,132,57,43.18,36,27.27,39,29.55,05012
5,13,130,54,41.54,39,30.0,37,28.46,05013
5,14,122,85,69.67,16,13.11,21,17.21,05014
5,15,77,37,48.05,26,33.77,14,18.18,05015
5,16,89,39,43.82,27,30.34,23,25.84,05016
5,17,86,38,44.19,28,32.56,20,23.26,05017
5,18,81,37,45.68,23,28.4,21,25.93,05018
5,19,108,45,41.67,25,23.15,38,35.19,05019
5,20,89,38,42.7,32,35.96,19,21.35,05020
5,21,177,82,46.33,50,28.25,45,25.42,05021
5,22,130,58,44.62,42,32.31,30,23.08,05022
5,23,101,45,44.55,27,26.73,29,28.71,05023
5,24,121,68,56.2,19,15.7,34,28.1,05024
5,25,102,35,34.31,29,28.43,38,37.25,05025
5,26,69,32,46.38,26,37.68,11,15.94,05026
5,27,40,27,67.5,7,17.5,6,15.0,05027
5,28,179,93,51.96,47,26.26,39,21.79,05028
5,29,87,42,48.28,18,20.69,27,31.03,05029
5,30,143,129,90.21,1,0.7,13,9.09,05030
5,31,92,43,46.74,22,23.91,27,29.35,05031
5,32,187,86,45.99,54,28.88,47,25.13,05032
5,33,124,53,42.74,33,26.61,38,30.65,05033
5,34,91,38,41.76,20,21.98,33,36.26,05034
5,35,88,47,53.41,14,15.91,27,30.68,05035
5,36,137,61,44.53,41,29.93,35,25.55,05036
5,37,90,48,53.33,18,20.0,24,26.67,05037
5,38,160,103,64.38,25,15.63,32,20.0,05038
5,39,134,110,82.09,8,5.97,16,11.94,05039
5,40,92,51,55.43,24,26.09,17,18.48,05040
5,41,97,70,72.16,3,3.09,24,24.74,05041
5,42,124,60,48.39,29,23.39,35,28.23,05042
5,43,138,77,55.8,26,18.84,35,25.36,05043
5,44,118,50,42.37,36,30.51,32,27.12,05044
5,45,80,35,43.75,26,32.5,19,23.75,05045
5,46,124,70,56.45,17,13.71,37,29.84,05046
5,47,86,40,46.51,18,20.93,28,32.56,05047
5,48,119,62,52.1,17,14.29,40,33.61,05048
5,49,137,110,80.29,9,6.57,18,13.14,05049
5,50,72,30,41.67,22,30.56,20,27.78,05050
5,51,98,30,30.61,34,34.69,34,34.69,05051
5,52,77,34,44.16,18,23.38,25,32.47,05052
5,53,95,32,33.68,36,37.89,27,28.42,05053
5,54,80,39,48.75,19,23.75,22,27.5,05054
5,55,129,77,59.69,25,19.38,27,20.93,05055
5,56,83,33,39.76,20,24.1,30,36.14,05056
5,57,131,60,45.8,27,20.61,44,33.59,05057
5,58,75,39,52.0,23,30.67,13,17.33,05058
5,59,72,28,38.89,24,33.33,20,27.78,05059
6,1,187,107,57.22,39,20.86,41,21.93,06001
6,2,178,90,50.56,44,24.72,44,24.72,06002
6,3,152,91,59.87,31,20.39,30,19.74,06003
6,4,94,46,48.94,24,25.53,24,25.53,06004
6,5,69,34,49.28,19,27.54,16,23.19,06005
6,6,167,77,46.11,35,20.96,55,32.93,06006
6,7,120,60,50.0,26,21.67,34,28.33,06007
6,8,163,86,52.76,34,20.86,43,26.38,06008
6,9,170,88,51.76,44,25.88,38,22.35,06009
6,10,214,105,49.07,59,27.57,50,23.36,06010
6,11,136,63,46.32,33,24.26,40,29.41,06011
6,12,95,49,51.58,26,27.37,20,21.05,06012
6,13,147,76,51.7,44,29.93,27,18.37,06013
6,14,149,71,47.65,47,31.54,31,20.81,06014
6,15,73,47,64.38,16,21.92,10,13.7,06015
6,16,176,87,49.43,46,26.14,43,24.43,06016
6,17,206,102,49.51,54,26.21,50,24.27,06017
6,18,47,15,31.91,17,36.17,15,31.91,06018
6,19,144,80,55.56,37,25.69,27,18.75,06019
6,20,45,30,66.67,4,8.89,11,24.44,06020
6,21,161,60,37.27,54,33.54,47,29.19,06021
6,22,142,68,47.89,45,31.69,29,20.42,06022
6,23,108,40,37.04,31,28.7,37,34.26,06023
6,24,142,67,47.18,44,30.99,31,21.83,06024
6,25,130,46,35.38,46,35.38,38,29.23,06025
6,26,142,67,47.18,34,23.94,41,28.87,06026
6,27,203,116,57.14,44,21.67,43,21.18,06027
6,28,191,111,58.12,45,23.56,35,18.32,06028
6,29,184,100,54.35,51,27.72,33,17.93,06029
6,30,128,56,43.75,32,25.0,40,31.25,06030
6,31,211,118,55.92,42,19.91,51,24.17,06031
6,32,157,87,55.41,37,23.57,33,21.02,06032
6,33,152,54,35.53,50,32.89,48,31.58,06033
6,34,128,63,49.22,34,26.56,31,24.22,06034
6,35,194,110,56.7,45,23.2,39,20.1,06035
6,36,79,39,49.37,19,24.05,21,26.58,06036
6,37,198,135,68.18,37,18.69,26,13.13,06037
6,38,202,98,48.51,61,30.2,43,21.29,06038
6,39,79,35,44.3,21,26.58,23,29.11,06039
6,40,73,39,53.42,18,24.66,16,21.92,06040
6,41,178,94,52.81,37,20.79,47,26.4,06041
6,42,92,48,52.17,22,23.91,22,23.91,06042
6,43,190,107,56.32,40,21.05,43,22.63,06043
6,44,145,77,53.1,35,24.14,33,22.76,06044
6,45,88,42,47.73,27,30.68,19,21.59,06045
6,46,120,60,50.0,28,23.33,32,26.67,06046
6,47,176,97,55.11,39,22.16,40,22.73,06047
6,48,163,86,52.76,42,25.77,35,21.47,06048
6,49,121,39,32.23,48,39.67,34,28.1,06049
6,50,178,87,48.88,42,23.6,49,27.53,06050
6,51,112,54,48.21,30,26.79,28,25.0,06051
6,52,119,41,34.45,43,36.13,35,29.41,06052
6,53,126,70,55.56,32,25.4,24,19.05,06053
6,54,112,60,53.57,26,23.21,26,23.21,06054
6,55,109,50,45.87,34,31.19,25,22.94,06055
6,56,110,53,48.18,30,27.27,27,24.55,06056
6,57,77,26,33.77,26,33.77,25,32.47,06057
6,58,180,106,58.89,40,22.22,34,18.89,06058
6,59,149,71,47.65,41,27.52,37,24.83,06059
6,60,89,42,47.19,26,29.21,21,23.6,06060
6,61,92,40,43.48,29,31.52,23,25.0,06061
6,62,170,83,48.82,51,30.0,36,21.18,06062
6,63,121,56,46.28,30,24.79,35,28.93,06063
6,64,184,72,39.13,53,28.8,59,32.07,06064
7,1,193,119,61.66,39,20.21,35,18.13,07001
7,2,137,79,57.66,26,18.98,32,23.36,07002
7,3,109,59,54.13,22,20.18,28,25.69,07003
7,4,115,72,62.61,22,19.13,21,18.26,07004
7,5,102,70,68.63,15,14.71,17,16.67,07005
7,6,111,63,56.76,25,22.52,23,20.72,07006
7,7,100,57,57.0,24,24.0,19,19.0,07007
7,8,99,66,66.67,19,19.19,14,14.14,07008
7,9,127,71,55.91,25,19.69,31,24.41,07009
7,10,148,63,42.57,41,27.7,44,29.73,07010
7,11,131,80,61.07,15,11.45,36,27.48,07011
7,12,119,76,63.87,16,13.45,27,22.69,07012
7,13,72,27,37.5,22,30.56,23,31.94,07013
7,14,107,44,41.12,35,32.71,28,26.17,07014
7,15,179,89,49.72,44,24.58,46,25.7,07015
7,16,123,72,58.54,22,17.89,29,23.58,07016
7,17,112,59,52.68,29,25.89,24,21.43,07017
7,18,123,90,73.17,17,13.82,16,13.01,07018
7,19,164,92,56.1,33,20.12,39,23.78,07019
7,20,32,22,68.75,2,6.25,8,25.0,07020
7,21,126,88,69.84,20,15.87,18,14.29,07021
7,22,129,81,62.79,20,15.5,28,21.71,07022
7,23,122,61,50.0,31,25.41,30,24.59,07023
7,24,183,118,64.48,33,18.03,32,17.49,07024
7,25,101,63,62.38,21,20.79,17,16.83,07025
7,26,131,66,50.38,34,25.95,31,23.66,07026
7,27,133,69,51.88,28,21.05,36,27.07,07027
7,28,112,47,41.96,28,25.0,37,33.04,07028
7,29,77,50,64.94,12,15.58,15,19.48,07029
7,30,202,112,55.45,46,22.77,44,21.78,07030
7,31,165,84,50.91,35,21.21,46,27.88,07031
7,32,128,81,63.28,22,17.19,25,19.53,07032
7,33,136,85,62.5,29,21.32,22,16.18,07033
7,34,93,54,58.06,17,18.28,22,23.66,07034
7,35,155,75,48.39,40,25.81,40,25.81,07035
7,36,222,128,57.66,44,19.82,50,22.52,07036
7,37,157,92,58.6,30,19.11,35,22.29,07037
7,38,143,89,62.24,26,18.18,28,19.58,07038
7,39,115,54,46.96,25,21.74,36,31.3,07039
7,40,98,47,47.96,22,22.45,29,29.59,07040
7,41,165,81,49.09,42,25.45,42,25.45,07041
7,42,127,71,55.91,28,22.05,28,22.05,07042
7,43,149,89,59.73,31,20.81,29,19.46,07043
7,44,156,88,56.41,31,19.87,37,23.72,07044
7,45,180,111,61.67,29,16.11,40,22.22,07045
7,46,40,27,67.5,6,15.0,7,17.5,07046
8,1,171,77,45.03,44,25.73,50,29.24,08001
8,2,115,50,43.48,29,25.22,36,31.3,08002
8,3,212,112,52.83,58,27.36,42,19.81,08003
8,4,163,92,56.44,41,25.15,30,18.4,08004
8,5,197,103,52.28,48,24.37,46,23.35,08005
8,6,183,91,49.73,55,30.05,37,20.22,08006
8,7,89,41,46.07,25,28.09,23,25.84,08007
8,8,187,85,45.45,51,27.27,51,27.27,08008
8,9,187,98,52.41,45,24.06,44,23.53,08009
8,10,185,86,46.49,58,31.35,41,22.16,08010
8,11,114,57,50.0,27,23.68,30,26.32,08011
8,12,139,70,50.36,36,25.9,33,23.74,08012
8,13,104,56,53.85,25,24.04,23,22.12,08013
8,14,118,62,52.54,25,21.19,31,26.27,08014
8,15,122,64,52.46,31,25.41,27,22.13,08015
8,16,179,80,44.69,53,29.61,46,25.7,08016
8,17,141,98,69.5,24,17.02,19,13.48,08017
8,18,87,44,50.57,22,25.29,21,24.14,08018
8,19,210,103,49.05,50,23.81,57,27.14,08019
8,20,116,56,48.28,31,26.72,29,25.0,08020
8,21,119,69,57.98,26,21.85,24,20.17,08021
8,22,140,58,41.43,47,33.57,35,25.0,08022
8,23,128,59,46.09,30,23.44,39,30.47,08023
8,24,150,70,46.67,43,28.67,37,24.67,08024
8,25,134,73,54.48,30,22.39,31,23.13,08025
8,26,83,43,51.81,15,18.07,25,30.12,08026
8,27,170,107,62.94,33,19.41,30,17.65,08027
8,28,143,83,58.04,30,20.98,30,20.98,08028
8,29,136,58,42.65,37,27.21,41,30.15,08029
8,30,139,77,55.4,36,25.9,26,18.71,08030
8,31,134,74,55.22,31,23.13,29,21.64,08031
8,32,221,100,45.25,60,27.15,61,27.6,08032
8,33,94,66,70.21,11,11.7,17,18.09,08033
8,34,169,80,47.34,45,26.63,44,26.04,08034
8,35,216,121,56.02,53,24.54,42,19.44,08035
8,36,139,61,43.88,40,28.78,38,27.34,08036
8,37,114,56,49.12,34,29.82,24,21.05,08037
8,38,155,89,57.42,42,27.1,24,15.48,08038
8,39,159,78,49.06,40,25.16,41,25.79,08039
8,40,147,79,53.74,39,26.53,29,19.73,08040
8,41,141,75,53.19,30,21.28,36,25.53,08041
8,42,139,80,57.55,26,18.71,33,23.74,08042
8,43,87,45,51.72,25,28.74,17,19.54,08043
8,44,179,103,57.54,33,18.44,43,24.02,08044
8,45,155,85,54.84,36,23.23,34,21.94,08045
8,46,137,63,45.99,45,32.85,29,21.17,08046
8,47,156,86,55.13,32,20.51,38,24.36,08047
8,48,165,72,43.64,44,26.67,49,29.7,08048
8,49,174,93,53.45,40,22.99,41,23.56,08049
8,50,162,85,52.47,35,21.6,42,25.93,08050
8,51,150,86,57.33,33,22.0,31,20.67,08051
8,52,180,90,50.0,44,24.44,46,25.56,08052
8,53,164,85,51.83,39,23.78,40,24.39,08053
8,54,172,84,48.84,49,28.49,39,22.67,08054
8,55,134,57,42.54,39,29.1,38,28.36,08055
8,56,108,53,49.07,26,24.07,29,26.85,08056
8,57,171,83,48.54,37,21.64,51,29.82,08057
8,58,163,86,52.76,37,22.7,40,24.54,08058
8,59,134,85,63.43,23,17.16,26,19.4,08059
8,60,193,92,47.67,47,24.35,54,27.98,08060
8,61,121,59,48.76,33,27.27,29,23.97,08061
8,62,196,106,54.08,46,23.47,44,22.45,08062
8,63,179,96,53.63,44,24.58,39,21.79,08063
8,64,79,50,63.29,16,20.25,13,16.46,08064
8,65,147,63,42.86,34,23.13,50,34.01,08065
8,66,210,111,52.86,51,24.29,48,22.86,08066
9,1,182,109,59.89,43,23.63,30,16.48,09001
9,2,166,95,57.23,36,21.69,35,21.08,09002
9,3,92,67,72.83,12,13.04,13,14.13,09003
9,4,201,128,63.68,34,16.92,39,19.4,09004
9,5,138,72,52.17,33,23.91,33,23.91,09005
9,6,141,85,60.28,27,19.15,29,20.57,09006
9,7,132,61,46.21,38,28.79,33,25.0,09007
9,8,125,61,48.8,30,24.0,34,27.2,09008
9,9,165,95,57.58,30,18.18,40,24.24,09009
9,10,139,71,51.08,29,20.86,39,28.06,09010
9,11,102,66,64.71,19,18.63,17,16.67,09011
9,12,125,70,56.0,28,22.4,27,21.6,09012
9,13,206,104,50.49,59,28.64,43,20.87,09013
9,14,231,133,57.58,47,20.35,51,22.08,09014
9,15,71,39,54.93,14,19.72,18,25.35,09015
9,16,151,101,66.89,22,14.57,28,18.54,09016
9,17,148,84,56.76,32,21.62,32,21.62,09017
9,18,136,76,55.88,28,20.59,32,23.53,09018
9,19,168,92,54.76,46,27.38,30,17.86,09019
9,20,163,86,52.76,29,17.79,48,29.45,09020
9,21,117,73,62.39,25,21.37,19,16.24,09021
9,22,174,102,58.62,31,17.82,41,23.56,09022
9,23,110,49,44.55,33,30.0,28,25.45,09023
9,24,69,47,68.12,12,17.39,10,14.49,09024
9,25,77,50,64.94,14,18.18,13,16.88,09025
9,26,103,49,47.57,29,28.16,25,24.27,09026
9,27,117,59,50.43,28,23.93,30,25.64,09027
9,28,97,52,53.61,25,25.77,20,20.62,09028
9,29,138,67,48.55,31,22.46,40,28.99,09029
9,30,165,90,54.55,39,23.64,36,21.82,09030
9,31,92,59,64.13,16,17.39,17,18.48,09031
9,32,153,84,54.9,37,24.18,32,20.92,09032
9,33,114,74,64.91,20,17.54,20,17.54,09033
9,34,105,47,44.76,30,28.57,28,26.67,09034
9,35,153,73,47.71,45,29.41,35,22.88,09035
9,36,59,36,61.02,11,18.64,12,20.34,09036
9,37,169,109,64.5,36,21.3,24,14.2,09037
9,38,125,73,58.4,25,20.0,27,21.6,09038
9,39,126,69,54.76,33,26.19,24,19.05,09039
9,40,175,98,56.0,40,22.86,37,21.14,09040
9,41,194,129,66.49,42,21.65,23,11.86,09041
9,42,120,72,60.0,30,25.0,18,15.0,09042
9,43,87,54,62.07,20,22.99,13,14.94,09043
9,44,130,74,56.92,27,20.77,29,22.31,09044
9,45,184,125,67.93,39,21.2,20,10.87,09045
9,46,128,76,59.38,25,19.53,27,21.09,09046
9,47,106,83,78.3,9,8.49,14,13.21,09047
9,48,166,92,55.42,29,17.47,45,27.11,09048
9,49,58,23,39.66,13,22.41,22,37.93,09049
9,50,186,121,65.05,38,20.43,27,14.52,09050
9,51,108,68,62.96,17,15.74,23,21.3,09051
9,52,145,75,51.72,34,23.45,36,24.83,09052
10,1,98,77,78.57,13,13.27,8,8.16,10001
10,2,93,61,65.59,13,13.98,19,20.43,10002
10,3,169,111,65.68,17,10.06,41,24.26,10003
10,4,169,131,77.51,25,14.79,13,7.69,10004
10,5,115,81,70.43,8,6.96,26,22.61,10005
10,6,143,82,57.34,31,21.68,30,20.98,10006
10,7,48,40,83.33,6,12.5,2,4.17,10007
10,8,141,87,61.7,14,9.93,40,28.37,10008
10,9,130,72,55.38,18,13.85,40,30.77,10009
10,10,103,57,55.34,29,28.16,17,16.5,10010
10,11,152,110,72.37,12,7.89,30,19.74,10011
10,12,139,102,73.38,12,8.63,25,17.99,10012
10,13,181,131,72.38,24,13.26,26,14.36,10013
10,14,34,24,70.59,4,11.76,6,17.65,10014
10,15,71,46,64.79,9,12.68,16,22.54,10015
10,16,135,78,57.78,20,14.81,37,27.41,10016
10,17,127,81,63.78,12,9.45,34,26.77,10017
10,18,121,93,76.86,18,14.88,10,8.26,10018
10,19,210,139,66.19,21,10.0,50,23.81,10019
10,20,254,178,70.08,27,10.63,49,19.29,10020
10,21,101,55,54.46,18,17.82,28,27.72,10021
10,22,44,25,56.82,8,18.18,11,25.0,10022
10,23,158,122,77.22,23,14.56,13,8.23,10023
10,24,124,63,50.81,24,19.35,37,29.84,10024
10,25,169,145,85.8,15,8.88,9,5.33,10025
10,26,106,80,75.47,19,17.92,7,6.6,10026
10,27,172,118,68.6,13,7.56,41,23.84,10027
