ward,precinct,total,ROBERT D. QUINLIVAN,ROBERT D. QUINLIVAN Percent,RICHARD ANTHONY STEVENS,RICHARD ANTHONY STEVENS Percent,MARJORIE E. MCCOLLOM,MARJORIE E. MCCOLLOM Percent,JOAN MARGARET O'BRIEN,JOAN MARGARET O'BRIEN Percent,precinct_id
2,52,82,8,9.76,27,32.93,22,26.83,25,30.49,02052
2,53,47,6,12.77,9,19.15,16,34.04,16,34.04,02053
2,54,110,15,13.64,31,28.18,35,31.82,29,26.36,02054
3,1,135,28,20.74,33,24.44,26,19.26,48,35.56,03001
3,2,171,52,30.41,32,18.71,30,17.54,57,33.33,03002
3,3,39,8,20.51,11,28.21,7,17.95,13,33.33,03003
3,4,56,8,14.29,16,28.57,19,33.93,13,23.21,03004
3,5,41,7,17.07,9,21.95,6,14.63,19,46.34,03005
3,6,1,0,0.0,0,0.0,0,0.0,1,100.0,03006
3,7,15,1,6.67,3,20.0,3,20.0,8,53.33,03007
3,8,51,7,13.73,11,21.57,11,21.57,22,43.14,03008
3,9,73,17,23.29,14,19.18,18,24.66,24,32.88,03009
3,10,118,33,27.97,30,25.42,30,25.42,25,21.19,03010
3,11,59,16,27.12,18,30.51,12,20.34,13,22.03,03011
3,12,86,23,26.74,26,30.23,12,13.95,25,29.07,03012
3,13,23,9,39.13,5,21.74,4,17.39,5,21.74,03013
3,14,46,10,21.74,11,23.91,7,15.22,18,39.13,03014
3,15,73,16,21.92,19,26.03,14,19.18,24,32.88,03015
3,16,149,66,44.3,31,20.81,21,14.09,31,20.81,03016
3,17,67,21,31.34,18,26.87,13,19.4,15,22.39,03017
3,18,69,28,40.58,12,17.39,11,15.94,18,26.09,03018
3,19,45,5,11.11,10,22.22,6,13.33,24,53.33,03019
3,20,32,9,28.13,10,31.25,5,15.63,8,25.0,03020
3,21,56,21,37.5,17,30.36,10,17.86,8,14.29,03021
3,22,73,15,20.55,17,23.29,19,26.03,22,30.14,03022
3,23,26,7,26.92,3,11.54,5,19.23,11,42.31,03023
3,24,95,31,32.63,20,21.05,18,18.95,26,27.37,03024
3,25,19,2,10.53,4,21.05,5,26.32,8,42.11,03025
3,26,60,14,23.33,17,28.33,14,23.33,15,25.0,03026
3,27,13,1,7.69,4,30.77,1,7.69,7,53.85,03027
3,28,98,24,24.49,23,23.47,24,24.49,27,27.55,03028
3,29,14,0,0.0,4,28.57,1,7.14,9,64.29,03029
3,30,90,36,40.0,30,33.33,10,11.11,14,15.56,03030
3,31,86,37,43.02,17,19.77,12,13.95,20,23.26,03031
3,32,109,37,33.94,27,24.77,18,16.51,27,24.77,03032
3,33,92,27,29.35,23,25.0,24,26.09,18,19.57,03033
3,34,25,13,52.0,3,12.0,5,20.0,4,16.0,03034
3,35,79,25,31.65,18,22.78,15,18.99,21,26.58,03035
3,36,34,10,29.41,8,23.53,9,26.47,7,20.59,03036
3,37,84,27,32.14,22,26.19,9,10.71,26,30.95,03037
3,38,132,31,23.48,27,20.45,24,18.18,50,37.88,03038
3,39,167,49,29.34,35,20.96,48,28.74,35,20.96,03039
3,40,79,18,22.78,15,18.99,24,30.38,22,27.85,03040
3,41,67,9,13.43,22,32.84,14,20.9,22,32.84,03041
3,42,33,7,21.21,8,24.24,9,27.27,9,27.27,03042
3,43,13,2,15.38,3,23.08,1,7.69,7,53.85,03043
3,44,56,30,53.57,7,12.5,7,12.5,12,21.43,03044
3,45,32,5,15.63,6,18.75,8,25.0,13,40.63,03045
3,46,13,5,38.46,1,7.69,2,15.38,5,38.46,03046
3,47,63,14,22.22,21,33.33,15,23.81,13,20.63,03047
3,48,61,13,21.31,20,32.79,13,21.31,15,24.59,03048
3,49,61,22,36.07,15,24.59,11,18.03,13,21.31,03049
3,50,82,27,32.93,21,25.61,10,12.2,24,29.27,03050
3,51,46,16,34.78,3,6.52,12,26.09,15,32.61,03051
3,52,103,26,25.24,31,30.1,21,20.39,25,24.27,03052
4,1,120,11,9.17,58,48.33,27,22.5,24,20.0,04001
4,2,29,3,10.34,10,34.48,3,10.34,13,44.83,04002
4,3,157,23,14.65,57,36.31,30,19.11,47,29.94,04003
4,4,148,24,16.22,52,35.14,30,20.27,42,28.38,04004
4,5,127,14,11.02,46,36.22,35,27.56,32,25.2,04005
4,6,3,0,0.0,1,33.33,1,33.33,1,33.33,04006
4,7,99,7,7.07,43,43.43,18,18.18,31,31.31,04007
4,8,160,26,16.25,50,31.25,45,28.13,39,24.38,04008
4,9,259,22,8.49,123,47.49,64,24.71,50,19.31,04009
4,10,164,20,12.2,71,43.29,36,21.95,37,22.56,04010
4,11,100,14,14.0,39,39.0,20,20.0,27,27.0,04011
4,12,91,10,10.99,30,32.97,30,32.97,21,23.08,04012
4,13,156,15,9.62,71,45.51,41,26.28,29,18.59,04013
4,14,81,8,9.88,37,45.68,18,22.22,18,22.22,04014
4,15,78,13,16.67,28,35.9,12,15.38,25,32.05,04015
4,16,137,15,10.95,47,34.31,35,25.55,40,29.2,04016
4,17,162,25,15.43,59,36.42,41,25.31,37,22.84,04017
4,18,105,8,7.62,26,24.76,23,21.9,48,45.71,04018
4,19,31,5,16.13,10,32.26,6,19.35,10,32.26,04019
4,20,59,7,11.86,19,32.2,9,15.25,24,40.68,04020
4,21,128,21,16.41,55,42.97,30,23.44,22,17.19,04021
4,22,177,18,10.17,94,53.11,28,15.82,37,20.9,04022
4,23,99,12,12.12,51,51.52,25,25.25,11,11.11,04023
4,24,146,22,15.07,56,38.36,37,25.34,31,21.23,04024
4,25,142,15,10.56,59,41.55,35,24.65,33,23.24,04025
4,26,101,13,12.87,41,40.59,23,22.77,24,23.76,04026
4,27,185,29,15.68,75,40.54,47,25.41,34,18.38,04027
4,28,143,16,11.19,78,54.55,20,13.99,29,20.28,04028
4,29,115,14,12.17,47,40.87,26,22.61,28,24.35,04029
4,30,26,4,15.38,6,23.08,2,7.69,14,53.85,04030
4,31,37,8,21.62,7,18.92,11,29.73,11,29.73,04031
4,32,161,11,6.83,88,54.66,26,16.15,36,22.36,04032
4,33,39,4,10.26,16,41.03,6,15.38,13,33.33,04033
4,34,124,12,9.68,75,60.48,16,12.9,21,16.94,04034
4,35,89,11,12.36,38,42.7,15,16.85,25,28.09,04035
4,36,157,17,10.83,83,52.87,30,19.11,27,17.2,04036
4,37,73,10,13.7,17,23.29,12,16.44,34,46.58,04037
4,38,179,21,11.73,87,48.6,37,20.67,34,18.99,04038
4,39,60,3,5.0,22,36.67,15,25.0,20,33.33,04039
4,40,122,17,13.93,40,32.79,26,21.31,39,31.97,04040
4,41,101,16,15.84,48,47.52,23,22.77,14,13.86,04041
4,42,84,8,9.52,30,35.71,18,21.43,28,33.33,04042
4,43,98,7,7.14,49,50.0,16,16.33,26,26.53,04043
4,44,88,11,12.5,28,31.82,24,27.27,25,28.41,04044
4,45,230,44,19.13,100,43.48,46,20.0,40,17.39,04045
4,46,118,16,13.56,49,41.53,31,26.27,22,18.64,04046
4,47,172,20,11.63,75,43.6,45,26.16,32,18.6,04047
4,48,188,20,10.64,89,47.34,36,19.15,43,22.87,04048
4,49,33,8,24.24,8,24.24,8,24.24,9,27.27,04049
4,50,101,14,13.86,33,32.67,20,19.8,34,33.66,04050
4,51,170,19,11.18,74,43.53,40,23.53,37,21.76,04051
4,52,30,4,13.33,13,43.33,5,16.67,8,26.67,04052
4,53,30,3,10.0,11,36.67,6,20.0,10,33.33,04053
4,54,74,9,12.16,31,41.89,16,21.62,18,24.32,04054
4,55,102,11,10.78,57,55.88,19,18.63,15,14.71,04055
5,1,130,13,10.0,63,48.46,29,22.31,25,19.23,05001
5,2,107,12,11.21,48,44.86,20,18.69,27,25.23,05002
5,3,132,21,15.91,61,46.21,21,15.91,29,21.97,05003
5,4,174,14,8.05,72,41.38,49,28.16,39,22.41,05004
5,5,110,14,12.73,33,30.0,33,30.0,30,27.27,05005
5,6,149,17,11.41,56,37.58,27,18.12,49,32.89,05006
5,7,128,10,7.81,77,60.16,22,17.19,19,14.84,05007
5,8,181,23,12.71,119,65.75,15,8.29,24,13.26,05008
5,9,128,13,10.16,56,43.75,26,20.31,33,25.78,05009
5,10,75,11,14.67,29,38.67,18,24.0,17,22.67,05010
5,11,48,4,8.33,28,58.33,2,4.17,14,29.17,05011
5,12,134,21,15.67,48,35.82,30,22.39,35,26.12,05012
5,13,133,16,12.03,51,38.35,24,18.05,42,31.58,05013
5,14,119,12,10.08,60,50.42,19,15.97,28,23.53,05014
5,15,82,15,18.29,22,26.83,22,26.83,23,28.05,05015
5,16,91,8,8.79,25,27.47,29,31.87,29,31.87,05016
5,17,76,9,11.84,31,40.79,19,25.0,17,22.37,05017
5,18,84,9,10.71,34,40.48,24,28.57,17,20.24,05018
5,19,98,12,12.24,35,35.71,19,19.39,32,32.65,05019
5,20,90,8,8.89,38,42.22,18,20.0,26,28.89,05020
5,21,172,27,15.7,59,34.3,40,23.26,46,26.74,05021
5,22,138,18,13.04,40,28.99,36,26.09,44,31.88,05022
5,23,107,15,14.02,45,42.06,21,19.63,26,24.3,05023
5,24,109,15,13.76,53,48.62,21,19.27,20,18.35,05024
5,25,96,14,14.58,32,33.33,26,27.08,24,25.0,05025
5,26,70,8,11.43,33,47.14,15,21.43,14,20.0,05026
5,27,42,4,9.52,21,50.0,9,21.43,8,19.05,05027
5,28,173,20,11.56,67,38.73,37,21.39,49,28.32,05028
5,29,88,9,10.23,34,38.64,26,29.55,19,21.59,05029
5,30,130,15,11.54,87,66.92,13,10.0,15,11.54,05030
5,31,86,10,11.63,41,47.67,14,16.28,21,24.42,05031
5,32,183,22,12.02,80,43.72,45,24.59,36,19.67,05032
5,33,119,13,10.92,60,50.42,20,16.81,26,21.85,05033
5,34,90,9,10.0,39,43.33,23,25.56,19,21.11,05034
5,35,82,12,14.63,35,42.68,18,21.95,17,20.73,05035
5,36,143,14,9.79,61,42.66,33,23.08,35,24.48,05036
5,37,84,12,14.29,43,51.19,12,14.29,17,20.24,05037
5,38,160,25,15.63,84,52.5,19,11.88,32,20.0,05038
5,39,135,23,17.04,80,59.26,13,9.63,19,14.07,05039
5,40,95,9,9.47,37,38.95,23,24.21,26,27.37,05040
5,41,92,19,20.65,38,41.3,8,8.7,27,29.35,05041
5,42,134,27,20.15,52,38.81,30,22.39,25,18.66,05042
5,43,129,14,10.85,67,51.94,24,18.6,24,18.6,05043
5,44,118,22,18.64,37,31.36,36,30.51,23,19.49,05044
5,45,83,14,16.87,36,43.37,17,20.48,16,19.28,05045
5,46,131,21,16.03,69,52.67,16,12.21,25,19.08,05046
5,47,89,10,11.24,32,35.96,24,26.97,23,25.84,05047
5,48,120,21,17.5,52,43.33,26,21.67,21,17.5,05048
5,49,140,18,12.86,87,62.14,14,10.0,21,15.0,05049
5,50,78,13,16.67,27,34.62,15,19.23,23,29.49,05050
5,51,99,13,13.13,43,43.43,20,20.2,23,23.23,05051
5,52,75,8,10.67,19,25.33,19,25.33,29,38.67,05052
5,53,95,10,10.53,41,43.16,15,15.79,29,30.53,05053
5,54,70,8,11.43,32,45.71,15,21.43,15,21.43,05054
5,55,130,13,10.0,75,57.69,23,17.69,19,14.62,05055
5,56,80,7,8.75,35,43.75,16,20.0,22,27.5,05056
5,57,131,15,11.45,48,36.64,38,29.01,30,22.9,05057
5,58,72,11,15.28,22,30.56,18,25.0,21,29.17,05058
5,59,68,9,13.24,27,39.71,14,20.59,18,26.47,05059
6,1,192,22,11.46,89,46.35,34,17.71,47,24.48,06001
6,2,174,23,13.22,72,41.38,30,17.24,49,28.16,06002
6,3,144,18,12.5,68,47.22,30,20.83,28,19.44,06003
6,4,96,20,20.83,25,26.04,19,19.79,32,33.33,06004
6,5,73,6,8.22,24,32.88,18,24.66,25,34.25,06005
6,6,160,21,13.13,53,33.13,43,26.88,43,26.88,06006
6,7,111,14,12.61,44,39.64,27,24.32,26,23.42,06007
6,8,169,13,7.69,76,44.97,34,20.12,46,27.22,06008
6,9,172,20,11.63,94,54.65,23,13.37,35,20.35,06009
6,10,210,24,11.43,89,42.38,55,26.19,42,20.0,06010
6,11,134,18,13.43,56,41.79,27,20.15,33,24.63,06011
6,12,98,11,11.22,42,42.86,16,16.33,29,29.59,06012
6,13,141,12,8.51,59,41.84,36,25.53,34,24.11,06013
6,14,138,28,20.29,56,40.58,22,15.94,32,23.19,06014
6,15,73,7,9.59,33,45.21,14,19.18,19,26.03,06015
6,16,156,21,13.46,62,39.74,37,23.72,36,23.08,06016
6,17,210,32,15.24,90,42.86,39,18.57,49,23.33,06017
6,18,50,12,24.0,13,26.0,7,14.0,18,36.0,06018
6,19,145,15,10.34,63,43.45,36,24.83,31,21.38,06019
6,20,39,7,17.95,13,33.33,10,25.64,9,23.08,06020
6,21,150,16,10.67,55,36.67,44,29.33,35,23.33,06021
6,22,140,14,10.0,65,46.43,22,15.71,39,27.86,06022
6,23,104,15,14.42,37,35.58,25,24.04,27,25.96,06023
6,24,132,28,21.21,45,34.09,27,20.45,32,24.24,06024
6,25,141,16,11.35,59,41.84,34,24.11,32,22.7,06025
6,26,137,18,13.14,64,46.72,29,21.17,26,18.98,06026
6,27,184,11,5.98,99,53.8,33,17.93,41,22.28,06027
6,28,194,23,11.86,101,52.06,29,14.95,41,21.13,06028
6,29,187,22,11.76,111,59.36,21,11.23,33,17.65,06029
6,30,129,13,10.08,57,44.19,29,22.48,30,23.26,06030
6,31,205,21,10.24,114,55.61,27,13.17,43,20.98,06031
6,32,154,16,10.39,75,48.7,30,19.48,33,21.43,06032
6,33,150,14,9.33,57,38.0,41,27.33,38,25.33,06033
6,34,134,22,16.42,49,36.57,30,22.39,33,24.63,06034
6,35,197,26,13.2,85,43.15,41,20.81,45,22.84,06035
6,36,77,15,19.48,24,31.17,18,23.38,20,25.97,06036
6,37,202,15,7.43,126,62.38,29,14.36,32,15.84,06037
6,38,198,26,13.13,84,42.42,34,17.17,54,27.27,06038
6,39,81,9,11.11,34,41.98,20,24.69,18,22.22,06039
6,40,71,12,16.9,26,36.62,15,21.13,18,25.35,06040
6,41,180,18,10.0,96,53.33,37,20.56,29,16.11,06041
6,42,94,12,12.77,38,40.43,21,22.34,23,24.47,06042
6,43,189,25,13.23,83,43.92,34,17.99,47,24.87,06043
6,44,133,16,12.03,68,51.13,26,19.55,23,17.29,06044
6,45,86,12,13.95,37,43.02,23,26.74,14,16.28,06045
6,46,116,19,16.38,55,47.41,18,15.52,24,20.69,06046
6,47,176,16,9.09,90,51.14,29,16.48,41,23.3,06047
6,48,167,19,11.38,72,43.11,37,22.16,39,23.35,06048
6,49,122,22,18.03,44,36.07,21,17.21,35,28.69,06049
6,50,162,21,12.96,66,40.74,38,23.46,37,22.84,06050
6,51,106,24,22.64,44,41.51,19,17.92,19,17.92,06051
6,52,124,11,8.87,37,29.84,37,29.84,39,31.45,06052
6,53,126,18,14.29,59,46.83,23,18.25,26,20.63,06053
6,54,116,13,11.21,52,44.83,20,17.24,31,26.72,06054
6,55,105,19,18.1,46,43.81,18,17.14,22,20.95,06055
6,56,109,21,19.27,52,47.71,14,12.84,22,20.18,06056
6,57,71,8,11.27,24,33.8,24,33.8,15,21.13,06057
6,58,167,14,8.38,96,57.49,22,13.17,35,20.96,06058
6,59,143,22,15.38,51,35.66,24,16.78,46,32.17,06059
6,60,92,8,8.7,43,46.74,24,26.09,17,18.48,06060
6,61,89,14,15.73,25,28.09,22,24.72,28,31.46,06061
6,62,154,16,10.39,69,44.81,33,21.43,36,23.38,06062
6,63,122,23,18.85,37,30.33,35,28.69,27,22.13,06063
6,64,184,18,9.78,70,38.04,46,25.0,50,27.17,06064
7,1,217,83,38.25,59,27.19,41,18.89,34,15.67,07001
7,2,145,48,33.1,43,29.66,22,15.17,32,22.07,07002
7,3,121,34,28.1,39,32.23,21,17.36,27,22.31,07003
7,4,120,44,36.67,26,21.67,21,17.5,29,24.17,07004
7,5,99,41,41.41,24,24.24,15,15.15,19,19.19,07005
7,6,110,53,48.18,17,15.45,23,20.91,17,15.45,07006
7,7,109,41,37.61,30,27.52,17,15.6,21,19.27,07007
7,8,96,33,34.38,16,16.67,17,17.71,30,31.25,07008
7,9,131,38,29.01,48,36.64,20,15.27,25,19.08,07009
7,10,157,43,27.39,44,28.03,36,22.93,34,21.66,07010
7,11,136,48,35.29,33,24.26,33,24.26,22,16.18,07011
7,12,139,62,44.6,41,29.5,15,10.79,21,15.11,07012
7,13,72,14,19.44,23,31.94,19,26.39,16,22.22,07013
7,14,120,18,15.0,41,34.17,26,21.67,35,29.17,07014
7,15,190,68,35.79,41,21.58,33,17.37,48,25.26,07015
7,16,129,42,32.56,42,32.56,17,13.18,28,21.71,07016
7,17,135,39,28.89,41,30.37,35,25.93,20,14.81,07017
7,18,136,67,49.26,18,13.24,24,17.65,27,19.85,07018
7,19,181,56,30.94,46,25.41,38,20.99,41,22.65,07019
7,20,28,3,10.71,9,32.14,7,25.0,9,32.14,07020
7,21,143,55,38.46,31,21.68,20,13.99,37,25.87,07021
7,22,129,31,24.03,47,36.43,26,20.16,25,19.38,07022
7,23,134,52,38.81,35,26.12,19,14.18,28,20.9,07023
7,24,184,73,39.67,46,25.0,36,19.57,29,15.76,07024
7,25,113,49,43.36,28,24.78,15,13.27,21,18.58,07025
7,26,144,48,33.33,38,26.39,30,20.83,28,19.44,07026
7,27,145,24,16.55,53,36.55,36,24.83,32,22.07,07027
7,28,116,27,23.28,33,28.45,27,23.28,29,25.0,07028
7,29,81,34,41.98,22,27.16,12,14.81,13,16.05,07029
7,30,206,52,25.24,76,36.89,46,22.33,32,15.53,07030
7,31,176,56,31.82,54,30.68,39,22.16,27,15.34,07031
7,32,122,30,24.59,25,20.49,17,13.93,50,40.98,07032
7,33,141,46,32.62,43,30.5,20,14.18,32,22.7,07033
7,34,101,26,25.74,31,30.69,24,23.76,20,19.8,07034
7,35,160,40,25.0,53,33.13,37,23.13,30,18.75,07035
7,36,225,73,32.44,60,26.67,47,20.89,45,20.0,07036
7,37,162,47,29.01,53,32.72,32,19.75,30,18.52,07037
7,38,151,53,35.1,42,27.81,28,18.54,28,18.54,07038
7,39,128,32,25.0,44,34.38,25,19.53,27,21.09,07039
7,40,112,23,20.54,29,25.89,27,24.11,33,29.46,07040
7,41,169,42,24.85,59,34.91,27,15.98,41,24.26,07041
7,42,143,40,27.97,45,31.47,23,16.08,35,24.48,07042
7,43,155,49,31.61,42,27.1,36,23.23,28,18.06,07043
7,44,178,66,37.08,44,24.72,31,17.42,37,20.79,07044
7,45,191,75,39.27,62,32.46,26,13.61,28,14.66,07045
7,46,48,19,39.58,12,25.0,5,10.42,12,25.0,07046
8,1,173,32,18.5,67,38.73,35,20.23,39,22.54,08001
8,2,115,22,19.13,38,33.04,23,20.0,32,27.83,08002
8,3,217,74,34.1,71,32.72,31,14.29,41,18.89,08003
8,4,173,60,34.68,43,24.86,39,22.54,31,17.92,08004
8,5,203,59,29.06,84,41.38,31,15.27,29,14.29,08005
8,6,174,47,27.01,47,27.01,41,23.56,39,22.41,08006
8,7,93,21,22.58,35,37.63,18,19.35,19,20.43,08007
8,8,198,55,27.78,61,30.81,40,20.2,42,21.21,08008
8,9,194,36,18.56,79,40.72,41,21.13,38,19.59,08009
8,10,177,37,20.9,63,35.59,38,21.47,39,22.03,08010
8,11,119,28,23.53,29,24.37,23,19.33,39,32.77,08011
8,12,137,38,27.74,39,28.47,29,21.17,31,22.63,08012
8,13,100,32,32.0,31,31.0,20,20.0,17,17.0,08013
8,14,119,41,34.45,27,22.69,25,21.01,26,21.85,08014
8,15,121,32,26.45,37,30.58,17,14.05,35,28.93,08015
8,16,177,44,24.86,68,38.42,29,16.38,36,20.34,08016
8,17,135,44,32.59,37,27.41,27,20.0,27,20.0,08017
8,18,95,23,24.21,26,27.37,18,18.95,28,29.47,08018
8,19,208,41,19.71,77,37.02,36,17.31,54,25.96,08019
8,20,125,30,24.0,46,36.8,23,18.4,26,20.8,08020
8,21,121,48,39.67,29,23.97,15,12.4,29,23.97,08021
8,22,146,41,28.08,44,30.14,33,22.6,28,19.18,08022
8,23,136,36,26.47,42,30.88,30,22.06,28,20.59,08023
8,24,174,50,28.74,53,30.46,33,18.97,38,21.84,08024
8,25,144,32,22.22,46,31.94,39,27.08,27,18.75,08025
8,26,86,21,24.42,25,29.07,21,24.42,19,22.09,08026
8,27,171,44,25.73,62,36.26,26,15.2,39,22.81,08027
8,28,136,54,39.71,35,25.74,20,14.71,27,19.85,08028
8,29,133,33,24.81,42,31.58,25,18.8,33,24.81,08029
8,30,143,37,25.87,43,30.07,33,23.08,30,20.98,08030
8,31,131,33,25.19,44,33.59,21,16.03,33,25.19,08031
8,32,225,46,20.44,72,32.0,59,26.22,48,21.33,08032
8,33,93,47,50.54,19,20.43,12,12.9,15,16.13,08033
8,34,173,38,21.97,57,32.95,39,22.54,39,22.54,08034
8,35,213,55,25.82,72,33.8,42,19.72,44,20.66,08035
8,36,146,31,21.23,49,33.56,33,22.6,33,22.6,08036
8,37,115,28,24.35,36,31.3,21,18.26,30,26.09,08037
8,38,154,54,35.06,45,29.22,20,12.99,35,22.73,08038
8,39,147,39,26.53,39,26.53,27,18.37,42,28.57,08039
8,40,151,35,23.18,36,23.84,36,23.84,44,29.14,08040
8,41,145,31,21.38,41,28.28,41,28.28,32,22.07,08041
8,42,132,34,25.76,51,38.64,22,16.67,25,18.94,08042
8,43,85,27,31.76,23,27.06,13,15.29,22,25.88,08043
8,44,182,46,25.27,67,36.81,31,17.03,38,20.88,08044
8,45,148,38,25.68,39,26.35,30,20.27,41,27.7,08045
8,46,136,35,25.74,40,29.41,25,18.38,36,26.47,08046
8,47,159,47,29.56,44,27.67,28,17.61,40,25.16,08047
8,48,170,38,22.35,50,29.41,42,24.71,40,23.53,08048
