ward,precinct,total,LOVANA S. JONES (GORE),LOVANA S. JONES (GORE) Percent,TODD H. STROGER (GORE),TODD H. STROGER (GORE) Percent,VIRGINIA A. RUGAI (GORE),VIRGINIA A. RUGAI (GORE) Percent,JERRY BUTLER (GORE),JERRY BUTLER (GORE) Percent,NORMA J. WHITE (GORE),NORMA J. WHITE (GORE) Percent,HENRY M. WILLIAMSON (GORE),HENRY M. WILLIAMSON (GORE) Percent,ROSEMARY M. BILECKI (GORE),ROSEMARY M. BILECKI (GORE) Percent,"SPENCER LEAK, JR. (GORE)","SPENCER LEAK, JR. (GORE) Percent","JOSEPH G. BERTRAND,JR. (BRADLEY)","JOSEPH G. BERTRAND,JR. (BRADLEY) Percent",DELMARIE L. COBB (BRADLEY),DELMARIE L. COBB (BRADLEY) Percent,HOWARD KENNER (BRADLEY),HOWARD KENNER (BRADLEY) Percent,DORIS DAVENPORT (BRADLEY),DORIS DAVENPORT (BRADLEY) Percent,CARLTON E. HULL (BRADLEY),CARLTON E. HULL (BRADLEY) Percent,DENISE ELIGAN (BRADLEY),DENISE ELIGAN (BRADLEY) Percent,MYRON F. MCCOY (BRADLEY),MYRON F. MCCOY (BRADLEY) Percent,CELESTINE M. FULCHON (BRADLEY),CELESTINE M. FULCHON (BRADLEY) Percent,precinct_id
7,43,1033,117,11.33,128,12.39,93,9.0,148,14.33,108,10.45,89,8.62,89,8.62,116,11.23,22,2.13,20,1.94,17,1.65,26,2.52,15,1.45,13,1.26,17,1.65,15,1.45,07043
8,1,1495,158,10.57,209,13.98,109,7.29,195,13.04,144,9.63,119,7.96,103,6.89,185,12.37,45,3.01,33,2.21,37,2.47,48,3.21,15,1.0,27,1.81,40,2.68,28,1.87,08001
8,2,751,80,10.65,111,14.78,47,6.26,104,13.85,72,9.59,57,7.59,42,5.59,85,11.32,23,3.06,15,2.0,20,2.66,25,3.33,16,2.13,18,2.4,14,1.86,22,2.93,08002
8,3,1830,205,11.2,256,13.99,138,7.54,246,13.44,183,10.0,149,8.14,130,7.1,237,12.95,55,3.01,38,2.08,40,2.19,43,2.35,18,0.98,23,1.26,46,2.51,23,1.26,08003
8,4,1364,142,10.41,200,14.66,120,8.8,182,13.34,143,10.48,117,8.58,106,7.77,157,11.51,32,2.35,30,2.2,22,1.61,33,2.42,16,1.17,17,1.25,27,1.98,20,1.47,08004
8,5,1748,179,10.24,226,12.93,124,7.09,226,12.93,175,10.01,139,7.95,115,6.58,220,12.59,67,3.83,51,2.92,56,3.2,50,2.86,28,1.6,18,1.03,46,2.63,28,1.6,08005
8,6,1333,146,10.95,208,15.6,102,7.65,173,12.98,135,10.13,109,8.18,111,8.33,151,11.33,28,2.1,22,1.65,26,1.95,35,2.63,17,1.28,22,1.65,21,1.58,27,2.03,08006
8,7,686,70,10.2,96,13.99,55,8.02,92,13.41,64,9.33,61,8.89,55,8.02,76,11.08,24,3.5,11,1.6,14,2.04,21,3.06,11,1.6,8,1.17,13,1.9,15,2.19,08007
8,8,1692,177,10.46,259,15.31,121,7.15,229,13.53,167,9.87,138,8.16,122,7.21,205,12.12,42,2.48,38,2.25,28,1.65,41,2.42,23,1.36,33,1.95,36,2.13,33,1.95,08008
8,9,1623,174,10.72,221,13.62,124,7.64,207,12.75,163,10.04,131,8.07,124,7.64,193,11.89,47,2.9,42,2.59,29,1.79,51,3.14,20,1.23,25,1.54,40,2.46,32,1.97,08009
8,10,1597,158,9.89,235,14.72,106,6.64,212,13.27,153,9.58,110,6.89,111,6.95,178,11.15,53,3.32,45,2.82,44,2.76,58,3.63,24,1.5,33,2.07,43,2.69,34,2.13,08010
8,11,736,76,10.33,116,15.76,59,8.02,100,13.59,68,9.24,62,8.42,55,7.47,86,11.68,19,2.58,13,1.77,9,1.22,21,2.85,5,0.68,11,1.49,23,3.13,13,1.77,08011
8,12,1047,101,9.65,149,14.23,85,8.12,145,13.85,105,10.03,92,8.79,80,7.64,115,10.98,21,2.01,23,2.2,19,1.81,30,2.87,12,1.15,21,2.01,24,2.29,25,2.39,08012
8,13,819,87,10.62,115,14.04,68,8.3,118,14.41,84,10.26,74,9.04,61,7.45,100,12.21,19,2.32,15,1.83,14,1.71,19,2.32,14,1.71,4,0.49,20,2.44,7,0.85,08013
8,14,755,88,11.66,113,14.97,66,8.74,101,13.38,81,10.73,67,8.87,60,7.95,76,10.07,13,1.72,10,1.32,11,1.46,14,1.85,10,1.32,13,1.72,18,2.38,14,1.85,08014
8,15,929,101,10.87,143,15.39,75,8.07,133,14.32,93,10.01,78,8.4,71,7.64,107,11.52,19,2.05,16,1.72,8,0.86,23,2.48,12,1.29,17,1.83,19,2.05,14,1.51,08015
8,16,1428,145,10.15,212,14.85,101,7.07,190,13.31,140,9.8,117,8.19,99,6.93,158,11.06,42,2.94,41,2.87,28,1.96,43,3.01,25,1.75,23,1.61,34,2.38,30,2.1,08016
8,17,1074,109,10.15,162,15.08,83,7.73,144,13.41,105,9.78,96,8.94,81,7.54,133,12.38,28,2.61,20,1.86,22,2.05,27,2.51,14,1.3,9,0.84,23,2.14,18,1.68,08017
8,18,709,74,10.44,110,15.51,54,7.62,99,13.96,73,10.3,59,8.32,58,8.18,78,11.0,10,1.41,12,1.69,13,1.83,14,1.97,11,1.55,13,1.83,18,2.54,13,1.83,08018
8,19,1701,184,10.82,229,13.46,122,7.17,233,13.7,182,10.7,144,8.47,119,7.0,190,11.17,43,2.53,43,2.53,35,2.06,48,2.82,24,1.41,27,1.59,39,2.29,39,2.29,08019
8,20,874,91,10.41,142,16.25,70,8.01,123,14.07,86,9.84,74,8.47,71,8.12,98,11.21,19,2.17,13,1.49,20,2.29,15,1.72,16,1.83,9,1.03,12,1.37,15,1.72,08020
8,21,1011,112,11.08,157,15.53,92,9.1,143,14.14,101,9.99,93,9.2,87,8.61,115,11.37,24,2.37,19,1.88,11,1.09,16,1.58,5,0.49,10,0.99,12,1.19,14,1.38,08021
8,22,1004,108,10.76,165,16.43,78,7.77,137,13.65,103,10.26,87,8.67,74,7.37,115,11.45,17,1.69,21,2.09,15,1.49,24,2.39,17,1.69,17,1.69,13,1.29,13,1.29,08022
