ward,precinct,total,TONY V. LU (BRADLEY),TONY V. LU (BRADLEY) Percent,CAROL RONEN (BRADLEY),CAROL RONEN (BRADLEY) Percent,JEFF SCHOENBERG (BRADLEY),JEFF SCHOENBERG (BRADLEY) Percent,BARBARA HILLMAN (BRADLEY),BARBARA HILLMAN (BRADLEY) Percent,JAMES B. BURNS (BRADLEY),JAMES B. BURNS (BRADLEY) Percent,HELEN SHILLER (BRADLEY),HELEN SHILLER (BRADLEY) Percent,HOWARD W. CARROLL (GORE),HOWARD W. CARROLL (GORE) Percent,CHRISTINA (TINA) M. TCHEN (GORE),CHRISTINA (TINA) M. TCHEN (GORE) Percent,THOMAS H. REECE (GORE),THOMAS H. REECE (GORE) Percent,ANTOINETTE M. MALATESTA (GORE),ANTOINETTE M. MALATESTA (GORE) Percent,JOHN F. NORWOOD (GORE),JOHN F. NORWOOD (GORE) Percent,SYLVIA M. PUENTE (GORE),SYLVIA M. PUENTE (GORE) Percent,DANIELLE ALEXANDER (LaROUCHE),DANIELLE ALEXANDER (LaROUCHE) Percent,DIANNE BETTAG (LaROUCHE),DIANNE BETTAG (LaROUCHE) Percent,PATRICK HOLZER (LaROUCHE),PATRICK HOLZER (LaROUCHE) Percent,GENE SCHENK (LaROUCHE),GENE SCHENK (LaROUCHE) Percent,SUSAN WAKEFIELD (LaROUCHE),SUSAN WAKEFIELD (LaROUCHE) Percent,VERN SHIPLEY (LaROUCHE),VERN SHIPLEY (LaROUCHE) Percent,precinct_id
41,10,547,30,5.48,33,6.03,32,5.85,30,5.48,28,5.12,23,4.2,71,12.98,45,8.23,47,8.59,65,11.88,47,8.59,44,8.04,4,0.73,5,0.91,16,2.93,8,1.46,8,1.46,11,2.01,41010
41,11,420,16,3.81,24,5.71,17,4.05,19,4.52,19,4.52,22,5.24,47,11.19,43,10.24,32,7.62,57,13.57,36,8.57,33,7.86,7,1.67,7,1.67,10,2.38,9,2.14,16,3.81,6,1.43,41011
41,12,522,21,4.02,25,4.79,16,3.07,25,4.79,18,3.45,20,3.83,57,10.92,59,11.3,42,8.05,82,15.71,45,8.62,45,8.62,11,2.11,8,1.53,14,2.68,6,1.15,17,3.26,11,2.11,41012
41,14,750,32,4.27,43,5.73,38,5.07,38,5.07,40,5.33,43,5.73,89,11.87,71,9.47,64,8.53,75,10.0,62,8.27,68,9.07,14,1.87,16,2.13,13,1.73,8,1.07,21,2.8,15,2.0,41014
41,15,305,13,4.26,18,5.9,15,4.92,14,4.59,14,4.59,19,6.23,31,10.16,33,10.82,25,8.2,35,11.48,30,9.84,24,7.87,6,1.97,2,0.66,9,2.95,5,1.64,8,2.62,4,1.31,41015
41,16,560,19,3.39,21,3.75,18,3.21,20,3.57,19,3.39,22,3.93,64,11.43,64,11.43,63,11.25,71,12.68,64,11.43,55,9.82,8,1.43,9,1.61,13,2.32,8,1.43,15,2.68,7,1.25,41016
41,17,560,24,4.29,34,6.07,23,4.11,30,5.36,24,4.29,35,6.25,55,9.82,57,10.18,42,7.5,68,12.14,48,8.57,46,8.21,10,1.79,16,2.86,15,2.68,9,1.61,18,3.21,6,1.07,41017
41,18,470,19,4.04,23,4.89,23,4.89,19,4.04,20,4.26,18,3.83,54,11.49,52,11.06,40,8.51,56,11.91,44,9.36,39,8.3,11,2.34,7,1.49,9,1.91,9,1.91,16,3.4,11,2.34,41018
41,19,630,22,3.49,33,5.24,25,3.97,29,4.6,29,4.6,35,5.56,69,10.95,72,11.43,65,10.32,73,11.59,63,10.0,63,10.0,12,1.9,7,1.11,10,1.59,5,0.79,14,2.22,4,0.63,41019
41,20,636,17,2.67,30,4.72,27,4.25,29,4.56,35,5.5,36,5.66,70,11.01,70,11.01,51,8.02,75,11.79,50,7.86,53,8.33,12,1.89,12,1.89,21,3.3,16,2.52,23,3.62,9,1.42,41020
41,21,414,23,5.56,22,5.31,20,4.83,27,6.52,20,4.83,23,5.56,35,8.45,35,8.45,31,7.49,43,10.39,34,8.21,38,9.18,9,2.17,7,1.69,12,2.9,9,2.17,16,3.86,10,2.42,41021
41,22,547,21,3.84,28,5.12,24,4.39,21,3.84,31,5.67,25,4.57,69,12.61,57,10.42,51,9.32,65,11.88,54,9.87,49,8.96,7,1.28,9,1.65,10,1.83,7,1.28,11,2.01,8,1.46,41022
41,23,447,21,4.7,26,5.82,19,4.25,22,4.92,17,3.8,24,5.37,52,11.63,48,10.74,38,8.5,47,10.51,42,9.4,43,9.62,10,2.24,5,1.12,7,1.57,8,1.79,9,2.01,9,2.01,41023
41,24,474,18,3.8,27,5.7,20,4.22,19,4.01,22,4.64,18,3.8,46,9.7,46,9.7,43,9.07,73,15.4,46,9.7,46,9.7,11,2.32,5,1.05,7,1.48,5,1.05,15,3.16,7,1.48,41024
41,30,469,17,3.62,16,3.41,17,3.62,19,4.05,16,3.41,20,4.26,54,11.51,56,11.94,49,10.45,59,12.58,54,11.51,52,11.09,5,1.07,4,0.85,9,1.92,8,1.71,6,1.28,8,1.71,41030
41,31,565,21,3.72,25,4.42,21,3.72,21,3.72,17,3.01,16,2.83,63,11.15,61,10.8,56,9.91,76,13.45,62,10.97,57,10.09,9,1.59,8,1.42,17,3.01,11,1.95,12,2.12,12,2.12,41031
41,34,411,10,2.43,26,6.33,17,4.14,22,5.35,14,3.41,16,3.89,47,11.44,45,10.95,40,9.73,46,11.19,39,9.49,40,9.73,4,0.97,11,2.68,8,1.95,7,1.7,15,3.65,4,0.97,41034
41,35,438,13,2.97,24,5.48,20,4.57,16,3.65,18,4.11,16,3.65,54,12.33,44,10.05,40,9.13,57,13.01,44,10.05,44,10.05,9,2.05,4,0.91,12,2.74,8,1.83,10,2.28,5,1.14,41035
41,36,536,27,5.04,29,5.41,26,4.85,22,4.1,23,4.29,26,4.85,57,10.63,58,10.82,50,9.33,61,11.38,56,10.45,51,9.51,8,1.49,3,0.56,8,1.49,8,1.49,15,2.8,8,1.49,41036
41,37,574,32,5.57,36,6.27,33,5.75,37,6.45,31,5.4,38,6.62,57,9.93,51,8.89,48,8.36,67,11.67,48,8.36,51,8.89,6,1.05,8,1.39,7,1.22,10,1.74,10,1.74,4,0.7,41037
41,39,525,26,4.95,30,5.71,29,5.52,22,4.19,33,6.29,24,4.57,55,10.48,48,9.14,40,7.62,59,11.24,47,8.95,41,7.81,13,2.48,8,1.52,18,3.43,8,1.52,13,2.48,11,2.1,41039
41,40,411,14,3.41,24,5.84,18,4.38,20,4.87,18,4.38,20,4.87,44,10.71,45,10.95,35,8.52,47,11.44,36,8.76,34,8.27,8,1.95,8,1.95,12,2.92,10,2.43,11,2.68,7,1.7,41040
41,41,514,26,5.06,28,5.45,26,5.06,29,5.64,22,4.28,28,5.45,48,9.34,49,9.53,44,8.56,68,13.23,40,7.78,39,7.59,10,1.95,9,1.75,12,2.33,8,1.56,18,3.5,10,1.95,41041
41,42,534,20,3.75,30,5.62,18,3.37,23,4.31,26,4.87,25,4.68,63,11.8,56,10.49,50,9.36,64,11.99,49,9.18,50,9.36,11,2.06,9,1.69,13,2.43,5,0.94,10,1.87,12,2.25,41042
41,43,432,10,2.31,15,3.47,12,2.78,20,4.63,8,1.85,15,3.47,53,12.27,54,12.5,47,10.88,57,13.19,46,10.65,50,11.57,8,1.85,9,2.08,8,1.85,5,1.16,11,2.55,4,0.93,41043
41,44,539,14,2.6,25,4.64,16,2.97,21,3.9,23,4.27,22,4.08,61,11.32,55,10.2,51,9.46,72,13.36,55,10.2,56,10.39,12,2.23,8,1.48,16,2.97,8,1.48,14,2.6,10,1.86,41044
41,45,418,15,3.59,13,3.11,14,3.35,18,4.31,14,3.35,14,3.35,48,11.48,49,11.72,42,10.05,63,15.07,37,8.85,39,9.33,11,2.63,8,1.91,13,3.11,5,1.2,7,1.67,8,1.91,41045
41,46,417,18,4.32,22,5.28,16,3.84,21,5.04,22,5.28,22,5.28,43,10.31,45,10.79,41,9.83,51,12.23,43,10.31,38,9.11,4,0.96,5,1.2,7,1.68,5,1.2,10,2.4,4,0.96,41046
41,47,630,26,4.13,31,4.92,36,5.71,33,5.24,41,6.51,37,5.87,70,11.11,64,10.16,60,9.52,70,11.11,59,9.37,57,9.05,7,1.11,9,1.43,8,1.27,3,0.48,11,1.75,8,1.27,41047
41,49,501,29,5.79,36,7.19,30,5.99,31,6.19,33,6.59,32,6.39,53,10.58,48,9.58,39,7.78,48,9.58,39,7.78,38,7.58,10,2.0,6,1.2,5,1.0,9,1.8,9,1.8,6,1.2,41049
41,50,515,16,3.11,23,4.47,19,3.69,20,3.88,17,3.3,16,3.11,64,12.43,64,12.43,57,11.07,66,12.82,54,10.49,50,9.71,7,1.36,7,1.36,11,2.14,7,1.36,11,2.14,6,1.17,41050
41,51,288,14,4.86,20,6.94,14,4.86,20,6.94,19,6.6,17,5.9,26,9.03,26,9.03,24,8.33,24,8.33,21,7.29,25,8.68,6,2.08,9,3.13,5,1.74,5,1.74,7,2.43,6,2.08,41051
41,52,607,34,5.6,42,6.92,32,5.27,37,6.1,37,6.1,36,5.93,60,9.88,52,8.57,61,10.05,69,11.37,50,8.24,50,8.24,3,0.49,8,1.32,10,1.65,4,0.66,18,2.97,4,0.66,41052
41,53,486,19,3.91,24,4.94,24,4.94,21,4.32,18,3.7,25,5.14,56,11.52,49,10.08,41,8.44,62,12.76,45,9.26,43,8.85,9,1.85,12,2.47,9,1.85,10,2.06,8,1.65,11,2.26,41053
41,54,546,28,5.13,39,7.14,30,5.49,33,6.04,38,6.96,36,6.59,57,10.44,46,8.42,46,8.42,49,8.97,50,9.16,42,7.69,9,1.65,5,0.92,11,2.01,8,1.47,11,2.01,8,1.47,41054
41,56,572,28,4.9,36,6.29,28,4.9,34,5.94,31,5.42,38,6.64,55,9.62,51,8.92,52,9.09,65,11.36,50,8.74,51,8.92,7,1.22,10,1.75,10,1.75,7,1.22,10,1.75,9,1.57,41056
41,57,487,19,3.9,27,5.54,20,4.11,22,4.52,20,4.11,18,3.7,58,11.91,58,11.91,44,9.03,76,15.61,47,9.65,48,9.86,6,1.23,4,0.82,4,0.82,4,0.82,9,1.85,3,0.62,41057
41,58,354,14,3.95,19,5.37,18,5.08,14,3.95,18,5.08,20,5.65,43,12.15,37,10.45,34,9.6,43,12.15,32,9.04,30,8.47,4,1.13,8,2.26,5,1.41,6,1.69,6,1.69,3,0.85,41058
41,59,438,17,3.88,25,5.71,16,3.65,17,3.88,24,5.48,22,5.02,54,12.33,43,9.82,41,9.36,49,11.19,41,9.36,42,9.59,6,1.37,6,1.37,5,1.14,10,2.28,9,2.05,11,2.51,41059
41,60,371,18,4.85,23,6.2,19,5.12,20,5.39,21,5.66,23,6.2,31,8.36,32,8.63,29,7.82,51,13.75,38,10.24,34,9.16,2,0.54,4,1.08,7,1.89,4,1.08,8,2.16,7,1.89,41060
41,61,731,31,4.24,38,5.2,35,4.79,35,4.79,37,5.06,45,6.16,78,10.67,67,9.17,69,9.44,87,11.9,70,9.58,69,9.44,12,1.64,12,1.64,12,1.64,7,0.96,19,2.6,8,1.09,41061
41,62,437,11,2.52,22,5.03,13,2.97,22,5.03,18,4.12,19,4.35,45,10.3,45,10.3,37,8.47,51,11.67,40,9.15,43,9.84,5,1.14,12,2.75,14,3.2,7,1.6,21,4.81,12,2.75,41062
41,63,416,14,3.37,17,4.09,15,3.61,16,3.85,14,3.37,15,3.61,46,11.06,40,9.62,38,9.13,47,11.3,45,10.82,41,9.86,11,2.64,11,2.64,12,2.88,9,2.16,15,3.61,10,2.4,41063
41,64,574,26,4.53,40,6.97,31,5.4,36,6.27,37,6.45,38,6.62,60,10.45,52,9.06,44,7.67,64,11.15,49,8.54,38,6.62,13,2.26,10,1.74,8,1.39,7,1.22,12,2.09,9,1.57,41064
41,65,418,8,1.91,18,4.31,16,3.83,19,4.55,19,4.55,15,3.59,48,11.48,43,10.29,44,10.53,48,11.48,46,11.0,38,9.09,6,1.44,5,1.2,17,4.07,5,1.2,14,3.35,9,2.15,41065
41,66,623,37,5.94,52,8.35,34,5.46,45,7.22,35,5.62,41,6.58,72,11.56,49,7.87,45,7.22,55,8.83,45,7.22,49,7.87,6,0.96,11,1.77,11,1.77,6,0.96,17,2.73,13,2.09,41066
44,1,683,25,3.66,40,5.86,33,4.83,34,4.98,22,3.22,41,6.0,76,11.13,80,11.71,69,10.1,79,11.57,72,10.54,73,10.69,8,1.17,9,1.32,5,0.73,2,0.29,11,1.61,4,0.59,44001
44,2,385,9,2.34,17,4.42,12,3.12,13,3.38,11,2.86,15,3.9,53,13.77,53,13.77,49,12.73,53,13.77,43,11.17,46,11.95,0,0.0,2,0.52,2,0.52,3,0.78,2,0.52,2,0.52,44002
44,3,618,20,3.24,32,5.18,32,5.18,30,4.85,19,3.07,34,5.5,79,12.78,71,11.49,67,10.84,67,10.84,67,10.84,66,10.68,6,0.97,1,0.16,7,1.13,6,0.97,10,1.62,4,0.65,44003
44,4,888,23,2.59,31,3.49,34,3.83,42,4.73,21,2.36,39,4.39,123,13.85,112,12.61,106,11.94,106,11.94,102,11.49,100,11.26,6,0.68,6,0.68,12,1.35,7,0.79,14,1.58,4,0.45,44004
44,5,445,14,3.15,16,3.6,17,3.82,16,3.6,17,3.82,20,4.49,55,12.36,56,12.58,53,11.91,51,11.46,51,11.46,53,11.91,3,0.67,4,0.9,5,1.12,3,0.67,7,1.57,4,0.9,44005
44,6,334,12,3.59,17,5.09,12,3.59,15,4.49,11,3.29,16,4.79,36,10.78,43,12.87,40,11.98,44,13.17,39,11.68,41,12.28,3,0.9,0,0.0,1,0.3,3,0.9,0,0.0,1,0.3,44006
44,7,672,23,3.42,35,5.21,31,4.61,27,4.02,22,3.27,34,5.06,85,12.65,77,11.46,81,12.05,79,11.76,75,11.16,75,11.16,3,0.45,5,0.74,5,0.74,2,0.3,9,1.34,4,0.6,44007
44,8,644,28,4.35,27,4.19,35,5.43,29,4.5,25,3.88,35,5.43,79,12.27,74,11.49,68,10.56,73,11.34,71,11.02,72,11.18,2,0.31,8,1.24,3,0.47,7,1.09,7,1.09,1,0.16,44008
44,10,742,30,4.04,37,4.99,38,5.12,31,4.18,26,3.5,47,6.33,82,11.05,84,11.32,78,10.51,81,10.92,76,10.24,85,11.46,6,0.81,4,0.54,11,1.48,9,1.21,10,1.35,7,0.94,44010
44,12,381,7,1.84,12,3.15,8,2.1,7,1.84,3,0.79,19,4.99,55,14.44,56,14.7,52,13.65,54,14.17,49,12.86,48,12.6,2,0.52,2,0.52,2,0.52,1,0.26,3,0.79,1,0.26,44012
44,15,460,24,5.22,22,4.78,26,5.65,26,5.65,22,4.78,26,5.65,51,11.09,54,11.74,48,10.43,49,10.65,50,10.87,44,9.57,4,0.87,2,0.43,4,0.87,3,0.65,2,0.43,3,0.65,44015
