ward,precinct,total,CYNTHIA M. SANTOS (GORE),CYNTHIA M. SANTOS (GORE) Percent,MICHAEL BAUER (GORE),MICHAEL BAUER (GORE) Percent,GERALDINE M. MCPARTLIN (GORE),GERALDINE M. MCPARTLIN (GORE) Percent,JESSE H. RUIZ (GORE),JESSE H. RUIZ (GORE) Percent,MARY ANN LEVAR (GORE),MARY ANN LEVAR (GORE) Percent,JUDY ERWIN (BRADLEY),JUDY ERWIN (BRADLEY) Percent,JAMES E. GONZALES (BRADLEY),JAMES E. GONZALES (BRADLEY) Percent,LINDA J. TURNEY (BRADLEY),LINDA J. TURNEY (BRADLEY) Percent,MARTIN J. OBERMAN (BRADLEY),MARTIN J. OBERMAN (BRADLEY) Percent,ELLEN MEYERS (BRADLEY),ELLEN MEYERS (BRADLEY) Percent,MARSHA BOWEN (LaROUCHE),MARSHA BOWEN (LaROUCHE) Percent,DONALD CLARK (LaROUCHE),DONALD CLARK (LaROUCHE) Percent,SYLVIA ROSAS (LaROUCHE),SYLVIA ROSAS (LaROUCHE) Percent,GARY GENAZZIO (LaROUCHE),GARY GENAZZIO (LaROUCHE) Percent,MINDY PECHENUK (LaROUCHE),MINDY PECHENUK (LaROUCHE) Percent,precinct_id
30,6,458,81,17.69,57,12.45,55,12.01,46,10.04,64,13.97,32,6.99,22,4.8,20,4.37,29,6.33,20,4.37,7,1.53,6,1.31,8,1.75,2,0.44,9,1.97,30006
30,7,468,81,17.31,60,12.82,56,11.97,56,11.97,62,13.25,18,3.85,15,3.21,19,4.06,22,4.7,18,3.85,9,1.92,13,2.78,15,3.21,7,1.5,17,3.63,30007
30,8,462,92,19.91,50,10.82,48,10.39,55,11.9,63,13.64,17,3.68,23,4.98,22,4.76,20,4.33,17,3.68,4,0.87,11,2.38,15,3.25,10,2.16,15,3.25,30008
30,9,822,170,20.68,111,13.5,110,13.38,115,13.99,129,15.69,19,2.31,26,3.16,22,2.68,24,2.92,17,2.07,13,1.58,16,1.95,26,3.16,9,1.09,15,1.82,30009
30,10,441,110,24.94,60,13.61,57,12.93,53,12.02,61,13.83,11,2.49,12,2.72,11,2.49,10,2.27,12,2.72,7,1.59,8,1.81,17,3.85,3,0.68,9,2.04,30010
30,11,437,98,22.43,55,12.59,53,12.13,51,11.67,64,14.65,20,4.58,19,4.35,18,4.12,15,3.43,12,2.75,5,1.14,4,0.92,10,2.29,3,0.69,10,2.29,30011
30,12,470,68,14.47,59,12.55,57,12.13,51,10.85,52,11.06,27,5.74,24,5.11,23,4.89,30,6.38,26,5.53,10,2.13,12,2.55,12,2.55,6,1.28,13,2.77,30012
30,13,315,46,14.6,33,10.48,37,11.75,29,9.21,30,9.52,28,8.89,16,5.08,19,6.03,27,8.57,23,7.3,7,2.22,3,0.95,5,1.59,5,1.59,7,2.22,30013
30,14,350,74,21.14,44,12.57,41,11.71,47,13.43,50,14.29,11,3.14,17,4.86,16,4.57,10,2.86,9,2.57,5,1.43,5,1.43,12,3.43,3,0.86,6,1.71,30014
30,15,542,90,16.61,62,11.44,56,10.33,49,9.04,68,12.55,28,5.17,24,4.43,25,4.61,35,6.46,27,4.98,10,1.85,21,3.87,16,2.95,9,1.66,22,4.06,30015
30,16,285,61,21.4,42,14.74,33,11.58,33,11.58,40,14.04,15,5.26,14,4.91,9,3.16,10,3.51,9,3.16,3,1.05,3,1.05,4,1.4,0,0.0,9,3.16,30016
30,18,434,99,22.81,55,12.67,49,11.29,56,12.9,56,12.9,15,3.46,18,4.15,11,2.53,13,3.0,11,2.53,3,0.69,8,1.84,20,4.61,3,0.69,17,3.92,30018
30,19,448,92,20.54,58,12.95,53,11.83,58,12.95,55,12.28,16,3.57,27,6.03,16,3.57,18,4.02,10,2.23,6,1.34,9,2.01,16,3.57,7,1.56,7,1.56,30019
30,21,116,31,26.72,12,10.34,11,9.48,15,12.93,11,9.48,3,2.59,9,7.76,2,1.72,4,3.45,2,1.72,3,2.59,1,0.86,5,4.31,1,0.86,6,5.17,30021
30,22,529,89,16.82,67,12.67,70,13.23,64,12.1,68,12.85,33,6.24,21,3.97,28,5.29,24,4.54,27,5.1,7,1.32,6,1.13,11,2.08,3,0.57,11,2.08,30022
30,23,135,29,21.48,14,10.37,13,9.63,15,11.11,17,12.59,9,6.67,6,4.44,2,1.48,8,5.93,4,2.96,2,1.48,1,0.74,9,6.67,1,0.74,5,3.7,30023
30,24,187,42,22.46,25,13.37,22,11.76,19,10.16,22,11.76,5,2.67,5,2.67,9,4.81,6,3.21,5,2.67,1,0.53,5,2.67,8,4.28,5,2.67,8,4.28,30024
30,25,342,87,25.44,37,10.82,33,9.65,40,11.7,43,12.57,14,4.09,14,4.09,11,3.22,13,3.8,5,1.46,7,2.05,5,1.46,11,3.22,5,1.46,17,4.97,30025
30,26,448,106,23.66,50,11.16,50,11.16,62,13.84,63,14.06,12,2.68,23,5.13,12,2.68,13,2.9,11,2.46,6,1.34,5,1.12,17,3.79,2,0.45,16,3.57,30026
30,27,471,95,20.17,60,12.74,56,11.89,57,12.1,63,13.38,24,5.1,19,4.03,18,3.82,16,3.4,12,2.55,9,1.91,9,1.91,15,3.18,2,0.42,16,3.4,30027
30,28,363,62,17.08,44,12.12,41,11.29,45,12.4,54,14.88,15,4.13,18,4.96,17,4.68,18,4.96,17,4.68,7,1.93,4,1.1,8,2.2,5,1.38,8,2.2,30028
30,29,523,91,17.4,57,10.9,53,10.13,47,8.99,76,14.53,33,6.31,26,4.97,27,5.16,35,6.69,27,5.16,9,1.72,10,1.91,13,2.49,8,1.53,11,2.1,30029
30,30,432,100,23.15,56,12.96,54,12.5,61,14.12,67,15.51,11,2.55,15,3.47,14,3.24,13,3.01,12,2.78,6,1.39,5,1.16,9,2.08,2,0.46,7,1.62,30030
30,31,398,84,21.11,55,13.82,50,12.56,46,11.56,59,14.82,13,3.27,14,3.52,15,3.77,15,3.77,11,2.76,3,0.75,9,2.26,12,3.02,3,0.75,9,2.26,30031
30,32,510,69,13.53,55,10.78,54,10.59,47,9.22,58,11.37,42,8.24,30,5.88,29,5.69,41,8.04,35,6.86,10,1.96,9,1.76,13,2.55,5,0.98,13,2.55,30032
30,33,260,65,25.0,29,11.15,30,11.54,31,11.92,33,12.69,5,1.92,10,3.85,9,3.46,8,3.08,6,2.31,7,2.69,2,0.77,13,5.0,2,0.77,10,3.85,30033
30,34,793,164,20.68,110,13.87,102,12.86,115,14.5,107,13.49,26,3.28,37,4.67,27,3.4,23,2.9,19,2.4,8,1.01,6,0.76,28,3.53,4,0.5,17,2.14,30034
30,35,307,67,21.82,40,13.03,40,13.03,38,12.38,39,12.7,11,3.58,10,3.26,11,3.58,14,4.56,9,2.93,3,0.98,4,1.3,8,2.61,6,1.95,7,2.28,30035
30,36,214,41,19.16,26,12.15,28,13.08,24,11.21,25,11.68,8,3.74,11,5.14,6,2.8,10,4.67,5,2.34,4,1.87,5,2.34,12,5.61,2,0.93,7,3.27,30036
30,37,394,84,21.32,49,12.44,39,9.9,44,11.17,54,13.71,13,3.3,15,3.81,11,2.79,12,3.05,11,2.79,12,3.05,6,1.52,18,4.57,11,2.79,15,3.81,30037
30,38,483,102,21.12,70,14.49,62,12.84,70,14.49,71,14.7,13,2.69,13,2.69,18,3.73,14,2.9,12,2.48,1,0.21,5,1.04,16,3.31,5,1.04,11,2.28,30038
30,39,428,92,21.5,51,11.92,54,12.62,48,11.21,60,14.02,10,2.34,23,5.37,12,2.8,25,5.84,12,2.8,3,0.7,8,1.87,12,2.8,5,1.17,13,3.04,30039
30,40,355,69,19.44,46,12.96,42,11.83,44,12.39,49,13.8,18,5.07,13,3.66,16,4.51,10,2.82,12,3.38,9,2.54,8,2.25,8,2.25,2,0.56,9,2.54,30040
30,41,156,43,27.56,19,12.18,21,13.46,20,12.82,23,14.74,1,0.64,4,2.56,1,0.64,3,1.92,0,0.0,3,1.92,4,2.56,5,3.21,2,1.28,7,4.49,30041
30,42,478,107,22.38,64,13.39,60,12.55,65,13.6,70,14.64,12,2.51,20,4.18,13,2.72,12,2.51,9,1.88,6,1.26,4,0.84,17,3.56,7,1.46,12,2.51,30042
30,43,329,67,20.36,40,12.16,38,11.55,43,13.07,44,13.37,6,1.82,13,3.95,13,3.95,17,5.17,10,3.04,6,1.82,6,1.82,10,3.04,2,0.61,14,4.26,30043
30,44,628,102,16.24,75,11.94,75,11.94,65,10.35,88,14.01,32,5.1,27,4.3,39,6.21,35,5.57,30,4.78,10,1.59,13,2.07,14,2.23,4,0.64,19,3.03,30044
30,45,270,63,23.33,36,13.33,33,12.22,40,14.81,41,15.19,3,1.11,13,4.81,9,3.33,5,1.85,3,1.11,1,0.37,2,0.74,11,4.07,3,1.11,7,2.59,30045
31,6,93,20,21.51,8,8.6,9,9.68,9,9.68,15,16.13,2,2.15,4,4.3,3,3.23,8,8.6,4,4.3,2,2.15,4,4.3,2,2.15,1,1.08,2,2.15,31006
31,18,60,11,18.33,6,10.0,7,11.67,7,11.67,8,13.33,5,8.33,4,6.67,4,6.67,3,5.0,3,5.0,0,0.0,0,0.0,1,1.67,0,0.0,1,1.67,31018
31,31,287,56,19.51,34,11.85,34,11.85,35,12.2,37,12.89,11,3.83,17,5.92,11,3.83,15,5.23,7,2.44,4,1.39,4,1.39,12,4.18,4,1.39,6,2.09,31031
31,32,206,35,16.99,21,10.19,20,9.71,25,12.14,25,12.14,9,4.37,19,9.22,9,4.37,8,3.88,5,2.43,3,1.46,7,3.4,11,5.34,3,1.46,6,2.91,31032
32,7,210,37,17.62,27,12.86,28,13.33,27,12.86,28,13.33,9,4.29,12,5.71,10,4.76,7,3.33,4,1.9,5,2.38,2,0.95,6,2.86,4,1.9,4,1.9,32007
32,8,317,46,14.51,34,10.73,34,10.73,38,11.99,36,11.36,24,7.57,17,5.36,18,5.68,27,8.52,20,6.31,6,1.89,2,0.63,6,1.89,3,0.95,6,1.89,32008
32,9,584,85,14.55,80,13.7,73,12.5,72,12.33,75,12.84,37,6.34,27,4.62,26,4.45,41,7.02,30,5.14,2,0.34,9,1.54,11,1.88,6,1.03,10,1.71,32009
32,10,180,26,14.44,17,9.44,16,8.89,18,10.0,18,10.0,16,8.89,12,6.67,16,8.89,16,8.89,14,7.78,2,1.11,1,0.56,3,1.67,1,0.56,4,2.22,32010
32,13,276,46,16.67,36,13.04,38,13.77,39,14.13,37,13.41,16,5.8,14,5.07,12,4.35,11,3.99,8,2.9,4,1.45,3,1.09,5,1.81,2,0.72,5,1.81,32013
32,15,277,43,15.52,29,10.47,32,11.55,27,9.75,32,11.55,19,6.86,13,4.69,21,7.58,16,5.78,14,5.05,5,1.81,5,1.81,14,5.05,3,1.08,4,1.44,32015
32,18,259,33,12.74,35,13.51,31,11.97,29,11.2,37,14.29,17,6.56,15,5.79,12,4.63,18,6.95,17,6.56,1,0.39,1,0.39,3,1.16,1,0.39,9,3.47,32018
32,19,738,112,15.18,78,10.57,86,11.65,74,10.03,87,11.79,42,5.69,38,5.15,34,4.61,50,6.78,43,5.83,12,1.63,23,3.12,24,3.25,16,2.17,19,2.57,32019
32,21,446,59,13.23,48,10.76,45,10.09,47,10.54,51,11.43,30,6.73,29,6.5,34,7.62,34,7.62,30,6.73,7,1.57,7,1.57,11,2.47,4,0.9,10,2.24,32021
32,22,383,57,14.88,46,12.01,38,9.92,37,9.66,47,12.27,29,7.57,26,6.79,23,6.01,30,7.83,25,6.53,4,1.04,6,1.57,7,1.83,2,0.52,6,1.57,32022
32,23,333,49,14.71,40,12.01,36,10.81,46,13.81,41,12.31,24,7.21,17,5.11,15,4.5,19,5.71,15,4.5,7,2.1,6,1.8,7,2.1,3,0.9,8,2.4,32023
32,25,322,50,15.53,32,9.94,33,10.25,36,11.18,39,12.11,27,8.39,22,6.83,15,4.66,22,6.83,12,3.73,6,1.86,10,3.11,8,2.48,3,0.93,7,2.17,32025
32,27,244,40,16.39,38,15.57,33,13.52,37,15.16,35,14.34,13,5.33,8,3.28,10,4.1,9,3.69,7,2.87,3,1.23,2,0.82,3,1.23,3,1.23,3,1.23,32027
32,32,337,49,14.54,49,14.54,44,13.06,42,12.46,42,12.46,20,5.93,16,4.75,15,4.45,22,6.53,15,4.45,3,0.89,6,1.78,4,1.19,3,0.89,7,2.08,32032
32,37,259,40,15.44,33,12.74,25,9.65,28,10.81,31,11.97,17,6.56,16,6.18,16,6.18,20,7.72,8,3.09,7,2.7,4,1.54,9,3.47,1,0.39,4,1.54,32037
32,38,499,72,14.43,57,11.42,59,11.82,62,12.42,58,11.62,34,6.81,28,5.61,35,7.01,28,5.61,29,5.81,10,2.0,4,0.8,8,1.6,5,1.0,10,2.0,32038
32,39,360,52,14.44,44,12.22,42,11.67,41,11.39,45,12.5,29,8.06,16,4.44,22,6.11,30,8.33,14,3.89,7,1.94,1,0.28,7,1.94,6,1.67,4,1.11,32039
32,40,276,42,15.22,34,12.32,32,11.59,34,12.32,33,11.96,16,5.8,15,5.43,18,6.52,13,4.71,13,4.71,5,1.81,2,0.72,9,3.26,5,1.81,5,1.81,32040
32,41,384,68,17.71,48,12.5,41,10.68,46,11.98,52,13.54,25,6.51,19,4.95,17,4.43,19,4.95,12,3.13,6,1.56,11,2.86,9,2.34,4,1.04,7,1.82,32041
32,42,501,80,15.97,55,10.98,52,10.38,54,10.78,61,12.18,29,5.79,30,5.99,34,6.79,27,5.39,22,4.39,7,1.4,9,1.8,20,3.99,10,2.0,11,2.2,32042
32,43,304,45,14.8,36,11.84,44,14.47,35,11.51,38,12.5,22,7.24,17,5.59,14,4.61,21,6.91,15,4.93,2,0.66,5,1.64,6,1.97,1,0.33,3,0.99,32043
32,44,323,47,14.55,37,11.46,40,12.38,35,10.84,46,14.24,20,6.19,10,3.1,22,6.81,21,6.5,19,5.88,7,2.17,7,2.17,2,0.62,2,0.62,8,2.48,32044
32,46,60,8,13.33,12,20.0,8,13.33,9,15.0,11,18.33,1,1.67,2,3.33,0,0.0,1,1.67,2,3.33,1,1.67,2,3.33,2,3.33,0,0.0,1,1.67,32046
32,48,307,41,13.36,37,12.05,34,11.07,36,11.73,36,11.73,28,9.12,18,5.86,16,5.21,26,8.47,19,6.19,2,0.65,4,1.3,3,0.98,3,0.98,4,1.3,32048
33,1,292,46,15.75,30,10.27,29,9.93,30,10.27,39,13.36,15,5.14,10,3.42,14,4.79,16,5.48,8,2.74,4,1.37,11,3.77,13,4.45,6,2.05,21,7.19,33001
33,5,280,65,23.21,28,10.0,29,10.36,31,11.07,43,15.36,5,1.79,10,3.57,7,2.5,9,3.21,10,3.57,8,2.86,6,2.14,15,5.36,3,1.07,11,3.93,33005
33,6,70,13,18.57,12,17.14,13,18.57,12,17.14,14,20.0,0,0.0,1,1.43,0,0.0,1,1.43,0,0.0,0,0.0,1,1.43,0,0.0,2,2.86,1,1.43,33006
33,7,822,121,14.72,104,12.65,104,12.65,94,11.44,122,14.84,46,5.6,39,4.74,47,5.72,48,5.84,44,5.35,12,1.46,8,0.97,14,1.7,7,0.85,12,1.46,33007
33,8,504,76,15.08,65,12.9,57,11.31,50,9.92,65,12.9,30,5.95,24,4.76,29,5.75,38,7.54,30,5.95,10,1.98,7,1.39,9,1.79,5,0.99,9,1.79,33008
33,9,533,76,14.26,67,12.57,68,12.76,67,12.57,74,13.88,24,4.5,34,6.38,29,5.44,33,6.19,27,5.07,6,1.13,5,0.94,13,2.44,4,0.75,6,1.13,33009
33,10,530,115,21.7,52,9.81,47,8.87,49,9.25,63,11.89,30,5.66,27,5.09,29,5.47,27,5.09,28,5.28,10,1.89,15,2.83,22,4.15,4,0.75,12,2.26,33010
33,11,585,82,14.02,63,10.77,68,11.62,64,10.94,76,12.99,38,6.5,31,5.3,30,5.13,47,8.03,31,5.3,6,1.03,15,2.56,13,2.22,9,1.54,12,2.05,33011
33,12,592,120,20.27,74,12.5,71,11.99,81,13.68,83,14.02,21,3.55,27,4.56,24,4.05,18,3.04,17,2.87,7,1.18,9,1.52,16,2.7,6,1.01,18,3.04,33012
33,14,143,15,10.49,10,6.99,9,6.29,11,7.69,11,7.69,3,2.1,4,2.8,6,4.2,5,3.5,9,6.29,1,0.7,2,1.4,3,2.1,3,2.1,51,35.66,33014
33,16,510,103,20.2,56,10.98,54,10.59,56,10.98,74,14.51,20,3.92,23,4.51,19,3.73,20,3.92,17,3.33,9,1.76,12,2.35,22,4.31,5,0.98,20,3.92,33016
33,17,500,94,18.8,56,11.2,55,11.0,53,10.6,64,12.8,23,4.6,19,3.8,22,4.4,26,5.2,16,3.2,8,1.6,16,3.2,18,3.6,11,2.2,19,3.8,33017
33,18,227,44,19.38,25,11.01,20,8.81,28,12.33,27,11.89,10,4.41,17,7.49,7,3.08,13,5.73,7,3.08,4,1.76,4,1.76,11,4.85,1,0.44,9,3.96,33018
33,22,607,103,16.97,93,15.32,77,12.69,75,12.36,93,15.32,18,2.97,28,4.61,20,3.29,28,4.61,19,3.13,12,1.98,12,1.98,10,1.65,10,1.65,9,1.48,33022
33,23,674,113,16.77,89,13.2,93,13.8,82,12.17,100,14.84,25,3.71,26,3.86,26,3.86,28,4.15,29,4.3,7,1.04,13,1.93,15,2.23,9,1.34,19,2.82,33023
33,24,626,97,15.5,81,12.94,84,13.42,75,11.98,86,13.74,35,5.59,29,4.63,31,4.95,26,4.15,40,6.39,7,1.12,9,1.44,13,2.08,4,0.64,9,1.44,33024
33,25,902,171,18.96,131,14.52,115,12.75,124,13.75,140,15.52,22,2.44,37,4.1,27,2.99,25,2.77,23,2.55,9,1.0,19,2.11,24,2.66,13,1.44,22,2.44,33025
33,26,11,3,27.27,1,9.09,1,9.09,1,9.09,1,9.09,0,0.0,1,9.09,2,18.18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,9.09,33026
33,27,924,175,18.94,134,14.5,138,14.94,133,14.39,142,15.37,25,2.71,32,3.46,22,2.38,28,3.03,18,1.95,13,1.41,11,1.19,28,3.03,5,0.54,20,2.16,33027
33,28,551,70,12.7,66,11.98,71,12.89,55,9.98,73,13.25,35,6.35,30,5.44,32,5.81,46,8.35,33,5.99,5,0.91,10,1.81,4,0.73,4,0.73,17,3.09,33028
33,29,640,121,18.91,77,12.03,78,12.19,80,12.5,100,15.63,22,3.44,30,4.69,24,3.75,27,4.22,25,3.91,11,1.72,9,1.41,18,2.81,8,1.25,10,1.56,33029
33,30,470,94,20.0,56,11.91,57,12.13,64,13.62,61,12.98,18,3.83,24,5.11,14,2.98,16,3.4,20,4.26,14,2.98,5,1.06,14,2.98,5,1.06,8,1.7,33030
33,32,111,19,17.12,17,15.32,14,12.61,13,11.71,18,16.22,3,2.7,5,4.5,3,2.7,4,3.6,2,1.8,2,1.8,3,2.7,2,1.8,0,0.0,6,5.41,33032
33,36,269,49,18.22,34,12.64,32,11.9,35,13.01,37,13.75,8,2.97,17,6.32,9,3.35,11,4.09,10,3.72,2,0.74,1,0.37,12,4.46,5,1.86,7,2.6,33036
33,37,390,76,19.49,50,12.82,39,10.0,43,11.03,51,13.08,8,2.05,22,5.64,14,3.59,15,3.85,11,2.82,11,2.82,11,2.82,21,5.38,9,2.31,9,2.31,33037
33,38,176,33,18.75,22,12.5,19,10.8,18,10.23,27,15.34,3,1.7,6,3.41,7,3.98,10,5.68,6,3.41,7,3.98,3,1.7,6,3.41,3,1.7,6,3.41,33038
35,6,504,116,23.02,67,13.29,55,10.91,66,13.1,63,12.5,22,4.37,23,4.56,17,3.37,14,2.78,10,1.98,7,1.39,9,1.79,19,3.77,5,0.99,11,2.18,35006
35,11,277,60,21.66,40,14.44,31,11.19,37,13.36,37,13.36,4,1.44,14,5.05,9,3.25,9,3.25,3,1.08,4,1.44,6,2.17,13,4.69,3,1.08,7,2.53,35011
36,1,370,75,20.27,44,11.89,45,12.16,41,11.08,64,17.3,14,3.78,15,4.05,16,4.32,18,4.86,9,2.43,6,1.62,5,1.35,6,1.62,8,2.16,4,1.08,36001
36,2,331,68,20.54,39,11.78,38,11.48,43,12.99,59,17.82,9,2.72,8,2.42,11,3.32,5,1.51,10,3.02,5,1.51,9,2.72,13,3.93,5,1.51,9,2.72,36002
36,3,462,123,26.62,54,11.69,51,11.04,53,11.47,102,22.08,7,1.52,10,2.16,11,2.38,9,1.95,9,1.95,9,1.95,5,1.08,10,2.16,3,0.65,6,1.3,36003
36,5,376,66,17.55,41,10.9,43,11.44,34,9.04,60,15.96,17,4.52,10,2.66,22,5.85,19,5.05,15,3.99,5,1.33,9,2.39,4,1.06,17,4.52,14,3.72,36005
36,6,335,77,22.99,38,11.34,35,10.45,41,12.24,53,15.82,14,4.18,13,3.88,5,1.49,10,2.99,5,1.49,8,2.39,3,0.9,16,4.78,4,1.19,13,3.88,36006
36,7,440,78,17.73,59,13.41,60,13.64,54,12.27,82,18.64,18,4.09,11,2.5,12,2.73,17,3.86,11,2.5,7,1.59,9,2.05,4,0.91,7,1.59,11,2.5,36007
36,8,697,107,15.35,84,12.05,77,11.05,67,9.61,119,17.07,25,3.59,28,4.02,37,5.31,32,4.59,31,4.45,16,2.3,23,3.3,17,2.44,17,2.44,17,2.44,36008
36,9,594,94,15.82,74,12.46,78,13.13,59,9.93,103,17.34,29,4.88,17,2.86,21,3.54,29,4.88,24,4.04,9,1.52,14,2.36,13,2.19,11,1.85,19,3.2,36009
36,10,400,74,18.5,51,12.75,50,12.5,43,10.75,71,17.75,15,3.75,9,2.25,15,3.75,18,4.5,14,3.5,3,0.75,10,2.5,6,1.5,8,2.0,13,3.25,36010
36,11,652,128,19.63,85,13.04,76,11.66,59,9.05,129,19.79,26,3.99,19,2.91,21,3.22,21,3.22,19,2.91,10,1.53,19,2.91,12,1.84,12,1.84,16,2.45,36011
36,12,468,76,16.24,50,10.68,51,10.9,43,9.19,77,16.45,28,5.98,21,4.49,23,4.91,27,5.77,18,3.85,4,0.85,9,1.92,15,3.21,11,2.35,15,3.21,36012
36,13,864,201,23.26,83,9.61,83,9.61,80,9.26,190,21.99,31,3.59,20,2.31,31,3.59,28,3.24,25,2.89,16,1.85,17,1.97,19,2.2,16,1.85,24,2.78,36013
36,14,672,128,19.05,68,10.12,69,10.27,60,8.93,115,17.11,25,3.72,26,3.87,40,5.95,26,3.87,28,4.17,18,2.68,15,2.23,26,3.87,14,2.08,14,2.08,36014
36,15,415,76,18.31,46,11.08,39,9.4,40,9.64,70,16.87,19,4.58,15,3.61,9,2.17,17,4.1,18,4.34,4,0.96,15,3.61,17,4.1,13,3.13,17,4.1,36015
36,17,457,69,15.1,51,11.16,47,10.28,35,7.66,71,15.54,25,5.47,14,3.06,28,6.13,23,5.03,20,4.38,10,2.19,16,3.5,11,2.41,21,4.6,16,3.5,36017
36,18,543,79,14.55,62,11.42,51,9.39,38,7.0,97,17.86,31,5.71,23,4.24,25,4.6,33,6.08,22,4.05,13,2.39,14,2.58,9,1.66,24,4.42,22,4.05,36018
36,19,891,182,20.43,134,15.04,132,14.81,135,15.15,168,18.86,10,1.12,16,1.8,16,1.8,20,2.24,13,1.46,4,0.45,17,1.91,19,2.13,12,1.35,13,1.46,36019
36,20,606,113,18.65,75,12.38,68,11.22,59,9.74,105,17.33,18,2.97,16,2.64,21,3.47,32,5.28,24,3.96,8,1.32,18,2.97,14,2.31,12,1.98,23,3.8,36020
36,21,527,92,17.46,60,11.39,60,11.39,59,11.2,79,14.99,21,3.98,23,4.36,13,2.47,27,5.12,15,2.85,10,1.9,20,3.8,16,3.04,12,2.28,20,3.8,36021
36,22,778,138,17.74,94,12.08,95,12.21,76,9.77,126,16.2,37,4.76,26,3.34,41,5.27,31,3.98,26,3.34,17,2.19,16,2.06,17,2.19,18,2.31,20,2.57,36022
36,25,381,63,16.54,47,12.34,49,12.86,34,8.92,65,17.06,15,3.94,13,3.41,22,5.77,18,4.72,17,4.46,8,2.1,5,1.31,6,1.57,7,1.84,12,3.15,36025
36,27,422,79,18.72,56,13.27,56,13.27,49,11.61,76,18.01,11,2.61,13,3.08,11,2.61,16,3.79,10,2.37,7,1.66,10,2.37,8,1.9,11,2.61,9,2.13,36027
36,28,374,63,16.84,47,12.57,50,13.37,46,12.3,66,17.65,8,2.14,13,3.48,13,3.48,14,3.74,10,2.67,7,1.87,8,2.14,14,3.74,4,1.07,11,2.94,36028
36,29,507,94,18.54,54,10.65,49,9.66,43,8.48,97,19.13,25,4.93,18,3.55,25,4.93,27,5.33,22,4.34,11,2.17,13,2.56,8,1.58,11,2.17,10,1.97,36029
