ward,precinct,total,MIGUEL DEL VALLE (BRADLEY),MIGUEL DEL VALLE (BRADLEY) Percent,SALVADOR C. CERNA (BRADLEY),SALVADOR C. CERNA (BRADLEY) Percent,EMMA LOZANO (BRADLEY),EMMA LOZANO (BRADLEY) Percent,VILMA COLOM (GORE),VILMA COLOM (GORE) Percent,JOSEPH MARIO MORENO (GORE),JOSEPH MARIO MORENO (GORE) Percent,ROSALVA MARTINEZ (GORE),ROSALVA MARTINEZ (GORE) Percent,PATRICK D. THOMPSON (GORE),PATRICK D. THOMPSON (GORE) Percent,precinct_id
12,13,167,15,8.98,9,5.39,11,6.59,28,16.77,34,20.36,30,17.96,27,16.17,12013
12,14,206,47,22.82,7,3.4,21,10.19,28,13.59,33,16.02,28,13.59,21,10.19,12014
12,15,195,45,23.08,9,4.62,22,11.28,19,9.74,38,19.49,26,13.33,14,7.18,12015
12,16,347,43,12.39,14,4.03,22,6.34,50,14.41,84,24.21,62,17.87,49,14.12,12016
12,18,179,23,12.85,5,2.79,9,5.03,30,16.76,33,18.44,35,19.55,31,17.32,12018
12,19,162,27,16.67,8,4.94,9,5.56,27,16.67,29,17.9,28,17.28,21,12.96,12019
12,20,199,48,24.12,11,5.53,12,6.03,33,16.58,40,20.1,24,12.06,18,9.05,12020
12,21,372,52,13.98,17,4.57,24,6.45,53,14.25,96,25.81,53,14.25,54,14.52,12021
12,22,185,40,21.62,11,5.95,22,11.89,28,15.14,24,12.97,30,16.22,17,9.19,12022
12,23,348,75,21.55,16,4.6,33,9.48,39,11.21,58,16.67,54,15.52,37,10.63,12023
12,25,227,39,17.18,8,3.52,18,7.93,25,11.01,62,27.31,31,13.66,28,12.33,12025
12,26,175,37,21.14,12,6.86,12,6.86,27,15.43,31,17.71,20,11.43,15,8.57,12026
12,28,182,30,16.48,6,3.3,10,5.49,20,10.99,49,26.92,31,17.03,17,9.34,12028
12,29,518,61,11.78,26,5.02,40,7.72,73,14.09,107,20.66,72,13.9,94,18.15,12029
12,30,422,53,12.56,24,5.69,37,8.77,55,13.03,88,20.85,56,13.27,63,14.93,12030
14,5,31,4,12.9,1,3.23,1,3.23,6,19.35,6,19.35,6,19.35,6,19.35,14005
14,6,418,31,7.42,14,3.35,25,5.98,77,18.42,90,21.53,82,19.62,79,18.9,14006
14,7,462,34,7.36,19,4.11,14,3.03,82,17.75,109,23.59,82,17.75,96,20.78,14007
14,12,315,21,6.67,8,2.54,14,4.44,63,20.0,70,22.22,65,20.63,60,19.05,14012
14,14,308,30,9.74,13,4.22,17,5.52,59,19.16,62,20.13,56,18.18,52,16.88,14014
14,17,306,20,6.54,9,2.94,10,3.27,60,19.61,72,23.53,65,21.24,60,19.61,14017
14,20,238,24,10.08,8,3.36,15,6.3,44,18.49,48,20.17,43,18.07,45,18.91,14020
14,21,685,51,7.45,14,2.04,19,2.77,145,21.17,148,21.61,148,21.61,134,19.56,14021
14,22,546,37,6.78,16,2.93,26,4.76,107,19.6,117,21.43,105,19.23,115,21.06,14022
14,24,365,38,10.41,8,2.19,27,7.4,60,16.44,72,19.73,66,18.08,66,18.08,14024
14,25,330,39,11.82,13,3.94,29,8.79,58,17.58,53,16.06,57,17.27,54,16.36,14025
14,26,383,33,8.62,16,4.18,22,5.74,74,19.32,85,22.19,67,17.49,70,18.28,14026
14,29,556,47,8.45,20,3.6,25,4.5,113,20.32,115,20.68,106,19.06,101,18.17,14029
14,32,400,43,10.75,22,5.5,26,6.5,70,17.5,76,19.0,72,18.0,66,16.5,14032
14,38,377,39,10.34,18,4.77,26,6.9,67,17.77,74,19.63,66,17.51,67,17.77,14038
14,42,366,31,8.47,11,3.01,20,5.46,70,19.13,75,20.49,70,19.13,71,19.4,14042
14,46,535,42,7.85,22,4.11,21,3.93,101,18.88,115,21.5,106,19.81,104,19.44,14046
15,6,253,27,10.67,14,5.53,19,7.51,37,14.62,47,18.58,44,17.39,47,18.58,15006
15,22,459,31,6.75,19,4.14,29,6.32,77,16.78,84,18.3,85,18.52,110,23.97,15022
15,24,330,35,10.61,17,5.15,19,5.76,57,17.27,53,16.06,57,17.27,67,20.3,15024
15,38,37,2,5.41,0,0.0,1,2.7,5,13.51,8,21.62,8,21.62,9,24.32,15038
16,1,210,34,16.19,13,6.19,12,5.71,28,13.33,37,17.62,39,18.57,28,13.33,16001
16,2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16002
16,11,202,15,7.43,6,2.97,10,4.95,35,17.33,40,19.8,37,18.32,48,23.76,16011
16,13,194,35,18.04,12,6.19,14,7.22,30,15.46,33,17.01,28,14.43,29,14.95,16013
16,21,215,31,14.42,9,4.19,16,7.44,29,13.49,40,18.6,39,18.14,35,16.28,16021
16,23,300,40,13.33,13,4.33,19,6.33,56,18.67,56,18.67,52,17.33,46,15.33,16023
16,32,78,7,8.97,5,6.41,5,6.41,10,12.82,14,17.95,14,17.95,17,21.79,16032
16,41,198,28,14.14,7,3.54,16,8.08,29,14.65,40,20.2,30,15.15,35,17.68,16041
16,42,380,76,20.0,22,5.79,20,5.26,49,12.89,70,18.42,59,15.53,53,13.95,16042
22,2,316,60,18.99,23,7.28,25,7.91,42,13.29,61,19.3,45,14.24,30,9.49,22002
22,3,371,97,26.15,14,3.77,34,9.16,50,13.48,62,16.71,55,14.82,35,9.43,22003
22,4,319,79,24.76,15,4.7,26,8.15,39,12.23,56,17.55,46,14.42,33,10.34,22004
22,5,529,111,20.98,26,4.91,46,8.7,73,13.8,97,18.34,77,14.56,59,11.15,22005
22,6,358,87,24.3,16,4.47,40,11.17,43,12.01,58,16.2,49,13.69,30,8.38,22006
22,9,425,109,25.65,23,5.41,40,9.41,49,11.53,75,17.65,57,13.41,36,8.47,22009
22,10,539,116,21.52,24,4.45,49,9.09,74,13.73,78,14.47,88,16.33,60,11.13,22010
22,11,404,87,21.53,20,4.95,40,9.9,54,13.37,63,15.59,61,15.1,42,10.4,22011
22,13,333,49,14.71,19,5.71,31,9.31,41,12.31,64,19.22,53,15.92,40,12.01,22013
22,14,243,41,16.87,14,5.76,20,8.23,35,14.4,36,14.81,37,15.23,36,14.81,22014
22,16,447,75,16.78,24,5.37,32,7.16,64,14.32,85,19.02,78,17.45,60,13.42,22016
22,17,418,84,20.1,27,6.46,53,12.68,47,11.24,64,15.31,64,15.31,39,9.33,22017
22,18,255,68,26.67,14,5.49,27,10.59,29,11.37,32,12.55,39,15.29,24,9.41,22018
22,19,272,18,6.62,10,3.68,12,4.41,50,18.38,52,19.12,52,19.12,60,22.06,22019
22,23,375,82,21.87,15,4.0,28,7.47,53,14.13,66,17.6,62,16.53,39,10.4,22023
22,24,406,87,21.43,21,5.17,41,10.1,52,12.81,69,17.0,58,14.29,32,7.88,22024
22,25,392,87,22.19,16,4.08,38,9.69,54,13.78,64,16.33,66,16.84,42,10.71,22025
22,26,219,59,26.94,12,5.48,20,9.13,28,12.79,39,17.81,23,10.5,22,10.05,22026
22,27,449,96,21.38,23,5.12,36,8.02,59,13.14,78,17.37,69,15.37,51,11.36,22027
22,29,171,33,19.3,9,5.26,11,6.43,23,13.45,32,18.71,32,18.71,17,9.94,22029
24,53,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24053
25,1,302,46,15.23,13,4.3,21,6.95,45,14.9,72,23.84,51,16.89,46,15.23,25001
25,2,458,99,21.62,32,6.99,39,8.52,73,15.94,78,17.03,58,12.66,39,8.52,25002
25,4,268,36,13.43,18,6.72,22,8.21,36,13.43,55,20.52,40,14.93,38,14.18,25004
25,5,403,54,13.4,21,5.21,28,6.95,65,16.13,82,20.35,61,15.14,63,15.63,25005
25,6,230,34,14.78,16,6.96,21,9.13,38,16.52,38,16.52,30,13.04,35,15.22,25006
25,7,320,67,20.94,19,5.94,31,9.69,43,13.44,56,17.5,48,15.0,30,9.38,25007
25,8,341,54,15.84,19,5.57,26,7.62,47,13.78,70,20.53,56,16.42,43,12.61,25008
25,9,584,103,17.64,26,4.45,53,9.08,83,14.21,116,19.86,94,16.1,70,11.99,25009
25,11,436,96,22.02,19,4.36,32,7.34,59,13.53,78,17.89,73,16.74,42,9.63,25011
25,12,242,38,15.7,12,4.96,23,9.5,33,13.64,42,17.36,40,16.53,31,12.81,25012
25,13,276,55,19.93,15,5.43,21,7.61,36,13.04,54,19.57,42,15.22,26,9.42,25013
25,15,314,51,16.24,16,5.1,25,7.96,45,14.33,66,21.02,49,15.61,39,12.42,25015
25,17,296,50,16.89,13,4.39,21,7.09,44,14.86,62,20.95,48,16.22,37,12.5,25017
25,18,121,11,9.09,6,4.96,8,6.61,20,16.53,24,19.83,22,18.18,24,19.83,25018
25,19,331,70,21.15,14,4.23,32,9.67,44,13.29,64,19.34,49,14.8,31,9.37,25019
25,20,361,53,14.68,19,5.26,24,6.65,50,13.85,83,22.99,55,15.24,50,13.85,25020
25,22,333,22,6.61,4,1.2,20,6.01,67,20.12,80,24.02,63,18.92,63,18.92,25022
25,23,312,61,19.55,17,5.45,27,8.65,40,12.82,49,15.71,59,18.91,33,10.58,25023
26,1,169,23,13.61,8,4.73,12,7.1,35,20.71,23,13.61,30,17.75,26,15.38,26001
26,2,300,80,26.67,8,2.67,16,5.33,59,19.67,35,11.67,41,13.67,38,12.67,26002
26,3,229,60,26.2,5,2.18,11,4.8,52,22.71,22,9.61,30,13.1,27,11.79,26003
26,4,386,96,24.87,20,5.18,26,6.74,90,23.32,34,8.81,48,12.44,37,9.59,26004
26,5,284,72,25.35,11,3.87,16,5.63,54,19.01,34,11.97,41,14.44,21,7.39,26005
26,6,367,68,18.53,20,5.45,26,7.08,62,16.89,59,16.08,48,13.08,64,17.44,26006
26,7,129,23,17.83,14,10.85,15,11.63,17,13.18,15,11.63,14,10.85,18,13.95,26007
26,8,434,110,25.35,28,6.45,36,8.29,64,14.75,45,10.37,52,11.98,58,13.36,26008
26,9,246,83,33.74,8,3.25,17,6.91,45,18.29,23,9.35,28,11.38,18,7.32,26009
26,10,221,70,31.67,10,4.52,14,6.33,47,21.27,23,10.41,24,10.86,19,8.6,26010
26,11,266,46,17.29,11,4.14,14,5.26,63,23.68,32,12.03,36,13.53,42,15.79,26011
26,12,240,75,31.25,11,4.58,15,6.25,46,19.17,27,11.25,30,12.5,19,7.92,26012
26,13,302,47,15.56,17,5.63,20,6.62,60,19.87,42,13.91,41,13.58,46,15.23,26013
26,14,299,80,26.76,11,3.68,18,6.02,59,19.73,37,12.37,33,11.04,31,10.37,26014
26,15,134,38,28.36,3,2.24,8,5.97,34,25.37,10,7.46,16,11.94,11,8.21,26015
26,16,137,21,15.33,6,4.38,7,5.11,34,24.82,16,11.68,23,16.79,22,16.06,26016
26,17,288,76,26.39,6,2.08,11,3.82,65,22.57,40,13.89,38,13.19,33,11.46,26017
26,18,275,86,31.27,10,3.64,24,8.73,47,17.09,27,9.82,32,11.64,24,8.73,26018
26,19,365,57,15.62,26,7.12,30,8.22,69,18.9,48,13.15,51,13.97,50,13.7,26019
26,20,232,67,28.88,12,5.17,13,5.6,41,17.67,31,13.36,26,11.21,25,10.78,26020
26,21,355,96,27.04,14,3.94,22,6.2,65,18.31,41,11.55,44,12.39,43,12.11,26021
26,22,284,79,27.82,16,5.63,19,6.69,51,17.96,30,10.56,33,11.62,29,10.21,26022
26,23,375,81,21.6,17,4.53,26,6.93,75,20.0,50,13.33,53,14.13,40,10.67,26023
26,24,444,82,18.47,22,4.95,39,8.78,104,23.42,54,12.16,48,10.81,64,14.41,26024
26,25,337,65,19.29,20,5.93,32,9.5,56,16.62,41,12.17,44,13.06,39,11.57,26025
26,26,195,46,23.59,8,4.1,10,5.13,46,23.59,27,13.85,25,12.82,22,11.28,26026
26,27,222,71,31.98,8,3.6,11,4.95,47,21.17,24,10.81,22,9.91,21,9.46,26027
26,28,378,77,20.37,14,3.7,31,8.2,76,20.11,47,12.43,47,12.43,58,15.34,26028
26,29,271,81,29.89,16,5.9,23,8.49,48,17.71,29,10.7,25,9.23,22,8.12,26029
26,30,35,3,8.57,2,5.71,3,8.57,7,20.0,7,20.0,6,17.14,5,14.29,26030
26,31,90,16,17.78,3,3.33,4,4.44,16,17.78,14,15.56,13,14.44,17,18.89,26031
26,32,189,30,15.87,6,3.17,7,3.7,44,23.28,22,11.64,30,15.87,27,14.29,26032
26,33,348,70,20.11,19,5.46,31,8.91,59,16.95,45,12.93,50,14.37,45,12.93,26033
26,34,273,41,15.02,18,6.59,19,6.96,59,21.61,36,13.19,34,12.45,38,13.92,26034
26,35,262,74,28.24,10,3.82,16,6.11,63,24.05,23,8.78,29,11.07,29,11.07,26035
26,36,387,89,23.0,18,4.65,28,7.24,84,21.71,37,9.56,49,12.66,44,11.37,26036
26,37,244,44,18.03,21,8.61,22,9.02,44,18.03,26,10.66,27,11.07,36,14.75,26037
27,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27004
27,10,500,42,8.4,15,3.0,28,5.6,99,19.8,88,17.6,100,20.0,100,20.0,27010
27,30,41,4,9.76,3,7.32,4,9.76,6,14.63,7,17.07,7,17.07,7,17.07,27030
27,32,213,26,12.21,6,2.82,17,7.98,36,16.9,36,16.9,41,19.25,36,16.9,27032
27,35,307,50,16.29,19,6.19,25,8.14,46,14.98,49,15.96,44,14.33,47,15.31,27035
27,50,30,5,16.67,2,6.67,4,13.33,5,16.67,4,13.33,2,6.67,7,23.33,27050
27,54,53,4,7.55,4,7.55,3,5.66,9,16.98,11,20.75,10,18.87,9,16.98,27054
27,55,79,10,12.66,6,7.59,8,10.13,10,12.66,13,16.46,11,13.92,16,20.25,27055
28,14,104,24,23.08,7,6.73,7,6.73,14,13.46,15,14.42,14,13.46,12,11.54,28014
28,53,70,12,17.14,2,2.86,6,8.57,13,18.57,9,12.86,12,17.14,8,11.43,28053
29,2,172,24,13.95,8,4.65,9,5.23,31,18.02,27,15.7,26,15.12,30,17.44,29002
29,7,283,42,14.84,21,7.42,14,4.95,46,16.25,47,16.61,49,17.31,46,16.25,29007
29,17,326,56,17.18,17,5.21,23,7.06,68,20.86,43,13.19,44,13.5,52,15.95,29017
29,30,38,9,23.68,2,5.26,1,2.63,6,15.79,6,15.79,7,18.42,5,13.16,29030
29,39,231,27,11.69,7,3.03,13,5.63,46,19.91,44,19.05,38,16.45,40,17.32,29039
29,48,101,18,17.82,2,1.98,6,5.94,19,18.81,17,16.83,18,17.82,15,14.85,29048
29,52,358,54,15.08,12,3.35,23,6.42,70,19.55,55,15.36,54,15.08,61,17.04,29052
29,55,73,16,21.92,7,9.59,5,6.85,12,16.44,6,8.22,7,9.59,14,19.18,29055
30,4,44,8,18.18,2,4.55,5,11.36,8,18.18,5,11.36,7,15.91,7,15.91,30004
30,17,200,32,16.0,13,6.5,15,7.5,41,20.5,23,11.5,27,13.5,36,18.0,30017
30,20,162,23,14.2,7,4.32,11,6.79,33,20.37,25,15.43,25,15.43,26,16.05,30020
30,23,52,7,13.46,3,5.77,3,5.77,12,23.08,6,11.54,9,17.31,8,15.38,30023
30,36,46,7,15.22,2,4.35,2,4.35,9,19.57,5,10.87,6,13.04,10,21.74,30036
30,41,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,30041
31,1,195,43,22.05,9,4.62,9,4.62,39,20.0,23,11.79,31,15.9,26,13.33,31001
31,2,172,30,17.44,4,2.33,3,1.74,36,20.93,27,15.7,29,16.86,32,18.6,31002
31,3,211,48,22.75,8,3.79,13,6.16,50,23.7,26,12.32,28,13.27,21,9.95,31003
31,4,293,70,23.89,14,4.78,19,6.48,57,19.45,32,10.92,42,14.33,31,10.58,31004
31,5,139,29,20.86,4,2.88,10,7.19,24,17.27,19,13.67,19,13.67,24,17.27,31005
31,7,200,41,20.5,9,4.5,14,7.0,40,20.0,27,13.5,23,11.5,28,14.0,31007
31,8,108,20,18.52,4,3.7,7,6.48,20,18.52,14,12.96,21,19.44,13,12.04,31008
31,9,198,48,24.24,6,3.03,10,5.05,46,23.23,24,12.12,27,13.64,19,9.6,31009
31,10,191,38,19.9,6,3.14,16,8.38,41,21.47,29,15.18,22,11.52,18,9.42,31010
31,11,131,24,18.32,7,5.34,11,8.4,26,19.85,14,10.69,16,12.21,17,12.98,31011
31,12,213,37,17.37,11,5.16,12,5.63,47,22.07,28,13.15,33,15.49,30,14.08,31012
31,13,164,28,17.07,8,4.88,9,5.49,36,21.95,20,12.2,23,14.02,31,18.9,31013
31,14,171,39,22.81,3,1.75,15,8.77,43,25.15,19,11.11,20,11.7,16,9.36,31014
31,15,191,53,27.75,10,5.24,9,4.71,38,19.9,18,9.42,24,12.57,21,10.99,31015
31,16,209,55,26.32,5,2.39,8,3.83,52,24.88,21,10.05,28,13.4,19,9.09,31016
31,17,146,35,23.97,6,4.11,10,6.85,30,20.55,14,9.59,24,16.44,16,10.96,31017
31,20,177,56,31.64,8,4.52,15,8.47,32,18.08,20,11.3,13,7.34,15,8.47,31020
31,21,154,36,23.38,5,3.25,10,6.49,36,23.38,18,11.69,20,12.99,21,13.64,31021
31,22,164,36,21.95,8,4.88,13,7.93,33,20.12,21,12.8,20,12.2,15,9.15,31022
31,23,217,53,24.42,12,5.53,14,6.45,42,19.35,26,11.98,27,12.44,26,11.98,31023
31,24,249,68,27.31,8,3.21,12,4.82,51,20.48,36,14.46,28,11.24,28,11.24,31024
31,25,180,54,30.0,5,2.78,10,5.56,37,20.56,21,11.67,22,12.22,18,10.0,31025
31,26,171,48,28.07,7,4.09,12,7.02,35,20.47,24,14.04,17,9.94,14,8.19,31026
31,27,99,26,26.26,4,4.04,5,5.05,16,16.16,14,14.14,12,12.12,15,15.15,31027
31,28,182,37,20.33,3,1.65,11,6.04,49,26.92,23,12.64,24,13.19,22,12.09,31028
31,29,119,36,30.25,3,2.52,2,1.68,28,23.53,17,14.29,16,13.45,9,7.56,31029
31,30,144,18,12.5,7,4.86,9,6.25,24,16.67,23,15.97,21,14.58,29,20.14,31030
31,31,59,10,16.95,1,1.69,4,6.78,16,27.12,8,13.56,7,11.86,8,13.56,31031
31,33,295,53,17.97,17,5.76,23,7.8,56,18.98,37,12.54,37,12.54,43,14.58,31033
31,34,191,52,27.23,6,3.14,10,5.24,45,23.56,21,10.99,30,15.71,12,6.28,31034
31,35,177,48,27.12,5,2.82,9,5.08,39,22.03,24,13.56,22,12.43,12,6.78,31035
31,36,316,68,21.52,12,3.8,12,3.8,76,24.05,32,10.13,44,13.92,45,14.24,31036
31,37,234,53,22.65,8,3.42,10,4.27,52,22.22,28,11.97,38,16.24,28,11.97,31037
31,38,182,58,31.87,3,1.65,9,4.95,42,23.08,20,10.99,21,11.54,16,8.79,31038
31,39,91,28,30.77,5,5.49,8,8.79,17,18.68,11,12.09,8,8.79,9,9.89,31039
31,40,161,33,20.5,4,2.48,9,5.59,39,24.22,26,16.15,22,13.66,18,11.18,31040
31,41,136,44,32.35,5,3.68,5,3.68,25,18.38,16,11.76,14,10.29,15,11.03,31041
31,42,120,31,25.83,8,6.67,6,5.0,22,18.33,14,11.67,15,12.5,11,9.17,31042
31,43,181,45,24.86,6,3.31,10,5.52,38,20.99,23,12.71,27,14.92,17,9.39,31043
31,44,164,29,17.68,6,3.66,13,7.93,34,20.73,23,14.02,26,15.85,24,14.63,31044
