ward,precinct,total,"WILLIAM COUSINS, JR.","WILLIAM COUSINS, JR. Percent",THOMAS R. FITZGERALD,THOMAS R. FITZGERALD Percent,MORTON ZWICK,MORTON ZWICK Percent,CHRISTINE PATRICIA CURRAN,CHRISTINE PATRICIA CURRAN Percent,precinct_id
2,7,204,153,75.0,35,17.16,5,2.45,11,5.39,02007
2,8,182,98,53.85,65,35.71,10,5.49,9,4.95,02008
2,9,73,36,49.32,25,34.25,7,9.59,5,6.85,02009
2,10,77,42,54.55,25,32.47,4,5.19,6,7.79,02010
2,11,280,142,50.71,103,36.79,10,3.57,25,8.93,02011
2,12,212,176,83.02,20,9.43,5,2.36,11,5.19,02012
2,13,266,233,87.59,20,7.52,3,1.13,10,3.76,02013
2,14,152,116,76.32,18,11.84,5,3.29,13,8.55,02014
2,15,45,23,51.11,12,26.67,1,2.22,9,20.0,02015
2,16,93,52,55.91,23,24.73,3,3.23,15,16.13,02016
2,17,115,80,69.57,19,16.52,7,6.09,9,7.83,02017
2,18,259,220,84.94,25,9.65,8,3.09,6,2.32,02018
2,19,62,38,61.29,15,24.19,1,1.61,8,12.9,02019
2,20,197,170,86.29,15,7.61,5,2.54,7,3.55,02020
2,21,173,142,82.08,20,11.56,4,2.31,7,4.05,02021
2,22,237,105,44.3,95,40.08,18,7.59,19,8.02,02022
2,23,93,62,66.67,14,15.05,5,5.38,12,12.9,02023
2,24,116,84,72.41,16,13.79,8,6.9,8,6.9,02024
2,25,39,20,51.28,10,25.64,5,12.82,4,10.26,02025
2,26,100,73,73.0,13,13.0,4,4.0,10,10.0,02026
2,27,33,27,81.82,2,6.06,0,0.0,4,12.12,02027
2,28,159,113,71.07,32,20.13,7,4.4,7,4.4,02028
2,29,81,61,75.31,13,16.05,4,4.94,3,3.7,02029
2,30,110,77,70.0,18,16.36,4,3.64,11,10.0,02030
2,31,189,153,80.95,30,15.87,0,0.0,6,3.17,02031
2,32,94,67,71.28,17,18.09,4,4.26,6,6.38,02032
2,33,260,222,85.38,19,7.31,4,1.54,15,5.77,02033
2,34,159,138,86.79,13,8.18,3,1.89,5,3.14,02034
2,35,28,13,46.43,9,32.14,4,14.29,2,7.14,02035
2,36,83,62,74.7,13,15.66,3,3.61,5,6.02,02036
2,37,96,48,50.0,30,31.25,3,3.13,15,15.63,02037
2,38,124,82,66.13,25,20.16,8,6.45,9,7.26,02038
2,39,128,93,72.66,20,15.63,7,5.47,8,6.25,02039
2,40,134,78,58.21,39,29.1,7,5.22,10,7.46,02040
2,41,52,31,59.62,14,26.92,3,5.77,4,7.69,02041
2,42,35,21,60.0,6,17.14,4,11.43,4,11.43,02042
2,43,193,79,40.93,82,42.49,9,4.66,23,11.92,02043
2,44,182,146,80.22,19,10.44,5,2.75,12,6.59,02044
2,45,73,65,89.04,4,5.48,2,2.74,2,2.74,02045
2,46,304,261,85.86,27,8.88,4,1.32,12,3.95,02046
2,47,116,91,78.45,18,15.52,2,1.72,5,4.31,02047
2,48,190,157,82.63,15,7.89,5,2.63,13,6.84,02048
2,49,51,19,37.25,24,47.06,3,5.88,5,9.8,02049
2,50,72,30,41.67,26,36.11,6,8.33,10,13.89,02050
2,51,110,80,72.73,20,18.18,5,4.55,5,4.55,02051
2,52,108,67,62.04,27,25.0,4,3.7,10,9.26,02052
2,53,72,45,62.5,13,18.06,5,6.94,9,12.5,02053
2,54,157,62,39.49,55,35.03,10,6.37,30,19.11,02054
3,1,167,115,68.86,33,19.76,5,2.99,14,8.38,03001
3,2,226,203,89.82,13,5.75,2,0.88,8,3.54,03002
3,3,45,22,48.89,11,24.44,1,2.22,11,24.44,03003
3,4,61,33,54.1,16,26.23,3,4.92,9,14.75,03004
3,5,50,24,48.0,15,30.0,5,10.0,6,12.0,03005
3,6,37,19,51.35,9,24.32,3,8.11,6,16.22,03006
3,7,15,7,46.67,6,40.0,1,6.67,1,6.67,03007
3,8,57,28,49.12,13,22.81,4,7.02,12,21.05,03008
3,9,104,79,75.96,18,17.31,1,0.96,6,5.77,03009
3,10,134,98,73.13,17,12.69,5,3.73,14,10.45,03010
3,11,78,64,82.05,6,7.69,3,3.85,5,6.41,03011
3,12,98,66,67.35,18,18.37,4,4.08,10,10.2,03012
3,13,27,19,70.37,5,18.52,0,0.0,3,11.11,03013
3,14,63,34,53.97,21,33.33,3,4.76,5,7.94,03014
3,15,97,75,77.32,16,16.49,2,2.06,4,4.12,03015
3,16,188,158,84.04,17,9.04,3,1.6,10,5.32,03016
3,17,92,67,72.83,13,14.13,3,3.26,9,9.78,03017
3,18,91,67,73.63,16,17.58,2,2.2,6,6.59,03018
3,19,52,27,51.92,12,23.08,2,3.85,11,21.15,03019
3,20,34,18,52.94,10,29.41,1,2.94,5,14.71,03020
3,21,68,51,75.0,12,17.65,1,1.47,4,5.88,03021
3,22,103,81,78.64,12,11.65,3,2.91,7,6.8,03022
3,23,36,19,52.78,9,25.0,4,11.11,4,11.11,03023
3,24,157,133,84.71,18,11.46,2,1.27,4,2.55,03024
3,25,26,18,69.23,4,15.38,1,3.85,3,11.54,03025
3,26,77,60,77.92,7,9.09,3,3.9,7,9.09,03026
3,27,18,8,44.44,8,44.44,1,5.56,1,5.56,03027
3,28,154,132,85.71,10,6.49,4,2.6,8,5.19,03028
3,29,13,8,61.54,3,23.08,0,0.0,2,15.38,03029
3,30,129,106,82.17,12,9.3,3,2.33,8,6.2,03030
3,31,126,102,80.95,15,11.9,0,0.0,9,7.14,03031
3,32,149,124,83.22,13,8.72,4,2.68,8,5.37,03032
3,33,108,84,77.78,12,11.11,3,2.78,9,8.33,03033
3,34,32,30,93.75,0,0.0,1,3.13,1,3.13,03034
3,35,110,93,84.55,9,8.18,2,1.82,6,5.45,03035
3,36,38,25,65.79,6,15.79,3,7.89,4,10.53,03036
3,37,106,83,78.3,12,11.32,3,2.83,8,7.55,03037
3,38,181,148,81.77,18,9.94,3,1.66,12,6.63,03038
3,39,261,242,92.72,10,3.83,4,1.53,5,1.92,03039
3,40,111,92,82.88,9,8.11,3,2.7,7,6.31,03040
3,41,82,62,75.61,12,14.63,1,1.22,7,8.54,03041
3,42,52,33,63.46,12,23.08,3,5.77,4,7.69,03042
3,43,20,10,50.0,8,40.0,0,0.0,2,10.0,03043
3,44,70,55,78.57,10,14.29,0,0.0,5,7.14,03044
3,45,39,21,53.85,14,35.9,0,0.0,4,10.26,03045
3,46,13,10,76.92,2,15.38,0,0.0,1,7.69,03046
3,47,78,54,69.23,18,23.08,1,1.28,5,6.41,03047
3,48,96,77,80.21,7,7.29,6,6.25,6,6.25,03048
3,49,84,63,75.0,9,10.71,6,7.14,6,7.14,03049
3,50,103,77,74.76,16,15.53,0,0.0,10,9.71,03050
3,51,53,12,22.64,18,33.96,5,9.43,18,33.96,03051
3,52,129,110,85.27,11,8.53,3,2.33,5,3.88,03052
4,1,165,111,67.27,23,13.94,14,8.48,17,10.3,04001
4,2,41,32,78.05,8,19.51,1,2.44,0,0.0,04002
4,3,212,163,76.89,21,9.91,13,6.13,15,7.08,04003
4,4,170,105,61.76,26,15.29,23,13.53,16,9.41,04004
4,5,173,126,72.83,21,12.14,9,5.2,17,9.83,04005
4,6,6,4,66.67,1,16.67,0,0.0,1,16.67,04006
4,7,130,97,74.62,10,7.69,18,13.85,5,3.85,04007
4,8,231,188,81.39,21,9.09,13,5.63,9,3.9,04008
4,9,374,304,81.28,31,8.29,23,6.15,16,4.28,04009
4,10,224,164,73.21,17,7.59,25,11.16,18,8.04,04010
4,11,133,94,70.68,15,11.28,13,9.77,11,8.27,04011
4,12,130,102,78.46,14,10.77,7,5.38,7,5.38,04012
4,13,224,151,67.41,27,12.05,22,9.82,24,10.71,04013
4,14,106,64,60.38,15,14.15,16,15.09,11,10.38,04014
4,15,102,71,69.61,11,10.78,11,10.78,9,8.82,04015
4,16,184,134,72.83,20,10.87,15,8.15,15,8.15,04016
4,17,236,168,71.19,34,14.41,16,6.78,18,7.63,04017
4,18,139,97,69.78,19,13.67,6,4.32,17,12.23,04018
4,19,46,22,47.83,16,34.78,5,10.87,3,6.52,04019
4,20,63,38,60.32,15,23.81,4,6.35,6,9.52,04020
4,21,173,130,75.14,21,12.14,15,8.67,7,4.05,04021
4,22,261,180,68.97,37,14.18,34,13.03,10,3.83,04022
4,23,152,106,69.74,27,17.76,9,5.92,10,6.58,04023
4,24,205,144,70.24,32,15.61,24,11.71,5,2.44,04024
4,25,116,95,81.9,11,9.48,8,6.9,2,1.72,04025
4,26,137,109,79.56,8,5.84,10,7.3,10,7.3,04026
4,27,249,197,79.12,22,8.84,18,7.23,12,4.82,04027
4,28,185,115,62.16,34,18.38,22,11.89,14,7.57,04028
4,29,167,111,66.47,40,23.95,10,5.99,6,3.59,04029
4,30,30,14,46.67,12,40.0,1,3.33,3,10.0,04030
4,31,55,35,63.64,15,27.27,1,1.82,4,7.27,04031
4,32,208,124,59.62,56,26.92,13,6.25,15,7.21,04032
4,33,65,41,63.08,11,16.92,6,9.23,7,10.77,04033
4,34,71,38,53.52,10,14.08,15,21.13,8,11.27,04034
4,35,104,65,62.5,16,15.38,15,14.42,8,7.69,04035
4,36,197,135,68.53,22,11.17,23,11.68,17,8.63,04036
4,37,87,47,54.02,25,28.74,5,5.75,10,11.49,04037
4,38,263,181,68.82,48,18.25,20,7.6,14,5.32,04038
4,39,75,51,68.0,14,18.67,8,10.67,2,2.67,04039
4,40,177,141,79.66,12,6.78,15,8.47,9,5.08,04040
4,41,136,73,53.68,33,24.26,14,10.29,16,11.76,04041
4,42,112,91,81.25,8,7.14,6,5.36,7,6.25,04042
4,43,130,79,60.77,18,13.85,21,16.15,12,9.23,04043
4,44,139,97,69.78,19,13.67,7,5.04,16,11.51,04044
4,45,334,272,81.44,38,11.38,17,5.09,7,2.1,04045
4,46,166,142,85.54,10,6.02,6,3.61,8,4.82,04046
4,47,250,180,72.0,32,12.8,18,7.2,20,8.0,04047
4,48,263,172,65.4,56,21.29,23,8.75,12,4.56,04048
4,49,50,42,84.0,6,12.0,0,0.0,2,4.0,04049
4,50,154,115,74.68,19,12.34,8,5.19,12,7.79,04050
4,51,223,154,69.06,37,16.59,24,10.76,8,3.59,04051
4,52,50,28,56.0,10,20.0,6,12.0,6,12.0,04052
4,53,41,18,43.9,9,21.95,5,12.2,9,21.95,04053
4,54,98,59,60.2,13,13.27,13,13.27,13,13.27,04054
4,55,134,69,51.49,31,23.13,20,14.93,14,10.45,04055
5,1,187,164,87.7,13,6.95,4,2.14,6,3.21,05001
5,2,158,124,78.48,18,11.39,5,3.16,11,6.96,05002
5,3,197,171,86.8,18,9.14,2,1.02,6,3.05,05003
5,4,243,215,88.48,19,7.82,7,2.88,2,0.82,05004
5,5,137,109,79.56,14,10.22,4,2.92,10,7.3,05005
5,6,204,184,90.2,9,4.41,2,0.98,9,4.41,05006
5,7,166,145,87.35,14,8.43,2,1.2,5,3.01,05007
5,8,223,134,60.09,69,30.94,6,2.69,14,6.28,05008
5,9,165,140,84.85,8,4.85,1,0.61,16,9.7,05009
5,10,110,90,81.82,11,10.0,5,4.55,4,3.64,05010
5,11,65,30,46.15,27,41.54,4,6.15,4,6.15,05011
5,12,178,143,80.34,28,15.73,2,1.12,5,2.81,05012
5,13,172,129,75.0,21,12.21,2,1.16,20,11.63,05013
5,14,165,102,61.82,39,23.64,13,7.88,11,6.67,05014
5,15,113,95,84.07,13,11.5,0,0.0,5,4.42,05015
5,16,125,103,82.4,9,7.2,3,2.4,10,8.0,05016
5,17,131,113,86.26,9,6.87,1,0.76,8,6.11,05017
5,18,105,82,78.1,11,10.48,0,0.0,12,11.43,05018
5,19,135,104,77.04,19,14.07,2,1.48,10,7.41,05019
5,20,123,94,76.42,18,14.63,3,2.44,8,6.5,05020
5,21,231,181,78.35,27,11.69,5,2.16,18,7.79,05021
5,22,170,140,82.35,15,8.82,7,4.12,8,4.71,05022
5,23,133,105,78.95,14,10.53,1,0.75,13,9.77,05023
5,24,180,127,70.56,39,21.67,9,5.0,5,2.78,05024
5,25,131,101,77.1,17,12.98,3,2.29,10,7.63,05025
5,26,106,89,83.96,8,7.55,0,0.0,9,8.49,05026
5,27,60,33,55.0,11,18.33,7,11.67,9,15.0,05027
5,28,235,183,77.87,31,13.19,7,2.98,14,5.96,05028
5,29,126,107,84.92,10,7.94,1,0.79,8,6.35,05029
5,30,170,109,64.12,49,28.82,7,4.12,5,2.94,05030
5,31,120,109,90.83,4,3.33,2,1.67,5,4.17,05031
5,32,251,217,86.45,13,5.18,6,2.39,15,5.98,05032
5,33,186,157,84.41,15,8.06,4,2.15,10,5.38,05033
5,34,118,86,72.88,15,12.71,1,0.85,16,13.56,05034
5,35,111,74,66.67,24,21.62,2,1.8,11,9.91,05035
5,36,169,138,81.66,12,7.1,6,3.55,13,7.69,05036
5,37,124,74,59.68,38,30.65,2,1.61,10,8.06,05037
5,38,220,126,57.27,77,35.0,7,3.18,10,4.55,05038
5,39,183,92,50.27,73,39.89,5,2.73,13,7.1,05039
5,40,113,91,80.53,14,12.39,1,0.88,7,6.19,05040
5,41,152,55,36.18,77,50.66,3,1.97,17,11.18,05041
5,42,163,127,77.91,14,8.59,7,4.29,15,9.2,05042
5,43,205,177,86.34,18,8.78,5,2.44,5,2.44,05043
5,44,159,134,84.28,9,5.66,6,3.77,10,6.29,05044
5,45,117,95,81.2,16,13.68,2,1.71,4,3.42,05045
5,46,179,115,64.25,38,21.23,14,7.82,12,6.7,05046
5,47,118,97,82.2,12,10.17,1,0.85,8,6.78,05047
5,48,159,115,72.33,22,13.84,7,4.4,15,9.43,05048
5,49,181,94,51.93,66,36.46,11,6.08,10,5.52,05049
5,50,109,92,84.4,10,9.17,1,0.92,6,5.5,05050
5,51,122,95,77.87,17,13.93,4,3.28,6,4.92,05051
5,52,116,88,75.86,15,12.93,4,3.45,9,7.76,05052
5,53,127,103,81.1,13,10.24,2,1.57,9,7.09,05053
5,54,109,90,82.57,9,8.26,2,1.83,8,7.34,05054
5,55,178,158,88.76,11,6.18,3,1.69,6,3.37,05055
5,56,115,94,81.74,8,6.96,1,0.87,12,10.43,05056
5,57,182,133,73.08,29,15.93,7,3.85,13,7.14,05057
5,58,99,77,77.78,15,15.15,0,0.0,7,7.07,05058
5,59,92,73,79.35,12,13.04,1,1.09,6,6.52,05059
6,1,272,252,92.65,13,4.78,2,0.74,5,1.84,06001
6,2,247,211,85.43,23,9.31,2,0.81,11,4.45,06002
6,3,202,179,88.61,15,7.43,3,1.49,5,2.48,06003
6,4,130,95,73.08,21,16.15,2,1.54,12,9.23,06004
6,5,93,67,72.04,12,12.9,4,4.3,10,10.75,06005
6,6,215,189,87.91,16,7.44,2,0.93,8,3.72,06006
6,7,144,114,79.17,16,11.11,3,2.08,11,7.64,06007
6,8,222,207,93.24,6,2.7,4,1.8,5,2.25,06008
6,9,232,206,88.79,13,5.6,3,1.29,10,4.31,06009
6,10,287,265,92.33,12,4.18,1,0.35,9,3.14,06010
6,11,174,151,86.78,12,6.9,3,1.72,8,4.6,06011
6,12,133,91,68.42,26,19.55,3,2.26,13,9.77,06012
6,13,192,161,83.85,17,8.85,4,2.08,10,5.21,06013
6,14,201,170,84.58,19,9.45,3,1.49,9,4.48,06014
6,15,108,80,74.07,19,17.59,3,2.78,6,5.56,06015
6,16,234,205,87.61,20,8.55,4,1.71,5,2.14,06016
6,17,277,251,90.61,18,6.5,4,1.44,4,1.44,06017
6,18,64,49,76.56,12,18.75,2,3.13,1,1.56,06018
6,19,188,160,85.11,20,10.64,1,0.53,7,3.72,06019
6,20,61,48,78.69,5,8.2,3,4.92,5,8.2,06020
6,21,217,187,86.18,17,7.83,7,3.23,6,2.76,06021
6,22,196,173,88.27,15,7.65,3,1.53,5,2.55,06022
6,23,146,132,90.41,5,3.42,2,1.37,7,4.79,06023
6,24,179,161,89.94,13,7.26,2,1.12,3,1.68,06024
6,25,173,138,79.77,21,12.14,7,4.05,7,4.05,06025
6,26,210,185,88.1,12,5.71,4,1.9,9,4.29,06026
6,27,271,241,88.93,18,6.64,5,1.85,7,2.58,06027
6,28,245,226,92.24,12,4.9,3,1.22,4,1.63,06028
6,29,252,231,91.67,10,3.97,6,2.38,5,1.98,06029
6,30,158,130,82.28,12,7.59,6,3.8,10,6.33,06030
6,31,278,248,89.21,19,6.83,6,2.16,5,1.8,06031
6,32,201,168,83.58,19,9.45,3,1.49,11,5.47,06032
6,33,226,197,87.17,19,8.41,5,2.21,5,2.21,06033
6,34,168,140,83.33,18,10.71,2,1.19,8,4.76,06034
6,35,261,232,88.89,20,7.66,3,1.15,6,2.3,06035
6,36,109,85,77.98,12,11.01,1,0.92,11,10.09,06036
6,37,249,231,92.77,14,5.62,1,0.4,3,1.2,06037
6,38,252,210,83.33,26,10.32,2,0.79,14,5.56,06038
6,39,110,93,84.55,11,10.0,1,0.91,5,4.55,06039
6,40,100,76,76.0,13,13.0,1,1.0,10,10.0,06040
6,41,240,214,89.17,15,6.25,1,0.42,10,4.17,06041
6,42,110,87,79.09,15,13.64,2,1.82,6,5.45,06042
6,43,245,207,84.49,15,6.12,9,3.67,14,5.71,06043
6,44,202,184,91.09,11,5.45,0,0.0,7,3.47,06044
6,45,121,97,80.17,13,10.74,3,2.48,8,6.61,06045
6,46,169,158,93.49,3,1.78,2,1.18,6,3.55,06046
6,47,245,226,92.24,10,4.08,3,1.22,6,2.45,06047
6,48,230,202,87.83,15,6.52,2,0.87,11,4.78,06048
6,49,175,151,86.29,13,7.43,3,1.71,8,4.57,06049
6,50,236,207,87.71,18,7.63,4,1.69,7,2.97,06050
6,51,152,142,93.42,5,3.29,2,1.32,3,1.97,06051
6,52,153,134,87.58,12,7.84,3,1.96,4,2.61,06052
6,53,164,138,84.15,10,6.1,4,2.44,12,7.32,06053
6,54,171,151,88.3,13,7.6,3,1.75,4,2.34,06054
6,55,140,126,90.0,11,7.86,1,0.71,2,1.43,06055
6,56,145,130,89.66,11,7.59,2,1.38,2,1.38,06056
6,57,117,102,87.18,9,7.69,2,1.71,4,3.42,06057
6,58,239,224,93.72,9,3.77,1,0.42,5,2.09,06058
6,59,194,174,89.69,12,6.19,3,1.55,5,2.58,06059
6,60,127,118,92.91,6,4.72,1,0.79,2,1.57,06060
6,61,130,108,83.08,11,8.46,3,2.31,8,6.15,06061
6,62,221,193,87.33,13,5.88,8,3.62,7,3.17,06062
6,63,180,153,85.0,18,10.0,4,2.22,5,2.78,06063
6,64,233,210,90.13,13,5.58,2,0.86,8,3.43,06064
7,1,264,238,90.15,18,6.82,2,0.76,6,2.27,07001
7,2,175,136,77.71,23,13.14,9,5.14,7,4.0,07002
7,3,145,118,81.38,16,11.03,5,3.45,6,4.14,07003
7,4,134,86,64.18,24,17.91,10,7.46,14,10.45,07004
7,5,120,94,78.33,12,10.0,2,1.67,12,10.0,07005
7,6,143,120,83.92,14,9.79,2,1.4,7,4.9,07006
7,7,116,86,74.14,18,15.52,3,2.59,9,7.76,07007
7,8,119,71,59.66,33,27.73,6,5.04,9,7.56,07008
7,9,166,135,81.33,21,12.65,4,2.41,6,3.61,07009
7,10,189,153,80.95,21,11.11,4,2.12,11,5.82,07010
7,11,187,163,87.17,13,6.95,2,1.07,9,4.81,07011
7,12,153,120,78.43,21,13.73,3,1.96,9,5.88,07012
7,13,94,82,87.23,9,9.57,1,1.06,2,2.13,07013
7,14,163,128,78.53,20,12.27,6,3.68,9,5.52,07014
7,15,221,163,73.76,29,13.12,5,2.26,24,10.86,07015
7,16,160,128,80.0,18,11.25,4,2.5,10,6.25,07016
7,17,156,123,78.85,22,14.1,2,1.28,9,5.77,07017
7,18,136,94,69.12,26,19.12,4,2.94,12,8.82,07018
7,19,219,181,82.65,22,10.05,7,3.2,9,4.11,07019
7,20,45,27,60.0,12,26.67,3,6.67,3,6.67,07020
7,21,166,115,69.28,29,17.47,3,1.81,19,11.45,07021
7,22,170,145,85.29,18,10.59,3,1.76,4,2.35,07022
7,23,156,120,76.92,25,16.03,1,0.64,10,6.41,07023
7,24,207,170,82.13,21,10.14,6,2.9,10,4.83,07024
7,25,142,118,83.1,15,10.56,4,2.82,5,3.52,07025
7,26,184,130,70.65,33,17.93,4,2.17,17,9.24,07026
7,27,182,159,87.36,13,7.14,4,2.2,6,3.3,07027
7,28,155,121,78.06,18,11.61,4,2.58,12,7.74,07028
7,29,89,76,85.39,13,14.61,0,0.0,0,0.0,07029
7,30,261,227,86.97,20,7.66,3,1.15,11,4.21,07030
7,31,204,171,83.82,19,9.31,5,2.45,9,4.41,07031
7,32,152,79,51.97,40,26.32,14,9.21,19,12.5,07032
7,33,168,133,79.17,19,11.31,3,1.79,13,7.74,07033
7,34,112,86,76.79,11,9.82,4,3.57,11,9.82,07034
7,35,203,174,85.71,14,6.9,2,0.99,13,6.4,07035
7,36,280,236,84.29,23,8.21,7,2.5,14,5.0,07036
7,37,202,167,82.67,23,11.39,6,2.97,6,2.97,07037
7,38,180,144,80.0,21,11.67,6,3.33,9,5.0,07038
7,39,153,116,75.82,20,13.07,4,2.61,13,8.5,07039
7,40,134,105,78.36,19,14.18,1,0.75,9,6.72,07040
7,41,214,167,78.04,25,11.68,7,3.27,15,7.01,07041
7,42,167,133,79.64,18,10.78,6,3.59,10,5.99,07042
7,43,185,147,79.46,23,12.43,3,1.62,12,6.49,07043
7,44,210,167,79.52,29,13.81,3,1.43,11,5.24,07044
7,45,224,200,89.29,13,5.8,3,1.34,8,3.57,07045
7,46,75,51,68.0,17,22.67,3,4.0,4,5.33,07046
8,1,242,218,90.08,17,7.02,3,1.24,4,1.65,08001
8,2,142,121,85.21,13,9.15,5,3.52,3,2.11,08002
8,3,298,261,87.58,29,9.73,5,1.68,3,1.01,08003
8,4,231,182,78.79,40,17.32,2,0.87,7,3.03,08004
8,5,267,232,86.89,28,10.49,3,1.12,4,1.5,08005
8,6,236,191,80.93,31,13.14,2,0.85,12,5.08,08006
8,7,118,96,81.36,14,11.86,2,1.69,6,5.08,08007
8,8,273,245,89.74,19,6.96,4,1.47,5,1.83,08008
8,9,264,221,83.71,28,10.61,6,2.27,9,3.41,08009
8,10,269,238,88.48,23,8.55,3,1.12,5,1.86,08010
8,11,146,117,80.14,17,11.64,4,2.74,8,5.48,08011
8,12,183,136,74.32,34,18.58,4,2.19,9,4.92,08012
8,13,140,109,77.86,25,17.86,3,2.14,3,2.14,08013
8,14,149,113,75.84,25,16.78,4,2.68,7,4.7,08014
8,15,173,145,83.82,22,12.72,3,1.73,3,1.73,08015
8,16,245,213,86.94,21,8.57,5,2.04,6,2.45,08016
8,17,190,156,82.11,25,13.16,5,2.63,4,2.11,08017
8,18,135,104,77.04,19,14.07,4,2.96,8,5.93,08018
8,19,280,258,92.14,13,4.64,3,1.07,6,2.14,08019
8,20,165,141,85.45,17,10.3,1,0.61,6,3.64,08020
8,21,164,119,72.56,40,24.39,0,0.0,5,3.05,08021
8,22,181,131,72.38,40,22.1,5,2.76,5,2.76,08022
8,23,180,142,78.89,26,14.44,2,1.11,10,5.56,08023
8,24,216,176,81.48,27,12.5,4,1.85,9,4.17,08024
8,25,182,153,84.07,23,12.64,3,1.65,3,1.65,08025
8,26,118,89,75.42,20,16.95,1,0.85,8,6.78,08026
8,27,219,180,82.19,31,14.16,5,2.28,3,1.37,08027
8,28,180,129,71.67,42,23.33,6,3.33,3,1.67,08028
8,29,196,159,81.12,19,9.69,5,2.55,13,6.63,08029
8,30,207,184,88.89,13,6.28,2,0.97,8,3.86,08030
8,31,169,129,76.33,30,17.75,5,2.96,5,2.96,08031
8,32,305,248,81.31,34,11.15,8,2.62,15,4.92,08032
8,33,113,84,74.34,21,18.58,1,0.88,7,6.19,08033
8,34,222,181,81.53,26,11.71,2,0.9,13,5.86,08034
8,35,283,242,85.51,29,10.25,5,1.77,7,2.47,08035
8,36,192,150,78.13,30,15.63,5,2.6,7,3.65,08036
8,37,140,119,85.0,12,8.57,5,3.57,4,2.86,08037
8,38,184,131,71.2,44,23.91,2,1.09,7,3.8,08038
8,39,199,151,75.88,32,16.08,1,0.5,15,7.54,08039
8,40,191,159,83.25,21,10.99,4,2.09,7,3.66,08040
8,41,197,167,84.77,15,7.61,9,4.57,6,3.05,08041
8,42,188,152,80.85,28,14.89,1,0.53,7,3.72,08042
8,43,135,106,78.52,19,14.07,0,0.0,10,7.41,08043
8,44,225,180,80.0,29,12.89,6,2.67,10,4.44,08044
8,45,180,131,72.78,31,17.22,4,2.22,14,7.78,08045
8,46,187,152,81.28,25,13.37,4,2.14,6,3.21,08046
8,47,191,142,74.35,29,15.18,6,3.14,14,7.33,08047
8,48,227,183,80.62,29,12.78,5,2.2,10,4.41,08048
8,49,246,221,89.84,18,7.32,2,0.81,5,2.03,08049
