ward,precinct,total,FRANK E. MARZULLO (BRADLEY),FRANK E. MARZULLO (BRADLEY) Percent,ROSE MARIE LIPINSKI (BRADLEY),ROSE MARIE LIPINSKI (BRADLEY) Percent,STEVEN M. LANDEK (BRADLEY),STEVEN M. LANDEK (BRADLEY) Percent,CAROLYN VIVERITO (BRADLEY),CAROLYN VIVERITO (BRADLEY) Percent,"JAMES J. LASKI, JR. (GORE)","JAMES J. LASKI, JR. (GORE) Percent",JUDITH SANDOVAL (GORE),JUDITH SANDOVAL (GORE) Percent,TERRY A. STECZO (GORE),TERRY A. STECZO (GORE) Percent,LAURA A. PERNA (GORE),LAURA A. PERNA (GORE) Percent,GABRIEL F. FAKHOURI (GORE),GABRIEL F. FAKHOURI (GORE) Percent,precinct_id
13,40,589,58,9.85,102,17.32,18,3.06,89,15.11,72,12.22,69,11.71,49,8.32,62,10.53,48,8.15,13040
13,41,456,28,6.14,76,16.67,15,3.29,64,14.04,59,12.94,55,12.06,46,10.09,55,12.06,39,8.55,13041
13,42,880,55,6.25,215,24.43,35,3.98,197,22.39,74,8.41,78,8.86,63,7.16,65,7.39,54,6.14,13042
13,43,655,48,7.33,158,24.12,26,3.97,132,20.15,73,11.15,68,10.38,42,6.41,47,7.18,40,6.11,13043
13,44,338,30,8.88,58,17.16,14,4.14,37,10.95,44,13.02,48,14.2,24,7.1,43,12.72,30,8.88,13044
13,45,333,21,6.31,55,16.52,14,4.2,39,11.71,41,12.31,45,13.51,37,11.11,40,12.01,32,9.61,13045
13,46,691,49,7.09,161,23.3,23,3.33,142,20.55,74,10.71,64,9.26,49,7.09,63,9.12,40,5.79,13046
13,47,596,51,8.56,121,20.3,30,5.03,98,16.44,80,13.42,49,8.22,45,7.55,59,9.9,38,6.38,13047
13,48,521,37,7.1,118,22.65,20,3.84,104,19.96,57,10.94,45,8.64,37,7.1,53,10.17,37,7.1,13048
13,49,280,23,8.21,63,22.5,13,4.64,44,15.71,44,15.71,26,9.29,15,5.36,25,8.93,17,6.07,13049
13,50,685,39,5.69,204,29.78,22,3.21,199,29.05,46,6.72,53,7.74,34,4.96,43,6.28,28,4.09,13050
13,51,672,68,10.12,124,18.45,28,4.17,91,13.54,88,13.1,78,11.61,51,7.59,66,9.82,56,8.33,13051
13,52,785,60,7.64,167,21.27,39,4.97,137,17.45,96,12.23,77,9.81,66,8.41,61,7.77,55,7.01,13052
13,53,759,55,7.25,137,18.05,19,2.5,117,15.42,107,14.1,85,11.2,76,10.01,85,11.2,59,7.77,13053
13,54,816,73,8.95,195,23.9,23,2.82,162,19.85,90,11.03,74,9.07,57,6.99,72,8.82,50,6.13,13054
13,55,718,55,7.66,143,19.92,27,3.76,127,17.69,79,11.0,80,11.14,49,6.82,76,10.58,51,7.1,13055
13,56,935,66,7.06,239,25.56,29,3.1,216,23.1,100,10.7,76,8.13,52,5.56,74,7.91,53,5.67,13056
13,57,654,55,8.41,111,16.97,23,3.52,72,11.01,104,15.9,73,11.16,66,10.09,75,11.47,55,8.41,13057
13,58,905,56,6.19,229,25.3,25,2.76,196,21.66,96,10.61,81,8.95,65,7.18,78,8.62,57,6.3,13058
13,59,480,42,8.75,94,19.58,23,4.79,69,14.38,61,12.71,47,9.79,37,7.71,50,10.42,36,7.5,13059
13,60,706,52,7.37,163,23.09,25,3.54,131,18.56,77,10.91,67,9.49,54,7.65,64,9.07,50,7.08,13060
13,61,1055,95,9.0,233,22.09,52,4.93,199,18.86,127,12.04,97,9.19,77,7.3,86,8.15,58,5.5,13061
13,62,773,49,6.34,210,27.17,31,4.01,165,21.35,96,12.42,57,7.37,51,6.6,55,7.12,35,4.53,13062
13,63,882,86,9.75,169,19.16,52,5.9,142,16.1,118,13.38,80,9.07,69,7.82,79,8.96,49,5.56,13063
14,1,343,21,6.12,48,13.99,8,2.33,50,14.58,60,17.49,56,16.33,47,13.7,26,7.58,18,5.25,14001
14,2,462,29,6.28,70,15.15,18,3.9,49,10.61,84,18.18,64,13.85,56,12.12,45,9.74,31,6.71,14002
14,3,739,34,4.6,119,16.1,18,2.44,83,11.23,125,16.91,134,18.13,104,14.07,60,8.12,45,6.09,14003
14,4,384,19,4.95,51,13.28,9,2.34,38,9.9,64,16.67,65,16.93,54,14.06,42,10.94,33,8.59,14004
14,9,600,34,5.67,85,14.17,15,2.5,64,10.67,98,16.33,105,17.5,80,13.33,59,9.83,40,6.67,14009
14,11,539,22,4.08,90,16.7,9,1.67,76,14.1,84,15.58,95,17.63,83,15.4,39,7.24,28,5.19,14011
14,13,416,37,8.89,65,15.63,22,5.29,19,4.57,80,19.23,54,12.98,40,9.62,51,12.26,36,8.65,14013
14,16,516,29,5.62,80,15.5,15,2.91,54,10.47,87,16.86,91,17.64,77,14.92,46,8.91,28,5.43,14016
14,27,908,42,4.63,139,15.31,23,2.53,120,13.22,147,16.19,163,17.95,132,14.54,67,7.38,47,5.18,14027
14,28,435,17,3.91,64,14.71,13,2.99,41,9.43,86,19.77,67,15.4,71,16.32,38,8.74,30,6.9,14028
14,34,531,19,3.58,91,17.14,13,2.45,71,13.37,91,17.14,95,17.89,85,16.01,35,6.59,19,3.58,14034
14,35,283,13,4.59,47,16.61,2,0.71,32,11.31,54,19.08,45,15.9,43,15.19,24,8.48,19,6.71,14035
14,39,520,24,4.62,82,15.77,16,3.08,58,11.15,90,17.31,94,18.08,74,14.23,46,8.85,29,5.58,14039
14,40,461,22,4.77,83,18.0,18,3.9,60,13.02,82,17.79,75,16.27,66,14.32,25,5.42,18,3.9,14040
14,43,672,39,5.8,101,15.03,25,3.72,80,11.9,124,18.45,95,14.14,106,15.77,52,7.74,37,5.51,14043
14,44,595,36,6.05,90,15.13,20,3.36,71,11.93,94,15.8,100,16.81,79,13.28,55,9.24,35,5.88,14044
14,45,485,33,6.8,56,11.55,12,2.47,45,9.28,78,16.08,87,17.94,67,13.81,53,10.93,38,7.84,14045
14,47,1139,10,0.88,225,19.75,4,0.35,219,19.23,221,19.4,218,19.14,218,19.14,12,1.05,9,0.79,14047
15,12,429,50,11.66,56,13.05,22,5.13,33,7.69,56,13.05,64,14.92,36,8.39,53,12.35,41,9.56,15012
15,45,532,35,6.58,56,10.53,25,4.7,33,6.2,78,14.66,79,14.85,62,11.65,79,14.85,63,11.84,15045
18,1,489,32,6.54,31,6.34,13,2.66,21,4.29,75,15.34,80,16.36,71,14.52,76,15.54,68,13.91,18001
18,2,548,29,5.29,38,6.93,8,1.46,22,4.01,94,17.15,94,17.15,81,14.78,92,16.79,78,14.23,18002
18,7,327,27,8.26,41,12.54,20,6.12,22,6.73,51,15.6,38,11.62,36,11.01,37,11.31,31,9.48,18007
18,10,941,50,5.31,75,7.97,30,3.19,46,4.89,151,16.05,158,16.79,125,13.28,144,15.3,122,12.96,18010
18,11,420,30,7.14,32,7.62,15,3.57,25,5.95,65,15.48,65,15.48,54,12.86,62,14.76,58,13.81,18011
18,13,728,64,8.79,62,8.52,32,4.4,46,6.32,113,15.52,103,14.15,91,12.5,98,13.46,80,10.99,18013
18,17,703,78,11.1,85,12.09,38,5.41,57,8.11,108,15.36,90,12.8,76,10.81,81,11.52,60,8.53,18017
18,21,682,34,4.99,61,8.94,14,2.05,30,4.4,105,15.4,113,16.57,98,14.37,119,17.45,91,13.34,18021
18,23,440,29,6.59,36,8.18,18,4.09,28,6.36,62,14.09,69,15.68,56,12.73,66,15.0,49,11.14,18023
18,29,397,40,10.08,46,11.59,15,3.78,27,6.8,59,14.86,59,14.86,45,11.34,49,12.34,40,10.08,18029
18,31,341,23,6.74,27,7.92,13,3.81,19,5.57,47,13.78,56,16.42,42,12.32,54,15.84,45,13.2,18031
18,36,399,30,7.52,36,9.02,14,3.51,19,4.76,63,15.79,59,14.79,65,16.29,51,12.78,51,12.78,18036
18,49,386,35,9.07,49,12.69,16,4.15,32,8.29,57,14.77,43,11.14,43,11.14,52,13.47,43,11.14,18049
22,1,216,20,9.26,21,9.72,8,3.7,13,6.02,29,13.43,34,15.74,27,12.5,31,14.35,25,11.57,22001
22,15,482,27,5.6,29,6.02,17,3.53,16,3.32,85,17.63,79,16.39,68,14.11,77,15.98,68,14.11,22015
22,22,188,11,5.85,13,6.91,11,5.85,11,5.85,29,15.43,26,13.83,25,13.3,25,13.3,22,11.7,22022
23,1,784,125,15.94,122,15.56,95,12.12,102,13.01,92,11.73,43,5.48,43,5.48,51,6.51,31,3.95,23001
23,2,1185,197,16.62,189,15.95,166,14.01,174,14.68,100,8.44,53,4.47,45,3.8,58,4.89,45,3.8,23002
23,3,768,106,13.8,113,14.71,78,10.16,82,10.68,118,15.36,54,7.03,53,6.9,62,8.07,41,5.34,23003
23,4,671,108,16.1,116,17.29,78,11.62,83,12.37,76,11.33,37,5.51,35,5.22,39,5.81,29,4.32,23004
23,5,584,77,13.18,95,16.27,42,7.19,58,9.93,90,15.41,51,8.73,46,7.88,62,10.62,34,5.82,23005
23,6,817,115,14.08,135,16.52,88,10.77,103,12.61,97,11.87,61,7.47,54,6.61,53,6.49,35,4.28,23006
23,7,321,32,9.97,48,14.95,17,5.3,22,6.85,47,14.64,57,17.76,29,9.03,35,10.9,22,6.85,23007
23,8,712,106,14.89,111,15.59,77,10.81,89,12.5,88,12.36,51,7.16,40,5.62,49,6.88,36,5.06,23008
23,9,330,36,10.91,39,11.82,20,6.06,21,6.36,50,15.15,46,13.94,31,9.39,39,11.82,28,8.48,23009
23,10,1447,259,17.9,267,18.45,234,16.17,241,16.66,76,5.25,41,2.83,36,2.49,40,2.76,27,1.87,23010
23,11,859,131,15.25,142,16.53,89,10.36,87,10.13,122,14.2,58,6.75,62,7.22,64,7.45,36,4.19,23011
23,12,510,79,15.49,87,17.06,63,12.35,74,14.51,51,10.0,23,4.51,28,5.49,27,5.29,19,3.73,23012
23,13,1163,190,16.34,194,16.68,149,12.81,147,12.64,127,10.92,62,5.33,53,4.56,73,6.28,40,3.44,23013
23,14,770,115,14.94,131,17.01,89,11.56,110,14.29,77,10.0,54,7.01,35,4.55,52,6.75,23,2.99,23014
23,15,800,114,14.25,122,15.25,92,11.5,100,12.5,98,12.25,51,6.38,55,6.88,56,7.0,35,4.38,23015
23,16,740,116,15.68,115,15.54,84,11.35,88,11.89,101,13.65,49,6.62,38,5.14,48,6.49,30,4.05,23016
23,17,901,137,15.21,139,15.43,88,9.77,97,10.77,128,14.21,71,7.88,53,5.88,68,7.55,42,4.66,23017
23,18,655,82,12.52,93,14.2,65,9.92,71,10.84,98,14.96,46,7.02,43,6.56,54,8.24,45,6.87,23018
23,19,921,148,16.07,165,17.92,113,12.27,119,12.92,108,11.73,48,5.21,35,3.8,47,5.1,33,3.58,23019
23,20,813,113,13.9,130,15.99,84,10.33,106,13.04,95,11.69,61,7.5,44,5.41,66,8.12,42,5.17,23020
23,21,594,76,12.79,87,14.65,58,9.76,70,11.78,89,14.98,44,7.41,34,5.72,46,7.74,33,5.56,23021
23,22,427,43,10.07,62,14.52,27,6.32,29,6.79,57,13.35,56,13.11,35,8.2,58,13.58,32,7.49,23022
23,23,534,71,13.3,76,14.23,44,8.24,57,10.67,58,10.86,61,11.42,32,5.99,55,10.3,36,6.74,23023
23,24,389,43,11.05,56,14.4,25,6.43,22,5.66,68,17.48,46,11.83,32,8.23,47,12.08,33,8.48,23024
23,25,569,82,14.41,103,18.1,65,11.42,72,12.65,62,10.9,45,7.91,24,4.22,39,6.85,21,3.69,23025
23,26,832,125,15.02,133,15.99,94,11.3,94,11.3,117,14.06,53,6.37,48,5.77,53,6.37,38,4.57,23026
23,27,467,51,10.92,63,13.49,31,6.64,47,10.06,81,17.34,47,10.06,36,7.71,48,10.28,35,7.49,23027
23,28,745,91,12.21,107,14.36,61,8.19,71,9.53,121,16.24,64,8.59,60,8.05,77,10.34,42,5.64,23028
23,29,465,58,12.47,79,16.99,41,8.82,37,7.96,75,16.13,44,9.46,29,6.24,44,9.46,25,5.38,23029
23,30,896,142,15.85,159,17.75,99,11.05,122,13.62,122,13.62,49,5.47,40,4.46,53,5.92,33,3.68,23030
23,31,780,125,16.03,133,17.05,103,13.21,108,13.85,77,9.87,39,5.0,36,4.62,34,4.36,29,3.72,23031
23,32,801,85,10.61,110,13.73,63,7.87,73,9.11,162,20.22,69,8.61,61,7.62,77,9.61,50,6.24,23032
23,33,1109,163,14.7,165,14.88,121,10.91,142,12.8,149,13.44,75,6.76,57,5.14,79,7.12,51,4.6,23033
23,34,583,70,12.01,88,15.09,52,8.92,56,9.61,95,16.3,50,8.58,49,8.4,44,7.55,34,5.83,23034
23,35,422,29,6.87,39,9.24,25,5.92,31,7.35,61,14.45,53,12.56,54,12.8,56,13.27,48,11.37,23035
23,36,852,126,14.79,137,16.08,104,12.21,112,13.15,95,11.15,50,5.87,44,5.16,52,6.1,40,4.69,23036
23,37,418,40,9.57,45,10.77,29,6.94,34,8.13,47,11.24,54,12.92,44,10.53,49,11.72,45,10.77,23037
23,38,741,112,15.11,125,16.87,95,12.82,102,13.77,94,12.69,37,4.99,32,4.32,41,5.53,27,3.64,23038
23,39,697,94,13.49,111,15.93,70,10.04,81,11.62,98,14.06,43,6.17,42,6.03,58,8.32,34,4.88,23039
23,40,757,107,14.13,127,16.78,72,9.51,96,12.68,110,14.53,44,5.81,45,5.94,56,7.4,39,5.15,23040
23,41,589,92,15.62,100,16.98,56,9.51,75,12.73,72,12.22,38,6.45,38,6.45,41,6.96,26,4.41,23041
23,42,660,101,15.3,110,16.67,70,10.61,86,13.03,77,11.67,43,6.52,33,5.0,45,6.82,27,4.09,23042
23,43,837,125,14.93,137,16.37,92,10.99,101,12.07,108,12.9,52,6.21,41,4.9,62,7.41,38,4.54,23043
23,44,931,155,16.65,180,19.33,107,11.49,132,14.18,116,12.46,41,4.4,32,3.44,46,4.94,25,2.69,23044
23,45,767,95,12.39,115,14.99,75,9.78,92,11.99,128,16.69,62,8.08,48,6.26,55,7.17,41,5.35,23045
23,46,686,104,15.16,103,15.01,65,9.48,78,11.37,96,13.99,47,6.85,43,6.27,53,7.73,34,4.96,23046
23,47,971,130,13.39,145,14.93,74,7.62,93,9.58,162,16.68,85,8.75,69,7.11,89,9.17,61,6.28,23047
23,48,660,97,14.7,107,16.21,73,11.06,81,12.27,82,12.42,40,6.06,43,6.52,43,6.52,33,5.0,23048
23,49,527,71,13.47,90,17.08,55,10.44,61,11.57,68,12.9,35,6.64,34,6.45,36,6.83,27,5.12,23049
23,50,487,71,14.58,82,16.84,54,11.09,44,9.03,66,13.55,41,8.42,23,4.72,38,7.8,23,4.72,23050
23,51,802,114,14.21,126,15.71,94,11.72,91,11.35,91,11.35,63,7.86,46,5.74,53,6.61,41,5.11,23051
23,52,866,147,16.97,147,16.97,107,12.36,114,13.16,107,12.36,40,4.62,31,3.58,51,5.89,25,2.89,23052
23,53,570,68,11.93,93,16.32,58,10.18,60,10.53,81,14.21,46,8.07,44,7.72,41,7.19,30,5.26,23053
23,54,1062,164,15.44,178,16.76,134,12.62,142,13.37,105,9.89,61,5.74,47,4.43,64,6.03,37,3.48,23054
23,55,1232,228,18.51,232,18.83,201,16.31,210,17.05,72,5.84,21,1.7,31,2.52,31,2.52,20,1.62,23055
23,56,669,107,15.99,124,18.54,67,10.01,84,12.56,94,14.05,38,5.68,30,4.48,37,5.53,22,3.29,23056
23,57,664,104,15.66,105,15.81,73,10.99,80,12.05,89,13.4,40,6.02,34,5.12,47,7.08,27,4.07,23057
23,58,1283,210,16.37,221,17.23,171,13.33,177,13.8,137,10.68,62,4.83,49,3.82,72,5.61,38,2.96,23058
23,59,513,70,13.65,85,16.57,61,11.89,57,11.11,66,12.87,36,7.02,29,5.65,37,7.21,23,4.48,23059
23,60,800,103,12.88,125,15.63,70,8.75,88,11.0,111,13.88,63,7.88,58,7.25,71,8.88,46,5.75,23060
23,61,749,111,14.82,129,17.22,81,10.81,99,13.22,99,13.22,47,6.28,38,5.07,46,6.14,29,3.87,23061
23,62,742,101,13.61,112,15.09,77,10.38,91,12.26,115,15.5,48,6.47,48,6.47,57,7.68,36,4.85,23062
29,22,292,36,12.33,24,8.22,8,2.74,17,5.82,38,13.01,50,17.12,32,10.96,43,14.73,35,11.99,29022
29,34,344,29,8.43,33,9.59,11,3.2,20,5.81,51,14.83,48,13.95,38,11.05,60,17.44,41,11.92,29034
