ward,precinct,total,NANCY A. DONAHOE,NANCY A. DONAHOE Percent,LAWRENCE A. SCORDINO,LAWRENCE A. SCORDINO Percent,ROBERT RONALD TEPPER,ROBERT RONALD TEPPER Percent,"P. SCOTT NEVILLE, JR.","P. SCOTT NEVILLE, JR. Percent",DEBORAH JEAN GUBIN,DEBORAH JEAN GUBIN Percent,JOHN JOSEPH DOWNEY,JOHN JOSEPH DOWNEY Percent,precinct_id
48,39,80,30,37.5,7,8.75,10,12.5,12,15.0,15,18.75,6,7.5,48039
48,40,81,29,35.8,10,12.35,7,8.64,12,14.81,14,17.28,9,11.11,48040
48,41,51,9,17.65,4,7.84,1,1.96,14,27.45,16,31.37,7,13.73,48041
48,42,113,36,31.86,7,6.19,5,4.42,30,26.55,27,23.89,8,7.08,48042
48,43,67,17,25.37,3,4.48,2,2.99,12,17.91,24,35.82,9,13.43,48043
48,44,73,26,35.62,5,6.85,7,9.59,11,15.07,16,21.92,8,10.96,48044
48,45,48,5,10.42,3,6.25,2,4.17,18,37.5,12,25.0,8,16.67,48045
48,46,63,19,30.16,5,7.94,4,6.35,11,17.46,18,28.57,6,9.52,48046
48,47,68,25,36.76,7,10.29,3,4.41,13,19.12,12,17.65,8,11.76,48047
48,48,73,21,28.77,3,4.11,6,8.22,10,13.7,22,30.14,11,15.07,48048
49,1,116,26,22.41,4,3.45,9,7.76,45,38.79,17,14.66,15,12.93,49001
49,2,126,38,30.16,11,8.73,12,9.52,29,23.02,20,15.87,16,12.7,49002
49,3,111,27,24.32,7,6.31,7,6.31,32,28.83,27,24.32,11,9.91,49003
49,4,75,34,45.33,2,2.67,7,9.33,10,13.33,14,18.67,8,10.67,49004
49,5,70,21,30.0,4,5.71,4,5.71,15,21.43,18,25.71,8,11.43,49005
49,6,71,14,19.72,2,2.82,9,12.68,20,28.17,18,25.35,8,11.27,49006
49,7,73,17,23.29,1,1.37,5,6.85,22,30.14,22,30.14,6,8.22,49007
49,8,71,31,43.66,1,1.41,3,4.23,14,19.72,13,18.31,9,12.68,49008
49,9,73,24,32.88,1,1.37,7,9.59,12,16.44,20,27.4,9,12.33,49009
49,10,112,25,22.32,4,3.57,4,3.57,45,40.18,20,17.86,14,12.5,49010
49,11,113,29,25.66,3,2.65,8,7.08,30,26.55,26,23.01,17,15.04,49011
49,12,79,13,16.46,8,10.13,13,16.46,18,22.78,17,21.52,10,12.66,49012
49,13,97,34,35.05,5,5.15,5,5.15,17,17.53,25,25.77,11,11.34,49013
49,14,102,27,26.47,8,7.84,7,6.86,20,19.61,32,31.37,8,7.84,49014
49,15,63,16,25.4,6,9.52,6,9.52,10,15.87,14,22.22,11,17.46,49015
49,16,90,25,27.78,2,2.22,3,3.33,19,21.11,26,28.89,15,16.67,49016
49,17,28,9,32.14,1,3.57,5,17.86,6,21.43,2,7.14,5,17.86,49017
49,18,94,35,37.23,5,5.32,9,9.57,12,12.77,19,20.21,14,14.89,49018
49,19,65,15,23.08,2,3.08,8,12.31,22,33.85,10,15.38,8,12.31,49019
49,20,117,29,24.79,7,5.98,5,4.27,32,27.35,29,24.79,15,12.82,49020
49,21,57,28,49.12,3,5.26,1,1.75,8,14.04,11,19.3,6,10.53,49021
49,22,90,27,30.0,2,2.22,7,7.78,24,26.67,22,24.44,8,8.89,49022
49,23,76,23,30.26,3,3.95,3,3.95,19,25.0,21,27.63,7,9.21,49023
49,24,91,24,26.37,5,5.49,6,6.59,30,32.97,15,16.48,11,12.09,49024
49,25,68,20,29.41,1,1.47,6,8.82,19,27.94,15,22.06,7,10.29,49025
49,26,144,44,30.56,8,5.56,12,8.33,28,19.44,40,27.78,12,8.33,49026
49,27,101,21,20.79,8,7.92,6,5.94,24,23.76,26,25.74,16,15.84,49027
49,28,73,22,30.14,5,6.85,3,4.11,15,20.55,16,21.92,12,16.44,49028
49,29,43,13,30.23,1,2.33,2,4.65,7,16.28,13,30.23,7,16.28,49029
49,30,75,19,25.33,1,1.33,2,2.67,25,33.33,17,22.67,11,14.67,49030
49,31,71,22,30.99,0,0.0,7,9.86,20,28.17,16,22.54,6,8.45,49031
49,32,81,20,24.69,3,3.7,6,7.41,18,22.22,23,28.4,11,13.58,49032
49,33,64,17,26.56,2,3.13,2,3.13,19,29.69,16,25.0,8,12.5,49033
49,34,67,14,20.9,5,7.46,7,10.45,17,25.37,16,23.88,8,11.94,49034
49,35,86,29,33.72,4,4.65,3,3.49,15,17.44,22,25.58,13,15.12,49035
49,36,67,16,23.88,6,8.96,9,13.43,19,28.36,10,14.93,7,10.45,49036
