ward,precinct,total,LORETTA EADIE-DANIELS,LORETTA EADIE-DANIELS Percent,JOANNE SIMBOLI HODGE,JOANNE SIMBOLI HODGE Percent,PAULA M. LINGO,PAULA M. LINGO Percent,ANGELA W. RICHARDSON,ANGELA W. RICHARDSON Percent,CASANDRA LEWIS,CASANDRA LEWIS Percent,HILDA R. WHITTINGTON,HILDA R. WHITTINGTON Percent,PAUL A. BRADY,PAUL A. BRADY Percent,"ROBERT L. """"BOB"""" ANDERSON","ROBERT L. """"BOB"""" ANDERSON Percent",precinct_id
3,7,13,3,23.08,0,0.0,1,7.69,4,30.77,2,15.38,0,0.0,2,15.38,1,7.69,03007
3,8,55,15,27.27,7,12.73,2,3.64,10,18.18,8,14.55,2,3.64,4,7.27,7,12.73,03008
3,9,84,30,35.71,6,7.14,9,10.71,14,16.67,9,10.71,1,1.19,5,5.95,10,11.9,03009
3,10,115,39,33.91,15,13.04,6,5.22,19,16.52,16,13.91,3,2.61,5,4.35,12,10.43,03010
3,11,64,21,32.81,4,6.25,10,15.63,8,12.5,10,15.63,3,4.69,3,4.69,5,7.81,03011
3,12,81,29,35.8,3,3.7,4,4.94,13,16.05,12,14.81,2,2.47,3,3.7,15,18.52,03012
3,13,25,9,36.0,0,0.0,6,24.0,4,16.0,1,4.0,1,4.0,3,12.0,1,4.0,03013
3,14,46,11,23.91,2,4.35,0,0.0,5,10.87,12,26.09,2,4.35,5,10.87,9,19.57,03014
3,15,73,22,30.14,2,2.74,8,10.96,11,15.07,9,12.33,7,9.59,9,12.33,5,6.85,03015
3,16,150,71,47.33,1,0.67,23,15.33,20,13.33,13,8.67,7,4.67,4,2.67,11,7.33,03016
3,17,75,27,36.0,6,8.0,7,9.33,8,10.67,11,14.67,2,2.67,4,5.33,10,13.33,03017
3,18,71,23,32.39,4,5.63,6,8.45,10,14.08,10,14.08,3,4.23,7,9.86,8,11.27,03018
3,19,46,10,21.74,1,2.17,8,17.39,8,17.39,4,8.7,1,2.17,5,10.87,9,19.57,03019
3,20,32,10,31.25,2,6.25,3,9.38,3,9.38,5,15.63,2,6.25,3,9.38,4,12.5,03020
3,21,62,24,38.71,4,6.45,1,1.61,9,14.52,7,11.29,4,6.45,5,8.06,8,12.9,03021
3,22,85,27,31.76,5,5.88,14,16.47,12,14.12,9,10.59,3,3.53,6,7.06,9,10.59,03022
3,23,27,6,22.22,0,0.0,3,11.11,7,25.93,4,14.81,0,0.0,3,11.11,4,14.81,03023
3,24,106,38,35.85,3,2.83,4,3.77,17,16.04,9,8.49,11,10.38,11,10.38,13,12.26,03024
3,25,20,4,20.0,1,5.0,2,10.0,3,15.0,5,25.0,1,5.0,2,10.0,2,10.0,03025
3,26,60,16,26.67,3,5.0,6,10.0,14,23.33,6,10.0,4,6.67,4,6.67,7,11.67,03026
3,27,13,3,23.08,3,23.08,1,7.69,1,7.69,2,15.38,0,0.0,0,0.0,3,23.08,03027
3,28,115,32,27.83,2,1.74,31,26.96,19,16.52,8,6.96,6,5.22,6,5.22,11,9.57,03028
3,29,14,3,21.43,0,0.0,0,0.0,4,28.57,3,21.43,0,0.0,3,21.43,1,7.14,03029
3,30,99,37,37.37,1,1.01,12,12.12,13,13.13,14,14.14,6,6.06,5,5.05,11,11.11,03030
3,31,93,45,48.39,3,3.23,10,10.75,8,8.6,11,11.83,4,4.3,3,3.23,9,9.68,03031
3,32,113,41,36.28,4,3.54,15,13.27,24,21.24,14,12.39,3,2.65,5,4.42,7,6.19,03032
3,33,94,28,29.79,3,3.19,9,9.57,15,15.96,6,6.38,5,5.32,11,11.7,17,18.09,03033
3,34,29,16,55.17,2,6.9,1,3.45,1,3.45,3,10.34,2,6.9,1,3.45,3,10.34,03034
3,35,84,37,44.05,3,3.57,9,10.71,9,10.71,12,14.29,2,2.38,1,1.19,11,13.1,03035
3,36,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,03036
3,37,84,27,32.14,6,7.14,7,8.33,5,5.95,6,7.14,3,3.57,15,17.86,15,17.86,03037
3,38,150,40,26.67,6,4.0,33,22.0,29,19.33,11,7.33,6,4.0,10,6.67,15,10.0,03038
3,39,211,64,30.33,7,3.32,67,31.75,24,11.37,8,3.79,9,4.27,8,3.79,24,11.37,03039
3,40,81,25,30.86,3,3.7,5,6.17,10,12.35,10,12.35,4,4.94,7,8.64,17,20.99,03040
3,41,75,14,18.67,6,8.0,7,9.33,12,16.0,10,13.33,2,2.67,10,13.33,14,18.67,03041
3,42,35,11,31.43,2,5.71,1,2.86,8,22.86,8,22.86,1,2.86,2,5.71,2,5.71,03042
3,43,15,1,6.67,1,6.67,3,20.0,3,20.0,2,13.33,0,0.0,4,26.67,1,6.67,03043
3,44,67,35,52.24,2,2.99,5,7.46,8,11.94,5,7.46,2,2.99,6,8.96,4,5.97,03044
3,45,35,5,14.29,3,8.57,3,8.57,4,11.43,4,11.43,3,8.57,7,20.0,6,17.14,03045
3,46,11,4,36.36,2,18.18,2,18.18,1,9.09,1,9.09,0,0.0,0,0.0,1,9.09,03046
3,47,71,16,22.54,3,4.23,10,14.08,10,14.08,12,16.9,5,7.04,5,7.04,10,14.08,03047
3,48,66,16,24.24,4,6.06,9,13.64,10,15.15,10,15.15,6,9.09,2,3.03,9,13.64,03048
3,49,64,19,29.69,1,1.56,6,9.38,10,15.63,8,12.5,3,4.69,7,10.94,10,15.63,03049
3,50,92,37,40.22,3,3.26,12,13.04,17,18.48,4,4.35,7,7.61,4,4.35,8,8.7,03050
3,51,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03051
3,52,97,30,30.93,3,3.09,8,8.25,9,9.28,14,14.43,5,5.15,7,7.22,21,21.65,03052
4,1,136,53,38.97,12,8.82,9,6.62,21,15.44,16,11.76,6,4.41,3,2.21,16,11.76,04001
4,2,26,7,26.92,1,3.85,3,11.54,5,19.23,2,7.69,2,7.69,2,7.69,4,15.38,04002
4,3,174,58,33.33,8,4.6,18,10.34,21,12.07,30,17.24,7,4.02,15,8.62,17,9.77,04003
4,4,142,52,36.62,6,4.23,11,7.75,21,14.79,20,14.08,9,6.34,8,5.63,15,10.56,04004
4,5,149,52,34.9,7,4.7,13,8.72,24,16.11,19,12.75,8,5.37,7,4.7,19,12.75,04005
4,6,5,1,20.0,0,0.0,2,40.0,1,20.0,0,0.0,0,0.0,0,0.0,1,20.0,04006
4,7,109,49,44.95,4,3.67,16,14.68,11,10.09,10,9.17,2,1.83,2,1.83,15,13.76,04007
4,8,186,40,21.51,12,6.45,26,13.98,34,18.28,27,14.52,9,4.84,5,2.69,33,17.74,04008
4,9,306,118,38.56,15,4.9,47,15.36,34,11.11,47,15.36,23,7.52,6,1.96,16,5.23,04009
4,10,188,65,34.57,3,1.6,22,11.7,32,17.02,27,14.36,10,5.32,3,1.6,26,13.83,04010
4,11,112,36,32.14,3,2.68,17,15.18,17,15.18,5,4.46,14,12.5,8,7.14,12,10.71,04011
4,12,100,21,21.0,5,5.0,14,14.0,18,18.0,14,14.0,13,13.0,6,6.0,9,9.0,04012
4,13,183,81,44.26,13,7.1,14,7.65,16,8.74,17,9.29,13,7.1,10,5.46,19,10.38,04013
4,14,94,36,38.3,2,2.13,9,9.57,13,13.83,6,6.38,7,7.45,5,5.32,16,17.02,04014
4,15,88,31,35.23,2,2.27,9,10.23,14,15.91,11,12.5,4,4.55,5,5.68,12,13.64,04015
4,16,154,58,37.66,8,5.19,22,14.29,19,12.34,17,11.04,8,5.19,7,4.55,15,9.74,04016
4,17,178,65,36.52,16,8.99,18,10.11,26,14.61,24,13.48,13,7.3,3,1.69,13,7.3,04017
4,18,117,28,23.93,0,0.0,23,19.66,19,16.24,14,11.97,7,5.98,9,7.69,17,14.53,04018
4,19,32,12,37.5,2,6.25,1,3.13,2,6.25,4,12.5,1,3.13,6,18.75,4,12.5,04019
4,20,54,8,14.81,3,5.56,10,18.52,10,18.52,5,9.26,2,3.7,5,9.26,11,20.37,04020
4,21,151,46,30.46,8,5.3,25,16.56,20,13.25,22,14.57,13,8.61,2,1.32,15,9.93,04021
4,22,218,120,55.05,28,12.84,15,6.88,10,4.59,22,10.09,11,5.05,4,1.83,8,3.67,04022
4,23,128,43,33.59,21,16.41,16,12.5,16,12.5,10,7.81,15,11.72,1,0.78,6,4.69,04023
4,24,160,50,31.25,13,8.13,13,8.13,32,20.0,18,11.25,4,2.5,14,8.75,16,10.0,04024
4,25,172,43,25.0,10,5.81,39,22.67,18,10.47,26,15.12,15,8.72,11,6.4,10,5.81,04025
4,26,110,31,28.18,7,6.36,6,5.45,16,14.55,15,13.64,17,15.45,2,1.82,16,14.55,04026
4,27,224,75,33.48,10,4.46,33,14.73,20,8.93,18,8.04,47,20.98,11,4.91,10,4.46,04027
4,28,154,76,49.35,22,14.29,8,5.19,13,8.44,9,5.84,8,5.19,8,5.19,10,6.49,04028
4,29,128,49,38.28,15,11.72,18,14.06,16,12.5,13,10.16,2,1.56,6,4.69,9,7.03,04029
4,30,27,9,33.33,1,3.7,2,7.41,5,18.52,2,7.41,0,0.0,5,18.52,3,11.11,04030
4,31,44,8,18.18,1,2.27,16,36.36,4,9.09,7,15.91,3,6.82,3,6.82,2,4.55,04031
4,32,183,56,30.6,71,38.8,5,2.73,17,9.29,15,8.2,8,4.37,5,2.73,6,3.28,04032
4,33,52,10,19.23,3,5.77,9,17.31,7,13.46,7,13.46,0,0.0,8,15.38,8,15.38,04033
4,34,130,56,43.08,29,22.31,11,8.46,14,10.77,10,7.69,2,1.54,3,2.31,5,3.85,04034
4,35,93,31,33.33,3,3.23,13,13.98,21,22.58,9,9.68,3,3.23,3,3.23,10,10.75,04035
4,36,183,56,30.6,7,3.83,43,23.5,33,18.03,11,6.01,9,4.92,7,3.83,17,9.29,04036
4,37,79,19,24.05,4,5.06,9,11.39,12,15.19,8,10.13,5,6.33,7,8.86,15,18.99,04037
4,38,214,80,37.38,16,7.48,26,12.15,28,13.08,23,10.75,15,7.01,10,4.67,16,7.48,04038
4,39,70,28,40.0,4,5.71,5,7.14,8,11.43,7,10.0,5,7.14,4,5.71,9,12.86,04039
4,40,136,42,30.88,8,5.88,11,8.09,18,13.24,15,11.03,16,11.76,9,6.62,17,12.5,04040
4,41,116,47,40.52,23,19.83,4,3.45,13,11.21,15,12.93,7,6.03,3,2.59,4,3.45,04041
4,42,99,30,30.3,4,4.04,9,9.09,20,20.2,15,15.15,7,7.07,5,5.05,9,9.09,04042
4,43,112,51,45.54,15,13.39,8,7.14,13,11.61,9,8.04,7,6.25,5,4.46,4,3.57,04043
4,44,104,31,29.81,6,5.77,12,11.54,18,17.31,18,17.31,10,9.62,5,4.81,4,3.85,04044
4,45,269,95,35.32,20,7.43,52,19.33,25,9.29,29,10.78,18,6.69,10,3.72,20,7.43,04045
4,46,141,48,34.04,10,7.09,18,12.77,19,13.48,18,12.77,8,5.67,11,7.8,9,6.38,04046
4,47,202,64,31.68,28,13.86,9,4.46,23,11.39,48,23.76,7,3.47,6,2.97,17,8.42,04047
4,48,205,66,32.2,29,14.15,15,7.32,33,16.1,25,12.2,13,6.34,12,5.85,12,5.85,04048
4,49,35,13,37.14,0,0.0,3,8.57,5,14.29,5,14.29,2,5.71,3,8.57,4,11.43,04049
4,50,111,29,26.13,7,6.31,7,6.31,18,16.22,10,9.01,9,8.11,7,6.31,24,21.62,04050
4,51,175,58,33.14,13,7.43,24,13.71,21,12.0,26,14.86,9,5.14,7,4.0,17,9.71,04051
4,52,35,11,31.43,1,2.86,6,17.14,6,17.14,2,5.71,2,5.71,5,14.29,2,5.71,04052
4,53,32,13,40.63,3,9.38,1,3.13,5,15.63,5,15.63,2,6.25,0,0.0,3,9.38,04053
4,54,83,29,34.94,13,15.66,5,6.02,15,18.07,6,7.23,4,4.82,3,3.61,8,9.64,04054
4,55,115,61,53.04,26,22.61,8,6.96,5,4.35,7,6.09,4,3.48,2,1.74,2,1.74,04055
5,1,152,50,32.89,4,2.63,23,15.13,18,11.84,18,11.84,10,6.58,8,5.26,21,13.82,05001
5,2,114,30,26.32,6,5.26,4,3.51,17,14.91,16,14.04,9,7.89,9,7.89,23,20.18,05002
5,3,174,37,21.26,4,2.3,12,6.9,15,8.62,7,4.02,9,5.17,9,5.17,81,46.55,05003
5,4,207,40,19.32,5,2.42,30,14.49,30,14.49,35,16.91,12,5.8,7,3.38,48,23.19,05004
5,5,107,28,26.17,3,2.8,20,18.69,18,16.82,16,14.95,10,9.35,3,2.8,9,8.41,05005
5,6,173,31,17.92,7,4.05,16,9.25,28,16.18,22,12.72,9,5.2,8,4.62,52,30.06,05006
5,7,140,70,50.0,7,5.0,12,8.57,12,8.57,20,14.29,5,3.57,2,1.43,12,8.57,05007
5,8,187,81,43.32,77,41.18,1,0.53,7,3.74,10,5.35,6,3.21,2,1.07,3,1.6,05008
5,9,138,48,34.78,3,2.17,8,5.8,15,10.87,15,10.87,8,5.8,8,5.8,33,23.91,05009
5,10,85,28,32.94,0,0.0,8,9.41,11,12.94,13,15.29,11,12.94,4,4.71,10,11.76,05010
5,11,50,20,40.0,11,22.0,2,4.0,5,10.0,4,8.0,3,6.0,2,4.0,3,6.0,05011
5,13,145,37,25.52,5,3.45,16,11.03,28,19.31,25,17.24,12,8.28,7,4.83,15,10.34,05013
5,14,122,48,39.34,28,22.95,6,4.92,14,11.48,9,7.38,2,1.64,5,4.1,10,8.2,05014
5,16,93,20,21.51,5,5.38,9,9.68,14,15.05,9,9.68,13,13.98,8,8.6,15,16.13,05016
5,17,92,26,28.26,1,1.09,11,11.96,18,19.57,9,9.78,5,5.43,8,8.7,14,15.22,05017
5,18,90,21,23.33,4,4.44,9,10.0,8,8.89,14,15.56,6,6.67,6,6.67,22,24.44,05018
5,19,110,20,18.18,4,3.64,9,8.18,23,20.91,24,21.82,2,1.82,7,6.36,21,19.09,05019
5,20,104,26,25.0,1,0.96,9,8.65,16,15.38,14,13.46,15,14.42,6,5.77,17,16.35,05020
5,21,192,62,32.29,9,4.69,23,11.98,20,10.42,27,14.06,7,3.65,8,4.17,36,18.75,05021
5,23,112,33,29.46,5,4.46,10,8.93,28,25.0,13,11.61,6,5.36,7,6.25,10,8.93,05023
5,24,135,42,31.11,29,21.48,16,11.85,14,10.37,16,11.85,11,8.15,4,2.96,3,2.22,05024
5,25,104,25,24.04,3,2.88,11,10.58,25,24.04,19,18.27,5,4.81,5,4.81,11,10.58,05025
5,26,85,29,34.12,2,2.35,6,7.06,11,12.94,15,17.65,1,1.18,7,8.24,14,16.47,05026
5,27,41,16,39.02,6,14.63,1,2.44,6,14.63,4,9.76,2,4.88,2,4.88,4,9.76,05027
5,28,192,53,27.6,15,7.81,25,13.02,27,14.06,27,14.06,8,4.17,11,5.73,26,13.54,05028
5,29,103,28,27.18,3,2.91,16,15.53,15,14.56,16,15.53,11,10.68,3,2.91,11,10.68,05029
5,30,137,56,40.88,67,48.91,3,2.19,5,3.65,3,2.19,1,0.73,2,1.46,0,0.0,05030
5,31,91,41,45.05,3,3.3,6,6.59,13,14.29,10,10.99,5,5.49,3,3.3,10,10.99,05031
5,32,209,58,27.75,7,3.35,30,14.35,34,16.27,29,13.88,23,11.0,5,2.39,23,11.0,05032
5,33,140,34,24.29,4,2.86,23,16.43,21,15.0,21,15.0,13,9.29,5,3.57,19,13.57,05033
5,34,99,31,31.31,5,5.05,15,15.15,12,12.12,14,14.14,3,3.03,7,7.07,12,12.12,05034
5,35,91,37,40.66,14,15.38,7,7.69,7,7.69,17,18.68,1,1.1,4,4.4,4,4.4,05035
5,36,144,53,36.81,5,3.47,17,11.81,23,15.97,16,11.11,6,4.17,11,7.64,13,9.03,05036
5,37,99,39,39.39,23,23.23,7,7.07,5,5.05,12,12.12,2,2.02,7,7.07,4,4.04,05037
5,38,159,67,42.14,37,23.27,5,3.14,13,8.18,16,10.06,3,1.89,4,2.52,14,8.81,05038
5,39,146,49,33.56,76,52.05,2,1.37,6,4.11,1,0.68,3,2.05,4,2.74,5,3.42,05039
5,40,103,31,30.1,4,3.88,11,10.68,19,18.45,14,13.59,4,3.88,4,3.88,16,15.53,05040
5,41,95,27,28.42,37,38.95,3,3.16,9,9.47,7,7.37,2,2.11,7,7.37,3,3.16,05041
5,42,141,47,33.33,4,2.84,18,12.77,21,14.89,15,10.64,8,5.67,8,5.67,20,14.18,05042
5,43,167,38,22.75,15,8.98,17,10.18,16,9.58,33,19.76,11,6.59,14,8.38,23,13.77,05043
5,44,138,18,13.04,4,2.9,39,28.26,25,18.12,20,14.49,4,2.9,7,5.07,21,15.22,05044
5,45,92,24,26.09,2,2.17,12,13.04,18,19.57,12,13.04,9,9.78,6,6.52,9,9.78,05045
5,46,143,47,32.87,29,20.28,16,11.19,12,8.39,12,8.39,7,4.9,6,4.2,14,9.79,05046
5,47,96,31,32.29,1,1.04,6,6.25,16,16.67,23,23.96,6,6.25,4,4.17,9,9.38,05047
5,48,142,48,33.8,17,11.97,10,7.04,19,13.38,18,12.68,5,3.52,5,3.52,20,14.08,05048
5,49,149,56,37.58,68,45.64,1,0.67,7,4.7,4,2.68,6,4.03,5,3.36,2,1.34,05049
5,51,110,24,21.82,7,6.36,10,9.09,22,20.0,18,16.36,7,6.36,6,5.45,16,14.55,05051
5,52,92,24,26.09,1,1.09,7,7.61,14,15.22,10,10.87,8,8.7,8,8.7,20,21.74,05052
5,53,107,26,24.3,3,2.8,6,5.61,23,21.5,9,8.41,3,2.8,6,5.61,31,28.97,05053
5,54,88,32,36.36,4,4.55,9,10.23,11,12.5,9,10.23,3,3.41,2,2.27,18,20.45,05054
5,55,142,57,40.14,3,2.11,24,16.9,20,14.08,11,7.75,6,4.23,6,4.23,15,10.56,05055
5,56,87,19,21.84,5,5.75,15,17.24,17,19.54,14,16.09,4,4.6,5,5.75,8,9.2,05056
5,57,146,49,33.56,14,9.59,9,6.16,28,19.18,26,17.81,4,2.74,8,5.48,8,5.48,05057
5,58,78,22,28.21,4,5.13,6,7.69,12,15.38,9,11.54,10,12.82,6,7.69,9,11.54,05058
5,59,86,25,29.07,5,5.81,19,22.09,13,15.12,7,8.14,3,3.49,2,2.33,12,13.95,05059
6,7,122,21,17.21,10,8.2,13,10.66,25,20.49,24,19.67,10,8.2,6,4.92,13,10.66,06007
6,15,75,9,12.0,1,1.33,8,10.67,10,13.33,21,28.0,3,4.0,8,10.67,15,20.0,06015
6,18,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06018
6,30,130,19,14.62,5,3.85,24,18.46,24,18.46,25,19.23,8,6.15,10,7.69,15,11.54,06030
6,32,162,33,20.37,10,6.17,32,19.75,22,13.58,21,12.96,9,5.56,7,4.32,28,17.28,06032
6,33,176,22,12.5,6,3.41,45,25.57,25,14.2,32,18.18,10,5.68,8,4.55,28,15.91,06033
6,48,171,33,19.3,8,4.68,33,19.3,23,13.45,27,15.79,17,9.94,3,1.75,27,15.79,06048
6,61,102,18,17.65,2,1.96,14,13.73,16,15.69,22,21.57,9,8.82,3,2.94,18,17.65,06061
7,9,133,30,22.56,3,2.26,26,19.55,19,14.29,16,12.03,8,6.02,10,7.52,21,15.79,07009
7,11,147,32,21.77,7,4.76,36,24.49,20,13.61,29,19.73,8,5.44,3,2.04,12,8.16,07011
7,22,130,25,19.23,9,6.92,25,19.23,19,14.62,17,13.08,4,3.08,8,6.15,23,17.69,07022
7,35,163,25,15.34,10,6.13,24,14.72,30,18.4,26,15.95,13,7.98,11,6.75,24,14.72,07035
7,40,107,22,20.56,7,6.54,19,17.76,16,14.95,13,12.15,7,6.54,8,7.48,15,14.02,07040
7,44,169,45,26.63,6,3.55,24,14.2,29,17.16,20,11.83,10,5.92,12,7.1,23,13.61,07044
7,45,179,44,24.58,4,2.23,23,12.85,38,21.23,24,13.41,9,5.03,5,2.79,32,17.88,07045
11,12,190,119,62.63,10,5.26,7,3.68,8,4.21,2,1.05,4,2.11,25,13.16,15,7.89,11012
11,13,152,98,64.47,17,11.18,10,6.58,7,4.61,5,3.29,0,0.0,7,4.61,8,5.26,11013
11,15,123,70,56.91,17,13.82,4,3.25,3,2.44,0,0.0,1,0.81,19,15.45,9,7.32,11015
11,28,38,26,68.42,3,7.89,1,2.63,0,0.0,0,0.0,0,0.0,6,15.79,2,5.26,11028
11,32,141,99,70.21,8,5.67,5,3.55,5,3.55,0,0.0,1,0.71,14,9.93,9,6.38,11032
11,33,85,38,44.71,5,5.88,8,9.41,11,12.94,10,11.76,1,1.18,6,7.06,6,7.06,11033
11,34,80,37,46.25,11,13.75,8,10.0,2,2.5,4,5.0,4,5.0,7,8.75,7,8.75,11034
11,39,198,83,41.92,28,14.14,31,15.66,11,5.56,7,3.54,4,2.02,17,8.59,17,8.59,11039
11,42,116,81,69.83,8,6.9,6,5.17,3,2.59,3,2.59,0,0.0,8,6.9,7,6.03,11042
11,43,160,87,54.38,21,13.13,20,12.5,5,3.13,3,1.88,4,2.5,7,4.38,13,8.13,11043
11,45,128,79,61.72,12,9.38,6,4.69,6,4.69,2,1.56,2,1.56,12,9.38,9,7.03,11045
11,46,80,53,66.25,7,8.75,4,5.0,5,6.25,1,1.25,2,2.5,4,5.0,4,5.0,11046
11,47,145,77,53.1,12,8.28,12,8.28,8,5.52,6,4.14,1,0.69,11,7.59,18,12.41,11047
11,48,104,59,56.73,3,2.88,5,4.81,5,4.81,7,6.73,0,0.0,12,11.54,13,12.5,11048
11,49,109,71,65.14,6,5.5,3,2.75,4,3.67,3,2.75,0,0.0,9,8.26,13,11.93,11049
11,51,175,127,72.57,10,5.71,4,2.29,3,1.71,1,0.57,2,1.14,19,10.86,9,5.14,11051
11,53,152,109,71.71,15,9.87,12,7.89,2,1.32,1,0.66,0,0.0,8,5.26,5,3.29,11053
11,54,74,68,91.89,2,2.7,1,1.35,0,0.0,1,1.35,0,0.0,0,0.0,2,2.7,11054
15,1,116,30,25.86,6,5.17,8,6.9,27,23.28,15,12.93,7,6.03,8,6.9,15,12.93,15001
15,2,112,34,30.36,3,2.68,6,5.36,18,16.07,13,11.61,3,2.68,7,6.25,28,25.0,15002
15,4,97,34,35.05,6,6.19,6,6.19,13,13.4,12,12.37,3,3.09,7,7.22,16,16.49,15004
15,5,115,24,20.87,10,8.7,8,6.96,17,14.78,18,15.65,6,5.22,8,6.96,24,20.87,15005
15,7,98,35,35.71,5,5.1,2,2.04,13,13.27,18,18.37,4,4.08,8,8.16,13,13.27,15007
15,17,89,30,33.71,4,4.49,7,7.87,12,13.48,12,13.48,5,5.62,6,6.74,13,14.61,15017
15,18,120,38,31.67,5,4.17,9,7.5,19,15.83,21,17.5,1,0.83,10,8.33,17,14.17,15018
15,19,91,32,35.16,1,1.1,7,7.69,17,18.68,6,6.59,7,7.69,6,6.59,15,16.48,15019
15,20,80,22,27.5,2,2.5,5,6.25,10,12.5,23,28.75,3,3.75,8,10.0,7,8.75,15020
15,21,129,29,22.48,5,3.88,7,5.43,31,24.03,22,17.05,7,5.43,14,10.85,14,10.85,15021
15,23,72,25,34.72,3,4.17,5,6.94,13,18.06,10,13.89,0,0.0,7,9.72,9,12.5,15023
15,26,108,30,27.78,4,3.7,6,5.56,18,16.67,22,20.37,4,3.7,9,8.33,15,13.89,15026
15,31,113,33,29.2,11,9.73,8,7.08,20,17.7,10,8.85,6,5.31,6,5.31,19,16.81,15031
15,33,98,39,39.8,6,6.12,9,9.18,13,13.27,10,10.2,3,3.06,6,6.12,12,12.24,15033
15,34,23,18,78.26,5,21.74,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15034
15,35,132,27,20.45,6,4.55,6,4.55,37,28.03,24,18.18,7,5.3,6,4.55,19,14.39,15035
15,36,100,30,30.0,4,4.0,5,5.0,18,18.0,12,12.0,6,6.0,10,10.0,15,15.0,15036
15,37,120,28,23.33,4,3.33,13,10.83,18,15.0,17,14.17,13,10.83,4,3.33,23,19.17,15037
15,39,100,39,39.0,3,3.0,10,10.0,16,16.0,7,7.0,7,7.0,5,5.0,13,13.0,15039
15,40,112,33,29.46,4,3.57,9,8.04,27,24.11,14,12.5,3,2.68,11,9.82,11,9.82,15040
15,42,88,21,23.86,5,5.68,11,12.5,20,22.73,12,13.64,6,6.82,6,6.82,7,7.95,15042
15,43,71,18,25.35,5,7.04,4,5.63,7,9.86,12,16.9,1,1.41,11,15.49,13,18.31,15043
