ward,precinct,total,RAYMOND L. HARRIS (GORE),RAYMOND L. HARRIS (GORE) Percent,JOHN J. GEAREN (BRADLEY),JOHN J. GEAREN (BRADLEY) Percent,precinct_id
24,21,55,49,89.09,6,10.91,24021
24,22,78,70,89.74,8,10.26,24022
24,23,61,55,90.16,6,9.84,24023
24,24,44,41,93.18,3,6.82,24024
24,25,70,65,92.86,5,7.14,24025
24,26,85,74,87.06,11,12.94,24026
24,27,49,38,77.55,11,22.45,24027
24,28,68,60,88.24,8,11.76,24028
24,29,90,82,91.11,8,8.89,24029
24,30,67,58,86.57,9,13.43,24030
24,31,69,62,89.86,7,10.14,24031
24,32,81,72,88.89,9,11.11,24032
24,33,69,64,92.75,5,7.25,24033
24,34,72,66,91.67,6,8.33,24034
24,35,69,58,84.06,11,15.94,24035
24,36,60,51,85.0,9,15.0,24036
24,37,101,93,92.08,8,7.92,24037
24,38,82,73,89.02,9,10.98,24038
24,39,62,59,95.16,3,4.84,24039
24,40,131,112,85.5,19,14.5,24040
24,41,78,72,92.31,6,7.69,24041
24,42,58,52,89.66,6,10.34,24042
24,43,64,58,90.63,6,9.38,24043
24,44,31,29,93.55,2,6.45,24044
24,45,80,68,85.0,12,15.0,24045
24,46,92,84,91.3,8,8.7,24046
24,47,69,63,91.3,6,8.7,24047
24,48,21,20,95.24,1,4.76,24048
24,49,70,62,88.57,8,11.43,24049
24,50,106,95,89.62,11,10.38,24050
24,51,103,94,91.26,9,8.74,24051
24,52,83,76,91.57,7,8.43,24052
24,53,10,9,90.0,1,10.0,24053
25,3,38,28,73.68,10,26.32,25003
25,4,4,3,75.0,1,25.0,25004
25,6,0,0,0.0,0,0.0,25006
25,10,30,29,96.67,1,3.33,25010
25,14,47,33,70.21,14,29.79,25014
25,16,20,17,85.0,3,15.0,25016
25,18,24,20,83.33,4,16.67,25018
25,21,48,38,79.17,10,20.83,25021
27,1,110,79,71.82,31,28.18,27001
27,2,63,56,88.89,7,11.11,27002
27,3,63,60,95.24,3,4.76,27003
27,4,47,40,85.11,7,14.89,27004
27,5,52,43,82.69,9,17.31,27005
27,6,42,37,88.1,5,11.9,27006
27,7,55,46,83.64,9,16.36,27007
27,8,45,39,86.67,6,13.33,27008
27,9,84,77,91.67,7,8.33,27009
27,11,46,41,89.13,5,10.87,27011
27,12,31,25,80.65,6,19.35,27012
27,13,154,127,82.47,27,17.53,27013
27,14,46,41,89.13,5,10.87,27014
27,15,56,53,94.64,3,5.36,27015
27,16,45,33,73.33,12,26.67,27016
27,17,94,79,84.04,15,15.96,27017
27,18,25,18,72.0,7,28.0,27018
27,19,66,60,90.91,6,9.09,27019
27,20,99,91,91.92,8,8.08,27020
27,21,34,27,79.41,7,20.59,27021
27,22,77,72,93.51,5,6.49,27022
27,23,27,25,92.59,2,7.41,27023
27,24,51,45,88.24,6,11.76,27024
27,25,41,35,85.37,6,14.63,27025
27,26,133,118,88.72,15,11.28,27026
27,27,43,37,86.05,6,13.95,27027
27,28,91,76,83.52,15,16.48,27028
27,29,60,55,91.67,5,8.33,27029
27,30,25,20,80.0,5,20.0,27030
27,31,76,67,88.16,9,11.84,27031
27,33,82,65,79.27,17,20.73,27033
27,34,74,68,91.89,6,8.11,27034
27,35,6,5,83.33,1,16.67,27035
27,36,84,77,91.67,7,8.33,27036
27,37,52,44,84.62,8,15.38,27037
27,38,64,48,75.0,16,25.0,27038
27,39,36,31,86.11,5,13.89,27039
27,40,48,47,97.92,1,2.08,27040
27,41,40,34,85.0,6,15.0,27041
27,42,38,29,76.32,9,23.68,27042
27,43,49,42,85.71,7,14.29,27043
27,44,110,97,88.18,13,11.82,27044
27,45,77,71,92.21,6,7.79,27045
27,46,54,50,92.59,4,7.41,27046
27,47,43,40,93.02,3,6.98,27047
27,48,88,77,87.5,11,12.5,27048
27,49,59,52,88.14,7,11.86,27049
27,50,45,32,71.11,13,28.89,27050
27,51,40,37,92.5,3,7.5,27051
27,52,13,13,100.0,0,0.0,27052
27,53,95,77,81.05,18,18.95,27053
27,54,23,16,69.57,7,30.43,27054
27,55,0,0,0.0,0,0.0,27055
28,1,96,90,93.75,6,6.25,28001
28,2,48,42,87.5,6,12.5,28002
28,3,73,66,90.41,7,9.59,28003
28,4,124,111,89.52,13,10.48,28004
28,5,72,61,84.72,11,15.28,28005
28,6,84,83,98.81,1,1.19,28006
28,7,95,85,89.47,10,10.53,28007
28,8,44,39,88.64,5,11.36,28008
28,9,75,72,96.0,3,4.0,28009
28,10,80,77,96.25,3,3.75,28010
28,11,67,61,91.04,6,8.96,28011
28,12,78,72,92.31,6,7.69,28012
28,13,51,42,82.35,9,17.65,28013
28,15,33,30,90.91,3,9.09,28015
28,16,59,57,96.61,2,3.39,28016
28,17,47,43,91.49,4,8.51,28017
28,18,102,98,96.08,4,3.92,28018
28,19,67,61,91.04,6,8.96,28019
28,20,80,72,90.0,8,10.0,28020
28,21,62,53,85.48,9,14.52,28021
28,22,60,59,98.33,1,1.67,28022
28,23,96,82,85.42,14,14.58,28023
28,24,36,35,97.22,1,2.78,28024
28,25,59,58,98.31,1,1.69,28025
28,26,91,84,92.31,7,7.69,28026
28,27,45,43,95.56,2,4.44,28027
28,28,85,77,90.59,8,9.41,28028
28,29,84,71,84.52,13,15.48,28029
28,30,39,32,82.05,7,17.95,28030
28,31,75,68,90.67,7,9.33,28031
28,32,70,56,80.0,14,20.0,28032
28,33,57,54,94.74,3,5.26,28033
28,34,72,63,87.5,9,12.5,28034
28,35,58,53,91.38,5,8.62,28035
28,36,64,60,93.75,4,6.25,28036
28,37,100,93,93.0,7,7.0,28037
28,38,69,63,91.3,6,8.7,28038
28,39,29,24,82.76,5,17.24,28039
28,40,96,89,92.71,7,7.29,28040
28,41,49,45,91.84,4,8.16,28041
28,42,63,59,93.65,4,6.35,28042
28,43,61,58,95.08,3,4.92,28043
28,44,45,41,91.11,4,8.89,28044
28,45,52,48,92.31,4,7.69,28045
28,46,58,54,93.1,4,6.9,28046
28,47,99,90,90.91,9,9.09,28047
28,48,16,12,75.0,4,25.0,28048
28,49,56,50,89.29,6,10.71,28049
28,50,35,28,80.0,7,20.0,28050
28,51,67,62,92.54,5,7.46,28051
28,52,66,56,84.85,10,15.15,28052
28,53,0,0,0.0,0,0.0,28053
28,54,43,38,88.37,5,11.63,28054
28,55,42,37,88.1,5,11.9,28055
28,56,61,51,83.61,10,16.39,28056
28,57,73,71,97.26,2,2.74,28057
28,58,40,39,97.5,1,2.5,28058
28,59,53,52,98.11,1,1.89,28059
28,60,47,46,97.87,1,2.13,28060
28,61,44,38,86.36,6,13.64,28061
29,1,112,104,92.86,8,7.14,29001
29,3,119,111,93.28,8,6.72,29003
29,4,107,100,93.46,7,6.54,29004
29,5,112,103,91.96,9,8.04,29005
29,7,0,0,0.0,0,0.0,29007
29,8,116,107,92.24,9,7.76,29008
29,9,111,89,80.18,22,19.82,29009
29,10,83,75,90.36,8,9.64,29010
29,11,98,85,86.73,13,13.27,29011
29,12,77,64,83.12,13,16.88,29012
29,13,129,121,93.8,8,6.2,29013
29,14,118,108,91.53,10,8.47,29014
29,15,143,141,98.6,2,1.4,29015
29,16,95,90,94.74,5,5.26,29016
29,18,101,93,92.08,8,7.92,29018
29,19,101,92,91.09,9,8.91,29019
29,20,123,102,82.93,21,17.07,29020
29,21,90,78,86.67,12,13.33,29021
29,23,76,66,86.84,10,13.16,29023
29,24,136,125,91.91,11,8.09,29024
29,25,146,141,96.58,5,3.42,29025
29,26,89,78,87.64,11,12.36,29026
29,27,74,66,89.19,8,10.81,29027
29,28,94,85,90.43,9,9.57,29028
29,29,123,111,90.24,12,9.76,29029
29,30,77,74,96.1,3,3.9,29030
29,31,123,117,95.12,6,4.88,29031
29,32,110,96,87.27,14,12.73,29032
29,33,95,85,89.47,10,10.53,29033
29,35,94,88,93.62,6,6.38,29035
29,36,158,151,95.57,7,4.43,29036
29,37,117,108,92.31,9,7.69,29037
29,38,127,121,95.28,6,4.72,29038
29,39,0,0,0.0,0,0.0,29039
29,40,179,164,91.62,15,8.38,29040
29,41,154,143,92.86,11,7.14,29041
29,42,75,70,93.33,5,6.67,29042
29,43,166,154,92.77,12,7.23,29043
29,44,102,98,96.08,4,3.92,29044
29,45,122,111,90.98,11,9.02,29045
29,46,77,73,94.81,4,5.19,29046
29,47,159,143,89.94,16,10.06,29047
29,49,157,142,90.45,15,9.55,29049
29,50,153,148,96.73,5,3.27,29050
29,51,111,106,95.5,5,4.5,29051
29,52,0,0,0.0,0,0.0,29052
29,56,80,76,95.0,4,5.0,29056
31,19,15,11,73.33,4,26.67,31019
32,1,79,53,67.09,26,32.91,32001
32,6,64,34,53.13,30,46.88,32006
32,12,0,0,0.0,0,0.0,32012
32,26,89,60,67.42,29,32.58,32026
32,46,0,0,0.0,0,0.0,32046
36,4,0,0,0.0,0,0.0,36004
36,16,89,72,80.9,17,19.1,36016
36,23,49,41,83.67,8,16.33,36023
36,24,90,79,87.78,11,12.22,36024
36,26,143,135,94.41,8,5.59,36026
36,33,85,65,76.47,20,23.53,36033
36,43,128,120,93.75,8,6.25,36043
36,44,92,68,73.91,24,26.09,36044
36,54,121,98,80.99,23,19.01,36054
36,55,103,76,73.79,27,26.21,36055
37,1,80,72,90.0,8,10.0,37001
37,2,5,5,100.0,0,0.0,37002
37,3,47,43,91.49,4,8.51,37003
37,4,77,72,93.51,5,6.49,37004
37,5,101,85,84.16,16,15.84,37005
37,6,168,156,92.86,12,7.14,37006
37,7,111,105,94.59,6,5.41,37007
37,8,100,95,95.0,5,5.0,37008
37,9,81,72,88.89,9,11.11,37009
37,10,95,93,97.89,2,2.11,37010
37,12,109,101,92.66,8,7.34,37012
37,13,101,90,89.11,11,10.89,37013
37,14,89,83,93.26,6,6.74,37014
37,15,148,139,93.92,9,6.08,37015
37,16,179,162,90.5,17,9.5,37016
37,17,81,75,92.59,6,7.41,37017
37,18,128,118,92.19,10,7.81,37018
37,19,98,88,89.8,10,10.2,37019
37,20,142,128,90.14,14,9.86,37020
37,21,125,117,93.6,8,6.4,37021
37,22,74,68,91.89,6,8.11,37022
37,23,121,113,93.39,8,6.61,37023
37,24,73,67,91.78,6,8.22,37024
37,25,110,100,90.91,10,9.09,37025
37,26,92,80,86.96,12,13.04,37026
37,27,60,53,88.33,7,11.67,37027
37,28,117,106,90.6,11,9.4,37028
37,29,132,122,92.42,10,7.58,37029
37,30,119,110,92.44,9,7.56,37030
37,31,167,157,94.01,10,5.99,37031
37,32,98,86,87.76,12,12.24,37032
37,33,102,93,91.18,9,8.82,37033
37,34,143,133,93.01,10,6.99,37034
37,36,80,69,86.25,11,13.75,37036
37,37,100,89,89.0,11,11.0,37037
37,38,118,114,96.61,4,3.39,37038
37,39,76,71,93.42,5,6.58,37039
37,40,100,97,97.0,3,3.0,37040
37,41,169,161,95.27,8,4.73,37041
37,42,0,0,0.0,0,0.0,37042
37,43,106,98,92.45,8,7.55,37043
37,44,105,98,93.33,7,6.67,37044
37,45,117,109,93.16,8,6.84,37045
37,46,84,77,91.67,7,8.33,37046
37,47,19,18,94.74,1,5.26,37047
37,48,98,89,90.82,9,9.18,37048
37,49,80,75,93.75,5,6.25,37049
37,50,35,31,88.57,4,11.43,37050
42,2,55,41,74.55,14,25.45,42002
42,3,59,42,71.19,17,28.81,42003
42,4,85,64,75.29,21,24.71,42004
42,6,183,142,77.6,41,22.4,42006
42,9,69,52,75.36,17,24.64,42009
42,11,70,49,70.0,21,30.0,42011
42,12,55,39,70.91,16,29.09,42012
42,13,168,125,74.4,43,25.6,42013
42,14,74,50,67.57,24,32.43,42014
42,17,17,12,70.59,5,29.41,42017
42,18,124,92,74.19,32,25.81,42018
42,19,61,47,77.05,14,22.95,42019
42,20,38,30,78.95,8,21.05,42020
42,21,58,40,68.97,18,31.03,42021
42,22,50,43,86.0,7,14.0,42022
42,25,99,70,70.71,29,29.29,42025
42,26,46,35,76.09,11,23.91,42026
42,27,139,101,72.66,38,27.34,42027
42,31,28,24,85.71,4,14.29,42031
42,32,73,54,73.97,19,26.03,42032
42,34,64,47,73.44,17,26.56,42034
42,36,97,70,72.16,27,27.84,42036
42,37,77,56,72.73,21,27.27,42037
42,38,76,60,78.95,16,21.05,42038
42,39,103,80,77.67,23,22.33,42039
42,40,59,44,74.58,15,25.42,42040
42,41,46,30,65.22,16,34.78,42041
42,43,81,51,62.96,30,37.04,42043
42,45,59,43,72.88,16,27.12,42045
42,46,58,44,75.86,14,24.14,42046
42,47,49,37,75.51,12,24.49,42047
42,48,37,24,64.86,13,35.14,42048
42,49,83,61,73.49,22,26.51,42049
42,50,60,44,73.33,16,26.67,42050
42,51,40,34,85.0,6,15.0,42051
42,52,72,53,73.61,19,26.39,42052
42,53,71,51,71.83,20,28.17,42053
42,54,60,43,71.67,17,28.33,42054
42,55,74,49,66.22,25,33.78,42055
42,56,51,29,56.86,22,43.14,42056
42,57,46,29,63.04,17,36.96,42057
42,58,122,98,80.33,24,19.67,42058
42,59,73,59,80.82,14,19.18,42059
42,60,40,31,77.5,9,22.5,42060
42,62,44,37,84.09,7,15.91,42062
42,63,70,50,71.43,20,28.57,42063
42,64,40,34,85.0,6,15.0,42064
42,65,33,19,57.58,14,42.42,42065
42,66,63,50,79.37,13,20.63,42066
42,67,136,119,87.5,17,12.5,42067
43,1,7,4,57.14,3,42.86,43001
43,13,23,18,78.26,5,21.74,43013
43,25,54,45,83.33,9,16.67,43025
43,40,66,54,81.82,12,18.18,43040
43,55,62,59,95.16,3,4.84,43055
