ward,precinct,total,ROBERT BALANOFF,ROBERT BALANOFF Percent,JOSEPH CHICO,JOSEPH CHICO Percent,SYBIL C. THOMAS,SYBIL C. THOMAS Percent,RAYMOND MYLES,RAYMOND MYLES Percent,JOHN STEELE,JOHN STEELE Percent,LAGUINA CLAY-CLARK,LAGUINA CLAY-CLARK Percent,precinct_id
7,6,122,37,30.33,4,3.28,16,13.11,32,26.23,16,13.11,17,13.93,07006
7,7,117,31,26.5,8,6.84,18,15.38,23,19.66,21,17.95,16,13.68,07007
7,8,125,43,34.4,35,28.0,13,10.4,9,7.2,11,8.8,14,11.2,07008
7,10,166,32,19.28,13,7.83,35,21.08,20,12.05,36,21.69,30,18.07,07010
7,12,139,51,36.69,8,5.76,18,12.95,30,21.58,25,17.99,7,5.04,07012
7,13,76,14,18.42,6,7.89,8,10.53,15,19.74,25,32.89,8,10.53,07013
7,14,145,37,25.52,7,4.83,18,12.41,23,15.86,41,28.28,19,13.1,07014
7,15,200,35,17.5,9,4.5,30,15.0,37,18.5,42,21.0,47,23.5,07015
7,16,140,21,15.0,7,5.0,18,12.86,28,20.0,29,20.71,37,26.43,07016
7,17,130,34,26.15,3,2.31,27,20.77,18,13.85,21,16.15,27,20.77,07017
7,18,133,30,22.56,18,13.53,11,8.27,45,33.83,21,15.79,8,6.02,07018
7,19,187,40,21.39,21,11.23,31,16.58,30,16.04,47,25.13,18,9.63,07019
7,20,39,12,30.77,11,28.21,6,15.38,2,5.13,3,7.69,5,12.82,07020
7,21,146,29,19.86,19,13.01,26,17.81,33,22.6,25,17.12,14,9.59,07021
7,23,140,29,20.71,10,7.14,16,11.43,34,24.29,26,18.57,25,17.86,07023
7,24,201,74,36.82,5,2.49,22,10.95,36,17.91,40,19.9,24,11.94,07024
7,25,128,52,40.63,4,3.13,16,12.5,26,20.31,19,14.84,11,8.59,07025
7,26,169,47,27.81,5,2.96,27,15.98,36,21.3,38,22.49,16,9.47,07026
7,27,161,58,36.02,4,2.48,19,11.8,16,9.94,51,31.68,13,8.07,07027
7,28,135,27,20.0,5,3.7,25,18.52,11,8.15,28,20.74,39,28.89,07028
7,29,87,23,26.44,2,2.3,9,10.34,23,26.44,18,20.69,12,13.79,07029
7,30,262,119,45.42,13,4.96,17,6.49,24,9.16,60,22.9,29,11.07,07030
7,31,191,74,38.74,8,4.19,13,6.81,21,10.99,53,27.75,22,11.52,07031
7,32,145,56,38.62,38,26.21,14,9.66,11,7.59,17,11.72,9,6.21,07032
7,33,157,80,50.96,11,7.01,13,8.28,18,11.46,27,17.2,8,5.1,07033
7,34,104,19,18.27,12,11.54,17,16.35,15,14.42,17,16.35,24,23.08,07034
7,36,255,109,42.75,12,4.71,27,10.59,32,12.55,49,19.22,26,10.2,07036
7,37,191,96,50.26,4,2.09,14,7.33,24,12.57,28,14.66,25,13.09,07037
7,38,182,64,35.16,2,1.1,19,10.44,34,18.68,36,19.78,27,14.84,07038
7,39,129,33,25.58,3,2.33,20,15.5,16,12.4,27,20.93,30,23.26,07039
7,41,202,66,32.67,8,3.96,24,11.88,25,12.38,54,26.73,25,12.38,07041
7,42,145,35,24.14,28,19.31,26,17.93,18,12.41,25,17.24,13,8.97,07042
7,43,184,93,50.54,7,3.8,19,10.33,17,9.24,35,19.02,13,7.07,07043
7,46,63,26,41.27,8,12.7,3,4.76,7,11.11,15,23.81,4,6.35,07046
8,1,222,37,16.67,3,1.35,28,12.61,41,18.47,97,43.69,16,7.21,08001
8,2,134,21,15.67,1,0.75,27,20.15,29,21.64,35,26.12,21,15.67,08002
8,3,283,73,25.8,6,2.12,18,6.36,62,21.91,91,32.16,33,11.66,08003
8,4,208,53,25.48,5,2.4,15,7.21,47,22.6,67,32.21,21,10.1,08004
8,5,247,31,12.55,1,0.4,11,4.45,75,30.36,66,26.72,63,25.51,08005
8,6,223,13,5.83,6,2.69,80,35.87,70,31.39,31,13.9,23,10.31,08006
8,7,117,23,19.66,1,0.85,13,11.11,20,17.09,40,34.19,20,17.09,08007
8,8,258,62,24.03,0,0.0,9,3.49,89,34.5,66,25.58,32,12.4,08008
8,9,234,49,20.94,3,1.28,22,9.4,34,14.53,92,39.32,34,14.53,08009
8,10,248,15,6.05,3,1.21,27,10.89,41,16.53,65,26.21,97,39.11,08010
8,11,124,21,16.94,5,4.03,17,13.71,35,28.23,33,26.61,13,10.48,08011
8,12,169,21,12.43,0,0.0,25,14.79,42,24.85,61,36.09,20,11.83,08012
8,13,119,22,18.49,1,0.84,11,9.24,25,21.01,42,35.29,18,15.13,08013
8,14,139,26,18.71,6,4.32,13,9.35,40,28.78,42,30.22,12,8.63,08014
8,15,154,35,22.73,3,1.95,32,20.78,32,20.78,37,24.03,15,9.74,08015
8,16,225,13,5.78,3,1.33,29,12.89,38,16.89,71,31.56,71,31.56,08016
8,17,175,34,19.43,5,2.86,11,6.29,48,27.43,41,23.43,36,20.57,08017
8,18,118,20,16.95,3,2.54,23,19.49,24,20.34,37,31.36,11,9.32,08018
8,19,259,68,26.25,6,2.32,15,5.79,42,16.22,93,35.91,35,13.51,08019
8,20,150,17,11.33,5,3.33,22,14.67,46,30.67,47,31.33,13,8.67,08020
8,21,150,19,12.67,2,1.33,24,16.0,52,34.67,41,27.33,12,8.0,08021
8,22,174,16,9.2,4,2.3,14,8.05,68,39.08,55,31.61,17,9.77,08022
8,23,150,18,12.0,6,4.0,15,10.0,42,28.0,43,28.67,26,17.33,08023
8,24,191,35,18.32,10,5.24,28,14.66,51,26.7,51,26.7,16,8.38,08024
8,25,181,34,18.78,8,4.42,27,14.92,53,29.28,41,22.65,18,9.94,08025
8,26,112,21,18.75,3,2.68,15,13.39,21,18.75,34,30.36,18,16.07,08026
8,27,204,52,25.49,2,0.98,11,5.39,46,22.55,79,38.73,14,6.86,08027
8,28,172,25,14.53,3,1.74,16,9.3,72,41.86,40,23.26,16,9.3,08028
8,29,195,14,7.18,5,2.56,51,26.15,76,38.97,32,16.41,17,8.72,08029
8,30,183,25,13.66,5,2.73,20,10.93,47,25.68,66,36.07,20,10.93,08030
8,31,172,27,15.7,2,1.16,16,9.3,56,32.56,51,29.65,20,11.63,08031
8,32,268,56,20.9,3,1.12,47,17.54,59,22.01,77,28.73,26,9.7,08032
8,33,109,17,15.6,5,4.59,13,11.93,46,42.2,25,22.94,3,2.75,08033
8,34,207,47,22.71,4,1.93,36,17.39,44,21.26,53,25.6,23,11.11,08034
8,35,259,54,20.85,6,2.32,26,10.04,48,18.53,86,33.2,39,15.06,08035
8,36,169,26,15.38,3,1.78,24,14.2,60,35.5,40,23.67,16,9.47,08036
8,37,146,24,16.44,5,3.42,17,11.64,39,26.71,51,34.93,10,6.85,08037
8,38,176,26,14.77,4,2.27,29,16.48,58,32.95,44,25.0,15,8.52,08038
8,39,183,42,22.95,3,1.64,31,16.94,48,26.23,52,28.42,7,3.83,08039
8,40,187,14,7.49,5,2.67,16,8.56,72,38.5,60,32.09,20,10.7,08040
8,41,174,19,10.92,1,0.57,15,8.62,52,29.89,68,39.08,19,10.92,08041
8,42,175,18,10.29,7,4.0,18,10.29,45,25.71,60,34.29,27,15.43,08042
8,43,106,16,15.09,1,0.94,9,8.49,27,25.47,41,38.68,12,11.32,08043
8,44,217,59,27.19,1,0.46,20,9.22,45,20.74,70,32.26,22,10.14,08044
8,45,169,21,12.43,4,2.37,35,20.71,40,23.67,46,27.22,23,13.61,08045
8,46,167,28,16.77,4,2.4,19,11.38,38,22.75,57,34.13,21,12.57,08046
8,47,194,39,20.1,9,4.64,21,10.82,52,26.8,54,27.84,19,9.79,08047
8,48,204,15,7.35,3,1.47,48,23.53,61,29.9,50,24.51,27,13.24,08048
8,49,229,32,13.97,7,3.06,27,11.79,47,20.52,87,37.99,29,12.66,08049
8,50,206,36,17.48,4,1.94,16,7.77,47,22.82,82,39.81,21,10.19,08050
8,51,179,33,18.44,9,5.03,16,8.94,41,22.91,57,31.84,23,12.85,08051
8,52,204,34,16.67,2,0.98,19,9.31,51,25.0,74,36.27,24,11.76,08052
8,53,215,15,6.98,6,2.79,27,12.56,51,23.72,81,37.67,35,16.28,08053
8,54,197,19,9.64,2,1.02,30,15.23,44,22.34,52,26.4,50,25.38,08054
8,55,161,17,10.56,9,5.59,12,7.45,55,34.16,49,30.43,19,11.8,08055
8,56,152,13,8.55,3,1.97,39,25.66,50,32.89,26,17.11,21,13.82,08056
8,57,201,27,13.43,4,1.99,13,6.47,41,20.4,63,31.34,53,26.37,08057
8,58,208,34,16.35,6,2.88,28,13.46,54,25.96,66,31.73,20,9.62,08058
8,59,155,24,15.48,5,3.23,24,15.48,39,25.16,51,32.9,12,7.74,08059
8,60,215,32,14.88,3,1.4,33,15.35,47,21.86,70,32.56,30,13.95,08060
8,61,159,14,8.81,4,2.52,8,5.03,48,30.19,67,42.14,18,11.32,08061
8,62,256,51,19.92,5,1.95,18,7.03,44,17.19,78,30.47,60,23.44,08062
8,63,230,26,11.3,1,0.43,30,13.04,46,20.0,79,34.35,48,20.87,08063
8,64,100,9,9.0,5,5.0,12,12.0,38,38.0,25,25.0,11,11.0,08064
8,65,189,34,17.99,5,2.65,25,13.23,40,21.16,66,34.92,19,10.05,08065
8,66,231,47,20.35,4,1.73,20,8.66,54,23.38,68,29.44,38,16.45,08066
9,13,239,50,20.92,23,9.62,32,13.39,21,8.79,91,38.08,22,9.21,09013
9,35,200,53,26.5,20,10.0,20,10.0,14,7.0,81,40.5,12,6.0,09035
9,52,189,36,19.05,16,8.47,15,7.94,13,6.88,98,51.85,11,5.82,09052
10,1,122,53,43.44,54,44.26,2,1.64,3,2.46,6,4.92,4,3.28,10001
10,2,121,79,65.29,27,22.31,6,4.96,3,2.48,3,2.48,3,2.48,10002
10,3,189,118,62.43,35,18.52,11,5.82,9,4.76,12,6.35,4,2.12,10003
10,4,188,69,36.7,78,41.49,17,9.04,11,5.85,5,2.66,8,4.26,10004
10,5,125,71,56.8,21,16.8,11,8.8,12,9.6,5,4.0,5,4.0,10005
10,6,184,85,46.2,11,5.98,14,7.61,20,10.87,39,21.2,15,8.15,10006
10,7,60,20,33.33,24,40.0,4,6.67,4,6.67,6,10.0,2,3.33,10007
10,8,157,83,52.87,54,34.39,7,4.46,1,0.64,11,7.01,1,0.64,10008
10,9,157,83,52.87,44,28.03,11,7.01,8,5.1,10,6.37,1,0.64,10009
10,10,143,69,48.25,4,2.8,22,15.38,8,5.59,22,15.38,18,12.59,10010
10,11,172,78,45.35,70,40.7,9,5.23,3,1.74,10,5.81,2,1.16,10011
10,12,151,60,39.74,62,41.06,7,4.64,9,5.96,8,5.3,5,3.31,10012
10,13,219,93,42.47,93,42.47,7,3.2,5,2.28,17,7.76,4,1.83,10013
10,15,80,45,56.25,19,23.75,4,5.0,2,2.5,8,10.0,2,2.5,10015
10,16,155,97,62.58,33,21.29,11,7.1,5,3.23,8,5.16,1,0.65,10016
10,17,149,101,67.79,22,14.77,8,5.37,7,4.7,9,6.04,2,1.34,10017
10,18,156,35,22.44,98,62.82,7,4.49,7,4.49,6,3.85,3,1.92,10018
10,19,260,123,47.31,100,38.46,19,7.31,5,1.92,10,3.85,3,1.15,10019
10,20,287,133,46.34,116,40.42,11,3.83,8,2.79,14,4.88,5,1.74,10020
10,21,109,55,50.46,22,20.18,10,9.17,14,12.84,5,4.59,3,2.75,10021
10,22,60,37,61.67,11,18.33,7,11.67,0,0.0,2,3.33,3,5.0,10022
10,23,186,81,43.55,80,43.01,8,4.3,6,3.23,6,3.23,5,2.69,10023
10,24,154,88,57.14,29,18.83,11,7.14,8,5.19,15,9.74,3,1.95,10024
10,25,220,52,23.64,123,55.91,7,3.18,11,5.0,19,8.64,8,3.64,10025
10,26,125,57,45.6,53,42.4,4,3.2,4,3.2,6,4.8,1,0.8,10026
10,27,194,93,47.94,70,36.08,10,5.15,6,3.09,9,4.64,6,3.09,10027
10,28,149,64,42.95,21,14.09,17,11.41,8,5.37,24,16.11,15,10.07,10028
10,29,146,62,42.47,8,5.48,17,11.64,8,5.48,27,18.49,24,16.44,10029
10,30,212,87,41.04,107,50.47,5,2.36,7,3.3,4,1.89,2,0.94,10030
10,31,183,70,38.25,87,47.54,8,4.37,6,3.28,8,4.37,4,2.19,10031
10,32,193,75,38.86,92,47.67,16,8.29,3,1.55,7,3.63,0,0.0,10032
10,33,174,75,43.1,78,44.83,9,5.17,3,1.72,6,3.45,3,1.72,10033
10,34,161,70,43.48,74,45.96,3,1.86,3,1.86,6,3.73,5,3.11,10034
10,35,164,71,43.29,82,50.0,3,1.83,3,1.83,2,1.22,3,1.83,10035
10,36,194,53,27.32,93,47.94,11,5.67,8,4.12,16,8.25,13,6.7,10036
10,37,146,39,26.71,81,55.48,9,6.16,5,3.42,7,4.79,5,3.42,10037
10,38,233,104,44.64,100,42.92,6,2.58,8,3.43,11,4.72,4,1.72,10038
10,39,200,83,41.5,91,45.5,8,4.0,4,2.0,10,5.0,4,2.0,10039
10,40,154,40,25.97,100,64.94,9,5.84,3,1.95,2,1.3,0,0.0,10040
10,41,226,83,36.73,99,43.81,6,2.65,12,5.31,21,9.29,5,2.21,10041
10,42,162,91,56.17,43,26.54,14,8.64,4,2.47,9,5.56,1,0.62,10042
10,43,145,49,33.79,52,35.86,11,7.59,5,3.45,19,13.1,9,6.21,10043
10,44,182,79,43.41,86,47.25,6,3.3,3,1.65,6,3.3,2,1.1,10044
10,45,205,68,33.17,107,52.2,9,4.39,7,3.41,8,3.9,6,2.93,10045
10,46,154,53,34.42,83,53.9,5,3.25,5,3.25,5,3.25,3,1.95,10046
17,2,160,16,10.0,7,4.38,20,12.5,73,45.63,25,15.63,19,11.88,17002
17,3,129,22,17.05,5,3.88,14,10.85,69,53.49,13,10.08,6,4.65,17003
17,4,217,39,17.97,10,4.61,19,8.76,102,47.0,26,11.98,21,9.68,17004
17,5,149,52,34.9,14,9.4,20,13.42,20,13.42,28,18.79,15,10.07,17005
17,7,157,22,14.01,4,2.55,32,20.38,58,36.94,29,18.47,12,7.64,17007
17,9,112,30,26.79,5,4.46,20,17.86,28,25.0,22,19.64,7,6.25,17009
17,10,168,36,21.43,4,2.38,27,16.07,41,24.4,41,24.4,19,11.31,17010
17,12,166,34,20.48,3,1.81,30,18.07,62,37.35,26,15.66,11,6.63,17012
17,15,161,32,19.88,3,1.86,20,12.42,50,31.06,40,24.84,16,9.94,17015
17,18,136,23,16.91,7,5.15,20,14.71,58,42.65,17,12.5,11,8.09,17018
17,20,118,11,9.32,6,5.08,14,11.86,58,49.15,24,20.34,5,4.24,17020
17,21,229,34,14.85,4,1.75,17,7.42,89,38.86,65,28.38,20,8.73,17021
17,22,143,21,14.69,2,1.4,13,9.09,72,50.35,25,17.48,10,6.99,17022
17,23,121,16,13.22,9,7.44,16,13.22,60,49.59,16,13.22,4,3.31,17023
17,24,143,15,10.49,9,6.29,18,12.59,67,46.85,15,10.49,19,13.29,17024
17,25,97,19,19.59,2,2.06,10,10.31,34,35.05,17,17.53,15,15.46,17025
17,26,175,49,28.0,13,7.43,28,16.0,35,20.0,24,13.71,26,14.86,17026
17,27,164,31,18.9,9,5.49,18,10.98,71,43.29,20,12.2,15,9.15,17027
17,28,121,15,12.4,8,6.61,13,10.74,27,22.31,40,33.06,18,14.88,17028
17,29,168,35,20.83,5,2.98,20,11.9,47,27.98,41,24.4,20,11.9,17029
17,30,155,32,20.65,3,1.94,36,23.23,48,30.97,24,15.48,12,7.74,17030
17,31,81,13,16.05,3,3.7,14,17.28,32,39.51,15,18.52,4,4.94,17031
17,33,137,31,22.63,1,0.73,16,11.68,57,41.61,22,16.06,10,7.3,17033
17,35,97,21,21.65,5,5.15,17,17.53,25,25.77,23,23.71,6,6.19,17035
17,37,133,30,22.56,6,4.51,16,12.03,41,30.83,31,23.31,9,6.77,17037
17,38,130,24,18.46,6,4.62,14,10.77,38,29.23,30,23.08,18,13.85,17038
17,44,161,30,18.63,2,1.24,10,6.21,74,45.96,30,18.63,15,9.32,17044
17,47,105,17,16.19,7,6.67,10,9.52,48,45.71,16,15.24,7,6.67,17047
17,48,125,18,14.4,5,4.0,19,15.2,42,33.6,35,28.0,6,4.8,17048
17,50,123,15,12.2,7,5.69,14,11.38,41,33.33,34,27.64,12,9.76,17050
17,51,142,32,22.54,7,4.93,20,14.08,43,30.28,31,21.83,9,6.34,17051
17,52,198,45,22.73,8,4.04,35,17.68,52,26.26,41,20.71,17,8.59,17052
17,53,162,15,9.26,4,2.47,16,9.88,81,50.0,37,22.84,9,5.56,17053
17,54,205,25,12.2,5,2.44,18,8.78,78,38.05,69,33.66,10,4.88,17054
17,55,111,25,22.52,7,6.31,18,16.22,30,27.03,21,18.92,10,9.01,17055
18,6,151,29,19.21,4,2.65,24,15.89,42,27.81,35,23.18,17,11.26,18006
18,20,160,50,31.25,6,3.75,24,15.0,20,12.5,39,24.38,21,13.13,18020
18,27,123,25,20.33,5,4.07,16,13.01,25,20.33,42,34.15,10,8.13,18027
18,30,204,35,17.16,7,3.43,30,14.71,29,14.22,75,36.76,28,13.73,18030
18,38,185,38,20.54,7,3.78,31,16.76,28,15.14,57,30.81,24,12.97,18038
18,39,136,19,13.97,5,3.68,28,20.59,23,16.91,47,34.56,14,10.29,18039
18,42,119,16,13.45,5,4.2,22,18.49,38,31.93,29,24.37,9,7.56,18042
18,43,115,20,17.39,3,2.61,10,8.7,18,15.65,50,43.48,14,12.17,18043
18,47,208,36,17.31,15,7.21,24,11.54,49,23.56,62,29.81,22,10.58,18047
18,48,97,18,18.56,5,5.15,10,10.31,34,35.05,24,24.74,6,6.19,18048
18,50,109,27,24.77,1,0.92,18,16.51,24,22.02,29,26.61,10,9.17,18050
18,51,157,35,22.29,6,3.82,30,19.11,20,12.74,50,31.85,16,10.19,18051
18,52,146,24,16.44,2,1.37,20,13.7,34,23.29,50,34.25,16,10.96,18052
18,53,143,30,20.98,6,4.2,28,19.58,15,10.49,45,31.47,19,13.29,18053
18,55,176,29,16.48,5,2.84,17,9.66,45,25.57,61,34.66,19,10.8,18055
18,56,148,23,15.54,8,5.41,21,14.19,33,22.3,47,31.76,16,10.81,18056
18,57,181,26,14.36,3,1.66,17,9.39,63,34.81,54,29.83,18,9.94,18057
18,58,85,10,11.76,4,4.71,9,10.59,30,35.29,25,29.41,7,8.24,18058
18,59,146,24,16.44,6,4.11,16,10.96,53,36.3,35,23.97,12,8.22,18059
18,60,123,20,16.26,2,1.63,22,17.89,50,40.65,19,15.45,10,8.13,18060
18,61,147,20,13.61,8,5.44,24,16.33,23,15.65,51,34.69,21,14.29,18061
18,63,50,6,12.0,1,2.0,7,14.0,16,32.0,13,26.0,7,14.0,18063
21,2,81,26,32.1,4,4.94,11,13.58,14,17.28,17,20.99,9,11.11,21002
21,17,85,10,11.76,3,3.53,7,8.24,11,12.94,41,48.24,13,15.29,21017
21,34,157,41,26.11,4,2.55,18,11.46,24,15.29,50,31.85,20,12.74,21034
21,37,89,12,13.48,5,5.62,17,19.1,14,15.73,23,25.84,18,20.22,21037
21,41,107,34,31.78,2,1.87,12,11.21,10,9.35,35,32.71,14,13.08,21041
21,62,161,44,27.33,4,2.48,12,7.45,26,16.15,59,36.65,16,9.94,21062
21,65,170,29,17.06,3,1.76,18,10.59,27,15.88,71,41.76,22,12.94,21065
21,70,109,25,22.94,3,2.75,16,14.68,16,14.68,40,36.7,9,8.26,21070
