ward,precinct,total,AMALIA RIOJA (GORE),AMALIA RIOJA (GORE) Percent,LORNA BRETT (BRADLEY),LORNA BRETT (BRADLEY) Percent,precinct_id
35,33,46,39,84.78,7,15.22,35033
35,34,94,67,71.28,27,28.72,35034
35,35,62,45,72.58,17,27.42,35035
36,4,25,18,72.0,7,28.0,36004
36,23,0,0,0.0,0,0.0,36023
36,45,80,55,68.75,25,31.25,36045
37,2,0,0,0.0,0,0.0,37002
37,10,2,2,100.0,0,0.0,37010
37,11,21,14,66.67,7,33.33,37011
37,35,11,6,54.55,5,45.45,37035
37,42,0,0,0.0,0,0.0,37042
39,25,17,11,64.71,6,35.29,39025
39,27,40,27,67.5,13,32.5,39027
39,29,41,33,80.49,8,19.51,39029
