ward,precinct,total,LUIS V. GUTIERREZ,LUIS V. GUTIERREZ Percent,"JOSEPH L. """"JOE"""" PAGAN","JOSEPH L. """"JOE"""" PAGAN Percent",precinct_id
16,42,188,168,89.36,20,10.64,16042
22,2,154,137,88.96,17,11.04,22002
22,3,186,178,95.7,8,4.3,22003
22,4,178,163,91.57,15,8.43,22004
22,5,252,218,86.51,34,13.49,22005
22,6,214,207,96.73,7,3.27,22006
22,9,224,213,95.09,11,4.91,22009
22,10,287,257,89.55,30,10.45,22010
22,11,193,178,92.23,15,7.77,22011
22,13,155,137,88.39,18,11.61,22013
22,14,117,108,92.31,9,7.69,22014
22,16,204,183,89.71,21,10.29,22016
22,17,206,194,94.17,12,5.83,22017
22,18,150,142,94.67,8,5.33,22018
22,19,107,97,90.65,10,9.35,22019
22,23,209,193,92.34,16,7.66,22023
22,24,195,187,95.9,8,4.1,22024
22,25,190,173,91.05,17,8.95,22025
22,26,137,124,90.51,13,9.49,22026
22,27,241,214,88.8,27,11.2,22027
22,29,81,74,91.36,7,8.64,22029
24,53,0,0,0.0,0,0.0,24053
25,1,112,84,75.0,28,25.0,25001
25,2,178,165,92.7,13,7.3,25002
25,4,96,80,83.33,16,16.67,25004
25,5,151,108,71.52,43,28.48,25005
25,6,82,68,82.93,14,17.07,25006
25,7,134,116,86.57,18,13.43,25007
25,8,121,111,91.74,10,8.26,25008
25,9,221,193,87.33,28,12.67,25009
25,11,206,195,94.66,11,5.34,25011
25,12,93,86,92.47,7,7.53,25012
25,13,126,109,86.51,17,13.49,25013
25,15,119,102,85.71,17,14.29,25015
25,17,134,118,88.06,16,11.94,25017
25,18,38,36,94.74,2,5.26,25018
25,19,149,138,92.62,11,7.38,25019
25,20,139,117,84.17,22,15.83,25020
25,22,109,103,94.5,6,5.5,25022
25,23,120,109,90.83,11,9.17,25023
26,1,68,55,80.88,13,19.12,26001
26,2,129,105,81.4,24,18.6,26002
26,3,85,74,87.06,11,12.94,26003
26,4,207,159,76.81,48,23.19,26004
26,5,117,90,76.92,27,23.08,26005
26,6,154,114,74.03,40,25.97,26006
26,7,43,37,86.05,6,13.95,26007
26,8,204,161,78.92,43,21.08,26008
26,9,102,86,84.31,16,15.69,26009
26,10,97,83,85.57,14,14.43,26010
26,11,111,86,77.48,25,22.52,26011
26,12,98,78,79.59,20,20.41,26012
26,13,106,63,59.43,43,40.57,26013
26,14,130,105,80.77,25,19.23,26014
26,15,62,52,83.87,10,16.13,26015
26,16,72,58,80.56,14,19.44,26016
26,17,173,143,82.66,30,17.34,26017
26,18,110,92,83.64,18,16.36,26018
26,19,122,91,74.59,31,25.41,26019
26,20,144,121,84.03,23,15.97,26020
26,21,189,159,84.13,30,15.87,26021
26,22,134,109,81.34,25,18.66,26022
26,23,177,136,76.84,41,23.16,26023
26,24,183,136,74.32,47,25.68,26024
26,25,114,85,74.56,29,25.44,26025
26,26,100,74,74.0,26,26.0,26026
26,27,119,101,84.87,18,15.13,26027
26,28,172,141,81.98,31,18.02,26028
26,29,122,105,86.07,17,13.93,26029
26,30,14,10,71.43,4,28.57,26030
26,31,41,29,70.73,12,29.27,26031
26,32,78,63,80.77,15,19.23,26032
26,33,160,138,86.25,22,13.75,26033
26,34,103,76,73.79,27,26.21,26034
26,35,116,95,81.9,21,18.1,26035
26,36,179,148,82.68,31,17.32,26036
26,37,89,64,71.91,25,28.09,26037
27,4,0,0,0.0,0,0.0,27004
27,10,229,203,88.65,26,11.35,27010
27,30,14,12,85.71,2,14.29,27030
27,32,73,56,76.71,17,23.29,27032
27,35,145,86,59.31,59,40.69,27035
27,50,11,9,81.82,2,18.18,27050
27,54,19,18,94.74,1,5.26,27054
27,55,39,26,66.67,13,33.33,27055
28,14,45,37,82.22,8,17.78,28014
28,53,30,30,100.0,0,0.0,28053
29,2,60,51,85.0,9,15.0,29002
29,7,106,83,78.3,23,21.7,29007
29,17,128,102,79.69,26,20.31,29017
29,30,13,13,100.0,0,0.0,29030
29,39,97,78,80.41,19,19.59,29039
29,48,48,40,83.33,8,16.67,29048
29,52,135,119,88.15,16,11.85,29052
29,55,30,26,86.67,4,13.33,29055
30,4,19,14,73.68,5,26.32,30004
30,17,84,66,78.57,18,21.43,30017
30,20,55,41,74.55,14,25.45,30020
30,23,17,13,76.47,4,23.53,30023
30,36,14,10,71.43,4,28.57,30036
30,41,0,0,0.0,0,0.0,30041
31,1,80,67,83.75,13,16.25,31001
31,2,62,52,83.87,10,16.13,31002
31,3,87,77,88.51,10,11.49,31003
31,4,102,80,78.43,22,21.57,31004
31,5,60,41,68.33,19,31.67,31005
31,7,67,57,85.07,10,14.93,31007
31,8,38,32,84.21,6,15.79,31008
31,9,85,77,90.59,8,9.41,31009
31,10,69,52,75.36,17,24.64,31010
31,11,43,34,79.07,9,20.93,31011
31,12,71,53,74.65,18,25.35,31012
31,13,61,49,80.33,12,19.67,31013
31,14,84,71,84.52,13,15.48,31014
31,15,86,74,86.05,12,13.95,31015
31,16,88,73,82.95,15,17.05,31016
31,17,65,55,84.62,10,15.38,31017
31,20,75,69,92.0,6,8.0,31020
31,21,56,42,75.0,14,25.0,31021
31,22,64,45,70.31,19,29.69,31022
31,23,88,67,76.14,21,23.86,31023
31,24,116,98,84.48,18,15.52,31024
31,25,77,69,89.61,8,10.39,31025
31,26,69,58,84.06,11,15.94,31026
31,27,48,39,81.25,9,18.75,31027
31,28,69,62,89.86,7,10.14,31028
31,29,56,48,85.71,8,14.29,31029
31,30,50,40,80.0,10,20.0,31030
31,31,23,22,95.65,1,4.35,31031
31,33,111,82,73.87,29,26.13,31033
31,34,79,73,92.41,6,7.59,31034
31,35,63,57,90.48,6,9.52,31035
31,36,127,113,88.98,14,11.02,31036
31,37,94,87,92.55,7,7.45,31037
31,38,88,75,85.23,13,14.77,31038
31,39,45,39,86.67,6,13.33,31039
31,40,75,65,86.67,10,13.33,31040
31,41,65,59,90.77,6,9.23,31041
31,42,48,43,89.58,5,10.42,31042
31,43,75,65,86.67,10,13.33,31043
31,44,73,57,78.08,16,21.92,31044
31,45,94,83,88.3,11,11.7,31045
32,2,109,77,70.64,32,29.36,32002
32,3,111,75,67.57,36,32.43,32003
32,4,164,123,75.0,41,25.0,32004
32,5,86,63,73.26,23,26.74,32005
32,11,176,140,79.55,36,20.45,32011
32,12,72,64,88.89,8,11.11,32012
32,14,73,57,78.08,16,21.92,32014
32,16,101,73,72.28,28,27.72,32016
32,17,88,62,70.45,26,29.55,32017
32,20,58,44,75.86,14,24.14,32020
32,24,95,69,72.63,26,27.37,32024
32,25,15,11,73.33,4,26.67,32025
32,28,55,34,61.82,21,38.18,32028
32,29,111,64,57.66,47,42.34,32029
32,30,102,87,85.29,15,14.71,32030
32,31,97,78,80.41,19,19.59,32031
32,33,98,68,69.39,30,30.61,32033
32,34,117,90,76.92,27,23.08,32034
32,35,148,124,83.78,24,16.22,32035
32,36,148,121,81.76,27,18.24,32036
32,45,124,101,81.45,23,18.55,32045
32,47,55,48,87.27,7,12.73,32047
33,1,21,19,90.48,2,9.52,33001
33,2,259,216,83.4,43,16.6,33002
33,3,107,86,80.37,21,19.63,33003
33,4,199,172,86.43,27,13.57,33004
33,5,0,0,0.0,0,0.0,33005
33,6,143,99,69.23,44,30.77,33006
33,13,181,141,77.9,40,22.1,33013
33,14,18,14,77.78,4,22.22,33014
33,15,25,19,76.0,6,24.0,33015
33,19,104,89,85.58,15,14.42,33019
33,20,138,101,73.19,37,26.81,33020
33,21,130,106,81.54,24,18.46,33021
33,22,85,57,67.06,28,32.94,33022
33,26,115,101,87.83,14,12.17,33026
33,31,122,102,83.61,20,16.39,33031
33,33,120,92,76.67,28,23.33,33033
33,34,136,107,78.68,29,21.32,33034
33,35,184,151,82.07,33,17.93,33035
33,36,93,71,76.34,22,23.66,33036
35,1,116,92,79.31,24,20.69,35001
35,2,134,103,76.87,31,23.13,35002
35,3,98,79,80.61,19,19.39,35003
35,4,64,47,73.44,17,26.56,35004
35,5,135,107,79.26,28,20.74,35005
35,7,168,141,83.93,27,16.07,35007
35,8,44,31,70.45,13,29.55,35008
35,9,171,145,84.8,26,15.2,35009
35,10,165,145,87.88,20,12.12,35010
35,12,132,108,81.82,24,18.18,35012
35,13,181,131,72.38,50,27.62,35013
35,14,145,103,71.03,42,28.97,35014
35,15,144,112,77.78,32,22.22,35015
35,16,155,121,78.06,34,21.94,35016
35,17,155,129,83.23,26,16.77,35017
35,18,136,104,76.47,32,23.53,35018
35,19,173,147,84.97,26,15.03,35019
35,20,89,66,74.16,23,25.84,35020
35,21,158,129,81.65,29,18.35,35021
35,22,90,75,83.33,15,16.67,35022
35,23,107,89,83.18,18,16.82,35023
35,24,127,108,85.04,19,14.96,35024
35,25,99,74,74.75,25,25.25,35025
35,26,104,92,88.46,12,11.54,35026
35,27,245,192,78.37,53,21.63,35027
35,28,102,85,83.33,17,16.67,35028
35,29,191,162,84.82,29,15.18,35029
35,30,262,203,77.48,59,22.52,35030
35,31,206,172,83.5,34,16.5,35031
35,32,89,71,79.78,18,20.22,35032
35,33,104,90,86.54,14,13.46,35033
35,34,136,119,87.5,17,12.5,35034
35,35,97,68,70.1,29,29.9,35035
36,4,37,31,83.78,6,16.22,36004
36,23,0,0,0.0,0,0.0,36023
36,45,101,70,69.31,31,30.69,36045
37,2,0,0,0.0,0,0.0,37002
37,10,2,2,100.0,0,0.0,37010
37,11,31,26,83.87,5,16.13,37011
37,35,12,12,100.0,0,0.0,37035
37,42,0,0,0.0,0,0.0,37042
39,25,23,19,82.61,4,17.39,39025
39,27,51,41,80.39,10,19.61,39027
39,29,54,49,90.74,5,9.26,39029
