ward,precinct,total,DONNA PHELPS FELTON,DONNA PHELPS FELTON Percent,WILLIAM J. FROST,WILLIAM J. FROST Percent,KAREN G. SHIELDS,KAREN G. SHIELDS Percent,CHARLES E. DONEGAN,CHARLES E. DONEGAN Percent,ELLEN L. FLANNIGAN,ELLEN L. FLANNIGAN Percent,RODNEY C. HOWARD,RODNEY C. HOWARD Percent,CAROL J. KENNY,CAROL J. KENNY Percent,precinct_id
1,21,133,29,21.8,15,11.28,44,33.08,8,6.02,23,17.29,2,1.5,12,9.02,01021
1,22,67,14,20.9,11,16.42,22,32.84,8,11.94,6,8.96,2,2.99,4,5.97,01022
1,23,184,37,20.11,16,8.7,50,27.17,16,8.7,38,20.65,9,4.89,18,9.78,01023
1,24,95,17,17.89,11,11.58,24,25.26,6,6.32,19,20.0,4,4.21,14,14.74,01024
1,25,141,23,16.31,11,7.8,41,29.08,11,7.8,24,17.02,5,3.55,26,18.44,01025
1,26,194,29,14.95,20,10.31,57,29.38,18,9.28,41,21.13,6,3.09,23,11.86,01026
1,27,92,17,18.48,5,5.43,23,25.0,5,5.43,16,17.39,9,9.78,17,18.48,01027
1,28,22,3,13.64,1,4.55,3,13.64,4,18.18,6,27.27,1,4.55,4,18.18,01028
1,29,173,17,9.83,15,8.67,58,33.53,14,8.09,33,19.08,8,4.62,28,16.18,01029
1,30,107,16,14.95,18,16.82,31,28.97,9,8.41,17,15.89,6,5.61,10,9.35,01030
1,31,28,10,35.71,3,10.71,4,14.29,0,0.0,6,21.43,2,7.14,3,10.71,01031
1,32,115,36,31.3,19,16.52,15,13.04,7,6.09,11,9.57,8,6.96,19,16.52,01032
1,33,166,28,16.87,13,7.83,48,28.92,13,7.83,28,16.87,10,6.02,26,15.66,01033
1,34,14,3,21.43,0,0.0,7,50.0,2,14.29,1,7.14,0,0.0,1,7.14,01034
1,35,31,10,32.26,2,6.45,7,22.58,2,6.45,6,19.35,1,3.23,3,9.68,01035
1,36,108,15,13.89,6,5.56,34,31.48,11,10.19,29,26.85,3,2.78,10,9.26,01036
2,1,92,19,20.65,14,15.22,21,22.83,8,8.7,14,15.22,6,6.52,10,10.87,02001
2,2,234,66,28.21,52,22.22,39,16.67,9,3.85,5,2.14,40,17.09,23,9.83,02002
2,3,88,23,26.14,14,15.91,15,17.05,6,6.82,5,5.68,14,15.91,11,12.5,02003
2,4,22,4,18.18,1,4.55,5,22.73,1,4.55,3,13.64,4,18.18,4,18.18,02004
2,5,53,21,39.62,3,5.66,12,22.64,4,7.55,5,9.43,0,0.0,8,15.09,02005
2,6,60,11,18.33,11,18.33,9,15.0,9,15.0,1,1.67,13,21.67,6,10.0,02006
2,7,170,47,27.65,30,17.65,28,16.47,13,7.65,14,8.24,15,8.82,23,13.53,02007
2,8,106,34,32.08,22,20.75,0,0.0,4,3.77,19,17.92,13,12.26,14,13.21,02008
2,9,53,8,15.09,8,15.09,7,13.21,7,13.21,11,20.75,8,15.09,4,7.55,02009
2,10,65,15,23.08,7,10.77,13,20.0,6,9.23,6,9.23,5,7.69,13,20.0,02010
2,11,212,31,14.62,37,17.45,82,38.68,6,2.83,20,9.43,13,6.13,23,10.85,02011
2,12,161,32,19.88,32,19.88,27,16.77,13,8.07,8,4.97,28,17.39,21,13.04,02012
2,13,216,68,31.48,45,20.83,21,9.72,7,3.24,13,6.02,29,13.43,33,15.28,02013
2,14,123,41,33.33,19,15.45,19,15.45,9,7.32,1,0.81,21,17.07,13,10.57,02014
2,15,38,11,28.95,3,7.89,9,23.68,6,15.79,3,7.89,5,13.16,1,2.63,02015
2,16,77,13,16.88,3,3.9,21,27.27,3,3.9,6,7.79,25,32.47,6,7.79,02016
2,17,104,37,35.58,11,10.58,17,16.35,6,5.77,8,7.69,11,10.58,14,13.46,02017
2,18,190,82,43.16,31,16.32,26,13.68,3,1.58,15,7.89,19,10.0,14,7.37,02018
2,19,61,15,24.59,10,16.39,11,18.03,3,4.92,6,9.84,6,9.84,10,16.39,02019
2,20,150,65,43.33,26,17.33,16,10.67,6,4.0,4,2.67,20,13.33,13,8.67,02020
2,21,142,49,34.51,17,11.97,26,18.31,6,4.23,7,4.93,17,11.97,20,14.08,02021
2,22,184,33,17.93,24,13.04,57,30.98,7,3.8,25,13.59,19,10.33,19,10.33,02022
2,23,72,26,36.11,12,16.67,13,18.06,2,2.78,3,4.17,7,9.72,9,12.5,02023
2,24,69,28,40.58,15,21.74,10,14.49,3,4.35,1,1.45,7,10.14,5,7.25,02024
2,25,32,8,25.0,4,12.5,9,28.13,3,9.38,1,3.13,2,6.25,5,15.63,02025
2,26,76,19,25.0,6,7.89,14,18.42,5,6.58,11,14.47,11,14.47,10,13.16,02026
2,27,21,3,14.29,3,14.29,5,23.81,2,9.52,4,19.05,4,19.05,0,0.0,02027
2,28,142,39,27.46,23,16.2,30,21.13,4,2.82,15,10.56,13,9.15,18,12.68,02028
2,29,63,16,25.4,9,14.29,7,11.11,8,12.7,8,12.7,7,11.11,8,12.7,02029
2,30,89,27,30.34,12,13.48,22,24.72,4,4.49,2,2.25,9,10.11,13,14.61,02030
2,31,161,47,29.19,35,21.74,25,15.53,4,2.48,4,2.48,26,16.15,20,12.42,02031
2,32,75,17,22.67,17,22.67,7,9.33,8,10.67,7,9.33,7,9.33,12,16.0,02032
2,33,203,57,28.08,28,13.79,32,15.76,6,2.96,11,5.42,53,26.11,16,7.88,02033
2,34,103,39,37.86,20,19.42,9,8.74,7,6.8,6,5.83,12,11.65,10,9.71,02034
2,35,24,7,29.17,4,16.67,4,16.67,2,8.33,1,4.17,3,12.5,3,12.5,02035
2,36,65,24,36.92,10,15.38,6,9.23,5,7.69,7,10.77,3,4.62,10,15.38,02036
2,37,68,15,22.06,5,7.35,28,41.18,1,1.47,5,7.35,8,11.76,6,8.82,02037
2,38,107,25,23.36,17,15.89,14,13.08,10,9.35,9,8.41,11,10.28,21,19.63,02038
2,39,91,27,29.67,10,10.99,14,15.38,7,7.69,13,14.29,12,13.19,8,8.79,02039
2,40,115,24,20.87,16,13.91,28,24.35,10,8.7,20,17.39,10,8.7,7,6.09,02040
2,41,46,9,19.57,6,13.04,7,15.22,3,6.52,7,15.22,8,17.39,6,13.04,02041
2,42,32,4,12.5,3,9.38,11,34.38,4,12.5,5,15.63,1,3.13,4,12.5,02042
2,43,155,30,19.35,18,11.61,61,39.35,8,5.16,12,7.74,8,5.16,18,11.61,02043
2,44,135,53,39.26,23,17.04,17,12.59,10,7.41,3,2.22,11,8.15,18,13.33,02044
2,45,59,13,22.03,12,20.34,12,20.34,2,3.39,4,6.78,6,10.17,10,16.95,02045
2,46,251,84,33.47,67,26.69,35,13.94,6,2.39,9,3.59,31,12.35,19,7.57,02046
2,47,95,28,29.47,12,12.63,18,18.95,2,2.11,3,3.16,24,25.26,8,8.42,02047
2,48,160,49,30.63,27,16.88,18,11.25,6,3.75,7,4.38,34,21.25,19,11.88,02048
2,49,46,5,10.87,6,13.04,23,50.0,1,2.17,2,4.35,3,6.52,6,13.04,02049
2,50,55,18,32.73,8,14.55,9,16.36,4,7.27,9,16.36,2,3.64,5,9.09,02050
2,51,96,36,37.5,9,9.38,10,10.42,7,7.29,13,13.54,13,13.54,8,8.33,02051
2,52,85,15,17.65,11,12.94,25,29.41,2,2.35,9,10.59,9,10.59,14,16.47,02052
2,53,52,20,38.46,11,21.15,8,15.38,2,3.85,3,5.77,2,3.85,6,11.54,02053
2,54,122,32,26.23,15,12.3,39,31.97,6,4.92,21,17.21,3,2.46,6,4.92,02054
3,1,143,46,32.17,29,20.28,15,10.49,12,8.39,11,7.69,13,9.09,17,11.89,03001
3,2,179,80,44.69,23,12.85,14,7.82,10,5.59,8,4.47,29,16.2,15,8.38,03002
3,3,38,6,15.79,5,13.16,7,18.42,2,5.26,4,10.53,6,15.79,8,21.05,03003
3,4,63,15,23.81,6,9.52,14,22.22,7,11.11,6,9.52,3,4.76,12,19.05,03004
3,5,42,12,28.57,3,7.14,10,23.81,10,23.81,1,2.38,2,4.76,4,9.52,03005
3,6,1,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,03006
3,7,14,2,14.29,2,14.29,3,21.43,0,0.0,3,21.43,3,21.43,1,7.14,03007
3,8,56,16,28.57,6,10.71,7,12.5,4,7.14,11,19.64,2,3.57,10,17.86,03008
3,9,83,22,26.51,13,15.66,13,15.66,4,4.82,8,9.64,9,10.84,14,16.87,03009
3,10,122,41,33.61,12,9.84,22,18.03,4,3.28,14,11.48,12,9.84,17,13.93,03010
3,11,65,22,33.85,16,24.62,6,9.23,4,6.15,3,4.62,8,12.31,6,9.23,03011
3,12,86,28,32.56,14,16.28,15,17.44,4,4.65,5,5.81,12,13.95,8,9.3,03012
3,13,24,8,33.33,0,0.0,6,25.0,1,4.17,2,8.33,4,16.67,3,12.5,03013
3,14,58,18,31.03,6,10.34,9,15.52,2,3.45,3,5.17,7,12.07,13,22.41,03014
3,15,78,24,30.77,20,25.64,10,12.82,5,6.41,5,6.41,4,5.13,10,12.82,03015
3,16,157,80,50.96,26,16.56,20,12.74,3,1.91,7,4.46,12,7.64,9,5.73,03016
3,17,76,31,40.79,12,15.79,11,14.47,5,6.58,4,5.26,7,9.21,6,7.89,03017
3,18,77,22,28.57,9,11.69,12,15.58,6,7.79,8,10.39,10,12.99,10,12.99,03018
3,19,48,12,25.0,5,10.42,11,22.92,4,8.33,8,16.67,5,10.42,3,6.25,03019
3,20,33,13,39.39,4,12.12,3,9.09,6,18.18,1,3.03,4,12.12,2,6.06,03020
3,21,58,25,43.1,6,10.34,7,12.07,1,1.72,4,6.9,6,10.34,9,15.52,03021
3,22,86,20,23.26,18,20.93,20,23.26,5,5.81,6,6.98,6,6.98,11,12.79,03022
3,23,25,7,28.0,1,4.0,6,24.0,4,16.0,1,4.0,3,12.0,3,12.0,03023
3,24,108,43,39.81,22,20.37,10,9.26,4,3.7,7,6.48,8,7.41,14,12.96,03024
3,25,23,7,30.43,2,8.7,5,21.74,4,17.39,0,0.0,2,8.7,3,13.04,03025
3,26,63,20,31.75,10,15.87,10,15.87,3,4.76,5,7.94,8,12.7,7,11.11,03026
3,27,15,0,0.0,4,26.67,1,6.67,2,13.33,3,20.0,3,20.0,2,13.33,03027
3,28,111,35,31.53,23,20.72,17,15.32,3,2.7,3,2.7,11,9.91,19,17.12,03028
3,29,15,2,13.33,2,13.33,3,20.0,1,6.67,3,20.0,1,6.67,3,20.0,03029
3,30,98,38,38.78,12,12.24,12,12.24,6,6.12,3,3.06,8,8.16,19,19.39,03030
3,31,101,50,49.5,15,14.85,11,10.89,2,1.98,5,4.95,9,8.91,9,8.91,03031
3,32,113,41,36.28,20,17.7,19,16.81,9,7.96,6,5.31,12,10.62,6,5.31,03032
3,33,95,23,24.21,12,12.63,22,23.16,5,5.26,7,7.37,11,11.58,15,15.79,03033
3,34,26,15,57.69,4,15.38,2,7.69,0,0.0,1,3.85,1,3.85,3,11.54,03034
3,35,92,36,39.13,20,21.74,11,11.96,2,2.17,4,4.35,6,6.52,13,14.13,03035
3,36,39,13,33.33,2,5.13,7,17.95,3,7.69,6,15.38,4,10.26,4,10.26,03036
3,37,91,29,31.87,18,19.78,6,6.59,7,7.69,11,12.09,5,5.49,15,16.48,03037
3,38,144,47,32.64,31,21.53,17,11.81,7,4.86,7,4.86,15,10.42,20,13.89,03038
3,39,185,54,29.19,45,24.32,14,7.57,10,5.41,8,4.32,23,12.43,31,16.76,03039
3,40,85,25,29.41,18,21.18,12,14.12,2,2.35,9,10.59,6,7.06,13,15.29,03040
3,41,76,21,27.63,17,22.37,11,14.47,4,5.26,3,3.95,10,13.16,10,13.16,03041
3,42,34,6,17.65,7,20.59,5,14.71,5,14.71,1,2.94,4,11.76,6,17.65,03042
3,43,18,1,5.56,0,0.0,6,33.33,0,0.0,3,16.67,2,11.11,6,33.33,03043
3,44,65,31,47.69,11,16.92,5,7.69,5,7.69,5,7.69,5,7.69,3,4.62,03044
3,45,36,5,13.89,4,11.11,11,30.56,4,11.11,3,8.33,3,8.33,6,16.67,03045
3,46,13,5,38.46,2,15.38,3,23.08,0,0.0,0,0.0,1,7.69,2,15.38,03046
3,47,70,23,32.86,12,17.14,14,20.0,3,4.29,6,8.57,7,10.0,5,7.14,03047
3,48,71,21,29.58,13,18.31,12,16.9,3,4.23,7,9.86,7,9.86,8,11.27,03048
3,49,60,18,30.0,8,13.33,6,10.0,6,10.0,3,5.0,10,16.67,9,15.0,03049
3,50,91,37,40.66,9,9.89,10,10.99,7,7.69,7,7.69,8,8.79,13,14.29,03050
3,51,46,10,21.74,3,6.52,7,15.22,5,10.87,10,21.74,3,6.52,8,17.39,03051
3,52,108,42,38.89,15,13.89,12,11.11,4,3.7,7,6.48,11,10.19,17,15.74,03052
4,1,131,44,33.59,22,16.79,30,22.9,2,1.53,6,4.58,15,11.45,12,9.16,04001
4,2,29,14,48.28,3,10.34,3,10.34,1,3.45,2,6.9,4,13.79,2,6.9,04002
4,3,174,54,31.03,34,19.54,28,16.09,9,5.17,8,4.6,18,10.34,23,13.22,04003
4,4,144,41,28.47,25,17.36,28,19.44,12,8.33,6,4.17,16,11.11,16,11.11,04004
4,5,144,42,29.17,30,20.83,25,17.36,5,3.47,6,4.17,21,14.58,15,10.42,04005
4,6,5,2,40.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,2,40.0,04006
4,7,108,45,41.67,23,21.3,4,3.7,9,8.33,6,5.56,10,9.26,11,10.19,04007
4,8,182,48,26.37,36,19.78,34,18.68,8,4.4,9,4.95,29,15.93,18,9.89,04008
4,9,295,108,36.61,56,18.98,48,16.27,9,3.05,4,1.36,27,9.15,43,14.58,04009
4,10,184,67,36.41,37,20.11,30,16.3,4,2.17,8,4.35,21,11.41,17,9.24,04010
4,11,107,37,34.58,14,13.08,18,16.82,5,4.67,5,4.67,11,10.28,17,15.89,04011
4,12,101,35,34.65,9,8.91,18,17.82,1,0.99,8,7.92,18,17.82,12,11.88,04012
4,13,168,70,41.67,26,15.48,28,16.67,0,0.0,6,3.57,13,7.74,25,14.88,04013
4,14,95,35,36.84,15,15.79,14,14.74,5,5.26,7,7.37,11,11.58,8,8.42,04014
4,15,87,28,32.18,17,19.54,10,11.49,4,4.6,6,6.9,9,10.34,13,14.94,04015
4,16,151,44,29.14,20,13.25,22,14.57,8,5.3,9,5.96,18,11.92,30,19.87,04016
4,17,177,59,33.33,28,15.82,35,19.77,7,3.95,14,7.91,18,10.17,16,9.04,04017
4,18,116,26,22.41,15,12.93,19,16.38,6,5.17,15,12.93,18,15.52,17,14.66,04018
4,19,36,12,33.33,9,25.0,5,13.89,1,2.78,2,5.56,2,5.56,5,13.89,04019
4,20,65,19,29.23,13,20.0,14,21.54,3,4.62,6,9.23,5,7.69,5,7.69,04020
4,21,145,48,33.1,25,17.24,28,19.31,3,2.07,2,1.38,21,14.48,18,12.41,04021
4,22,206,94,45.63,23,11.17,47,22.82,1,0.49,4,1.94,21,10.19,16,7.77,04022
4,23,114,36,31.58,15,13.16,29,25.44,3,2.63,8,7.02,13,11.4,10,8.77,04023
4,24,166,50,30.12,29,17.47,38,22.89,7,4.22,10,6.02,16,9.64,16,9.64,04024
4,25,163,51,31.29,37,22.7,12,7.36,8,4.91,7,4.29,22,13.5,26,15.95,04025
4,26,110,33,30.0,21,19.09,13,11.82,3,2.73,4,3.64,18,16.36,18,16.36,04026
4,27,208,83,39.9,35,16.83,22,10.58,12,5.77,8,3.85,25,12.02,23,11.06,04027
4,28,152,59,38.82,13,8.55,48,31.58,3,1.97,5,3.29,12,7.89,12,7.89,04028
4,29,133,39,29.32,26,19.55,33,24.81,5,3.76,6,4.51,12,9.02,12,9.02,04029
4,30,31,9,29.03,4,12.9,7,22.58,2,6.45,3,9.68,2,6.45,4,12.9,04030
4,31,44,15,34.09,4,9.09,3,6.82,5,11.36,6,13.64,5,11.36,6,13.64,04031
4,32,165,52,31.52,12,7.27,59,35.76,2,1.21,11,6.67,14,8.48,15,9.09,04032
4,33,48,14,29.17,10,20.83,5,10.42,1,2.08,3,6.25,8,16.67,7,14.58,04033
4,34,126,49,38.89,8,6.35,45,35.71,0,0.0,7,5.56,6,4.76,11,8.73,04034
4,35,88,35,39.77,10,11.36,9,10.23,5,5.68,5,5.68,10,11.36,14,15.91,04035
4,36,178,68,38.2,26,14.61,26,14.61,5,2.81,2,1.12,28,15.73,23,12.92,04036
4,37,76,23,30.26,6,7.89,13,17.11,10,13.16,6,7.89,10,13.16,8,10.53,04037
4,38,208,62,29.81,36,17.31,41,19.71,13,6.25,13,6.25,19,9.13,24,11.54,04038
4,39,64,22,34.38,9,14.06,13,20.31,2,3.13,3,4.69,8,12.5,7,10.94,04039
4,40,146,45,30.82,30,20.55,18,12.33,9,6.16,11,7.53,14,9.59,19,13.01,04040
4,41,104,39,37.5,12,11.54,24,23.08,3,2.88,3,2.88,8,7.69,15,14.42,04041
4,42,89,24,26.97,23,25.84,13,14.61,3,3.37,1,1.12,10,11.24,15,16.85,04042
4,43,105,45,42.86,13,12.38,24,22.86,3,2.86,6,5.71,7,6.67,7,6.67,04043
4,44,99,28,28.28,13,13.13,21,21.21,3,3.03,9,9.09,14,14.14,11,11.11,04044
4,45,269,90,33.46,44,16.36,49,18.22,19,7.06,12,4.46,24,8.92,31,11.52,04045
4,46,135,39,28.89,24,17.78,26,19.26,6,4.44,4,2.96,20,14.81,16,11.85,04046
4,47,191,64,33.51,26,13.61,47,24.61,5,2.62,10,5.24,17,8.9,22,11.52,04047
4,48,199,57,28.64,24,12.06,67,33.67,5,2.51,13,6.53,20,10.05,13,6.53,04048
4,49,38,10,26.32,6,15.79,6,15.79,1,2.63,4,10.53,4,10.53,7,18.42,04049
4,50,127,26,20.47,27,21.26,22,17.32,8,6.3,5,3.94,16,12.6,23,18.11,04050
4,51,187,68,36.36,27,14.44,37,19.79,4,2.14,10,5.35,21,11.23,20,10.7,04051
4,52,39,11,28.21,7,17.95,9,23.08,3,7.69,1,2.56,4,10.26,4,10.26,04052
4,53,35,16,45.71,2,5.71,6,17.14,2,5.71,3,8.57,1,2.86,5,14.29,04053
4,54,81,38,46.91,10,12.35,11,13.58,4,4.94,4,4.94,2,2.47,12,14.81,04054
4,55,102,39,38.24,4,3.92,36,35.29,1,0.98,9,8.82,4,3.92,9,8.82,04055
5,1,152,62,40.79,23,15.13,22,14.47,4,2.63,6,3.95,22,14.47,13,8.55,05001
5,2,119,31,26.05,28,23.53,17,14.29,2,1.68,10,8.4,13,10.92,18,15.13,05002
5,3,146,41,28.08,36,24.66,24,16.44,2,1.37,15,10.27,12,8.22,16,10.96,05003
5,4,200,55,27.5,41,20.5,38,19.0,5,2.5,7,3.5,34,17.0,20,10.0,05004
5,5,111,31,27.93,20,18.02,22,19.82,3,2.7,11,9.91,12,10.81,12,10.81,05005
5,6,168,53,31.55,38,22.62,23,13.69,5,2.98,8,4.76,23,13.69,18,10.71,05006
5,7,137,68,49.64,18,13.14,9,6.57,3,2.19,7,5.11,14,10.22,18,13.14,05007
5,8,188,63,33.51,6,3.19,100,53.19,0,0.0,8,4.26,6,3.19,5,2.66,05008
5,9,143,52,36.36,30,20.98,13,9.09,7,4.9,11,7.69,14,9.79,16,11.19,05009
5,10,92,24,26.09,20,21.74,10,10.87,5,5.43,7,7.61,13,14.13,13,14.13,05010
5,11,53,12,22.64,4,7.55,30,56.6,0,0.0,5,9.43,0,0.0,2,3.77,05011
5,12,153,25,16.34,34,22.22,27,17.65,12,7.84,11,7.19,22,14.38,22,14.38,05012
5,13,156,45,28.85,35,22.44,19,12.18,6,3.85,17,10.9,15,9.62,19,12.18,05013
5,14,127,37,29.13,11,8.66,48,37.8,2,1.57,15,11.81,6,4.72,8,6.3,05014
5,15,94,24,25.53,24,25.53,15,15.96,4,4.26,8,8.51,6,6.38,13,13.83,05015
5,16,102,26,25.49,20,19.61,14,13.73,5,4.9,9,8.82,11,10.78,17,16.67,05016
5,17,91,26,28.57,21,23.08,8,8.79,3,3.3,10,10.99,11,12.09,12,13.19,05017
5,18,94,25,26.6,23,24.47,13,13.83,3,3.19,4,4.26,12,12.77,14,14.89,05018
5,19,118,33,27.97,39,33.05,10,8.47,5,4.24,8,6.78,8,6.78,15,12.71,05019
5,20,98,24,24.49,16,16.33,13,13.27,8,8.16,8,8.16,12,12.24,17,17.35,05020
5,21,187,63,33.69,38,20.32,25,13.37,4,2.14,13,6.95,18,9.63,26,13.9,05021
5,22,153,40,26.14,38,24.84,25,16.34,8,5.23,13,8.5,10,6.54,19,12.42,05022
5,23,124,45,36.29,22,17.74,16,12.9,9,7.26,7,5.65,8,6.45,17,13.71,05023
5,24,127,29,22.83,21,16.54,39,30.71,7,5.51,1,0.79,10,7.87,20,15.75,05024
5,25,108,28,25.93,26,24.07,12,11.11,6,5.56,8,7.41,9,8.33,19,17.59,05025
5,26,85,28,32.94,19,22.35,7,8.24,3,3.53,8,9.41,9,10.59,11,12.94,05026
5,27,46,9,19.57,3,6.52,21,45.65,4,8.7,6,13.04,1,2.17,2,4.35,05027
5,28,195,57,29.23,41,21.03,40,20.51,7,3.59,7,3.59,23,11.79,20,10.26,05028
5,29,107,34,31.78,22,20.56,9,8.41,10,9.35,4,3.74,20,18.69,8,7.48,05029
5,30,132,40,30.3,6,4.55,69,52.27,3,2.27,8,6.06,0,0.0,6,4.55,05030
5,31,96,40,41.67,17,17.71,10,10.42,3,3.13,6,6.25,10,10.42,10,10.42,05031
5,32,200,64,32.0,34,17.0,26,13.0,7,3.5,6,3.0,42,21.0,21,10.5,05032
5,33,141,42,29.79,32,22.7,18,12.77,9,6.38,3,2.13,17,12.06,20,14.18,05033
5,34,98,35,35.71,16,16.33,13,13.27,6,6.12,6,6.12,10,10.2,12,12.24,05034
5,35,89,31,34.83,10,11.24,25,28.09,3,3.37,6,6.74,5,5.62,9,10.11,05035
5,36,148,53,35.81,24,16.22,23,15.54,2,1.35,9,6.08,14,9.46,23,15.54,05036
5,37,92,24,26.09,13,14.13,21,22.83,6,6.52,9,9.78,12,13.04,7,7.61,05037
5,38,164,47,28.66,12,7.32,74,45.12,5,3.05,5,3.05,7,4.27,14,8.54,05038
5,39,142,33,23.24,4,2.82,82,57.75,3,2.11,10,7.04,5,3.52,5,3.52,05039
5,40,102,40,39.22,15,14.71,12,11.76,5,4.9,5,4.9,13,12.75,12,11.76,05040
5,41,93,17,18.28,5,5.38,54,58.06,3,3.23,7,7.53,1,1.08,6,6.45,05041
5,42,136,40,29.41,24,17.65,15,11.03,6,4.41,10,7.35,16,11.76,25,18.38,05042
5,43,146,39,26.71,30,20.55,26,17.81,5,3.42,8,5.48,26,17.81,12,8.22,05043
5,44,134,36,26.87,32,23.88,22,16.42,2,1.49,10,7.46,16,11.94,16,11.94,05044
5,45,95,25,26.32,19,20.0,15,15.79,1,1.05,7,7.37,14,14.74,14,14.74,05045
5,46,135,33,24.44,14,10.37,45,33.33,3,2.22,8,5.93,17,12.59,15,11.11,05046
5,47,94,30,31.91,19,20.21,16,17.02,2,2.13,2,2.13,10,10.64,15,15.96,05047
5,48,130,37,28.46,9,6.92,41,31.54,4,3.08,12,9.23,13,10.0,14,10.77,05048
5,49,145,39,26.9,9,6.21,77,53.1,4,2.76,4,2.76,3,2.07,9,6.21,05049
5,50,92,21,22.83,25,27.17,13,14.13,3,3.26,8,8.7,10,10.87,12,13.04,05050
5,51,107,24,22.43,25,23.36,24,22.43,7,6.54,5,4.67,10,9.35,12,11.21,05051
5,52,87,24,27.59,18,20.69,15,17.24,4,4.6,4,4.6,13,14.94,9,10.34,05052
5,53,111,37,33.33,19,17.12,18,16.22,4,3.6,5,4.5,10,9.01,18,16.22,05053
5,54,79,34,43.04,6,7.59,16,20.25,2,2.53,1,1.27,9,11.39,11,13.92,05054
5,55,143,60,41.96,27,18.88,22,15.38,3,2.1,7,4.9,16,11.19,8,5.59,05055
5,56,92,32,34.78,20,21.74,13,14.13,4,4.35,6,6.52,6,6.52,11,11.96,05056
5,57,142,30,21.13,24,16.9,51,35.92,3,2.11,6,4.23,16,11.27,12,8.45,05057
5,58,75,22,29.33,15,20.0,8,10.67,4,5.33,5,6.67,11,14.67,10,13.33,05058
5,59,83,22,26.51,17,20.48,17,20.48,2,2.41,7,8.43,11,13.25,7,8.43,05059
6,1,223,73,32.74,57,25.56,24,10.76,4,1.79,12,5.38,35,15.7,18,8.07,06001
6,2,209,68,32.54,62,29.67,23,11.0,6,2.87,13,6.22,25,11.96,12,5.74,06002
6,3,169,71,42.01,40,23.67,12,7.1,7,4.14,2,1.18,17,10.06,20,11.83,06003
6,4,106,23,21.7,29,27.36,13,12.26,6,5.66,9,8.49,5,4.72,21,19.81,06004
6,5,82,24,29.27,15,18.29,12,14.63,7,8.54,4,4.88,9,10.98,11,13.41,06005
6,6,188,59,31.38,45,23.94,24,12.77,9,4.79,5,2.66,22,11.7,24,12.77,06006
6,7,128,43,33.59,22,17.19,23,17.97,9,7.03,4,3.13,15,11.72,12,9.38,06007
6,8,187,52,27.81,51,27.27,21,11.23,10,5.35,7,3.74,32,17.11,14,7.49,06008
6,9,203,77,37.93,45,22.17,17,8.37,5,2.46,6,2.96,40,19.7,13,6.4,06009
