ward,precinct,total,JAN SCHAKOWSKY,JAN SCHAKOWSKY Percent,precinct_id
50,20,93,93,100.0,50020
50,21,119,119,100.0,50021
50,22,68,68,100.0,50022
50,23,62,62,100.0,50023
50,24,49,49,100.0,50024
50,25,64,64,100.0,50025
50,26,71,71,100.0,50026
50,27,86,86,100.0,50027
50,28,125,125,100.0,50028
50,29,88,88,100.0,50029
50,30,90,90,100.0,50030
50,31,65,65,100.0,50031
50,32,48,48,100.0,50032
50,33,49,49,100.0,50033
50,34,73,73,100.0,50034
50,35,103,103,100.0,50035
50,36,108,108,100.0,50036
50,37,104,104,100.0,50037
50,38,115,115,100.0,50038
50,39,90,90,100.0,50039
50,40,90,90,100.0,50040
50,41,113,113,100.0,50041
50,42,147,147,100.0,50042
50,43,131,131,100.0,50043
50,44,81,81,100.0,50044
50,45,113,113,100.0,50045
50,46,58,58,100.0,50046
