ward,precinct,total,Marian Emily Perkins,Marian Emily Perkins Percent,Jenetia Marshall,Jenetia Marshall Percent,precinct_id
5,1,193,53,27.46,52,26.94,05001
5,2,145,50,34.48,69,47.59,05002
5,3,206,89,43.2,43,20.87,05003
5,4,280,112,40.0,90,32.14,05004
5,5,198,69,34.85,59,29.8,05005
5,6,193,66,34.2,66,34.2,05006
5,7,237,92,38.82,84,35.44,05007
5,8,260,108,41.54,30,11.54,05008
5,9,301,104,34.55,90,29.9,05009
5,10,174,51,29.31,81,46.55,05010
5,11,291,110,37.8,56,19.24,05011
5,12,73,26,35.62,33,45.21,05012
5,13,184,52,28.26,78,42.39,05013
5,14,243,70,28.81,99,40.74,05014
5,15,214,73,34.11,54,25.23,05015
5,16,190,55,28.95,79,41.58,05016
5,17,178,60,33.71,66,37.08,05017
5,18,229,88,38.43,52,22.71,05018
5,19,255,130,50.98,31,12.16,05019
5,20,264,117,44.32,72,27.27,05020
5,21,227,77,33.92,53,23.35,05021
5,22,290,106,36.55,72,24.83,05022
5,23,407,140,34.4,97,23.83,05023
5,24,257,102,39.69,56,21.79,05024
5,25,264,100,37.88,68,25.76,05025
5,26,243,74,30.45,78,32.1,05026
5,27,204,76,37.25,30,14.71,05027
5,28,282,104,36.88,99,35.11,05028
5,29,246,83,33.74,83,33.74,05029
5,30,157,46,29.3,65,41.4,05030
5,31,179,47,26.26,54,30.17,05031
5,32,296,91,30.74,118,39.86,05032
5,33,258,98,37.98,86,33.33,05033
5,34,236,91,38.56,30,12.71,05034
5,35,265,105,39.62,54,20.38,05035
5,36,122,43,35.25,41,33.61,05036
5,37,271,105,38.75,64,23.62,05037
5,38,220,60,27.27,68,30.91,05038
5,39,208,86,41.35,30,14.42,05039
5,40,179,67,37.43,55,30.73,05040
5,41,160,71,44.38,31,19.38,05041
6,7,184,67,36.41,69,37.5,06007
6,9,152,43,28.29,61,40.13,06009
6,11,155,45,29.03,73,47.1,06011
6,15,94,28,29.79,30,31.91,06015
6,18,17,3,17.65,12,70.59,06018
6,21,84,22,26.19,36,42.86,06021
6,23,66,22,33.33,25,37.88,06023
6,24,101,30,29.7,40,39.6,06024
6,26,103,31,30.1,48,46.6,06026
6,28,90,26,28.89,40,44.44,06028
6,30,124,50,40.32,45,36.29,06030
6,32,195,78,40.0,77,39.49,06032
6,40,67,27,40.3,22,32.84,06040
6,48,193,72,37.31,69,35.75,06048
7,1,172,47,27.33,76,44.19,07001
7,2,161,46,28.57,60,37.27,07002
7,3,236,83,35.17,76,32.2,07003
7,4,196,75,38.27,63,32.14,07004
7,5,153,47,30.72,54,35.29,07005
7,6,226,60,26.55,95,42.04,07006
7,8,148,41,27.7,58,39.19,07008
7,9,314,108,34.39,125,39.81,07009
7,13,48,20,41.67,13,27.08,07013
8,1,164,68,41.46,57,34.76,08001
8,2,158,56,35.44,66,41.77,08002
8,26,94,35,37.23,29,30.85,08026
8,42,249,87,34.94,92,36.95,08042
11,12,279,164,58.78,21,7.53,11012
11,13,248,142,57.26,22,8.87,11013
11,14,71,25,35.21,14,19.72,11014
11,15,74,34,45.95,11,14.86,11015
11,16,120,58,48.33,19,15.83,11016
11,18,146,73,50.0,30,20.55,11018
11,20,126,67,53.17,14,11.11,11020
11,23,137,66,48.18,25,18.25,11023
11,27,65,31,47.69,15,23.08,11027
11,28,83,40,48.19,12,14.46,11028
11,32,105,71,67.62,8,7.62,11032
11,34,54,26,48.15,8,14.81,11034
11,35,47,29,61.7,5,10.64,11035
15,2,97,20,20.62,44,45.36,15002
15,3,107,30,28.04,35,32.71,15003
15,7,100,31,31.0,40,40.0,15007
15,17,126,44,34.92,45,35.71,15017
15,18,80,24,30.0,22,27.5,15018
15,20,100,34,34.0,39,39.0,15020
15,21,109,43,39.45,26,23.85,15021
15,22,51,13,25.49,21,41.18,15022
15,23,128,35,27.34,52,40.63,15023
15,24,89,29,32.58,36,40.45,15024
16,2,87,27,31.03,37,42.53,16002
16,3,101,31,30.69,41,40.59,16003
16,5,97,36,37.11,29,29.9,16005
16,6,116,47,40.52,33,28.45,16006
16,8,78,29,37.18,28,35.9,16008
16,9,141,40,28.37,57,40.43,16009
16,10,104,41,39.42,32,30.77,16010
16,11,10,5,50.0,3,30.0,16011
16,12,88,35,39.77,35,39.77,16012
16,14,98,27,27.55,51,52.04,16014
16,15,148,46,31.08,55,37.16,16015
16,16,119,46,38.66,36,30.25,16016
16,20,108,46,42.59,41,37.96,16020
16,21,99,39,39.39,32,32.32,16021
16,24,67,26,38.81,25,37.31,16024
16,25,158,54,34.18,52,32.91,16025
16,26,117,40,34.19,43,36.75,16026
16,27,104,35,33.65,38,36.54,16027
16,28,119,35,29.41,52,43.7,16028
16,29,98,26,26.53,37,37.76,16029
16,30,88,27,30.68,30,34.09,16030
16,31,144,47,32.64,47,32.64,16031
16,33,113,44,38.94,36,31.86,16033
16,34,100,32,32.0,30,30.0,16034
16,36,90,33,36.67,35,38.89,16036
17,8,5,0,0.0,0,0.0,17008
17,13,133,47,35.34,39,29.32,17013
17,19,37,14,37.84,16,43.24,17019
17,35,19,6,31.58,10,52.63,17035
17,36,72,23,31.94,23,31.94,17036
20,1,196,59,30.1,79,40.31,20001
20,2,62,18,29.03,18,29.03,20002
20,3,152,53,34.87,59,38.82,20003
20,4,59,20,33.9,19,32.2,20004
20,5,202,64,31.68,80,39.6,20005
20,6,70,24,34.29,25,35.71,20006
20,7,149,44,29.53,56,37.58,20007
20,8,190,63,33.16,77,40.53,20008
20,9,244,68,27.87,107,43.85,20009
20,10,131,34,25.95,56,42.75,20010
20,11,195,71,36.41,65,33.33,20011
20,12,106,38,35.85,43,40.57,20012
20,13,177,67,37.85,57,32.2,20013
20,14,88,46,52.27,23,26.14,20014
20,16,193,54,27.98,88,45.6,20016
20,17,3,0,0.0,2,66.67,20017
20,18,126,46,36.51,42,33.33,20018
20,19,132,54,40.91,48,36.36,20019
20,21,92,33,35.87,29,31.52,20021
20,22,228,68,29.82,98,42.98,20022
20,23,160,65,40.63,52,32.5,20023
20,24,170,51,30.0,65,38.24,20024
20,25,107,38,35.51,35,32.71,20025
20,26,212,75,35.38,74,34.91,20026
20,27,83,31,37.35,34,40.96,20027
20,28,111,36,32.43,48,43.24,20028
20,29,221,82,37.1,82,37.1,20029
20,30,80,25,31.25,25,31.25,20030
20,31,175,50,28.57,62,35.43,20031
20,32,123,30,24.39,51,41.46,20032
20,33,136,40,29.41,58,42.65,20033
20,34,201,67,33.33,68,33.83,20034
20,35,64,20,31.25,21,32.81,20035
20,36,54,15,27.78,21,38.89,20036
20,37,52,15,28.85,21,40.38,20037
20,38,58,20,34.48,16,27.59,20038
20,39,17,2,11.76,10,58.82,20039
