ward,precinct,total,Kathaleen Theresa Lanahan,Kathaleen Theresa Lanahan Percent,Jonathan Clark Green,Jonathan Clark Green Percent,Michael I. O'Malley,Michael I. O'Malley Percent,Lori Ann Roper,Lori Ann Roper Percent,precinct_id
2,41,112,56,50.0,24,21.43,15,13.39,17,15.18,02041
2,42,144,64,44.44,29,20.14,26,18.06,25,17.36,02042
2,43,156,85,54.49,23,14.74,15,9.62,33,21.15,02043
2,44,106,60,56.6,12,11.32,15,14.15,19,17.92,02044
2,45,182,85,46.7,35,19.23,25,13.74,37,20.33,02045
2,46,88,46,52.27,20,22.73,10,11.36,12,13.64,02046
3,1,302,70,23.18,147,48.68,32,10.6,53,17.55,03001
3,2,356,76,21.35,146,41.01,57,16.01,77,21.63,03002
3,3,187,63,33.69,64,34.22,31,16.58,29,15.51,03003
3,4,264,61,23.11,129,48.86,29,10.98,45,17.05,03004
3,5,132,25,18.94,63,47.73,23,17.42,21,15.91,03005
3,6,213,100,46.95,51,23.94,31,14.55,31,14.55,03006
3,7,196,46,23.47,82,41.84,32,16.33,36,18.37,03007
3,8,165,40,24.24,52,31.52,37,22.42,36,21.82,03008
3,9,227,57,25.11,107,47.14,20,8.81,43,18.94,03009
3,10,106,21,19.81,53,50.0,21,19.81,11,10.38,03010
3,11,226,48,21.24,110,48.67,19,8.41,49,21.68,03011
3,12,288,87,30.21,99,34.38,34,11.81,68,23.61,03012
3,13,258,125,48.45,57,22.09,33,12.79,43,16.67,03013
3,14,193,95,49.22,44,22.8,30,15.54,24,12.44,03014
3,15,206,51,24.76,86,41.75,40,19.42,29,14.08,03015
3,16,201,49,24.38,91,45.27,29,14.43,32,15.92,03016
3,17,218,88,40.37,61,27.98,22,10.09,47,21.56,03017
3,18,287,74,25.78,105,36.59,47,16.38,61,21.25,03018
3,19,215,102,47.44,46,21.4,25,11.63,42,19.53,03019
3,20,229,65,28.38,84,36.68,38,16.59,42,18.34,03020
3,21,258,101,39.15,77,29.84,35,13.57,45,17.44,03021
3,22,221,107,48.42,41,18.55,25,11.31,48,21.72,03022
3,23,173,40,23.12,67,38.73,37,21.39,29,16.76,03023
3,24,198,50,25.25,82,41.41,29,14.65,37,18.69,03024
3,25,300,130,43.33,81,27.0,39,13.0,50,16.67,03025
3,26,287,118,41.11,76,26.48,32,11.15,61,21.25,03026
3,27,232,97,41.81,56,24.14,29,12.5,50,21.55,03027
3,28,165,41,24.85,69,41.82,39,23.64,16,9.7,03028
3,29,224,60,26.79,76,33.93,48,21.43,40,17.86,03029
3,30,230,54,23.48,108,46.96,24,10.43,44,19.13,03030
3,31,260,65,25.0,120,46.15,30,11.54,45,17.31,03031
3,32,225,95,42.22,65,28.89,29,12.89,36,16.0,03032
3,33,199,95,47.74,47,23.62,20,10.05,37,18.59,03033
3,34,251,98,39.04,68,27.09,50,19.92,35,13.94,03034
3,35,86,18,20.93,41,47.67,8,9.3,19,22.09,03035
3,36,129,30,23.26,54,41.86,20,15.5,25,19.38,03036
3,37,182,43,23.63,82,45.05,29,15.93,28,15.38,03037
3,38,254,64,25.2,117,46.06,35,13.78,38,14.96,03038
3,39,260,114,43.85,59,22.69,49,18.85,38,14.62,03039
3,40,253,86,33.99,76,30.04,51,20.16,40,15.81,03040
3,41,202,62,30.69,60,29.7,41,20.3,39,19.31,03041
4,1,329,145,44.07,104,31.61,22,6.69,58,17.63,04001
4,2,254,124,48.82,53,20.87,27,10.63,50,19.69,04002
4,3,207,47,22.71,79,38.16,38,18.36,43,20.77,04003
4,4,314,74,23.57,147,46.82,46,14.65,47,14.97,04004
4,5,268,65,24.25,116,43.28,30,11.19,57,21.27,04005
4,6,318,88,27.67,125,39.31,41,12.89,64,20.13,04006
4,7,359,73,20.33,156,43.45,58,16.16,72,20.06,04007
4,8,299,72,24.08,134,44.82,26,8.7,67,22.41,04008
4,9,349,86,24.64,173,49.57,23,6.59,67,19.2,04009
4,10,317,76,23.97,156,49.21,25,7.89,60,18.93,04010
4,11,226,51,22.57,98,43.36,32,14.16,45,19.91,04011
4,12,260,75,28.85,96,36.92,32,12.31,57,21.92,04012
4,13,156,98,62.82,20,12.82,17,10.9,21,13.46,04013
4,14,272,79,29.04,108,39.71,30,11.03,55,20.22,04014
4,15,309,75,24.27,113,36.57,45,14.56,76,24.6,04015
4,16,282,150,53.19,48,17.02,28,9.93,56,19.86,04016
4,17,258,136,52.71,49,18.99,20,7.75,53,20.54,04017
4,18,272,74,27.21,105,38.6,52,19.12,41,15.07,04018
4,19,171,54,31.58,62,36.26,33,19.3,22,12.87,04019
4,20,220,106,48.18,56,25.45,18,8.18,40,18.18,04020
4,21,214,101,47.2,47,21.96,22,10.28,44,20.56,04021
4,22,241,75,31.12,101,41.91,25,10.37,40,16.6,04022
4,23,351,149,42.45,117,33.33,20,5.7,65,18.52,04023
4,24,239,77,32.22,104,43.51,14,5.86,44,18.41,04024
4,25,226,124,54.87,49,21.68,24,10.62,29,12.83,04025
4,26,241,47,19.5,117,48.55,38,15.77,39,16.18,04026
4,27,295,116,39.32,88,29.83,26,8.81,65,22.03,04027
4,28,207,52,25.12,94,45.41,22,10.63,39,18.84,04028
4,29,225,64,28.44,94,41.78,22,9.78,45,20.0,04029
4,30,284,58,20.42,121,42.61,44,15.49,61,21.48,04030
4,31,328,73,22.26,141,42.99,27,8.23,87,26.52,04031
4,32,263,72,27.38,112,42.59,31,11.79,48,18.25,04032
4,33,248,66,26.61,101,40.73,28,11.29,53,21.37,04033
4,34,217,56,25.81,80,36.87,25,11.52,56,25.81,04034
4,35,316,69,21.84,151,47.78,38,12.03,58,18.35,04035
4,36,288,85,29.51,116,40.28,29,10.07,58,20.14,04036
4,37,305,162,53.11,59,19.34,25,8.2,59,19.34,04037
4,38,303,75,24.75,148,48.84,20,6.6,60,19.8,04038
5,1,181,39,21.55,81,44.75,29,16.02,32,17.68,05001
5,2,143,31,21.68,63,44.06,23,16.08,26,18.18,05002
5,3,214,98,45.79,49,22.9,21,9.81,46,21.5,05003
5,4,273,83,30.4,103,37.73,28,10.26,59,21.61,05004
5,5,209,57,27.27,64,30.62,42,20.1,46,22.01,05005
5,6,187,52,27.81,68,36.36,31,16.58,36,19.25,05006
5,7,239,67,28.03,82,34.31,29,12.13,61,25.52,05007
5,8,248,147,59.27,55,22.18,15,6.05,31,12.5,05008
5,9,289,106,36.68,93,32.18,21,7.27,69,23.88,05009
5,10,177,40,22.6,69,38.98,34,19.21,34,19.21,05010
5,11,281,106,37.72,92,32.74,17,6.05,66,23.49,05011
5,12,149,40,26.85,56,37.58,24,16.11,29,19.46,05012
5,13,186,56,30.11,63,33.87,20,10.75,47,25.27,05013
5,14,224,48,21.43,96,42.86,13,5.8,67,29.91,05014
5,15,210,76,36.19,71,33.81,27,12.86,36,17.14,05015
5,16,186,56,30.11,68,36.56,29,15.59,33,17.74,05016
5,17,178,50,28.09,66,37.08,35,19.66,27,15.17,05017
5,18,226,107,47.35,57,25.22,11,4.87,51,22.57,05018
5,19,243,128,52.67,54,22.22,12,4.94,49,20.16,05019
5,20,267,98,36.7,96,35.96,17,6.37,56,20.97,05020
5,21,212,101,47.64,64,30.19,16,7.55,31,14.62,05021
5,22,292,124,42.47,90,30.82,17,5.82,61,20.89,05022
5,23,386,182,47.15,92,23.83,20,5.18,92,23.83,05023
5,24,261,114,43.68,69,26.44,29,11.11,49,18.77,05024
5,25,243,60,24.69,101,41.56,23,9.47,59,24.28,05025
5,26,244,72,29.51,94,38.52,38,15.57,40,16.39,05026
5,27,192,111,57.81,42,21.88,7,3.65,32,16.67,05027
5,28,272,70,25.74,112,41.18,32,11.76,58,21.32,05028
5,29,245,49,20.0,111,45.31,30,12.24,55,22.45,05029
5,30,155,36,23.23,54,34.84,24,15.48,41,26.45,05030
5,31,169,39,23.08,79,46.75,24,14.2,27,15.98,05031
5,32,302,85,28.15,130,43.05,31,10.26,56,18.54,05032
5,33,268,70,26.12,89,33.21,54,20.15,55,20.52,05033
5,34,226,147,65.04,42,18.58,7,3.1,30,13.27,05034
5,35,266,126,47.37,68,25.56,16,6.02,56,21.05,05035
5,36,123,34,27.64,47,38.21,28,22.76,14,11.38,05036
5,37,267,128,47.94,60,22.47,28,10.49,51,19.1,05037
5,38,212,51,24.06,76,35.85,41,19.34,44,20.75,05038
5,39,214,104,48.6,50,23.36,15,7.01,45,21.03,05039
5,40,182,37,20.33,74,40.66,26,14.29,45,24.73,05040
5,41,151,51,33.77,52,34.44,8,5.3,40,26.49,05041
6,1,242,56,23.14,99,40.91,37,15.29,50,20.66,06001
6,2,214,47,21.96,104,48.6,31,14.49,32,14.95,06002
6,3,238,64,26.89,94,39.5,48,20.17,32,13.45,06003
6,4,128,33,25.78,46,35.94,21,16.41,28,21.88,06004
6,5,109,30,27.52,39,35.78,27,24.77,13,11.93,06005
6,6,224,57,25.45,97,43.3,25,11.16,45,20.09,06006
6,7,197,49,24.87,80,40.61,32,16.24,36,18.27,06007
6,8,206,44,21.36,89,43.2,31,15.05,42,20.39,06008
6,9,155,49,31.61,57,36.77,29,18.71,20,12.9,06009
6,10,107,27,25.23,41,38.32,21,19.63,18,16.82,06010
6,11,160,45,28.13,62,38.75,29,18.13,24,15.0,06011
6,12,120,36,30.0,43,35.83,23,19.17,18,15.0,06012
6,13,154,39,25.32,69,44.81,28,18.18,18,11.69,06013
6,14,192,48,25.0,79,41.15,29,15.1,36,18.75,06014
6,15,119,27,22.69,49,41.18,22,18.49,21,17.65,06015
6,16,231,56,24.24,100,43.29,36,15.58,39,16.88,06016
6,17,123,41,33.33,39,31.71,29,23.58,14,11.38,06017
6,18,102,25,24.51,41,40.2,18,17.65,18,17.65,06018
6,19,171,51,29.82,64,37.43,21,12.28,35,20.47,06019
6,20,98,25,25.51,32,32.65,24,24.49,17,17.35,06020
6,21,89,21,23.6,33,37.08,17,19.1,18,20.22,06021
6,22,110,36,32.73,39,35.45,19,17.27,16,14.55,06022
6,23,73,22,30.14,21,28.77,20,27.4,10,13.7,06023
6,24,105,37,35.24,27,25.71,23,21.9,18,17.14,06024
6,25,95,29,30.53,35,36.84,19,20.0,12,12.63,06025
6,26,121,37,30.58,33,27.27,25,20.66,26,21.49,06026
6,27,96,29,30.21,36,37.5,21,21.88,10,10.42,06027
6,28,90,24,26.67,34,37.78,21,23.33,11,12.22,06028
6,29,249,47,18.88,116,46.59,28,11.24,58,23.29,06029
6,30,147,41,27.89,54,36.73,21,14.29,31,21.09,06030
6,31,256,61,23.83,114,44.53,29,11.33,52,20.31,06031
6,32,197,40,20.3,96,48.73,35,17.77,26,13.2,06032
6,33,197,56,28.43,63,31.98,44,22.34,34,17.26,06033
6,34,219,58,26.48,95,43.38,30,13.7,36,16.44,06034
6,35,199,52,26.13,77,38.69,35,17.59,35,17.59,06035
6,36,261,57,21.84,117,44.83,33,12.64,54,20.69,06036
6,37,251,54,21.51,110,43.82,28,11.16,59,23.51,06037
6,38,232,72,31.03,90,38.79,24,10.34,46,19.83,06038
6,39,160,33,20.63,62,38.75,33,20.63,32,20.0,06039
6,40,173,40,23.12,64,36.99,33,19.08,36,20.81,06040
6,41,208,50,24.04,88,42.31,33,15.87,37,17.79,06041
6,42,166,42,25.3,58,34.94,29,17.47,37,22.29,06042
6,43,169,47,27.81,61,36.09,26,15.38,35,20.71,06043
6,44,168,46,27.38,56,33.33,25,14.88,41,24.4,06044
6,45,209,50,23.92,96,45.93,21,10.05,42,20.1,06045
6,46,126,35,27.78,55,43.65,14,11.11,22,17.46,06046
6,47,142,41,28.87,45,31.69,24,16.9,32,22.54,06047
6,48,197,51,25.89,80,40.61,37,18.78,29,14.72,06048
7,1,172,39,22.67,73,42.44,29,16.86,31,18.02,07001
7,2,153,41,26.8,61,39.87,24,15.69,27,17.65,07002
7,3,243,63,25.93,114,46.91,28,11.52,38,15.64,07003
7,4,197,53,26.9,78,39.59,30,15.23,36,18.27,07004
7,5,154,37,24.03,57,37.01,25,16.23,35,22.73,07005
7,6,237,64,27.0,102,43.04,35,14.77,36,15.19,07006
7,7,153,37,24.18,64,41.83,24,15.69,28,18.3,07007
7,8,150,37,24.67,51,34.0,27,18.0,35,23.33,07008
7,9,320,88,27.5,115,35.94,38,11.88,79,24.69,07009
7,10,214,53,24.77,90,42.06,34,15.89,37,17.29,07010
7,11,155,38,24.52,56,36.13,26,16.77,35,22.58,07011
7,12,161,53,32.92,59,36.65,29,18.01,20,12.42,07012
7,13,125,29,23.2,47,37.6,25,20.0,24,19.2,07013
7,14,192,43,22.4,80,41.67,38,19.79,31,16.15,07014
7,15,203,49,24.14,88,43.35,20,9.85,46,22.66,07015
7,16,145,43,29.66,54,37.24,18,12.41,30,20.69,07016
7,17,142,47,33.1,45,31.69,36,25.35,14,9.86,07017
7,18,138,29,21.01,55,39.86,28,20.29,26,18.84,07018
7,19,201,51,25.37,80,39.8,33,16.42,37,18.41,07019
7,20,132,34,25.76,48,36.36,31,23.48,19,14.39,07020
7,21,141,43,30.5,55,39.01,19,13.48,24,17.02,07021
7,22,170,39,22.94,56,32.94,31,18.24,44,25.88,07022
7,23,229,61,26.64,95,41.48,30,13.1,43,18.78,07023
7,24,154,44,28.57,51,33.12,35,22.73,24,15.58,07024
7,25,118,32,27.12,37,31.36,30,25.42,19,16.1,07025
7,26,162,31,19.14,67,41.36,21,12.96,43,26.54,07026
7,27,167,39,23.35,59,35.33,38,22.75,31,18.56,07027
7,28,116,21,18.1,42,36.21,23,19.83,30,25.86,07028
7,29,154,40,25.97,57,37.01,21,13.64,36,23.38,07029
7,30,122,35,28.69,37,30.33,26,21.31,24,19.67,07030
7,31,102,27,26.47,33,32.35,25,24.51,17,16.67,07031
7,32,325,60,18.46,149,45.85,44,13.54,72,22.15,07032
7,33,314,66,21.02,160,50.96,40,12.74,48,15.29,07033
7,34,242,48,19.83,109,45.04,27,11.16,58,23.97,07034
7,35,194,53,27.32,81,41.75,32,16.49,28,14.43,07035
7,36,260,56,21.54,109,41.92,36,13.85,59,22.69,07036
7,37,205,42,20.49,84,40.98,33,16.1,46,22.44,07037
7,38,166,38,22.89,62,37.35,31,18.67,35,21.08,07038
7,39,179,44,24.58,69,38.55,31,17.32,35,19.55,07039
7,40,171,42,24.56,77,45.03,24,14.04,28,16.37,07040
7,41,171,42,24.56,66,38.6,32,18.71,31,18.13,07041
7,42,185,32,17.3,84,45.41,41,22.16,28,15.14,07042
7,43,195,53,27.18,83,42.56,25,12.82,34,17.44,07043
7,44,141,25,17.73,59,41.84,28,19.86,29,20.57,07044
7,45,145,29,20.0,59,40.69,29,20.0,28,19.31,07045
7,46,99,24,24.24,27,27.27,33,33.33,15,15.15,07046
8,1,158,34,21.52,60,37.97,37,23.42,27,17.09,08001
8,2,176,38,21.59,75,42.61,23,13.07,40,22.73,08002
8,3,266,40,15.04,150,56.39,26,9.77,50,18.8,08003
8,4,242,50,20.66,117,48.35,33,13.64,42,17.36,08004
8,5,253,54,21.34,115,45.45,23,9.09,61,24.11,08005
8,6,230,60,26.09,106,46.09,37,16.09,27,11.74,08006
8,7,272,52,19.12,121,44.49,39,14.34,60,22.06,08007
8,8,246,52,21.14,126,51.22,29,11.79,39,15.85,08008
8,9,160,43,26.88,64,40.0,20,12.5,33,20.63,08009
8,10,320,63,19.69,157,49.06,26,8.13,74,23.13,08010
8,11,191,38,19.9,87,45.55,32,16.75,34,17.8,08011
8,12,178,40,22.47,93,52.25,19,10.67,26,14.61,08012
8,13,216,51,23.61,87,40.28,40,18.52,38,17.59,08013
8,14,114,35,30.7,31,27.19,22,19.3,26,22.81,08014
8,15,178,58,32.58,63,35.39,23,12.92,34,19.1,08015
8,16,60,18,30.0,24,40.0,6,10.0,12,20.0,08016
8,17,202,39,19.31,92,45.54,32,15.84,39,19.31,08017
8,18,144,36,25.0,55,38.19,27,18.75,26,18.06,08018
8,19,270,61,22.59,132,48.89,24,8.89,53,19.63,08019
8,20,246,45,18.29,121,49.19,33,13.41,47,19.11,08020
8,21,252,46,18.25,122,48.41,38,15.08,46,18.25,08021
8,22,200,42,21.0,98,49.0,21,10.5,39,19.5,08022
8,23,175,43,24.57,71,40.57,32,18.29,29,16.57,08023
8,24,152,37,24.34,67,44.08,20,13.16,28,18.42,08024
8,25,186,35,18.82,84,45.16,38,20.43,29,15.59,08025
8,26,198,41,20.71,82,41.41,36,18.18,39,19.7,08026
8,27,244,48,19.67,129,52.87,21,8.61,46,18.85,08027
8,28,217,49,22.58,95,43.78,21,9.68,52,23.96,08028
8,29,266,59,22.18,122,45.86,36,13.53,49,18.42,08029
8,30,204,45,22.06,93,45.59,30,14.71,36,17.65,08030
8,31,167,37,22.16,76,45.51,22,13.17,32,19.16,08031
8,32,159,33,20.75,71,44.65,25,15.72,30,18.87,08032
8,33,211,46,21.8,84,39.81,41,19.43,40,18.96,08033
8,34,215,51,23.72,123,57.21,22,10.23,19,8.84,08034
8,35,239,58,24.27,104,43.51,33,13.81,44,18.41,08035
8,36,225,50,22.22,95,42.22,34,15.11,46,20.44,08036
8,37,206,50,24.27,92,44.66,28,13.59,36,17.48,08037
8,38,129,32,24.81,52,40.31,22,17.05,23,17.83,08038
8,39,200,39,19.5,97,48.5,24,12.0,40,20.0,08039
8,40,169,39,23.08,76,44.97,25,14.79,29,17.16,08040
8,41,212,60,28.3,75,35.38,42,19.81,35,16.51,08041
8,42,252,64,25.4,98,38.89,33,13.1,57,22.62,08042
8,43,88,28,31.82,28,31.82,19,21.59,13,14.77,08043
8,44,128,37,28.91,53,41.41,21,16.41,17,13.28,08044
8,45,155,38,24.52,57,36.77,29,18.71,31,20.0,08045
8,46,153,41,26.8,61,39.87,20,13.07,31,20.26,08046
8,47,173,45,26.01,77,44.51,25,14.45,26,15.03,08047
8,48,180,42,23.33,77,42.78,27,15.0,34,18.89,08048
8,49,197,43,21.83,99,50.25,19,9.64,36,18.27,08049
8,50,235,49,20.85,120,51.06,23,9.79,43,18.3,08050
8,51,254,53,20.87,140,55.12,21,8.27,40,15.75,08051
8,52,301,81,26.91,135,44.85,35,11.63,50,16.61,08052
8,53,116,18,15.52,58,50.0,17,14.66,23,19.83,08053
8,54,133,27,20.3,51,38.35,22,16.54,33,24.81,08054
8,55,194,37,19.07,96,49.48,27,13.92,34,17.53,08055
8,56,229,47,20.52,114,49.78,26,11.35,42,18.34,08056
9,1,190,45,23.68,65,34.21,30,15.79,50,26.32,09001
9,2,178,55,30.9,59,33.15,28,15.73,36,20.22,09002
9,3,118,40,33.9,37,31.36,28,23.73,13,11.02,09003
9,4,137,26,18.98,45,32.85,25,18.25,41,29.93,09004
9,5,193,48,24.87,74,38.34,27,13.99,44,22.8,09005
9,6,182,41,22.53,73,40.11,30,16.48,38,20.88,09006
9,7,151,45,29.8,51,33.77,27,17.88,28,18.54,09007
9,8,162,40,24.69,58,35.8,20,12.35,44,27.16,09008
9,9,224,43,19.2,105,46.88,30,13.39,46,20.54,09009
9,10,144,28,19.44,65,45.14,28,19.44,23,15.97,09010
9,11,138,47,34.06,45,32.61,24,17.39,22,15.94,09011
9,12,251,57,22.71,101,40.24,37,14.74,56,22.31,09012
9,13,227,42,18.5,97,42.73,37,16.3,51,22.47,09013
9,14,254,49,19.29,129,50.79,39,15.35,37,14.57,09014
9,15,115,29,25.22,42,36.52,26,22.61,18,15.65,09015
9,16,171,41,23.98,65,38.01,29,16.96,36,21.05,09016
9,17,124,40,32.26,37,29.84,32,25.81,15,12.1,09017
9,18,133,36,27.07,50,37.59,24,18.05,23,17.29,09018
9,19,179,40,22.35,71,39.66,39,21.79,29,16.2,09019
9,20,217,53,24.42,80,36.87,40,18.43,44,20.28,09020
9,21,176,33,18.75,73,41.48,38,21.59,32,18.18,09021
9,22,208,41,19.71,86,41.35,27,12.98,54,25.96,09022
9,23,237,52,21.94,100,42.19,34,14.35,51,21.52,09023
9,24,197,43,21.83,80,40.61,33,16.75,41,20.81,09024
9,25,192,43,22.4,91,47.4,26,13.54,32,16.67,09025
9,26,135,29,21.48,55,40.74,29,21.48,22,16.3,09026
9,27,170,45,26.47,76,44.71,19,11.18,30,17.65,09027
9,28,106,28,26.42,27,25.47,27,25.47,24,22.64,09028
9,29,147,40,27.21,51,34.69,36,24.49,20,13.61,09029
9,30,141,33,23.4,54,38.3,24,17.02,30,21.28,09030
9,31,129,37,28.68,48,37.21,19,14.73,25,19.38,09031
9,32,198,34,17.17,86,43.43,28,14.14,50,25.25,09032
9,33,136,31,22.79,64,47.06,21,15.44,20,14.71,09033
9,34,144,37,25.69,55,38.19,34,23.61,18,12.5,09034
9,35,207,48,23.19,96,46.38,13,6.28,50,24.15,09035
9,36,165,51,30.91,66,40.0,26,15.76,22,13.33,09036
9,37,250,90,36.0,66,26.4,45,18.0,49,19.6,09037
9,38,166,42,25.3,64,38.55,35,21.08,25,15.06,09038
9,39,220,55,25.0,89,40.45,40,18.18,36,16.36,09039
9,40,232,47,20.26,95,40.95,31,13.36,59,25.43,09040
9,41,152,44,28.95,61,40.13,17,11.18,30,19.74,09041
9,42,220,32,14.55,126,57.27,16,7.27,46,20.91,09042
9,43,160,41,25.63,54,33.75,30,18.75,35,21.88,09043
9,44,180,35,19.44,83,46.11,25,13.89,37,20.56,09044
9,45,135,31,22.96,56,41.48,23,17.04,25,18.52,09045
9,46,188,50,26.6,60,31.91,38,20.21,40,21.28,09046
9,47,242,53,21.9,109,45.04,25,10.33,55,22.73,09047
9,48,208,46,22.12,99,47.6,26,12.5,37,17.79,09048
9,49,203,36,17.73,119,58.62,20,9.85,28,13.79,09049
9,50,302,63,20.86,146,48.34,34,11.26,59,19.54,09050
9,51,207,48,23.19,107,51.69,21,10.14,31,14.98,09051
10,1,140,24,17.14,52,37.14,32,22.86,32,22.86,10001
10,2,137,38,27.74,12,8.76,57,41.61,30,21.9,10002
10,3,116,34,29.31,26,22.41,37,31.9,19,16.38,10003
10,4,112,31,27.68,28,25.0,31,27.68,22,19.64,10004
10,5,95,33,34.74,11,11.58,34,35.79,17,17.89,10005
