ward,precinct,total,Iris Y. Martinez,Iris Y. Martinez Percent,Bart Goldberg,Bart Goldberg Percent,precinct_id
31,30,84,65,77.38,19,22.62,31030
31,32,66,49,74.24,17,25.76,31032
31,33,82,64,78.05,18,21.95,31033
31,34,108,79,73.15,29,26.85,31034
31,35,100,82,82.0,18,18.0,31035
31,36,134,110,82.09,24,17.91,31036
31,37,101,75,74.26,26,25.74,31037
31,38,83,68,81.93,15,18.07,31038
31,40,120,97,80.83,23,19.17,31040
31,41,105,95,90.48,10,9.52,31041
32,1,64,58,90.63,6,9.38,32001
32,3,290,219,75.52,71,24.48,32003
32,11,280,203,72.5,77,27.5,32011
32,12,203,157,77.34,46,22.66,32012
32,14,261,178,68.2,83,31.8,32014
32,17,272,177,65.07,95,34.93,32017
32,20,274,205,74.82,69,25.18,32020
32,22,350,270,77.14,80,22.86,32022
32,26,293,204,69.62,89,30.38,32026
32,28,263,201,76.43,62,23.57,32028
32,43,230,187,81.3,43,18.7,32043
33,1,259,203,78.38,56,21.62,33001
33,2,160,127,79.38,33,20.63,33002
33,3,271,210,77.49,61,22.51,33003
33,4,300,227,75.67,73,24.33,33004
33,5,138,113,81.88,25,18.12,33005
33,6,211,170,80.57,41,19.43,33006
33,7,195,154,78.97,41,21.03,33007
33,9,285,228,80.0,57,20.0,33009
33,11,235,178,75.74,57,24.26,33011
33,12,228,173,75.88,55,24.12,33012
33,13,230,184,80.0,46,20.0,33013
33,14,105,78,74.29,27,25.71,33014
33,15,281,222,79.0,59,21.0,33015
33,16,320,248,77.5,72,22.5,33016
33,17,268,218,81.34,50,18.66,33017
33,18,199,163,81.91,36,18.09,33018
33,19,230,186,80.87,44,19.13,33019
33,20,224,179,79.91,45,20.09,33020
33,21,277,218,78.7,59,21.3,33021
33,22,244,176,72.13,68,27.87,33022
33,25,291,219,75.26,72,24.74,33025
33,26,179,139,77.65,40,22.35,33026
33,27,244,193,79.1,51,20.9,33027
33,28,235,169,71.91,66,28.09,33028
35,1,213,169,79.34,44,20.66,35001
35,2,19,15,78.95,4,21.05,35002
35,4,194,137,70.62,57,29.38,35004
35,5,197,158,80.2,39,19.8,35005
35,6,200,152,76.0,48,24.0,35006
35,9,165,130,78.79,35,21.21,35009
35,10,314,249,79.3,65,20.7,35010
35,11,219,161,73.52,58,26.48,35011
35,15,247,189,76.52,58,23.48,35015
35,17,215,170,79.07,45,20.93,35017
35,20,165,139,84.24,26,15.76,35020
35,22,240,182,75.83,58,24.17,35022
35,23,222,164,73.87,58,26.13,35023
35,24,185,129,69.73,56,30.27,35024
35,25,229,174,75.98,55,24.02,35025
35,26,171,119,69.59,52,30.41,35026
35,27,178,137,76.97,41,23.03,35027
35,28,186,134,72.04,52,27.96,35028
35,29,140,107,76.43,33,23.57,35029
35,30,127,95,74.8,32,25.2,35030
35,31,229,177,77.29,52,22.71,35031
36,9,0,0,0.0,0,0.0,36009
36,14,169,93,55.03,76,44.97,36014
36,16,175,104,59.43,71,40.57,36016
36,17,193,124,64.25,69,35.75,36017
36,18,113,72,63.72,41,36.28,36018
36,20,152,98,64.47,54,35.53,36020
38,23,197,104,52.79,93,47.21,38023
38,34,169,110,65.09,59,34.91,38034
38,35,173,115,66.47,58,33.53,38035
38,39,69,47,68.12,22,31.88,38039
39,3,272,130,47.79,142,52.21,39003
39,6,1,1,100.0,0,0.0,39006
39,12,130,99,76.15,31,23.85,39012
39,25,134,102,76.12,32,23.88,39025
39,28,306,185,60.46,121,39.54,39028
39,31,153,112,73.2,41,26.8,39031
39,34,219,163,74.43,56,25.57,39034
45,1,175,108,61.71,67,38.29,45001
45,2,212,146,68.87,66,31.13,45002
45,3,221,120,54.3,101,45.7,45003
45,4,279,151,54.12,128,45.88,45004
45,5,261,98,37.55,163,62.45,45005
45,6,307,123,40.07,184,59.93,45006
45,7,349,172,49.28,177,50.72,45007
45,8,190,128,67.37,62,32.63,45008
45,9,193,131,67.88,62,32.12,45009
45,10,203,120,59.11,83,40.89,45010
45,11,143,101,70.63,42,29.37,45011
