ward,precinct,total,Travis Richardson,Travis Richardson Percent,Ieshia Gray,Ieshia Gray Percent,precinct_id
34,25,301,123,40.86,178,59.14,34025
34,26,214,82,38.32,132,61.68,34026
34,27,168,73,43.45,95,56.55,34027
34,28,108,68,62.96,40,37.04,34028
34,29,156,62,39.74,94,60.26,34029
34,30,222,78,35.14,144,64.86,34030
34,31,155,86,55.48,69,44.52,34031
34,32,171,76,44.44,95,55.56,34032
34,33,161,80,49.69,81,50.31,34033
34,34,222,105,47.3,117,52.7,34034
34,35,198,81,40.91,117,59.09,34035
34,36,202,99,49.01,103,50.99,34036
34,37,109,53,48.62,56,51.38,34037
34,38,74,35,47.3,39,52.7,34038
34,39,129,73,56.59,56,43.41,34039
34,40,214,86,40.19,128,59.81,34040
34,41,132,57,43.18,75,56.82,34041
34,42,235,89,37.87,146,62.13,34042
34,43,214,107,50.0,107,50.0,34043
34,44,222,100,45.05,122,54.95,34044
34,45,205,96,46.83,109,53.17,34045
34,46,142,70,49.3,72,50.7,34046
34,47,166,73,43.98,93,56.02,34047
34,48,248,84,33.87,164,66.13,34048
34,49,126,58,46.03,68,53.97,34049
34,50,140,70,50.0,70,50.0,34050
34,51,234,95,40.6,139,59.4,34051
34,52,159,69,43.4,90,56.6,34052
34,53,105,40,38.1,65,61.9,34053
