ward,precinct,total,Silvana Tabares,Silvana Tabares Percent,Rebecca Davies,Rebecca Davies Percent,precinct_id
19,46,213,107,50.23,106,49.77,19046
19,50,161,73,45.34,88,54.66,19050
19,51,238,107,44.96,131,55.04,19051
19,52,185,100,54.05,85,45.95,19052
19,53,204,100,49.02,104,50.98,19053
19,54,122,61,50.0,61,50.0,19054
19,55,149,78,52.35,71,47.65,19055
19,56,247,120,48.58,127,51.42,19056
19,57,169,60,35.5,109,64.5,19057
20,4,16,9,56.25,7,43.75,20004
20,15,66,48,72.73,18,27.27,20015
20,20,1,1,100.0,0,0.0,20020
22,1,117,31,26.5,86,73.5,22001
22,2,223,155,69.51,68,30.49,22002
22,8,250,138,55.2,112,44.8,22008
22,12,169,97,57.4,72,42.6,22012
22,23,238,69,28.99,169,71.01,22023
23,1,191,136,71.2,55,28.8,23001
23,2,167,117,70.06,50,29.94,23002
23,3,181,119,65.75,62,34.25,23003
23,4,206,130,63.11,76,36.89,23004
23,5,170,132,77.65,38,22.35,23005
23,6,171,119,69.59,52,30.41,23006
23,7,144,105,72.92,39,27.08,23007
23,8,215,145,67.44,70,32.56,23008
23,9,69,54,78.26,15,21.74,23009
23,10,207,144,69.57,63,30.43,23010
23,11,176,125,71.02,51,28.98,23011
23,12,197,149,75.63,48,24.37,23012
23,14,163,111,68.1,52,31.9,23014
23,15,109,83,76.15,26,23.85,23015
23,16,219,172,78.54,47,21.46,23016
23,17,54,45,83.33,9,16.67,23017
23,18,152,103,67.76,49,32.24,23018
23,19,93,64,68.82,29,31.18,23019
23,20,96,74,77.08,22,22.92,23020
23,21,214,160,74.77,54,25.23,23021
23,22,166,108,65.06,58,34.94,23022
23,23,181,108,59.67,73,40.33,23023
23,25,160,118,73.75,42,26.25,23025
23,26,158,111,70.25,47,29.75,23026
23,27,185,144,77.84,41,22.16,23027
23,28,169,107,63.31,62,36.69,23028
23,29,171,118,69.01,53,30.99,23029
23,30,190,143,75.26,47,24.74,23030
23,31,67,50,74.63,17,25.37,23031
23,32,154,110,71.43,44,28.57,23032
23,33,166,129,77.71,37,22.29,23033
23,34,82,59,71.95,23,28.05,23034
23,35,117,70,59.83,47,40.17,23035
23,36,180,134,74.44,46,25.56,23036
23,37,201,148,73.63,53,26.37,23037
23,38,153,105,68.63,48,31.37,23038
23,39,10,8,80.0,2,20.0,23039
