ward,precinct,total,Patricia Van Pelt,Patricia Van Pelt Percent,precinct_id
26,19,40,40,100.0,26019
26,28,156,156,100.0,26028
26,46,80,80,100.0,26046
27,1,157,157,100.0,27001
27,2,151,151,100.0,27002
27,3,94,94,100.0,27003
27,4,86,86,100.0,27004
27,5,113,113,100.0,27005
27,6,137,137,100.0,27006
27,8,103,103,100.0,27008
27,9,66,66,100.0,27009
27,10,204,204,100.0,27010
27,11,127,127,100.0,27011
27,13,185,185,100.0,27013
27,14,74,74,100.0,27014
27,15,70,70,100.0,27015
27,16,98,98,100.0,27016
27,17,141,141,100.0,27017
27,18,114,114,100.0,27018
27,19,61,61,100.0,27019
27,20,81,81,100.0,27020
27,21,117,117,100.0,27021
27,22,85,85,100.0,27022
27,23,119,119,100.0,27023
27,24,74,74,100.0,27024
27,25,142,142,100.0,27025
27,26,130,130,100.0,27026
27,27,150,150,100.0,27027
27,28,91,91,100.0,27028
27,29,85,85,100.0,27029
27,30,90,90,100.0,27030
27,31,125,125,100.0,27031
27,32,131,131,100.0,27032
27,33,127,127,100.0,27033
27,34,110,110,100.0,27034
27,35,145,145,100.0,27035
27,36,131,131,100.0,27036
27,37,168,168,100.0,27037
27,38,160,160,100.0,27038
27,39,126,126,100.0,27039
27,40,139,139,100.0,27040
27,41,154,154,100.0,27041
27,42,103,103,100.0,27042
27,43,97,97,100.0,27043
27,44,92,92,100.0,27044
27,45,212,212,100.0,27045
27,47,124,124,100.0,27047
27,48,217,217,100.0,27048
27,49,119,119,100.0,27049
27,50,138,138,100.0,27050
28,1,0,0,0.0,28001
28,2,108,108,100.0,28002
28,3,110,110,100.0,28003
28,4,86,86,100.0,28004
28,5,100,100,100.0,28005
28,6,91,91,100.0,28006
28,7,118,118,100.0,28007
28,8,97,97,100.0,28008
28,9,120,120,100.0,28009
28,10,176,176,100.0,28010
28,11,207,207,100.0,28011
28,13,121,121,100.0,28013
28,15,40,40,100.0,28015
28,16,88,88,100.0,28016
28,17,96,96,100.0,28017
28,18,110,110,100.0,28018
28,19,118,118,100.0,28019
28,20,123,123,100.0,28020
28,21,112,112,100.0,28021
28,22,119,119,100.0,28022
28,23,149,149,100.0,28023
28,24,116,116,100.0,28024
28,25,199,199,100.0,28025
28,26,139,139,100.0,28026
28,27,131,131,100.0,28027
28,28,168,168,100.0,28028
28,29,51,51,100.0,28029
28,30,31,31,100.0,28030
28,32,114,114,100.0,28032
28,33,144,144,100.0,28033
28,34,190,190,100.0,28034
28,35,140,140,100.0,28035
28,36,55,55,100.0,28036
28,37,171,171,100.0,28037
28,38,53,53,100.0,28038
28,40,172,172,100.0,28040
28,42,41,41,100.0,28042
28,44,89,89,100.0,28044
28,45,112,112,100.0,28045
28,46,203,203,100.0,28046
29,6,3,3,100.0,29006
32,2,167,167,100.0,32002
32,4,170,170,100.0,32004
32,5,183,183,100.0,32005
32,6,202,202,100.0,32006
32,29,158,158,100.0,32029
32,31,193,193,100.0,32031
32,32,194,194,100.0,32032
32,33,96,96,100.0,32033
32,34,168,168,100.0,32034
32,35,157,157,100.0,32035
32,36,179,179,100.0,32036
32,37,71,71,100.0,32037
37,2,89,89,100.0,37002
37,3,97,97,100.0,37003
37,4,96,96,100.0,37004
37,7,91,91,100.0,37007
37,8,82,82,100.0,37008
37,12,78,78,100.0,37012
37,13,112,112,100.0,37013
37,14,2,2,100.0,37014
37,19,113,113,100.0,37019
37,20,27,27,100.0,37020
37,21,121,121,100.0,37021
37,22,12,12,100.0,37022
37,27,2,2,100.0,37027
37,28,111,111,100.0,37028
37,30,4,4,100.0,37030
42,3,170,170,100.0,42003
42,9,0,0,0.0,42009
42,12,110,110,100.0,42012
42,16,177,177,100.0,42016
42,18,0,0,0.0,42018
42,21,46,46,100.0,42021
42,36,70,70,100.0,42036
42,41,40,40,100.0,42041
43,1,106,106,100.0,43001
43,3,172,172,100.0,43003
43,5,153,153,100.0,43005
43,7,128,128,100.0,43007
43,10,213,213,100.0,43010
43,11,101,101,100.0,43011
43,23,129,129,100.0,43023
43,45,118,118,100.0,43045
