ward,precinct,total,Robert Harris,Robert Harris Percent,Shay Tyrone Allen,Shay Tyrone Allen Percent,Mary Alice Melchor,Mary Alice Melchor Percent,precinct_id
4,18,274,152,55.47,80,29.2,42,15.33,04018
4,19,165,91,55.15,45,27.27,29,17.58,04019
4,22,245,161,65.71,48,19.59,36,14.69,04022
4,23,363,243,66.94,66,18.18,54,14.88,04023
4,24,238,152,63.87,51,21.43,35,14.71,04024
4,26,242,147,60.74,70,28.93,25,10.33,04026
4,27,301,177,58.8,87,28.9,37,12.29,04027
4,28,210,105,50.0,64,30.48,41,19.52,04028
4,29,223,120,53.81,72,32.29,31,13.9,04029
4,30,297,133,44.78,115,38.72,49,16.5,04030
4,31,328,193,58.84,67,20.43,68,20.73,04031
4,32,272,142,52.21,90,33.09,40,14.71,04032
4,33,251,150,59.76,59,23.51,42,16.73,04033
4,34,227,92,40.53,71,31.28,64,28.19,04034
4,35,306,189,61.76,74,24.18,43,14.05,04035
4,36,295,161,54.58,82,27.8,52,17.63,04036
4,38,298,187,62.75,69,23.15,42,14.09,04038
5,1,190,91,47.89,67,35.26,32,16.84,05001
5,2,143,77,53.85,50,34.97,16,11.19,05002
5,3,214,140,65.42,31,14.49,43,20.09,05003
5,4,279,159,56.99,70,25.09,50,17.92,05004
5,5,200,119,59.5,45,22.5,36,18.0,05005
5,6,194,110,56.7,40,20.62,44,22.68,05006
5,7,233,131,56.22,50,21.46,52,22.32,05007
5,8,267,197,73.78,25,9.36,45,16.85,05008
5,9,305,182,59.67,75,24.59,48,15.74,05009
5,10,172,89,51.74,57,33.14,26,15.12,05010
5,11,293,188,64.16,51,17.41,54,18.43,05011
5,12,68,30,44.12,25,36.76,13,19.12,05012
5,13,184,94,51.09,65,35.33,25,13.59,05013
5,14,238,129,54.2,61,25.63,48,20.17,05014
5,15,199,119,59.8,48,24.12,32,16.08,05015
5,16,184,94,51.09,69,37.5,21,11.41,05016
5,17,174,96,55.17,40,22.99,38,21.84,05017
5,18,230,151,65.65,47,20.43,32,13.91,05018
5,19,260,188,72.31,31,11.92,41,15.77,05019
5,20,262,151,57.63,51,19.47,60,22.9,05020
5,21,229,140,61.14,46,20.09,43,18.78,05021
5,22,293,173,59.04,39,13.31,81,27.65,05022
5,23,405,264,65.19,76,18.77,65,16.05,05023
5,24,255,163,63.92,43,16.86,49,19.22,05024
5,25,249,138,55.42,66,26.51,45,18.07,05025
5,26,245,142,57.96,68,27.76,35,14.29,05026
5,27,203,148,72.91,20,9.85,35,17.24,05027
5,28,276,168,60.87,68,24.64,40,14.49,05028
5,29,244,132,54.1,71,29.1,41,16.8,05029
5,30,153,80,52.29,49,32.03,24,15.69,05030
5,31,178,90,50.56,67,37.64,21,11.8,05031
5,32,300,186,62.0,78,26.0,36,12.0,05032
5,33,261,151,57.85,64,24.52,46,17.62,05033
5,34,241,180,74.69,19,7.88,42,17.43,05034
5,35,275,179,65.09,37,13.45,59,21.45,05035
5,36,123,80,65.04,26,21.14,17,13.82,05036
5,37,270,164,60.74,41,15.19,65,24.07,05037
5,38,225,110,48.89,91,40.44,24,10.67,05038
5,39,214,165,77.1,24,11.21,25,11.68,05039
5,40,183,99,54.1,62,33.88,22,12.02,05040
5,41,154,99,64.29,27,17.53,28,18.18,05041
6,7,193,97,50.26,59,30.57,37,19.17,06007
6,9,152,80,52.63,45,29.61,27,17.76,06009
6,11,156,73,46.79,49,31.41,34,21.79,06011
6,15,92,52,56.52,27,29.35,13,14.13,06015
6,18,17,8,47.06,9,52.94,0,0.0,06018
6,21,87,44,50.57,29,33.33,14,16.09,06021
6,23,69,42,60.87,11,15.94,16,23.19,06023
6,24,103,56,54.37,20,19.42,27,26.21,06024
6,26,104,49,47.12,35,33.65,20,19.23,06026
6,28,87,53,60.92,17,19.54,17,19.54,06028
6,30,123,73,59.35,29,23.58,21,17.07,06030
6,32,195,117,60.0,48,24.62,30,15.38,06032
6,40,68,40,58.82,16,23.53,12,17.65,06040
6,48,191,96,50.26,53,27.75,42,21.99,06048
7,1,170,100,58.82,51,30.0,19,11.18,07001
7,2,156,86,55.13,48,30.77,22,14.1,07002
7,3,237,143,60.34,57,24.05,37,15.61,07003
7,4,199,112,56.28,64,32.16,23,11.56,07004
7,5,150,79,52.67,40,26.67,31,20.67,07005
7,6,238,134,56.3,60,25.21,44,18.49,07006
7,8,149,75,50.34,43,28.86,31,20.81,07008
7,9,328,160,48.78,79,24.09,89,27.13,07009
7,13,53,27,50.94,14,26.42,12,22.64,07013
8,1,167,98,58.68,45,26.95,24,14.37,08001
8,2,155,81,52.26,54,34.84,20,12.9,08002
8,26,92,46,50.0,33,35.87,13,14.13,08026
8,42,253,145,57.31,67,26.48,41,16.21,08042
11,12,273,179,65.57,22,8.06,72,26.37,11012
11,13,245,166,67.76,17,6.94,62,25.31,11013
11,14,78,50,64.1,6,7.69,22,28.21,11014
11,15,76,40,52.63,7,9.21,29,38.16,11015
11,16,120,64,53.33,18,15.0,38,31.67,11016
11,18,148,90,60.81,12,8.11,46,31.08,11018
11,20,128,82,64.06,9,7.03,37,28.91,11020
11,23,139,78,56.12,14,10.07,47,33.81,11023
11,27,66,27,40.91,14,21.21,25,37.88,11027
11,28,82,53,64.63,8,9.76,21,25.61,11028
11,32,106,69,65.09,5,4.72,32,30.19,11032
11,34,55,34,61.82,7,12.73,14,25.45,11034
11,35,41,26,63.41,3,7.32,12,29.27,11035
15,2,101,57,56.44,25,24.75,19,18.81,15002
15,3,108,50,46.3,32,29.63,26,24.07,15003
15,7,98,51,52.04,27,27.55,20,20.41,15007
15,17,122,71,58.2,34,27.87,17,13.93,15017
15,18,81,44,54.32,23,28.4,14,17.28,15018
15,20,108,60,55.56,34,31.48,14,12.96,15020
15,21,109,53,48.62,40,36.7,16,14.68,15021
15,22,51,30,58.82,14,27.45,7,13.73,15022
15,23,130,69,53.08,32,24.62,29,22.31,15023
15,24,92,63,68.48,16,17.39,13,14.13,15024
16,2,88,45,51.14,23,26.14,20,22.73,16002
16,3,101,57,56.44,27,26.73,17,16.83,16003
16,5,99,50,50.51,30,30.3,19,19.19,16005
16,6,112,68,60.71,24,21.43,20,17.86,16006
16,8,76,43,56.58,17,22.37,16,21.05,16008
16,9,146,90,61.64,37,25.34,19,13.01,16009
16,10,101,55,54.46,31,30.69,15,14.85,16010
16,11,11,4,36.36,3,27.27,4,36.36,16011
16,12,88,49,55.68,19,21.59,20,22.73,16012
16,14,102,57,55.88,29,28.43,16,15.69,16014
16,15,146,71,48.63,46,31.51,29,19.86,16015
16,16,122,63,51.64,39,31.97,20,16.39,16016
16,20,103,58,56.31,31,30.1,14,13.59,16020
16,21,104,64,61.54,21,20.19,19,18.27,16021
16,24,67,43,64.18,14,20.9,10,14.93,16024
16,25,154,78,50.65,47,30.52,29,18.83,16025
16,26,119,61,51.26,38,31.93,20,16.81,16026
16,27,100,58,58.0,31,31.0,11,11.0,16027
16,28,121,75,61.98,26,21.49,20,16.53,16028
16,29,100,48,48.0,34,34.0,18,18.0,16029
16,30,94,62,65.96,20,21.28,12,12.77,16030
16,31,143,67,46.85,50,34.97,26,18.18,16031
16,33,113,67,59.29,29,25.66,17,15.04,16033
16,34,104,60,57.69,26,25.0,18,17.31,16034
16,36,91,47,51.65,25,27.47,19,20.88,16036
17,8,5,3,60.0,1,20.0,1,20.0,17008
17,13,129,66,51.16,41,31.78,22,17.05,17013
17,19,39,20,51.28,12,30.77,7,17.95,17019
17,35,18,10,55.56,6,33.33,2,11.11,17035
17,36,68,41,60.29,16,23.53,11,16.18,17036
20,1,195,94,48.21,77,39.49,24,12.31,20001
20,2,62,37,59.68,12,19.35,13,20.97,20002
20,3,152,92,60.53,40,26.32,20,13.16,20003
20,4,56,36,64.29,10,17.86,10,17.86,20004
20,5,198,97,48.99,66,33.33,35,17.68,20005
20,6,66,40,60.61,16,24.24,10,15.15,20006
20,7,154,66,42.86,66,42.86,22,14.29,20007
20,8,190,100,52.63,53,27.89,37,19.47,20008
20,9,240,126,52.5,78,32.5,36,15.0,20009
20,10,132,82,62.12,30,22.73,20,15.15,20010
20,11,197,91,46.19,79,40.1,27,13.71,20011
20,12,103,49,47.57,42,40.78,12,11.65,20012
20,13,182,108,59.34,48,26.37,26,14.29,20013
20,14,82,48,58.54,21,25.61,13,15.85,20014
20,16,190,107,56.32,57,30.0,26,13.68,20016
20,17,3,2,66.67,1,33.33,0,0.0,20017
20,18,129,70,54.26,36,27.91,23,17.83,20018
20,19,130,63,48.46,42,32.31,25,19.23,20019
20,21,92,51,55.43,25,27.17,16,17.39,20021
20,22,222,107,48.2,82,36.94,33,14.86,20022
20,23,163,91,55.83,37,22.7,35,21.47,20023
20,24,168,106,63.1,41,24.4,21,12.5,20024
20,25,106,53,50.0,27,25.47,26,24.53,20025
20,26,213,128,60.09,52,24.41,33,15.49,20026
20,27,84,51,60.71,21,25.0,12,14.29,20027
20,28,117,64,54.7,28,23.93,25,21.37,20028
20,29,224,141,62.95,48,21.43,35,15.63,20029
20,30,83,43,51.81,18,21.69,22,26.51,20030
20,31,179,87,48.6,62,34.64,30,16.76,20031
20,32,121,72,59.5,35,28.93,14,11.57,20032
20,33,136,56,41.18,48,35.29,32,23.53,20033
20,34,208,124,59.62,49,23.56,35,16.83,20034
20,35,65,37,56.92,21,32.31,7,10.77,20035
20,36,51,28,54.9,14,27.45,9,17.65,20036
20,37,52,26,50.0,12,23.08,14,26.92,20037
20,38,56,37,66.07,11,19.64,8,14.29,20038
20,39,19,10,52.63,7,36.84,2,10.53,20039
