ward,precinct,total,Paul J. Montes II,Paul J. Montes II Percent,Dennis Deer,Dennis Deer Percent,Lupe Aguirre,Lupe Aguirre Percent,Darryl D. Smith,Darryl D. Smith Percent,Eddie Johnson III,Eddie Johnson III Percent,precinct_id
28,4,87,19,21.84,25,28.74,22,25.29,8,9.2,13,14.94,28004
28,5,113,11,9.73,49,43.36,8,7.08,20,17.7,25,22.12,28005
28,6,101,13,12.87,40,39.6,21,20.79,10,9.9,17,16.83,28006
28,8,109,16,14.68,40,36.7,33,30.28,14,12.84,6,5.5,28008
28,9,60,5,8.33,14,23.33,1,1.67,22,36.67,18,30.0,28009
28,10,182,15,8.24,61,33.52,46,25.27,25,13.74,35,19.23,28010
28,11,228,28,12.28,65,28.51,69,30.26,29,12.72,37,16.23,28011
28,16,96,7,7.29,43,44.79,4,4.17,25,26.04,17,17.71,28016
28,17,50,1,2.0,22,44.0,0,0.0,10,20.0,17,34.0,28017
28,18,130,16,12.31,41,31.54,11,8.46,35,26.92,27,20.77,28018
28,19,133,15,11.28,41,30.83,55,41.35,11,8.27,11,8.27,28019
28,27,133,21,15.79,53,39.85,34,25.56,8,6.02,17,12.78,28027
28,28,184,45,24.46,69,37.5,49,26.63,8,4.35,13,7.07,28028
28,29,61,6,9.84,20,32.79,1,1.64,19,31.15,15,24.59,28029
28,30,35,1,2.86,16,45.71,2,5.71,5,14.29,11,31.43,28030
28,32,132,10,7.58,39,29.55,12,9.09,36,27.27,35,26.52,28032
28,34,201,13,6.47,88,43.78,16,7.96,46,22.89,38,18.91,28034
28,35,145,8,5.52,60,41.38,8,5.52,27,18.62,42,28.97,28035
28,36,36,2,5.56,15,41.67,1,2.78,7,19.44,11,30.56,28036
28,40,61,3,4.92,30,49.18,1,1.64,13,21.31,14,22.95,28040
28,45,108,16,14.81,42,38.89,33,30.56,10,9.26,7,6.48,28045
28,46,230,22,9.57,80,34.78,79,34.35,16,6.96,33,14.35,28046
29,2,93,8,8.6,26,27.96,5,5.38,26,27.96,28,30.11,29002
29,6,133,13,9.77,50,37.59,8,6.02,30,22.56,32,24.06,29006
42,3,177,36,20.34,66,37.29,50,28.25,11,6.21,14,7.91,42003
42,9,167,28,16.77,52,31.14,57,34.13,13,7.78,17,10.18,42009
42,10,193,29,15.03,77,39.9,49,25.39,20,10.36,18,9.33,42010
42,12,167,39,23.35,56,33.53,51,30.54,9,5.39,12,7.19,42012
42,14,72,7,9.72,32,44.44,15,20.83,7,9.72,11,15.28,42014
42,16,165,31,18.79,63,38.18,48,29.09,10,6.06,13,7.88,42016
42,17,186,22,11.83,73,39.25,60,32.26,12,6.45,19,10.22,42017
42,18,106,13,12.26,49,46.23,30,28.3,6,5.66,8,7.55,42018
42,21,134,24,17.91,42,31.34,41,30.6,11,8.21,16,11.94,42021
42,25,131,18,13.74,40,30.53,48,36.64,11,8.4,14,10.69,42025
42,33,90,13,14.44,38,42.22,30,33.33,3,3.33,6,6.67,42033
42,36,230,39,16.96,69,30.0,101,43.91,11,4.78,10,4.35,42036
42,40,52,5,9.62,14,26.92,14,26.92,7,13.46,12,23.08,42040
42,41,155,30,19.35,49,31.61,49,31.61,13,8.39,14,9.03,42041
42,42,221,35,15.84,74,33.48,69,31.22,18,8.14,25,11.31,42042
