ward,precinct,total,Robin Kelly,Robin Kelly Percent,Carrie M. Austin,Carrie M. Austin Percent,precinct_id
9,7,156,82,52.56,74,47.44,09007
9,8,189,133,70.37,56,29.63,09008
9,9,248,163,65.73,85,34.27,09009
9,10,158,90,56.96,68,43.04,09010
9,11,150,82,54.67,68,45.33,09011
9,13,258,169,65.5,89,34.5,09013
9,14,280,197,70.36,83,29.64,09014
9,15,120,86,71.67,34,28.33,09015
9,16,188,115,61.17,73,38.83,09016
9,17,138,87,63.04,51,36.96,09017
9,18,140,78,55.71,62,44.29,09018
9,19,193,112,58.03,81,41.97,09019
9,20,234,156,66.67,78,33.33,09020
9,21,169,106,62.72,63,37.28,09021
9,22,239,151,63.18,88,36.82,09022
9,26,148,83,56.08,65,43.92,09026
9,27,188,101,53.72,87,46.28,09027
9,28,118,68,57.63,50,42.37,09028
9,29,167,104,62.28,63,37.72,09029
9,30,155,93,60.0,62,40.0,09030
9,31,144,74,51.39,70,48.61,09031
9,32,212,127,59.91,85,40.09,09032
9,33,139,96,69.06,43,30.94,09033
9,34,149,83,55.7,66,44.3,09034
9,35,230,144,62.61,86,37.39,09035
9,37,294,204,69.39,90,30.61,09037
9,38,182,134,73.63,48,26.37,09038
9,39,237,139,58.65,98,41.35,09039
9,40,264,168,63.64,96,36.36,09040
9,41,165,104,63.03,61,36.97,09041
9,43,166,97,58.43,69,41.57,09043
9,44,201,109,54.23,92,45.77,09044
9,45,152,91,59.87,61,40.13,09045
9,46,215,137,63.72,78,36.28,09046
10,1,162,119,73.46,43,26.54,10001
10,2,159,104,65.41,55,34.59,10002
10,3,138,95,68.84,43,31.16,10003
10,4,122,75,61.48,47,38.52,10004
10,5,107,72,67.29,35,32.71,10005
10,6,118,68,57.63,50,42.37,10006
10,7,93,62,66.67,31,33.33,10007
10,8,80,55,68.75,25,31.25,10008
10,9,126,94,74.6,32,25.4,10009
10,10,150,95,63.33,55,36.67,10010
10,11,153,108,70.59,45,29.41,10011
10,12,84,53,63.1,31,36.9,10012
10,13,143,100,69.93,43,30.07,10013
10,14,164,109,66.46,55,33.54,10014
10,15,403,298,73.95,105,26.05,10015
10,16,102,73,71.57,29,28.43,10016
10,17,195,126,64.62,69,35.38,10017
10,18,86,67,77.91,19,22.09,10018
10,19,127,77,60.63,50,39.37,10019
10,20,153,106,69.28,47,30.72,10020
10,21,111,75,67.57,36,32.43,10021
10,22,85,63,74.12,22,25.88,10022
10,23,118,80,67.8,38,32.2,10023
10,24,130,68,52.31,62,47.69,10024
10,25,49,38,77.55,11,22.45,10025
10,26,94,57,60.64,37,39.36,10026
10,27,141,102,72.34,39,27.66,10027
10,28,150,100,66.67,50,33.33,10028
10,29,113,68,60.18,45,39.82,10029
10,30,128,89,69.53,39,30.47,10030
10,31,97,68,70.1,29,29.9,10031
10,32,122,81,66.39,41,33.61,10032
10,33,103,61,59.22,42,40.78,10033
10,34,87,62,71.26,25,28.74,10034
10,35,160,104,65.0,56,35.0,10035
10,36,44,30,68.18,14,31.82,10036
34,2,36,17,47.22,19,52.78,34002
34,4,150,65,43.33,85,56.67,34004
34,18,167,84,50.3,83,49.7,34018
34,22,178,76,42.7,102,57.3,34022
34,23,181,75,41.44,106,58.56,34023
34,24,191,85,44.5,106,55.5,34024
34,27,180,91,50.56,89,49.44,34027
34,28,126,54,42.86,72,57.14,34028
34,30,165,87,52.73,78,47.27,34030
34,36,225,110,48.89,115,51.11,34036
34,37,117,60,51.28,57,48.72,34037
34,38,92,45,48.91,47,51.09,34038
34,39,146,65,44.52,81,55.48,34039
34,41,135,81,60.0,54,40.0,34041
34,53,116,62,53.45,54,46.55,34053
