ward,precinct,total,Brian Terrence Sexton,Brian Terrence Sexton Percent,Peter Michael Gonzalez,Peter Michael Gonzalez Percent,precinct_id
3,19,206,59,28.64,110,53.4,03019
3,20,220,81,36.82,93,42.27,03020
3,21,243,83,34.16,125,51.44,03021
3,22,207,59,28.5,105,50.72,03022
3,23,162,64,39.51,71,43.83,03023
3,24,192,72,37.5,90,46.88,03024
3,25,291,89,30.58,150,51.55,03025
3,26,269,78,29.0,132,49.07,03026
3,27,221,54,24.43,117,52.94,03027
3,28,152,67,44.08,74,48.68,03028
3,29,211,87,41.23,104,49.29,03029
3,30,216,66,30.56,122,56.48,03030
3,31,243,84,34.57,121,49.79,03031
3,32,208,60,28.85,104,50.0,03032
3,33,195,53,27.18,96,49.23,03033
3,34,233,72,30.9,109,46.78,03034
3,35,83,25,30.12,47,56.63,03035
3,36,122,47,38.52,59,48.36,03036
3,37,171,72,42.11,78,45.61,03037
3,38,237,74,31.22,123,51.9,03038
3,39,246,65,26.42,111,45.12,03039
3,40,239,81,33.89,120,50.21,03040
3,41,186,66,35.48,93,50.0,03041
4,1,317,87,27.44,128,40.38,04001
4,2,240,47,19.58,119,49.58,04002
4,3,191,75,39.27,92,48.17,04003
4,4,300,123,41.0,136,45.33,04004
4,5,249,96,38.55,114,45.78,04005
4,6,314,116,36.94,161,51.27,04006
4,7,330,115,34.85,168,50.91,04007
4,8,281,92,32.74,139,49.47,04008
4,9,321,121,37.69,160,49.84,04009
4,10,305,117,38.36,150,49.18,04010
4,11,208,89,42.79,92,44.23,04011
4,12,255,99,38.82,113,44.31,04012
4,13,149,31,20.81,61,40.94,04013
4,14,252,82,32.54,123,48.81,04014
4,15,289,102,35.29,144,49.83,04015
4,16,275,67,24.36,146,53.09,04016
4,17,251,51,20.32,122,48.61,04017
4,18,257,110,42.8,105,40.86,04018
4,19,156,58,37.18,71,45.51,04019
4,20,207,44,21.26,107,51.69,04020
4,21,214,41,19.16,94,43.93,04021
4,22,234,62,26.5,126,53.85,04022
4,23,340,71,20.88,173,50.88,04023
4,24,227,73,32.16,118,51.98,04024
4,25,220,46,20.91,111,50.45,04025
4,26,220,74,33.64,113,51.36,04026
4,27,286,68,23.78,127,44.41,04027
4,28,199,74,37.19,108,54.27,04028
4,29,213,92,43.19,92,43.19,04029
4,30,261,112,42.91,122,46.74,04030
4,31,303,85,28.05,169,55.78,04031
4,32,251,65,25.9,134,53.39,04032
4,33,229,78,34.06,113,49.34,04033
4,34,203,69,33.99,108,53.2,04034
4,35,298,90,30.2,161,54.03,04035
4,36,281,94,33.45,145,51.6,04036
4,37,300,72,24.0,140,46.67,04037
4,38,291,90,30.93,152,52.23,04038
5,1,180,78,43.33,84,46.67,05001
5,2,135,59,43.7,58,42.96,05002
5,3,201,43,21.39,89,44.28,05003
5,4,263,62,23.57,146,55.51,05004
5,5,195,80,41.03,95,48.72,05005
5,6,180,70,38.89,80,44.44,05006
5,7,224,66,29.46,118,52.68,05007
5,8,256,54,21.09,102,39.84,05008
5,9,289,84,29.07,137,47.4,05009
5,10,167,67,40.12,71,42.51,05010
5,11,273,60,21.98,133,48.72,05011
5,12,142,68,47.89,58,40.85,05012
5,13,172,64,37.21,82,47.67,05013
5,14,215,74,34.42,103,47.91,05014
5,15,197,55,27.92,92,46.7,05015
5,16,178,68,38.2,73,41.01,05016
5,17,162,61,37.65,79,48.77,05017
5,18,224,55,24.55,97,43.3,05018
5,19,240,47,19.58,92,38.33,05019
5,20,257,71,27.63,138,53.7,05020
5,21,209,48,22.97,96,45.93,05021
5,22,285,65,22.81,150,52.63,05022
5,23,380,104,27.37,151,39.74,05023
5,24,245,57,23.27,105,42.86,05024
5,25,234,88,37.61,113,48.29,05025
5,26,233,95,40.77,108,46.35,05026
5,27,191,35,18.32,65,34.03,05027
5,28,265,108,40.75,110,41.51,05028
5,29,232,87,37.5,110,47.41,05029
5,30,148,63,42.57,64,43.24,05030
5,31,162,74,45.68,66,40.74,05031
5,32,287,116,40.42,134,46.69,05032
5,33,246,113,45.93,103,41.87,05033
5,34,232,42,18.1,79,34.05,05034
5,35,266,71,26.69,113,42.48,05035
5,36,121,50,41.32,55,45.45,05036
5,37,252,55,21.83,124,49.21,05037
5,38,202,88,43.56,90,44.55,05038
5,39,211,47,22.27,76,36.02,05039
5,40,172,72,41.86,76,44.19,05040
5,41,145,36,24.83,76,52.41,05041
6,1,234,119,50.85,78,33.33,06001
6,2,207,88,42.51,96,46.38,06002
6,3,225,96,42.67,101,44.89,06003
6,4,116,41,35.34,56,48.28,06004
6,5,101,40,39.6,43,42.57,06005
6,6,215,105,48.84,92,42.79,06006
6,7,188,77,40.96,92,48.94,06007
6,8,191,89,46.6,75,39.27,06008
6,9,145,67,46.21,59,40.69,06009
6,10,105,45,42.86,48,45.71,06010
6,11,150,67,44.67,74,49.33,06011
6,12,110,50,45.45,48,43.64,06012
6,13,146,71,48.63,57,39.04,06013
6,14,188,100,53.19,74,39.36,06014
6,15,113,50,44.25,44,38.94,06015
6,16,223,79,35.43,102,45.74,06016
6,17,108,48,44.44,44,40.74,06017
6,18,88,35,39.77,42,47.73,06018
6,19,164,79,48.17,59,35.98,06019
6,20,88,39,44.32,39,44.32,06020
6,21,82,31,37.8,38,46.34,06021
6,22,102,45,44.12,38,37.25,06022
6,23,63,30,47.62,26,41.27,06023
6,24,103,50,48.54,39,37.86,06024
6,25,93,40,43.01,36,38.71,06025
6,26,115,44,38.26,49,42.61,06026
6,27,90,36,40.0,45,50.0,06027
6,28,86,35,40.7,39,45.35,06028
6,29,229,90,39.3,115,50.22,06029
6,30,134,59,44.03,48,35.82,06030
6,31,247,95,38.46,124,50.2,06031
6,32,185,77,41.62,84,45.41,06032
6,33,183,70,38.25,88,48.09,06033
6,34,208,81,38.94,100,48.08,06034
6,35,190,70,36.84,97,51.05,06035
6,36,250,108,43.2,108,43.2,06036
6,37,238,102,42.86,106,44.54,06037
6,38,215,95,44.19,87,40.47,06038
6,39,150,58,38.67,69,46.0,06039
6,40,169,71,42.01,76,44.97,06040
6,41,202,101,50.0,81,40.1,06041
6,42,157,77,49.04,60,38.22,06042
6,43,155,71,45.81,67,43.23,06043
6,44,163,61,37.42,76,46.63,06044
6,45,202,77,38.12,89,44.06,06045
6,46,114,46,40.35,56,49.12,06046
6,47,132,58,43.94,53,40.15,06047
6,48,189,87,46.03,78,41.27,06048
7,1,162,88,54.32,58,35.8,07001
7,2,143,62,43.36,55,38.46,07002
7,3,232,107,46.12,88,37.93,07003
7,4,188,73,38.83,88,46.81,07004
7,5,146,65,44.52,60,41.1,07005
7,6,225,98,43.56,102,45.33,07006
7,7,146,46,31.51,74,50.68,07007
7,8,148,54,36.49,63,42.57,07008
7,9,309,121,39.16,151,48.87,07009
7,10,209,82,39.23,102,48.8,07010
7,11,145,59,40.69,61,42.07,07011
7,12,154,70,45.45,66,42.86,07012
7,13,120,48,40.0,52,43.33,07013
7,14,184,69,37.5,92,50.0,07014
7,15,190,81,42.63,84,44.21,07015
7,16,138,57,41.3,60,43.48,07016
7,17,128,50,39.06,49,38.28,07017
7,18,132,58,43.94,51,38.64,07018
7,19,182,87,47.8,67,36.81,07019
7,20,128,46,35.94,66,51.56,07020
7,21,138,45,32.61,65,47.1,07021
7,22,157,56,35.67,79,50.32,07022
7,23,218,87,39.91,103,47.25,07023
7,24,152,78,51.32,57,37.5,07024
7,25,119,41,34.45,71,59.66,07025
7,26,153,53,34.64,78,50.98,07026
7,27,162,59,36.42,76,46.91,07027
7,28,108,38,35.19,55,50.93,07028
7,29,139,53,38.13,63,45.32,07029
7,30,117,43,36.75,56,47.86,07030
7,31,96,29,30.21,50,52.08,07031
7,32,316,125,39.56,153,48.42,07032
7,33,306,126,41.18,141,46.08,07033
7,34,230,95,41.3,95,41.3,07034
7,35,191,76,39.79,88,46.07,07035
7,36,252,119,47.22,99,39.29,07036
7,37,199,73,36.68,101,50.75,07037
7,38,160,61,38.13,81,50.63,07038
7,39,167,67,40.12,81,48.5,07039
7,40,157,64,40.76,77,49.04,07040
7,41,165,77,46.67,70,42.42,07041
7,42,181,59,32.6,100,55.25,07042
7,43,186,72,38.71,87,46.77,07043
7,44,139,63,45.32,57,41.01,07044
7,45,138,54,39.13,64,46.38,07045
7,46,97,41,42.27,48,49.48,07046
8,1,153,63,41.18,69,45.1,08001
8,2,168,72,42.86,75,44.64,08002
8,3,243,112,46.09,103,42.39,08003
8,4,233,97,41.63,105,45.06,08004
8,5,227,103,45.37,98,43.17,08005
8,6,216,111,51.39,81,37.5,08006
8,7,260,97,37.31,131,50.38,08007
8,8,220,97,44.09,96,43.64,08008
8,9,156,66,42.31,72,46.15,08009
8,10,301,125,41.53,133,44.19,08010
8,11,173,72,41.62,80,46.24,08011
8,12,154,71,46.1,62,40.26,08012
8,13,205,86,41.95,86,41.95,08013
8,14,111,49,44.14,40,36.04,08014
8,15,164,65,39.63,74,45.12,08015
8,16,54,25,46.3,22,40.74,08016
8,17,182,85,46.7,74,40.66,08017
8,18,134,48,35.82,65,48.51,08018
8,19,263,125,47.53,99,37.64,08019
8,20,227,93,40.97,107,47.14,08020
8,21,231,82,35.5,105,45.45,08021
8,22,179,69,38.55,81,45.25,08022
8,23,162,72,44.44,70,43.21,08023
8,24,134,58,43.28,52,38.81,08024
8,25,175,80,45.71,74,42.29,08025
8,26,176,74,42.05,64,36.36,08026
8,27,226,93,41.15,99,43.81,08027
8,28,205,82,40.0,87,42.44,08028
8,29,237,101,42.62,101,42.62,08029
8,30,191,98,51.31,78,40.84,08030
8,31,152,71,46.71,65,42.76,08031
8,32,144,63,43.75,67,46.53,08032
8,33,180,83,46.11,78,43.33,08033
8,34,201,91,45.27,79,39.3,08034
8,35,219,101,46.12,86,39.27,08035
8,36,204,101,49.51,70,34.31,08036
8,37,192,89,46.35,80,41.67,08037
8,38,124,59,47.58,49,39.52,08038
8,39,180,75,41.67,83,46.11,08039
8,40,163,71,43.56,77,47.24,08040
8,41,200,94,47.0,82,41.0,08041
8,42,237,106,44.73,98,41.35,08042
8,43,81,31,38.27,38,46.91,08043
8,44,118,58,49.15,42,35.59,08044
8,45,148,63,42.57,69,46.62,08045
8,46,144,58,40.28,64,44.44,08046
8,47,156,67,42.95,64,41.03,08047
8,48,167,60,35.93,82,49.1,08048
8,49,171,84,49.12,69,40.35,08049
8,50,201,87,43.28,103,51.24,08050
8,51,230,109,47.39,99,43.04,08051
8,52,281,139,49.47,113,40.21,08052
8,53,110,45,40.91,48,43.64,08053
8,54,116,43,37.07,56,48.28,08054
8,55,173,79,45.66,73,42.2,08055
8,56,216,95,43.98,104,48.15,08056
9,1,180,77,42.78,71,39.44,09001
9,2,172,65,37.79,82,47.67,09002
9,3,112,48,42.86,47,41.96,09003
9,4,135,56,41.48,58,42.96,09004
9,5,183,80,43.72,81,44.26,09005
9,6,171,73,42.69,73,42.69,09006
9,7,146,59,40.41,68,46.58,09007
9,8,156,65,41.67,67,42.95,09008
9,9,213,88,41.31,102,47.89,09009
9,10,139,50,35.97,68,48.92,09010
9,11,131,52,39.69,50,38.17,09011
9,12,233,93,39.91,109,46.78,09012
9,13,222,79,35.59,112,50.45,09013
9,14,243,99,40.74,108,44.44,09014
9,15,104,41,39.42,46,44.23,09015
9,16,173,65,37.57,87,50.29,09016
9,17,124,63,50.81,52,41.94,09017
9,18,124,49,39.52,58,46.77,09018
9,19,172,70,40.7,74,43.02,09019
9,20,207,95,45.89,90,43.48,09020
9,21,159,69,43.4,65,40.88,09021
9,22,190,79,41.58,83,43.68,09022
9,23,224,90,40.18,89,39.73,09023
9,24,188,71,37.77,90,47.87,09024
9,25,182,81,44.51,74,40.66,09025
9,26,135,52,38.52,67,49.63,09026
9,27,165,60,36.36,81,49.09,09027
9,28,107,36,33.64,59,55.14,09028
9,29,139,65,46.76,54,38.85,09029
9,30,135,51,37.78,59,43.7,09030
9,31,123,54,43.9,55,44.72,09031
9,32,184,86,46.74,81,44.02,09032
9,33,125,42,33.6,63,50.4,09033
9,34,127,52,40.94,57,44.88,09034
9,35,196,90,45.92,87,44.39,09035
9,36,154,70,45.45,59,38.31,09036
9,37,242,80,33.06,116,47.93,09037
9,38,158,74,46.84,63,39.87,09038
9,39,209,100,47.85,94,44.98,09039
9,40,222,96,43.24,95,42.79,09040
9,41,145,60,41.38,61,42.07,09041
9,42,212,85,40.09,98,46.23,09042
9,43,152,62,40.79,67,44.08,09043
9,44,174,65,37.36,85,48.85,09044
9,45,131,55,41.98,62,47.33,09045
9,46,185,73,39.46,82,44.32,09046
9,47,224,90,40.18,102,45.54,09047
9,48,200,82,41.0,77,38.5,09048
9,49,193,72,37.31,101,52.33,09049
9,50,283,115,40.64,133,47.0,09050
9,51,197,89,45.18,82,41.62,09051
10,1,132,43,32.58,77,58.33,10001
10,2,138,24,17.39,95,68.84,10002
10,3,115,32,27.83,70,60.87,10003
10,4,110,26,23.64,71,64.55,10004
10,5,97,24,24.74,62,63.92,10005
10,6,106,17,16.04,84,79.25,10006
10,7,87,10,11.49,72,82.76,10007
10,8,67,21,31.34,32,47.76,10008
10,9,108,20,18.52,69,63.89,10009
10,10,142,21,14.79,109,76.76,10010
10,11,146,20,13.7,119,81.51,10011
10,12,85,12,14.12,68,80.0,10012
10,13,141,28,19.86,103,73.05,10013
10,14,154,15,9.74,124,80.52,10014
10,15,371,139,37.47,169,45.55,10015
10,16,90,20,22.22,55,61.11,10016
10,17,167,35,20.96,95,56.89,10017
10,18,82,28,34.15,51,62.2,10018
10,19,124,24,19.35,89,71.77,10019
10,20,129,30,23.26,88,68.22,10020
10,21,99,8,8.08,81,81.82,10021
10,22,85,4,4.71,69,81.18,10022
10,23,107,12,11.21,84,78.5,10023
10,24,106,19,17.92,68,64.15,10024
10,25,48,8,16.67,35,72.92,10025
10,26,88,16,18.18,68,77.27,10026
10,27,137,43,31.39,80,58.39,10027
10,28,136,23,16.91,99,72.79,10028
10,29,108,13,12.04,83,76.85,10029
10,30,125,21,16.8,97,77.6,10030
10,31,97,15,15.46,75,77.32,10031
10,32,117,15,12.82,91,77.78,10032
10,33,95,7,7.37,84,88.42,10033
10,34,76,19,25.0,48,63.16,10034
10,35,147,34,23.13,105,71.43,10035
10,36,37,8,21.62,23,62.16,10036
11,1,201,43,21.39,120,59.7,11001
11,2,13,5,38.46,4,30.77,11002
11,3,154,22,14.29,99,64.29,11003
11,4,190,35,18.42,131,68.95,11004
11,5,243,42,17.28,148,60.91,11005
11,6,203,56,27.59,99,48.77,11006
11,7,138,29,21.01,76,55.07,11007
11,8,162,34,20.99,95,58.64,11008
11,9,155,33,21.29,89,57.42,11009
11,10,160,47,29.38,89,55.63,11010
11,11,185,41,22.16,104,56.22,11011
11,12,282,98,34.75,153,54.26,11012
11,13,262,87,33.21,146,55.73,11013
11,14,74,26,35.14,36,48.65,11014
11,15,76,20,26.32,44,57.89,11015
11,16,128,35,27.34,80,62.5,11016
11,17,223,55,24.66,123,55.16,11017
11,18,157,41,26.11,95,60.51,11018
11,19,228,47,20.61,135,59.21,11019
11,20,131,39,29.77,74,56.49,11020
11,21,291,68,23.37,180,61.86,11021
11,22,218,62,28.44,116,53.21,11022
11,23,137,36,26.28,81,59.12,11023
11,24,309,95,30.74,182,58.9,11024
11,25,211,50,23.7,111,52.61,11025
11,26,252,52,20.63,162,64.29,11026
11,27,67,16,23.88,43,64.18,11027
11,28,84,26,30.95,55,65.48,11028
11,29,287,73,25.44,191,66.55,11029
11,30,83,21,25.3,45,54.22,11030
11,31,203,82,40.39,101,49.75,11031
11,32,106,28,26.42,68,64.15,11032
11,33,168,45,26.79,95,56.55,11033
11,34,56,23,41.07,22,39.29,11034
11,35,66,38,57.58,24,36.36,11035
11,36,71,25,35.21,30,42.25,11036
11,37,41,14,34.15,18,43.9,11037
11,38,92,13,14.13,53,57.61,11038
12,1,189,39,20.63,125,66.14,12001
12,2,140,34,24.29,90,64.29,12002
12,3,233,53,22.75,148,63.52,12003
12,4,214,45,21.03,135,63.08,12004
12,5,156,42,26.92,93,59.62,12005
12,6,158,36,22.78,109,68.99,12006
12,7,142,17,11.97,102,71.83,12007
12,8,188,51,27.13,114,60.64,12008
12,9,156,32,20.51,106,67.95,12009
12,10,177,30,16.95,136,76.84,12010
12,11,169,44,26.04,116,68.64,12011
12,12,156,31,19.87,113,72.44,12012
12,13,178,32,17.98,132,74.16,12013
12,14,149,34,22.82,106,71.14,12014
12,15,136,23,16.91,100,73.53,12015
12,16,127,19,14.96,104,81.89,12016
12,17,156,33,21.15,108,69.23,12017
12,18,108,11,10.19,89,82.41,12018
12,19,157,32,20.38,108,68.79,12019
12,20,190,38,20.0,126,66.32,12020
12,21,160,28,17.5,95,59.38,12021
12,22,122,18,14.75,85,69.67,12022
12,23,183,36,19.67,118,64.48,12023
13,1,151,37,24.5,97,64.24,13001
13,2,178,51,28.65,100,56.18,13002
13,3,147,23,15.65,119,80.95,13003
13,4,173,55,31.79,91,52.6,13004
13,5,207,42,20.29,153,73.91,13005
13,6,189,54,28.57,111,58.73,13006
13,7,123,30,24.39,82,66.67,13007
13,8,140,36,25.71,90,64.29,13008
13,9,145,15,10.34,114,78.62,13009
13,10,166,60,36.14,78,46.99,13010
13,11,186,62,33.33,104,55.91,13011
13,12,147,31,21.09,100,68.03,13012
13,13,204,29,14.22,163,79.9,13013
13,14,141,24,17.02,97,68.79,13014
13,15,278,39,14.03,221,79.5,13015
13,16,112,14,12.5,84,75.0,13016
13,17,156,45,28.85,90,57.69,13017
13,18,139,41,29.5,80,57.55,13018
13,19,145,20,13.79,118,81.38,13019
13,20,103,44,42.72,41,39.81,13020
13,21,179,62,34.64,95,53.07,13021
13,22,183,64,34.97,92,50.27,13022
13,23,132,17,12.88,105,79.55,13023
13,24,178,40,22.47,126,70.79,13024
13,25,158,26,16.46,126,79.75,13025
13,26,158,36,22.78,111,70.25,13026
13,27,179,42,23.46,118,65.92,13027
13,28,151,20,13.25,122,80.79,13028
13,29,129,24,18.6,94,72.87,13029
13,30,163,16,9.82,138,84.66,13030
13,31,192,58,30.21,109,56.77,13031
13,32,139,49,35.25,63,45.32,13032
13,33,200,60,30.0,115,57.5,13033
13,34,284,24,8.45,248,87.32,13034
13,35,199,20,10.05,169,84.92,13035
13,36,110,16,14.55,85,77.27,13036
13,37,236,51,21.61,164,69.49,13037
13,38,160,43,26.88,95,59.38,13038
13,39,183,28,15.3,143,78.14,13039
13,40,181,35,19.34,132,72.93,13040
13,41,188,37,19.68,138,73.4,13041
13,42,182,54,29.67,103,56.59,13042
13,43,209,40,19.14,148,70.81,13043
13,44,229,24,10.48,198,86.46,13044
13,45,241,49,20.33,172,71.37,13045
13,46,210,28,13.33,173,82.38,13046
13,47,171,20,11.7,143,83.63,13047
13,48,183,46,25.14,120,65.57,13048
14,1,215,67,31.16,122,56.74,14001
14,2,222,32,14.41,178,80.18,14002
14,3,153,15,9.8,123,80.39,14003
14,4,197,51,25.89,117,59.39,14004
14,5,226,27,11.95,191,84.51,14005
14,6,98,4,4.08,91,92.86,14006
14,7,178,17,9.55,146,82.02,14007
14,8,172,19,11.05,144,83.72,14008
14,9,223,64,28.7,127,56.95,14009
14,10,121,18,14.88,92,76.03,14010
14,11,126,6,4.76,115,91.27,14011
14,12,193,32,16.58,148,76.68,14012
14,13,169,27,15.98,125,73.96,14013
14,14,187,23,12.3,156,83.42,14014
14,15,174,25,14.37,140,80.46,14015
14,16,122,19,15.57,87,71.31,14016
14,17,150,13,8.67,133,88.67,14017
14,18,83,14,16.87,54,65.06,14018
14,19,186,30,16.13,141,75.81,14019
14,20,110,19,17.27,76,69.09,14020
14,21,180,21,11.67,138,76.67,14021
14,22,222,51,22.97,141,63.51,14022
14,23,150,33,22.0,94,62.67,14023
14,24,252,54,21.43,170,67.46,14024
14,25,107,17,15.89,85,79.44,14025
14,26,138,21,15.22,111,80.43,14026
14,27,164,30,18.29,119,72.56,14027
14,28,124,20,16.13,93,75.0,14028
14,29,162,22,13.58,132,81.48,14029
14,30,102,14,13.73,82,80.39,14030
14,31,89,7,7.87,77,86.52,14031
15,1,160,24,15.0,128,80.0,15001
15,2,92,46,50.0,31,33.7,15002
15,3,103,45,43.69,41,39.81,15003
15,4,152,17,11.18,123,80.92,15004
15,5,132,31,23.48,89,67.42,15005
15,6,136,23,16.91,104,76.47,15006
15,7,97,42,43.3,38,39.18,15007
15,8,138,12,8.7,113,81.88,15008
15,9,189,33,17.46,144,76.19,15009
15,10,169,33,19.53,124,73.37,15010
15,11,163,24,14.72,127,77.91,15011
15,12,165,29,17.58,114,69.09,15012
15,13,136,25,18.38,99,72.79,15013
15,14,128,14,10.94,104,81.25,15014
15,15,105,15,14.29,86,81.9,15015
15,16,164,22,13.41,127,77.44,15016
15,17,117,57,48.72,45,38.46,15017
15,18,79,40,50.63,22,27.85,15018
15,19,148,35,23.65,97,65.54,15019
15,20,100,50,50.0,35,35.0,15020
15,21,108,52,48.15,45,41.67,15021
15,22,94,35,37.23,42,44.68,15022
15,23,126,55,43.65,57,45.24,15023
15,24,87,36,41.38,42,48.28,15024
16,1,176,24,13.64,141,80.11,16001
16,2,129,48,37.21,66,51.16,16002
16,3,95,54,56.84,28,29.47,16003
16,4,101,54,53.47,41,40.59,16004
16,5,96,50,52.08,37,38.54,16005
16,6,116,32,27.59,65,56.03,16006
16,7,106,37,34.91,54,50.94,16007
16,8,83,28,33.73,44,53.01,16008
16,9,143,63,44.06,51,35.66,16009
16,10,103,40,38.83,48,46.6,16010
16,11,94,30,31.91,60,63.83,16011
16,12,85,26,30.59,49,57.65,16012
16,13,107,26,24.3,67,62.62,16013
16,14,97,43,44.33,40,41.24,16014
16,15,147,59,40.14,64,43.54,16015
16,16,115,44,38.26,48,41.74,16016
16,17,119,35,29.41,70,58.82,16017
16,18,111,39,35.14,55,49.55,16018
16,19,98,40,40.82,44,44.9,16019
16,20,104,36,34.62,50,48.08,16020
16,21,97,40,41.24,41,42.27,16021
16,22,94,37,39.36,44,46.81,16022
16,23,112,24,21.43,74,66.07,16023
16,24,65,31,47.69,27,41.54,16024
16,25,151,66,43.71,63,41.72,16025
16,26,111,46,41.44,53,47.75,16026
16,27,94,38,40.43,37,39.36,16027
16,28,113,44,38.94,51,45.13,16028
16,29,99,46,46.46,35,35.35,16029
16,30,84,34,40.48,30,35.71,16030
16,31,148,53,35.81,68,45.95,16031
16,32,134,27,20.15,95,70.9,16032
16,33,110,48,43.64,46,41.82,16033
16,34,97,35,36.08,42,43.3,16034
16,35,165,35,21.21,110,66.67,16035
16,36,89,34,38.2,31,34.83,16036
17,1,141,34,24.11,89,63.12,17001
17,2,140,55,39.29,56,40.0,17002
17,3,148,61,41.22,74,50.0,17003
17,4,205,98,47.8,81,39.51,17004
17,5,130,46,35.38,70,53.85,17005
17,6,120,40,33.33,64,53.33,17006
17,7,108,29,26.85,72,66.67,17007
17,8,103,34,33.01,55,53.4,17008
17,9,125,48,38.4,54,43.2,17009
17,10,209,100,47.85,75,35.89,17010
17,11,116,43,37.07,59,50.86,17011
17,12,185,43,23.24,118,63.78,17012
