ward,precinct,total,Debra A. Seaton,Debra A. Seaton Percent,Sheree D. Henry,Sheree D. Henry Percent,Ubi O'Neal,Ubi O'Neal Percent,precinct_id
21,16,178,92,51.69,68,38.2,18,10.11,21016
21,17,24,13,54.17,10,41.67,1,4.17,21017
21,18,219,119,54.34,75,34.25,25,11.42,21018
21,19,214,120,56.07,78,36.45,16,7.48,21019
21,20,15,8,53.33,5,33.33,2,13.33,21020
21,21,169,83,49.11,61,36.09,25,14.79,21021
21,22,184,102,55.43,63,34.24,19,10.33,21022
21,23,180,84,46.67,82,45.56,14,7.78,21023
21,24,216,121,56.02,76,35.19,19,8.8,21024
21,25,188,96,51.06,82,43.62,10,5.32,21025
21,27,180,97,53.89,74,41.11,9,5.0,21027
21,29,214,128,59.81,60,28.04,26,12.15,21029
21,32,189,118,62.43,51,26.98,20,10.58,21032
21,33,50,28,56.0,17,34.0,5,10.0,21033
21,34,21,13,61.9,8,38.1,0,0.0,21034
21,35,241,128,53.11,91,37.76,22,9.13,21035
21,36,200,117,58.5,59,29.5,24,12.0,21036
21,37,175,98,56.0,56,32.0,21,12.0,21037
21,38,171,100,58.48,59,34.5,12,7.02,21038
21,39,130,80,61.54,37,28.46,13,10.0,21039
21,40,176,81,46.02,84,47.73,11,6.25,21040
21,41,192,122,63.54,49,25.52,21,10.94,21041
21,42,216,120,55.56,77,35.65,19,8.8,21042
21,44,143,84,58.74,50,34.97,9,6.29,21044
21,45,165,98,59.39,53,32.12,14,8.48,21045
21,46,210,121,57.62,69,32.86,20,9.52,21046
21,48,109,58,53.21,35,32.11,16,14.68,21048
21,49,234,126,53.85,88,37.61,20,8.55,21049
21,50,163,98,60.12,46,28.22,19,11.66,21050
21,52,23,16,69.57,5,21.74,2,8.7,21052
34,1,243,128,52.67,102,41.98,13,5.35,34001
34,2,180,97,53.89,67,37.22,16,8.89,34002
34,3,184,109,59.24,56,30.43,19,10.33,34003
34,4,128,74,57.81,41,32.03,13,10.16,34004
34,5,166,117,70.48,39,23.49,10,6.02,34005
34,6,229,100,43.67,121,52.84,8,3.49,34006
34,7,232,146,62.93,68,29.31,18,7.76,34007
34,8,167,107,64.07,47,28.14,13,7.78,34008
34,9,141,88,62.41,38,26.95,15,10.64,34009
34,10,199,107,53.77,80,40.2,12,6.03,34010
34,11,145,78,53.79,53,36.55,14,9.66,34011
34,12,205,124,60.49,61,29.76,20,9.76,34012
34,13,208,123,59.13,64,30.77,21,10.1,34013
34,14,145,93,64.14,43,29.66,9,6.21,34014
34,15,149,81,54.36,57,38.26,11,7.38,34015
34,16,169,101,59.76,53,31.36,15,8.88,34016
34,18,151,85,56.29,46,30.46,20,13.25,34018
34,19,173,88,50.87,72,41.62,13,7.51,34019
34,20,255,150,58.82,92,36.08,13,5.1,34020
34,21,271,149,54.98,105,38.75,17,6.27,34021
34,22,210,119,56.67,67,31.9,24,11.43,34022
34,23,159,89,55.97,62,38.99,8,5.03,34023
34,24,173,107,61.85,50,28.9,16,9.25,34024
34,25,318,191,60.06,93,29.25,34,10.69,34025
34,26,221,127,57.47,79,35.75,15,6.79,34026
34,27,167,106,63.47,50,29.94,11,6.59,34027
34,28,116,87,75.0,20,17.24,9,7.76,34028
34,29,154,94,61.04,53,34.42,7,4.55,34029
34,30,230,149,64.78,65,28.26,16,6.96,34030
34,31,155,81,52.26,58,37.42,16,10.32,34031
34,32,175,102,58.29,57,32.57,16,9.14,34032
34,33,160,99,61.88,50,31.25,11,6.88,34033
34,34,227,148,65.2,69,30.4,10,4.41,34034
34,35,198,126,63.64,52,26.26,20,10.1,34035
34,36,200,123,61.5,59,29.5,18,9.0,34036
34,37,111,70,63.06,29,26.13,12,10.81,34037
34,38,76,52,68.42,17,22.37,7,9.21,34038
34,39,129,98,75.97,22,17.05,9,6.98,34039
34,40,209,119,56.94,73,34.93,17,8.13,34040
34,41,133,79,59.4,47,35.34,7,5.26,34041
34,42,235,110,46.81,106,45.11,19,8.09,34042
34,43,220,141,64.09,67,30.45,12,5.45,34043
34,44,226,137,60.62,64,28.32,25,11.06,34044
34,45,199,106,53.27,76,38.19,17,8.54,34045
34,46,141,69,48.94,58,41.13,14,9.93,34046
34,47,165,108,65.45,43,26.06,14,8.48,34047
34,48,250,129,51.6,99,39.6,22,8.8,34048
34,49,125,76,60.8,34,27.2,15,12.0,34049
34,50,144,95,65.97,40,27.78,9,6.25,34050
34,51,236,149,63.14,75,31.78,12,5.08,34051
34,52,164,99,60.37,53,32.32,12,7.32,34052
34,53,107,59,55.14,36,33.64,12,11.21,34053
