ward,precinct,total,Lindsay Huge,Lindsay Huge Percent,Michael A. Forti,Michael A. Forti Percent,Cyrus Hosseini,Cyrus Hosseini Percent,Athena A. Farmakis,Athena A. Farmakis Percent,precinct_id
43,3,175,45,25.71,94,53.71,1,0.57,35,20.0,43003
43,4,177,55,31.07,75,42.37,3,1.69,44,24.86,43004
43,5,155,53,34.19,67,43.23,1,0.65,34,21.94,43005
43,6,113,46,40.71,36,31.86,6,5.31,25,22.12,43006
43,7,118,43,36.44,41,34.75,3,2.54,31,26.27,43007
43,8,147,57,38.78,52,35.37,6,4.08,32,21.77,43008
43,9,205,71,34.63,88,42.93,6,2.93,40,19.51,43009
43,10,213,65,30.52,89,41.78,7,3.29,52,24.41,43010
43,11,102,32,31.37,42,41.18,1,0.98,27,26.47,43011
43,12,130,46,35.38,47,36.15,4,3.08,33,25.38,43012
43,13,160,66,41.25,39,24.38,3,1.88,52,32.5,43013
43,14,211,68,32.23,101,47.87,6,2.84,36,17.06,43014
43,15,171,65,38.01,52,30.41,6,3.51,48,28.07,43015
43,16,119,34,28.57,50,42.02,3,2.52,32,26.89,43016
43,17,135,53,39.26,44,32.59,2,1.48,36,26.67,43017
43,18,184,66,35.87,64,34.78,8,4.35,46,25.0,43018
43,19,210,57,27.14,76,36.19,6,2.86,71,33.81,43019
43,20,172,54,31.4,77,44.77,1,0.58,40,23.26,43020
43,21,168,58,34.52,63,37.5,8,4.76,39,23.21,43021
43,22,105,42,40.0,37,35.24,3,2.86,23,21.9,43022
43,23,124,51,41.13,36,29.03,1,0.81,36,29.03,43023
43,24,119,49,41.18,34,28.57,4,3.36,32,26.89,43024
43,25,174,56,32.18,79,45.4,4,2.3,35,20.11,43025
43,26,139,48,34.53,64,46.04,3,2.16,24,17.27,43026
43,27,166,50,30.12,70,42.17,2,1.2,44,26.51,43027
43,28,200,80,40.0,68,34.0,6,3.0,46,23.0,43028
43,29,152,64,42.11,68,44.74,2,1.32,18,11.84,43029
43,30,157,57,36.31,68,43.31,3,1.91,29,18.47,43030
43,31,194,77,39.69,61,31.44,8,4.12,48,24.74,43031
43,32,190,76,40.0,75,39.47,6,3.16,33,17.37,43032
43,33,212,75,35.38,92,43.4,1,0.47,44,20.75,43033
43,34,144,60,41.67,42,29.17,5,3.47,37,25.69,43034
43,35,233,66,28.33,117,50.21,5,2.15,45,19.31,43035
43,36,74,27,36.49,21,28.38,0,0.0,26,35.14,43036
43,37,159,63,39.62,48,30.19,4,2.52,44,27.67,43037
43,38,143,38,26.57,67,46.85,7,4.9,31,21.68,43038
43,39,112,34,30.36,38,33.93,4,3.57,36,32.14,43039
43,40,119,40,33.61,31,26.05,11,9.24,37,31.09,43040
43,41,242,91,37.6,85,35.12,6,2.48,60,24.79,43041
43,42,167,56,33.53,59,35.33,9,5.39,43,25.75,43042
43,43,214,72,33.64,97,45.33,3,1.4,42,19.63,43043
43,44,155,48,30.97,68,43.87,2,1.29,37,23.87,43044
43,45,121,32,26.45,55,45.45,6,4.96,28,23.14,43045
43,46,86,35,40.7,33,38.37,3,3.49,15,17.44,43046
44,1,303,116,38.28,98,32.34,6,1.98,83,27.39,44001
44,2,187,67,35.83,66,35.29,4,2.14,50,26.74,44002
44,3,185,56,30.27,86,46.49,3,1.62,40,21.62,44003
44,4,196,78,39.8,74,37.76,9,4.59,35,17.86,44004
44,5,199,77,38.69,65,32.66,6,3.02,51,25.63,44005
44,6,238,91,38.24,79,33.19,14,5.88,54,22.69,44006
44,7,171,47,27.49,82,47.95,5,2.92,37,21.64,44007
44,8,261,94,36.02,75,28.74,12,4.6,80,30.65,44008
44,9,155,52,33.55,45,29.03,8,5.16,50,32.26,44009
44,10,159,63,39.62,49,30.82,2,1.26,45,28.3,44010
44,11,188,83,44.15,52,27.66,7,3.72,46,24.47,44011
44,12,233,84,36.05,95,40.77,4,1.72,50,21.46,44012
44,13,133,43,32.33,43,32.33,5,3.76,42,31.58,44013
44,14,131,45,34.35,39,29.77,6,4.58,41,31.3,44014
44,15,197,72,36.55,82,41.62,2,1.02,41,20.81,44015
44,16,207,75,36.23,69,33.33,4,1.93,59,28.5,44016
44,17,304,110,36.18,103,33.88,11,3.62,80,26.32,44017
44,18,182,78,42.86,56,30.77,5,2.75,43,23.63,44018
44,19,265,110,41.51,89,33.58,11,4.15,55,20.75,44019
44,20,184,83,45.11,43,23.37,6,3.26,52,28.26,44020
44,21,217,88,40.55,70,32.26,6,2.76,53,24.42,44021
44,22,245,94,38.37,95,38.78,5,2.04,51,20.82,44022
44,23,187,81,43.32,57,30.48,3,1.6,46,24.6,44023
44,24,176,67,38.07,71,40.34,5,2.84,33,18.75,44024
44,25,189,71,37.57,71,37.57,9,4.76,38,20.11,44025
44,26,204,91,44.61,67,32.84,8,3.92,38,18.63,44026
44,27,228,68,29.82,82,35.96,13,5.7,65,28.51,44027
44,28,203,74,36.45,57,28.08,8,3.94,64,31.53,44028
44,29,164,61,37.2,49,29.88,5,3.05,49,29.88,44029
44,30,197,68,34.52,63,31.98,11,5.58,55,27.92,44030
44,31,140,60,42.86,45,32.14,7,5.0,28,20.0,44031
44,32,204,78,38.24,69,33.82,3,1.47,54,26.47,44032
44,33,189,74,39.15,43,22.75,6,3.17,66,34.92,44033
44,34,223,62,27.8,90,40.36,13,5.83,58,26.01,44034
44,35,263,106,40.3,93,35.36,8,3.04,56,21.29,44035
44,36,180,63,35.0,57,31.67,8,4.44,52,28.89,44036
44,37,229,96,41.92,73,31.88,7,3.06,53,23.14,44037
44,38,132,48,36.36,39,29.55,5,3.79,40,30.3,44038
44,39,168,58,34.52,61,36.31,2,1.19,47,27.98,44039
44,40,142,51,35.92,51,35.92,5,3.52,35,24.65,44040
44,41,234,89,38.03,61,26.07,10,4.27,74,31.62,44041
46,1,180,57,31.67,53,29.44,9,5.0,61,33.89,46001
46,2,204,60,29.41,57,27.94,8,3.92,79,38.73,46002
46,3,293,115,39.25,120,40.96,7,2.39,51,17.41,46003
46,4,210,91,43.33,60,28.57,9,4.29,50,23.81,46004
46,5,208,83,39.9,64,30.77,6,2.88,55,26.44,46005
46,6,174,76,43.68,42,24.14,21,12.07,35,20.11,46006
46,7,269,104,38.66,92,34.2,6,2.23,67,24.91,46007
46,8,160,68,42.5,43,26.88,11,6.88,38,23.75,46008
46,9,247,94,38.06,63,25.51,14,5.67,76,30.77,46009
46,10,244,88,36.07,80,32.79,6,2.46,70,28.69,46010
46,11,172,68,39.53,49,28.49,9,5.23,46,26.74,46011
46,12,249,97,38.96,46,18.47,13,5.22,93,37.35,46012
46,13,202,74,36.63,75,37.13,2,0.99,51,25.25,46013
46,14,202,86,42.57,54,26.73,19,9.41,43,21.29,46014
46,15,199,81,40.7,63,31.66,4,2.01,51,25.63,46015
46,16,268,139,51.87,59,22.01,9,3.36,61,22.76,46016
46,17,262,102,38.93,89,33.97,7,2.67,64,24.43,46017
46,18,212,87,41.04,57,26.89,11,5.19,57,26.89,46018
46,19,187,64,34.22,66,35.29,10,5.35,47,25.13,46019
46,20,190,81,42.63,57,30.0,8,4.21,44,23.16,46020
46,21,130,57,43.85,31,23.85,5,3.85,37,28.46,46021
46,22,131,63,48.09,24,18.32,9,6.87,35,26.72,46022
46,23,172,78,45.35,43,25.0,4,2.33,47,27.33,46023
46,24,237,92,38.82,66,27.85,12,5.06,67,28.27,46024
46,25,196,82,41.84,49,25.0,10,5.1,55,28.06,46025
46,26,216,93,43.06,52,24.07,9,4.17,62,28.7,46026
46,27,258,99,38.37,73,28.29,13,5.04,73,28.29,46027
46,28,261,97,37.16,89,34.1,13,4.98,62,23.75,46028
46,29,195,70,35.9,67,34.36,10,5.13,48,24.62,46029
46,30,198,96,48.48,48,24.24,13,6.57,41,20.71,46030
46,31,204,71,34.8,80,39.22,11,5.39,42,20.59,46031
46,32,198,97,48.99,45,22.73,8,4.04,48,24.24,46032
46,33,246,71,28.86,119,48.37,3,1.22,53,21.54,46033
46,34,219,94,42.92,65,29.68,11,5.02,49,22.37,46034
46,35,198,78,39.39,60,30.3,10,5.05,50,25.25,46035
46,36,221,86,38.91,73,33.03,3,1.36,59,26.7,46036
46,37,161,81,50.31,44,27.33,10,6.21,26,16.15,46037
46,38,162,65,40.12,52,32.1,10,6.17,35,21.6,46038
46,39,201,79,39.3,51,25.37,11,5.47,60,29.85,46039
46,40,229,83,36.24,87,37.99,6,2.62,53,23.14,46040
47,9,60,20,33.33,18,30.0,1,1.67,21,35.0,47009
47,11,183,61,33.33,69,37.7,4,2.19,49,26.78,47011
47,15,356,233,65.45,56,15.73,2,0.56,65,18.26,47015
47,18,227,97,42.73,66,29.07,5,2.2,59,25.99,47018
47,19,305,147,48.2,71,23.28,9,2.95,78,25.57,47019
47,23,311,143,45.98,73,23.47,6,1.93,89,28.62,47023
