ward,precinct,total,Curtis J. Tarver II,Curtis J. Tarver II Percent,Angelique N. Collins,Angelique N. Collins Percent,Anne Marie Miles,Anne Marie Miles Percent,Adrienne Irmer,Adrienne Irmer Percent,Flynn Rush,Flynn Rush Percent,William Calloway,William Calloway Percent,Grace Chan McKibben,Grace Chan McKibben Percent,precinct_id
10,29,114,21,18.42,19,16.67,23,20.18,20,17.54,5,4.39,15,13.16,11,9.65,10029
10,30,129,15,11.63,18,13.95,26,20.16,24,18.6,14,10.85,14,10.85,18,13.95,10030
10,31,95,12,12.63,20,21.05,14,14.74,20,21.05,14,14.74,7,7.37,8,8.42,10031
10,32,122,12,9.84,21,17.21,23,18.85,20,16.39,9,7.38,14,11.48,23,18.85,10032
10,33,106,18,16.98,20,18.87,24,22.64,9,8.49,11,10.38,10,9.43,14,13.21,10033
10,34,22,5,22.73,5,22.73,3,13.64,0,0.0,4,18.18,5,22.73,0,0.0,10034
10,35,166,50,30.12,21,12.65,20,12.05,28,16.87,13,7.83,15,9.04,19,11.45,10035
10,36,44,16,36.36,3,6.82,4,9.09,3,6.82,12,27.27,3,6.82,3,6.82,10036
20,24,156,37,23.72,42,26.92,16,10.26,12,7.69,27,17.31,6,3.85,16,10.26,20024
20,26,234,64,27.35,40,17.09,21,8.97,18,7.69,45,19.23,13,5.56,33,14.1,20026
20,34,252,66,26.19,46,18.25,16,6.35,32,12.7,35,13.89,6,2.38,51,20.24,20034
