ward,precinct,total,Colleen Reardon Daly,Colleen Reardon Daly Percent,Noreen Patricia Connolly,Noreen Patricia Connolly Percent,Gerald Cleary,Gerald Cleary Percent,Jill Rose Quinn,Jill Rose Quinn Percent,Thomas J. Gabryszewski,Thomas J. Gabryszewski Percent,precinct_id
40,25,253,119,47.04,35,13.83,48,18.97,36,14.23,15,5.93,40025
40,29,224,112,50.0,24,10.71,55,24.55,25,11.16,8,3.57,40029
40,30,214,123,57.48,22,10.28,36,16.82,20,9.35,13,6.07,40030
40,34,155,71,45.81,31,20.0,22,14.19,20,12.9,11,7.1,40034
40,38,123,60,48.78,20,16.26,19,15.45,21,17.07,3,2.44,40038
40,39,43,11,25.58,16,37.21,9,20.93,4,9.3,3,6.98,40039
41,1,149,93,62.42,10,6.71,30,20.13,6,4.03,10,6.71,41001
41,2,189,122,64.55,12,6.35,27,14.29,14,7.41,14,7.41,41002
41,3,167,104,62.28,22,13.17,11,6.59,14,8.38,16,9.58,41003
41,4,220,153,69.55,15,6.82,28,12.73,10,4.55,14,6.36,41004
41,5,194,125,64.43,13,6.7,26,13.4,17,8.76,13,6.7,41005
41,6,168,119,70.83,11,6.55,25,14.88,4,2.38,9,5.36,41006
41,7,198,135,68.18,8,4.04,23,11.62,17,8.59,15,7.58,41007
41,8,179,129,72.07,18,10.06,14,7.82,8,4.47,10,5.59,41008
41,10,257,190,73.93,11,4.28,35,13.62,15,5.84,6,2.33,41010
41,11,200,134,67.0,16,8.0,16,8.0,15,7.5,19,9.5,41011
41,12,151,77,50.99,19,12.58,15,9.93,19,12.58,21,13.91,41012
41,13,157,83,52.87,17,10.83,24,15.29,12,7.64,21,13.38,41013
41,14,167,124,74.25,10,5.99,13,7.78,13,7.78,7,4.19,41014
41,15,244,180,73.77,19,7.79,31,12.7,8,3.28,6,2.46,41015
41,16,145,86,59.31,14,9.66,21,14.48,12,8.28,12,8.28,41016
41,17,198,113,57.07,18,9.09,31,15.66,18,9.09,18,9.09,41017
41,18,156,98,62.82,21,13.46,14,8.97,13,8.33,10,6.41,41018
41,20,129,76,58.91,14,10.85,10,7.75,10,7.75,19,14.73,41020
41,21,185,119,64.32,17,9.19,24,12.97,12,6.49,13,7.03,41021
41,22,240,163,67.92,25,10.42,29,12.08,8,3.33,15,6.25,41022
41,23,130,60,46.15,19,14.62,13,10.0,14,10.77,24,18.46,41023
41,24,124,72,58.06,21,16.94,8,6.45,11,8.87,12,9.68,41024
41,26,200,142,71.0,10,5.0,27,13.5,12,6.0,9,4.5,41026
41,30,155,88,56.77,23,14.84,23,14.84,8,5.16,13,8.39,41030
41,31,204,116,56.86,24,11.76,23,11.27,13,6.37,28,13.73,41031
41,32,159,98,61.64,16,10.06,23,14.47,13,8.18,9,5.66,41032
41,33,154,107,69.48,14,9.09,14,9.09,11,7.14,8,5.19,41033
41,34,161,94,58.39,19,11.8,16,9.94,15,9.32,17,10.56,41034
41,35,237,157,66.24,16,6.75,30,12.66,14,5.91,20,8.44,41035
41,36,173,86,49.71,25,14.45,25,14.45,24,13.87,13,7.51,41036
41,37,205,150,73.17,9,4.39,29,14.15,8,3.9,9,4.39,41037
41,38,168,107,63.69,19,11.31,20,11.9,11,6.55,11,6.55,41038
41,39,222,149,67.12,22,9.91,21,9.46,8,3.6,22,9.91,41039
41,40,216,154,71.3,13,6.02,27,12.5,8,3.7,14,6.48,41040
41,41,141,83,58.87,11,7.8,12,8.51,17,12.06,18,12.77,41041
41,42,182,116,63.74,10,5.49,30,16.48,14,7.69,12,6.59,41042
41,43,163,85,52.15,16,9.82,19,11.66,14,8.59,29,17.79,41043
41,44,199,141,70.85,12,6.03,23,11.56,10,5.03,13,6.53,41044
41,45,143,69,48.25,23,16.08,23,16.08,8,5.59,20,13.99,41045
41,46,213,142,66.67,19,8.92,27,12.68,12,5.63,13,6.1,41046
41,47,105,76,72.38,10,9.52,7,6.67,6,5.71,6,5.71,41047
45,1,155,61,39.35,20,12.9,39,25.16,23,14.84,12,7.74,45001
45,2,182,90,49.45,35,19.23,25,13.74,24,13.19,8,4.4,45002
45,3,193,77,39.9,30,15.54,43,22.28,30,15.54,13,6.74,45003
45,4,207,92,44.44,28,13.53,60,28.99,16,7.73,11,5.31,45004
45,5,41,21,51.22,2,4.88,6,14.63,10,24.39,2,4.88,45005
45,7,290,140,48.28,39,13.45,63,21.72,34,11.72,14,4.83,45007
45,8,156,60,38.46,35,22.44,23,14.74,18,11.54,20,12.82,45008
45,9,62,21,33.87,13,20.97,7,11.29,16,25.81,5,8.06,45009
45,10,102,39,38.24,15,14.71,16,15.69,19,18.63,13,12.75,45010
45,11,114,59,51.75,18,15.79,14,12.28,14,12.28,9,7.89,45011
45,12,186,72,38.71,36,19.35,40,21.51,21,11.29,17,9.14,45012
45,13,170,56,32.94,27,15.88,48,28.24,25,14.71,14,8.24,45013
45,14,215,95,44.19,31,14.42,37,17.21,32,14.88,20,9.3,45014
45,15,274,125,45.62,37,13.5,64,23.36,30,10.95,18,6.57,45015
45,16,184,83,45.11,21,11.41,40,21.74,23,12.5,17,9.24,45016
45,17,186,69,37.1,30,16.13,37,19.89,30,16.13,20,10.75,45017
45,18,160,63,39.38,33,20.63,24,15.0,21,13.13,19,11.88,45018
45,19,78,27,34.62,15,19.23,12,15.38,13,16.67,11,14.1,45019
45,20,119,36,30.25,29,24.37,18,15.13,16,13.45,20,16.81,45020
45,21,172,70,40.7,21,12.21,38,22.09,19,11.05,24,13.95,45021
45,22,159,62,38.99,28,17.61,26,16.35,18,11.32,25,15.72,45022
45,23,155,65,41.94,22,14.19,28,18.06,19,12.26,21,13.55,45023
45,24,148,80,54.05,16,10.81,15,10.14,20,13.51,17,11.49,45024
45,25,118,60,50.85,16,13.56,13,11.02,18,15.25,11,9.32,45025
45,26,91,41,45.05,5,5.49,16,17.58,8,8.79,21,23.08,45026
45,27,134,66,49.25,27,20.15,12,8.96,16,11.94,13,9.7,45027
45,28,108,41,37.96,21,19.44,22,20.37,12,11.11,12,11.11,45028
45,29,107,44,41.12,10,9.35,25,23.36,13,12.15,15,14.02,45029
45,30,161,70,43.48,30,18.63,28,17.39,19,11.8,14,8.7,45030
45,31,147,78,53.06,16,10.88,20,13.61,20,13.61,13,8.84,45031
45,32,140,70,50.0,20,14.29,17,12.14,18,12.86,15,10.71,45032
45,33,126,73,57.94,12,9.52,21,16.67,14,11.11,6,4.76,45033
45,34,195,89,45.64,36,18.46,26,13.33,25,12.82,19,9.74,45034
45,35,201,102,50.75,19,9.45,44,21.89,21,10.45,15,7.46,45035
45,36,193,86,44.56,32,16.58,32,16.58,24,12.44,19,9.84,45036
45,37,167,90,53.89,19,11.38,30,17.96,12,7.19,16,9.58,45037
45,38,142,76,53.52,25,17.61,19,13.38,14,9.86,8,5.63,45038
45,39,144,69,47.92,27,18.75,19,13.19,10,6.94,19,13.19,45039
45,40,172,90,52.33,28,16.28,17,9.88,20,11.63,17,9.88,45040
45,41,148,69,46.62,24,16.22,20,13.51,19,12.84,16,10.81,45041
45,42,180,102,56.67,27,15.0,12,6.67,23,12.78,16,8.89,45042
45,43,180,96,53.33,18,10.0,14,7.78,36,20.0,16,8.89,45043
45,44,172,126,73.26,12,6.98,9,5.23,13,7.56,12,6.98,45044
45,45,87,49,56.32,14,16.09,9,10.34,7,8.05,8,9.2,45045
45,46,118,62,52.54,14,11.86,13,11.02,14,11.86,15,12.71,45046
45,47,116,51,43.97,20,17.24,16,13.79,14,12.07,15,12.93,45047
45,48,112,45,40.18,25,22.32,14,12.5,13,11.61,15,13.39,45048
47,1,112,52,46.43,9,8.04,34,30.36,13,11.61,4,3.57,47001
47,2,255,143,56.08,22,8.63,60,23.53,25,9.8,5,1.96,47002
47,3,279,159,56.99,28,10.04,38,13.62,34,12.19,20,7.17,47003
47,4,296,160,54.05,30,10.14,62,20.95,36,12.16,8,2.7,47004
47,5,273,133,48.72,28,10.26,61,22.34,39,14.29,12,4.4,47005
47,6,226,114,50.44,40,17.7,47,20.8,17,7.52,8,3.54,47006
47,7,189,90,47.62,28,14.81,40,21.16,23,12.17,8,4.23,47007
47,8,247,154,62.35,19,7.69,42,17.0,21,8.5,11,4.45,47008
47,9,13,9,69.23,2,15.38,1,7.69,1,7.69,0,0.0,47009
47,10,315,171,54.29,42,13.33,54,17.14,40,12.7,8,2.54,47010
47,12,278,150,53.96,35,12.59,60,21.58,23,8.27,10,3.6,47012
47,13,193,98,50.78,18,9.33,52,26.94,16,8.29,9,4.66,47013
47,14,251,149,59.36,23,9.16,51,20.32,26,10.36,2,0.8,47014
47,16,277,158,57.04,41,14.8,39,14.08,25,9.03,14,5.05,47016
47,17,221,137,61.99,25,11.31,34,15.38,18,8.14,7,3.17,47017
47,20,241,107,44.4,22,9.13,61,25.31,40,16.6,11,4.56,47020
47,21,256,139,54.3,25,9.77,52,20.31,26,10.16,14,5.47,47021
47,22,288,170,59.03,25,8.68,52,18.06,29,10.07,12,4.17,47022
47,25,240,126,52.5,31,12.92,49,20.42,25,10.42,9,3.75,47025
47,26,284,128,45.07,41,14.44,71,25.0,37,13.03,7,2.46,47026
47,27,222,118,53.15,32,14.41,40,18.02,23,10.36,9,4.05,47027
47,28,248,136,54.84,29,11.69,45,18.15,28,11.29,10,4.03,47028
47,29,253,141,55.73,27,10.67,53,20.95,28,11.07,4,1.58,47029
47,30,275,130,47.27,38,13.82,48,17.45,50,18.18,9,3.27,47030
47,31,206,107,51.94,29,14.08,34,16.5,29,14.08,7,3.4,47031
47,32,299,165,55.18,31,10.37,47,15.72,45,15.05,11,3.68,47032
47,33,115,75,65.22,7,6.09,23,20.0,5,4.35,5,4.35,47033
47,34,262,111,42.37,27,10.31,83,31.68,32,12.21,9,3.44,47034
47,35,238,139,58.4,25,10.5,45,18.91,21,8.82,8,3.36,47035
47,36,288,149,51.74,32,11.11,63,21.88,38,13.19,6,2.08,47036
47,37,250,126,50.4,23,9.2,55,22.0,36,14.4,10,4.0,47037
47,38,244,107,43.85,28,11.48,64,26.23,36,14.75,9,3.69,47038
47,39,254,126,49.61,23,9.06,58,22.83,35,13.78,12,4.72,47039
47,40,139,65,46.76,9,6.47,42,30.22,19,13.67,4,2.88,47040
47,42,179,79,44.13,32,17.88,34,18.99,22,12.29,12,6.7,47042
47,43,207,84,40.58,22,10.63,68,32.85,27,13.04,6,2.9,47043
47,45,251,138,54.98,22,8.76,50,19.92,33,13.15,8,3.19,47045
47,46,234,125,53.42,34,14.53,47,20.09,21,8.97,7,2.99,47046
47,47,230,114,49.57,26,11.3,50,21.74,29,12.61,11,4.78,47047
47,48,27,13,48.15,5,18.52,2,7.41,6,22.22,1,3.7,47048
50,23,82,31,37.8,14,17.07,9,10.98,13,15.85,15,18.29,50023
50,24,16,7,43.75,3,18.75,1,6.25,3,18.75,2,12.5,50024
50,26,9,4,44.44,3,33.33,1,11.11,0,0.0,1,11.11,50026
50,30,25,10,40.0,5,20.0,5,20.0,4,16.0,1,4.0,50030
50,31,26,7,26.92,7,26.92,3,11.54,6,23.08,3,11.54,50031
