ward,precinct,total,Jesus ''Chuy'' Garcia,Jesus ''Chuy'' Garcia Percent,precinct_id
36,9,118,118,100.0,36009
36,10,146,146,100.0,36010
36,11,82,82,100.0,36011
36,12,69,69,100.0,36012
36,13,82,82,100.0,36013
36,16,34,34,100.0,36016
36,19,166,166,100.0,36019
36,20,64,64,100.0,36020
36,21,25,25,100.0,36021
36,22,95,95,100.0,36022
36,23,89,89,100.0,36023
36,24,23,23,100.0,36024
36,25,113,113,100.0,36025
36,27,120,120,100.0,36027
36,29,59,59,100.0,36029
37,26,7,7,100.0,37026
38,1,130,130,100.0,38001
38,35,85,85,100.0,38035
38,41,186,186,100.0,38041
39,6,1,1,100.0,39006
39,12,59,59,100.0,39012
39,25,1,1,100.0,39025
39,28,130,130,100.0,39028
39,31,158,158,100.0,39031
45,1,147,147,100.0,45001
45,2,182,182,100.0,45002
45,8,149,149,100.0,45008
45,9,169,169,100.0,45009
45,10,164,164,100.0,45010
