ward,precinct,total,Joshua Gray,Joshua Gray Percent,Bill Lowry,Bill Lowry Percent,Patricia Horton,Patricia Horton Percent,Charise A. Williams,Charise A. Williams Percent,Steven R. Wolfe,Steven R. Wolfe Percent,Erick M. Nickerson,Erick M. Nickerson Percent,Horace ''Washington'' Howard,Horace ''Washington'' Howard Percent,precinct_id
4,31,357,16,4.48,170,47.62,41,11.48,64,17.93,33,9.24,6,1.68,27,7.56,04031
4,32,295,34,11.53,99,33.56,59,20.0,58,19.66,22,7.46,3,1.02,20,6.78,04032
4,33,278,27,9.71,113,40.65,34,12.23,50,17.99,28,10.07,6,2.16,20,7.19,04033
4,34,268,21,7.84,83,30.97,56,20.9,59,22.01,15,5.6,3,1.12,31,11.57,04034
4,35,334,22,6.59,145,43.41,42,12.57,67,20.06,29,8.68,5,1.5,24,7.19,04035
4,36,322,26,8.07,108,33.54,59,18.32,81,25.16,19,5.9,3,0.93,26,8.07,04036
4,37,313,18,5.75,129,41.21,72,23.0,59,18.85,12,3.83,1,0.32,22,7.03,04037
4,38,323,21,6.5,122,37.77,58,17.96,67,20.74,27,8.36,2,0.62,26,8.05,04038
5,1,195,17,8.72,58,29.74,45,23.08,40,20.51,7,3.59,5,2.56,23,11.79,05001
5,2,157,13,8.28,51,32.48,27,17.2,27,17.2,11,7.01,3,1.91,25,15.92,05002
5,3,227,16,7.05,117,51.54,34,14.98,30,13.22,8,3.52,2,0.88,20,8.81,05003
5,4,303,39,12.87,103,33.99,42,13.86,63,20.79,26,8.58,5,1.65,25,8.25,05004
5,5,224,29,12.95,68,30.36,42,18.75,36,16.07,18,8.04,6,2.68,25,11.16,05005
5,6,211,35,16.59,71,33.65,41,19.43,26,12.32,12,5.69,2,0.95,24,11.37,05006
5,7,268,10,3.73,123,45.9,32,11.94,43,16.04,40,14.93,1,0.37,19,7.09,05007
5,8,274,30,10.95,155,56.57,30,10.95,36,13.14,8,2.92,4,1.46,11,4.01,05008
5,9,319,38,11.91,139,43.57,48,15.05,52,16.3,18,5.64,2,0.63,22,6.9,05009
5,10,184,24,13.04,50,27.17,39,21.2,37,20.11,11,5.98,1,0.54,22,11.96,05010
5,11,300,18,6.0,136,45.33,48,16.0,54,18.0,16,5.33,3,1.0,25,8.33,05011
5,12,160,13,8.13,47,29.38,47,29.38,23,14.38,13,8.13,1,0.63,16,10.0,05012
5,13,196,18,9.18,63,32.14,41,20.92,47,23.98,9,4.59,1,0.51,17,8.67,05013
5,14,261,46,17.62,99,37.93,30,11.49,51,19.54,12,4.6,3,1.15,20,7.66,05014
5,15,230,20,8.7,83,36.09,29,12.61,46,20.0,21,9.13,2,0.87,29,12.61,05015
5,16,203,21,10.34,50,24.63,36,17.73,50,24.63,8,3.94,1,0.49,37,18.23,05016
5,17,208,27,12.98,70,33.65,37,17.79,38,18.27,13,6.25,5,2.4,18,8.65,05017
5,18,248,28,11.29,114,45.97,34,13.71,27,10.89,18,7.26,1,0.4,26,10.48,05018
5,19,265,30,11.32,132,49.81,37,13.96,42,15.85,11,4.15,1,0.38,12,4.53,05019
5,20,303,18,5.94,161,53.14,46,15.18,39,12.87,21,6.93,2,0.66,16,5.28,05020
5,21,236,20,8.47,117,49.58,31,13.14,33,13.98,18,7.63,0,0.0,17,7.2,05021
5,22,343,12,3.5,142,41.4,37,10.79,39,11.37,98,28.57,3,0.87,12,3.5,05022
5,23,426,30,7.04,225,52.82,52,12.21,74,17.37,20,4.69,2,0.47,23,5.4,05023
5,24,276,31,11.23,117,42.39,37,13.41,54,19.57,11,3.99,3,1.09,23,8.33,05024
5,25,280,57,20.36,117,41.79,37,13.21,23,8.21,24,8.57,3,1.07,19,6.79,05025
5,26,252,32,12.7,82,32.54,60,23.81,33,13.1,12,4.76,5,1.98,28,11.11,05026
5,27,210,19,9.05,118,56.19,22,10.48,32,15.24,9,4.29,0,0.0,10,4.76,05027
5,28,301,54,17.94,101,33.55,42,13.95,51,16.94,19,6.31,4,1.33,30,9.97,05028
5,29,266,36,13.53,96,36.09,40,15.04,47,17.67,16,6.02,1,0.38,30,11.28,05029
5,30,173,19,10.98,52,30.06,37,21.39,31,17.92,8,4.62,1,0.58,25,14.45,05030
5,31,194,26,13.4,63,32.47,39,20.1,31,15.98,12,6.19,1,0.52,22,11.34,05031
5,32,324,29,8.95,103,31.79,81,25.0,47,14.51,27,8.33,3,0.93,34,10.49,05032
5,33,280,32,11.43,76,27.14,43,15.36,58,20.71,20,7.14,4,1.43,47,16.79,05033
5,34,257,13,5.06,147,57.2,31,12.06,43,16.73,13,5.06,1,0.39,9,3.5,05034
5,35,289,26,9.0,142,49.13,38,13.15,34,11.76,29,10.03,2,0.69,18,6.23,05035
5,36,132,20,15.15,45,34.09,30,22.73,12,9.09,12,9.09,1,0.76,12,9.09,05036
5,37,282,20,7.09,132,46.81,44,15.6,40,14.18,22,7.8,9,3.19,15,5.32,05037
5,38,230,24,10.43,76,33.04,45,19.57,42,18.26,10,4.35,4,1.74,29,12.61,05038
5,39,230,22,9.57,125,54.35,40,17.39,20,8.7,11,4.78,0,0.0,12,5.22,05039
5,40,194,28,14.43,63,32.47,34,17.53,38,19.59,8,4.12,3,1.55,20,10.31,05040
5,41,173,12,6.94,90,52.02,19,10.98,16,9.25,29,16.76,2,1.16,5,2.89,05041
6,6,231,23,9.96,77,33.33,53,22.94,40,17.32,13,5.63,2,0.87,23,9.96,06006
6,7,199,15,7.54,40,20.1,49,24.62,43,21.61,23,11.56,4,2.01,25,12.56,06007
6,10,87,16,18.39,28,32.18,16,18.39,17,19.54,4,4.6,0,0.0,6,6.9,06010
6,12,43,8,18.6,14,32.56,8,18.6,9,20.93,0,0.0,0,0.0,4,9.3,06012
6,16,212,18,8.49,36,16.98,66,31.13,45,21.23,17,8.02,3,1.42,27,12.74,06016
6,17,129,10,7.75,38,29.46,27,20.93,27,20.93,15,11.63,3,2.33,9,6.98,06017
6,19,148,19,12.84,41,27.7,34,22.97,30,20.27,4,2.7,1,0.68,19,12.84,06019
6,20,110,13,11.82,27,24.55,28,25.45,17,15.45,10,9.09,4,3.64,11,10.0,06020
6,30,149,12,8.05,39,26.17,39,26.17,26,17.45,12,8.05,2,1.34,19,12.75,06030
6,32,210,25,11.9,57,27.14,49,23.33,39,18.57,19,9.05,4,1.9,17,8.1,06032
6,33,207,14,6.76,69,33.33,47,22.71,40,19.32,18,8.7,3,1.45,16,7.73,06033
6,39,170,14,8.24,50,29.41,45,26.47,27,15.88,12,7.06,3,1.76,19,11.18,06039
6,40,189,16,8.47,53,28.04,43,22.75,30,15.87,26,13.76,2,1.06,19,10.05,06040
6,43,153,14,9.15,49,32.03,42,27.45,19,12.42,7,4.58,2,1.31,20,13.07,06043
6,47,156,19,12.18,47,30.13,33,21.15,24,15.38,12,7.69,5,3.21,16,10.26,06047
6,48,134,11,8.21,37,27.61,41,30.6,21,15.67,10,7.46,3,2.24,11,8.21,06048
8,1,177,16,9.04,48,27.12,36,20.34,31,17.51,16,9.04,4,2.26,26,14.69,08001
8,2,185,21,11.35,42,22.7,56,30.27,40,21.62,3,1.62,6,3.24,17,9.19,08002
8,9,147,14,9.52,37,25.17,35,23.81,30,20.41,15,10.2,3,2.04,13,8.84,08009
8,13,227,21,9.25,59,25.99,61,26.87,49,21.59,8,3.52,1,0.44,28,12.33,08013
8,14,117,11,9.4,20,17.09,43,36.75,20,17.09,7,5.98,3,2.56,13,11.11,08014
8,16,60,5,8.33,19,31.67,13,21.67,7,11.67,3,5.0,3,5.0,10,16.67,08016
8,18,154,19,12.34,33,21.43,42,27.27,27,17.53,10,6.49,6,3.9,17,11.04,08018
8,20,254,27,10.63,85,33.46,51,20.08,46,18.11,13,5.12,1,0.39,31,12.2,08020
8,21,274,19,6.93,96,35.04,69,25.18,41,14.96,16,5.84,2,0.73,31,11.31,08021
8,26,208,23,11.06,65,31.25,34,16.35,39,18.75,19,9.13,2,0.96,26,12.5,08026
8,28,170,24,14.12,48,28.24,47,27.65,26,15.29,9,5.29,3,1.76,13,7.65,08028
8,42,269,32,11.9,84,31.23,62,23.05,50,18.59,12,4.46,4,1.49,25,9.29,08042
8,43,97,8,8.25,26,26.8,30,30.93,8,8.25,4,4.12,3,3.09,18,18.56,08043
8,45,169,17,10.06,34,20.12,48,28.4,29,17.16,16,9.47,6,3.55,19,11.24,08045
8,54,126,14,11.11,24,19.05,31,24.6,26,20.63,4,3.17,5,3.97,22,17.46,08054
8,55,202,12,5.94,72,35.64,42,20.79,33,16.34,18,8.91,4,1.98,21,10.4,08055
17,2,151,13,8.61,45,29.8,41,27.15,29,19.21,14,9.27,1,0.66,8,5.3,17002
17,4,234,29,12.39,81,34.62,47,20.09,30,12.82,14,5.98,5,2.14,28,11.97,17004
17,9,150,11,7.33,64,42.67,29,19.33,17,11.33,10,6.67,3,2.0,16,10.67,17009
17,10,234,24,10.26,62,26.5,52,22.22,47,20.09,16,6.84,6,2.56,27,11.54,17010
17,15,174,25,14.37,40,22.99,40,22.99,30,17.24,9,5.17,3,1.72,27,15.52,17015
17,18,214,28,13.08,62,28.97,41,19.16,44,20.56,15,7.01,0,0.0,24,11.21,17018
17,20,257,24,9.34,90,35.02,45,17.51,45,17.51,24,9.34,7,2.72,22,8.56,17020
17,21,262,37,14.12,78,29.77,51,19.47,37,14.12,32,12.21,3,1.15,24,9.16,17021
17,22,149,13,8.72,42,28.19,38,25.5,20,13.42,18,12.08,3,2.01,15,10.07,17022
17,24,219,25,11.42,71,32.42,51,23.29,37,16.89,17,7.76,2,0.91,16,7.31,17024
17,26,190,21,11.05,64,33.68,42,22.11,21,11.05,12,6.32,5,2.63,25,13.16,17026
17,27,183,26,14.21,66,36.07,21,11.48,35,19.13,11,6.01,1,0.55,23,12.57,17027
17,29,161,15,9.32,46,28.57,41,25.47,29,18.01,5,3.11,4,2.48,21,13.04,17029
17,38,151,12,7.95,43,28.48,41,27.15,21,13.91,13,8.61,3,1.99,18,11.92,17038
17,39,180,25,13.89,56,31.11,44,24.44,23,12.78,14,7.78,3,1.67,15,8.33,17039
17,40,220,26,11.82,74,33.64,43,19.55,45,20.45,15,6.82,1,0.45,16,7.27,17040
17,41,238,18,7.56,78,32.77,59,24.79,31,13.03,25,10.5,7,2.94,20,8.4,17041
18,1,141,19,13.48,39,27.66,36,25.53,24,17.02,9,6.38,2,1.42,12,8.51,18001
18,4,249,31,12.45,53,21.29,39,15.66,77,30.92,28,11.24,2,0.8,19,7.63,18004
18,7,158,11,6.96,37,23.42,35,22.15,38,24.05,18,11.39,2,1.27,17,10.76,18007
18,8,206,25,12.14,44,21.36,49,23.79,48,23.3,12,5.83,5,2.43,23,11.17,18008
18,9,246,38,15.45,55,22.36,53,21.54,52,21.14,19,7.72,7,2.85,22,8.94,18009
18,10,291,25,8.59,40,13.75,74,25.43,98,33.68,22,7.56,4,1.37,28,9.62,18010
18,12,185,30,16.22,29,15.68,50,27.03,39,21.08,10,5.41,6,3.24,21,11.35,18012
18,13,216,22,10.19,39,18.06,54,25.0,62,28.7,22,10.19,1,0.46,16,7.41,18013
18,14,205,19,9.27,64,31.22,38,18.54,43,20.98,21,10.24,2,0.98,18,8.78,18014
18,16,186,24,12.9,31,16.67,36,19.35,46,24.73,29,15.59,3,1.61,17,9.14,18016
18,18,212,28,13.21,50,23.58,42,19.81,49,23.11,24,11.32,3,1.42,16,7.55,18018
18,19,213,26,12.21,52,24.41,48,22.54,40,18.78,18,8.45,2,0.94,27,12.68,18019
18,20,161,21,13.04,33,20.5,42,26.09,29,18.01,15,9.32,2,1.24,19,11.8,18020
18,21,249,23,9.24,56,22.49,57,22.89,62,24.9,20,8.03,1,0.4,30,12.05,18021
18,22,254,29,11.42,65,25.59,59,23.23,44,17.32,27,10.63,6,2.36,24,9.45,18022
18,23,160,16,10.0,40,25.0,34,21.25,41,25.63,8,5.0,1,0.63,20,12.5,18023
18,26,270,45,16.67,44,16.3,54,20.0,61,22.59,51,18.89,0,0.0,15,5.56,18026
18,29,3,0,0.0,1,33.33,2,66.67,0,0.0,0,0.0,0,0.0,0,0.0,18029
18,31,200,16,8.0,46,23.0,52,26.0,46,23.0,14,7.0,7,3.5,19,9.5,18031
18,33,32,1,3.13,6,18.75,13,40.63,2,6.25,6,18.75,0,0.0,4,12.5,18033
18,34,272,39,14.34,90,33.09,39,14.34,58,21.32,23,8.46,4,1.47,19,6.99,18034
18,35,276,25,9.06,63,22.83,66,23.91,64,23.19,34,12.32,4,1.45,20,7.25,18035
18,36,30,5,16.67,10,33.33,7,23.33,5,16.67,1,3.33,1,3.33,1,3.33,18036
18,37,247,35,14.17,40,16.19,71,28.74,52,21.05,16,6.48,4,1.62,29,11.74,18037
18,38,191,35,18.32,53,27.75,36,18.85,32,16.75,8,4.19,4,2.09,23,12.04,18038
18,41,244,22,9.02,45,18.44,62,25.41,51,20.9,30,12.3,3,1.23,31,12.7,18041
18,42,142,18,12.68,28,19.72,37,26.06,32,22.54,15,10.56,1,0.7,11,7.75,18042
18,48,4,1,25.0,0,0.0,2,50.0,1,25.0,0,0.0,0,0.0,0,0.0,18048
20,1,211,28,13.27,48,22.75,47,22.27,39,18.48,14,6.64,1,0.47,34,16.11,20001
20,3,163,11,6.75,41,25.15,45,27.61,27,16.56,14,8.59,5,3.07,20,12.27,20003
20,5,216,28,12.96,50,23.15,36,16.67,43,19.91,21,9.72,5,2.31,33,15.28,20005
20,8,198,18,9.09,46,23.23,52,26.26,35,17.68,15,7.58,5,2.53,27,13.64,20008
20,9,270,28,10.37,71,26.3,63,23.33,42,15.56,18,6.67,4,1.48,44,16.3,20009
20,10,133,14,10.53,31,23.31,39,29.32,21,15.79,13,9.77,3,2.26,12,9.02,20010
20,14,103,16,15.53,25,24.27,23,22.33,8,7.77,14,13.59,0,0.0,17,16.5,20014
20,16,204,22,10.78,55,26.96,38,18.63,37,18.14,18,8.82,4,1.96,30,14.71,20016
20,18,131,9,6.87,29,22.14,33,25.19,23,17.56,13,9.92,5,3.82,19,14.5,20018
20,19,142,9,6.34,24,16.9,46,32.39,27,19.01,13,9.15,3,2.11,20,14.08,20019
20,22,244,30,12.3,82,33.61,37,15.16,49,20.08,13,5.33,4,1.64,29,11.89,20022
20,24,184,20,10.87,44,23.91,48,26.09,31,16.85,8,4.35,3,1.63,30,16.3,20024
20,26,228,32,14.04,35,15.35,36,15.79,49,21.49,20,8.77,2,0.88,54,23.68,20026
20,28,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,20028
20,33,142,13,9.15,31,21.83,29,20.42,29,20.42,15,10.56,1,0.7,24,16.9,20033
20,34,237,23,9.7,56,23.63,36,15.19,63,26.58,11,4.64,4,1.69,44,18.57,20034
20,35,15,2,13.33,4,26.67,4,26.67,1,6.67,3,20.0,0,0.0,1,6.67,20035
21,4,196,15,7.65,58,29.59,50,25.51,39,19.9,16,8.16,2,1.02,16,8.16,21004
21,15,172,14,8.14,48,27.91,44,25.58,32,18.6,15,8.72,4,2.33,15,8.72,21015
21,26,183,14,7.65,46,25.14,48,26.23,36,19.67,13,7.1,1,0.55,25,13.66,21026
21,28,243,22,9.05,58,23.87,64,26.34,45,18.52,30,12.35,2,0.82,22,9.05,21028
21,30,168,16,9.52,54,32.14,39,23.21,29,17.26,4,2.38,5,2.98,21,12.5,21030
21,34,3,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,21034
21,43,39,3,7.69,10,25.64,8,20.51,8,20.51,8,20.51,0,0.0,2,5.13,21043
21,47,166,9,5.42,49,29.52,45,27.11,28,16.87,16,9.64,0,0.0,19,11.45,21047
21,51,200,19,9.5,60,30.0,38,19.0,36,18.0,17,8.5,5,2.5,25,12.5,21051
21,52,146,15,10.27,31,21.23,36,24.66,31,21.23,8,5.48,3,2.05,22,15.07,21052
21,53,6,1,16.67,1,16.67,1,16.67,2,33.33,0,0.0,0,0.0,1,16.67,21053
21,54,189,19,10.05,46,24.34,41,21.69,41,21.69,17,8.99,4,2.12,21,11.11,21054
25,21,115,13,11.3,34,29.57,26,22.61,26,22.61,7,6.09,1,0.87,8,6.96,25021
27,6,140,21,15.0,25,17.86,33,23.57,21,15.0,18,12.86,4,2.86,18,12.86,27006
27,9,74,6,8.11,18,24.32,20,27.03,15,20.27,4,5.41,1,1.35,10,13.51,27009
27,12,86,15,17.44,34,39.53,18,20.93,7,8.14,8,9.3,0,0.0,4,4.65,27012
27,20,95,7,7.37,32,33.68,25,26.32,13,13.68,5,5.26,4,4.21,9,9.47,27020
27,21,121,13,10.74,44,36.36,32,26.45,17,14.05,7,5.79,1,0.83,7,5.79,27021
27,37,166,21,12.65,37,22.29,48,28.92,23,13.86,9,5.42,7,4.22,21,12.65,27037
27,38,285,39,13.68,83,29.12,84,29.47,33,11.58,16,5.61,9,3.16,21,7.37,27038
27,42,104,14,13.46,20,19.23,28,26.92,22,21.15,6,5.77,3,2.88,11,10.58,27042
27,46,89,4,4.49,40,44.94,26,29.21,9,10.11,8,8.99,1,1.12,1,1.12,27046
27,47,147,14,9.52,47,31.97,39,26.53,17,11.56,10,6.8,4,2.72,16,10.88,27047
27,48,210,29,13.81,54,25.71,54,25.71,26,12.38,19,9.05,10,4.76,18,8.57,27048
42,1,170,16,9.41,66,38.82,40,23.53,17,10.0,26,15.29,2,1.18,3,1.76,42001
42,2,131,12,9.16,46,35.11,39,29.77,13,9.92,11,8.4,2,1.53,8,6.11,42002
42,4,216,21,9.72,66,30.56,68,31.48,31,14.35,15,6.94,5,2.31,10,4.63,42004
42,6,259,15,5.79,111,42.86,64,24.71,20,7.72,29,11.2,10,3.86,10,3.86,42006
42,7,181,17,9.39,65,35.91,60,33.15,19,10.5,9,4.97,3,1.66,8,4.42,42007
42,8,156,11,7.05,57,36.54,48,30.77,17,10.9,13,8.33,2,1.28,8,5.13,42008
42,11,131,8,6.11,55,41.98,34,25.95,16,12.21,12,9.16,1,0.76,5,3.82,42011
42,13,201,20,9.95,88,43.78,48,23.88,12,5.97,21,10.45,5,2.49,7,3.48,42013
42,19,52,6,11.54,22,42.31,14,26.92,6,11.54,1,1.92,0,0.0,3,5.77,42019
42,24,157,9,5.73,51,32.48,47,29.94,20,12.74,22,14.01,1,0.64,7,4.46,42024
42,26,160,18,11.25,46,28.75,56,35.0,15,9.38,8,5.0,2,1.25,15,9.38,42026
42,28,218,16,7.34,83,38.07,70,32.11,29,13.3,11,5.05,3,1.38,6,2.75,42028
42,29,149,9,6.04,58,38.93,33,22.15,25,16.78,10,6.71,2,1.34,12,8.05,42029
42,30,167,3,1.8,64,38.32,61,36.53,14,8.38,15,8.98,3,1.8,7,4.19,42030
42,31,163,10,6.13,61,37.42,48,29.45,20,12.27,12,7.36,4,2.45,8,4.91,42031
42,33,92,3,3.26,34,36.96,31,33.7,11,11.96,5,5.43,2,2.17,6,6.52,42033
42,34,143,17,11.89,66,46.15,26,18.18,12,8.39,15,10.49,2,1.4,5,3.5,42034
42,35,225,17,7.56,72,32.0,73,32.44,29,12.89,16,7.11,1,0.44,17,7.56,42035
42,40,134,13,9.7,36,26.87,47,35.07,13,9.7,10,7.46,1,0.75,14,10.45,42040
43,28,192,21,10.94,49,25.52,56,29.17,25,13.02,22,11.46,1,0.52,18,9.38,43028
43,33,203,20,9.85,77,37.93,51,25.12,30,14.78,20,9.85,2,0.99,3,1.48,43033
43,35,225,20,8.89,92,40.89,57,25.33,22,9.78,18,8.0,5,2.22,11,4.89,43035
43,38,155,10,6.45,76,49.03,29,18.71,17,10.97,14,9.03,4,2.58,5,3.23,43038
43,43,201,13,6.47,83,41.29,56,27.86,26,12.94,18,8.96,3,1.49,2,1.0,43043
