ward,precinct,total,Cecilia Anne Horan,Cecilia Anne Horan Percent,Keith L. Spence,Keith L. Spence Percent,precinct_id
2,12,181,154,85.08,27,14.92,02012
2,13,174,162,93.1,12,6.9,02013
2,14,200,178,89.0,22,11.0,02014
2,15,181,163,90.06,18,9.94,02015
2,16,159,136,85.53,23,14.47,02016
2,17,247,236,95.55,11,4.45,02017
2,18,161,148,91.93,13,8.07,02018
2,19,116,104,89.66,12,10.34,02019
2,20,131,127,96.95,4,3.05,02020
2,21,204,195,95.59,9,4.41,02021
2,22,156,146,93.59,10,6.41,02022
2,23,131,122,93.13,9,6.87,02023
2,24,154,138,89.61,16,10.39,02024
2,25,175,161,92.0,14,8.0,02025
2,26,122,105,86.07,17,13.93,02026
2,27,137,120,87.59,17,12.41,02027
2,28,164,149,90.85,15,9.15,02028
2,29,182,162,89.01,20,10.99,02029
2,30,143,130,90.91,13,9.09,02030
2,31,230,210,91.3,20,8.7,02031
2,32,136,117,86.03,19,13.97,02032
2,33,266,245,92.11,21,7.89,02033
2,34,194,176,90.72,18,9.28,02034
2,35,150,132,88.0,18,12.0,02035
2,36,137,129,94.16,8,5.84,02036
2,37,161,136,84.47,25,15.53,02037
2,38,129,119,92.25,10,7.75,02038
2,39,105,91,86.67,14,13.33,02039
2,40,169,150,88.76,19,11.24,02040
2,41,112,104,92.86,8,7.14,02041
2,42,136,112,82.35,24,17.65,02042
2,43,154,143,92.86,11,7.14,02043
2,44,107,98,91.59,9,8.41,02044
2,45,179,139,77.65,40,22.35,02045
2,46,85,73,85.88,12,14.12,02046
3,1,288,200,69.44,88,30.56,03001
3,2,352,249,70.74,103,29.26,03002
3,3,176,144,81.82,32,18.18,03003
3,4,253,173,68.38,80,31.62,03004
3,5,126,85,67.46,41,32.54,03005
3,6,212,177,83.49,35,16.51,03006
3,7,194,131,67.53,63,32.47,03007
3,8,159,99,62.26,60,37.74,03008
3,9,218,152,69.72,66,30.28,03009
3,10,107,74,69.16,33,30.84,03010
3,11,218,136,62.39,82,37.61,03011
3,12,281,187,66.55,94,33.45,03012
3,13,258,226,87.6,32,12.4,03013
3,14,191,143,74.87,48,25.13,03014
3,15,200,126,63.0,74,37.0,03015
3,16,187,125,66.84,62,33.16,03016
3,17,204,160,78.43,44,21.57,03017
3,18,276,194,70.29,82,29.71,03018
3,19,209,177,84.69,32,15.31,03019
3,20,219,142,64.84,77,35.16,03020
3,21,247,209,84.62,38,15.38,03021
3,22,219,189,86.3,30,13.7,03022
3,23,172,120,69.77,52,30.23,03023
3,24,199,131,65.83,68,34.17,03024
3,25,300,259,86.33,41,13.67,03025
3,26,276,233,84.42,43,15.58,03026
3,27,225,183,81.33,42,18.67,03027
3,28,159,105,66.04,54,33.96,03028
3,29,210,150,71.43,60,28.57,03029
3,30,223,146,65.47,77,34.53,03030
3,31,257,168,65.37,89,34.63,03031
3,32,217,184,84.79,33,15.21,03032
3,33,197,172,87.31,25,12.69,03033
3,34,234,184,78.63,50,21.37,03034
3,35,80,56,70.0,24,30.0,03035
3,36,125,77,61.6,48,38.4,03036
3,37,182,123,67.58,59,32.42,03037
3,38,248,170,68.55,78,31.45,03038
3,39,252,226,89.68,26,10.32,03039
3,40,238,166,69.75,72,30.25,03040
3,41,195,129,66.15,66,33.85,03041
4,1,322,273,84.78,49,15.22,04001
4,2,255,225,88.24,30,11.76,04002
4,3,194,117,60.31,77,39.69,04003
4,4,307,202,65.8,105,34.2,04004
4,5,256,152,59.38,104,40.63,04005
4,6,310,226,72.9,84,27.1,04006
4,7,345,228,66.09,117,33.91,04007
4,8,283,198,69.96,85,30.04,04008
4,9,328,240,73.17,88,26.83,04009
4,10,305,197,64.59,108,35.41,04010
4,11,212,141,66.51,71,33.49,04011
4,12,249,172,69.08,77,30.92,04012
4,13,156,137,87.82,19,12.18,04013
4,14,261,183,70.11,78,29.89,04014
4,15,298,213,71.48,85,28.52,04015
4,16,273,247,90.48,26,9.52,04016
4,17,256,230,89.84,26,10.16,04017
4,18,266,166,62.41,100,37.59,04018
4,19,160,107,66.88,53,33.13,04019
4,20,216,183,84.72,33,15.28,04020
4,21,214,183,85.51,31,14.49,04021
4,22,234,191,81.62,43,18.38,04022
4,23,336,287,85.42,49,14.58,04023
4,24,232,171,73.71,61,26.29,04024
4,25,225,197,87.56,28,12.44,04025
4,26,230,159,69.13,71,30.87,04026
4,27,290,222,76.55,68,23.45,04027
4,28,206,142,68.93,64,31.07,04028
4,29,219,143,65.3,76,34.7,04029
4,30,275,180,65.45,95,34.55,04030
4,31,322,226,70.19,96,29.81,04031
4,32,256,166,64.84,90,35.16,04032
4,33,240,173,72.08,67,27.92,04033
4,34,213,148,69.48,65,30.52,04034
4,35,309,215,69.58,94,30.42,04035
4,36,286,194,67.83,92,32.17,04036
4,37,300,269,89.67,31,10.33,04037
4,38,297,220,74.07,77,25.93,04038
5,1,178,119,66.85,59,33.15,05001
5,2,141,98,69.5,43,30.5,05002
5,3,203,175,86.21,28,13.79,05003
5,4,268,200,74.63,68,25.37,05004
5,5,189,136,71.96,53,28.04,05005
5,6,188,122,64.89,66,35.11,05006
5,7,236,177,75.0,59,25.0,05007
5,8,249,232,93.17,17,6.83,05008
5,9,284,237,83.45,47,16.55,05009
5,10,169,112,66.27,57,33.73,05010
5,11,280,216,77.14,64,22.86,05011
5,12,143,98,68.53,45,31.47,05012
5,13,168,112,66.67,56,33.33,05013
5,14,220,126,57.27,94,42.73,05014
5,15,202,151,74.75,51,25.25,05015
5,16,177,112,63.28,65,36.72,05016
5,17,166,102,61.45,64,38.55,05017
5,18,216,171,79.17,45,20.83,05018
5,19,236,212,89.83,24,10.17,05019
5,20,257,206,80.16,51,19.84,05020
5,21,210,176,83.81,34,16.19,05021
5,22,285,245,85.96,40,14.04,05022
5,23,373,320,85.79,53,14.21,05023
5,24,255,200,78.43,55,21.57,05024
5,25,235,147,62.55,88,37.45,05025
5,26,245,159,64.9,86,35.1,05026
5,27,200,184,92.0,16,8.0,05027
5,28,270,159,58.89,111,41.11,05028
5,29,233,162,69.53,71,30.47,05029
5,30,149,107,71.81,42,28.19,05030
5,31,167,104,62.28,63,37.72,05031
5,32,298,216,72.48,82,27.52,05032
5,33,257,173,67.32,84,32.68,05033
5,34,233,221,94.85,12,5.15,05034
5,35,267,223,83.52,44,16.48,05035
5,36,116,68,58.62,48,41.38,05036
5,37,263,224,85.17,39,14.83,05037
5,38,211,128,60.66,83,39.34,05038
5,39,208,188,90.38,20,9.62,05039
5,40,172,106,61.63,66,38.37,05040
5,41,145,120,82.76,25,17.24,05041
6,1,237,142,59.92,95,40.08,06001
6,2,209,126,60.29,83,39.71,06002
6,3,221,156,70.59,65,29.41,06003
6,4,118,76,64.41,42,35.59,06004
6,5,102,61,59.8,41,40.2,06005
6,6,211,143,67.77,68,32.23,06006
6,7,188,132,70.21,56,29.79,06007
6,8,195,117,60.0,78,40.0,06008
6,9,153,81,52.94,72,47.06,06009
6,10,104,60,57.69,44,42.31,06010
6,11,152,95,62.5,57,37.5,06011
6,12,109,64,58.72,45,41.28,06012
6,13,143,81,56.64,62,43.36,06013
6,14,189,112,59.26,77,40.74,06014
6,15,113,65,57.52,48,42.48,06015
6,16,228,141,61.84,87,38.16,06016
6,17,113,68,60.18,45,39.82,06017
6,18,92,53,57.61,39,42.39,06018
6,19,153,90,58.82,63,41.18,06019
6,20,94,62,65.96,32,34.04,06020
6,21,84,51,60.71,33,39.29,06021
6,22,103,70,67.96,33,32.04,06022
6,23,62,33,53.23,29,46.77,06023
6,24,99,64,64.65,35,35.35,06024
6,25,93,48,51.61,45,48.39,06025
6,26,113,71,62.83,42,37.17,06026
6,27,90,62,68.89,28,31.11,06027
6,28,82,52,63.41,30,36.59,06028
6,29,238,142,59.66,96,40.34,06029
6,30,138,80,57.97,58,42.03,06030
6,31,248,159,64.11,89,35.89,06031
6,32,187,130,69.52,57,30.48,06032
6,33,186,122,65.59,64,34.41,06033
6,34,207,127,61.35,80,38.65,06034
6,35,189,121,64.02,68,35.98,06035
6,36,257,165,64.2,92,35.8,06036
6,37,238,155,65.13,83,34.87,06037
6,38,221,149,67.42,72,32.58,06038
6,39,156,103,66.03,53,33.97,06039
6,40,166,98,59.04,68,40.96,06040
6,41,205,117,57.07,88,42.93,06041
6,42,158,102,64.56,56,35.44,06042
6,43,162,102,62.96,60,37.04,06043
6,44,161,105,65.22,56,34.78,06044
6,45,204,134,65.69,70,34.31,06045
6,46,123,83,67.48,40,32.52,06046
6,47,137,82,59.85,55,40.15,06047
6,48,185,116,62.7,69,37.3,06048
7,1,161,94,58.39,67,41.61,07001
7,2,153,90,58.82,63,41.18,07002
7,3,234,149,63.68,85,36.32,07003
7,4,190,123,64.74,67,35.26,07004
7,5,148,96,64.86,52,35.14,07005
7,6,225,156,69.33,69,30.67,07006
7,7,150,100,66.67,50,33.33,07007
7,8,151,101,66.89,50,33.11,07008
7,9,316,215,68.04,101,31.96,07009
7,10,214,141,65.89,73,34.11,07010
7,11,145,91,62.76,54,37.24,07011
7,12,153,85,55.56,68,44.44,07012
7,13,120,73,60.83,47,39.17,07013
7,14,182,121,66.48,61,33.52,07014
7,15,196,137,69.9,59,30.1,07015
7,16,145,82,56.55,63,43.45,07016
7,17,134,84,62.69,50,37.31,07017
7,18,136,85,62.5,51,37.5,07018
7,19,192,112,58.33,80,41.67,07019
7,20,127,74,58.27,53,41.73,07020
7,21,138,96,69.57,42,30.43,07021
7,22,160,101,63.13,59,36.88,07022
7,23,222,142,63.96,80,36.04,07023
7,24,149,94,63.09,55,36.91,07024
7,25,116,83,71.55,33,28.45,07025
7,26,154,100,64.94,54,35.06,07026
7,27,155,107,69.03,48,30.97,07027
7,28,109,59,54.13,50,45.87,07028
7,29,146,87,59.59,59,40.41,07029
7,30,121,82,67.77,39,32.23,07030
7,31,98,62,63.27,36,36.73,07031
7,32,316,197,62.34,119,37.66,07032
7,33,310,205,66.13,105,33.87,07033
7,34,233,145,62.23,88,37.77,07034
7,35,187,126,67.38,61,32.62,07035
7,36,250,162,64.8,88,35.2,07036
7,37,203,133,65.52,70,34.48,07037
7,38,161,96,59.63,65,40.37,07038
7,39,174,109,62.64,65,37.36,07039
7,40,165,115,69.7,50,30.3,07040
7,41,160,119,74.38,41,25.63,07041
7,42,175,119,68.0,56,32.0,07042
7,43,188,117,62.23,71,37.77,07043
7,44,138,93,67.39,45,32.61,07044
7,45,140,91,65.0,49,35.0,07045
7,46,92,56,60.87,36,39.13,07046
8,1,161,96,59.63,65,40.37,08001
8,2,169,99,58.58,70,41.42,08002
8,3,249,145,58.23,104,41.77,08003
8,4,237,146,61.6,91,38.4,08004
8,5,243,145,59.67,98,40.33,08005
8,6,216,144,66.67,72,33.33,08006
8,7,256,189,73.83,67,26.17,08007
8,8,237,147,62.03,90,37.97,08008
8,9,155,110,70.97,45,29.03,08009
8,10,301,190,63.12,111,36.88,08010
8,11,183,129,70.49,54,29.51,08011
8,12,158,100,63.29,58,36.71,08012
8,13,212,138,65.09,74,34.91,08013
8,14,109,68,62.39,41,37.61,08014
8,15,169,124,73.37,45,26.63,08015
8,16,60,33,55.0,27,45.0,08016
8,17,188,126,67.02,62,32.98,08017
8,18,136,93,68.38,43,31.62,08018
8,19,257,163,63.42,94,36.58,08019
8,20,240,141,58.75,99,41.25,08020
8,21,232,136,58.62,96,41.38,08021
8,22,184,122,66.3,62,33.7,08022
8,23,168,112,66.67,56,33.33,08023
8,24,138,80,57.97,58,42.03,08024
8,25,176,119,67.61,57,32.39,08025
8,26,184,110,59.78,74,40.22,08026
8,27,237,142,59.92,95,40.08,08027
8,28,207,119,57.49,88,42.51,08028
8,29,230,145,63.04,85,36.96,08029
8,30,191,112,58.64,79,41.36,08030
8,31,155,110,70.97,45,29.03,08031
8,32,144,105,72.92,39,27.08,08032
8,33,178,109,61.24,69,38.76,08033
8,34,200,129,64.5,71,35.5,08034
8,35,228,141,61.84,87,38.16,08035
8,36,208,139,66.83,69,33.17,08036
8,37,192,125,65.1,67,34.9,08037
8,38,125,72,57.6,53,42.4,08038
8,39,182,121,66.48,61,33.52,08039
8,40,164,104,63.41,60,36.59,08040
8,41,202,135,66.83,67,33.17,08041
8,42,240,155,64.58,85,35.42,08042
8,43,84,52,61.9,32,38.1,08043
8,44,125,85,68.0,40,32.0,08044
8,45,148,99,66.89,49,33.11,08045
8,46,149,94,63.09,55,36.91,08046
8,47,152,104,68.42,48,31.58,08047
8,48,172,110,63.95,62,36.05,08048
8,49,176,112,63.64,64,36.36,08049
8,50,210,135,64.29,75,35.71,08050
8,51,231,138,59.74,93,40.26,08051
8,52,282,188,66.67,94,33.33,08052
8,53,110,71,64.55,39,35.45,08053
8,54,122,83,68.03,39,31.97,08054
8,55,180,119,66.11,61,33.89,08055
8,56,222,138,62.16,84,37.84,08056
9,1,190,108,56.84,82,43.16,09001
9,2,171,114,66.67,57,33.33,09002
9,3,112,73,65.18,39,34.82,09003
9,4,136,92,67.65,44,32.35,09004
9,5,187,109,58.29,78,41.71,09005
9,6,181,106,58.56,75,41.44,09006
9,7,147,104,70.75,43,29.25,09007
9,8,157,97,61.78,60,38.22,09008
9,9,219,144,65.75,75,34.25,09009
9,10,139,82,58.99,57,41.01,09010
9,11,126,77,61.11,49,38.89,09011
9,12,241,149,61.83,92,38.17,09012
9,13,222,155,69.82,67,30.18,09013
9,14,243,159,65.43,84,34.57,09014
9,15,107,69,64.49,38,35.51,09015
9,16,173,107,61.85,66,38.15,09016
9,17,125,85,68.0,40,32.0,09017
9,18,130,81,62.31,49,37.69,09018
9,19,175,117,66.86,58,33.14,09019
9,20,211,125,59.24,86,40.76,09020
9,21,163,101,61.96,62,38.04,09021
9,22,203,139,68.47,64,31.53,09022
9,23,228,148,64.91,80,35.09,09023
9,24,194,141,72.68,53,27.32,09024
9,25,183,125,68.31,58,31.69,09025
9,26,131,85,64.89,46,35.11,09026
9,27,169,118,69.82,51,30.18,09027
9,28,102,77,75.49,25,24.51,09028
9,29,139,101,72.66,38,27.34,09029
9,30,138,88,63.77,50,36.23,09030
9,31,121,86,71.07,35,28.93,09031
9,32,193,100,51.81,93,48.19,09032
9,33,132,79,59.85,53,40.15,09033
9,34,132,88,66.67,44,33.33,09034
9,35,208,139,66.83,69,33.17,09035
9,36,154,97,62.99,57,37.01,09036
9,37,245,185,75.51,60,24.49,09037
9,38,162,107,66.05,55,33.95,09038
9,39,217,124,57.14,93,42.86,09039
9,40,225,139,61.78,86,38.22,09040
9,41,149,94,63.09,55,36.91,09041
9,42,213,135,63.38,78,36.62,09042
9,43,152,100,65.79,52,34.21,09043
9,44,175,107,61.14,68,38.86,09044
9,45,129,90,69.77,39,30.23,09045
9,46,180,128,71.11,52,28.89,09046
9,47,235,150,63.83,85,36.17,09047
9,48,197,121,61.42,76,38.58,09048
9,49,195,125,64.1,70,35.9,09049
9,50,288,179,62.15,109,37.85,09050
9,51,201,125,62.19,76,37.81,09051
10,1,126,87,69.05,39,30.95,10001
10,2,130,91,70.0,39,30.0,10002
10,3,111,81,72.97,30,27.03,10003
10,4,112,73,65.18,39,34.82,10004
10,5,90,64,71.11,26,28.89,10005
10,6,104,86,82.69,18,17.31,10006
10,7,83,67,80.72,16,19.28,10007
10,8,69,46,66.67,23,33.33,10008
10,9,109,84,77.06,25,22.94,10009
10,10,131,106,80.92,25,19.08,10010
10,11,138,111,80.43,27,19.57,10011
10,12,79,62,78.48,17,21.52,10012
10,13,131,101,77.1,30,22.9,10013
10,14,145,116,80.0,29,20.0,10014
10,15,382,243,63.61,139,36.39,10015
10,16,86,68,79.07,18,20.93,10016
10,17,157,117,74.52,40,25.48,10017
10,18,77,60,77.92,17,22.08,10018
10,19,113,88,77.88,25,22.12,10019
10,20,119,96,80.67,23,19.33,10020
10,21,101,77,76.24,24,23.76,10021
10,22,81,71,87.65,10,12.35,10022
10,23,104,91,87.5,13,12.5,10023
10,24,103,75,72.82,28,27.18,10024
10,25,45,31,68.89,14,31.11,10025
10,26,85,68,80.0,17,20.0,10026
10,27,136,97,71.32,39,28.68,10027
10,28,129,88,68.22,41,31.78,10028
10,29,104,81,77.88,23,22.12,10029
10,30,116,99,85.34,17,14.66,10030
10,31,88,67,76.14,21,23.86,10031
10,32,113,93,82.3,20,17.7,10032
10,33,93,76,81.72,17,18.28,10033
10,34,75,60,80.0,15,20.0,10034
10,35,138,115,83.33,23,16.67,10035
10,36,37,25,67.57,12,32.43,10036
11,1,197,165,83.76,32,16.24,11001
11,2,13,8,61.54,5,38.46,11002
11,3,147,136,92.52,11,7.48,11003
11,4,187,162,86.63,25,13.37,11004
11,5,243,203,83.54,40,16.46,11005
11,6,197,170,86.29,27,13.71,11006
11,7,148,114,77.03,34,22.97,11007
11,8,162,138,85.19,24,14.81,11008
11,9,151,127,84.11,24,15.89,11009
11,10,169,131,77.51,38,22.49,11010
11,11,188,154,81.91,34,18.09,11011
11,12,277,238,85.92,39,14.08,11012
11,13,254,219,86.22,35,13.78,11013
11,14,68,52,76.47,16,23.53,11014
11,15,76,65,85.53,11,14.47,11015
11,16,124,101,81.45,23,18.55,11016
11,17,223,184,82.51,39,17.49,11017
11,18,148,126,85.14,22,14.86,11018
11,19,226,189,83.63,37,16.37,11019
11,20,128,107,83.59,21,16.41,11020
11,21,298,262,87.92,36,12.08,11021
11,22,214,174,81.31,40,18.69,11022
11,23,140,129,92.14,11,7.86,11023
11,24,306,269,87.91,37,12.09,11024
11,25,208,182,87.5,26,12.5,11025
11,26,253,216,85.38,37,14.62,11026
11,27,65,54,83.08,11,16.92,11027
11,28,83,68,81.93,15,18.07,11028
11,29,277,257,92.78,20,7.22,11029
11,30,83,66,79.52,17,20.48,11030
11,31,198,155,78.28,43,21.72,11031
11,32,105,96,91.43,9,8.57,11032
11,33,168,141,83.93,27,16.07,11033
11,34,55,45,81.82,10,18.18,11034
11,35,45,37,82.22,8,17.78,11035
11,36,72,56,77.78,16,22.22,11036
11,37,42,37,88.1,5,11.9,11037
11,38,85,72,84.71,13,15.29,11038
12,1,181,148,81.77,33,18.23,12001
12,2,133,99,74.44,34,25.56,12002
12,3,232,196,84.48,36,15.52,12003
12,4,206,165,80.1,41,19.9,12004
12,5,160,128,80.0,32,20.0,12005
12,6,158,119,75.32,39,24.68,12006
12,7,142,119,83.8,23,16.2,12007
12,8,182,149,81.87,33,18.13,12008
12,9,147,123,83.67,24,16.33,12009
12,10,181,150,82.87,31,17.13,12010
12,11,159,129,81.13,30,18.87,12011
12,12,144,118,81.94,26,18.06,12012
12,13,169,144,85.21,25,14.79,12013
12,14,137,104,75.91,33,24.09,12014
12,15,131,103,78.63,28,21.37,12015
12,16,116,96,82.76,20,17.24,12016
12,17,151,131,86.75,20,13.25,12017
12,18,104,89,85.58,15,14.42,12018
12,19,154,127,82.47,27,17.53,12019
12,20,185,153,82.7,32,17.3,12020
12,21,159,134,84.28,25,15.72,12021
12,22,120,93,77.5,27,22.5,12022
12,23,188,158,84.04,30,15.96,12023
13,1,151,115,76.16,36,23.84,13001
13,2,182,141,77.47,41,22.53,13002
13,3,140,119,85.0,21,15.0,13003
13,4,173,135,78.03,38,21.97,13004
13,5,206,171,83.01,35,16.99,13005
13,6,185,143,77.3,42,22.7,13006
13,7,118,101,85.59,17,14.41,13007
13,8,135,106,78.52,29,21.48,13008
13,9,141,121,85.82,20,14.18,13009
13,10,162,116,71.6,46,28.4,13010
13,11,184,146,79.35,38,20.65,13011
13,12,141,112,79.43,29,20.57,13012
13,13,199,178,89.45,21,10.55,13013
13,14,139,110,79.14,29,20.86,13014
13,15,276,240,86.96,36,13.04,13015
13,16,107,92,85.98,15,14.02,13016
13,17,155,126,81.29,29,18.71,13017
13,18,131,104,79.39,27,20.61,13018
13,19,147,124,84.35,23,15.65,13019
13,20,105,82,78.1,23,21.9,13020
13,21,173,134,77.46,39,22.54,13021
13,22,181,143,79.01,38,20.99,13022
13,23,130,113,86.92,17,13.08,13023
13,24,175,149,85.14,26,14.86,13024
13,25,153,128,83.66,25,16.34,13025
13,26,154,129,83.77,25,16.23,13026
13,27,173,132,76.3,41,23.7,13027
13,28,147,117,79.59,30,20.41,13028
13,29,130,108,83.08,22,16.92,13029
13,30,160,139,86.88,21,13.13,13030
13,31,195,155,79.49,40,20.51,13031
13,32,141,112,79.43,29,20.57,13032
13,33,190,147,77.37,43,22.63,13033
13,34,275,246,89.45,29,10.55,13034
13,35,194,177,91.24,17,8.76,13035
13,36,111,85,76.58,26,23.42,13036
13,37,232,175,75.43,57,24.57,13037
13,38,159,130,81.76,29,18.24,13038
13,39,180,149,82.78,31,17.22,13039
13,40,173,144,83.24,29,16.76,13040
13,41,188,160,85.11,28,14.89,13041
13,42,173,141,81.5,32,18.5,13042
13,43,204,167,81.86,37,18.14,13043
13,44,228,200,87.72,28,12.28,13044
13,45,238,197,82.77,41,17.23,13045
13,46,203,167,82.27,36,17.73,13046
13,47,166,143,86.14,23,13.86,13047
13,48,182,149,81.87,33,18.13,13048
14,1,211,174,82.46,37,17.54,14001
14,2,217,174,80.18,43,19.82,14002
14,3,150,123,82.0,27,18.0,14003
14,4,199,154,77.39,45,22.61,14004
14,5,224,190,84.82,34,15.18,14005
14,6,92,83,90.22,9,9.78,14006
14,7,175,157,89.71,18,10.29,14007
14,8,165,147,89.09,18,10.91,14008
14,9,220,176,80.0,44,20.0,14009
14,10,114,94,82.46,20,17.54,14010
14,11,122,104,85.25,18,14.75,14011
14,12,189,158,83.6,31,16.4,14012
14,13,163,139,85.28,24,14.72,14013
14,14,184,156,84.78,28,15.22,14014
14,15,167,133,79.64,34,20.36,14015
14,16,116,98,84.48,18,15.52,14016
14,17,142,123,86.62,19,13.38,14017
14,18,79,56,70.89,23,29.11,14018
14,19,182,153,84.07,29,15.93,14019
14,20,109,87,79.82,22,20.18,14020
14,21,171,141,82.46,30,17.54,14021
14,22,219,171,78.08,48,21.92,14022
14,23,144,113,78.47,31,21.53,14023
14,24,242,185,76.45,57,23.55,14024
14,25,102,85,83.33,17,16.67,14025
14,26,133,107,80.45,26,19.55,14026
14,27,164,139,84.76,25,15.24,14027
14,28,126,104,82.54,22,17.46,14028
14,29,160,136,85.0,24,15.0,14029
14,30,97,87,89.69,10,10.31,14030
14,31,89,70,78.65,19,21.35,14031
15,1,153,131,85.62,22,14.38,15001
15,2,94,52,55.32,42,44.68,15002
15,3,108,69,63.89,39,36.11,15003
15,4,153,127,83.01,26,16.99,15004
15,5,132,107,81.06,25,18.94,15005
15,6,129,106,82.17,23,17.83,15006
15,7,105,60,57.14,45,42.86,15007
15,8,139,106,76.26,33,23.74,15008
15,9,179,146,81.56,33,18.44,15009
15,10,172,145,84.3,27,15.7,15010
15,11,162,131,80.86,31,19.14,15011
15,12,162,136,83.95,26,16.05,15012
15,13,135,118,87.41,17,12.59,15013
15,14,124,103,83.06,21,16.94,15014
15,15,99,81,81.82,18,18.18,15015
15,16,164,130,79.27,34,20.73,15016
15,17,121,75,61.98,46,38.02,15017
15,18,82,49,59.76,33,40.24,15018
15,19,148,118,79.73,30,20.27,15019
15,20,101,65,64.36,36,35.64,15020
15,21,109,72,66.06,37,33.94,15021
15,22,94,54,57.45,40,42.55,15022
15,23,130,73,56.15,57,43.85,15023
15,24,89,51,57.3,38,42.7,15024
16,1,169,149,88.17,20,11.83,16001
16,2,127,80,62.99,47,37.01,16002
16,3,102,55,53.92,47,46.08,16003
16,4,108,73,67.59,35,32.41,16004
16,5,96,54,56.25,42,43.75,16005
16,6,115,71,61.74,44,38.26,16006
16,7,110,65,59.09,45,40.91,16007
16,8,85,67,78.82,18,21.18,16008
16,9,148,87,58.78,61,41.22,16009
16,10,106,72,67.92,34,32.08,16010
16,11,92,74,80.43,18,19.57,16011
16,12,90,60,66.67,30,33.33,16012
16,13,107,73,68.22,34,31.78,16013
16,14,97,64,65.98,33,34.02,16014
16,15,144,82,56.94,62,43.06,16015
16,16,117,75,64.1,42,35.9,16016
16,17,118,91,77.12,27,22.88,16017
16,18,115,76,66.09,39,33.91,16018
16,19,103,65,63.11,38,36.89,16019
16,20,103,64,62.14,39,37.86,16020
16,21,99,64,64.65,35,35.35,16021
16,22,96,61,63.54,35,36.46,16022
16,23,109,82,75.23,27,24.77,16023
16,24,66,45,68.18,21,31.82,16024
16,25,159,90,56.6,69,43.4,16025
16,26,116,64,55.17,52,44.83,16026
16,27,101,60,59.41,41,40.59,16027
16,28,113,67,59.29,46,40.71,16028
16,29,102,48,47.06,54,52.94,16029
16,30,96,57,59.38,39,40.63,16030
16,31,152,104,68.42,48,31.58,16031
16,32,135,103,76.3,32,23.7,16032
16,33,109,60,55.05,49,44.95,16033
16,34,101,58,57.43,43,42.57,16034
16,35,160,120,75.0,40,25.0,16035
16,36,93,51,54.84,42,45.16,16036
17,1,145,100,68.97,45,31.03,17001
17,2,138,89,64.49,49,35.51,17002
17,3,156,102,65.38,54,34.62,17003
17,4,214,122,57.01,92,42.99,17004
17,5,134,85,63.43,49,36.57,17005
17,6,122,76,62.3,46,37.7,17006
17,7,106,75,70.75,31,29.25,17007
17,8,111,62,55.86,49,44.14,17008
17,9,127,82,64.57,45,35.43,17009
17,10,214,137,64.02,77,35.98,17010
17,11,115,78,67.83,37,32.17,17011
17,12,184,128,69.57,56,30.43,17012
17,13,127,78,61.42,49,38.58,17013
