ward,precinct,total,Linda Perez,Linda Perez Percent,Stephanie K. Miller,Stephanie K. Miller Percent,precinct_id
35,27,161,92,57.14,69,42.86,35027
35,28,175,81,46.29,94,53.71,35028
36,6,101,82,81.19,19,18.81,36006
36,8,108,83,76.85,25,23.15,36008
36,9,113,82,72.57,31,27.43,36009
36,11,89,57,64.04,32,35.96,36011
36,12,72,50,69.44,22,30.56,36012
36,13,75,59,78.67,16,21.33,36013
36,21,96,75,78.13,21,21.88,36021
36,22,92,70,76.09,22,23.91,36022
36,23,27,18,66.67,9,33.33,36023
36,25,108,80,74.07,28,25.93,36025
37,2,100,49,49.0,51,51.0,37002
37,10,163,78,47.85,85,52.15,37010
37,12,97,42,43.3,55,56.7,37012
37,16,46,17,36.96,29,63.04,37016
37,22,92,44,47.83,48,52.17,37022
37,26,9,4,44.44,5,55.56,37026
37,41,97,26,26.8,71,73.2,37041
40,8,285,94,32.98,191,67.02,40008
40,38,161,62,38.51,99,61.49,40038
47,9,116,36,31.03,80,68.97,47009
47,13,63,23,36.51,40,63.49,47013
47,40,177,63,35.59,114,64.41,47040
47,42,82,27,32.93,55,67.07,47042
