ward,precinct,total,Toya T. Harvey,Toya T. Harvey Percent,Tiesha L Smith,Tiesha L Smith Percent,precinct_id
21,5,240,108,45.0,132,55.0,21005
21,6,157,77,49.04,80,50.96,21006
21,7,225,118,52.44,107,47.56,21007
21,8,210,126,60.0,84,40.0,21008
21,9,236,110,46.61,126,53.39,21009
21,10,176,89,50.57,87,49.43,21010
21,11,171,85,49.71,86,50.29,21011
21,12,169,80,47.34,89,52.66,21012
21,13,104,52,50.0,52,50.0,21013
21,14,254,140,55.12,114,44.88,21014
21,16,174,86,49.43,88,50.57,21016
21,17,25,13,52.0,12,48.0,21017
21,18,218,108,49.54,110,50.46,21018
21,19,214,98,45.79,116,54.21,21019
21,20,16,5,31.25,11,68.75,21020
21,21,172,96,55.81,76,44.19,21021
21,22,177,100,56.5,77,43.5,21022
21,23,176,88,50.0,88,50.0,21023
21,24,211,114,54.03,97,45.97,21024
21,25,193,97,50.26,96,49.74,21025
21,27,186,93,50.0,93,50.0,21027
21,29,215,135,62.79,80,37.21,21029
21,32,184,100,54.35,84,45.65,21032
21,33,50,22,44.0,28,56.0,21033
21,34,21,13,61.9,8,38.1,21034
21,35,239,117,48.95,122,51.05,21035
21,36,201,110,54.73,91,45.27,21036
21,37,175,98,56.0,77,44.0,21037
21,38,173,95,54.91,78,45.09,21038
21,39,130,72,55.38,58,44.62,21039
21,40,179,91,50.84,88,49.16,21040
21,41,197,107,54.31,90,45.69,21041
21,42,215,117,54.42,98,45.58,21042
21,44,138,84,60.87,54,39.13,21044
21,45,163,103,63.19,60,36.81,21045
21,46,200,103,51.5,97,48.5,21046
21,48,109,56,51.38,53,48.62,21048
21,49,230,125,54.35,105,45.65,21049
21,50,155,89,57.42,66,42.58,21050
21,52,23,12,52.17,11,47.83,21052
34,1,233,138,59.23,95,40.77,34001
34,2,178,96,53.93,82,46.07,34002
34,3,184,92,50.0,92,50.0,34003
34,4,131,74,56.49,57,43.51,34004
34,5,166,102,61.45,64,38.55,34005
34,6,219,102,46.58,117,53.42,34006
34,7,228,126,55.26,102,44.74,34007
34,8,166,84,50.6,82,49.4,34008
34,9,138,78,56.52,60,43.48,34009
34,10,199,101,50.75,98,49.25,34010
34,11,144,51,35.42,93,64.58,34011
34,12,208,104,50.0,104,50.0,34012
34,13,213,109,51.17,104,48.83,34013
34,14,144,80,55.56,64,44.44,34014
34,15,148,72,48.65,76,51.35,34015
34,16,166,74,44.58,92,55.42,34016
34,18,152,75,49.34,77,50.66,34018
34,19,165,80,48.48,85,51.52,34019
34,20,249,114,45.78,135,54.22,34020
34,21,266,131,49.25,135,50.75,34021
34,22,203,93,45.81,110,54.19,34022
34,23,162,67,41.36,95,58.64,34023
34,24,172,86,50.0,86,50.0,34024
34,25,312,177,56.73,135,43.27,34025
34,26,219,114,52.05,105,47.95,34026
34,27,169,94,55.62,75,44.38,34027
34,28,113,84,74.34,29,25.66,34028
34,29,155,77,49.68,78,50.32,34029
34,30,231,110,47.62,121,52.38,34030
34,31,152,79,51.97,73,48.03,34031
34,32,176,94,53.41,82,46.59,34032
34,33,156,81,51.92,75,48.08,34033
34,34,219,125,57.08,94,42.92,34034
34,35,202,114,56.44,88,43.56,34035
34,36,205,91,44.39,114,55.61,34036
34,37,108,58,53.7,50,46.3,34037
34,38,73,46,63.01,27,36.99,34038
34,39,132,79,59.85,53,40.15,34039
34,40,210,114,54.29,96,45.71,34040
34,41,133,67,50.38,66,49.62,34041
34,42,242,103,42.56,139,57.44,34042
34,43,221,119,53.85,102,46.15,34043
34,44,219,113,51.6,106,48.4,34044
34,45,199,102,51.26,97,48.74,34045
34,46,142,75,52.82,67,47.18,34046
34,47,165,97,58.79,68,41.21,34047
34,48,245,119,48.57,126,51.43,34048
34,49,130,76,58.46,54,41.54,34049
34,50,146,78,53.42,68,46.58,34050
34,51,233,122,52.36,111,47.64,34051
34,52,162,87,53.7,75,46.3,34052
34,53,104,43,41.35,61,58.65,34053
