ward,precinct,total,John J. Cullerton,John J. Cullerton Percent,Ross Outten,Ross Outten Percent,precinct_id
39,34,188,105,55.85,83,44.15,39034
39,35,159,97,61.01,62,38.99,39035
39,36,56,45,80.36,11,19.64,39036
39,37,232,141,60.78,91,39.22,39037
39,38,129,89,68.99,40,31.01,39038
39,39,108,63,58.33,45,41.67,39039
39,40,159,98,61.64,61,38.36,39040
39,41,195,120,61.54,75,38.46,39041
39,42,248,168,67.74,80,32.26,39042
39,43,213,130,61.03,83,38.97,39043
39,44,147,84,57.14,63,42.86,39044
39,45,192,119,61.98,73,38.02,39045
40,1,158,108,68.35,50,31.65,40001
40,2,184,116,63.04,68,36.96,40002
40,3,280,174,62.14,106,37.86,40003
40,5,222,143,64.41,79,35.59,40005
40,6,241,127,52.7,114,47.3,40006
40,7,245,153,62.45,92,37.55,40007
40,8,282,160,56.74,122,43.26,40008
40,10,52,33,63.46,19,36.54,40010
40,11,230,133,57.83,97,42.17,40011
40,12,155,89,57.42,66,42.58,40012
40,13,353,173,49.01,180,50.99,40013
40,14,125,84,67.2,41,32.8,40014
40,15,180,116,64.44,64,35.56,40015
40,16,288,142,49.31,146,50.69,40016
40,17,203,126,62.07,77,37.93,40017
40,19,229,143,62.45,86,37.55,40019
40,20,170,102,60.0,68,40.0,40020
40,21,287,180,62.72,107,37.28,40021
40,23,278,144,51.8,134,48.2,40023
40,24,145,90,62.07,55,37.93,40024
40,25,221,127,57.47,94,42.53,40025
40,29,214,139,64.95,75,35.05,40029
40,30,214,146,68.22,68,31.78,40030
40,31,79,42,53.16,37,46.84,40031
40,32,279,147,52.69,132,47.31,40032
40,34,150,101,67.33,49,32.67,40034
40,38,295,135,45.76,160,54.24,40038
41,3,178,122,68.54,56,31.46,41003
41,6,254,157,61.81,97,38.19,41006
41,9,173,107,61.85,66,38.15,41009
41,11,63,42,66.67,21,33.33,41011
41,12,161,123,76.4,38,23.6,41012
41,14,221,152,68.78,69,31.22,41014
41,16,147,111,75.51,36,24.49,41016
41,17,158,109,68.99,49,31.01,41017
41,19,218,119,54.59,99,45.41,41019
41,21,180,125,69.44,55,30.56,41021
41,22,223,139,62.33,84,37.67,41022
41,23,74,58,78.38,16,21.62,41023
41,24,134,82,61.19,52,38.81,41024
41,26,188,132,70.21,56,29.79,41026
41,27,110,77,70.0,33,30.0,41027
41,30,163,107,65.64,56,34.36,41030
41,32,152,98,64.47,54,35.53,41032
41,33,130,92,70.77,38,29.23,41033
41,35,224,142,63.39,82,36.61,41035
41,38,171,119,69.59,52,30.41,41038
41,39,225,146,64.89,79,35.11,41039
41,45,61,43,70.49,18,29.51,41045
41,46,221,141,63.8,80,36.2,41046
41,47,193,115,59.59,78,40.41,41047
43,2,159,107,67.3,52,32.7,43002
43,3,181,127,70.17,54,29.83,43003
43,4,192,130,67.71,62,32.29,43004
43,5,142,89,62.68,53,37.32,43005
43,6,115,64,55.65,51,44.35,43006
43,7,124,81,65.32,43,34.68,43007
43,8,156,109,69.87,47,30.13,43008
43,9,198,124,62.63,74,37.37,43009
43,10,221,141,63.8,80,36.2,43010
43,11,102,71,69.61,31,30.39,43011
43,12,135,86,63.7,49,36.3,43012
43,13,189,126,66.67,63,33.33,43013
43,14,214,135,63.08,79,36.92,43014
43,15,164,103,62.8,61,37.2,43015
43,16,122,74,60.66,48,39.34,43016
43,17,142,97,68.31,45,31.69,43017
43,18,206,137,66.5,69,33.5,43018
43,19,206,146,70.87,60,29.13,43019
43,20,179,122,68.16,57,31.84,43020
43,21,183,121,66.12,62,33.88,43021
43,22,107,64,59.81,43,40.19,43022
43,23,121,74,61.16,47,38.84,43023
43,24,128,82,64.06,46,35.94,43024
43,25,195,132,67.69,63,32.31,43025
43,26,149,100,67.11,49,32.89,43026
43,27,177,109,61.58,68,38.42,43027
43,28,202,150,74.26,52,25.74,43028
43,29,153,87,56.86,66,43.14,43029
43,30,163,105,64.42,58,35.58,43030
43,31,200,143,71.5,57,28.5,43031
43,32,206,145,70.39,61,29.61,43032
43,34,156,101,64.74,55,35.26,43034
43,36,71,41,57.75,30,42.25,43036
43,37,172,97,56.4,75,43.6,43037
43,38,177,116,65.54,61,34.46,43038
43,39,123,82,66.67,41,33.33,43039
43,40,127,89,70.08,38,29.92,43040
43,41,258,171,66.28,87,33.72,43041
43,42,175,107,61.14,68,38.86,43042
43,43,225,156,69.33,69,30.67,43043
43,44,166,111,66.87,55,33.13,43044
43,46,79,55,69.62,24,30.38,43046
44,1,320,200,62.5,120,37.5,44001
44,2,202,139,68.81,63,31.19,44002
44,5,211,125,59.24,86,40.76,44005
44,6,247,146,59.11,101,40.89,44006
44,8,276,170,61.59,106,38.41,44008
44,9,169,110,65.09,59,34.91,44009
44,10,159,86,54.09,73,45.91,44010
44,11,204,121,59.31,83,40.69,44011
44,12,233,163,69.96,70,30.04,44012
44,13,129,80,62.02,49,37.98,44013
44,14,148,96,64.86,52,35.14,44014
44,15,203,129,63.55,74,36.45,44015
44,16,203,134,66.01,69,33.99,44016
44,17,317,203,64.04,114,35.96,44017
44,18,191,126,65.97,65,34.03,44018
44,19,253,171,67.59,82,32.41,44019
44,20,190,103,54.21,87,45.79,44020
44,21,229,135,58.95,94,41.05,44021
44,22,257,174,67.7,83,32.3,44022
44,23,199,127,63.82,72,36.18,44023
44,25,184,107,58.15,77,41.85,44025
44,26,207,132,63.77,75,36.23,44026
44,27,245,145,59.18,100,40.82,44027
44,28,219,132,60.27,87,39.73,44028
44,29,178,117,65.73,61,34.27,44029
44,30,206,126,61.17,80,38.83,44030
44,31,148,94,63.51,54,36.49,44031
44,32,222,125,56.31,97,43.69,44032
44,33,203,130,64.04,73,35.96,44033
44,34,242,165,68.18,77,31.82,44034
44,36,184,105,57.07,79,42.93,44036
44,37,233,146,62.66,87,37.34,44037
44,38,149,84,56.38,65,43.62,44038
44,39,174,99,56.9,75,43.1,44039
44,40,147,92,62.59,55,37.41,44040
44,41,226,140,61.95,86,38.05,44041
45,3,188,100,53.19,88,46.81,45003
45,4,242,144,59.5,98,40.5,45004
45,5,230,148,64.35,82,35.65,45005
45,6,274,145,52.92,129,47.08,45006
45,7,323,192,59.44,131,40.56,45007
45,8,11,6,54.55,5,45.45,45008
45,11,130,85,65.38,45,34.62,45011
45,12,200,131,65.5,69,34.5,45012
45,13,184,117,63.59,67,36.41,45013
45,14,230,157,68.26,73,31.74,45014
45,15,266,190,71.43,76,28.57,45015
45,16,183,123,67.21,60,32.79,45016
45,17,193,138,71.5,55,28.5,45017
45,18,170,105,61.76,65,38.24,45018
45,19,88,62,70.45,26,29.55,45019
45,20,128,87,67.97,41,32.03,45020
45,21,174,113,64.94,61,35.06,45021
45,22,167,107,64.07,60,35.93,45022
45,23,169,117,69.23,52,30.77,45023
45,24,148,102,68.92,46,31.08,45024
45,25,117,65,55.56,52,44.44,45025
45,26,95,56,58.95,39,41.05,45026
45,27,144,88,61.11,56,38.89,45027
45,28,117,73,62.39,44,37.61,45028
45,29,108,78,72.22,30,27.78,45029
45,30,157,115,73.25,42,26.75,45030
45,31,145,105,72.41,40,27.59,45031
45,32,139,94,67.63,45,32.37,45032
45,33,124,78,62.9,46,37.1,45033
45,34,193,114,59.07,79,40.93,45034
45,35,208,136,65.38,72,34.62,45035
45,36,199,134,67.34,65,32.66,45036
45,37,165,116,70.3,49,29.7,45037
45,38,145,109,75.17,36,24.83,45038
45,39,160,108,67.5,52,32.5,45039
45,40,182,122,67.03,60,32.97,45040
45,41,163,102,62.58,61,37.42,45041
45,42,185,116,62.7,69,37.3,45042
45,43,179,116,64.8,63,35.2,45043
45,44,159,104,65.41,55,34.59,45044
45,45,94,68,72.34,26,27.66,45045
45,46,124,90,72.58,34,27.42,45046
45,47,121,85,70.25,36,29.75,45047
45,48,115,76,66.09,39,33.91,45048
46,3,293,189,64.51,104,35.49,46003
46,5,201,110,54.73,91,45.27,46005
46,10,257,159,61.87,98,38.13,46010
46,12,38,19,50.0,19,50.0,46012
46,16,119,81,68.07,38,31.93,46016
46,19,187,128,68.45,59,31.55,46019
46,24,71,41,57.75,30,42.25,46024
46,28,277,188,67.87,89,32.13,46028
46,30,213,149,69.95,64,30.05,46030
46,31,206,130,63.11,76,36.89,46031
46,33,246,145,58.94,101,41.06,46033
46,36,235,161,68.51,74,31.49,46036
46,38,142,99,69.72,43,30.28,46038
46,39,210,131,62.38,79,37.62,46039
47,1,123,72,58.54,51,41.46,47001
47,2,277,200,72.2,77,27.8,47002
47,3,295,215,72.88,80,27.12,47003
47,4,301,206,68.44,95,31.56,47004
47,5,271,146,53.87,125,46.13,47005
47,6,243,149,61.32,94,38.68,47006
47,7,222,134,60.36,88,39.64,47007
47,8,263,162,61.6,101,38.4,47008
47,9,213,126,59.15,87,40.85,47009
47,10,312,171,54.81,141,45.19,47010
47,11,198,134,67.68,64,32.32,47011
47,12,292,170,58.22,122,41.78,47012
47,13,275,161,58.55,114,41.45,47013
47,14,241,152,63.07,89,36.93,47014
47,16,283,178,62.9,105,37.1,47016
47,17,242,165,68.18,77,31.82,47017
47,18,239,128,53.56,111,46.44,47018
47,20,240,139,57.92,101,42.08,47020
47,21,256,148,57.81,108,42.19,47021
47,22,287,164,57.14,123,42.86,47022
47,24,229,147,64.19,82,35.81,47024
47,25,249,147,59.04,102,40.96,47025
47,26,272,159,58.46,113,41.54,47026
47,27,224,147,65.63,77,34.38,47027
47,28,258,151,58.53,107,41.47,47028
47,29,251,168,66.93,83,33.07,47029
47,30,134,66,49.25,68,50.75,47030
47,31,214,130,60.75,84,39.25,47031
47,32,293,153,52.22,140,47.78,47032
47,33,185,112,60.54,73,39.46,47033
47,34,266,147,55.26,119,44.74,47034
47,35,239,143,59.83,96,40.17,47035
47,36,283,155,54.77,128,45.23,47036
47,37,256,163,63.67,93,36.33,47037
47,38,231,121,52.38,110,47.62,47038
47,39,259,165,63.71,94,36.29,47039
47,40,330,181,54.85,149,45.15,47040
47,41,297,178,59.93,119,40.07,47041
47,42,254,144,56.69,110,43.31,47042
47,43,221,147,66.52,74,33.48,47043
47,44,178,125,70.22,53,29.78,47044
47,45,256,148,57.81,108,42.19,47045
47,46,249,170,68.27,79,31.73,47046
47,47,254,171,67.32,83,32.68,47047
47,48,28,21,75.0,7,25.0,47048
50,24,120,72,60.0,48,40.0,50024
50,25,12,10,83.33,2,16.67,50025
