ward,precinct,total,John Fritchey,John Fritchey Percent,precinct_id
36,14,171,80,46.78,36014
36,15,189,83,43.92,36015
36,16,176,82,46.59,36016
36,17,186,82,44.09,36017
36,18,160,83,51.88,36018
36,20,143,84,58.74,36020
36,24,100,56,56.0,36024
36,30,137,73,53.28,36030
38,1,155,72,46.45,38001
38,8,128,67,52.34,38008
38,10,130,65,50.0,38010
38,11,173,90,52.02,38011
38,14,177,77,43.5,38014
38,15,148,69,46.62,38015
38,18,179,94,52.51,38018
38,19,27,12,44.44,38019
38,21,149,75,50.34,38021
38,22,185,85,45.95,38022
38,23,204,104,50.98,38023
38,25,140,70,50.0,38025
38,26,77,34,44.16,38026
38,31,193,63,32.64,38031
38,32,146,71,48.63,38032
38,33,166,79,47.59,38033
38,34,169,83,49.11,38034
38,35,158,79,50.0,38035
38,36,152,79,51.97,38036
38,37,175,91,52.0,38037
38,39,207,93,44.93,38039
38,40,185,94,50.81,38040
38,41,218,93,42.66,38041
39,3,259,88,33.98,39003
39,4,0,0,0.0,39004
39,5,191,100,52.36,39005
39,6,205,91,44.39,39006
39,7,167,90,53.89,39007
39,8,198,88,44.44,39008
39,9,171,90,52.63,39009
39,10,108,41,37.96,39010
39,11,166,79,47.59,39011
39,12,241,104,43.15,39012
39,14,161,78,48.45,39014
39,17,241,81,33.61,39017
39,19,208,83,39.9,39019
39,22,23,4,17.39,39022
39,25,153,76,49.67,39025
39,28,305,136,44.59,39028
39,29,105,46,43.81,39029
39,30,246,111,45.12,39030
39,31,172,81,47.09,39031
39,33,210,103,49.05,39033
39,34,205,83,40.49,39034
39,35,183,98,53.55,39035
39,38,154,89,57.79,39038
39,39,51,26,50.98,39039
40,1,172,78,45.35,40001
40,3,308,125,40.58,40003
40,5,246,89,36.18,40005
40,6,273,62,22.71,40006
40,7,272,122,44.85,40007
40,8,317,118,37.22,40008
40,11,242,103,42.56,40011
40,12,176,64,36.36,40012
40,13,1,0,0.0,40013
40,14,134,66,49.25,40014
40,16,119,50,42.02,40016
40,17,223,93,41.7,40017
40,19,89,40,44.94,40019
40,20,179,77,43.02,40020
40,21,54,23,42.59,40021
40,24,35,21,60.0,40024
40,30,147,87,59.18,40030
40,34,165,79,47.88,40034
40,38,313,110,35.14,40038
42,5,136,70,51.47,42005
42,14,69,25,36.23,42014
42,15,136,57,41.91,42015
42,17,4,0,0.0,42017
42,19,176,90,51.14,42019
42,20,121,54,44.63,42020
42,22,68,33,48.53,42022
42,23,172,81,47.09,42023
42,25,2,0,0.0,42025
42,27,168,75,44.64,42027
42,32,116,53,45.69,42032
42,37,97,56,57.73,42037
42,38,134,64,47.76,42038
42,39,143,55,38.46,42039
43,2,161,68,42.24,43002
43,5,166,98,59.04,43005
43,6,124,54,43.55,43006
43,7,20,8,40.0,43007
43,10,231,117,50.65,43010
43,11,105,54,51.43,43011
43,16,131,62,47.33,43016
43,18,212,120,56.6,43018
43,23,131,60,45.8,43023
43,30,185,97,52.43,43030
43,31,206,106,51.46,43031
43,39,124,72,58.06,43039
43,41,266,160,60.15,43041
43,46,93,40,43.01,43046
45,3,5,2,40.0,45003
45,4,260,110,42.31,45004
45,5,242,121,50.0,45005
45,6,278,127,45.68,45006
45,7,330,144,43.64,45007
45,8,185,98,52.97,45008
45,9,183,73,39.89,45009
45,10,214,103,48.13,45010
45,11,131,50,38.17,45011
45,12,208,89,42.79,45012
45,13,196,83,42.35,45013
45,14,246,110,44.72,45014
45,15,294,111,37.76,45015
45,16,196,87,44.39,45016
45,17,203,80,39.41,45017
45,18,175,77,44.0,45018
45,19,90,39,43.33,45019
45,20,127,57,44.88,45020
45,21,180,84,46.67,45021
45,22,173,76,43.93,45022
45,23,167,90,53.89,45023
45,24,164,77,46.95,45024
45,25,128,62,48.44,45025
45,26,60,31,51.67,45026
45,27,75,33,44.0,45027
45,28,133,60,45.11,45028
45,29,115,66,57.39,45029
45,30,179,91,50.84,45030
45,31,156,63,40.38,45031
45,32,144,69,47.92,45032
45,33,135,61,45.19,45033
45,34,205,77,37.56,45034
47,1,133,58,43.61,47001
47,2,320,117,36.56,47002
47,3,309,165,53.4,47003
47,4,350,139,39.71,47004
47,5,63,20,31.75,47005
47,6,262,114,43.51,47006
47,7,244,91,37.3,47007
47,8,282,131,46.45,47008
47,9,233,99,42.49,47009
47,10,64,23,35.94,47010
47,11,207,103,49.76,47011
47,12,321,119,37.07,47012
47,13,292,118,40.41,47013
47,14,269,121,44.98,47014
47,16,302,119,39.4,47016
47,17,265,112,42.26,47017
47,21,283,126,44.52,47021
47,25,267,118,44.19,47025
47,27,240,101,42.08,47027
47,28,207,82,39.61,47028
47,29,276,119,43.12,47029
47,33,131,62,47.33,47033
47,35,267,110,41.2,47035
47,37,286,115,40.21,47037
47,39,284,126,44.37,47039
47,40,350,143,40.86,47040
47,42,81,34,41.98,47042
47,43,251,114,45.42,47043
47,46,274,113,41.24,47046
47,47,281,117,41.64,47047
47,48,31,18,58.06,47048
