ward,precinct,total,Maria M. Barlow,Maria M. Barlow Percent,Stanley S. Moore,Stanley S. Moore Percent,Marcel Bright,Marcel Bright Percent,Gaylon Alcaraz,Gaylon Alcaraz Percent,precinct_id
21,5,253,55,21.74,168,66.4,20,7.91,10,3.95,21005
21,6,162,47,29.01,95,58.64,10,6.17,10,6.17,21006
21,7,237,74,31.22,143,60.34,16,6.75,4,1.69,21007
21,8,232,85,36.64,134,57.76,9,3.88,4,1.72,21008
21,9,254,68,26.77,170,66.93,10,3.94,6,2.36,21009
21,10,188,56,29.79,114,60.64,13,6.91,5,2.66,21010
21,11,199,62,31.16,118,59.3,12,6.03,7,3.52,21011
21,12,181,55,30.39,108,59.67,13,7.18,5,2.76,21012
21,13,197,57,28.93,116,58.88,21,10.66,3,1.52,21013
21,14,281,38,13.52,226,80.43,13,4.63,4,1.42,21014
21,16,193,50,25.91,127,65.8,13,6.74,3,1.55,21016
21,17,166,55,33.13,95,57.23,15,9.04,1,0.6,21017
21,18,233,62,26.61,144,61.8,19,8.15,8,3.43,21018
21,19,224,65,29.02,142,63.39,11,4.91,6,2.68,21019
21,20,160,51,31.88,96,60.0,10,6.25,3,1.88,21020
21,21,191,68,35.6,103,53.93,15,7.85,5,2.62,21021
21,22,194,56,28.87,119,61.34,8,4.12,11,5.67,21022
21,23,190,48,25.26,121,63.68,17,8.95,4,2.11,21023
21,24,225,67,29.78,140,62.22,12,5.33,6,2.67,21024
21,25,207,66,31.88,108,52.17,22,10.63,11,5.31,21025
21,27,189,47,24.87,111,58.73,17,8.99,14,7.41,21027
21,29,231,79,34.2,128,55.41,15,6.49,9,3.9,21029
21,31,175,48,27.43,113,64.57,7,4.0,7,4.0,21031
21,32,196,63,32.14,118,60.2,12,6.12,3,1.53,21032
21,33,178,53,29.78,112,62.92,9,5.06,4,2.25,21033
21,34,176,55,31.25,105,59.66,12,6.82,4,2.27,21034
21,35,262,94,35.88,156,59.54,7,2.67,5,1.91,21035
21,36,204,53,25.98,116,56.86,31,15.2,4,1.96,21036
21,37,180,41,22.78,114,63.33,21,11.67,4,2.22,21037
21,38,183,53,28.96,107,58.47,16,8.74,7,3.83,21038
21,39,138,52,37.68,66,47.83,10,7.25,10,7.25,21039
21,40,189,55,29.1,113,59.79,15,7.94,6,3.17,21040
21,41,200,59,29.5,118,59.0,20,10.0,3,1.5,21041
21,42,239,64,26.78,146,61.09,26,10.88,3,1.26,21042
21,43,157,49,31.21,83,52.87,17,10.83,8,5.1,21043
21,44,216,61,28.24,131,60.65,16,7.41,8,3.7,21044
21,45,178,50,28.09,108,60.67,14,7.87,6,3.37,21045
21,46,224,71,31.7,128,57.14,19,8.48,6,2.68,21046
21,48,193,56,29.02,111,57.51,12,6.22,14,7.25,21048
21,49,255,77,30.2,161,63.14,12,4.71,5,1.96,21049
21,50,169,62,36.69,84,49.7,13,7.69,10,5.92,21050
21,52,60,24,40.0,30,50.0,5,8.33,1,1.67,21052
21,53,156,58,37.18,83,53.21,11,7.05,4,2.56,21053
