ward,precinct,total,Stephanie Saltouros,Stephanie Saltouros Percent,Gwyn E. Ward Brown,Gwyn E. Ward Brown Percent,Lorraine Murphy,Lorraine Murphy Percent,precinct_id
45,36,179,95,53.07,26,14.53,58,32.4,45036
45,37,163,91,55.83,20,12.27,52,31.9,45037
45,38,139,66,47.48,16,11.51,57,41.01,45038
45,39,133,62,46.62,19,14.29,52,39.1,45039
45,40,169,78,46.15,17,10.06,74,43.79,45040
45,41,143,72,50.35,18,12.59,53,37.06,45041
45,42,164,73,44.51,23,14.02,68,41.46,45042
45,43,167,80,47.9,17,10.18,70,41.92,45043
45,44,148,63,42.57,18,12.16,67,45.27,45044
45,45,84,42,50.0,5,5.95,37,44.05,45045
45,46,113,53,46.9,14,12.39,46,40.71,45046
45,47,112,51,45.54,11,9.82,50,44.64,45047
45,48,102,56,54.9,11,10.78,35,34.31,45048
47,1,110,83,75.45,12,10.91,15,13.64,47001
47,2,242,166,68.6,30,12.4,46,19.01,47002
47,3,273,161,58.97,48,17.58,64,23.44,47003
47,4,278,178,64.03,43,15.47,57,20.5,47004
47,5,271,160,59.04,66,24.35,45,16.61,47005
47,6,218,143,65.6,35,16.06,40,18.35,47006
47,7,183,114,62.3,26,14.21,43,23.5,47007
47,8,237,157,66.24,35,14.77,45,18.99,47008
47,9,13,11,84.62,2,15.38,0,0.0,47009
47,10,308,217,70.45,53,17.21,38,12.34,47010
47,12,271,185,68.27,49,18.08,37,13.65,47012
47,13,185,137,74.05,24,12.97,24,12.97,47013
47,14,232,166,71.55,32,13.79,34,14.66,47014
47,16,266,174,65.41,43,16.17,49,18.42,47016
47,17,210,146,69.52,26,12.38,38,18.1,47017
47,20,234,149,63.68,35,14.96,50,21.37,47020
47,21,251,171,68.13,44,17.53,36,14.34,47021
47,22,289,198,68.51,45,15.57,46,15.92,47022
47,25,237,167,70.46,36,15.19,34,14.35,47025
47,26,273,188,68.86,37,13.55,48,17.58,47026
47,27,217,151,69.59,32,14.75,34,15.67,47027
47,28,243,177,72.84,29,11.93,37,15.23,47028
47,29,254,192,75.59,31,12.2,31,12.2,47029
47,30,267,164,61.42,42,15.73,61,22.85,47030
47,31,199,135,67.84,32,16.08,32,16.08,47031
47,32,297,215,72.39,35,11.78,47,15.82,47032
47,33,111,84,75.68,16,14.41,11,9.91,47033
47,34,260,171,65.77,43,16.54,46,17.69,47034
47,35,229,168,73.36,34,14.85,27,11.79,47035
47,36,282,189,67.02,47,16.67,46,16.31,47036
47,37,245,170,69.39,39,15.92,36,14.69,47037
47,38,231,139,60.17,41,17.75,51,22.08,47038
47,39,250,173,69.2,37,14.8,40,16.0,47039
47,40,133,87,65.41,22,16.54,24,18.05,47040
47,42,178,108,60.67,30,16.85,40,22.47,47042
47,43,202,140,69.31,21,10.4,41,20.3,47043
47,45,248,171,68.95,36,14.52,41,16.53,47045
47,46,232,162,69.83,24,10.34,46,19.83,47046
47,47,228,151,66.23,38,16.67,39,17.11,47047
47,48,26,11,42.31,5,19.23,10,38.46,47048
50,23,85,46,54.12,16,18.82,23,27.06,50023
50,24,15,9,60.0,1,6.67,5,33.33,50024
50,26,9,5,55.56,1,11.11,3,33.33,50026
50,30,26,16,61.54,4,15.38,6,23.08,50030
50,31,25,7,28.0,11,44.0,7,28.0,50031
