ward,precinct,total,Marcus Lewis,Marcus Lewis Percent,Robin Kelly,Robin Kelly Percent,precinct_id
9,44,197,41,20.81,156,79.19,09044
9,45,145,30,20.69,115,79.31,09045
9,46,211,35,16.59,176,83.41,09046
10,1,157,41,26.11,116,73.89,10001
10,2,158,42,26.58,116,73.42,10002
10,3,137,27,19.71,110,80.29,10003
10,4,120,33,27.5,87,72.5,10004
10,5,109,23,21.1,86,78.9,10005
10,6,115,31,26.96,84,73.04,10006
10,7,94,39,41.49,55,58.51,10007
10,8,75,16,21.33,59,78.67,10008
10,9,124,29,23.39,95,76.61,10009
10,10,148,37,25.0,111,75.0,10010
10,11,154,44,28.57,110,71.43,10011
10,12,88,22,25.0,66,75.0,10012
10,13,142,43,30.28,99,69.72,10013
10,14,168,50,29.76,118,70.24,10014
10,15,411,79,19.22,332,80.78,10015
10,16,105,19,18.1,86,81.9,10016
10,17,194,50,25.77,144,74.23,10017
10,18,86,17,19.77,69,80.23,10018
10,19,129,35,27.13,94,72.87,10019
10,20,147,49,33.33,98,66.67,10020
10,21,111,29,26.13,82,73.87,10021
10,22,84,27,32.14,57,67.86,10022
10,23,123,41,33.33,82,66.67,10023
10,24,132,45,34.09,87,65.91,10024
10,25,49,12,24.49,37,75.51,10025
10,26,97,28,28.87,69,71.13,10026
10,27,149,41,27.52,108,72.48,10027
10,28,150,48,32.0,102,68.0,10028
10,29,117,43,36.75,74,63.25,10029
10,30,124,27,21.77,97,78.23,10030
10,31,97,31,31.96,66,68.04,10031
10,32,123,38,30.89,85,69.11,10032
10,33,102,38,37.25,64,62.75,10033
10,34,85,24,28.24,61,71.76,10034
10,35,161,33,20.5,128,79.5,10035
10,36,40,18,45.0,22,55.0,10036
34,2,36,9,25.0,27,75.0,34002
34,4,140,40,28.57,100,71.43,34004
34,18,157,39,24.84,118,75.16,34018
34,22,167,38,22.75,129,77.25,34022
34,23,173,44,25.43,129,74.57,34023
34,24,179,34,18.99,145,81.01,34024
34,27,177,51,28.81,126,71.19,34027
34,28,106,42,39.62,64,60.38,34028
34,30,162,29,17.9,133,82.1,34030
34,36,218,48,22.02,170,77.98,34036
34,37,113,34,30.09,79,69.91,34037
34,38,92,22,23.91,70,76.09,34038
34,39,139,40,28.78,99,71.22,34039
34,41,134,32,23.88,102,76.12,34041
34,53,111,29,26.13,82,73.87,34053
