ward,precinct,total,Clare Joyce Quish,Clare Joyce Quish Percent,Patrick Dankwa John,Patrick Dankwa John Percent,precinct_id
3,8,157,89,56.69,37,23.57,03008
3,9,213,136,63.85,44,20.66,03009
3,10,103,64,62.14,15,14.56,03010
3,11,217,136,62.67,41,18.89,03011
3,12,271,150,55.35,69,25.46,03012
3,13,254,195,76.77,18,7.09,03013
3,14,187,130,69.52,27,14.44,03014
3,15,196,108,55.1,60,30.61,03015
3,16,181,111,61.33,30,16.57,03016
3,17,206,144,69.9,30,14.56,03017
3,18,270,153,56.67,54,20.0,03018
3,19,207,156,75.36,19,9.18,03019
3,20,224,129,57.59,41,18.3,03020
3,21,245,174,71.02,29,11.84,03021
3,22,220,164,74.55,21,9.55,03022
3,23,165,98,59.39,37,22.42,03023
3,24,193,111,57.51,43,22.28,03024
3,25,295,236,80.0,20,6.78,03025
3,26,274,194,70.8,28,10.22,03026
3,27,221,168,76.02,27,12.22,03027
3,28,154,87,56.49,30,19.48,03028
3,29,213,131,61.5,41,19.25,03029
3,30,222,137,61.71,39,17.57,03030
3,31,242,148,61.16,45,18.6,03031
3,32,213,164,77.0,19,8.92,03032
3,33,195,149,76.41,19,9.74,03033
3,34,239,166,69.46,29,12.13,03034
3,35,78,47,60.26,14,17.95,03035
3,36,120,69,57.5,25,20.83,03036
3,37,175,102,58.29,38,21.71,03037
3,38,242,143,59.09,47,19.42,03038
3,39,246,190,77.24,23,9.35,03039
3,40,241,127,52.7,60,24.9,03040
3,41,180,94,52.22,40,22.22,03041
4,1,323,217,67.18,37,11.46,04001
4,2,247,185,74.9,25,10.12,04002
4,3,190,104,54.74,42,22.11,04003
4,4,300,166,55.33,61,20.33,04004
4,5,252,161,63.89,54,21.43,04005
4,6,305,214,70.16,51,16.72,04006
4,7,336,211,62.8,66,19.64,04007
4,8,282,177,62.77,58,20.57,04008
4,9,321,206,64.17,62,19.31,04009
4,10,308,191,62.01,62,20.13,04010
4,11,213,118,55.4,58,27.23,04011
4,12,252,168,66.67,40,15.87,04012
4,13,148,116,78.38,12,8.11,04013
4,14,255,169,66.27,46,18.04,04014
4,15,296,183,61.82,63,21.28,04015
4,16,276,202,73.19,27,9.78,04016
4,17,254,200,78.74,20,7.87,04017
4,18,262,132,50.38,75,28.63,04018
4,19,155,107,69.03,28,18.06,04019
4,20,211,163,77.25,15,7.11,04020
4,21,216,153,70.83,21,9.72,04021
4,22,233,163,69.96,28,12.02,04022
4,23,341,244,71.55,30,8.8,04023
4,24,230,170,73.91,32,13.91,04024
4,25,224,180,80.36,17,7.59,04025
4,26,219,127,57.99,49,22.37,04026
4,27,296,187,63.18,40,13.51,04027
4,28,199,132,66.33,25,12.56,04028
4,29,213,117,54.93,48,22.54,04029
4,30,277,162,58.48,58,20.94,04030
4,31,309,202,65.37,54,17.48,04031
4,32,253,150,59.29,42,16.6,04032
4,33,234,155,66.24,44,18.8,04033
4,34,207,120,57.97,48,23.19,04034
4,35,302,207,68.54,46,15.23,04035
4,36,282,174,61.7,59,20.92,04036
4,37,296,235,79.39,17,5.74,04037
4,38,287,198,68.99,51,17.77,04038
5,1,176,104,59.09,43,24.43,05001
5,2,132,71,53.79,25,18.94,05002
5,3,209,137,65.55,17,8.13,05003
5,4,264,168,63.64,43,16.29,05004
5,5,187,121,64.71,26,13.9,05005
5,6,184,114,61.96,37,20.11,05006
5,7,227,162,71.37,29,12.78,05007
5,8,257,198,77.04,7,2.72,05008
5,9,291,192,65.98,39,13.4,05009
5,10,169,95,56.21,39,23.08,05010
5,11,277,188,67.87,32,11.55,05011
5,12,134,71,52.99,35,26.12,05012
5,13,168,94,55.95,33,19.64,05013
5,14,220,124,56.36,62,28.18,05014
5,15,201,137,68.16,26,12.94,05015
5,16,179,92,51.4,43,24.02,05016
5,17,165,83,50.3,43,26.06,05017
5,18,221,146,66.06,22,9.95,05018
5,19,251,171,68.13,17,6.77,05019
5,20,258,187,72.48,34,13.18,05020
5,21,211,145,68.72,24,11.37,05021
5,22,287,219,76.31,27,9.41,05022
5,23,385,248,64.42,42,10.91,05023
5,24,255,161,63.14,32,12.55,05024
5,25,230,145,63.04,43,18.7,05025
5,26,234,120,51.28,50,21.37,05026
5,27,199,139,69.85,15,7.54,05027
5,28,262,169,64.5,49,18.7,05028
5,29,233,128,54.94,58,24.89,05029
5,30,149,83,55.7,37,24.83,05030
5,31,165,95,57.58,28,16.97,05031
5,32,288,189,65.63,61,21.18,05032
5,33,248,133,53.63,52,20.97,05033
5,34,235,170,72.34,10,4.26,05034
5,35,268,182,67.91,25,9.33,05035
5,36,117,60,51.28,33,28.21,05036
5,37,264,185,70.08,26,9.85,05037
5,38,200,104,52.0,50,25.0,05038
5,39,210,150,71.43,21,10.0,05039
5,40,170,108,63.53,41,24.12,05040
5,41,149,114,76.51,12,8.05,05041
6,1,229,140,61.14,48,20.96,06001
6,2,204,119,58.33,40,19.61,06002
6,3,227,149,65.64,44,19.38,06003
6,4,119,67,56.3,25,21.01,06004
6,5,104,59,56.73,16,15.38,06005
6,6,206,140,67.96,29,14.08,06006
6,7,189,126,66.67,28,14.81,06007
6,8,195,126,64.62,40,20.51,06008
6,9,148,83,56.08,31,20.95,06009
6,10,102,60,58.82,20,19.61,06010
6,11,153,85,55.56,36,23.53,06011
6,12,108,63,58.33,17,15.74,06012
6,13,142,90,63.38,25,17.61,06013
6,14,186,104,55.91,40,21.51,06014
6,15,113,53,46.9,31,27.43,06015
6,16,227,127,55.95,47,20.7,06016
6,17,109,60,55.05,25,22.94,06017
6,18,92,41,44.57,21,22.83,06018
6,19,159,87,54.72,34,21.38,06019
6,20,90,45,50.0,14,15.56,06020
6,21,89,48,53.93,21,23.6,06021
6,22,97,57,58.76,19,19.59,06022
6,23,63,37,58.73,10,15.87,06023
6,24,99,59,59.6,22,22.22,06024
6,25,96,53,55.21,30,31.25,06025
6,26,113,55,48.67,34,30.09,06026
6,27,89,55,61.8,17,19.1,06027
6,28,84,46,54.76,19,22.62,06028
6,29,229,146,63.76,42,18.34,06029
6,30,136,82,60.29,24,17.65,06030
6,31,244,155,63.52,44,18.03,06031
6,32,184,122,66.3,35,19.02,06032
6,33,186,107,57.53,43,23.12,06033
6,34,203,121,59.61,47,23.15,06034
6,35,186,109,58.6,33,17.74,06035
6,36,253,162,64.03,47,18.58,06036
6,37,236,159,67.37,37,15.68,06037
6,38,207,135,65.22,42,20.29,06038
6,39,155,90,58.06,34,21.94,06039
6,40,173,91,52.6,42,24.28,06040
6,41,201,121,60.2,34,16.92,06041
6,42,154,88,57.14,31,20.13,06042
6,43,157,92,58.6,39,24.84,06043
6,44,159,107,67.3,29,18.24,06044
6,45,200,132,66.0,28,14.0,06045
6,46,116,73,62.93,22,18.97,06046
6,47,136,78,57.35,28,20.59,06047
6,48,191,109,57.07,36,18.85,06048
7,1,159,87,54.72,36,22.64,07001
7,2,148,90,60.81,27,18.24,07002
7,3,231,135,58.44,48,20.78,07003
7,4,190,124,65.26,36,18.95,07004
7,5,146,78,53.42,31,21.23,07005
7,6,221,142,64.25,39,17.65,07006
7,7,152,85,55.92,37,24.34,07007
7,8,144,78,54.17,34,23.61,07008
7,9,314,187,59.55,61,19.43,07009
7,10,217,136,62.67,34,15.67,07010
7,11,147,88,59.86,33,22.45,07011
7,12,154,77,50.0,41,26.62,07012
7,13,117,66,56.41,26,22.22,07013
7,14,189,113,59.79,46,24.34,07014
7,15,193,123,63.73,40,20.73,07015
7,16,140,71,50.71,30,21.43,07016
7,17,124,71,57.26,26,20.97,07017
7,18,136,68,50.0,38,27.94,07018
7,19,192,103,53.65,49,25.52,07019
7,20,127,63,49.61,29,22.83,07020
7,21,141,75,53.19,39,27.66,07021
7,22,154,75,48.7,37,24.03,07022
7,23,215,129,60.0,37,17.21,07023
7,24,149,85,57.05,30,20.13,07024
7,25,118,63,53.39,22,18.64,07025
7,26,154,103,66.88,26,16.88,07026
7,27,163,98,60.12,30,18.4,07027
7,28,107,59,55.14,20,18.69,07028
7,29,143,85,59.44,31,21.68,07029
7,30,118,67,56.78,30,25.42,07030
7,31,98,41,41.84,28,28.57,07031
7,32,309,192,62.14,60,19.42,07032
7,33,308,206,66.88,37,12.01,07033
7,34,230,134,58.26,55,23.91,07034
7,35,192,99,51.56,42,21.88,07035
7,36,250,154,61.6,44,17.6,07036
7,37,201,117,58.21,41,20.4,07037
7,38,160,84,52.5,38,23.75,07038
7,39,169,89,52.66,42,24.85,07039
7,40,160,98,61.25,28,17.5,07040
7,41,162,98,60.49,35,21.6,07041
7,42,176,110,62.5,26,14.77,07042
7,43,186,116,62.37,35,18.82,07043
7,44,138,87,63.04,24,17.39,07044
7,45,133,72,54.14,33,24.81,07045
7,46,99,48,48.48,21,21.21,07046
8,1,157,90,57.32,32,20.38,08001
8,2,166,106,63.86,28,16.87,08002
8,3,254,176,69.29,40,15.75,08003
8,4,246,168,68.29,42,17.07,08004
8,5,236,157,66.53,36,15.25,08005
8,6,220,153,69.55,29,13.18,08006
8,7,261,171,65.52,48,18.39,08007
8,8,234,155,66.24,35,14.96,08008
8,9,156,108,69.23,21,13.46,08009
8,10,300,191,63.67,60,20.0,08010
8,11,187,122,65.24,33,17.65,08011
8,12,165,108,65.45,24,14.55,08012
8,13,203,115,56.65,44,21.67,08013
8,14,108,62,57.41,19,17.59,08014
8,15,172,118,68.6,27,15.7,08015
8,16,57,32,56.14,19,33.33,08016
8,17,191,129,67.54,24,12.57,08017
8,18,136,73,53.68,27,19.85,08018
8,19,263,179,68.06,47,17.87,08019
8,20,242,158,65.29,45,18.6,08020
8,21,244,153,62.7,55,22.54,08021
8,22,187,129,68.98,35,18.72,08022
8,23,165,103,62.42,28,16.97,08023
8,24,141,92,65.25,21,14.89,08024
8,25,183,114,62.3,36,19.67,08025
8,26,187,110,58.82,43,22.99,08026
8,27,236,150,63.56,48,20.34,08027
8,28,205,122,59.51,46,22.44,08028
8,29,247,175,70.85,31,12.55,08029
8,30,196,130,66.33,26,13.27,08030
8,31,156,103,66.03,27,17.31,08031
8,32,151,103,68.21,23,15.23,08032
8,33,191,135,70.68,24,12.57,08033
8,34,201,136,67.66,35,17.41,08034
8,35,220,137,62.27,45,20.45,08035
8,36,212,138,65.09,38,17.92,08036
8,37,195,125,64.1,30,15.38,08037
8,38,126,75,59.52,23,18.25,08038
8,39,185,125,67.57,29,15.68,08039
8,40,161,109,67.7,26,16.15,08040
8,41,199,136,68.34,24,12.06,08041
8,42,238,152,63.87,44,18.49,08042
8,43,78,54,69.23,14,17.95,08043
8,44,121,87,71.9,16,13.22,08044
8,45,151,84,55.63,40,26.49,08045
8,46,143,87,60.84,22,15.38,08046
8,47,169,110,65.09,20,11.83,08047
8,48,171,107,62.57,30,17.54,08048
8,49,182,130,71.43,21,11.54,08049
8,50,222,162,72.97,29,13.06,08050
8,51,240,171,71.25,42,17.5,08051
8,52,282,194,68.79,36,12.77,08052
8,53,114,66,57.89,28,24.56,08053
8,54,119,70,58.82,21,17.65,08054
8,55,185,115,62.16,41,22.16,08055
8,56,220,150,68.18,30,13.64,08056
9,1,178,93,52.25,37,20.79,09001
9,2,175,91,52.0,40,22.86,09002
9,3,107,55,51.4,30,28.04,09003
9,4,135,75,55.56,32,23.7,09004
9,5,186,109,58.6,40,21.51,09005
9,6,172,98,56.98,49,28.49,09006
9,7,146,81,55.48,30,20.55,09007
9,8,157,84,53.5,32,20.38,09008
9,9,209,136,65.07,46,22.01,09009
9,10,137,80,58.39,27,19.71,09010
9,11,136,73,53.68,35,25.74,09011
9,12,234,122,52.14,56,23.93,09012
9,13,224,145,64.73,41,18.3,09013
9,14,241,152,63.07,42,17.43,09014
9,15,105,61,58.1,29,27.62,09015
9,16,171,110,64.33,32,18.71,09016
9,17,125,77,61.6,27,21.6,09017
9,18,127,74,58.27,25,19.69,09018
9,19,171,107,62.57,24,14.04,09019
9,20,209,112,53.59,50,23.92,09020
9,21,160,104,65.0,32,20.0,09021
9,22,193,112,58.03,53,27.46,09022
9,23,219,155,70.78,33,15.07,09023
9,24,193,127,65.8,25,12.95,09024
9,25,183,114,62.3,35,19.13,09025
9,26,136,73,53.68,32,23.53,09026
9,27,168,109,64.88,25,14.88,09027
9,28,106,47,44.34,24,22.64,09028
9,29,142,72,50.7,36,25.35,09029
9,30,138,81,58.7,33,23.91,09030
9,31,117,68,58.12,25,21.37,09031
9,32,189,103,54.5,44,23.28,09032
9,33,126,78,61.9,25,19.84,09033
9,34,132,70,53.03,28,21.21,09034
9,35,200,127,63.5,51,25.5,09035
9,36,151,93,61.59,23,15.23,09036
9,37,247,156,63.16,41,16.6,09037
9,38,162,101,62.35,33,20.37,09038
9,39,206,129,62.62,42,20.39,09039
9,40,223,132,59.19,51,22.87,09040
9,41,146,98,67.12,34,23.29,09041
9,42,214,136,63.55,42,19.63,09042
9,43,156,94,60.26,34,21.79,09043
9,44,176,100,56.82,41,23.3,09044
9,45,128,78,60.94,31,24.22,09045
9,46,186,107,57.53,37,19.89,09046
9,47,233,154,66.09,37,15.88,09047
9,48,195,126,64.62,38,19.49,09048
9,49,181,108,59.67,43,23.76,09049
9,50,274,177,64.6,49,17.88,09050
9,51,197,128,64.97,36,18.27,09051
10,1,130,64,49.23,31,23.85,10001
10,2,129,50,38.76,18,13.95,10002
10,3,112,49,43.75,16,14.29,10003
10,4,106,46,43.4,17,16.04,10004
10,5,93,40,43.01,14,15.05,10005
10,6,105,40,38.1,15,14.29,10006
10,7,87,40,45.98,12,13.79,10007
10,8,67,26,38.81,20,29.85,10008
10,9,104,50,48.08,18,17.31,10009
10,10,139,56,40.29,12,8.63,10010
10,11,139,53,38.13,10,7.19,10011
10,12,78,24,30.77,9,11.54,10012
10,13,135,62,45.93,15,11.11,10013
10,14,148,49,33.11,14,9.46,10014
10,15,371,223,60.11,73,19.68,10015
10,16,88,46,52.27,17,19.32,10016
10,17,158,73,46.2,29,18.35,10017
10,18,79,44,55.7,4,5.06,10018
10,19,123,58,47.15,16,13.01,10019
10,20,124,49,39.52,18,14.52,10020
10,21,103,34,33.01,11,10.68,10021
10,22,84,32,38.1,11,13.1,10022
10,23,106,41,38.68,11,10.38,10023
10,24,102,47,46.08,16,15.69,10024
10,25,47,23,48.94,5,10.64,10025
10,26,86,30,34.88,7,8.14,10026
10,27,134,67,50.0,26,19.4,10027
10,28,134,49,36.57,24,17.91,10028
10,29,105,35,33.33,12,11.43,10029
10,30,119,49,41.18,12,10.08,10030
10,31,91,26,28.57,14,15.38,10031
10,32,117,46,39.32,17,14.53,10032
10,33,94,32,34.04,5,5.32,10033
10,34,76,31,40.79,11,14.47,10034
10,35,140,61,43.57,11,7.86,10035
10,36,39,16,41.03,7,17.95,10036
11,1,201,130,64.68,27,13.43,11001
11,2,13,9,69.23,3,23.08,11002
11,3,150,91,60.67,11,7.33,11003
11,4,187,112,59.89,26,13.9,11004
11,5,240,153,63.75,18,7.5,11005
11,6,200,132,66.0,24,12.0,11006
11,7,145,96,66.21,14,9.66,11007
11,8,167,94,56.29,20,11.98,11008
11,9,154,85,55.19,22,14.29,11009
11,10,167,104,62.28,23,13.77,11010
11,11,189,110,58.2,27,14.29,11011
11,12,284,203,71.48,36,12.68,11012
11,13,261,185,70.88,19,7.28,11013
11,14,70,44,62.86,8,11.43,11014
11,15,74,45,60.81,11,14.86,11015
11,16,123,84,68.29,14,11.38,11016
11,17,225,140,62.22,28,12.44,11017
11,18,153,99,64.71,20,13.07,11018
11,19,230,145,63.04,32,13.91,11019
11,20,126,83,65.87,11,8.73,11020
11,21,286,206,72.03,35,12.24,11021
11,22,214,125,58.41,24,11.21,11022
11,23,139,98,70.5,10,7.19,11023
11,24,305,242,79.34,25,8.2,11024
11,25,210,140,66.67,24,11.43,11025
11,26,258,176,68.22,19,7.36,11026
11,27,68,38,55.88,11,16.18,11027
11,28,84,51,60.71,13,15.48,11028
11,29,282,195,69.15,32,11.35,11029
11,30,84,56,66.67,7,8.33,11030
11,31,199,113,56.78,23,11.56,11031
11,32,104,78,75.0,4,3.85,11032
11,33,169,132,78.11,11,6.51,11033
11,34,57,34,59.65,9,15.79,11034
11,35,44,32,72.73,1,2.27,11035
11,36,72,43,59.72,8,11.11,11036
11,37,42,30,71.43,5,11.9,11037
11,38,87,57,65.52,5,5.75,11038
12,1,187,77,41.18,26,13.9,12001
12,2,134,48,35.82,19,14.18,12002
12,3,224,109,48.66,26,11.61,12003
12,4,206,83,40.29,32,15.53,12004
12,5,156,83,53.21,19,12.18,12005
12,6,159,59,37.11,25,15.72,12006
12,7,141,62,43.97,8,5.67,12007
12,8,188,91,48.4,27,14.36,12008
12,9,154,67,43.51,20,12.99,12009
12,10,182,72,39.56,20,10.99,12010
12,11,160,46,28.75,21,13.13,12011
12,12,149,53,35.57,20,13.42,12012
12,13,167,68,40.72,26,15.57,12013
12,14,140,46,32.86,21,15.0,12014
12,15,145,67,46.21,18,12.41,12015
12,16,118,36,30.51,9,7.63,12016
12,17,148,62,41.89,18,12.16,12017
12,18,109,38,34.86,9,8.26,12018
12,19,154,49,31.82,18,11.69,12019
12,20,184,74,40.22,11,5.98,12020
12,21,154,82,53.25,8,5.19,12021
12,22,121,43,35.54,8,6.61,12022
12,23,183,89,48.63,19,10.38,12023
13,1,153,87,56.86,24,15.69,13001
13,2,169,99,58.58,29,17.16,13002
13,3,144,51,35.42,16,11.11,13003
13,4,174,89,51.15,31,17.82,13004
13,5,209,89,42.58,15,7.18,13005
13,6,184,110,59.78,23,12.5,13006
13,7,126,70,55.56,17,13.49,13007
13,8,139,77,55.4,19,13.67,13008
13,9,149,72,48.32,14,9.4,13009
13,10,158,80,50.63,32,20.25,13010
13,11,189,96,50.79,35,18.52,13011
13,12,145,60,41.38,22,15.17,13012
13,13,200,133,66.5,16,8.0,13013
13,14,140,64,45.71,23,16.43,13014
13,15,276,134,48.55,25,9.06,13015
13,16,105,50,47.62,8,7.62,13016
13,17,156,85,54.49,28,17.95,13017
13,18,133,66,49.62,20,15.04,13018
13,19,147,78,53.06,16,10.88,13019
13,20,101,50,49.5,22,21.78,13020
13,21,177,107,60.45,28,15.82,13021
13,22,178,97,54.49,27,15.17,13022
13,23,129,67,51.94,15,11.63,13023
13,24,178,80,44.94,19,10.67,13024
13,25,161,85,52.8,21,13.04,13025
13,26,160,108,67.5,16,10.0,13026
13,27,172,88,51.16,30,17.44,13027
13,28,146,75,51.37,9,6.16,13028
13,29,128,68,53.13,13,10.16,13029
13,30,163,93,57.06,7,4.29,13030
13,31,189,104,55.03,34,17.99,13031
13,32,139,79,56.83,15,10.79,13032
13,33,194,121,62.37,26,13.4,13033
13,34,271,188,69.37,13,4.8,13034
13,35,195,112,57.44,19,9.74,13035
13,36,108,51,47.22,6,5.56,13036
13,37,227,127,55.95,37,16.3,13037
13,38,157,78,49.68,26,16.56,13038
13,39,176,92,52.27,24,13.64,13039
13,40,180,88,48.89,27,15.0,13040
13,41,184,85,46.2,23,12.5,13041
13,42,172,99,57.56,26,15.12,13042
13,43,205,114,55.61,21,10.24,13043
13,44,227,161,70.93,13,5.73,13044
13,45,241,150,62.24,27,11.2,13045
13,46,199,85,42.71,23,11.56,13046
13,47,169,89,52.66,13,7.69,13047
13,48,181,100,55.25,28,15.47,13048
14,1,212,123,58.02,33,15.57,14001
14,2,216,96,44.44,24,11.11,14002
14,3,149,58,38.93,10,6.71,14003
14,4,191,110,57.59,25,13.09,14004
14,5,221,98,44.34,21,9.5,14005
14,6,95,49,51.58,5,5.26,14006
14,7,177,57,32.2,21,11.86,14007
14,8,168,65,38.69,14,8.33,14008
14,9,217,129,59.45,21,9.68,14009
14,10,115,51,44.35,12,10.43,14010
14,11,125,80,64.0,9,7.2,14011
14,12,194,92,47.42,19,9.79,14012
14,13,166,96,57.83,17,10.24,14013
14,14,188,88,46.81,20,10.64,14014
14,15,166,78,46.99,22,13.25,14015
14,16,119,47,39.5,26,21.85,14016
14,17,144,72,50.0,11,7.64,14017
14,18,85,38,44.71,13,15.29,14018
14,19,183,78,42.62,21,11.48,14019
14,20,106,42,39.62,17,16.04,14020
14,21,176,59,33.52,23,13.07,14021
14,22,222,115,51.8,29,13.06,14022
14,23,146,89,60.96,17,11.64,14023
14,24,241,134,55.6,36,14.94,14024
14,25,104,44,42.31,13,12.5,14025
14,26,132,52,39.39,10,7.58,14026
14,27,163,72,44.17,18,11.04,14027
14,28,126,47,37.3,21,16.67,14028
14,29,156,90,57.69,12,7.69,14029
14,30,105,28,26.67,9,8.57,14030
14,31,89,25,28.09,9,10.11,14031
15,1,159,40,25.16,21,13.21,15001
15,2,96,46,47.92,26,27.08,15002
15,3,101,47,46.53,23,22.77,15003
15,4,154,45,29.22,14,9.09,15004
15,5,134,45,33.58,16,11.94,15005
15,6,129,41,31.78,20,15.5,15006
15,7,103,49,47.57,31,30.1,15007
15,8,142,46,32.39,20,14.08,15008
15,9,184,68,36.96,14,7.61,15009
15,10,165,67,40.61,24,14.55,15010
15,11,163,51,31.29,18,11.04,15011
15,12,167,54,32.34,21,12.57,15012
15,13,136,53,38.97,19,13.97,15013
15,14,126,29,23.02,16,12.7,15014
15,15,104,30,28.85,7,6.73,15015
15,16,165,50,30.3,22,13.33,15016
15,17,121,67,55.37,25,20.66,15017
15,18,79,38,48.1,23,29.11,15018
15,19,145,64,44.14,29,20.0,15019
15,20,102,50,49.02,30,29.41,15020
15,21,107,57,53.27,24,22.43,15021
15,22,99,44,44.44,28,28.28,15022
15,23,129,71,55.04,33,25.58,15023
15,24,90,49,54.44,21,23.33,15024
16,1,172,58,33.72,13,7.56,16001
16,2,131,72,54.96,31,23.66,16002
16,3,98,49,50.0,22,22.45,16003
16,4,106,49,46.23,28,26.42,16004
16,5,98,58,59.18,21,21.43,16005
16,6,115,59,51.3,20,17.39,16006
16,7,106,47,44.34,29,27.36,16007
16,8,82,43,52.44,14,17.07,16008
16,9,146,80,54.79,35,23.97,16009
16,10,104,58,55.77,18,17.31,16010
16,11,92,46,50.0,15,16.3,16011
16,12,86,44,51.16,20,23.26,16012
16,13,106,40,37.74,20,18.87,16013
16,14,98,54,55.1,26,26.53,16014
16,15,143,70,48.95,45,31.47,16015
16,16,120,66,55.0,31,25.83,16016
16,17,116,49,42.24,18,15.52,16017
16,18,115,58,50.43,22,19.13,16018
16,19,101,57,56.44,21,20.79,16019
16,20,104,56,53.85,21,20.19,16020
16,21,101,55,54.46,25,24.75,16021
16,22,96,42,43.75,25,26.04,16022
16,23,110,43,39.09,11,10.0,16023
16,24,69,36,52.17,12,17.39,16024
16,25,154,78,50.65,42,27.27,16025
16,26,112,61,54.46,28,25.0,16026
16,27,96,49,51.04,25,26.04,16027
16,28,112,51,45.54,29,25.89,16028
16,29,99,53,53.54,23,23.23,16029
16,30,86,38,44.19,27,31.4,16030
16,31,151,86,56.95,31,20.53,16031
16,32,130,42,32.31,25,19.23,16032
16,33,107,61,57.01,29,27.1,16033
16,34,98,42,42.86,21,21.43,16034
16,35,161,63,39.13,27,16.77,16035
16,36,92,45,48.91,29,31.52,16036
17,1,143,64,44.76,19,13.29,17001
17,2,136,80,58.82,24,17.65,17002
17,3,154,79,51.3,32,20.78,17003
17,4,208,111,53.37,46,22.12,17004
17,5,133,72,54.14,27,20.3,17005
17,6,118,67,56.78,20,16.95,17006
17,7,107,51,47.66,16,14.95,17007
17,8,109,49,44.95,31,28.44,17008
17,9,127,75,59.06,30,23.62,17009
17,10,213,112,52.58,56,26.29,17010
17,11,115,66,57.39,24,20.87,17011
17,12,187,81,43.32,31,16.58,17012
17,13,129,69,53.49,24,18.6,17013
