ward,precinct,total,Richard Gonzalez,Richard Gonzalez Percent,Sol A. Flores,Sol A. Flores Percent,Jesus ''Chuy'' Garcia,Jesus ''Chuy'' Garcia Percent,precinct_id
12,11,191,15,7.85,12,6.28,164,85.86,12011
12,12,193,14,7.25,17,8.81,162,83.94,12012
12,13,214,26,12.15,18,8.41,170,79.44,12013
12,14,180,6,3.33,5,2.78,169,93.89,12014
12,15,78,6,7.69,7,8.97,65,83.33,12015
12,16,151,14,9.27,7,4.64,130,86.09,12016
12,17,199,17,8.54,15,7.54,167,83.92,12017
12,18,123,11,8.94,7,5.69,105,85.37,12018
12,19,0,0,0.0,0,0.0,0,0.0,12019
12,20,211,17,8.06,23,10.9,171,81.04,12020
12,21,204,17,8.33,33,16.18,154,75.49,12021
12,22,163,10,6.13,2,1.23,151,92.64,12022
14,2,249,40,16.06,27,10.84,182,73.09,14002
14,3,168,18,10.71,10,5.95,140,83.33,14003
14,5,242,24,9.92,16,6.61,202,83.47,14005
14,6,92,22,23.91,4,4.35,66,71.74,14006
14,10,131,24,18.32,12,9.16,95,72.52,14010
14,11,105,30,28.57,9,8.57,66,62.86,14011
14,13,182,37,20.33,29,15.93,116,63.74,14013
14,14,209,34,16.27,19,9.09,156,74.64,14014
14,15,202,24,11.88,15,7.43,163,80.69,14015
14,16,148,19,12.84,16,10.81,113,76.35,14016
14,17,167,23,13.77,12,7.19,132,79.04,14017
14,19,199,26,13.07,11,5.53,162,81.41,14019
14,20,129,12,9.3,8,6.2,109,84.5,14020
14,25,125,22,17.6,6,4.8,97,77.6,14025
14,27,192,27,14.06,13,6.77,152,79.17,14027
14,28,136,22,16.18,14,10.29,100,73.53,14028
14,30,111,12,10.81,5,4.5,94,84.68,14030
14,31,107,9,8.41,4,3.74,94,87.85,14031
15,1,3,1,33.33,0,0.0,2,66.67,15001
15,4,181,5,2.76,16,8.84,160,88.4,15004
15,5,109,7,6.42,9,8.26,93,85.32,15005
15,6,163,13,7.98,16,9.82,134,82.21,15006
15,8,97,7,7.22,7,7.22,83,85.57,15008
15,9,223,14,6.28,18,8.07,191,85.65,15009
15,10,223,21,9.42,17,7.62,185,82.96,15010
15,11,182,17,9.34,20,10.99,145,79.67,15011
15,12,192,12,6.25,22,11.46,158,82.29,15012
15,15,46,3,6.52,4,8.7,39,84.78,15015
16,1,96,11,11.46,6,6.25,79,82.29,16001
22,3,270,14,5.19,23,8.52,233,86.3,22003
22,4,158,4,2.53,10,6.33,144,91.14,22004
22,5,166,7,4.22,8,4.82,151,90.96,22005
22,6,182,13,7.14,12,6.59,157,86.26,22006
22,7,136,10,7.35,9,6.62,117,86.03,22007
22,9,143,6,4.2,5,3.5,132,92.31,22009
22,10,244,15,6.15,12,4.92,217,88.93,22010
22,11,193,7,3.63,13,6.74,173,89.64,22011
22,13,179,16,8.94,9,5.03,154,86.03,22013
22,14,73,3,4.11,4,5.48,66,90.41,22014
22,15,131,4,3.05,15,11.45,112,85.5,22015
22,16,134,9,6.72,14,10.45,111,82.84,22016
22,17,207,7,3.38,8,3.86,192,92.75,22017
22,18,152,14,9.21,10,6.58,128,84.21,22018
22,19,30,3,10.0,2,6.67,25,83.33,22019
22,20,174,8,4.6,9,5.17,157,90.23,22020
22,22,150,10,6.67,11,7.33,129,86.0,22022
22,24,205,7,3.41,12,5.85,186,90.73,22024
22,25,186,4,2.15,14,7.53,168,90.32,22025
23,9,88,9,10.23,7,7.95,72,81.82,23009
23,13,148,13,8.78,10,6.76,125,84.46,23013
23,15,35,1,2.86,4,11.43,30,85.71,23015
23,24,154,13,8.44,13,8.44,128,83.12,23024
23,26,15,5,33.33,3,20.0,7,46.67,23026
23,34,86,7,8.14,7,8.14,72,83.72,23034
23,39,164,17,10.37,9,5.49,138,84.15,23039
24,16,153,9,5.88,18,11.76,126,82.35,24016
25,1,230,31,13.48,35,15.22,164,71.3,25001
25,2,248,11,4.44,42,16.94,195,78.63,25002
25,5,253,18,7.11,45,17.79,190,75.1,25005
25,7,241,10,4.15,27,11.2,204,84.65,25007
25,8,266,11,4.14,23,8.65,232,87.22,25008
25,9,216,15,6.94,26,12.04,175,81.02,25009
25,11,257,9,3.5,35,13.62,213,82.88,25011
25,12,230,13,5.65,35,15.22,182,79.13,25012
25,13,273,7,2.56,27,9.89,239,87.55,25013
25,14,18,0,0.0,4,22.22,14,77.78,25014
25,15,211,20,9.48,29,13.74,162,76.78,25015
25,17,283,13,4.59,45,15.9,225,79.51,25017
25,19,264,6,2.27,34,12.88,224,84.85,25019
25,22,224,12,5.36,28,12.5,184,82.14,25022
25,23,304,16,5.26,38,12.5,250,82.24,25023
25,24,243,7,2.88,36,14.81,200,82.3,25024
25,26,212,17,8.02,24,11.32,171,80.66,25026
25,27,19,0,0.0,1,5.26,18,94.74,25027
25,28,264,8,3.03,32,12.12,224,84.85,25028
25,30,231,6,2.6,26,11.26,199,86.15,25030
25,32,205,14,6.83,19,9.27,172,83.9,25032
26,1,95,8,8.42,20,21.05,67,70.53,26001
26,2,172,18,10.47,36,20.93,118,68.6,26002
26,5,165,16,9.7,49,29.7,100,60.61,26005
26,6,143,25,17.48,21,14.69,97,67.83,26006
26,7,177,13,7.34,62,35.03,102,57.63,26007
26,8,89,15,16.85,16,17.98,58,65.17,26008
26,9,168,23,13.69,26,15.48,119,70.83,26009
26,10,45,4,8.89,13,28.89,28,62.22,26010
26,11,172,25,14.53,34,19.77,113,65.7,26011
26,12,180,28,15.56,51,28.33,101,56.11,26012
26,13,84,12,14.29,6,7.14,66,78.57,26013
26,14,126,8,6.35,16,12.7,102,80.95,26014
26,15,87,12,13.79,5,5.75,70,80.46,26015
26,16,81,12,14.81,17,20.99,52,64.2,26016
26,18,112,13,11.61,22,19.64,77,68.75,26018
26,20,164,17,10.37,48,29.27,99,60.37,26020
26,22,76,10,13.16,10,13.16,56,73.68,26022
26,23,109,13,11.93,19,17.43,77,70.64,26023
26,24,159,20,12.58,28,17.61,111,69.81,26024
26,25,158,21,13.29,35,22.15,102,64.56,26025
26,26,102,9,8.82,30,29.41,63,61.76,26026
26,27,148,24,16.22,33,22.3,91,61.49,26027
26,29,104,18,17.31,23,22.12,63,60.58,26029
26,30,146,17,11.64,41,28.08,88,60.27,26030
26,31,83,9,10.84,11,13.25,63,75.9,26031
26,33,8,0,0.0,3,37.5,5,62.5,26033
26,34,231,19,8.23,65,28.14,147,63.64,26034
26,35,173,29,16.76,39,22.54,105,60.69,26035
26,36,44,7,15.91,9,20.45,28,63.64,26036
26,37,174,20,11.49,45,25.86,109,62.64,26037
26,38,70,13,18.57,8,11.43,49,70.0,26038
26,39,83,5,6.02,23,27.71,55,66.27,26039
26,40,113,19,16.81,25,22.12,69,61.06,26040
26,41,182,35,19.23,58,31.87,89,48.9,26041
26,42,135,17,12.59,35,25.93,83,61.48,26042
26,43,87,11,12.64,16,18.39,60,68.97,26043
26,44,106,16,15.09,21,19.81,69,65.09,26044
26,45,48,6,12.5,8,16.67,34,70.83,26045
26,47,89,7,7.87,18,20.22,64,71.91,26047
26,48,156,15,9.62,40,25.64,101,64.74,26048
26,49,79,11,13.92,14,17.72,54,68.35,26049
28,19,1,0,0.0,0,0.0,1,100.0,28019
29,1,15,6,40.0,1,6.67,8,53.33,29001
29,9,257,58,22.57,50,19.46,149,57.98,29009
29,23,171,31,18.13,41,23.98,99,57.89,29023
29,30,288,66,22.92,39,13.54,183,63.54,29030
29,38,156,26,16.67,35,22.44,95,60.9,29038
29,39,77,18,23.38,20,25.97,39,50.65,29039
29,43,95,13,13.68,21,22.11,61,64.21,29043
30,1,210,29,13.81,62,29.52,119,56.67,30001
30,2,146,27,18.49,35,23.97,84,57.53,30002
30,3,150,8,5.33,61,40.67,81,54.0,30003
30,4,147,26,17.69,32,21.77,89,60.54,30004
30,5,105,16,15.24,10,9.52,79,75.24,30005
30,6,130,25,19.23,15,11.54,90,69.23,30006
30,7,166,25,15.06,39,23.49,102,61.45,30007
30,8,231,28,12.12,43,18.61,160,69.26,30008
30,9,118,17,14.41,26,22.03,75,63.56,30009
30,10,150,24,16.0,30,20.0,96,64.0,30010
30,11,128,18,14.06,21,16.41,89,69.53,30011
30,12,107,10,9.35,20,18.69,77,71.96,30012
30,13,138,7,5.07,32,23.19,99,71.74,30013
30,14,91,14,15.38,8,8.79,69,75.82,30014
30,15,51,4,7.84,16,31.37,31,60.78,30015
30,16,57,6,10.53,11,19.3,40,70.18,30016
30,17,100,22,22.0,20,20.0,58,58.0,30017
30,18,199,22,11.06,55,27.64,122,61.31,30018
30,19,143,19,13.29,15,10.49,109,76.22,30019
30,20,185,23,12.43,52,28.11,110,59.46,30020
30,22,237,21,8.86,57,24.05,159,67.09,30022
30,23,161,15,9.32,53,32.92,93,57.76,30023
30,24,234,11,4.7,69,29.49,154,65.81,30024
30,25,259,32,12.36,80,30.89,147,56.76,30025
30,26,103,15,14.56,23,22.33,65,63.11,30026
30,27,100,12,12.0,16,16.0,72,72.0,30027
30,28,218,27,12.39,60,27.52,131,60.09,30028
30,29,89,13,14.61,7,7.87,69,77.53,30029
30,30,51,9,17.65,6,11.76,36,70.59,30030
30,31,104,18,17.31,28,26.92,58,55.77,30031
30,32,156,13,8.33,38,24.36,105,67.31,30032
31,1,97,12,12.37,16,16.49,69,71.13,31001
31,2,107,10,9.35,19,17.76,78,72.9,31002
31,3,89,21,23.6,12,13.48,56,62.92,31003
31,4,205,25,12.2,47,22.93,133,64.88,31004
31,5,148,22,14.86,30,20.27,96,64.86,31005
31,6,90,14,15.56,13,14.44,63,70.0,31006
31,7,218,13,5.96,65,29.82,140,64.22,31007
31,8,93,12,12.9,15,16.13,66,70.97,31008
31,9,123,19,15.45,25,20.33,79,64.23,31009
31,10,96,9,9.38,24,25.0,63,65.63,31010
31,11,84,24,28.57,21,25.0,39,46.43,31011
31,12,89,14,15.73,19,21.35,56,62.92,31012
31,13,142,22,15.49,19,13.38,101,71.13,31013
31,14,112,23,20.54,19,16.96,70,62.5,31014
31,15,115,14,12.17,24,20.87,77,66.96,31015
31,16,196,11,5.61,60,30.61,125,63.78,31016
31,17,105,19,18.1,22,20.95,64,60.95,31017
31,18,112,17,15.18,22,19.64,73,65.18,31018
31,19,100,8,8.0,19,19.0,73,73.0,31019
31,20,103,16,15.53,14,13.59,73,70.87,31020
31,21,116,33,28.45,13,11.21,70,60.34,31021
31,22,92,10,10.87,13,14.13,69,75.0,31022
31,23,112,17,15.18,22,19.64,73,65.18,31023
31,24,155,17,10.97,28,18.06,110,70.97,31024
31,25,95,19,20.0,17,17.89,59,62.11,31025
31,26,140,24,17.14,21,15.0,95,67.86,31026
31,27,136,42,30.88,17,12.5,77,56.62,31027
31,28,90,16,17.78,15,16.67,59,65.56,31028
31,29,140,32,22.86,16,11.43,92,65.71,31029
31,30,85,12,14.12,17,20.0,56,65.88,31030
31,31,104,21,20.19,9,8.65,74,71.15,31031
31,32,75,3,4.0,8,10.67,64,85.33,31032
31,33,89,20,22.47,16,17.98,53,59.55,31033
31,34,113,19,16.81,24,21.24,70,61.95,31034
31,35,108,18,16.67,19,17.59,71,65.74,31035
31,36,138,26,18.84,23,16.67,89,64.49,31036
31,37,103,14,13.59,21,20.39,68,66.02,31037
31,38,90,10,11.11,22,24.44,58,64.44,31038
31,39,142,9,6.34,32,22.54,101,71.13,31039
31,40,131,26,19.85,32,24.43,73,55.73,31040
31,41,108,14,12.96,13,12.04,81,75.0,31041
32,1,1,0,0.0,0,0.0,1,100.0,32001
32,3,304,22,7.24,99,32.57,183,60.2,32003
32,11,300,20,6.67,100,33.33,180,60.0,32011
32,12,214,26,12.15,63,29.44,125,58.41,32012
32,14,287,15,5.23,118,41.11,154,53.66,32014
32,16,6,1,16.67,2,33.33,3,50.0,32016
32,17,282,27,9.57,100,35.46,155,54.96,32017
32,20,287,14,4.88,117,40.77,156,54.36,32020
32,22,378,27,7.14,142,37.57,209,55.29,32022
32,26,322,37,11.49,114,35.4,171,53.11,32026
32,28,278,25,8.99,100,35.97,153,55.04,32028
32,43,241,32,13.28,68,28.22,141,58.51,32043
33,1,277,13,4.69,99,35.74,165,59.57,33001
33,3,323,28,8.67,108,33.44,187,57.89,33003
33,4,314,29,9.24,97,30.89,188,59.87,33004
33,6,217,24,11.06,58,26.73,135,62.21,33006
33,7,104,14,13.46,30,28.85,60,57.69,33007
33,8,150,10,6.67,66,44.0,74,49.33,33008
33,9,294,40,13.61,99,33.67,155,52.72,33009
33,10,216,43,19.91,46,21.3,127,58.8,33010
33,11,260,29,11.15,70,26.92,161,61.92,33011
33,12,239,41,17.15,57,23.85,141,59.0,33012
33,13,244,34,13.93,63,25.82,147,60.25,33013
33,14,108,8,7.41,32,29.63,68,62.96,33014
33,15,304,29,9.54,90,29.61,185,60.86,33015
33,16,346,37,10.69,99,28.61,210,60.69,33016
33,17,274,37,13.5,83,30.29,154,56.2,33017
33,19,117,20,17.09,28,23.93,69,58.97,33019
33,20,285,26,9.12,100,35.09,159,55.79,33020
33,21,296,35,11.82,74,25.0,187,63.18,33021
33,22,261,46,17.62,69,26.44,146,55.94,33022
33,23,289,39,13.49,81,28.03,169,58.48,33023
33,25,308,34,11.04,91,29.55,183,59.42,33025
33,26,191,20,10.47,46,24.08,125,65.45,33026
33,27,265,26,9.81,73,27.55,166,62.64,33027
33,28,247,20,8.1,65,26.32,162,65.59,33028
35,1,220,17,7.73,78,35.45,125,56.82,35001
35,2,302,19,6.29,90,29.8,193,63.91,35002
35,3,210,20,9.52,44,20.95,146,69.52,35003
35,4,211,21,9.95,60,28.44,130,61.61,35004
35,5,205,23,11.22,53,25.85,129,62.93,35005
35,6,206,13,6.31,51,24.76,142,68.93,35006
35,7,234,12,5.13,72,30.77,150,64.1,35007
35,8,251,28,11.16,68,27.09,155,61.75,35008
35,9,177,29,16.38,44,24.86,104,58.76,35009
35,10,330,17,5.15,107,32.42,206,62.42,35010
35,11,229,18,7.86,62,27.07,149,65.07,35011
35,12,145,13,8.97,12,8.28,120,82.76,35012
35,13,139,16,11.51,12,8.63,111,79.86,35013
35,14,155,31,20.0,22,14.19,102,65.81,35014
35,15,261,18,6.9,86,32.95,157,60.15,35015
35,16,133,14,10.53,19,14.29,100,75.19,35016
35,17,241,29,12.03,87,36.1,125,51.87,35017
35,18,154,21,13.64,22,14.29,111,72.08,35018
35,19,93,18,19.35,16,17.2,59,63.44,35019
35,20,179,14,7.82,40,22.35,125,69.83,35020
35,21,216,28,12.96,56,25.93,132,61.11,35021
35,22,254,23,9.06,74,29.13,157,61.81,35022
35,23,232,29,12.5,53,22.84,150,64.66,35023
35,24,196,26,13.27,44,22.45,126,64.29,35024
35,25,253,19,7.51,112,44.27,122,48.22,35025
35,26,177,18,10.17,39,22.03,120,67.8,35026
35,27,188,22,11.7,34,18.09,132,70.21,35027
35,28,199,17,8.54,70,35.18,112,56.28,35028
35,29,148,17,11.49,34,22.97,97,65.54,35029
35,30,174,27,15.52,30,17.24,117,67.24,35030
35,31,240,38,15.83,58,24.17,144,60.0,35031
36,1,152,30,19.74,27,17.76,95,62.5,36001
36,2,127,22,17.32,17,13.39,88,69.29,36002
36,3,145,21,14.48,26,17.93,98,67.59,36003
36,4,118,11,9.32,21,17.8,86,72.88,36004
36,6,118,16,13.56,18,15.25,84,71.19,36006
36,8,117,25,21.37,15,12.82,77,65.81,36008
36,9,135,16,11.85,16,11.85,103,76.3,36009
36,10,176,29,16.48,38,21.59,109,61.93,36010
36,11,96,8,8.33,29,30.21,59,61.46,36011
36,12,87,7,8.05,15,17.24,65,74.71,36012
36,13,93,17,18.28,12,12.9,64,68.82,36013
36,16,39,6,15.38,7,17.95,26,66.67,36016
36,19,180,24,13.33,28,15.56,128,71.11,36019
36,20,77,10,12.99,11,14.29,56,72.73,36020
36,21,26,6,23.08,4,15.38,16,61.54,36021
36,22,112,21,18.75,14,12.5,77,68.75,36022
36,23,93,7,7.53,12,12.9,74,79.57,36023
36,24,24,5,20.83,3,12.5,16,66.67,36024
36,25,133,16,12.03,19,14.29,98,73.68,36025
36,27,151,33,21.85,26,17.22,92,60.93,36027
36,29,89,20,22.47,22,24.72,47,52.81,36029
37,26,9,2,22.22,2,22.22,5,55.56,37026
38,1,155,15,9.68,54,34.84,86,55.48,38001
38,35,98,16,16.33,13,13.27,69,70.41,38035
38,41,218,32,14.68,63,28.9,123,56.42,38041
39,6,1,0,0.0,0,0.0,1,100.0,39006
39,12,71,11,15.49,13,18.31,47,66.2,39012
39,25,1,0,0.0,0,0.0,1,100.0,39025
39,28,168,21,12.5,58,34.52,89,52.98,39028
39,31,183,28,15.3,42,22.95,113,61.75,39031
45,1,181,13,7.18,54,29.83,114,62.98,45001
45,2,215,25,11.63,64,29.77,126,58.6,45002
45,8,183,25,13.66,55,30.05,103,56.28,45008
45,9,204,33,16.18,39,19.12,132,64.71,45009
45,10,216,30,13.89,62,28.7,124,57.41,45010
