ward,precinct,total,Kent Delgado,Kent Delgado Percent,Sean Patrick Kelly,Sean Patrick Kelly Percent,precinct_id
32,6,190,133,70.0,28,14.74,32006
32,9,168,94,55.95,35,20.83,32009
32,11,232,149,64.22,32,13.79,32011
32,12,176,109,61.93,26,14.77,32012
32,13,106,55,51.89,28,26.42,32013
32,14,231,174,75.32,18,7.79,32014
32,15,176,120,68.18,26,14.77,32015
32,16,196,130,66.33,33,16.84,32016
32,17,224,131,58.48,35,15.63,32017
32,19,23,12,52.17,3,13.04,32019
32,20,242,152,62.81,26,10.74,32020
32,21,33,18,54.55,9,27.27,32021
32,22,295,186,63.05,41,13.9,32022
32,24,93,56,60.22,22,23.66,32024
32,25,27,14,51.85,6,22.22,32025
32,26,252,157,62.3,42,16.67,32026
32,27,144,92,63.89,29,20.14,32027
32,28,232,159,68.53,28,12.07,32028
32,29,218,135,61.93,36,16.51,32029
32,30,128,74,57.81,22,17.19,32030
32,31,184,119,64.67,31,16.85,32031
32,32,198,131,66.16,28,14.14,32032
32,33,182,104,57.14,40,21.98,32033
32,34,177,104,58.76,36,20.34,32034
32,35,149,85,57.05,29,19.46,32035
32,36,193,130,67.36,30,15.54,32036
32,37,155,90,58.06,32,20.65,32037
32,38,155,83,53.55,38,24.52,32038
32,40,205,115,56.1,42,20.49,32040
32,41,195,82,42.05,80,41.03,32041
32,42,153,98,64.05,30,19.61,32042
32,43,196,122,62.24,24,12.24,32043
33,1,236,126,53.39,27,11.44,33001
33,3,289,169,58.48,45,15.57,33003
33,4,262,127,48.47,38,14.5,33004
33,5,147,82,55.78,28,19.05,33005
33,6,195,93,47.69,35,17.95,33006
33,8,349,249,71.35,47,13.47,33008
33,9,255,127,49.8,44,17.25,33009
33,10,198,86,43.43,54,27.27,33010
33,11,217,115,53.0,36,16.59,33011
33,12,208,94,45.19,42,20.19,33012
33,13,204,96,47.06,36,17.65,33013
33,14,94,50,53.19,13,13.83,33014
33,15,257,140,54.47,33,12.84,33015
33,16,292,140,47.95,59,20.21,33016
33,17,237,112,47.26,52,21.94,33017
33,19,204,104,50.98,44,21.57,33019
33,20,239,150,62.76,34,14.23,33020
33,21,247,123,49.8,44,17.81,33021
33,22,230,123,53.48,43,18.7,33022
33,23,233,139,59.66,36,15.45,33023
33,24,407,291,71.5,57,14.0,33024
33,25,256,135,52.73,57,22.27,33025
33,26,150,76,50.67,22,14.67,33026
33,27,221,122,55.2,32,14.48,33027
33,28,198,123,62.12,24,12.12,33028
35,1,171,93,54.39,11,6.43,35001
35,2,247,155,62.75,23,9.31,35002
35,3,172,89,51.74,22,12.79,35003
35,4,166,70,42.17,42,25.3,35004
35,5,167,83,49.7,33,19.76,35005
35,6,179,101,56.42,25,13.97,35006
35,7,193,116,60.1,17,8.81,35007
35,8,206,107,51.94,18,8.74,35008
35,10,277,185,66.79,13,4.69,35010
35,11,190,102,53.68,16,8.42,35011
35,12,127,48,37.8,12,9.45,35012
35,13,125,53,42.4,13,10.4,35013
35,14,134,66,49.25,15,11.19,35014
35,15,214,128,59.81,20,9.35,35015
35,16,104,47,45.19,10,9.62,35016
35,17,193,106,54.92,30,15.54,35017
35,18,128,56,43.75,12,9.38,35018
35,19,90,39,43.33,10,11.11,35019
35,20,150,55,36.67,24,16.0,35020
35,21,175,89,50.86,28,16.0,35021
35,23,104,50,48.08,20,19.23,35023
35,24,152,72,47.37,29,19.08,35024
35,25,201,122,60.7,30,14.93,35025
35,26,156,78,50.0,31,19.87,35026
35,27,164,86,52.44,28,17.07,35027
35,28,173,114,65.9,21,12.14,35028
36,6,95,45,47.37,9,9.47,36006
36,8,107,47,43.93,16,14.95,36008
36,9,113,60,53.1,10,8.85,36009
36,11,84,43,51.19,14,16.67,36011
36,12,74,33,44.59,8,10.81,36012
36,13,76,34,44.74,7,9.21,36013
36,21,99,41,41.41,9,9.09,36021
36,22,95,38,40.0,9,9.47,36022
36,23,29,16,55.17,4,13.79,36023
36,25,110,49,44.55,10,9.09,36025
37,2,98,40,40.82,27,27.55,37002
37,10,165,55,33.33,54,32.73,37010
37,12,94,36,38.3,20,21.28,37012
37,16,47,15,31.91,13,27.66,37016
37,22,95,41,43.16,34,35.79,37022
37,26,9,2,22.22,2,22.22,37026
37,41,100,34,34.0,41,41.0,37041
40,8,284,178,62.68,53,18.66,40008
40,38,163,98,60.12,18,11.04,40038
47,9,116,76,65.52,19,16.38,47009
47,13,59,42,71.19,7,11.86,47013
47,40,178,120,67.42,27,15.17,47040
47,42,76,55,72.37,9,11.84,47042
