ward,precinct,total,Al Riley,Al Riley Percent,William Calloway,William Calloway Percent,precinct_id
9,37,244,134,54.92,110,45.08,09037
9,38,164,82,50.0,82,50.0,09038
9,39,212,128,60.38,84,39.62,09039
9,40,220,94,42.73,126,57.27,09040
9,41,139,61,43.88,78,56.12,09041
9,43,147,69,46.94,78,53.06,09043
9,44,182,100,54.95,82,45.05,09044
9,45,135,74,54.81,61,45.19,09045
9,46,184,95,51.63,89,48.37,09046
10,1,135,62,45.93,73,54.07,10001
10,2,142,81,57.04,61,42.96,10002
10,3,124,66,53.23,58,46.77,10003
10,4,114,61,53.51,53,46.49,10004
10,5,96,47,48.96,49,51.04,10005
10,6,105,55,52.38,50,47.62,10006
10,7,82,40,48.78,42,51.22,10007
10,8,70,30,42.86,40,57.14,10008
10,9,111,63,56.76,48,43.24,10009
10,10,128,71,55.47,57,44.53,10010
10,11,135,73,54.07,62,45.93,10011
10,12,82,35,42.68,47,57.32,10012
10,13,138,72,52.17,66,47.83,10013
10,14,150,96,64.0,54,36.0,10014
10,15,359,187,52.09,172,47.91,10015
10,16,88,48,54.55,40,45.45,10016
10,17,179,91,50.84,88,49.16,10017
10,18,79,45,56.96,34,43.04,10018
10,19,111,59,53.15,52,46.85,10019
10,20,133,67,50.38,66,49.62,10020
10,21,89,53,59.55,36,40.45,10021
10,22,77,41,53.25,36,46.75,10022
10,23,103,57,55.34,46,44.66,10023
10,24,116,60,51.72,56,48.28,10024
10,25,46,25,54.35,21,45.65,10025
10,26,84,56,66.67,28,33.33,10026
10,27,134,64,47.76,70,52.24,10027
10,28,131,70,53.44,61,46.56,10028
10,29,107,55,51.4,52,48.6,10029
10,30,110,65,59.09,45,40.91,10030
10,31,92,52,56.52,40,43.48,10031
10,32,110,65,59.09,45,40.91,10032
10,33,97,64,65.98,33,34.02,10033
10,34,80,43,53.75,37,46.25,10034
10,35,145,90,62.07,55,37.93,10035
10,36,36,20,55.56,16,44.44,10036
34,2,31,19,61.29,12,38.71,34002
34,4,126,67,53.17,59,46.83,34004
34,18,143,76,53.15,67,46.85,34018
34,22,149,79,53.02,70,46.98,34022
34,23,154,87,56.49,67,43.51,34023
34,24,167,68,40.72,99,59.28,34024
34,27,160,80,50.0,80,50.0,34027
34,28,112,75,66.96,37,33.04,34028
34,30,137,73,53.28,64,46.72,34030
34,36,181,102,56.35,79,43.65,34036
34,37,112,54,48.21,58,51.79,34037
34,38,80,40,50.0,40,50.0,34038
34,39,131,79,60.31,52,39.69,34039
34,41,121,52,42.98,69,57.02,34041
34,53,103,44,42.72,59,57.28,34053
