ward,precinct,total,Angeles Sandoval,Angeles Sandoval Percent,Alma E. Anaya,Alma E. Anaya Percent,precinct_id
14,17,174,85,48.85,89,51.15,14017
14,19,203,111,54.68,92,45.32,14019
14,20,125,65,52.0,60,48.0,14020
14,21,209,90,43.06,119,56.94,14021
14,25,128,58,45.31,70,54.69,14025
14,26,150,80,53.33,70,46.67,14026
14,29,199,84,42.21,115,57.79,14029
14,30,114,51,44.74,63,55.26,14030
14,31,104,56,53.85,48,46.15,14031
15,1,177,56,31.64,121,68.36,15001
15,4,182,64,35.16,118,64.84,15004
15,5,155,56,36.13,99,63.87,15005
15,6,164,74,45.12,90,54.88,15006
15,8,163,57,34.97,106,65.03,15008
15,9,218,94,43.12,124,56.88,15009
15,10,214,102,47.66,112,52.34,15010
15,11,184,88,47.83,96,52.17,15011
15,12,190,94,49.47,96,50.53,15012
15,13,160,53,33.13,107,66.88,15013
15,14,151,45,29.8,106,70.2,15014
15,15,124,60,48.39,64,51.61,15015
15,16,139,77,55.4,62,44.6,15016
15,19,160,96,60.0,64,40.0,15019
16,1,196,94,47.96,102,52.04,16001
16,13,42,21,50.0,21,50.0,16013
16,17,70,46,65.71,24,34.29,16017
16,23,85,54,63.53,31,36.47,16023
16,32,142,78,54.93,64,45.07,16032
16,35,179,100,55.87,79,44.13,16035
17,7,97,59,60.82,38,39.18,17007
17,12,170,104,61.18,66,38.82,17012
17,14,176,97,55.11,79,44.89,17014
20,15,133,67,50.38,66,49.62,20015
20,17,45,25,55.56,20,44.44,20017
20,20,119,49,41.18,70,58.82,20020
22,1,130,87,66.92,43,33.08,22001
22,2,249,157,63.05,92,36.95,22002
22,3,263,99,37.64,164,62.36,22003
22,4,155,52,33.55,103,66.45,22004
22,5,167,54,32.34,113,67.66,22005
22,6,175,67,38.29,108,61.71,22006
22,7,135,46,34.07,89,65.93,22007
22,8,272,157,57.72,115,42.28,22008
22,9,140,50,35.71,90,64.29,22009
22,10,239,66,27.62,173,72.38,22010
22,11,173,60,34.68,113,65.32,22011
22,12,185,94,50.81,91,49.19,22012
22,13,180,51,28.33,129,71.67,22013
22,14,152,56,36.84,96,63.16,22014
22,15,139,48,34.53,91,65.47,22015
22,16,132,51,38.64,81,61.36,22016
22,17,203,53,26.11,150,73.89,22017
22,18,148,47,31.76,101,68.24,22018
22,20,171,54,31.58,117,68.42,22020
22,22,147,51,34.69,96,65.31,22022
22,23,274,184,67.15,90,32.85,22023
22,24,197,62,31.47,135,68.53,22024
22,25,180,61,33.89,119,66.11,22025
23,5,181,112,61.88,69,38.12,23005
23,7,155,84,54.19,71,45.81,23007
23,9,164,88,53.66,76,46.34,23009
23,10,136,72,52.94,64,47.06,23010
23,11,182,84,46.15,98,53.85,23011
23,13,145,77,53.1,68,46.9,23013
23,15,153,81,52.94,72,47.06,23015
23,17,100,53,53.0,47,47.0,23017
23,19,150,65,43.33,85,56.67,23019
23,20,101,43,42.57,58,57.43,23020
23,24,156,79,50.64,77,49.36,23024
23,26,173,95,54.91,78,45.09,23026
23,30,212,108,50.94,104,49.06,23030
23,31,140,56,40.0,84,60.0,23031
23,32,174,96,55.17,78,44.83,23032
23,33,177,71,40.11,106,59.89,23033
23,34,174,80,45.98,94,54.02,23034
23,39,175,94,53.71,81,46.29,23039
24,7,96,46,47.92,50,52.08,24007
24,16,221,98,44.34,123,55.66,24016
25,1,222,82,36.94,140,63.06,25001
25,2,241,82,34.02,159,65.98,25002
25,5,254,104,40.94,150,59.06,25005
25,7,238,82,34.45,156,65.55,25007
25,8,250,84,33.6,166,66.4,25008
25,9,206,62,30.1,144,69.9,25009
25,11,251,68,27.09,183,72.91,25011
25,12,226,80,35.4,146,64.6,25012
25,13,261,68,26.05,193,73.95,25013
25,14,15,7,46.67,8,53.33,25014
25,15,199,65,32.66,134,67.34,25015
25,17,281,118,41.99,163,58.01,25017
25,19,264,64,24.24,200,75.76,25019
25,22,214,66,30.84,148,69.16,25022
25,23,294,104,35.37,190,64.63,25023
25,24,238,82,34.45,156,65.55,25024
25,26,203,84,41.38,119,58.62,25026
25,27,15,6,40.0,9,60.0,25027
25,28,264,79,29.92,185,70.08,25028
25,30,225,52,23.11,173,76.89,25030
25,32,211,75,35.55,136,64.45,25032
28,19,1,0,0.0,1,100.0,28019
28,34,6,4,66.67,2,33.33,28034
