ward,precinct,total,Pat Quinn,Pat Quinn Percent,Renato Mariotti,Renato Mariotti Percent,Scott Drury,Scott Drury Percent,Nancy Rotering,Nancy Rotering Percent,Kwame Raoul,Kwame Raoul Percent,Jesse Ruiz,Jesse Ruiz Percent,Sharon Fairley,Sharon Fairley Percent,Aaron Goldstein,Aaron Goldstein Percent,precinct_id
1,30,286,40,13.99,12,4.2,10,3.5,22,7.69,77,26.92,51,17.83,51,17.83,23,8.04,01030
1,31,257,48,18.68,6,2.33,11,4.28,16,6.23,70,27.24,56,21.79,42,16.34,8,3.11,01031
1,32,216,37,17.13,10,4.63,9,4.17,30,13.89,51,23.61,25,11.57,39,18.06,15,6.94,01032
1,33,271,46,16.97,16,5.9,20,7.38,22,8.12,57,21.03,21,7.75,72,26.57,17,6.27,01033
1,34,215,27,12.56,9,4.19,6,2.79,23,10.7,64,29.77,28,13.02,47,21.86,11,5.12,01034
1,35,275,45,16.36,17,6.18,14,5.09,19,6.91,85,30.91,25,9.09,61,22.18,9,3.27,01035
1,36,220,41,18.64,14,6.36,14,6.36,16,7.27,53,24.09,13,5.91,53,24.09,16,7.27,01036
1,37,232,39,16.81,13,5.6,9,3.88,23,9.91,59,25.43,20,8.62,55,23.71,14,6.03,01037
1,38,219,37,16.89,13,5.94,15,6.85,20,9.13,49,22.37,28,12.79,41,18.72,16,7.31,01038
1,39,209,42,20.1,9,4.31,12,5.74,21,10.05,39,18.66,34,16.27,50,23.92,2,0.96,01039
1,40,252,62,24.6,13,5.16,10,3.97,23,9.13,60,23.81,43,17.06,25,9.92,16,6.35,01040
1,41,168,25,14.88,8,4.76,10,5.95,13,7.74,45,26.79,13,7.74,39,23.21,15,8.93,01041
1,42,64,13,20.31,2,3.13,0,0.0,5,7.81,11,17.19,11,17.19,14,21.88,8,12.5,01042
1,43,148,36,24.32,3,2.03,11,7.43,11,7.43,36,24.32,18,12.16,23,15.54,10,6.76,01043
1,44,218,28,12.84,11,5.05,5,2.29,20,9.17,70,32.11,21,9.63,46,21.1,17,7.8,01044
2,1,231,32,13.85,9,3.9,7,3.03,23,9.96,77,33.33,11,4.76,62,26.84,10,4.33,02001
2,2,214,34,15.89,10,4.67,13,6.07,27,12.62,45,21.03,7,3.27,69,32.24,9,4.21,02002
2,3,275,48,17.45,17,6.18,18,6.55,27,9.82,80,29.09,18,6.55,61,22.18,6,2.18,02003
2,4,185,29,15.68,10,5.41,6,3.24,12,6.49,58,31.35,9,4.86,46,24.86,15,8.11,02004
2,5,258,46,17.83,13,5.04,8,3.1,23,8.91,71,27.52,17,6.59,62,24.03,18,6.98,02005
2,6,191,32,16.75,7,3.66,12,6.28,18,9.42,67,35.08,12,6.28,35,18.32,8,4.19,02006
2,7,218,46,21.1,14,6.42,15,6.88,22,10.09,40,18.35,24,11.01,48,22.02,9,4.13,02007
2,8,242,43,17.77,15,6.2,15,6.2,17,7.02,79,32.64,12,4.96,53,21.9,8,3.31,02008
2,9,155,30,19.35,7,4.52,9,5.81,19,12.26,44,28.39,7,4.52,32,20.65,7,4.52,02009
2,10,213,29,13.62,8,3.76,25,11.74,24,11.27,43,20.19,11,5.16,58,27.23,15,7.04,02010
2,11,265,44,16.6,11,4.15,20,7.55,26,9.81,59,22.26,9,3.4,82,30.94,14,5.28,02011
2,12,249,40,16.06,8,3.21,13,5.22,18,7.23,104,41.77,9,3.61,52,20.88,5,2.01,02012
2,13,219,35,15.98,10,4.57,17,7.76,30,13.7,46,21.0,8,3.65,67,30.59,6,2.74,02013
2,14,280,42,15.0,10,3.57,14,5.0,17,6.07,94,33.57,23,8.21,56,20.0,24,8.57,02014
2,15,228,43,18.86,18,7.89,17,7.46,9,3.95,61,26.75,9,3.95,58,25.44,13,5.7,02015
2,16,215,38,17.67,11,5.12,14,6.51,6,2.79,69,32.09,21,9.77,46,21.4,10,4.65,02016
2,17,298,38,12.75,16,5.37,15,5.03,25,8.39,86,28.86,17,5.7,80,26.85,21,7.05,02017
2,18,213,35,16.43,10,4.69,12,5.63,18,8.45,59,27.7,4,1.88,70,32.86,5,2.35,02018
2,19,180,35,19.44,5,2.78,11,6.11,22,12.22,35,19.44,13,7.22,55,30.56,4,2.22,02019
2,20,179,34,18.99,19,10.61,11,6.15,16,8.94,29,16.2,8,4.47,52,29.05,10,5.59,02020
2,21,256,36,14.06,15,5.86,21,8.2,24,9.38,60,23.44,14,5.47,68,26.56,18,7.03,02021
2,22,226,34,15.04,14,6.19,26,11.5,26,11.5,47,20.8,7,3.1,62,27.43,10,4.42,02022
2,23,185,24,12.97,7,3.78,13,7.03,23,12.43,41,22.16,15,8.11,55,29.73,7,3.78,02023
2,24,230,33,14.35,14,6.09,14,6.09,24,10.43,64,27.83,13,5.65,60,26.09,8,3.48,02024
2,25,231,38,16.45,7,3.03,18,7.79,22,9.52,49,21.21,18,7.79,65,28.14,14,6.06,02025
2,26,170,36,21.18,8,4.71,14,8.24,13,7.65,51,30.0,8,4.71,30,17.65,10,5.88,02026
2,27,197,50,25.38,12,6.09,16,8.12,26,13.2,45,22.84,8,4.06,37,18.78,3,1.52,02027
2,28,230,36,15.65,11,4.78,14,6.09,25,10.87,61,26.52,8,3.48,64,27.83,11,4.78,02028
2,29,222,35,15.77,17,7.66,15,6.76,30,13.51,70,31.53,5,2.25,44,19.82,6,2.7,02029
2,30,190,36,18.95,9,4.74,14,7.37,23,12.11,35,18.42,9,4.74,64,33.68,0,0.0,02030
2,31,300,48,16.0,13,4.33,27,9.0,27,9.0,57,19.0,18,6.0,100,33.33,10,3.33,02031
2,32,170,29,17.06,9,5.29,10,5.88,19,11.18,51,30.0,7,4.12,40,23.53,5,2.94,02032
2,33,375,62,16.53,22,5.87,27,7.2,36,9.6,97,25.87,8,2.13,112,29.87,11,2.93,02033
2,34,254,28,11.02,10,3.94,23,9.06,40,15.75,54,21.26,11,4.33,83,32.68,5,1.97,02034
2,35,212,29,13.68,9,4.25,15,7.08,26,12.26,59,27.83,11,5.19,51,24.06,12,5.66,02035
2,36,196,32,16.33,11,5.61,19,9.69,27,13.78,46,23.47,11,5.61,41,20.92,9,4.59,02036
2,37,221,42,19.0,10,4.52,11,4.98,25,11.31,52,23.53,11,4.98,62,28.05,8,3.62,02037
2,38,204,28,13.73,10,4.9,29,14.22,21,10.29,47,23.04,9,4.41,48,23.53,12,5.88,02038
2,39,146,30,20.55,5,3.42,14,9.59,12,8.22,41,28.08,9,6.16,27,18.49,8,5.48,02039
2,40,233,54,23.18,12,5.15,14,6.01,25,10.73,53,22.75,14,6.01,52,22.32,9,3.86,02040
2,41,144,33,22.92,12,8.33,5,3.47,12,8.33,39,27.08,6,4.17,34,23.61,3,2.08,02041
2,42,187,33,17.65,11,5.88,21,11.23,13,6.95,56,29.95,4,2.14,46,24.6,3,1.6,02042
2,43,230,28,12.17,21,9.13,18,7.83,24,10.43,44,19.13,7,3.04,77,33.48,11,4.78,02043
2,44,141,23,16.31,6,4.26,12,8.51,13,9.22,32,22.7,7,4.96,46,32.62,2,1.42,02044
2,45,237,61,25.74,12,5.06,13,5.49,22,9.28,85,35.86,4,1.69,34,14.35,6,2.53,02045
2,46,123,26,21.14,9,7.32,7,5.69,11,8.94,32,26.02,5,4.07,29,23.58,4,3.25,02046
3,1,376,95,25.27,4,1.06,8,2.13,4,1.06,239,63.56,6,1.6,20,5.32,0,0.0,03001
3,2,426,79,18.54,8,1.88,14,3.29,19,4.46,280,65.73,9,2.11,14,3.29,3,0.7,03002
3,3,260,63,24.23,9,3.46,9,3.46,8,3.08,126,48.46,12,4.62,29,11.15,4,1.54,03003
3,4,302,50,16.56,1,0.33,7,2.32,2,0.66,206,68.21,8,2.65,20,6.62,8,2.65,03004
3,5,147,37,25.17,1,0.68,4,2.72,4,2.72,90,61.22,3,2.04,8,5.44,0,0.0,03005
3,6,280,39,13.93,9,3.21,13,4.64,25,8.93,109,38.93,16,5.71,56,20.0,13,4.64,03006
3,7,252,46,18.25,5,1.98,10,3.97,10,3.97,160,63.49,8,3.17,9,3.57,4,1.59,03007
3,8,210,55,26.19,2,0.95,5,2.38,7,3.33,124,59.05,7,3.33,8,3.81,2,0.95,03008
3,9,274,43,15.69,4,1.46,5,1.82,10,3.65,184,67.15,7,2.55,17,6.2,4,1.46,03009
3,10,136,33,24.26,1,0.74,1,0.74,0,0.0,89,65.44,2,1.47,8,5.88,2,1.47,03010
3,11,262,38,14.5,2,0.76,3,1.15,5,1.91,171,65.27,5,1.91,26,9.92,12,4.58,03011
3,12,341,53,15.54,2,0.59,4,1.17,8,2.35,232,68.04,8,2.35,30,8.8,4,1.17,03012
3,13,324,50,15.43,14,4.32,15,4.63,24,7.41,115,35.49,19,5.86,80,24.69,7,2.16,03013
3,14,243,49,20.16,13,5.35,14,5.76,14,5.76,96,39.51,6,2.47,45,18.52,6,2.47,03014
3,15,253,55,21.74,5,1.98,2,0.79,6,2.37,155,61.26,9,3.56,17,6.72,4,1.58,03015
3,16,233,37,15.88,7,3.0,6,2.58,3,1.29,156,66.95,8,3.43,13,5.58,3,1.29,03016
3,17,275,45,16.36,6,2.18,15,5.45,19,6.91,143,52.0,4,1.45,39,14.18,4,1.45,03017
3,18,346,84,24.28,5,1.45,13,3.76,4,1.16,187,54.05,8,2.31,36,10.4,9,2.6,03018
3,19,272,44,16.18,12,4.41,11,4.04,27,9.93,106,38.97,10,3.68,58,21.32,4,1.47,03019
3,20,285,59,20.7,6,2.11,1,0.35,10,3.51,171,60.0,9,3.16,26,9.12,3,1.05,03020
3,21,346,64,18.5,13,3.76,26,7.51,11,3.18,165,47.69,11,3.18,56,16.18,0,0.0,03021
3,22,279,41,14.7,12,4.3,12,4.3,36,12.9,89,31.9,13,4.66,66,23.66,10,3.58,03022
3,23,227,43,18.94,6,2.64,5,2.2,5,2.2,151,66.52,3,1.32,10,4.41,4,1.76,03023
3,24,258,55,21.32,5,1.94,6,2.33,8,3.1,161,62.4,7,2.71,10,3.88,6,2.33,03024
3,25,397,66,16.62,9,2.27,37,9.32,29,7.3,127,31.99,8,2.02,113,28.46,8,2.02,03025
3,26,372,74,19.89,15,4.03,18,4.84,22,5.91,149,40.05,13,3.49,76,20.43,5,1.34,03026
3,27,289,50,17.3,11,3.81,19,6.57,26,9.0,108,37.37,16,5.54,52,17.99,7,2.42,03027
3,28,202,43,21.29,2,0.99,3,1.49,5,2.48,138,68.32,2,0.99,6,2.97,3,1.49,03028
3,29,267,70,26.22,5,1.87,3,1.12,9,3.37,150,56.18,7,2.62,17,6.37,6,2.25,03029
3,30,265,48,18.11,4,1.51,4,1.51,2,0.75,181,68.3,6,2.26,18,6.79,2,0.75,03030
3,31,311,52,16.72,2,0.64,8,2.57,9,2.89,210,67.52,4,1.29,18,5.79,8,2.57,03031
3,32,289,41,14.19,7,2.42,12,4.15,25,8.65,120,41.52,10,3.46,66,22.84,8,2.77,03032
3,33,245,38,15.51,13,5.31,12,4.9,20,8.16,89,36.33,13,5.31,54,22.04,6,2.45,03033
3,34,329,71,21.58,11,3.34,21,6.38,18,5.47,140,42.55,14,4.26,49,14.89,5,1.52,03034
3,35,102,28,27.45,2,1.96,1,0.98,0,0.0,53,51.96,3,2.94,10,9.8,5,4.9,03035
3,36,144,33,22.92,6,4.17,4,2.78,3,2.08,80,55.56,6,4.17,12,8.33,0,0.0,03036
3,37,216,51,23.61,3,1.39,7,3.24,4,1.85,133,61.57,3,1.39,9,4.17,6,2.78,03037
3,38,306,79,25.82,1,0.33,3,0.98,7,2.29,188,61.44,5,1.63,20,6.54,3,0.98,03038
3,39,336,69,20.54,17,5.06,18,5.36,36,10.71,95,28.27,19,5.65,73,21.73,9,2.68,03039
3,40,294,63,21.43,7,2.38,8,2.72,15,5.1,147,50.0,11,3.74,36,12.24,7,2.38,03040
3,41,270,58,21.48,16,5.93,12,4.44,12,4.44,132,48.89,8,2.96,26,9.63,6,2.22,03041
4,1,399,50,12.53,14,3.51,6,1.5,17,4.26,206,51.63,9,2.26,78,19.55,19,4.76,04001
4,2,317,51,16.09,10,3.15,14,4.42,35,11.04,89,28.08,10,3.15,101,31.86,7,2.21,04002
4,3,257,52,20.23,2,0.78,4,1.56,3,1.17,173,67.32,5,1.95,15,5.84,3,1.17,04003
4,4,394,65,16.5,3,0.76,9,2.28,6,1.52,271,68.78,4,1.02,33,8.38,3,0.76,04004
4,5,320,48,15.0,4,1.25,5,1.56,5,1.56,213,66.56,7,2.19,29,9.06,9,2.81,04005
4,6,399,62,15.54,5,1.25,1,0.25,13,3.26,280,70.18,6,1.5,29,7.27,3,0.75,04006
4,7,430,65,15.12,4,0.93,4,0.93,8,1.86,289,67.21,10,2.33,40,9.3,10,2.33,04007
4,8,363,54,14.88,3,0.83,1,0.28,5,1.38,253,69.7,5,1.38,40,11.02,2,0.55,04008
4,9,435,38,8.74,4,0.92,4,0.92,7,1.61,316,72.64,5,1.15,54,12.41,7,1.61,04009
4,10,377,55,14.59,2,0.53,5,1.33,10,2.65,250,66.31,11,2.92,37,9.81,7,1.86,04010
4,11,275,62,22.55,1,0.36,6,2.18,4,1.45,169,61.45,6,2.18,23,8.36,4,1.45,04011
4,12,313,42,13.42,3,0.96,6,1.92,7,2.24,199,63.58,11,3.51,36,11.5,9,2.88,04012
4,13,193,28,14.51,8,4.15,10,5.18,18,9.33,62,32.12,5,2.59,54,27.98,8,4.15,04013
4,14,329,52,15.81,1,0.3,10,3.04,11,3.34,203,61.7,4,1.22,41,12.46,7,2.13,04014
4,15,371,43,11.59,5,1.35,6,1.62,12,3.23,255,68.73,5,1.35,39,10.51,6,1.62,04015
4,16,336,51,15.18,18,5.36,11,3.27,15,4.46,101,30.06,19,5.65,106,31.55,15,4.46,04016
4,17,332,42,12.65,24,7.23,10,3.01,44,13.25,108,32.53,10,3.01,75,22.59,19,5.72,04017
4,18,327,79,24.16,6,1.83,3,0.92,6,1.83,186,56.88,7,2.14,32,9.79,8,2.45,04018
4,19,205,63,30.73,3,1.46,3,1.46,5,2.44,112,54.63,3,1.46,12,5.85,4,1.95,04019
4,20,281,43,15.3,7,2.49,12,4.27,24,8.54,98,34.88,6,2.14,78,27.76,13,4.63,04020
4,21,278,43,15.47,10,3.6,20,7.19,32,11.51,82,29.5,12,4.32,68,24.46,11,3.96,04021
4,22,327,32,9.79,3,0.92,7,2.14,11,3.36,176,53.82,24,7.34,65,19.88,9,2.75,04022
4,23,438,45,10.27,8,1.83,9,2.05,17,3.88,235,53.65,20,4.57,81,18.49,23,5.25,04023
4,24,293,29,9.9,3,1.02,4,1.37,9,3.07,182,62.12,8,2.73,45,15.36,13,4.44,04024
4,25,286,40,13.99,16,5.59,17,5.94,19,6.64,95,33.22,8,2.8,79,27.62,12,4.2,04025
4,26,293,43,14.68,2,0.68,7,2.39,6,2.05,211,72.01,8,2.73,14,4.78,2,0.68,04026
4,27,375,31,8.27,15,4.0,11,2.93,8,2.13,209,55.73,14,3.73,67,17.87,20,5.33,04027
4,28,250,33,13.2,5,2.0,4,1.6,2,0.8,175,70.0,4,1.6,23,9.2,4,1.6,04028
4,29,256,48,18.75,7,2.73,0,0.0,7,2.73,164,64.06,6,2.34,24,9.38,0,0.0,04029
4,30,352,79,22.44,5,1.42,11,3.13,10,2.84,218,61.93,9,2.56,13,3.69,7,1.99,04030
4,31,404,47,11.63,10,2.48,6,1.49,7,1.73,273,67.57,6,1.49,46,11.39,9,2.23,04031
4,32,321,52,16.2,3,0.93,3,0.93,4,1.25,208,64.8,8,2.49,35,10.9,8,2.49,04032
4,33,317,52,16.4,6,1.89,2,0.63,4,1.26,190,59.94,11,3.47,45,14.2,7,2.21,04033
4,34,296,61,20.61,4,1.35,8,2.7,7,2.36,175,59.12,7,2.36,27,9.12,7,2.36,04034
4,35,365,48,13.15,3,0.82,8,2.19,6,1.64,261,71.51,3,0.82,30,8.22,6,1.64,04035
4,36,352,51,14.49,8,2.27,4,1.14,12,3.41,230,65.34,10,2.84,29,8.24,8,2.27,04036
4,37,386,46,11.92,23,5.96,17,4.4,27,6.99,122,31.61,15,3.89,122,31.61,14,3.63,04037
4,38,362,52,14.36,1,0.28,4,1.1,6,1.66,238,65.75,12,3.31,46,12.71,3,0.83,04038
5,1,224,40,17.86,6,2.68,5,2.23,8,3.57,139,62.05,2,0.89,19,8.48,5,2.23,05001
5,2,174,36,20.69,0,0.0,0,0.0,3,1.72,118,67.82,5,2.87,10,5.75,2,1.15,05002
5,3,294,29,9.86,4,1.36,4,1.36,16,5.44,158,53.74,2,0.68,62,21.09,19,6.46,05003
5,4,346,31,8.96,5,1.45,3,0.87,15,4.34,234,67.63,7,2.02,43,12.43,8,2.31,05004
5,5,269,44,16.36,2,0.74,5,1.86,8,2.97,168,62.45,10,3.72,26,9.67,6,2.23,05005
5,6,234,38,16.24,5,2.14,1,0.43,7,2.99,155,66.24,4,1.71,19,8.12,5,2.14,05006
5,7,293,41,13.99,7,2.39,4,1.37,9,3.07,179,61.09,7,2.39,36,12.29,10,3.41,05007
5,8,334,19,5.69,7,2.1,10,2.99,18,5.39,144,43.11,17,5.09,110,32.93,9,2.69,05008
5,9,357,36,10.08,7,1.96,4,1.12,6,1.68,219,61.34,6,1.68,66,18.49,13,3.64,05009
5,10,209,42,20.1,2,0.96,1,0.48,5,2.39,150,71.77,2,0.96,7,3.35,0,0.0,05010
5,11,349,37,10.6,6,1.72,5,1.43,14,4.01,201,57.59,5,1.43,72,20.63,9,2.58,05011
5,12,191,49,25.65,4,2.09,8,4.19,3,1.57,112,58.64,0,0.0,12,6.28,3,1.57,05012
5,13,216,50,23.15,1,0.46,5,2.31,2,0.93,135,62.5,4,1.85,16,7.41,3,1.39,05013
5,14,279,33,11.83,0,0.0,1,0.36,3,1.08,212,75.99,2,0.72,27,9.68,1,0.36,05014
5,15,253,39,15.42,7,2.77,4,1.58,8,3.16,135,53.36,5,1.98,44,17.39,11,4.35,05015
5,16,235,54,22.98,2,0.85,3,1.28,4,1.7,147,62.55,5,2.13,18,7.66,2,0.85,05016
5,17,238,49,20.59,3,1.26,1,0.42,12,5.04,151,63.45,5,2.1,14,5.88,3,1.26,05017
5,18,280,31,11.07,6,2.14,6,2.14,11,3.93,145,51.79,5,1.79,62,22.14,14,5.0,05018
5,19,327,32,9.79,9,2.75,9,2.75,13,3.98,143,43.73,5,1.53,88,26.91,28,8.56,05019
5,20,358,32,8.94,8,2.23,5,1.4,12,3.35,229,63.97,7,1.96,60,16.76,5,1.4,05020
5,21,293,33,11.26,7,2.39,2,0.68,11,3.75,152,51.88,8,2.73,63,21.5,17,5.8,05021
5,22,390,47,12.05,6,1.54,10,2.56,12,3.08,211,54.1,15,3.85,76,19.49,13,3.33,05022
5,23,504,47,9.33,12,2.38,9,1.79,10,1.98,281,55.75,17,3.37,111,22.02,17,3.37,05023
5,24,327,38,11.62,13,3.98,6,1.83,13,3.98,157,48.01,12,3.67,74,22.63,14,4.28,05024
5,25,301,45,14.95,2,0.66,5,1.66,2,0.66,211,70.1,5,1.66,22,7.31,9,2.99,05025
5,26,291,42,14.43,0,0.0,2,0.69,5,1.72,202,69.42,8,2.75,26,8.93,6,2.06,05026
5,27,262,27,10.31,12,4.58,4,1.53,19,7.25,109,41.6,7,2.67,66,25.19,18,6.87,05027
5,28,333,48,14.41,1,0.3,5,1.5,5,1.5,221,66.37,4,1.2,44,13.21,5,1.5,05028
5,29,294,53,18.03,2,0.68,4,1.36,1,0.34,193,65.65,6,2.04,33,11.22,2,0.68,05029
5,30,193,28,14.51,3,1.55,7,3.63,3,1.55,131,67.88,4,2.07,12,6.22,5,2.59,05030
5,31,213,40,18.78,3,1.41,3,1.41,6,2.82,132,61.97,4,1.88,21,9.86,4,1.88,05031
5,32,364,51,14.01,3,0.82,6,1.65,11,3.02,240,65.93,4,1.1,38,10.44,11,3.02,05032
5,33,320,69,21.56,3,0.94,10,3.13,8,2.5,196,61.25,6,1.88,23,7.19,5,1.56,05033
5,34,324,29,8.95,4,1.23,11,3.4,23,7.1,120,37.04,26,8.02,93,28.7,18,5.56,05034
5,35,337,39,11.57,10,2.97,11,3.26,28,8.31,156,46.29,7,2.08,67,19.88,19,5.64,05035
5,36,160,33,20.63,3,1.88,3,1.88,6,3.75,97,60.63,5,3.13,13,8.13,0,0.0,05036
5,37,357,53,14.85,4,1.12,4,1.12,20,5.6,180,50.42,11,3.08,70,19.61,15,4.2,05037
5,38,259,50,19.31,5,1.93,7,2.7,5,1.93,165,63.71,6,2.32,19,7.34,2,0.77,05038
5,39,266,22,8.27,4,1.5,4,1.5,18,6.77,128,48.12,9,3.38,78,29.32,3,1.13,05039
5,40,214,37,17.29,2,0.93,3,1.4,1,0.47,145,67.76,3,1.4,21,9.81,2,0.93,05040
5,41,209,33,15.79,4,1.91,0,0.0,10,4.78,115,55.02,6,2.87,36,17.22,5,2.39,05041
6,1,292,47,16.1,2,0.68,3,1.03,9,3.08,203,69.52,5,1.71,20,6.85,3,1.03,06001
6,2,250,54,21.6,3,1.2,3,1.2,2,0.8,161,64.4,2,0.8,22,8.8,3,1.2,06002
6,3,286,46,16.08,1,0.35,6,2.1,5,1.75,203,70.98,10,3.5,14,4.9,1,0.35,06003
6,4,160,50,31.25,2,1.25,2,1.25,1,0.63,95,59.38,2,1.25,6,3.75,2,1.25,06004
6,5,131,40,30.53,2,1.53,4,3.05,3,2.29,74,56.49,1,0.76,5,3.82,2,1.53,06005
6,6,260,37,14.23,3,1.15,4,1.54,2,0.77,178,68.46,7,2.69,25,9.62,4,1.54,06006
6,7,227,41,18.06,1,0.44,5,2.2,6,2.64,159,70.04,2,0.88,10,4.41,3,1.32,06007
6,8,234,42,17.95,0,0.0,3,1.28,4,1.71,157,67.09,4,1.71,23,9.83,1,0.43,06008
6,9,176,44,25.0,4,2.27,6,3.41,4,2.27,103,58.52,3,1.7,11,6.25,1,0.57,06009
6,10,132,27,20.45,2,1.52,1,0.76,0,0.0,90,68.18,2,1.52,8,6.06,2,1.52,06010
6,11,193,37,19.17,5,2.59,6,3.11,5,2.59,123,63.73,6,3.11,9,4.66,2,1.04,06011
6,12,142,31,21.83,0,0.0,6,4.23,1,0.7,93,65.49,1,0.7,9,6.34,1,0.7,06012
6,13,175,43,24.57,2,1.14,2,1.14,3,1.71,107,61.14,3,1.71,13,7.43,2,1.14,06013
6,14,233,32,13.73,2,0.86,3,1.29,1,0.43,175,75.11,3,1.29,17,7.3,0,0.0,06014
6,15,158,46,29.11,4,2.53,8,5.06,1,0.63,81,51.27,2,1.27,12,7.59,4,2.53,06015
6,16,285,60,21.05,2,0.7,4,1.4,7,2.46,178,62.46,7,2.46,24,8.42,3,1.05,06016
6,17,144,29,20.14,2,1.39,1,0.69,4,2.78,97,67.36,3,2.08,8,5.56,0,0.0,06017
6,18,141,41,29.08,1,0.71,4,2.84,7,4.96,73,51.77,5,3.55,8,5.67,2,1.42,06018
6,19,199,39,19.6,1,0.5,3,1.51,4,2.01,139,69.85,3,1.51,9,4.52,1,0.5,06019
6,20,120,40,33.33,1,0.83,2,1.67,0,0.0,68,56.67,1,0.83,7,5.83,1,0.83,06020
6,21,112,28,25.0,1,0.89,0,0.0,5,4.46,68,60.71,5,4.46,5,4.46,0,0.0,06021
6,22,131,29,22.14,2,1.53,4,3.05,5,3.82,83,63.36,1,0.76,6,4.58,1,0.76,06022
6,23,99,24,24.24,1,1.01,2,2.02,0,0.0,66,66.67,3,3.03,1,1.01,2,2.02,06023
6,24,124,34,27.42,5,4.03,2,1.61,1,0.81,70,56.45,2,1.61,9,7.26,1,0.81,06024
6,25,116,29,25.0,1,0.86,2,1.72,0,0.0,66,56.9,4,3.45,12,10.34,2,1.72,06025
6,26,142,22,15.49,3,2.11,5,3.52,4,2.82,81,57.04,5,3.52,21,14.79,1,0.7,06026
6,27,108,23,21.3,0,0.0,2,1.85,2,1.85,69,63.89,3,2.78,8,7.41,1,0.93,06027
6,28,105,32,30.48,0,0.0,2,1.9,2,1.9,60,57.14,1,0.95,8,7.62,0,0.0,06028
6,29,294,44,14.97,1,0.34,2,0.68,7,2.38,201,68.37,11,3.74,26,8.84,2,0.68,06029
