ward,precinct,total,Tiana Ellis Blakely,Tiana Ellis Blakely Percent,Fredrick H. Bates,Fredrick H. Bates Percent,precinct_id
21,9,231,159,68.83,72,31.17,21009
21,10,172,112,65.12,60,34.88,21010
21,11,170,118,69.41,52,30.59,21011
21,12,166,103,62.05,63,37.95,21012
21,13,101,66,65.35,35,34.65,21013
21,14,253,162,64.03,91,35.97,21014
21,16,177,121,68.36,56,31.64,21016
21,17,23,20,86.96,3,13.04,21017
21,18,219,139,63.47,80,36.53,21018
21,19,216,141,65.28,75,34.72,21019
21,20,18,11,61.11,7,38.89,21020
21,21,180,122,67.78,58,32.22,21021
21,22,177,110,62.15,67,37.85,21022
21,23,180,128,71.11,52,28.89,21023
21,24,212,136,64.15,76,35.85,21024
21,25,188,118,62.77,70,37.23,21025
21,27,179,123,68.72,56,31.28,21027
21,29,209,124,59.33,85,40.67,21029
21,32,185,119,64.32,66,35.68,21032
21,33,47,28,59.57,19,40.43,21033
21,34,21,13,61.9,8,38.1,21034
21,35,241,163,67.63,78,32.37,21035
21,36,193,129,66.84,64,33.16,21036
21,37,174,113,64.94,61,35.06,21037
21,38,168,113,67.26,55,32.74,21038
21,39,129,90,69.77,39,30.23,21039
21,40,168,112,66.67,56,33.33,21040
21,41,192,137,71.35,55,28.65,21041
21,42,212,131,61.79,81,38.21,21042
21,44,139,90,64.75,49,35.25,21044
21,45,167,110,65.87,57,34.13,21045
21,46,206,144,69.9,62,30.1,21046
21,48,107,65,60.75,42,39.25,21048
21,49,234,154,65.81,80,34.19,21049
21,50,159,99,62.26,60,37.74,21050
21,52,24,10,41.67,14,58.33,21052
34,1,238,146,61.34,92,38.66,34001
34,2,180,116,64.44,64,35.56,34002
34,3,181,125,69.06,56,30.94,34003
34,4,126,89,70.63,37,29.37,34004
34,5,170,114,67.06,56,32.94,34005
34,6,219,141,64.38,78,35.62,34006
34,7,230,163,70.87,67,29.13,34007
34,8,160,116,72.5,44,27.5,34008
34,9,135,87,64.44,48,35.56,34009
34,10,204,135,66.18,69,33.82,34010
34,11,139,90,64.75,49,35.25,34011
34,12,207,130,62.8,77,37.2,34012
34,13,209,145,69.38,64,30.62,34013
34,14,145,85,58.62,60,41.38,34014
34,15,143,104,72.73,39,27.27,34015
34,16,167,110,65.87,57,34.13,34016
34,18,148,97,65.54,51,34.46,34018
34,19,173,124,71.68,49,28.32,34019
34,20,258,176,68.22,82,31.78,34020
34,21,262,188,71.76,74,28.24,34021
34,22,216,137,63.43,79,36.57,34022
34,23,158,121,76.58,37,23.42,34023
34,24,172,113,65.7,59,34.3,34024
34,25,307,213,69.38,94,30.62,34025
34,26,227,164,72.25,63,27.75,34026
34,27,170,105,61.76,65,38.24,34027
34,28,113,53,46.9,60,53.1,34028
34,29,154,111,72.08,43,27.92,34029
34,30,234,186,79.49,48,20.51,34030
34,31,149,88,59.06,61,40.94,34031
34,32,172,113,65.7,59,34.3,34032
34,33,159,105,66.04,54,33.96,34033
34,34,231,148,64.07,83,35.93,34034
34,35,204,146,71.57,58,28.43,34035
34,36,199,127,63.82,72,36.18,34036
34,37,106,62,58.49,44,41.51,34037
34,38,76,48,63.16,28,36.84,34038
34,39,131,70,53.44,61,46.56,34039
34,40,210,152,72.38,58,27.62,34040
34,41,133,81,60.9,52,39.1,34041
34,42,241,183,75.93,58,24.07,34042
34,43,223,144,64.57,79,35.43,34043
34,44,223,137,61.43,86,38.57,34044
34,45,198,138,69.7,60,30.3,34045
34,46,142,98,69.01,44,30.99,34046
34,47,164,106,64.63,58,35.37,34047
34,48,251,175,69.72,76,30.28,34048
34,49,130,79,60.77,51,39.23,34049
34,50,136,77,56.62,59,43.38,34050
34,51,238,159,66.81,79,33.19,34051
34,52,163,111,68.1,52,31.9,34052
34,53,105,63,60.0,42,40.0,34053
