ward,precinct,total,Richard R. Boykin,Richard R. Boykin Percent,Brandon Johnson,Brandon Johnson Percent,precinct_id
29,38,142,79,55.63,63,44.37,29038
29,39,153,86,56.21,67,43.79,29039
29,40,250,140,56.0,110,44.0,29040
29,41,153,89,58.17,64,41.83,29041
29,42,213,145,68.08,68,31.92,29042
29,43,284,110,38.73,174,61.27,29043
29,44,261,162,62.07,99,37.93,29044
36,1,139,76,54.68,63,45.32,36001
36,3,133,64,48.12,69,51.88,36003
36,4,77,33,42.86,44,57.14,36004
36,7,204,111,54.41,93,45.59,36007
36,10,161,85,52.8,76,47.2,36010
36,19,156,84,53.85,72,46.15,36019
36,24,26,15,57.69,11,42.31,36024
36,26,109,53,48.62,56,51.38,36026
36,27,144,83,57.64,61,42.36,36027
36,28,106,62,58.49,44,41.51,36028
36,29,152,87,57.24,65,42.76,36029
37,1,129,79,61.24,50,38.76,37001
37,2,109,59,54.13,50,45.87,37002
37,3,114,62,54.39,52,45.61,37003
37,4,119,53,44.54,66,55.46,37004
37,5,200,88,44.0,112,56.0,37005
37,6,178,84,47.19,94,52.81,37006
37,7,111,57,51.35,54,48.65,37007
37,8,111,52,46.85,59,53.15,37008
37,9,184,93,50.54,91,49.46,37009
37,10,184,93,50.54,91,49.46,37010
37,11,105,62,59.05,43,40.95,37011
37,12,100,44,44.0,56,56.0,37012
37,13,126,76,60.32,50,39.68,37013
37,14,194,98,50.52,96,49.48,37014
37,15,182,113,62.09,69,37.91,37015
37,16,186,108,58.06,78,41.94,37016
37,17,149,91,61.07,58,38.93,37017
37,18,169,102,60.36,67,39.64,37018
37,19,131,69,52.67,62,47.33,37019
37,20,137,77,56.2,60,43.8,37020
37,21,166,78,46.99,88,53.01,37021
37,22,128,66,51.56,62,48.44,37022
37,23,185,93,50.27,92,49.73,37023
37,24,195,103,52.82,92,47.18,37024
37,25,166,102,61.45,64,38.55,37025
37,26,235,128,54.47,107,45.53,37026
37,27,174,111,63.79,63,36.21,37027
37,28,141,72,51.06,69,48.94,37028
37,29,166,73,43.98,93,56.02,37029
37,30,158,102,64.56,56,35.44,37030
37,31,171,86,50.29,85,49.71,37031
37,32,173,88,50.87,85,49.13,37032
37,33,223,137,61.43,86,38.57,37033
37,34,151,87,57.62,64,42.38,37034
37,35,210,110,52.38,100,47.62,37035
37,36,154,92,59.74,62,40.26,37036
37,37,236,149,63.14,87,36.86,37037
37,38,220,110,50.0,110,50.0,37038
37,39,153,91,59.48,62,40.52,37039
37,40,208,121,58.17,87,41.83,37040
37,41,161,83,51.55,78,48.45,37041
