ward,precinct,total,Danny K. Davis,Danny K. Davis Percent,Anthony V. Clark,Anthony V. Clark Percent,precinct_id
28,23,176,160,90.91,16,9.09,28023
28,24,141,120,85.11,21,14.89,28024
28,25,253,229,90.51,24,9.49,28025
28,26,177,160,90.4,17,9.6,28026
28,27,162,111,68.52,51,31.48,28027
28,28,204,147,72.06,57,27.94,28028
28,29,66,56,84.85,10,15.15,28029
28,30,38,37,97.37,1,2.63,28030
28,31,273,237,86.81,36,13.19,28031
28,32,154,133,86.36,21,13.64,28032
28,33,185,167,90.27,18,9.73,28033
28,34,227,201,88.55,26,11.45,28034
28,35,168,151,89.88,17,10.12,28035
28,36,88,79,89.77,9,10.23,28036
28,37,204,184,90.2,20,9.8,28037
28,38,75,67,89.33,8,10.67,28038
28,39,106,95,89.62,11,10.38,28039
28,40,210,195,92.86,15,7.14,28040
28,41,128,113,88.28,15,11.72,28041
28,42,176,159,90.34,17,9.66,28042
28,43,201,178,88.56,23,11.44,28043
28,44,121,108,89.26,13,10.74,28044
28,45,120,78,65.0,42,35.0,28045
28,46,260,171,65.77,89,34.23,28046
29,1,308,220,71.43,88,28.57,29001
29,2,310,272,87.74,38,12.26,29002
29,3,212,179,84.43,33,15.57,29003
29,4,264,233,88.26,31,11.74,29004
29,5,150,131,87.33,19,12.67,29005
29,6,175,152,86.86,23,13.14,29006
29,7,241,194,80.5,47,19.5,29007
29,8,142,122,85.92,20,14.08,29008
29,9,3,2,66.67,1,33.33,29009
29,10,296,193,65.2,103,34.8,29010
29,11,138,110,79.71,28,20.29,29011
29,12,270,226,83.7,44,16.3,29012
29,13,219,195,89.04,24,10.96,29013
29,14,204,180,88.24,24,11.76,29014
29,15,259,219,84.56,40,15.44,29015
29,16,234,168,71.79,66,28.21,29016
29,17,226,198,87.61,28,12.39,29017
29,18,220,182,82.73,38,17.27,29018
29,19,233,186,79.83,47,20.17,29019
29,20,263,222,84.41,41,15.59,29020
29,21,234,211,90.17,23,9.83,29021
29,22,182,142,78.02,40,21.98,29022
29,24,216,177,81.94,39,18.06,29024
29,25,284,241,84.86,43,15.14,29025
29,26,248,199,80.24,49,19.76,29026
29,27,197,164,83.25,33,16.75,29027
29,28,268,227,84.7,41,15.3,29028
29,33,205,173,84.39,32,15.61,29033
29,34,115,85,73.91,30,26.09,29034
29,35,160,134,83.75,26,16.25,29035
29,36,201,170,84.58,31,15.42,29036
29,37,216,180,83.33,36,16.67,29037
29,40,263,228,86.69,35,13.31,29040
29,41,160,142,88.75,18,11.25,29041
29,42,222,208,93.69,14,6.31,29042
29,43,194,139,71.65,55,28.35,29043
29,44,273,236,86.45,37,13.55,29044
36,5,137,97,70.8,40,29.2,36005
36,21,83,55,66.27,28,33.73,36021
37,1,135,107,79.26,28,20.74,37001
37,2,117,95,81.2,22,18.8,37002
37,3,120,103,85.83,17,14.17,37003
37,4,127,107,84.25,20,15.75,37004
37,5,218,195,89.45,23,10.55,37005
37,6,189,169,89.42,20,10.58,37006
37,7,117,96,82.05,21,17.95,37007
37,8,120,97,80.83,23,19.17,37008
37,9,195,173,88.72,22,11.28,37009
37,10,192,158,82.29,34,17.71,37010
37,11,114,104,91.23,10,8.77,37011
37,12,104,85,81.73,19,18.27,37012
37,13,133,114,85.71,19,14.29,37013
37,14,200,175,87.5,25,12.5,37014
37,15,200,182,91.0,18,9.0,37015
37,16,187,162,86.63,25,13.37,37016
37,17,158,138,87.34,20,12.66,37017
37,18,182,157,86.26,25,13.74,37018
37,19,145,122,84.14,23,15.86,37019
37,20,140,129,92.14,11,7.86,37020
37,21,177,156,88.14,21,11.86,37021
37,22,135,115,85.19,20,14.81,37022
37,23,191,168,87.96,23,12.04,37023
37,24,201,176,87.56,25,12.44,37024
37,25,169,151,89.35,18,10.65,37025
37,26,239,217,90.79,22,9.21,37026
37,27,191,168,87.96,23,12.04,37027
37,28,156,125,80.13,31,19.87,37028
37,29,185,148,80.0,37,20.0,37029
37,30,165,143,86.67,22,13.33,37030
37,31,179,151,84.36,28,15.64,37031
37,32,177,152,85.88,25,14.12,37032
37,33,227,204,89.87,23,10.13,37033
37,34,163,149,91.41,14,8.59,37034
37,35,213,180,84.51,33,15.49,37035
37,36,163,149,91.41,14,8.59,37036
37,37,236,208,88.14,28,11.86,37037
37,38,233,202,86.7,31,13.3,37038
37,39,165,147,89.09,18,10.91,37039
37,40,214,187,87.38,27,12.62,37040
37,41,169,151,89.35,18,10.65,37041
42,1,222,172,77.48,50,22.52,42001
42,2,156,113,72.44,43,27.56,42002
42,3,199,132,66.33,67,33.67,42003
42,4,265,188,70.94,77,29.06,42004
42,5,147,100,68.03,47,31.97,42005
42,6,295,208,70.51,87,29.49,42006
42,7,234,163,69.66,71,30.34,42007
42,8,215,156,72.56,59,27.44,42008
42,9,190,119,62.63,71,37.37,42009
42,10,233,161,69.1,72,30.9,42010
42,11,149,107,71.81,42,28.19,42011
42,12,223,149,66.82,74,33.18,42012
42,13,251,176,70.12,75,29.88,42013
42,14,165,111,67.27,54,32.73,42014
42,15,143,101,70.63,42,29.37,42015
42,16,204,144,70.59,60,29.41,42016
42,17,244,168,68.85,76,31.15,42017
42,18,134,86,64.18,48,35.82,42018
42,19,263,187,71.1,76,28.9,42019
42,20,140,93,66.43,47,33.57,42020
42,21,161,100,62.11,61,37.89,42021
42,22,85,58,68.24,27,31.76,42022
42,23,190,129,67.89,61,32.11,42023
42,24,190,135,71.05,55,28.95,42024
42,25,157,109,69.43,48,30.57,42025
42,26,200,138,69.0,62,31.0,42026
42,27,182,129,70.88,53,29.12,42027
42,28,269,188,69.89,81,30.11,42028
42,29,182,111,60.99,71,39.01,42029
42,30,210,135,64.29,75,35.71,42030
42,31,191,137,71.73,54,28.27,42031
42,32,131,90,68.7,41,31.3,42032
42,33,214,142,66.36,72,33.64,42033
42,34,188,132,70.21,56,29.79,42034
42,35,271,185,68.27,86,31.73,42035
42,36,249,151,60.64,98,39.36,42036
42,37,107,78,72.9,29,27.1,42037
42,38,150,113,75.33,37,24.67,42038
42,39,171,112,65.5,59,34.5,42039
42,40,218,137,62.84,81,37.16,42040
42,41,178,124,69.66,54,30.34,42041
42,42,269,197,73.23,72,26.77,42042
43,1,126,97,76.98,29,23.02,43001
43,5,20,14,70.0,6,30.0,43005
43,9,26,19,73.08,7,26.92,43009
43,33,243,178,73.25,65,26.75,43033
43,35,263,185,70.34,78,29.66,43035
43,45,141,101,71.63,40,28.37,43045
