ward,precinct,total,Edward J. Underhill,Edward J. Underhill Percent,Charles ''Charlie'' Beach,Charles ''Charlie'' Beach Percent,Andrea Michelle Webber,Andrea Michelle Webber Percent,precinct_id
32,2,180,62,34.44,41,22.78,77,42.78,32002
32,3,266,71,26.69,76,28.57,119,44.74,32003
32,4,187,66,35.29,57,30.48,64,34.22,32004
32,5,198,42,21.21,56,28.28,100,50.51,32005
32,6,202,69,34.16,58,28.71,75,37.13,32006
32,9,176,22,12.5,81,46.02,73,41.48,32009
32,11,257,57,22.18,90,35.02,110,42.8,32011
32,12,186,44,23.66,62,33.33,80,43.01,32012
32,13,108,24,22.22,30,27.78,54,50.0,32013
32,14,232,70,30.17,52,22.41,110,47.41,32014
32,15,174,38,21.84,55,31.61,81,46.55,32015
32,16,206,58,28.16,54,26.21,94,45.63,32016
32,17,233,45,19.31,79,33.91,109,46.78,32017
32,19,25,1,4.0,11,44.0,13,52.0,32019
32,20,246,52,21.14,78,31.71,116,47.15,32020
32,21,35,13,37.14,4,11.43,18,51.43,32021
32,22,322,70,21.74,110,34.16,142,44.1,32022
32,24,99,14,14.14,40,40.4,45,45.45,32024
32,25,26,5,19.23,7,26.92,14,53.85,32025
32,26,271,63,23.25,73,26.94,135,49.82,32026
32,27,144,28,19.44,46,31.94,70,48.61,32027
32,28,243,46,18.93,88,36.21,109,44.86,32028
32,29,233,65,27.9,75,32.19,93,39.91,32029
32,30,130,26,20.0,59,45.38,45,34.62,32030
32,31,194,31,15.98,51,26.29,112,57.73,32031
32,32,204,74,36.27,40,19.61,90,44.12,32032
32,33,198,44,22.22,52,26.26,102,51.52,32033
32,34,185,42,22.7,50,27.03,93,50.27,32034
32,35,156,35,22.44,39,25.0,82,52.56,32035
32,36,201,57,28.36,68,33.83,76,37.81,32036
32,37,159,38,23.9,39,24.53,82,51.57,32037
32,38,167,17,10.18,109,65.27,41,24.55,32038
32,40,207,53,25.6,70,33.82,84,40.58,32040
32,41,187,33,17.65,73,39.04,81,43.32,32041
32,42,160,29,18.13,60,37.5,71,44.38,32042
32,43,214,51,23.83,72,33.64,91,42.52,32043
33,1,239,52,21.76,67,28.03,120,50.21,33001
33,3,282,57,20.21,66,23.4,159,56.38,33003
33,4,261,55,21.07,78,29.89,128,49.04,33004
33,5,142,20,14.08,45,31.69,77,54.23,33005
33,6,194,46,23.71,51,26.29,97,50.0,33006
33,8,351,65,18.52,110,31.34,176,50.14,33008
33,9,259,44,16.99,86,33.2,129,49.81,33009
33,10,194,40,20.62,55,28.35,99,51.03,33010
33,11,214,44,20.56,60,28.04,110,51.4,33011
33,12,203,56,27.59,60,29.56,87,42.86,33012
33,13,198,45,22.73,45,22.73,108,54.55,33013
33,14,92,17,18.48,19,20.65,56,60.87,33014
33,15,251,58,23.11,68,27.09,125,49.8,33015
33,16,295,47,15.93,81,27.46,167,56.61,33016
33,17,230,55,23.91,57,24.78,118,51.3,33017
33,19,201,44,21.89,49,24.38,108,53.73,33019
33,20,248,51,20.56,63,25.4,134,54.03,33020
33,21,242,51,21.07,66,27.27,125,51.65,33021
33,22,228,47,20.61,70,30.7,111,48.68,33022
33,23,236,41,17.37,67,28.39,128,54.24,33023
33,24,406,78,19.21,137,33.74,191,47.04,33024
33,25,261,58,22.22,62,23.75,141,54.02,33025
33,26,151,33,21.85,45,29.8,73,48.34,33026
33,27,219,46,21.0,62,28.31,111,50.68,33027
33,28,200,31,15.5,61,30.5,108,54.0,33028
35,1,173,33,19.08,56,32.37,84,48.55,35001
35,2,254,44,17.32,107,42.13,103,40.55,35002
35,3,177,35,19.77,59,33.33,83,46.89,35003
35,4,163,32,19.63,52,31.9,79,48.47,35004
35,5,162,41,25.31,51,31.48,70,43.21,35005
35,6,188,32,17.02,76,40.43,80,42.55,35006
35,7,198,41,20.71,65,32.83,92,46.46,35007
35,8,210,38,18.1,81,38.57,91,43.33,35008
35,10,281,42,14.95,108,38.43,131,46.62,35010
35,11,190,41,21.58,58,30.53,91,47.89,35011
35,12,125,38,30.4,41,32.8,46,36.8,35012
35,13,121,35,28.93,36,29.75,50,41.32,35013
35,14,126,33,26.19,48,38.1,45,35.71,35014
35,15,215,48,22.33,76,35.35,91,42.33,35015
35,16,100,25,25.0,25,25.0,50,50.0,35016
35,17,191,32,16.75,69,36.13,90,47.12,35017
35,18,117,20,17.09,43,36.75,54,46.15,35018
35,19,84,14,16.67,28,33.33,42,50.0,35019
35,20,152,23,15.13,42,27.63,87,57.24,35020
35,21,173,34,19.65,57,32.95,82,47.4,35021
35,23,103,19,18.45,31,30.1,53,51.46,35023
35,24,150,27,18.0,44,29.33,79,52.67,35024
35,25,205,29,14.15,71,34.63,105,51.22,35025
35,26,158,39,24.68,47,29.75,72,45.57,35026
35,27,164,25,15.24,61,37.2,78,47.56,35027
35,28,175,31,17.71,63,36.0,81,46.29,35028
36,6,96,18,18.75,33,34.38,45,46.88,36006
36,8,96,23,23.96,28,29.17,45,46.88,36008
36,9,105,32,30.48,32,30.48,41,39.05,36009
36,11,81,18,22.22,27,33.33,36,44.44,36011
36,12,68,15,22.06,25,36.76,28,41.18,36012
36,13,67,21,31.34,18,26.87,28,41.79,36013
36,21,93,25,26.88,28,30.11,40,43.01,36021
36,22,84,19,22.62,24,28.57,41,48.81,36022
36,23,27,9,33.33,9,33.33,9,33.33,36023
36,25,103,33,32.04,20,19.42,50,48.54,36025
37,2,96,22,22.92,37,38.54,37,38.54,37002
37,10,163,33,20.25,57,34.97,73,44.79,37010
37,12,93,16,17.2,38,40.86,39,41.94,37012
37,16,43,11,25.58,17,39.53,15,34.88,37016
37,22,90,17,18.89,37,41.11,36,40.0,37022
37,26,8,3,37.5,2,25.0,3,37.5,37026
37,41,92,16,17.39,33,35.87,43,46.74,37041
40,8,283,50,17.67,80,28.27,153,54.06,40008
40,38,159,37,23.27,24,15.09,98,61.64,40038
47,9,117,26,22.22,42,35.9,49,41.88,47009
47,13,60,13,21.67,15,25.0,32,53.33,47013
47,40,175,34,19.43,59,33.71,82,46.86,47040
47,42,82,14,17.07,25,30.49,43,52.44,47042
