ward,precinct,total,Benjamin Thomas Wolf,Benjamin Thomas Wolf Percent,Mike Quigley,Mike Quigley Percent,Sameena Mustafa,Sameena Mustafa Percent,Steven J. Schwartzberg,Steven J. Schwartzberg Percent,precinct_id
2,44,139,10,7.19,103,74.1,19,13.67,7,5.04,02044
26,28,126,19,15.08,61,48.41,39,30.95,7,5.56,26028
26,32,175,26,14.86,91,52.0,51,29.14,7,4.0,26032
27,7,259,55,21.24,114,44.02,81,31.27,9,3.47,27007
27,12,106,8,7.55,69,65.09,27,25.47,2,1.89,27012
27,13,86,15,17.44,37,43.02,30,34.88,4,4.65,27013
27,27,5,0,0.0,4,80.0,1,20.0,0,0.0,27027
27,35,4,0,0.0,2,50.0,2,50.0,0,0.0,27035
27,37,10,3,30.0,5,50.0,2,20.0,0,0.0,27037
27,40,30,7,23.33,12,40.0,10,33.33,1,3.33,27040
27,42,44,9,20.45,22,50.0,10,22.73,3,6.82,27042
27,43,8,0,0.0,5,62.5,2,25.0,1,12.5,27043
27,46,114,10,8.77,77,67.54,20,17.54,7,6.14,27046
29,23,33,6,18.18,17,51.52,8,24.24,2,6.06,29023
29,29,163,26,15.95,82,50.31,48,29.45,7,4.29,29029
29,31,142,18,12.68,95,66.9,22,15.49,7,4.93,29031
29,32,118,15,12.71,72,61.02,23,19.49,8,6.78,29032
29,38,0,0,0.0,0,0.0,0,0.0,0,0.0,29038
29,39,79,18,22.78,42,53.16,16,20.25,3,3.8,29039
30,15,174,8,4.6,107,61.49,44,25.29,15,8.62,30015
30,17,83,4,4.82,51,61.45,26,31.33,2,2.41,30017
30,21,125,18,14.4,76,60.8,21,16.8,10,8.0,30021
32,1,249,25,10.04,147,59.04,66,26.51,11,4.42,32001
32,2,207,25,12.08,119,57.49,54,26.09,9,4.35,32002
32,4,236,35,14.83,141,59.75,55,23.31,5,2.12,32004
32,5,225,26,11.56,116,51.56,75,33.33,8,3.56,32005
32,6,239,18,7.53,149,62.34,66,27.62,6,2.51,32006
32,7,220,18,8.18,141,64.09,58,26.36,3,1.36,32007
32,8,213,20,9.39,144,67.61,44,20.66,5,2.35,32008
32,9,210,20,9.52,135,64.29,49,23.33,6,2.86,32009
32,10,225,23,10.22,140,62.22,53,23.56,9,4.0,32010
32,13,202,19,9.41,135,66.83,45,22.28,3,1.49,32013
32,15,222,31,13.96,135,60.81,48,21.62,8,3.6,32015
32,16,241,10,4.15,141,58.51,82,34.02,8,3.32,32016
32,18,187,10,5.35,135,72.19,35,18.72,7,3.74,32018
32,19,204,16,7.84,109,53.43,72,35.29,7,3.43,32019
32,21,268,28,10.45,167,62.31,69,25.75,4,1.49,32021
32,23,203,10,4.93,134,66.01,50,24.63,9,4.43,32023
32,24,123,15,12.2,80,65.04,26,21.14,2,1.63,32024
32,25,231,20,8.66,147,63.64,57,24.68,7,3.03,32025
32,27,190,16,8.42,118,62.11,44,23.16,12,6.32,32027
32,29,266,24,9.02,148,55.64,87,32.71,7,2.63,32029
32,30,175,12,6.86,121,69.14,31,17.71,11,6.29,32030
32,31,234,23,9.83,150,64.1,53,22.65,8,3.42,32031
32,32,236,20,8.47,134,56.78,68,28.81,14,5.93,32032
32,33,231,37,16.02,138,59.74,47,20.35,9,3.9,32033
32,34,228,27,11.84,119,52.19,66,28.95,16,7.02,32034
32,35,195,26,13.33,122,62.56,46,23.59,1,0.51,32035
32,36,238,28,11.76,148,62.18,60,25.21,2,0.84,32036
32,37,200,28,14.0,102,51.0,61,30.5,9,4.5,32037
32,38,190,28,14.74,111,58.42,43,22.63,8,4.21,32038
32,39,219,13,5.94,168,76.71,32,14.61,6,2.74,32039
32,40,261,27,10.34,177,67.82,49,18.77,8,3.07,32040
32,41,228,19,8.33,146,64.04,53,23.25,10,4.39,32041
32,42,189,22,11.64,105,55.56,55,29.1,7,3.7,32042
33,2,349,26,7.45,186,53.3,126,36.1,11,3.15,33002
33,3,32,3,9.38,12,37.5,14,43.75,3,9.38,33003
33,5,178,24,13.48,82,46.07,67,37.64,5,2.81,33005
33,7,157,15,9.55,82,52.23,51,32.48,9,5.73,33007
33,8,279,19,6.81,194,69.53,55,19.71,11,3.94,33008
33,10,20,0,0.0,12,60.0,7,35.0,1,5.0,33010
33,18,305,41,13.44,130,42.62,125,40.98,9,2.95,33018
33,19,122,11,9.02,66,54.1,42,34.43,3,2.46,33019
33,23,17,1,5.88,12,70.59,4,23.53,0,0.0,33023
33,24,461,34,7.38,278,60.3,140,30.37,9,1.95,33024
33,27,1,0,0.0,0,0.0,1,100.0,0,0.0,33027
36,7,222,23,10.36,152,68.47,33,14.86,14,6.31,36007
36,14,171,16,9.36,117,68.42,26,15.2,12,7.02,36014
36,15,196,30,15.31,128,65.31,30,15.31,8,4.08,36015
36,16,145,14,9.66,98,67.59,24,16.55,9,6.21,36016
36,17,200,18,9.0,135,67.5,39,19.5,8,4.0,36017
36,18,162,18,11.11,110,67.9,22,13.58,12,7.41,36018
36,20,82,13,15.85,43,52.44,20,24.39,6,7.32,36020
36,24,103,16,15.53,59,57.28,21,20.39,7,6.8,36024
36,26,120,21,17.5,74,61.67,19,15.83,6,5.0,36026
36,28,109,20,18.35,52,47.71,27,24.77,10,9.17,36028
36,29,73,8,10.96,52,71.23,11,15.07,2,2.74,36029
36,30,141,10,7.09,104,73.76,23,16.31,4,2.84,36030
38,2,182,20,10.99,126,69.23,24,13.19,12,6.59,38002
38,3,139,15,10.79,82,58.99,29,20.86,13,9.35,38003
38,4,161,18,11.18,106,65.84,33,20.5,4,2.48,38004
38,5,160,17,10.63,114,71.25,20,12.5,9,5.63,38005
38,6,141,13,9.22,88,62.41,36,25.53,4,2.84,38006
38,7,147,10,6.8,111,75.51,19,12.93,7,4.76,38007
38,8,140,7,5.0,106,75.71,19,13.57,8,5.71,38008
38,9,177,22,12.43,116,65.54,23,12.99,16,9.04,38009
38,10,126,19,15.08,78,61.9,19,15.08,10,7.94,38010
38,11,183,19,10.38,112,61.2,43,23.5,9,4.92,38011
38,12,165,24,14.55,115,69.7,16,9.7,10,6.06,38012
38,13,181,14,7.73,125,69.06,26,14.36,16,8.84,38013
38,14,178,19,10.67,115,64.61,33,18.54,11,6.18,38014
38,15,157,23,14.65,98,62.42,27,17.2,9,5.73,38015
38,16,173,21,12.14,114,65.9,26,15.03,12,6.94,38016
38,17,186,27,14.52,123,66.13,28,15.05,8,4.3,38017
38,18,184,12,6.52,129,70.11,35,19.02,8,4.35,38018
38,19,216,20,9.26,155,71.76,29,13.43,12,5.56,38019
38,20,162,20,12.35,102,62.96,31,19.14,9,5.56,38020
38,21,157,15,9.55,103,65.61,32,20.38,7,4.46,38021
38,22,192,27,14.06,113,58.85,41,21.35,11,5.73,38022
38,23,213,25,11.74,128,60.09,50,23.47,10,4.69,38023
38,24,165,17,10.3,122,73.94,19,11.52,7,4.24,38024
38,25,146,8,5.48,97,66.44,36,24.66,5,3.42,38025
38,26,169,15,8.88,115,68.05,35,20.71,4,2.37,38026
38,27,155,13,8.39,105,67.74,28,18.06,9,5.81,38027
38,28,189,19,10.05,140,74.07,19,10.05,11,5.82,38028
38,29,171,10,5.85,118,69.01,33,19.3,10,5.85,38029
38,30,152,20,13.16,92,60.53,24,15.79,16,10.53,38030
38,31,200,11,5.5,141,70.5,41,20.5,7,3.5,38031
38,32,153,18,11.76,107,69.93,27,17.65,1,0.65,38032
38,33,175,23,13.14,114,65.14,32,18.29,6,3.43,38033
38,34,178,16,8.99,113,63.48,39,21.91,10,5.62,38034
38,35,81,12,14.81,51,62.96,15,18.52,3,3.7,38035
38,36,157,18,11.46,97,61.78,35,22.29,7,4.46,38036
38,37,179,25,13.97,119,66.48,27,15.08,8,4.47,38037
38,38,153,19,12.42,95,62.09,30,19.61,9,5.88,38038
38,39,216,15,6.94,143,66.2,44,20.37,14,6.48,38039
38,40,192,19,9.9,131,68.23,28,14.58,14,7.29,38040
39,1,237,18,7.59,164,69.2,42,17.72,13,5.49,39001
39,2,203,37,18.23,118,58.13,29,14.29,19,9.36,39002
39,3,273,28,10.26,151,55.31,86,31.5,8,2.93,39003
39,4,220,19,8.64,156,70.91,35,15.91,10,4.55,39004
39,5,194,12,6.19,135,69.59,42,21.65,5,2.58,39005
39,6,209,25,11.96,112,53.59,60,28.71,12,5.74,39006
39,7,172,15,8.72,120,69.77,33,19.19,4,2.33,39007
39,8,208,15,7.21,136,65.38,51,24.52,6,2.88,39008
39,9,184,24,13.04,97,52.72,49,26.63,14,7.61,39009
39,10,116,5,4.31,65,56.03,45,38.79,1,0.86,39010
39,11,175,17,9.71,116,66.29,38,21.71,4,2.29,39011
39,12,189,11,5.82,95,50.26,76,40.21,7,3.7,39012
39,13,158,15,9.49,98,62.03,34,21.52,11,6.96,39013
39,14,169,11,6.51,116,68.64,37,21.89,5,2.96,39014
39,15,212,23,10.85,149,70.28,34,16.04,6,2.83,39015
39,16,134,10,7.46,59,44.03,54,40.3,11,8.21,39016
39,17,253,26,10.28,165,65.22,59,23.32,3,1.19,39017
39,18,236,12,5.08,143,60.59,68,28.81,13,5.51,39018
39,19,224,19,8.48,136,60.71,63,28.13,6,2.68,39019
39,20,236,22,9.32,164,69.49,41,17.37,9,3.81,39020
39,21,189,13,6.88,127,67.2,36,19.05,13,6.88,39021
39,22,139,16,11.51,60,43.17,61,43.88,2,1.44,39022
39,23,235,25,10.64,161,68.51,35,14.89,14,5.96,39023
39,24,256,35,13.67,176,68.75,36,14.06,9,3.52,39024
39,25,175,12,6.86,97,55.43,60,34.29,6,3.43,39025
39,26,193,14,7.25,133,68.91,37,19.17,9,4.66,39026
39,27,60,3,5.0,47,78.33,8,13.33,2,3.33,39027
39,28,150,14,9.33,94,62.67,36,24.0,6,4.0,39028
39,29,104,12,11.54,51,49.04,33,31.73,8,7.69,39029
39,30,259,23,8.88,158,61.0,74,28.57,4,1.54,39030
39,32,181,17,9.39,109,60.22,41,22.65,14,7.73,39032
39,33,223,14,6.28,114,51.12,80,35.87,15,6.73,39033
39,34,234,26,11.11,104,44.44,96,41.03,8,3.42,39034
39,35,197,15,7.61,119,60.41,59,29.95,4,2.03,39035
39,36,59,8,13.56,35,59.32,10,16.95,6,10.17,39036
39,37,267,19,7.12,186,69.66,47,17.6,15,5.62,39037
39,38,158,5,3.16,131,82.91,18,11.39,4,2.53,39038
39,39,130,13,10.0,79,60.77,31,23.85,7,5.38,39039
39,40,188,15,7.98,132,70.21,35,18.62,6,3.19,39040
39,41,230,25,10.87,158,68.7,35,15.22,12,5.22,39041
39,42,265,36,13.58,193,72.83,29,10.94,7,2.64,39042
39,43,237,20,8.44,163,68.78,46,19.41,8,3.38,39043
39,44,170,12,7.06,118,69.41,35,20.59,5,2.94,39044
39,45,219,11,5.02,156,71.23,36,16.44,16,7.31,39045
40,1,181,22,12.15,101,55.8,48,26.52,10,5.52,40001
40,2,204,13,6.37,123,60.29,61,29.9,7,3.43,40002
40,3,328,16,4.88,179,54.57,126,38.41,7,2.13,40003
40,5,263,23,8.75,126,47.91,104,39.54,10,3.8,40005
40,6,305,30,9.84,129,42.3,138,45.25,8,2.62,40006
40,7,298,16,5.37,197,66.11,80,26.85,5,1.68,40007
40,8,344,15,4.36,160,46.51,160,46.51,9,2.62,40008
40,10,58,4,6.9,38,65.52,13,22.41,3,5.17,40010
40,11,263,24,9.13,153,58.17,81,30.8,5,1.9,40011
40,12,190,19,10.0,94,49.47,69,36.32,8,4.21,40012
40,13,443,19,4.29,197,44.47,221,49.89,6,1.35,40013
40,14,145,14,9.66,83,57.24,40,27.59,8,5.52,40014
40,15,206,21,10.19,122,59.22,58,28.16,5,2.43,40015
40,16,355,22,6.2,172,48.45,144,40.56,17,4.79,40016
40,17,236,18,7.63,137,58.05,73,30.93,8,3.39,40017
40,19,266,26,9.77,145,54.51,85,31.95,10,3.76,40019
40,20,209,20,9.57,111,53.11,68,32.54,10,4.78,40020
40,21,324,20,6.17,207,63.89,93,28.7,4,1.23,40021
40,23,335,25,7.46,169,50.45,127,37.91,14,4.18,40023
40,24,168,19,11.31,82,48.81,59,35.12,8,4.76,40024
40,25,257,13,5.06,143,55.64,99,38.52,2,0.78,40025
40,29,255,16,6.27,154,60.39,74,29.02,11,4.31,40029
40,30,246,20,8.13,163,66.26,57,23.17,6,2.44,40030
40,31,92,2,2.17,57,61.96,32,34.78,1,1.09,40031
40,32,328,27,8.23,176,53.66,116,35.37,9,2.74,40032
40,34,182,18,9.89,108,59.34,48,26.37,8,4.4,40034
40,38,343,23,6.71,149,43.44,159,46.36,12,3.5,40038
41,3,196,22,11.22,144,73.47,24,12.24,6,3.06,41003
41,6,282,28,9.93,199,70.57,43,15.25,12,4.26,41006
41,9,195,18,9.23,123,63.08,48,24.62,6,3.08,41009
41,11,67,2,2.99,45,67.16,15,22.39,5,7.46,41011
41,12,171,21,12.28,118,69.01,26,15.2,6,3.51,41012
41,14,269,24,8.92,205,76.21,35,13.01,5,1.86,41014
41,16,165,14,8.48,121,73.33,19,11.52,11,6.67,41016
41,17,184,19,10.33,117,63.59,36,19.57,12,6.52,41017
41,19,262,27,10.31,196,74.81,31,11.83,8,3.05,41019
41,21,198,19,9.6,140,70.71,28,14.14,11,5.56,41021
41,22,258,25,9.69,176,68.22,40,15.5,17,6.59,41022
41,23,79,7,8.86,53,67.09,13,16.46,6,7.59,41023
41,24,138,14,10.14,99,71.74,19,13.77,6,4.35,41024
41,26,214,20,9.35,151,70.56,37,17.29,6,2.8,41026
41,27,118,18,15.25,71,60.17,24,20.34,5,4.24,41027
41,30,180,16,8.89,129,71.67,30,16.67,5,2.78,41030
41,32,165,19,11.52,113,68.48,23,13.94,10,6.06,41032
41,33,134,9,6.72,92,68.66,19,14.18,14,10.45,41033
41,35,246,23,9.35,187,76.02,26,10.57,10,4.07,41035
41,38,187,13,6.95,126,67.38,34,18.18,14,7.49,41038
41,39,232,27,11.64,149,64.22,40,17.24,16,6.9,41039
41,45,62,8,12.9,38,61.29,12,19.35,4,6.45,41045
41,46,242,19,7.85,176,72.73,34,14.05,13,5.37,41046
41,47,223,23,10.31,151,67.71,42,18.83,7,3.14,41047
43,2,194,9,4.64,131,67.53,50,25.77,4,2.06,43002
43,3,217,10,4.61,162,74.65,34,15.67,11,5.07,43003
43,4,232,18,7.76,164,70.69,42,18.1,8,3.45,43004
43,5,163,12,7.36,116,71.17,32,19.63,3,1.84,43005
43,6,147,15,10.2,89,60.54,37,25.17,6,4.08,43006
43,7,156,21,13.46,106,67.95,26,16.67,3,1.92,43007
43,8,195,16,8.21,144,73.85,29,14.87,6,3.08,43008
43,9,232,19,8.19,152,65.52,51,21.98,10,4.31,43009
43,10,270,22,8.15,184,68.15,47,17.41,17,6.3,43010
43,11,131,10,7.63,89,67.94,26,19.85,6,4.58,43011
43,12,159,17,10.69,97,61.01,40,25.16,5,3.14,43012
43,13,223,20,8.97,138,61.88,57,25.56,8,3.59,43013
43,14,246,8,3.25,167,67.89,60,24.39,11,4.47,43014
43,15,204,17,8.33,134,65.69,43,21.08,10,4.9,43015
43,16,158,13,8.23,97,61.39,42,26.58,6,3.8,43016
43,17,170,19,11.18,127,74.71,20,11.76,4,2.35,43017
43,18,248,11,4.44,182,73.39,43,17.34,12,4.84,43018
43,19,253,16,6.32,179,70.75,46,18.18,12,4.74,43019
43,20,219,10,4.57,156,71.23,46,21.0,7,3.2,43020
43,21,222,19,8.56,149,67.12,47,21.17,7,3.15,43021
43,22,139,15,10.79,90,64.75,31,22.3,3,2.16,43022
43,23,144,14,9.72,94,65.28,31,21.53,5,3.47,43023
43,24,150,15,10.0,96,64.0,31,20.67,8,5.33,43024
43,25,222,17,7.66,160,72.07,32,14.41,13,5.86,43025
43,26,169,10,5.92,134,79.29,15,8.88,10,5.92,43026
43,27,212,14,6.6,145,68.4,39,18.4,14,6.6,43027
43,28,240,20,8.33,164,68.33,45,18.75,11,4.58,43028
43,29,192,10,5.21,137,71.35,38,19.79,7,3.65,43029
43,30,206,21,10.19,142,68.93,34,16.5,9,4.37,43030
43,31,236,23,9.75,158,66.95,37,15.68,18,7.63,43031
43,32,253,15,5.93,164,64.82,62,24.51,12,4.74,43032
43,34,193,8,4.15,138,71.5,36,18.65,11,5.7,43034
43,36,91,6,6.59,54,59.34,28,30.77,3,3.3,43036
43,37,194,18,9.28,119,61.34,46,23.71,11,5.67,43037
43,38,203,13,6.4,154,75.86,15,7.39,21,10.34,43038
43,39,145,13,8.97,88,60.69,40,27.59,4,2.76,43039
43,40,154,11,7.14,89,57.79,48,31.17,6,3.9,43040
43,41,298,12,4.03,213,71.48,55,18.46,18,6.04,43041
43,42,217,16,7.37,134,61.75,60,27.65,7,3.23,43042
43,43,256,12,4.69,189,73.83,38,14.84,17,6.64,43043
43,44,213,8,3.76,156,73.24,38,17.84,11,5.16,43044
43,46,104,5,4.81,75,72.12,16,15.38,8,7.69,43046
44,1,387,35,9.04,227,58.66,111,28.68,14,3.62,44001
44,2,252,18,7.14,168,66.67,57,22.62,9,3.57,44002
44,5,259,18,6.95,164,63.32,65,25.1,12,4.63,44005
44,6,306,16,5.23,182,59.48,103,33.66,5,1.63,44006
44,8,333,30,9.01,202,60.66,92,27.63,9,2.7,44008
44,9,202,15,7.43,145,71.78,37,18.32,5,2.48,44009
44,10,206,18,8.74,133,64.56,49,23.79,6,2.91,44010
44,11,244,16,6.56,165,67.62,57,23.36,6,2.46,44011
44,12,280,19,6.79,194,69.29,53,18.93,14,5.0,44012
44,13,163,12,7.36,108,66.26,41,25.15,2,1.23,44013
44,14,179,20,11.17,107,59.78,48,26.82,4,2.23,44014
44,15,245,13,5.31,153,62.45,63,25.71,16,6.53,44015
44,16,269,22,8.18,181,67.29,60,22.3,6,2.23,44016
44,17,385,31,8.05,252,65.45,90,23.38,12,3.12,44017
44,18,226,17,7.52,133,58.85,73,32.3,3,1.33,44018
44,19,331,15,4.53,208,62.84,94,28.4,14,4.23,44019
44,20,229,11,4.8,130,56.77,82,35.81,6,2.62,44020
44,21,280,23,8.21,171,61.07,77,27.5,9,3.21,44021
44,22,319,22,6.9,206,64.58,73,22.88,18,5.64,44022
44,23,235,15,6.38,148,62.98,62,26.38,10,4.26,44023
44,25,235,18,7.66,143,60.85,71,30.21,3,1.28,44025
44,26,257,25,9.73,154,59.92,76,29.57,2,0.78,44026
44,27,293,18,6.14,187,63.82,84,28.67,4,1.37,44027
44,28,245,14,5.71,137,55.92,85,34.69,9,3.67,44028
44,29,211,13,6.16,138,65.4,55,26.07,5,2.37,44029
44,30,251,19,7.57,164,65.34,59,23.51,9,3.59,44030
44,31,193,13,6.74,130,67.36,46,23.83,4,2.07,44031
44,32,264,24,9.09,139,52.65,88,33.33,13,4.92,44032
44,33,248,24,9.68,136,54.84,86,34.68,2,0.81,44033
44,34,298,24,8.05,194,65.1,70,23.49,10,3.36,44034
44,36,226,20,8.85,121,53.54,80,35.4,5,2.21,44036
44,37,290,16,5.52,198,68.28,73,25.17,3,1.03,44037
44,38,184,10,5.43,121,65.76,48,26.09,5,2.72,44038
44,39,214,14,6.54,145,67.76,49,22.9,6,2.8,44039
44,40,182,13,7.14,119,65.38,47,25.82,3,1.65,44040
44,41,287,20,6.97,166,57.84,94,32.75,7,2.44,44041
45,3,224,15,6.7,141,62.95,57,25.45,11,4.91,45003
45,4,280,17,6.07,191,68.21,65,23.21,7,2.5,45004
45,5,259,20,7.72,184,71.04,50,19.31,5,1.93,45005
45,6,306,15,4.9,205,66.99,74,24.18,12,3.92,45006
45,7,345,29,8.41,221,64.06,85,24.64,10,2.9,45007
45,8,12,1,8.33,7,58.33,4,33.33,0,0.0,45008
45,11,138,7,5.07,85,61.59,38,27.54,8,5.8,45011
45,12,221,22,9.95,147,66.52,39,17.65,13,5.88,45012
45,13,209,20,9.57,151,72.25,32,15.31,6,2.87,45013
45,14,252,24,9.52,167,66.27,45,17.86,16,6.35,45014
45,15,304,16,5.26,216,71.05,60,19.74,12,3.95,45015
45,16,207,23,11.11,124,59.9,54,26.09,6,2.9,45016
45,17,215,27,12.56,128,59.53,51,23.72,9,4.19,45017
45,18,186,30,16.13,110,59.14,32,17.2,14,7.53,45018
45,19,98,16,16.33,52,53.06,29,29.59,1,1.02,45019
45,20,133,24,18.05,76,57.14,31,23.31,2,1.5,45020
45,21,194,16,8.25,127,65.46,44,22.68,7,3.61,45021
45,22,181,19,10.5,115,63.54,37,20.44,10,5.52,45022
45,23,185,21,11.35,112,60.54,41,22.16,11,5.95,45023
45,24,160,16,10.0,111,69.38,23,14.38,10,6.25,45024
45,25,129,9,6.98,98,75.97,18,13.95,4,3.1,45025
45,26,105,14,13.33,67,63.81,18,17.14,6,5.71,45026
45,27,166,14,8.43,115,69.28,27,16.27,10,6.02,45027
45,28,140,10,7.14,79,56.43,43,30.71,8,5.71,45028
45,29,121,11,9.09,85,70.25,20,16.53,5,4.13,45029
45,30,185,20,10.81,114,61.62,46,24.86,5,2.7,45030
45,31,160,27,16.88,106,66.25,21,13.13,6,3.75,45031
45,32,153,17,11.11,82,53.59,50,32.68,4,2.61,45032
45,33,138,18,13.04,79,57.25,37,26.81,4,2.9,45033
45,34,215,27,12.56,122,56.74,54,25.12,12,5.58,45034
45,35,231,27,11.69,149,64.5,46,19.91,9,3.9,45035
45,36,228,23,10.09,153,67.11,38,16.67,14,6.14,45036
45,37,191,24,12.57,114,59.69,43,22.51,10,5.24,45037
45,38,159,20,12.58,97,61.01,36,22.64,6,3.77,45038
45,39,172,14,8.14,118,68.6,31,18.02,9,5.23,45039
45,40,203,32,15.76,126,62.07,36,17.73,9,4.43,45040
45,41,173,17,9.83,114,65.9,33,19.08,9,5.2,45041
45,42,196,13,6.63,135,68.88,33,16.84,15,7.65,45042
45,43,201,27,13.43,134,66.67,31,15.42,9,4.48,45043
45,44,181,26,14.36,123,67.96,18,9.94,14,7.73,45044
45,45,105,12,11.43,73,69.52,16,15.24,4,3.81,45045
45,46,132,8,6.06,95,71.97,24,18.18,5,3.79,45046
45,47,133,14,10.53,90,67.67,17,12.78,12,9.02,45047
45,48,134,16,11.94,94,70.15,17,12.69,7,5.22,45048
46,3,344,25,7.27,227,65.99,72,20.93,20,5.81,46003
46,5,251,26,10.36,153,60.96,67,26.69,5,1.99,46005
46,10,318,25,7.86,187,58.81,100,31.45,6,1.89,46010
46,12,44,1,2.27,27,61.36,14,31.82,2,4.55,46012
46,16,139,11,7.91,80,57.55,45,32.37,3,2.16,46016
46,19,216,14,6.48,139,64.35,53,24.54,10,4.63,46019
46,24,78,7,8.97,43,55.13,26,33.33,2,2.56,46024
46,28,313,25,7.99,215,68.69,59,18.85,14,4.47,46028
46,30,249,25,10.04,150,60.24,63,25.3,11,4.42,46030
46,31,246,13,5.28,158,64.23,69,28.05,6,2.44,46031
46,33,296,25,8.45,204,68.92,61,20.61,6,2.03,46033
46,36,262,19,7.25,179,68.32,55,20.99,9,3.44,46036
46,38,157,24,15.29,77,49.04,52,33.12,4,2.55,46038
46,39,246,20,8.13,163,66.26,55,22.36,8,3.25,46039
47,1,153,7,4.58,99,64.71,46,30.07,1,0.65,47001
47,2,317,23,7.26,224,70.66,61,19.24,9,2.84,47002
47,3,332,32,9.64,229,68.98,63,18.98,8,2.41,47003
47,4,351,22,6.27,239,68.09,83,23.65,7,1.99,47004
47,5,342,26,7.6,196,57.31,113,33.04,7,2.05,47005
47,6,280,15,5.36,179,63.93,79,28.21,7,2.5,47006
47,7,252,18,7.14,156,61.9,72,28.57,6,2.38,47007
47,8,310,23,7.42,198,63.87,80,25.81,9,2.9,47008
47,9,240,20,8.33,152,63.33,60,25.0,8,3.33,47009
47,10,370,24,6.49,183,49.46,153,41.35,10,2.7,47010
47,11,245,33,13.47,144,58.78,63,25.71,5,2.04,47011
47,12,342,27,7.89,192,56.14,115,33.63,8,2.34,47012
47,13,310,18,5.81,139,44.84,143,46.13,10,3.23,47013
47,14,290,9,3.1,169,58.28,108,37.24,4,1.38,47014
47,16,317,16,5.05,186,58.68,107,33.75,8,2.52,47016
47,17,281,18,6.41,179,63.7,78,27.76,6,2.14,47017
47,18,285,27,9.47,170,59.65,85,29.82,3,1.05,47018
47,20,289,16,5.54,157,54.33,106,36.68,10,3.46,47020
47,21,306,18,5.88,157,51.31,122,39.87,9,2.94,47021
47,22,346,19,5.49,199,57.51,115,33.24,13,3.76,47022
47,24,264,27,10.23,152,57.58,78,29.55,7,2.65,47024
47,25,289,22,7.61,164,56.75,96,33.22,7,2.42,47025
47,26,344,24,6.98,170,49.42,143,41.57,7,2.03,47026
47,27,259,29,11.2,159,61.39,64,24.71,7,2.7,47027
47,28,296,10,3.38,186,62.84,91,30.74,9,3.04,47028
47,29,300,30,10.0,171,57.0,92,30.67,7,2.33,47029
47,30,168,13,7.74,90,53.57,58,34.52,7,4.17,47030
