ward,precinct,total,Marina E. Ammendola,Marina E. Ammendola Percent,Beatriz A. Frausto-Sandoval,Beatriz A. Frausto-Sandoval Percent,precinct_id
25,5,201,85,42.29,116,57.71,25005
25,7,193,65,33.68,128,66.32,25007
25,8,214,79,36.92,135,63.08,25008
25,9,181,75,41.44,106,58.56,25009
25,11,213,66,30.99,147,69.01,25011
25,12,182,65,35.71,117,64.29,25012
25,13,226,60,26.55,166,73.45,25013
25,14,10,6,60.0,4,40.0,25014
25,15,143,50,34.97,93,65.03,25015
25,17,220,88,40.0,132,60.0,25017
25,19,219,54,24.66,165,75.34,25019
25,22,179,55,30.73,124,69.27,25022
25,23,255,85,33.33,170,66.67,25023
25,24,195,76,38.97,119,61.03,25024
25,25,143,96,67.13,47,32.87,25025
25,26,171,62,36.26,109,63.74,25026
25,27,14,6,42.86,8,57.14,25027
25,28,213,74,34.74,139,65.26,25028
25,30,190,55,28.95,135,71.05,25030
25,32,161,60,37.27,101,62.73,25032
28,19,1,0,0.0,1,100.0,28019
